,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,brand,categories,markets,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,quantity,packaging,additives,nova_score,generic_name,allergens,traceability_code,link,ingredients_origins,manufacturing,brand_owner,palm_ingredients
160,Bonn'Vallee,3422102880019,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,Omelette norvégienne - L'Angélys,3760039985705,['France'],[],['Sans huile de palme'],?,182,761 kj(182 kcal),"4,9","2,7",32,24,"3,4","0,12","0,048",,"[""L'Angélys""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['en:gluten-free', 'Sans conservateurs', 'en:palm-oil-free']",,,,,,,,,,,,
162,Chocolat Blanc saveur noisette,3663327007892,['France'],[],[],?,601,2515 kj(601 kcal),"42,9","23,4","44,8","44,6","8,7","0,26","0,104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,Large pork pie,2329894801806,"['France', 'Royaume-Uni']",[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,Feta cheese cube - 150g,5201106310184,['France'],[],[],?,258,1079 kj(258 kcal),22,"14,3","0,1","0,1",15,"3,5","1,4",D,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de Grèce', 'Fetan', 'Cubes de feta']",,22 g,en quantité élevée,14.3 g,en quantité élevée,0.1 g,en faible quantité,3.5 g,en quantité élevée,,-9%,-9%,-6%,-7%,-87%,-69%,-7%,+48%,+48%,18,+5%,D,+5%,87.8%,4.4%,3.0%,3.1%,1.4%,0.4%,44,,150 g,,,,,,,,,,,
165,Tuna Mayo - Thomy,5060147113112,"['France', 'Royaume-Uni']",[],[],?,?,,?,,?,,?,,,,['Thomy'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Container'],,,,,,,,,,
166,Baby button mushrooms - 200g,20941390,"['France', 'Royaume-Uni']",[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200 g,"['Packet', 'mixed plastic-tray', 'mixed plastic-film', 'pp-tray']",,,,,,,,,,
167,Verveine menthe 35g 25 sachets,8480017047809,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,Poireau - U - 750g,3256226081805,['France'],[],[],?,0,0 kj(0 kcal),?,,?,,?,0,0,,"['U', 'U Bio']",,"['Magasins U', 'Super U']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Cultivé en France']",750 g,['Botte'],,,,,,,['France'],,,
169,Viande bovine rotie - L'Étal du Boucher,4056489138730,['France'],[],[],?,183,766 kj(183 kcal),11,"4,6",0,0,21,"0,1","0,04",,"[""L'Étal du Boucher""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Viande Française', 'Viande-bovine-francaise']",,['Barquette'],,,,,,,,,,
170,Sables apéritifs au Cantal aop,3380846101039,['France'],[],[],?,548,2293 kj(548 kcal),33,20,51,"1,3",15,"2,1","0,84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,Délices soufflés nature - Ecochard,3153573000056,['France'],[],[],?,227,950 kj(227 kcal),15,"1,8",15,"1,2","7,2","0,98","0,392",,['Ecochard'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,Paprika,3102870040357,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,Confiture artisanale de mirabelles cuite au chaudron - La Vie Claire,3260191022893,['France'],[],[],?,231,967 kj(231 kcal),"0,1",0,56,56,"0,5",0,0,B,['La Vie Claire'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de prunes']",['La Vie Claire'],0.1 g,en faible quantité,0 g,en faible quantité,56 g,en quantité élevée,0 g,en faible quantité,,+5%,+5%,-55%,-100%,+5%,+9%,+23%,-100%,-100%,6,-38%,C,-38%,38.5%,19.4%,25.9%,11.0%,4.2%,1.1%,87,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-10']",,,,,,,,,,,,
174,Escalopes de dinde extra fines Volailles de Korrigan - 250g,3287680016249,['France'],['2 ESCALOPES DE DINDE EXTRA FINES'],[],469,121,,"1,32",,"3,03",,"22,9",,,D,['volailles de korrigan'],"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']",,,,,,,,,,,,,,,,,,,,,,,,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,250g,['Barquette plastique'],,,Escalope de dinde,,,,,,,
175,Tourte poularde cepes et girolles - Française de Gastronomie - 450g,3576280233508,['France'],[],[],?,1174,4912 kj(1174 kcal),19,"8,2",21,2,"5,6","1,1","0,44",,['Française de Gastronomie'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450 g,,,,,,,,,,,
176,Rhum,3047102095258,['France'],[],[],?,?,,?,,?,,?,,,C,,"['Boissons', 'Boissons alcoolisées', 'Alcools forts', 'Eaux-de-vie', 'Rhums']",,,,,,,,,,,,,,,,,,,,,,,,0.0%,41.3%,42.0%,11.2%,3.5%,2.0%,57,,,,,,,,,,,,,
177,3077051403712,3077051403712,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,Tartes brandade,3760193240467,['France'],[],[],?,416,1741 kj(416 kcal),31,2,28,"1,8","7,3","1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 30.243.001 CE', 'Saint-Christol-lès-Alès (Gard, France)']",,,,,
179,Bandeja de surtido de turrones - El Almendro - 400g,8410223906317,"['France', 'Espagne']",[],[],?,584,2443 kj(584 kcal),39,"15,3",50,38,"7,6","0,1","0,04",E,['El Almendro'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Aliments et boissons de Noël', 'Confiseries de Noël', 'Touron']",,39 g,en quantité élevée,15.3 g,en quantité élevée,38 g,en quantité élevée,0.1 g,en faible quantité,,+12%,+12%,+25%,+190%,+11%,-1%,-37%,+56%,+56%,25,+52%,E,+52%,91.0%,4.2%,2.3%,2.0%,0.5%,0.0%,34,,400 g,,,,,,,,,,,
180,Winterschokolade gebrannte Mandel,4058172295294,['France'],[],[],?,576,2410 kj(576 kcal),38,21,49,46,"8,7","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'en:EG-Öko-Verordnung']",,,,,,,,,,,,
181,Soresina Grana Padano Riserva 20 Mesi GR 160 Latt.,8004673110563,['France'],[],[],?,398,1665 kj(398 kcal),29,18,0,0,33,"1,5","0,6",D,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages italiens', 'Grana Padano']",,29 g,en quantité élevée,18 g,en quantité élevée,0 g,en faible quantité,1.5 g,en quantité modérée,,+1%,+0%,+0%,0%,-100%,-100%,0%,-1%,-1%,15,-1%,D,-1%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,,
182,Chips de galettes au blé noir,3448040101160,['France'],[],[],?,421,1761 kj(421 kcal),"8,1",1,70,"1,7","12,9","3,1","1,24",B,,"['Crêpes et galettes', 'Galettes', 'Galettes de blé noir']",,8.1 g,en quantité modérée,1 g,en faible quantité,1.7 g,en faible quantité,3.1 g,en quantité élevée,,+138%,+138%,+108%,-37%,+156%,+137%,+89%,+135%,+135%,15,+191%,D,+191%,31.3%,30.2%,19.0%,10.8%,8.7%,0.0%,96,['Bio'],,,,,,,,,,,,
183,mix - 380g,08652833,['France'],"['200 g de Pâte Napoli ', '52,6%', ' : pâte 50,5% ', 'farine de blé', 'eau', ""huile d'olive vierge extra"", 'sel', 'levure', 'huile de tournesol', "" 110 g de Garniture d'Ingrédients savoureux "", '29%', ': mozzarella 14%', 'fromage de chèvre 7,4%', 'oignons rouges 3,9%', ""miel d'acacia 1,3%"", 'noisettes 1,3%', 'roquette 0,8%', 'origan 0,3%', ' 70 g de Sauce à la crème cuisinée ', '18,4%', ' : eau', 'crème fraîche 6,2%', 'vin blanc', 'Parmigiano reggiano 0,9%', 'échalotes', 'ail 0,4%', 'condiment balsamique blanc ', 'vinaigre de vin', 'moût de raisin', 'conservateur: disulfite de potassium', 'fécule de manioc', 'purée de câpres au vinaigre ', 'câpres', 'sel', 'eau', 'vinaigre de vin', ""correcteur d'acidité: acide acétique"", 'sel', 'moutarde de Dijon ', 'eau', 'graines de moutarde', ""vinaigre d'alcool"", 'sel', 'poivre noir 0,05%', 'muscade']",['Non végétalien'],1117,266,1117 kj(266 kcal),11,"5,5",30,"2,8",11,"1,6","0,64",,['Mix'],"['Plats préparés', 'Pizzas tartes salées et quiches', 'Pizzas']",['Leclerc'],11 g,en quantité modérée,5.5 g,en quantité élevée,2.8 g,en faible quantité,1.6 g,en quantité élevée,+17%,+16%,+16%,+31%,+40%,+12%,-5%,+7%,+28%,+28%,14,+80%,D,+80%,,,,,,,,,380 g,['sachet plastique et carton'],"['E224 - Disulfite de potassium', '', 'Risque élevé de sur-exposition', 'E260 - Acide acétique']",3,,"['Gluten', 'Lait', 'Moutarde', 'Fruits à coque']","['2A 323 000', 'FSC-C129128']",www.mixcreateurdegout,,['Italie et Bretagne'],,
184,Le Bojo Nouveau Bio,3395940532702,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,,
185,Montfort - Maison Montfort,3104544073050,['France'],[],[],?,?,,?,,?,,?,,,,['Maison Montfort'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,Knacki - Herta - 2x 210g,7613037027365,['France'],[],[],?,265,1109 kj(265 kcal),23,9,2,2,"12,5","1,8","0,72",,['Herta'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Viande Française', 'Viande Porcine Française']",2 x 210 g,,,,,,,,,,,
187,Truffes fantaisie,3173281052703,['France'],[],[],?,595,2489 kj(595 kcal),44,34,43,41,"3,9","0,017","0,007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,buzet - 750ml,08685193,['France'],"['CEPAGES: Merlot', 'Cabernet Franc', 'Cabermet Sauvignon']","['Végétalien', 'Végétarien']",?,?,,?,,?,,?,,,B,,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins rouges']",['Nicolas'],,,,,,,,,,,,,,,,,,,,,,,38.9%,16.2%,33.0%,8.1%,2.4%,1.3%,43,"['Bio', 'Bio européen', 'Végétarien', 'Végétalien', 'AB Agriculture Biologique', 'Union Végétarienne Européenne', 'FR-BIO-01']",750 ml,['Bouteille'],,3,,,,,['France'],['47160 Buzet sur baise'],,
189,Vin de bordeaux Château Pinasse,3660989217522,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,Clément,3107460008373,['France'],[],[],?,?,,?,,?,,?,,,C,['Clément'],"['Boissons', 'Boissons alcoolisées', 'Alcools forts', 'Eaux-de-vie', 'Rhums', 'Rhums vieux']",,,,,,,,,,,,,,,,,,,,,,,,0.0%,41.3%,42.0%,11.2%,3.5%,2.0%,57,,,,,,,,,,,,,
191,Bourgogne - Pinot Noir,3296313110209,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,Mélange pour Brownie - poele en fonte - Nutella - 74g,3491955384869,['France'],[],[],?,383,1602 kj(383 kcal),"3,3","0,8","78,3","33,3","8,3","0,9","0,36",,['Nutella'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74 g,,,,,,,,,,,
193,Bananes bio,0219066011749,['France'],[],[],?,?,,?,,?,,?,,,B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Fruits tropicaux', 'Bananes']",,,,,,,,,,,,,,,,,,,,,,,,63.7%,0.0%,0.0%,23.1%,9.9%,3.2%,95,['Bio'],,,,,,,,,,,,
194,Orange amère - Francis Miot - 340g,3396745000496,['France'],[],[],?,205,858 kj(205 kcal),"< 0,5","< 0,1",49,49,"0,5","0,01","0,004",D,['Francis Miot'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Produits artisanaux', 'Confitures', 'Confitures artisanales']",,0.5 g,en faible quantité,0.1 g,en faible quantité,49 g,en quantité élevée,0.01 g,en faible quantité,,-7%,-7%,+175%,+297%,-5%,+1%,-16%,-50%,-50%,11,+16%,D,+16%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,340g,,,,,,,,,,,
195,3770000228335,3770000228335,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,Thé noir Earl Grey Bio Tea - Malongo,3187571094168,['France'],[],[],?,?,,?,,?,,?,,,,['Malongo'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'Commerce équitable', 'AB Agriculture Biologique', 'FR-BIO-01', 'Fabriqué en France', 'Max Havelaar']",,,,,,,,,,,,
197,Jus D'orange,3205589200002,['France'],[],[],?,?,,?,,?,,?,,,D,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', ""Jus d'orange""]",,,,,,,,,,,,,,,,,,,,,,,,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,,,,,,,,,
198,Flax pudding,5906395147793,['France'],[],[],?,353,1477 kj(353 kcal),"3,6","0,42",61,48,12,"0,14","0,056",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,,
199,Quinoa noir - Mothergrain - 400gr,3770002946381,['France'],"['lipides 6', '4gr ,']",[],?,355,1485 kj(355 kcal),"6,4","0,8","68,2",3,"12,7","0,02","0,008",,['Mothergrain'],['Graine de quinoa'],['Géant Casino'],6.4 g,en quantité modérée,0.8 g,en faible quantité,3 g,en faible quantité,0.02 g,en faible quantité,,,,,,,,,,,-6,,A,,,,,,,,,"['Bio', 'Bio européen', 'en:gluten-free', 'AB Agriculture Biologique']",400 gr,['carton recyclable'],,,,,,http://www.quinoa.fr,,,,
200,Potato chips,8008714000844,['France'],[],[],?,480,2008 kj(480 kcal),"23,8","1,9","55,7","0,5","7,9","1,3","0,52",B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Céréales et pommes de terre', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Chips de pommes de terre']",,23.8 g,en quantité élevée,1.9 g,en quantité modérée,0.5 g,en faible quantité,1.3 g,en quantité modérée,,-10%,-10%,-27%,-39%,+8%,-64%,+32%,0%,0%,11,-3%,D,-3%,62.4%,19.7%,7.4%,7.2%,3.4%,0.0%,78,['en:gluten-free'],,,,,,,,,,,,
201,Miel de fleurs,3328385600057,['France'],[],[],?,?,,?,,?,,?,,,B,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de fleurs']",,,,,,,,,,,,,,,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,,
202,Céréales,4251680800169,['France'],[],[],?,425,1778 kj(425 kcal),20,"2,8","34,1","7,2","20,3","0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,,
203,Confiture citron et lavandes - Gervinho - 350g,3355430001361,['France'],[],[],?,259,1084 kj(259 kcal),"0,1",0,"61,2","60,8","0,3",0,0,,['Gervinho'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades']",,0.1 g,en faible quantité,0 g,en faible quantité,60.8 g,en quantité élevée,0 g,en faible quantité,,+16%,+16%,-61%,-100%,+13%,+18%,-40%,-100%,-100%,13,+37%,D,+37%,,,,,,,,,350g,,,,,,,,,,,
204,Huile de noix,3523539000244,['France'],[],[],?,828,3464 kj(828 kcal),92,"8,9",0,0,0,0,0,D,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Fruits à coques et dérivés', 'Matières grasses végétales', 'Huiles', 'Huiles de fruits à coques', 'Huiles de noix']",,92 g,en quantité élevée,8.9 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,,-6%,-6%,-6%,-6%,-100%,-100%,-100%,-100%,-100%,5,-7%,C,-7%,92.8%,2.3%,2.5%,1.3%,1.2%,0.0%,36,,,,,,,,,,,,,
205,Commande boulangerie - Auchan,0208213019684,['France'],[],[],?,?,,?,,?,,?,,,,['Auchan'],,['Auchan'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,Chocapic granola - Nestlé,8613055891046,['France'],[],[],?,427,1787 kj(427 kcal),14,"2,1",61,19,"9,7","0,27","0,108",C,"['Nestlé', 'Chocapic']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Céréales au chocolat']",,14 g,en quantité modérée,2.1 g,en quantité modérée,19 g,en quantité élevée,0.27 g,en faible quantité,,+2%,+2%,+37%,-35%,-14%,-24%,+22%,-47%,-47%,12,+20%,D,+20%,74.0%,13.1%,5.1%,5.5%,2.3%,0.0%,60,,,,,,,,,,,,,
207,5202227123370,5202227123370,['France'],[],[],?,?,,?,,?,,?,,,,,['Ouzo'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,Le Rillaud Angevin -,3770014699008,['France'],[],[],2259,542,2259 kj(542 kcal),"33,4","10,5","50,2","39,9","8,4","< 0,125","0,05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,BALPARMAK Pine Honey Squeeze,8690998117235,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,Miel de fleurs crémeux d'été,3770009008143,['France'],[],[],?,?,,?,,?,,?,,,B,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels']",,,,,,,,,,,,,,,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,,
211,Pavé veau à griller -,0202067022760,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,Boulot Complet Bio - Auchan,2090000186130,['France'],[],[],?,247,1033 kj(247 kcal),"1,6","0,3",47,"1,7","8,3","1,2","0,48",,['Auchan'],,['Auchan'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,,
213,Chrome picolinate - Solgar - 200ug,03398400866,['France'],[],[],?,?,,?,,?,,?,,,,['Solgar'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200ug,,,,,,,,,,,
214,Pâte à sucre - Auchan,3596710473236,['France'],[],[],?,401,1678 kj(401 kcal),"5,6","3,5",88,86,"0,5","0,02","0,008",,['Auchan'],"['Aides culinaires', 'Aides à la pâtisserie', 'Pâtes à sucre']",['Auchan'],5.6 g,en quantité modérée,3.5 g,en quantité modérée,86 g,en quantité élevée,0.02 g,en faible quantité,,+2%,+1%,+6%,+14%,+2%,+4%,+642%,-82%,-82%,18,+7%,D,+7%,,,,,,,,,,,,,,,,,,,,
215,Pavés de Kangourou - Saveurs forestières,3266980007966,['France'],[],[],?,88,368 kj(88 kcal),"0,3","0,01","1,1","1,1",20,"1,8","0,72",,['Saveurs forestières'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,12 escargots de Bourgogne aux morilles - Escal,3261088225113,['France'],[],[],?,330,1381 kj(330 kcal),"31,3",21,"1,4","0,3","10,4","0,96","0,384",C,['Escal'],"['Viandes', 'Escargots', 'Escargots de Bourgogne']",,31.3 g,en quantité élevée,21 g,en quantité élevée,0.3 g,en faible quantité,0.96 g,en quantité modérée,,+30%,+30%,+54%,+54%,-40%,-56%,-6%,-19%,-19%,18,+49%,D,+49%,65.7%,14.4%,4.7%,3.9%,2.4%,9.0%,66,,,['boîte'],,,,,,,,,,
217,Farine T65 Bio,3602019786264,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,,
218,Carrefour - 2x 300ml,3460070491707,['France'],[],[],?,?,,?,,?,,?,,,,['Carrefour'],,['Carrefour'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Fabriqué en France']",2 x 300 ml,,,,,,,,,,,
219,Gratin d'endives au jambon - Cora,3257986406693,['France'],[],[],?,104,435 kj(104 kcal),"7,2","4,6","4,7","1,9","5,1","0,76","0,304",C,['Cora'],"['Plats préparés', 'Endives au jambon', ""Gratin d'endives"", ""Gratin d'endives au jambon""]",,7.2 g,en quantité modérée,4.6 g,en quantité modérée,1.9 g,en faible quantité,0.76 g,en quantité modérée,,-1%,-1%,+21%,+45%,-16%,-26%,-17%,+0%,+0%,5,+82%,C,+82%,71.8%,15.1%,6.0%,3.7%,2.0%,1.4%,57,,,,,,,,,,,,,
220,Miel curcuma bio - Famille Mary,3760115098466,['France'],[],[],?,?,,?,,?,,?,,,,['Famille Mary'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,,
221,Les oeufs Geslin,3760084050120,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,Sirop d'agave - Saveurs attitudes - 6kg,3299430064592,['France'],[],[],?,?,,?,,?,,?,,,,['Saveurs attitudes'],"['Édulcorants', 'Sirops', 'Sirops simples', ""Sirops d'agave""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6 kg,,,,,,,,,,,
223,3123020001233,3123020001233,['France'],"['Boutique Griottines Fougerolles Tel', '+33', '0', '3 84 4963 47 Elaboré par François LACHAINL FOIE GRAS DE CANARI ttines', 'com ads net: 88 g AU COGNAC entsFoie gras de canard ', 'origine France', '2,3 % Cognac fne warnitrite de sodium', 'sucre', 'poivre']",[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,10 grands macarons pâtissiers,3760238993570,['France'],[],[],?,435,1820 kj(435 kcal),"23,3","8,08","45,3","44,6","9,2","0,13","0,052",D,,"['Desserts', 'Biscuits et gâteaux', 'Pâtisseries', 'Macarons']",,23.3 g,en quantité élevée,8.08 g,en quantité élevée,44.6 g,en quantité élevée,0.13 g,en faible quantité,,+2%,+2%,+31%,+79%,-19%,-11%,+7%,-9%,-9%,22,+25%,E,+25%,88.9%,5.7%,2.0%,2.2%,1.2%,0.0%,37,"['en:gluten-free', 'Sans conservateurs']",,,,,,,,,,,,
225,Mousse de Homard aromatisée au Cognac,3760209992564,['France'],[],[],?,224,937 kj(224 kcal),22,"9,6",1,"0,6",7,"0,7","0,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,elegant façon Foret Noire,3274664135027,['France'],[],[],?,162,678 kj(162 kcal),"5,1","4,1",26,22,"1,9","0,11","0,044",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,Escalopes de dinde - Le picorer - 2,2402735054446,['France'],[],[],?,?,,?,,?,,?,,,D,['Le picorer'],"['Viandes', 'Volailles', 'Dindes', 'Blancs de dinde']",,,,,,,,,,,,,,,,,,,,,,,,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,"['Bio', 'Bio européen', 'FR-BIO-01']",2,,,,,,['FSC-C013535'],,,,,
228,Jambon Ibérique,8410468004571,['France'],[],[],?,339,1418 kj(339 kcal),19,"6,1",0,0,42,"3,5","1,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['en:gluten-free'],,,,,,,,,,,,
229,Miel de foret LE RUCHER DES 2 LACS,3586850000072,['France'],[],[],?,0,0 kj(0 kcal),?,,?,,?,,,B,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de forêt']",,,,,,,,,,,-100%,-100%,,,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,,
230,marrons glaces - Vendome,3596710476862,['France'],[],[],?,318,1331 kj(318 kcal),"0,9","0,2",75,46,1,"0,06","0,024",,['Vendome'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Snacks sucrés', 'Confiseries', 'Fruits à coques et dérivés', 'Confiseries de fruits à coques', 'Marrons glacés']",,0.9 g,en faible quantité,0.2 g,en faible quantité,46 g,en quantité élevée,0.06 g,en faible quantité,,+0%,+0%,+1%,+28%,+1%,-9%,-2%,+60%,+60%,13,+10%,D,+10%,,,,,,,,,,,,,,,,,,,,
231,Les gourmandises de sophie - 230g,3700345904472,['France'],[],[],?,?,,?,,?,,?,,,,['Les Gourmandises De Sophie'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230 g,,,,,,,,,,,
232,3760030481909,3760030481909,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,Les delices noisettes et miel,3760032991543,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
