,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,brand,categories,markets,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,quantity,packaging,additives,nova_score,generic_name,allergens,traceability_code,link,ingredients_origins,manufacturing,brand_owner,palm_ingredients
870,L'étoile de noel - 600g,3587220003549,['France'],[],[],?,274,1146 kj(274 kcal),"7,7",0,44,21,"6,7","0,9","0,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600 g,,,,,,,,,,,
871,Assortiment de mini pains - Picard - 160g,3270160822270,['France'],[],[],?,369,1544 kj(369 kcal),15,"9,2",43,"5,4",11,"0,58","0,232",,['Picard'],,['Picard'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160 g,,,,,,,,,,,
872,Ballantine's - 70cl,5000299610886,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70 cl,,,,,,,,,,,
873,Sève De Kitul - 325 ML - Guayapi,3471121010327,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
874,Tinto Figeuro Ribera Del Duero,8437004111012,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
875,bio cashew mus - natur pur - 250g,9100000155647,['France'],"['Bio-Cashew - kerne aus Indien Kann Spuren von anderen Schalenfrüchten', 'Erdnüs - sen', 'Sesam', 'Lupinen und Milch enthalten']",['Non végétalien'],?,630,2636 kj(630 kcal),51,11,19,"5,6",20,"0,02","0,008",,['natur pur'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Fruits à coques et dérivés', 'Pâtes à tartiner végétales', ""Purées d'oléagineux"", 'Beurres de fruits à coques', 'Purées de noix de cajou']",['Spar'],51 g,en quantité élevée,11 g,en quantité élevée,5.6 g,en quantité modérée,0.02 g,en faible quantité,,+5%,+5%,+8%,+15%,-20%,+2%,+8%,-58%,-58%,18,+61%,D,+61%,,,,,,,,"['Bio', 'Bio européen', 'DE-ÖKO-006']",250g,,,1,,,,,['Allemagne'],,,
876,Acide Malique - 500 G - Nature & Partage,3770001361109,['France'],[],[],?,0,0 kj(0 kcal),?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500 g,,,,,,,,,,,
877,Roudoudou -,8437005936423,['France'],[],[],?,0,0 kj(0 kcal),?,,?,,?,0,0,E,,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']",,,,,,,,0 g,en faible quantité,,-100%,-100%,,,,,,-100%,-100%,,,,,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,,,,,,,,,,,
878,Sommeil Bio,3563210004543,['France'],[],[],?,4,17 kj(4 kcal),0,0,"0,5","0,5","0,5",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'ES-ECO-020-CV', 'Agriculture UE/Non UE']",,,,,,,,,,,,
879,Evian,3068320114767,['France'],[],[],?,?,,?,,?,,?,,,,['Evian'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
880,Petit rôti de porc,2205454023423,['France'],[],[],?,127,531 kj(127 kcal),"4,2","1,7","0,4","0,4",22,2,"0,8",E,,"['Viandes', 'Porc', 'Rôtis de porc']",,4.2 g,en quantité modérée,1.7 g,en quantité modérée,0.4 g,en faible quantité,2 g,en quantité élevée,,-12%,-11%,-17%,-19%,-51%,-36%,-2%,+16%,+16%,5,-30%,C,-30%,77.9%,17.0%,3.2%,1.1%,0.6%,0.2%,21,"['Viande Française', 'Viande Porcine Française']",,,,,,,"['FR 22.046.001 CE', ""Collinée (Côtes-d'Armor, France)""]",,,,,
881,Soft nougat with coconut - 250g,8719992250431,['France'],[],[],?,444,1858 kj(444 kcal),"15,3","8,32","74,2","56,4",1,"0,6","0,24",E,,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Nougats']",,15.3 g,en quantité modérée,8.32 g,en quantité élevée,56.4 g,en quantité élevée,0.6 g,en quantité modérée,,-1%,-1%,-7%,+320%,+13%,+4%,-86%,+698%,+698%,25,+56%,E,+56%,91.0%,4.2%,2.3%,2.0%,0.5%,0.0%,34,,250 g,,,,,,,,,,,
882,Half Decaffeinato - Nespresso,7630047652974,['France'],[],[],?,?,,?,,?,,?,0,0,,['Nespresso'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Cafés', 'Cafés décaféinés']",,,,,,,,,,,,,,,,,,-100%,-100%,,,,,,,,,,,,,,,,,,,,,,,,
883,Lot de 2 boursin - 2x 150g,3073781123043,['France'],[],[],?,410,1715 kj(410 kcal),"40,5",27,"2,5","2,5","8,5","1,2","0,48",,['Boursin'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 x 150 g,,,,,,,,,,,
884,Queue de lotte surgele,3486120001870,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
885,Foie gras de canard - Casino Délices,3222477068926,['France'],[],[],?,543,2272 kj(543 kcal),56,24,"2,2",0,"7,5","1,3","0,52",B,"['Casino Délices', 'Casino']","['Poissons et viandes et oeufs', 'Foies gras', 'Foies gras de canard', 'Foies gras entiers', 'Foies gras de canard entiers']",['Casino'],56 g,en quantité élevée,24 g,en quantité élevée,0 g,en faible quantité,1.3 g,en quantité modérée,,+3%,+3%,+3%,+3%,-8%,-100%,-0%,+8%,+8%,21,+1%,E,+1%,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,,,,,,,,"['EMB 40281A', 'Saint-Pierre-du-Mont (Landes, France)']",,,,,
886,delpeyrat,2672680096499,['France'],"['magret de canard 91%e325e262e301arome acerolafleur de sel 0', '3%']",[],?,?,,?,,?,,?,,,D,['Delpeyrat'],"['Viandes', 'Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Volailles', 'Plats à la volaille', 'Plats au canard', 'Canards', 'Magrets de canard']",['Carrefour'],,,,,,,,,,,,,,,,,,,,,,,81.9%,9.6%,2.1%,2.2%,1.1%,3.1%,28,,,['lot de 3'],['E262 - Acétates de sodium'],,,,['2672680096499'],,['France'],['France'],,
887,Maltesers Pouch 140G,9300682047500,['France'],[],[],?,501,2096 kj(501 kcal),"22,7",14,"67,1","55,3","6,3","0,11","0,044",,['Maltesers'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
888,Hydrate pro sport stevia,8719326214009,['France'],[],[],?,25,105 kj(25 kcal),0,0,6,"2,8",0,"0,12","0,048",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
889,Choco shocks mini - 120g,8710998426394,['France'],[],[],?,495,2071 kj(495 kcal),29,8,57,44,5,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120 g,,,,,,,,,,,
890,Toasts apéritif au sel de Guerande - La Chanteracoise - 140g,3760178791588,['France'],[],['Sans huile de palme'],?,376,1573 kj(376 kcal),"8,2","6,4","6,3","5,5","1,1","2,04","0,816",,['La Chanteracoise'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01', 'en:palm-oil-free']",140 g,,,,,,,,,,,
891,Mikado Chocolat noir,17146814,['France'],"['Farine de blé', 'sucre', 'pâte de cacao', 'graisses végétales ', 'palme', 'noix de coco', 'beurre de cacao', 'lactosérum en poudre ', 'de lait', 'beurre concentré', 'sel', 'émulsifiants ', 'lécithine de soja', 'E476', 'poudre à lever ', 'E503', 'levure', 'arôme', ' Peut contenir fruits à coque']","['Huile de palme', 'Non végétalien', 'Peut-être végétarien']",?,?,,?,,?,,?,,,,"['Mikado', 'Glico']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Pur beurre de cacao'],,,"['E322i - Lécithine', ""E476 - Esters polyglycériques d'acides gras d'huile de ricin"", ""E503 - Carbonates d'ammonium""]",4,,"['Gluten', 'Lait', 'Fruits à coque', 'Soja']",,,,,,
892,Chocolats de Noël,3120470027097,['France'],[],[],?,545,2280 kj(545 kcal),32,20,57,56,"6,1","0,18","0,072",,,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Bonbons de chocolat']",,32 g,en quantité élevée,20 g,en quantité élevée,56 g,en quantité élevée,0.18 g,en faible quantité,,+3%,+3%,0%,+15%,+9%,+18%,+4%,+18%,+18%,26,+7%,E,+7%,,,,,,,,,,,,,,,,,,,,
893,Sauce tomate cuisinee aux peyits legumes - 180g,3760239181860,['France'],[],[],?,78,326 kj(78 kcal),2,"0,2",12,"7,8","1,9","2,1","0,84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],180 g,,,,,,,,,,,
894,Farce à escargot,3043039157106,['France'],[],[],?,606,2536 kj(606 kcal),65,43,"3,3","1,6","1,6","1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
895,Purée De Coco Bio - Nutiva,1220000020054,['France'],[],[],?,709,2966 kj(709 kcal),64,60,25,"8,7","5,6","0,09","0,036",,['Nutiva'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,,
896,Yaourt Nature,3770009144124,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
897,Aubergines cuisinées à la provençale - Cassegrain,3083681103496,['France'],[],[],?,90,377 kj(90 kcal),6,"0,7","6,1",6,"1,2","0,65","0,26",,['Cassegrain'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Plats préparés', 'Légumes et dérivés', 'Aubergines', 'Légumes préparés', 'Aubergines préparées', ""Ristes d'aubergines"", 'Aubergines à la provençale']",,6 g,en quantité modérée,0.7 g,en faible quantité,6 g,en quantité modérée,0.65 g,en quantité modérée,,-8%,-8%,-2%,-6%,-9%,+29%,+2%,-17%,-17%,4,+16%,C,+16%,,,,,,,,,,,,,,,,,,,,
898,Blinis,3392070180070,['France'],[],[],?,262,1096 kj(262 kcal),"9,4",1,38,"7,2","5,9","1,7","0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
899,Real good ketchup - 10oz,5060278430225,['France'],[],[],?,10,42 kj(10 kcal),0,0,1,1,0,"0,2","0,08",B,,"['Epicerie', 'Sauces', 'Sauces tomate', 'Ketchup']",,0 g,en faible quantité,0 g,en faible quantité,1 g,en faible quantité,0.2 g,en faible quantité,,-91%,-90%,-100%,-100%,-96%,-95%,-100%,-90%,-90%,0,-100%,B,-100%,37.2%,25.2%,17.2%,12.9%,5.9%,1.6%,94,,10 oz,,,,,,,,,,,
900,Chocolat au lait et noisette Bio - Bovetti - 350g,3501940122922,['France'],"['chocolat au lait*° ', 'sucre ce canne*°', 'beurre de cacao*°', 'poudre de LAIT* entier', 'masse de cacao*° origine St Domingue poudre de vanille*°', 'NOISETTES* ', '4%', 'arrow-root*', "" Peut contenir des traces d'autres fruits à coque"", 'de soja', 'de gluten et de sésame', "" * issu de l'agriculture biologique /° contient des ingrédients équitables contrôlés selon le référentiel Fair For Life "", '73% des ingrédients']",['Non végétalien'],?,591,2473 kj(591 kcal),41,25,47,44,"7,4","0,15","0,06",E,['Bovetti'],"['Cacao et dérivés', 'Cacaos et chocolats en poudre', 'Cacaos en poudre']",['Biocoop'],41 g,en quantité élevée,25 g,en quantité élevée,44 g,en quantité élevée,0.15 g,en faible quantité,,+69%,+69%,+195%,+211%,+81%,+311%,-57%,+39%,+39%,26,+182%,E,+182%,94.3%,2.4%,0.9%,2.1%,0.3%,0.0%,17,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01']",350g,['Metal'],,3,,"['Lait', 'Fruits à coque']",,,,['France'],,
901,Terrine de magret - Fleurons de Lomagne - 180g,3700428491394,['France'],[],[],?,309,1293 kj(309 kcal),26,"9,7","3,6","0,5",15,"1,5","0,6",,['Fleurons de Lomagne'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180 g,,,,,,,,,,,
902,Eafit total capteur,3518681010166,['France'],[],[],?,?,,?,,?,,?,,,,['Eafit'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
903,Gaspacho,3276350216751,['France'],[],[],?,9.9,41 kj(9 kcal),"0,2","0,1","1,2",1,"0,6","0,4","0,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
904,Protein Bar flavour Vanilla & Caramel,5707577126311,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
905,Sirop de pêche - Monin,3052911423093,['France'],[],[],?,338,1414 kj(338 kcal),0,0,"83,1",83,0,"0,03","0,012",B,['Monin'],"['Boissons', 'Sirops', 'Sirops aromatisés', 'Sirops de pêche']",,,,,,,,,,,+32%,+27%,-100%,-100%,+21%,+27%,-100%,-13%,-13%,,,,,58.3%,8.5%,16.3%,7.9%,7.3%,1.6%,100,,,,,,,,,,,,,
906,Marrons glacés - Cruzilles - 120g,3339901001333,['France'],[],[],?,330,1381 kj(330 kcal),"0,9","0,2",83,77,"0,9",0,0,,['Cruzilles'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Snacks sucrés', 'Confiseries', 'Fruits à coques et dérivés', 'Confiseries de fruits à coques', 'Marrons glacés']",,0.9 g,en faible quantité,0.2 g,en faible quantité,77 g,en quantité élevée,0 g,en faible quantité,,+4%,+4%,+1%,+28%,+11%,+52%,-12%,-100%,-100%,14,+19%,D,+19%,,,,,,,,,120 g,,,,,,,,,,,
907,Foie gras de canard entier du sud ouest au poivre de sarawak - Maison Montfort,3104544072558,['France'],[],[],?,551,2305 kj(551 kcal),57,26,"2,2","1,4","7,1","1,3","0,52",B,['Maison Montfort'],"['Poissons et viandes et oeufs', 'Foies gras', 'Foies gras de canard', 'Foies gras entiers', 'Foies gras de canard entiers']",,57 g,en quantité élevée,26 g,en quantité élevée,1.4 g,en faible quantité,1.3 g,en quantité modérée,,+4%,+4%,+5%,+12%,-8%,+6%,-6%,+8%,+8%,21,+1%,E,+1%,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,['Sans conservateurs'],,,,,,,,,,,,
908,Alliance de Foie gras de canard entier er compotée d'abricots - Maison Montfort,3104544072602,['France'],[],[],?,487,2038 kj(487 kcal),48,21,"7,5","4,8","6,2","1,1","0,44",,['Maison Montfort'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
909,Still Natural mineral water - 500ml,5000167079487,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500 ml,,,,,,,,,,,
910,Lumière,3595120022744,['France'],[],[],?,253,1059 kj(253 kcal),"0,5","0,1","54,5","40,9","2,1","0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
911,Ac.girasol Gourmet 5 L.,8413080443070,['France'],[],[],?,827,3460 kj(827 kcal),92,11,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
