,name,bar_code,eco_score,quantity,brand,categories,sales_countries,ingredients_list,additives,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,packaging,labels,manufacturing,markets,allergens,ingredients_origins,link,traceability_code,brand_owner,palm_ingredients
994,Protein 95 - Stc nutrition,3700225601729,,,['Stc nutrition'],,['France'],[],,[],,,,,,,,,,?,,354,,1481 kj(354 kcal),,"1,9",,"0,8",,"6,2",,1,,76,,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,
995,Séchage et définition musculaire - Stc nutrition,3700225601736,,,['Stc nutrition'],,['France'],[],,[],,,,,,,,,,?,,354,,1481 kj(354 kcal),,"1,9",,"0,8",,"6,2",,1,,75,,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,
996,STC Nutrition 95 Définition & Séchage 2.25 KG,3700225601743,,,,,['France'],[],,[],,,,,,,,,,?,,343,,1435 kj(343 kcal),,"1,9",,"0,8",,"6,2",,1,,75,,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,
997,Whey Pure Premium Protein Vanille - 2.25KG - STC Nutrition,3700225601774,,,['Stc nutrition'],,['France'],[],,[],,,,,,,,,,?,,353,,1477 kj(353 kcal),,"4,5",,"1,6",,"6,9",,"1,9",,70,,"1,1",,"0,44",,,,,,,,,,,,,,,,,,,,,,,
998,Breakfast Multisports Cappuccino - Stc nutrition,3700225601811,,,['Stc nutrition'],,['France'],"['Fructose', 'protéines de soja ', 'émulsifiant lécithine de soja', 'protéines de lait', 'café soluble', 'AMINOLISE ', 'fructo-oligosaccharides', 'extrait de riz fermenté riçhe', 'en amylase', 'protéase', 'lactase', 'lipase', 'cellulase ', 'Aspergillus oryzae', ' ', ' ferments lactiques : Lactobacillus acidophilus', 'Lactobacillus casei', 'Streptococcus lactis', 'Bifidobacterium bifidum ', ' extrait de papaye titré en papaïne', ""extrait d'ananas titré en broméla'ine"", 'céréales ', 'riz', 'blé', 'orge', 'épaississant gomme guar', 'chlorure de sodium', 'anti-agglomérant : phosphate tricalcique', 'arômes ', 'céréales', 'L-valine', 'maltodextrines', 'A-C-E-BI -B2-B3-B5-B6-B8-B9-B12 L-méthionine', 'L-thréonine', 'molybdate de sodium', 'L-isoleucine', 'gluconate de manganèse', 'gluconate de esodiumsçhtorure de chrome', ' gluconate de zinc', 'sélénite de sodium', 'chlorure de Chrome']","['E1101 - Protéases', 'E1104 - Lipases', 'E412 - Gomme de guar', 'E341iii - Phosphate tricalcique']",['Non végétalien'],4,,,,,,,,,?,,355,,1485 kj(355 kcal),,"0,4",,0,,48,,39,,36,,"1,3",,"0,52",,,,,,,,,,,,,,,,,,"['Gluten', 'Lait']",,,,,
999,Vo2 Max Orange - 525GR - STC Nutrition,3700225601958,,,['Stc nutrition'],,['France'],[],,[],,,,,,,,,,?,,357,,1494 kj(357 kcal),,"0,2",,"0,1",,70,,"11,3",,"6,5",,"0,34",,"0,136",,,,,,,,,,,,,,,,,,,,,,,
1000,Colicillus Bébé - 10 ML - Pediakid,3700225602276,,,,,['France'],[],,[],,,,,,,,,,?,,810,,3389 kj(810 kcal),,90,,18,,"0,1",,"0,1",,"0,1",,0,,0,,,,,,,,,,,,,,,,,,,,,,,
1001,Iron force,3700225604072,,,,,['France'],[],,[],,,,,,,,,,?,,337,,1410 kj(337 kcal),,"2,4",,1,,"40,6",,"3,8",,"35,2",,,,,,,,,,,,,,,,,,,,,,,,,,,
1002,Isotonic Power Citron - Stc nutrition,3700225604133,,,['Stc nutrition'],,['France'],[],,[],,,,,,,,,,?,,360,,1506 kj(360 kcal),,0,,0,,"90,1",,"52,5",,0,,"5,8",,"2,32",,,,,,,,,,,,,,,,,,,,,,,
1003,"STC Whey Gold Plus Protein Poudre Vanille 2,2KG",3700225604225,,,,,['France'],[],,[],,,,,,,,,,?,,358,,1498 kj(358 kcal),,"4,3",,"0,9",,15,,11,,66,,"0,9",,"0,36",,,,,,,,,,,,,,,,,,,,,,,
1004,Whey Gold Plus - Chocolat,3700225604232,,,,,['France'],[],,[],,,,,,,,,,?,,358,,1498 kj(358 kcal),,4,,"1,3",,15,,10,,64,,"0,9",,"0,36",,,,,,,,,,,,,,,,,,,,,,,
1005,STC Nutrition XXL Ultra Mass,3700225604256,,,['Stc nutrition'],,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,['en:gluten-free'],,,,,,,,
1006,Kill-fit Shot 60 ML - STC Nutrition,3700225604461,,,['Stc nutrition'],,['France'],[],,[],,,,,,,,,,?,,0,,0 kj(0 kcal),,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
1007,My Power - Goût Fruits Exotiques,3700225604485,,,,,['France'],[],,[],,,,,,,,,,?,,21,,88 kj(21 kcal),,"0,01",,"0,01",,"4,7",,"4,5",,"0,6",,"0,2",,"0,08",,,,,,,,,,,,,,,,,,,,,,,
1008,Vo2 Max Fruits Rouges 5 Sachets De,3700225604690,,,,,['France'],[],,[],,,,,,,,,,?,,360,,1506 kj(360 kcal),,"0,2",,"0,1",,"70,9",,"32,1",,"18,3",,"0,98",,"0,392",,,,,,,,,,,,,,,,,,,,,,,
1009,Elite Fitness Barres Pommes - Stc nutrition,3700225604997,,,['Stc nutrition'],"['Compléments alimentaires', 'Compléments pour le Bodybuilding', 'Barres protéinées']",['France'],"['En-cas hypocalorique riche en protéines', 'enrichi en vitamines et minéraux ']",,[],,12.5 g,en quantité modérée,7.4 g,en quantité élevée,20.6 g,en quantité élevée,0.9 g,en quantité modérée,?,,399,+8%,1669 kj(399 kcal),+8%,"12,5",-4%,"7,4",+25%,40,+22%,"20,6",+55%,33,+13%,"0,9",+84%,"0,36",+84%,15,+46%,D,+46%,,,,,,,,Elite Fitness Barres Pommes,,,,,,,,,,
1010,STC Nutrition Kill-fit Bar 5 Barres - Westcliff,3700225605000,,,['Westcliff'],,['France'],[],,[],,,,,,,,,,?,,387,,1619 kj(387 kcal),,"12,5",,"8,9",,39,,21,,27,,"0,6",,"0,24",,,,,,,,,,,,,,,,,,,,,,,
1011,STC Nutrition Over Blast Finish Last KM,3700225605215,,,['Stc nutrition'],,['France'],[],,[],,,,,,,,,,?,,283,,1184 kj(283 kcal),,0,,0,,68,,47,,"1,9",,"0,5",,"0,2",,,,,,,,,,,,,,,"['en:gluten-free', 'Fabriqué en France']",,,,,,,,
1012,Overblast Perf' Cd-sprint Pomme - 10 Gels - STC Nutrition,3700225605246,,,['Stc nutrition'],,['France'],[],,[],,,,,,,,,,?,,293,,1226 kj(293 kcal),,0,,0,,73,,48,,0,,"0,5",,"0,2",,,,,,,,,,,,,,,['en:gluten-free'],,,,,,,,
1013,STC Nutrition Over Blast Finish,3700225605284,,,['Stc nutrition'],,['France'],[],,[],,,,,,,,,,?,,272,,1138 kj(272 kcal),,"0,001",,0,,66,,44,,"1,7",,"0,47",,"0,188",,,,,,,,,,,,,,,['en:gluten-free'],,,,,,,,
1014,Whey gold,3700225605321,,,,,['France'],[],,[],,,,,,,,,,?,,390,,1632 kj(390 kcal),,"5,1",,"3,6",,19,,12,,20,,"0,64",,"0,256",,,,,,,,,,,,,,,,,,,,,,,
1015,Bcaa Synergy+,3700225605352,,,,,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,['en:gluten-free'],,,,,,,,
1016,STC Nutrition Vegan Green Protein Smoothie Pomme / Pèche 500G,3700225605390,,,['STC'],,['France'],"['en Protéin%', 'Pomme Ingrédients Complexe tri-source de protéinesvé*es ', 'quinoa', 'chanvre', 'courge', 'arômes naturels', ""fibres d'inuline de chicorée"", 'spiruline 2% dont chlorophylle', ""correcteur d'acidité acide citrique"", 'épaississant : gomme xanthane', 'farine de graines de chia 1%', 'poudre de pomme', 'édulcorant : glycosides ', 'extrait de feuilles de stévia']","['E330 - Acide citrique', 'E415 - Gomme xanthane', 'E960 - Glucosides de stéviol', '', 'Risque modéré de sur-exposition']","['Végétalien', 'Végétarien']",4,,,,,,,,,?,,328,,1372 kj(328 kcal),,2,,"0,4",,13,,"2,5",,60,,"0,8",,"0,32",,,,,,,,,,,,,,,"['Végétarien', 'en:gluten-free', 'Végétalien', 'Sans lactose']",,,,,,,,
1017,Complement alimentaire à base de Chisotan - 28.32g,3700225620287,,28.32 g,,,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,['Fabriqué en France'],,,,,,,,
1018,Euphoryl - 90 Gélules - Ineldea Santé Naturelle,3700225640698,,,,,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,
1019,Ineldea Seranil,3700225640766,,,,,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,['en:gluten-free'],,,,,,,,
1020,"Musculine ""G"" - Abbaye Notre-Dame-des-Dombes - 500g",3700225900204,,500 g,['Abbaye Notre-Dame-des-Dombes'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Énergisants']",['France'],"['Viande bovine crue ', '50%', ' Confitures', 'sucre', 'miel', 'Vitamine B1']",,"['Non végétalien', 'Non végétarien']",3,3 g,en quantité modérée,,,,,,,1430,-22%,?,,1430 kj(342 kcal),-19%,3,-80%,,,62,-7%,,,17,+304%,,,,,,,,,,,,,,,,énergisants,"['Carton', 'Plastique']",,,"[""Boutique de l'abbaye Notre-Dame-des-Dombes""]",,,http://www.musculine.fr,"['FR 01.299.051 CE', 'Plantay (Ain, France)']",,
1021,Miel d'Hautecombe - Abbaye d'Hautecombe - 500g,3700225905629,A,500 g,"[""Abbaye d'Hautecombe""]","['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels']",['France'],"[""Miel d'Hautecombe""]",,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,"['Bocal', 'Verre', 'Couvercle', 'Métal']",,['France'],,,['France'],,,,
1022,Café saveur vanille - Les petits torréfacteurs - 125g,3700227512207,E,125 g,['Les petits torréfacteurs'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Cafés', 'Grains de café']",['France'],"['Café en grains', 'arôme vanille']",,"['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",4,,,,,,,,,?,,26,,,,"1,54",,,,"1,51",,,,"0,826",,,,,,,,,,96.9%,0.9%,0.7%,1.3%,0.2%,0.0%,10,Café en grains aromatisé,"['Sac', 'Papier']",,,['Maxicoffee.com'],,,,,,
1023,Café saveur noisette (dosettes souples),3700227516007,,,,"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Boissons chaudes', 'Cafés', 'Dosettes', 'Cafés en dosettes', 'Cafés en dosettes compatible Senseo']",['France'],[],,[],,,,,,,,,,?,,2,-50%,8 kj(2 kcal),-60%,2,+562%,2,+789%,2,+90%,2,+354%,2,+706%,2,+2765%,"0,8",+2765%,,,,,,,,,,,,,,,,,,,,,,
1024,Vinaigre de calamansi,3700231741358,,,,,['France'],[],,[],,,,,,,,,,?,,140,,586 kj(140 kcal),,0,,0,,"29,5",,0,,"0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,
1025,3700232010330,3700232010330,,,,,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,
1026,Nectar de prune d'ente,3700232012112,,,,,['France'],[],,[],,,,,,,,,,?,,64,,268 kj(64 kcal),,"0,5",,0,,15,,12,,"0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,
1027,Nectar de Prune d'Ente du Sud-Ouest - Vallée Verte,3700232012181,C,,['Vallée Verte'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Nectars de fruits', 'Nectars de prune']",['France'],[],,[],,0.5 g,en faible quantité,0 g,en faible quantité,12 g,en quantité élevée,0 g,en faible quantité,270,+44%,?,,270 kj(65 kcal),+34%,"< 0,5",+179%,0,-100%,15,+32%,12,+12%,"< 0,5",+58%,0,-100%,0,-100%,15,+10%,E,+10%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,"['Bouteille', 'Verre']",,['France'],,,,,,,
1028,3700232040337,3700232040337,,,,,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,
1029,Trouille - Les Brasseurs du Sornin - 75cl,3700232040757,B,75 cl,['Les Brasseurs du Sornin'],"['Boissons', 'Boissons alcoolisées', 'Produits artisanaux', 'Bières', 'Alcools artisanaux', 'Bières françaises', 'Bières noires', 'Bières artisanales']",['France'],"['Eau', ""malts d'orges"", 'malt torréfié', 'houblons', 'levure']",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,,"['Bouteille', 'Verre']",['Déconseillé aux femmes enceintes'],"['Loire', 'France']",,['Gluten'],['France'],,,,
1030,pur jus raisin rouge - coeur de nature,3700232060168,,,['coeur de nature'],['Boissons'],['France'],[],,[],,0.1 g,en faible quantité,0 g,en faible quantité,16 g,en quantité élevée,0 g,en faible quantité,?,,67,+20%,280 kj(67 kcal),+16%,"0,1",-71%,0,-100%,16,+42%,16,+69%,"0,1",-80%,0,-100%,0,-100%,20,+161%,E,+161%,,,,,,,,,,"['Bio', 'Bio européen', 'Fabriqué en France', 'AB Agriculture Biologique']",,,,,,"['EMB 47157', 'Marmande (Lot-et-Garonne, France)']",,
1031,Pur Jus de pamplemousse bio - Coeur De Nature,3700232060175,C,,['Coeur De Nature'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de pamplemousse', 'Jus de fruits pur jus', 'en:pure-grapefruit-juice']",['France'],"['Jus de pamplemousse*', ""*Ingrédients issus de l'agriculture biologique""]",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,0.1 g,en faible quantité,0 g,en faible quantité,10 g,en quantité élevée,0 g,en faible quantité,280,+72%,?,,280 kj(67 kcal),+72%,"0,1",-52%,0,-100%,10,+15%,10,+24%,"0,1",-79%,0,-100%,0,-100%,7,+278%,D,+278%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,"['Bouteille', 'Verre', 'Couvercle', 'Métal']","['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,
1032,Pur jus multifruit bio - Coeur De Nature,3700232060182,D,,['Coeur De Nature'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus multifruits', 'Jus de fruits pur jus', 'Jus multifruits pur jus']",['France'],"['Jus de pomme', 'jus de poire', 'purée d’abricot', 'purée de mirabelle']",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,0 g,en faible quantité,0 g,en faible quantité,12 g,en quantité élevée,0 g,en faible quantité,?,,49,+2%,205 kj(49 kcal),+2%,0,-100%,0,-100%,12,+8%,12,+15%,"0,2",-53%,0,-100%,0,-100%,5,+11%,C,+11%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,"['Bio', 'Fabriqué en France']",,,,,,"['EMB 47157', 'Marmande (Lot-et-Garonne, France)']",,
1033,Perle Verte - Les Brasseurs du Sornin - 33cl,3700232060335,B,33 cl,['Les Brasseurs du Sornin'],"['Boissons', 'Boissons alcoolisées', 'Produits artisanaux', 'Bières', 'Alcools artisanaux', 'Bières françaises', 'Bières artisanales', 'Bières aromatisées']",['France'],"['Eau', ""malts d'orge"", 'lentilles AOC du Puy-en-Velay', 'houblons', 'levure']",,[],3,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,,"['Bouteille', 'Verre']",['Déconseillé aux femmes enceintes'],"['Loire', 'France']",,['Gluten'],['France'],,,,
1034,Salve Garde - Les Brasseurs du Sornin - 33cl,3700232070334,C,33 cl,['Les Brasseurs du Sornin'],"['Boissons', 'Boissons alcoolisées', 'Produits artisanaux', 'Bières', 'Alcools artisanaux', 'Bières françaises', 'Bières ambrées', 'Bières artisanales']",['France'],"['Bière', ' Contient du gluten']",,"['Sans huile de palme', 'Peut-être végétalien', 'Végétarien']",3,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,,"['Bouteille', 'Verre']",['Déconseillé aux femmes enceintes'],"['Loire', 'France']",,['Gluten'],,,,,
1035,3700232080753,3700232080753,,,,,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,
1036,Clugny III - Les Brasseurs du Sornin - 33cl,3700232090332,B,33 cl,['Les Brasseurs du Sornin'],"['Boissons', 'Boissons alcoolisées', 'Produits artisanaux', 'Bières', 'Alcools artisanaux', 'Bières françaises', 'Bières artisanales', 'Bières au miel', 'Bières cuivrées']",['France'],"['Eau', ""malts d'orges "", 'orge cultivée dans la région', 'miel', 'houblons ', 'Alsace', 'levure']",,['Non végétalien'],3,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,,"['Bouteille', 'Verre']",['Déconseillé aux femmes enceintes'],"['Loire', 'France']",,['Gluten'],['France'],,,,
1037,Jus de Pomme Trouble de France - Natural Dream - 1L e,3700232091612,B,1 L e,['Natural Dream'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de pomme']",['France'],['Jus de pomme - teneur en fruits : 100%'],,[],1,0.1 g,en faible quantité,0 g,en faible quantité,12.2 g,en quantité élevée,0.003 g,en faible quantité,214,+13%,?,,214 kj(51 kcal),+12%,"0,1",-39%,0,-100%,"12,2",+12%,"12,2",+18%,"0,1",-53%,"0,003",-72%,"0,001",-72%,7,+69%,D,+69%,52.8%,9.4%,18.4%,14.0%,5.4%,0.0%,70,Jus de pomme trouble de france,"['Verre', 'Bouteille']","['Point Vert', 'Fabriqué en France']",['France'],,,,,"['EMB 47157', 'Marmande (Lot-et-Garonne, France)']",,
1038,Pur jus de tomate de marmande,3700232092114,,,,"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Boissons à base de végétaux', 'Aliments et boissons à base de légumes', 'Légumes et dérivés', 'Jus et nectars', 'Tomates et dérivés', 'Boissons aux légumes', 'Jus de légumes', 'Jus de tomates']",['France'],[],,[],,0.2 g,en faible quantité,0 g,en faible quantité,4.3 g,en quantité modérée,0.5 g,en quantité modérée,?,,21,+5%,88 kj(21 kcal),+7%,"0,2",+12%,0,-100%,"4,6",+25%,"4,3",+34%,"0,6",-20%,"0,5",+18%,"0,2",+18%,-2,,B,,,,,,,,,,,,,,,,,,,
1039,3700232110337,3700232110337,,,,,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,
1040,3700232170331,3700232170331,,,,,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,"['Bio', 'Agriculture UE/Non UE']",,,,,,,,
1041,Antidote - L'Auvergne Autrement - 75cl,3700232415753,C,75 cl,"[""L'Auvergne Autrement""]","['Boissons', 'Boissons alcoolisées', 'Produits artisanaux', 'Bières', 'Alcools artisanaux', 'Bières françaises', 'Bières ambrées', 'Bières artisanales']",['France'],"['Eau', ""malts d'orge"", 'houblons', '0,2 % extrait naturel de gentiane et de châtaigne ""Couderc""', 'levure']",,[],3,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,,"['Bouteille', 'Verre']","['Sans conservateurs', 'Déconseillé aux femmes enceintes', 'Non filtrée', 'Non pasteurisée']",['France'],,['Gluten'],,,,,
1042,Bière - L Auvergne Autrement - 75cl,3700232419508,,75cl,['L Auvergne Autrement'],,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,
1043,Cassoulet superieur au confit de canard - Vidal,3700233307057,C,,['Vidal'],"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats à la volaille', 'Plats à base de haricots', 'Plats au canard', 'Cassoulets', 'Cassoulets au confit de canard']",['France'],[],,[],,16 g,en quantité modérée,5.4 g,en quantité élevée,0.6 g,en faible quantité,1.1 g,en quantité modérée,?,,241,+59%,1008 kj(241 kcal),+59%,16,+106%,"5,4",+91%,"9,2",+17%,"0,6",-16%,15,+43%,"1,1",+23%,"0,44",+23%,12,+632%,D,+632%,66.0%,17.7%,6.2%,5.5%,2.7%,2.0%,72,,,,,,,,,,,
1044,Medaillon de foie gras - Vidal,3700233309013,,,['Vidal'],,['France'],[],,[],,,,,,,,,,?,,383,,1602 kj(383 kcal),,37,,15,,"1,4",,"0,6",,11,,"1,7",,"0,68",,,,,,,,,,,,,,,,,,,,,,,
1045,Confit De Canard - 2 Cuisses - Vidal,3700233313027,D,,['Vidal'],"['Viandes', 'Volailles', 'Canards', 'Cuisses de canard']",['France'],[],,[],,23 g,en quantité élevée,7.8 g,en quantité élevée,0 g,en faible quantité,1.7 g,en quantité élevée,?,,303,+27%,1268 kj(303 kcal),+27%,23,+39%,"7,8",+47%,0,-100%,0,-100%,24,+12%,"1,7",+23%,"0,68",+23%,17,+60%,D,+60%,83.0%,9.4%,2.7%,2.7%,1.4%,0.9%,37,,,,,,,,,,,
1046,Cassoulet superieur au confit d'oie - Vidal,3700233313126,,,['Vidal'],,['France'],[],,[],,,,,,,,,,?,,241,,1008 kj(241 kcal),,16,,"5,4",,"9,2",,"0,6",,15,,"1,1",,"0,44",,,,,,,,,,,,,,,,,,,,,,,
1047,Cassoulet - Vidal,3700233313133,,,['Vidal'],,['France'],[],,[],,,,,,,,,,?,,241,,1008 kj(241 kcal),,16,,"5,4",,"9,2",,"0,6",,15,,"1,1",,"0,44",,,,,,,,,,,,,,,,,,,,,,,
1048,Foie gras de canard entier du Périgord,3700233317377,B,,,"['Poissons et viandes et oeufs', 'Foies gras', 'Foies gras de canard', 'Foies gras entiers', 'Foies gras de canard entiers']",['France'],[],,[],,53 g,en quantité élevée,23 g,en quantité élevée,0 g,en faible quantité,1.5 g,en quantité modérée,?,,511,-3%,2138 kj(511 kcal),-3%,53,-2%,23,-1%,"1,3",-45%,0,-100%,"7,1",-6%,"1,5",+25%,"0,6",+25%,22,+6%,E,+6%,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,,,,,,,,,,,
1049,Foie gras - Vidal,3700233317445,B,,['Vidal'],"['Poissons et viandes et oeufs', 'Foies gras', 'Foies gras de canard']",['France'],[],,[],,50 g,en quantité élevée,21 g,en quantité élevée,6.3 g,en quantité modérée,1.1 g,en quantité modérée,?,,508,-1%,2125 kj(508 kcal),-1%,50,-5%,21,-7%,"8,1",+248%,"6,3",+367%,"6,4",-8%,"1,1",-9%,"0,44",-9%,21,+2%,E,+2%,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,,,,,,,,,,,
1050,Haricots verts extra fins,3700237645445,,,,,['France'],[],,[],,,,,,,,,,?,,21,,88 kj(21 kcal),,"0,5",,"0,5",,"1,5",,"0,5",,"1,5",,"0,72",,"0,288",,,,,,,,,,,,,,,,,,,,,,,
1051,Bisque de homard,3700238303160,,,,"['Produits de la mer', 'Bisques de homard']",['France'],[],,[],,5.5 g,en quantité modérée,1.1 g,en faible quantité,0.9 g,en faible quantité,1 g,en quantité modérée,?,,83,+51%,347 kj(83 kcal),+49%,"5,5",+108%,"1,1",+30%,"4,3",+20%,"0,9",-11%,"2,2",-28%,1,-11%,"0,4",-11%,5,+46%,C,+46%,,,,,,,,,,,,,,,,,,
1052,Moutarde douce aux aromates,3700238303931,B,,,"['Epicerie', 'Condiments', 'Sauces', 'Moutardes']",['France'],[],,[],,9.5 g,en quantité modérée,0.3 g,en faible quantité,5.2 g,en quantité modérée,4.9 g,en quantité élevée,?,,153,-10%,640 kj(153 kcal),-10%,"9,5",-12%,"0,3",-63%,"9,6",+39%,"5,2",+35%,"4,8",-27%,"4,9",+4%,"1,96",+4%,12,+3%,D,+3%,57.4%,14.5%,21.8%,4.8%,1.5%,0.0%,75,,,,,,,,,,,
1053,3700238304020,3700238304020,,,,,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,
1054,Épinards -,3700238304280,B,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Légumes et dérivés', 'Légumes en conserve', 'Légumes-feuilles', 'Épinards', 'Épinards en conserve']",['France'],[],,[],,0.2 g,en faible quantité,0 g,en faible quantité,0.4 g,en faible quantité,0.63 g,en quantité modérée,?,,28,-12%,117 kj(28 kcal),-13%,"0,2",-65%,0,-100%,"1,9",+6%,"0,4",-20%,3,-9%,"0,63",+43%,"0,252",+43%,-4,,A,,13.8%,38.4%,18.3%,9.2%,12.9%,7.5%,91,,,,,,,,,,,
1055,Asperge -  - 330g,3700238304365,C,330 g,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Légumes tiges', 'Asperges', 'Asperges blanches']",['France'],[],,[],,0 g,en faible quantité,0 g,en faible quantité,1.6 g,en faible quantité,0.42 g,en quantité modérée,?,,16,-16%,67 kj(16 kcal),-13%,0,-100%,0,-100%,2,+3%,"1,6",+37%,"1,4",-5%,"0,42",-47%,"0,168",-47%,-4,,A,,63.9%,17.1%,7.8%,4.4%,4.6%,2.3%,58,,,,,,,,,,,
1056,Haricots verts extra fins - Les Impeccables,3700238304419,,,['Les Impeccables'],,['France'],"['INGR ,IENTS : Haricots verts', 'Eau', 'Sel', 'origine INGREOIENTS: Green beans', 'Watel Sal MADAGASCAR']",,[],,,,,,,,,,?,,22,,92 kj(22 kcal),,"0,5",,"0,5",,"1,5",,"1,1",,"1,5",,"0,72",,"0,288",,,,,,,,,,,,,,,,,,,,,,,
