,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,eco_score,generic_name,quantity,packaging,brand,categories,labels,ingredients_origins,manufacturing,markets,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,nova_score,traceability_code,additives,allergens,link,palm_ingredients,brand_owner
486,Fantastic Berries - Tea-Time - 100g,7613269301912,"['France', 'Suisse']","['hibiscus', 'composants de pommes', 'feuilles de mûrier douces', 'acidifiant: acide citrique', 'arôme', 'écorces de cynorrhodon', 'composants de groseilles rouges', 'composants de fraises', 'jus de cassis concentré déshydratée ', 'correspond à 0', '25 %', 'jus de cassis', 'jus de fraises concentré déshydratée ', 'correspond à 0', '36 % jus de fraises']",[],?,2,8 kj(2 kcal),0,0,"0,6","0,2",0,,,100 g,,['Tea-Time'],,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,4,,['E330 - Acide citrique'],,,,
487,Onigiri chicken curry -,7613269542438,['France'],[],[],?,181,757 kj(181 kcal),8,1,22,5,5,,,,,,"['Snacks', 'Snacks salés', 'Onigiri']",,,,,8 g,en quantité modérée,1 g,en faible quantité,5 g,en quantité modérée,1.1 g,en quantité modérée,,+12%,+12%,+166%,+100%,-21%,-6%,+25%,"1,1",+40%,"0,44",+40%,4,+90%,C,+90%,,,,,,,,,,,,,,
488,Siciliana - Handgemacht - 360g,7613269568278,"['France', 'Suisse']","['farine de blé', 'pulpe de tomates 19', '5%', 'eau', 'mozzarella ', 'fromage', ' ', 'fromage frais', 'sel de cuisine', ' 15%', 'olives noires 6% ', 'olives', 'eau', 'sel de cuisine', 'stabilisant: E579', 'anchois 3', '5% ', 'Engraulis encrasicolus', 'atlantique Centre-Est', 'peche', 'câpres 2', '5%', 'semoule de blé dur', 'sel de cuisine', ""huiles d'olive extra vierge"", 'levure', 'origan', 'huile de tournesol']","['Non végétalien', 'Non végétarien']",789,187,789 kj(187 kcal),5,"3,5",19,3,16,,,360 g,,['Handgemacht'],,,,,,,,,,,,,,,,,,,,,,"1,875",,"0,75",,,,,,,,,,,,,,,['E579 - Gluconate de fer'],"['Poisson', 'Gluten', 'Lait']",,,
489,Yogourt  abricot du Valais - Migros,7613269636786,['France'],[],[],?,108,452 kj(108 kcal),"3,8","2,3","14,1","13,7","4,3",,,,,"['Migros', 'De la Région']",,,,,,,,,,,,,,,,,,,,,,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,
490,Gnocchi alors basilic con pomodorini e mozzarella - Migros - 400g,7613269684367,"['France', 'Suisse']","['Gnocchi 45% ', 'eau', 'flocons de pommes de terre 20% [pommes de terre', 'émulsifiant: E471', 'stabilisant: E450', 'antioxydant: disulfite de sodium', 'acide citrique et E304', 'lait écrémé en poudre]', 'farine de blé', 'œufs ', 'élevage au sol', 'basilic 3,5%', 'farine de riz', 'huile de colza', 'condiment en poudre', 'all', 'épices', 'sel de cuisine iodé', 'tomates 22% ', 'avec affermissant: E509', 'acidifiant: acide citrique', 'mozzarella 10%', 'eau', 'fromage', 'tomates cerises séchées', 'concentré de tomates', 'oignons', 'fines herbes', 'sucre', 'huile de colza', 'amidon de riz', 'condiment en poudre', 'sel de cuisine', 'ail']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",664,159,664 kj(159 kcal),5,"2,5",21,7,6,,,400 g,,['Migros'],,,,,,,,,,,,,,,,,,,,,,"1,2",,"0,48",,,,,,,,,,,,,4,,"[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E223 - Disulfite de sodium', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique', 'E304 - Acide palmityle-6-L-ascorbique', 'E509 - Chlorure de calcium', '', 'Risque modéré de sur-exposition']","['Œufs', 'Gluten', 'Lait']",,"[""E304 - Palmitate d'ascorbyle""]",
491,Delices aux épinards bio - Migros Bio - 360g,7613312036877,"['France', 'Suisse']","['eau', 'épinards** 27%', 'farine de blé**', 'huile de tournesol**', '\roeuf entier** ', ""oeufs [d'élevage en plein air]"", 'sel de cuisine', 'amidon de maïs* petit-lait en poudre**', 'oignons**', 'chapelure* ', 'contient du blé', 'lait écrémé en poudre**', '\rfromages** ', 'Emmental', 'Gruyère', 'beurre**', 'sel de cuisine iodé', 'poivre blanc*', 'poivre noir*', 'noix de muscade moulue*']",['Non végétalien'],?,171,715 kj(171 kcal),8,"1,5",19,3,5,,,360 g,,['Migros Bio'],['Delice'],"['Bio', 'Bio européen', 'CH-BIO-004']",,,['Migros'],8 g,en quantité modérée,1.5 g,en quantité modérée,3 g,en faible quantité,1.2 g,en quantité modérée,,,,,,,,,"1,2",,"0,48",,4,,C,,,,,,,,,3,,,"['Œufs', 'Gluten', 'Lait']",,,
492,Bouillon de boeuf - Bon Chef - 225g,7613312037324,"['France', 'Allemagne', 'Suisse']","['Sel de cuisine iodé', 'sucre', 'extrait de levure', 'maltodextrine', 'arômes', 'extrait de viande de boeuf 5,4%', 'sauce de soja séché ', 'graines de soja', 'farine de maïs', 'sel de cuisine', 'épices', 'extrait de céleri']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",15,4,15 kj(4 kcal),"0,5","0,5","0,7","0,5","0,5",,,225 g,,"['Bon Chef', 'Migros']","['Epicerie', 'Produits déshydratés', 'Produits lyophilisés à reconstituer', 'Bouillons', 'Bouillons de bœuf']",,,,,,,,,,,,,-97%,-97%,-97%,-88%,-76%,-95%,-87%,-89%,"0,9",-96%,"0,36",-96%,,,,,,,,,,,,4,,,"['Céleri', 'Soja']",,,
493,Paques nougat,7613312059135,['France'],[],[],?,488,2042 kj(488 kcal),22,3,63,57,8,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,
494,Bratbutter - Coop naturaplan - 200g,7613331264848,"['France', 'Suisse']","['beurre fondu bio ', 'à base de beurre pasteurisé bio [Suisse]']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",3700,885,3700 kj(885 kcal),100,67,0,0,0,C,,200g,,['Coop naturaplan'],"['Produits laitiers', 'Matières grasses', 'Produits à tartiner', 'Matières grasses à tartiner', 'Matières grasses animales', 'Matière grasse laitière', 'Produits laitiers à tartiner', 'Beurres']","['Bio', 'Bio européen', 'CH-BIO-006']",,,,100 g,en quantité élevée,67 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,+26%,+23%,+23%,+26%,+25%,-100%,-100%,-100%,0,-100%,0,-100%,20,-9%,E,-9%,91.6%,4.9%,1.3%,1.2%,0.8%,0.2%,27,2,,,,,,
495,Corolles en pate feuilletée pur beurre - Betty Bossi - 150g,7613331265807,"['France', 'Suisse']","['farine de blianche ', 'fromen', 'beurre', ' fondu 25 %', ""Europe de 'Nord"", 'Australie', 'sucre 22 %', 'sel de cuisine']",['Non végétalien'],2190,524,2190 kj(524 kcal),28,21,59,15,8,D,,150 g,,['Betty Bossi'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes à tarte', 'Pâtes feuilletées']",,,,,28 g,en quantité élevée,21 g,en quantité élevée,15 g,en quantité élevée,1.4 g,en quantité modérée,+37%,+38%,+38%,+29%,+86%,+53%,+893%,+37%,"1,4",+39%,"0,56",+39%,24,+45%,E,+45%,75.8%,9.6%,3.8%,2.8%,1.7%,6.3%,51,,,,['Lait'],,,
496,Chocolat - Branche,7613331345028,['France'],"['sucre', 'noisettes 15%', 'beurre de cacao 15%', 'lait entier en poudre', 'graisses végétales ', 'palme', 'Palmiste', 'cacao en pâte 4,5%', 'lait écrémé en poudre', 'émulsifiant ', 'E 322 de soja', ' arôme naturel']","['Huile de palme', 'Non végétalien', 'Peut-être végétarien']",?,572,2393 kj(572 kcal),37,19,52,46,7,,,,,['Branche'],,"['Commerce équitable', 'Max Havelaar']",,,,,,,,,,,,,,,,,,,,"0,2",,"0,08",,,,,,,,,,,,,4,,['E322 - Lécithines'],['Fruits à coque'],,,
497,Babeurre Acidulé - coop - 500ml,7613356148581,['France'],"['Saure Buttermilch ', 'homogenisiert', '[Schweiz]', 'Himbeersaft aus Konzentrat 5%', 'Säuerungsmittel ', 'E 330', 'Verdickungsmittel ', 'E 412', 'E 440', 'Gemüsesaftkonzentrate ', 'schwarze Karotte', 'Kürbis', 'Holundersaftkonzentrat', 'Milchzucker', 'Aroma', 'Antioxidationsmittel ', 'E 300', 'Süssungsmittel ', 'E 951*', ' *enthält eine Phenylalaninquelle']",['Non végétalien'],?,38,159 kj(38 kcal),"0,5","0,5",5,"4,5",3,,,500ml,['Tetra'],['Coop'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Babeurres']",['Contient une source de phénylalanine'],,,,0.5 g,en faible quantité,0.5 g,en faible quantité,4.5 g,en faible quantité,0.1 g,en faible quantité,,-17%,-15%,-58%,-22%,+4%,+3%,-4%,"0,1",-15%,"0,04",-15%,-1,-235%,A,-235%,,,,,,,,4,,"['E330 - Acide citrique', 'E412 - Gomme de guar', 'E440 - Pectines', 'E300 - Acide ascorbique', 'E951 - Aspartame']",['Lait'],,,
498,Mesclum - Naturaplan,7613356464582,['France'],[],[],?,22,92 kj(22 kcal),"0,5",0,2,1,"1,5",,,,,['Naturaplan'],,['Bio'],,,,,,,,,,,,,,,,,,,,"0,025",,"0,01",,,,,,,,,,,,,,,,,,,
499,Karma Bio Kokosmus - coop - 235g,7613356567139,"['France', 'Suisse']",[],"['Végétalien', 'Végétarien']",?,687,2874 kj(687 kcal),68,0,7,0,7,,,235 g,,['Coop'],,"['Bio', 'Végétarien', 'Végétalien']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,Coop Betty Bossi Tandoori Chicken,7613379126696,"['France', 'Suisse']",[],[],?,134,561 kj(134 kcal),"3,5","1,1",18,"2,1","7,2",,,,,['Betty Bossi'],,"['Commerce équitable', 'Max Havelaar']",,,,,,,,,,,,,,,,,,,,1,,"0,4",,,,,,,,,,,,,,,,,,,
501,Wave chips paprika - Prix garantie,7613379535191,"['France', 'Suisse']","['Pommes de terre', 'huile de tournesol', 'sel de cuisine', 'glucose', 'sucre', 'oignons en poudre', 'chili chipotle en poudre', 'paprika en poudre', 'tomates en poudre', 'poivre', 'arôme', 'extrait de paprika', ' Peut contenir des traces de lait']","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",?,529,2213 kj(529 kcal),34,"3,2",48,"4,9","5,7",B,,,,['Prix garantie'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Céréales et pommes de terre', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Chips de pommes de terre', ""Chips de pommes de terre à l'huile de tournesol"", 'Chips de pommes de terre ondulées']",,,,,34 g,en quantité élevée,3.2 g,en quantité modérée,4.9 g,en faible quantité,1.7 g,en quantité élevée,,+3%,+2%,+7%,+11%,-4%,+180%,-6%,"1,7",+27%,"0,68",+27%,17,+81%,D,+81%,62.4%,19.7%,7.4%,7.2%,3.4%,0.0%,78,4,,['E160c - Extrait de paprika'],,,,
502,Émincé au soja et au froment - COOP,7613379759313,['France'],[],[],?,156,653 kj(156 kcal),"6,5","0,6","9,4","1,1",12,,,,,['COOP'],,,,,,,,,,,,,,,,,,,,,,"1,1",,"0,44",,,,,,,,,,,,,,,,,,,
503,Carré aux amandes - Kambly,7614800323004,['France'],[],[],?,545,2280 kj(545 kcal),32,11,50,39,12,,,,,['Kambly'],,,,,,,,,,,,,,,,,,,,,,"0,18",,"0,072",,,,,,,,,,,,,,,,,,,
504,Petits fours creme de chocolat - Kambly - 90g,7614800464035,"['France', 'Suisse']","['Chocolat 40% ', ' sucre', 'pâte de cacao', 'beurre de cacao', 'lait entier en poudre', 'beurre concentré', 'émulsifiant ', 'lécithines de soja', ' vanille', 'teneur en cacao: 47% min', ' sucre', 'graisses végétales ', 'palmiste', 'coprah', 'palme', ' huile de tournesol', 'amidon de riz', 'lait écrémé en poudre', 'farine de blé', 'cacao e poudre', 'dextrose', 'fécule de pomme de terre', ""blanc d'oeuf en poudre"", 'cacao maigre en poudre', 'amandes', 'pâte de cacao', 'beurre de cacao', 'sel', 'émulsifiant ', 'lécithines de soja', ' Peut contenir des traces de: noisettes', 'pistaches']","['Huile de palme', 'Non végétalien']",2171,520,2171 kj(520 kcal),29,16,55,43,"7,5",,,90 g,,['Kambly'],,,,,,,,,,,,,,,,,,,,,,"0,3",,"0,12",,,,,,,,,,,,,4,,['E322i - Lécithine'],"['Gluten', 'Lait', 'Fruits à coque', 'Soja']",,['Huile de palme'],
505,Frey Weisse Schokoladen Osterhase,7616500050853,['France'],[],[],?,592,2477 kj(592 kcal),40,24,52,52,6,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,
506,Kisss baby - Migros,7616500152328,"['France', 'Suisse']",[],[],1790,428,1790 kj(428 kcal),17,10,65,60,"3,5",,,,,['Migros'],,"['Agriculture durable', 'en:UTZ Certified']",,,,,,,,,,,,,,,,,,,,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,
507,Les Délices Mandel-Nuss - FREY - 100g,7616500629707,"['France', 'Suisse']","['Sucre', 'beurre de cacao', 'lait entier en poudre', 'éclats de noisettes et noisettes moulues 11%', 'amandes 10%', 'pâte de caco', 'lait écrémé en poudre', 'émulsifiants: lécithine de soja et E 476', 'arôme', "" Peut contenir des traces d'autres fruits à coque "", 'noix', 'Cacao: 29% minimum dans le chocolat']",['Non végétalien'],2320,554,2320 kj(554 kcal),36,15,47,45,9,,,100 g,,['FREY'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats']",,,,,36 g,en quantité élevée,15 g,en quantité élevée,45 g,en quantité élevée,0.2 g,en faible quantité,+2%,+0%,+1%,-1%,-29%,+2%,+9%,+24%,"0,2",+44%,"0,08",+44%,21,-11%,E,-11%,,,,,,,,4,,"['E322i - Lécithine', ""E476 - Esters polyglycériques d'acides gras d'huile de ricin""]",['Fruits à coque'],,,
508,Friletti lait extra fin - Frey - 200g,7616500646124,"['France', 'Suisse']","['sucre', 'beurre de cacao', 'lait écrémé en poudre', 'pâte de cacao', 'lait entier en poudre', 'beurre fondu ', 'lait', 'émulsifiant: lécithine de soja', 'arôme']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",2290,549,2290 kj(549 kcal),33,20,56,55,6,E,,200 g,,['Frey'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats au lait']","['Agriculture durable', 'en:UTZ Certified']",,,,33 g,en quantité élevée,20 g,en quantité élevée,55 g,en quantité élevée,0.22 g,en faible quantité,+0%,-1%,-1%,-4%,+2%,+8%,+12%,-16%,"0,22",-6%,"0,088",-6%,24,-6%,E,-6%,84.1%,11.8%,1.2%,2.5%,0.4%,0.0%,24,4,,['E322i - Lécithine'],['Lait'],,,
509,Lapin chocolat fin au lait avec eclats de noisettes - Frey,7616500652859,['France'],[],[],?,577,2414 kj(577 kcal),38,18,49,46,8,,,,,['Frey'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Moulages en chocolat', 'Aliments de Pâques', 'Lapins en chocolat']",,,,,38 g,en quantité élevée,18 g,en quantité élevée,46 g,en quantité élevée,0.16 g,en faible quantité,,+4%,+5%,+11%,-13%,-9%,-12%,+23%,"0,16",-18%,"0,064",-18%,27,+3%,E,+3%,,,,,,,,,,,,,,
510,Chocolats - Frey - 200gr,7616500661592,['France'],[],[],?,584,2443 kj(584 kcal),40,20,48,46,"6,2",,,200gr,,['Frey'],,,,,,,,,,,,,,,,,,,,,,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,
511,Chocolats fourres assortis,7616500661899,['France'],[],[],?,582,2435 kj(582 kcal),40,20,46,44,7,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,
512,Rêve de Coco - Frey supréme - 100g,7616500662148,"['France', 'Suisse']","['Sucre', 'beurre de cacao', 'lait entier en poudre', 'noix de coco râpée 9 %', 'lait écrémé en poudre', 'émulsifiant: lécithine de soja', 'arômes naturels']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",2470,594,2470 kj(594 kcal),42,27,47,47,"6,2",E,Chocolat blanc fin avec noix de coco râpée,100 g,"['boîte carton', 'foil aluminium']","['Frey supréme', 'Frey Supréme', 'Supréme', 'Frey', 'Migros']","['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats blancs', 'Chocolats suisses', 'Chocolats blancs à la noix de coco']","['en:FSC', 'FSC Mix']",,['Switzerland'],['Migros'],42 g,en quantité élevée,27 g,en quantité élevée,47 g,en quantité élevée,0.23 g,en faible quantité,+5%,+5%,+4%,+10%,+5%,-6%,+2%,-3%,"0,23",-15%,"0,092",-15%,27,+3%,E,+3%,91.5%,4.7%,1.2%,2.1%,0.4%,0.0%,24,4,,['E322i - Lécithine'],"['Lait', 'Soja']",,,
513,Chico - Migros,7616500921689,['France'],[],[],?,559,2339 kj(559 kcal),35,21,53,52,7,,,,,['Migros'],,"['Agriculture durable', 'en:UTZ Certified']",,,,,,,,,,,,,,,,,,,,"0,27",,"0,108",,,,,,,,,,,,,,,,,,,
514,Jus de pomme - Naturreiner - 1500ml,7616800821580,"['France', 'Suisse']","['jus de pomme 90%', 'jus de poire 10%']",[],?,52,218 kj(52 kcal),0,0,13,12,0,C,,1500 ml,,"['Naturreiner', 'Migros']","['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de pomme']",,,,['Migros'],0 g,en faible quantité,0 g,en faible quantité,12 g,en quantité élevée,0 g,en faible quantité,,+13%,+14%,-100%,-100%,+19%,+17%,-100%,0,-100%,0,-100%,6,+45%,D,+45%,52.8%,9.4%,18.4%,14.0%,5.4%,0.0%,70,,,,,,,
515,Milk only - Café Royal,7617014165422,['France'],"['Lait entieren poudre ', 'UE', 'sucre ', '14 96', 'émulsifiant: lécithine de tournesol', "" ? Cette marque est la propriété de tiers qui n'ont aucune relation avec Delica AG""]",[],?,57,238 kj(57 kcal),"2,5","1,5",6,5,"2,5",D,,,,['Café Royal'],"['Produits laitiers', 'Laits']",,,,,2.5 g,en faible quantité,1.5 g,en quantité modérée,5 g,en quantité modérée,0.1 g,en faible quantité,,-14%,-13%,+21%,+26%,-0%,-8%,-30%,"0,1",-19%,"0,04",-19%,1,+74%,B,+74%,78.7%,1.1%,11.0%,6.0%,3.2%,0.0%,54,4,,['E322i - Lécithine'],,,,
516,Pain D'anis - Migros - 250g,7617027746908,"['France', 'Suisse']","['farine de blé', 'sucre', 'œufs ', ""d'élevage au sol"", 'beurre', 'eau', 'anis 1', '4%', 'lait en poudre', 'sel de cuisine iodé', 'poudre à lever: E500', ""essence d'anis""]",['Non végétalien'],1475,350,1475 kj(350 kcal),10,6,57,20,8,,,250 g,,['Migros'],,,,,,,,,,,,,,,,,,,,,,"0,35",,"0,14",,,,,,,,,,,,,,,['E500 - Carbonates de sodium'],"['Œufs', 'Gluten', 'Lait']",,,
517,Fond de gibier concentré - Migros - 150g,7617027791847,"['France', 'Suisse']","['eau', 'maltodextrine', 'arôme de gibier', 'sel de cuisine iodé', 'amidon modifié de mais', 'extrait de gibier 2', '5%', 'purée de tomate', 'extrait de levure', 'acidifiant: acide lactique', 'colorant: caramel ordinaire']",[],?,94,393 kj(94 kcal),"0,5","0,5",21,2,"2,5",,,150 g,,['Migros'],,,,,,,,,,,,,,,,,,,,,,14,,"5,6",,,,,,,,,,,,,4,,"['E14XX - Amidons modifiés', 'E270 - Acide lactique', 'E150a - Caramel E150a']",,,,
518,Viande séchée des Grisons - Migros - 97g,7617027815949,"['France', 'Suisse']","['Viande de boeuf', 'sel de cuisine', 'épices', 'glucose', 'sucre', 'conservateur: E 252', 'acidifiant: E 331', 'antioxydant: E 301']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,211,883 kj(211 kcal),5,2,1,"0,5",41,,,97 g,['barquette plastique'],['Migros'],"['Viandes', 'Bœuf', 'Préparations de viande', 'Préparations de viande bovine', 'Viandes séchées', 'Viande des grisons']",,,,['Migros'],5 g,en quantité modérée,2 g,en quantité modérée,0.5 g,en faible quantité,5.5 g,en quantité élevée,,+7%,+7%,+30%,+30%,+21%,-17%,+4%,"5,5",+17%,"2,2",+17%,13,+2%,D,+2%,,,,,,,,4,,"['E252 - Nitrate de potassium', '', 'Risque élevé de sur-exposition', 'E331 - Citrates de sodium', 'E301 - Ascorbate de sodium']",,,,
519,Almal Yogurt süzme - 250g,7617027848909,['France'],[],[],?,120,502 kj(120 kcal),10,6,"4,5","4,5",3,,,250 g,['Kunststoff'],,,,,,,,,,,,,,,,,,,,,,,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,
520,Camembert Suisse - Migros Bio - 125g,7617027906753,"['France', 'Suisse']",[],[],1371,?,1371 kj(328 kcal),29,17,"0,5","0,5",17,,,125 g,,['Migros Bio'],,"['Bio', 'Bio européen', 'CH-BIO-006']",,,['Migros'],,,,,,,,,,,,,,,,,"1,6",,"0,64",,,,,,,,,,,,,,,,,,,
521,Tzatziki - Migros,7617027913973,['France'],[],[],?,111,464 kj(111 kcal),9,6,"4,5",4,3,,,,,['Migros'],"['Epicerie', 'Sauces', 'Tzatzíki']",,,,['Migros'],9 g,en quantité modérée,6 g,en quantité élevée,4 g,en faible quantité,0.8 g,en quantité modérée,,-21%,-20%,-19%,+112%,+19%,+47%,-39%,"0,8",-8%,"0,32",-8%,8,+68%,C,+68%,,,,,,,,,,,,,,
522,Landjäger - Gendarmes - M Budget,7617027948715,"['France', 'Allemagne', 'Suisse']","['viande de bœuf', 'lard', 'viande de porc', 'couennes', 'sel nitrité pour saumure ', ' sel de cuisine iodé', 'conservateur: E 250', 'vin rouge', 'mélange de condiments ', 'contient moutarde', 'exhausteurs de goût: glutamate monosodique', 'maltodextrine', 'glucose', 'antioxydant E 301', 'arôme ', 'enveloppe comestible en colagène de bœuf']","['Non végétalien', 'Non végétarien']",2010,502,2010 kj(502 kcal),43,16,1,1,28,D,,,,['M Budget'],"['Viandes', 'Charcuteries', 'Saucisses', 'Saucissons', 'Saucissons secs']",['Fabriqué en Suisse'],,,,43 g,en quantité élevée,16 g,en quantité élevée,1 g,en faible quantité,3.6 g,en quantité élevée,+16%,+25%,+19%,+36%,+30%,-55%,-27%,+1%,"3,6",-23%,"1,44",-23%,25,+4%,E,+4%,79.0%,17.2%,0.6%,1.8%,1.1%,0.3%,36,4,,"['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E301 - Ascorbate de sodium']",['Moutarde'],,,
523,St.Galler Olma Bratwurst - Migros,7617100222640,['France'],[],[],?,245,1025 kj(245 kcal),21,7,"0,9","0,9",13,,,,,['Migros'],,['Fabriqué en Suisse'],,,,,,,,,,,,,,,,,,,,"1,9",,"0,76",,,,,,,,,,,,,,,,,,,
524,Meringues-schalen - Midor - 107g e,7617400030136,"['France', 'Suisse']","['Sucre', ""blanc d'œuf "", ""d'élevage au sol"", ""blanc d'œuf en poudre "", ""d'élevage au sol"", 'acidifiant: acide citrique']",['Non végétalien'],?,396,1657 kj(396 kcal),"0,5",0,94,94,5,B,Coques de Meringue,107 g e,"['boîte', 'Carton']","['Midor', 'Migros']","['Snacks', 'Snacks sucrés', 'Confiseries', 'Biscuits et gâteaux', 'Pâtisseries', 'Meringues']","['en:FSC', 'FSC Mix', 'FSC C099972']",,['Suisse'],['Migros'],0.5 g,en faible quantité,0 g,en faible quantité,94 g,en quantité élevée,0.2 g,en faible quantité,,+5%,+5%,-51%,-100%,+8%,+13%,+24%,"0,2",+24%,"0,08",+24%,14,-3%,D,-3%,75.1%,13.4%,5.0%,3.4%,3.0%,0.0%,72,3,,['E330 - Acide citrique'],['Œufs'],,,
525,Etoiles Filantes - Migros,7617400031133,"['France', 'Suisse']","['Farine de blé', 'sucre', 'pâte de cacao', 'noisettes 8%', 'beurre concentré', 'huiles végétales ', 'palme', 'colza', 'amidon de blé', 'beurre de cacao', 'lait écrémé en poudre', 'œuf entier en poudre ', ""d'élevage au sol"", 'protéines du lait', 'poudre à lever: E 503', 'sel de cuisine', 'émulsifiant: lécithines de soja', 'arômes naturels', ""malt d'orge"", "" Peut contenir d'autres fruits à coque et du sésame""]","['Huile de palme', 'Non végétalien']",2241,536,2241 kj(536 kcal),28,13,62,27,7,C,Biscuits aux noisettes avec chocolat (25%),,"['Sachet', 'Plastique']",['Migros'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits au chocolat', 'Biscuits secs', 'Biscuits-aux-noisettes']","['Agriculture durable', 'en:UTZ Certified', 'en:utz-certified-cacao']",,['Suisse'],['Migros'],28 g,en quantité élevée,13 g,en quantité élevée,27 g,en quantité élevée,0.3 g,en quantité modérée,+20%,+19%,+19%,+72%,+111%,-7%,-15%,-5%,"0,3",-36%,"0,12",-36%,17,+1%,D,+1%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,4,,"[""E503 - Carbonates d'ammonium"", 'E322i - Lécithine']","['Gluten', 'Lait', 'Fruits à coque']",,['Huile de palme'],
526,Côte D'or Packs Noir De Noir 3X150G - 3x 150g,7622201030230,['France'],[],[],?,544,2276 kj(544 kcal),36,22,47,44,"5,9",,,3 x 150 g,,"[""Côte d'Or""]",,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,
527,Sour Patch Kids 160g,7622210026125,"['France', 'Allemagne', 'États-Unis']","['Sugar', 'glucose syrup', 'water', 'starch', 'gelatine', 'acid ', 'malic acid', 'concentrated apple juice', 'col ours ', 'anthocyanins', 'vegetable carbon', 'paprika extract', 'lutein curcumin', 'acidity regulator ', 'calcium citrates', 'flavourings', 'palm oil', ' May contain wheat']","['Huile de palme', 'Non végétalien', 'Non végétarien']",?,331,1385 kj(331 kcal),"0,1","0,1",77,63,"2,8",E,,160g,['mixed plastic-packet'],"['Sour Patch Kids', 'Maynards']","['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']",,,,,0.1 g,en faible quantité,0.1 g,en faible quantité,63 g,en quantité élevée,0.03 g,en faible quantité,,-7%,-8%,-95%,-91%,-8%,+9%,+32%,"0,03",-75%,"0,012",-75%,14,-3%,D,-3%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,4,,"['E428 - Gélatine', 'E296 - Acide malique', 'E163 - Anthocyanes', 'E153 - Charbon végétal médicinal', 'E160c - Extrait de paprika', 'E161b - Lutéine', 'E100 - Curcumine', 'E333 - Citrates de calcium']",,,,
