,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,eco_score,generic_name,quantity,packaging,brand,categories,labels,ingredients_origins,manufacturing,markets,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,nova_score,traceability_code,additives,allergens,link,palm_ingredients,brand_owner
781,Galette di rio gusto mirtillo,8002885004939,['France'],[],[],?,487,2038 kj(487 kcal),"21,3",13,66,"24,4","6,6",,,,,,,['en:gluten-free'],,,,,,,,,,,,,,,,,,,,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,
782,Play maïs au fromage,8002885007176,['France'],[],[],?,450,1883 kj(450 kcal),"15,2","2,3","70,7",3,"6,5",,,,,,,['en:gluten-free'],,,,,,,,,,,,,,,,,,,,"1,8",,"0,72",,,,,,,,,,,,,,,,,,,
783,Quinoa souffle bio - Fiorentini,8002885007787,['France'],[],[],?,353,1477 kj(353 kcal),5,"0,4","58,8","6,6","14,8",B,,,,['Fiorentini'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Grains soufflées', 'Céréales soufflées', 'Quinoa soufflé']","['Bio', 'Bio européen', 'IT-BIO-014']",,,,5 g,en quantité modérée,0.4 g,en faible quantité,6.6 g,en quantité modérée,0.1 g,en faible quantité,,-3%,-3%,-3%,-11%,-10%,+535%,+31%,"0,1",+344%,"0,04",+344%,-5,,A,,74.0%,13.1%,5.1%,5.5%,2.3%,0.0%,60,,,,,,,
784,Patatine classiche - Crai - 150g e,8002895013105,['France'],[],[],?,555,2322 kj(555 kcal),34,"3,8",54,"0,4","6,5",B,,150 g e,"['Sachet', 'Plastique']",['Crai'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Céréales et pommes de terre', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Chips de pommes de terre', ""Chips de pommes de terre à l'huile de tournesol""]","[""À l'huile de tournesol""]",,,,34 g,en quantité élevée,3.8 g,en quantité modérée,0.4 g,en faible quantité,1.5 g,en quantité modérée,,+4%,+4%,+2%,+28%,+6%,-69%,+10%,"1,5",+14%,"0,6",+14%,15,+38%,D,+38%,62.4%,19.7%,7.4%,7.2%,3.4%,0.0%,78,,,,,,,
785,Grissini tipo 0 con olive - Crai,8002895050841,"['France', 'Italie']",[],[],?,429,1795 kj(429 kcal),"12,7","4,5",67,"2,7",10,B,,,,['Crai'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Gressins']",,,,['Crai'],12.7 g,en quantité modérée,4.5 g,en quantité modérée,2.7 g,en faible quantité,2.1 g,en quantité élevée,,+2%,+2%,+18%,+99%,+0%,+8%,-12%,"2,1",+11%,"0,84",+11%,18,+41%,D,+41%,58.5%,23.6%,10.3%,6.6%,0.9%,0.0%,93,,,,,,,
786,Savoiardi - Crai,8002895065418,"['France', 'Italie']",[],[],?,378,1582 kj(378 kcal),"3,8","1,1","76,5",42,"8,5",,,,,['Crai'],,,,,['Crai'],,,,,,,,,,,,,,,,,"0,25",,"0,1",,,,,,,,,,,,,,,,,,,
787,The alla pesca - Crai,8002895079941,"['France', 'Italie']",[],[],?,405,1695 kj(405 kcal),"1,4",0,"97,3","91,7","0,6",,,,,['Crai'],,['en:gluten-free'],,,['Crai'],,,,,,,,,,,,,,,,,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,
788,Succo e polpa di Pesca,8002920005457,['France'],[],[],?,58,243 kj(58 kcal),0,0,14,"13,5","0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,
789,Pera,8002920005464,['France'],[],[],?,54,226 kj(54 kcal),0,0,13,"12,3","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,
790,Bruschelle - Panificio Valle Roya,8002948001356,['France'],[],[],?,440,1841 kj(440 kcal),16,"2,6",64,"1,8","8,8",,,,,['Panificio Valle Roya'],,,,,,,,,,,,,,,,,,,,,,2,,"0,8",,,,,,,,,,,,,,,,,,,
