,name,bar_code,eco_score,brand,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,allergens,generic_name,quantity,packaging,ingredients_origins,manufacturing,link,additives,palm_ingredients,nova_score,markets,traceability_code,producer_info
1115,4 Fines Pièces de Bœuf Assaisonnées (2 Fines Pièces de Bœuf à la Provençale - 2 Fines Pièces de Bœuf au Concassé de 3 Poivres) - Charal - 300g,3181238928650,,['Charal'],"['Viandes', 'Bœuf', 'Viandes fraîches', 'Viandes assaisonnées']",['France'],"['Viande bovine 97,9%', 'assaisonnement à la provençale 1,25% ', 'sel', 'sirop de glucose', 'plantes aromatiques [dont basilic', 'romarin', 'laurier', 'thym', 'origan', 'marjolaine]', 'dextrose', 'tomates déshydratées', 'arômes', 'huile de tournesol', 'assaisonnement 3 poivres 0,9% ', 'sel', 'épices et plantes aromatiques [dont concassé de poivres noir', 'blanc et vert]', 'sirop de glucose', 'dextrose', 'caramel aromatique', 'arômes,huile de tournesol']","['Non végétalien', 'Non végétarien']",7.2 g,en quantité modérée,2.7 g,en quantité modérée,0.6 g,en faible quantité,2.18 g,en quantité élevée,613,-17%,?,,613 kj(147 kcal),-15%,"7,2",-33%,"2,7",-34%,"1,3",+46%,"0,6",+60%,19,+3%,"2,184",+236%,"0,874",+236%,12,+188%,D,+188%,,,,,,,,"['Viande-francaise', 'Point Vert', 'Fabriqué en France', 'Origine France', 'Viande-bovine-francaise']",,Préparation de viande de bœuf assaisonnées à la provençale et au concassé 3 poivres.,300 g,"['Frais', 'Plastique', 'Hebdopack']",['France'],['France'],http://www.charal.fr/produit/4-fines-pieces-de-boeuf-assaisonnees/,,,4,['Franprix'],"['FR 49.099.002 CE', 'Cholet (Maine-et-Loire, France)']",
1116,4 Pavés de Bœuf - Charal - 300g,3181238928681,,"['Charal', 'Charal Barbecue']","['Viandes', 'Bœuf', 'Viandes fraîches']",['France'],"['Ingrédients : 100% viande de bœuf', ""\rIngrédients dosette d'accompagenement : fleur de sel de Guérande "", '60%', 'mélange 5 baies 40% ', 'poivres noir', 'vert et blanc', 'coriandre', 'baies roses']","['Non végétalien', 'Non végétarien']",2.3 g,en faible quantité,0.8 g,en faible quantité,0 g,en faible quantité,0.66 g,en quantité modérée,476,-36%,?,,476 kj(114 kcal),-34%,"2,3",-79%,"0,8",-80%,0,-100%,0,-100%,23,+24%,"0,66",+1%,"0,264",+1%,-2,-148%,A,-148%,,,,,,,,"['Viande-francaise', 'Point Vert', 'Au sel de Guérande', 'Viande-bovine-francaise']",,Pavés de Bœuf et sachet d'assaisonnement à la fleur de sel de Guérande et 5 baies,300 g,"['Frais', 'Plastique', 'Conditionné sous atmosphère protectrice']","['France', 'Sel de Guérande', 'Viande Fançaise']",['France'],http://www.charal.fr/produit/4-paves-de-boeuf/,,,3,['Franprix'],"['FR 49.099.002 CE', 'Cholet (Maine-et-Loire, France)', 'EMB 32305B', 'Panjas (Gers, France)']",
1117,Pavés rumsteck,3181238928773,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,['Sachet'],,,,,,,,,
1118,Escalopes de porc,3181238928896,,,,['France'],[],[],,,,,,,,,?,,0,,0 kj(0 kcal),,?,,,,?,,,,?,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1119,Émincés au bœuf sauce aux champignons - Charal - 2 * 150g (300g),3181238930240,,['Charal'],"['Viandes', 'Plats préparés', 'Bœuf', 'Produits à la viande', 'Plats préparés à la viande', 'Plats au bœuf', 'Plats préparés à réchauffer au micro-ondes']",['France'],"['Viande bovine 37%', 'eau', 'champignons de Paris 10%', 'crème', 'cèpes réhydraté 2,2%', 'oignons', 'madère dont sulfites', 'amidon transformé de maïs', 'arômes', 'huile de tournesol', 'conservateur : E262', 'fibres de bambou', 'antioxydants : E300', 'E330', 'extrait de romarin', 'sucre', 'sel', 'épaississants : E412', 'E415', 'dextrose', 'sucre caramélisé', 'stabilisant : E451']","['Non végétalien', 'Non végétarien']",6.8 g,en quantité modérée,3.7 g,en quantité modérée,1 g,en faible quantité,1.15 g,en quantité modérée,542,+1%,?,,542 kj(130 kcal),-4%,"6,8",+14%,"3,7",+70%,"3,6",-62%,1,-45%,13,+47%,"1,15",+35%,"0,46",+35%,4,+75%,C,+75%,,,,,,,,"['Viande-francaise', 'Viande-bovine-francaise']","['Lait', 'Anhydride sulfureux et sulfites']",Préparation cuite prête à réchauffer à base de viande de bœuf,2 * 150 g (300 g),['Carton'],['France'],"['Normandie', 'France']",,"['E14XX - Amidons modifiés', 'E262 - Acétates de sodium', 'E300 - Acide ascorbique', 'E330 - Acide citrique', 'E392 - Extrait de romarin', 'E412 - Gomme de guar', 'E415 - Gomme xanthane', 'E451 - Triphosphates', '', 'Risque élevé de sur-exposition']",,4,,"['FR 61.169.002 CE', 'Flers (Orne, France)']",
1120,Barbecue 4 Hachés de Boeuf & Sachet d'assaisonnement spécial grillades - Charal - 4 * 100g,3181238936181,,['Charal'],"['Viandes', 'Bœuf', 'Viandes fraîches']",['France'],"['Pure viande de boeuf hachée', ""\rIngrédients dosette d'accompagnement: oignon"", 'coriandre', 'sel', 'poivre', 'piment doux fumé', 'baie rose', 'ail', 'huile de colza', 'arôme naturel']","['Non végétalien', 'Non végétarien']",20 g,en quantité modérée,9.3 g,en quantité élevée,0 g,en faible quantité,0.46 g,en quantité modérée,1055,+42%,?,,1055 kj(252 kcal),+46%,20,+87%,"9,3",+128%,"0,5",-44%,~ 0,-100%,18,-3%,"0,46",-29%,"0,184",-29%,14,+236%,D,+236%,,,,,,,,"['Viande-francaise', 'Viande-bovine-francaise']",,,4 * 100 g,"['Sachet', 'Plastique']",['France'],,,,,4,['Simply Market'],,
1121,Big Burger - Charal,3181238939762,,['Charal'],,['France'],[],[],,,,,,,,,?,,258,,1079 kj(258 kcal),,14,,"6,3",,18,,"2,8",,14,,"1,28",,"0,512",,,,,,,,,,,,,,,,,['Paquet'],,,,,,,,,
1122,Façon Tournedos - Charal,3181238941185,,['Charal'],"['Viandes', 'Bœuf', 'Tournedos de boeuf']",['France'],[],[],2.3 g,en faible quantité,0.8 g,en faible quantité,0.1 g,en faible quantité,0.17 g,en faible quantité,?,,113,-37%,473 kj(113 kcal),-37%,"2,3",-76%,"0,8",-80%,"0,1",-91%,"0,1",-77%,23,+14%,"0,17",-85%,"0,068",-85%,-4,-176%,A,-176%,,,,,,,,"['Viande Française', 'Viande-bovine-francaise']",,,,,,,,,,,,,
1123,Pavés,3181238941215,,,,['France'],[],[],,,,,,,,,?,,476,,1992 kj(476 kcal),,"2,3",,"0,8",,0,,0,,23,,"0,17",,"0,068",,,,,,,,,,,,,"['Viande Française', 'Viande Porcine Française', 'Viande-bovine-francaise']",,,,,,,,,,,,"['FR 72.080.002 CE', 'Cherré (Sarthe, France)']",
1124,Viande bovine : 2x HAMPES**,3181238942366,,,,['France'],[],[],,,,,,,,,?,,113,,473 kj(113 kcal),,"2,3",,"0,8",,0,,0,,23,,"0,17",,"0,068",,,,,,,,,,,,,,,,,,,,,,,,,"['FR 49.099.002 CE', 'Cholet (Maine-et-Loire, France)']",
1125,Boulettes au Boeuf (Mini),3181238943158,,,,['France'],[],[],,,,,,,,,?,,255,,1067 kj(255 kcal),,20,,"9,9",,0,,0,,17,,"0,8",,"0,32",,,,,,,,,,,,,,,,,,,,,,,,,,
1126,Pret a cuisiner pu boeuf 20% - Charal,3181238944926,,['Charal'],,['France'],[],[],,,,,,,,,?,,1,,4 kj(1 kcal),,1,,1,,1,,1,,1,,1,,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,
1127,Haché Sélection Race Normande - Charal - 280g,3181238947903,E,['Charal'],"['Viandes', 'Bœuf', 'Steaks', 'Steaks de bœuf', 'Viandes fraîches', 'Steaks hachés', 'Steaks de bœuf hachés', 'Steaks hachés frais', 'Boucherie']",['France'],"['100% viande hachée de bœuf', '\r Pourcentage de matières grasses inférieur à 10%', ' Rapport collagène sur protéines de viande inférieur à 15%']","['Non végétalien', 'Non végétarien']",10 g,en quantité modérée,4.5 g,en quantité modérée,,,0.18 g,en faible quantité,727,+1%,?,,727 kj(174 kcal),+4%,10,-3%,"4,5",+5%,?,,,,21,+9%,"0,18",-17%,"0,072",-17%,,,,,98.0%,0.5%,0.6%,0.6%,0.3%,0.1%,3,"['Peu ou pas de matière grasse', 'Peu de matière grasse', 'Allégé en matière grasse', 'Viande-francaise', 'Moins 10% de matière grasse', '100% muscle', 'Point Vert', 'Pur bœuf', 'Viande-bovine-francaise']",,Steak haché à base de bœuf de race Normande,280 g,"['Frais', 'Carton', 'Plastique']",['France'],['France'],http://www.charal.fr/produit/hache-selection-race-normande/,,,,['Franprix'],"['EMB 22254A', ""Prat (Côtes-d'Armor, France)"", 'FR 49.099.002 CE', 'Cholet (Maine-et-Loire, France)']",
1128,Steaks de Bœuf - Charal - 350g,3181238948290,,['Charal'],"['Viandes', 'Bœuf', 'Viandes fraîches']",['France'],"['Viande bovine 97 %', 'eau', 'sel']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",5.9 g,en quantité modérée,2.1 g,en quantité modérée,0 g,en faible quantité,0.5 g,en quantité modérée,?,,129,-25%,540 kj(129 kcal),-25%,"5,9",-45%,"2,1",-49%,0,-100%,0,-100%,19,+3%,"0,5",-23%,"0,2",-23%,0,-100%,B,-100%,,,,,,,,"['Viande-francaise', 'Point Vert', 'Viande-bovine-francaise']",,,350 g,"['Frais', 'Plastique']",['France'],['France'],,,,3,,"['FR 49.099.002 CE', 'Cholet (Maine-et-Loire, France)']",
1129,Noix de Faux-Filet Cuisinée Sauce Forestière - Charal - 180g,3181238951092,,['Charal'],"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats au bœuf', 'Plats préparés à réchauffer au micro-ondes']",['France'],"['Faux filet de bœuf 58%', 'eau', 'girolles 3,5%', 'cèpes 35%', ' champignons de Paris 2%', ' madère [dont sulfites]', 'oignons', 'huile de colza', ' amidon transformé de maïs', 'maltodextrine de pomme de terre', 'sel', ' ail', ' jus concentré de champignon', ""oignons déshydratés frits à l'huile de tournesol"", ' bouillon de veau', 'sucre caramélisé', ' conservateur :IE262', ' sucre', ' arômes', ' extraits de levure', 'matière grasse de veau [antioxydant : extrait de romarin]', 'oignon et tomate déshydratés', ' jus concentré de carotte', ' betterave rouge', 'huile de tournesol', ' fibres végétales de bambou', ' antioxydants : E300-E301', ' extrait déraciné de curcuma']","['Non végétalien', 'Non végétarien']",3.3 g,en quantité modérée,1.3 g,en faible quantité,1 g,en faible quantité,0.93 g,en quantité modérée,423,-21%,?,,423 kj(101 kcal),-25%,"3,3",-45%,"1,3",-40%,"2,7",-71%,1,-45%,15,+70%,"0,93",+9%,"0,372",+9%,0,-100%,B,-100%,,,,,,,,"['Viande-francaise', 'Point Vert', 'Viande-bovine-francaise']",,Noix de Faux-Filet Cuisinée Sauce Forestière,180 g,"['Frais', 'Plastique', 'Carton']",['France'],['France'],http://www.charal.fr/produit/noix-de-faux-filet-cuisinees-sauce-forestiere/,"['E14XX - Amidons modifiés', 'E392 - Extrait de romarin', 'E300 - Acide ascorbique', 'E301 - Ascorbate de sodium']",,4,['Carrefour City'],"['FR 61.169.002 CE', 'Flers (Orne, France)', 'EMB 22658A']",
1130,Pièce Minute Rumsteck cuisiné Sauce aux Echalotes - Charal - 180g,3181238951115,,['Charal'],,['France'],[],[],,,,,,,,,?,,111,,464 kj(111 kcal),,"4,6",,"1,5",,"3,4",,"1,5",,14,,"1,19",,"0,476",,,,,,,,,,,,,"['Viande-francaise', 'Viande-bovine-francaise']",,Préparation cuite prête à réchauffer de viande de boeuf et sa sauce,180 g,"['Carton', 'Frais', 'Plastique']",['France'],['France'],,,,,['Carrefour Market'],"['FR 61.169.002 CE', 'Flers (Orne, France)']",
1131,Sachet spécial Marinade saveurs Tex Mex - Charal,3181238953447,,['Charal'],,['France'],"['Eau', 'épices et herbes aromatiques ', 'dont paprika 4%', 'oignon 2,5%', 'cumin 0,6%', 'origan 0,3%', 'piment 0,1%', 'huile de colza 7%', 'sel', 'vinaigre', 'dextrose', 'protéine végétale hydrolysée', 'épaississant E415', 'conservateurs : E202 et E210', ""extraits d'épices""]","['Sans huile de palme', 'Végétalien', 'Végétarien']",,,,,,,,,?,,123,,515 kj(123 kcal),,9,,"0,8",,"7,2",,"3,9",,"1,8",,"3,5",,"1,4",,,,,,,,,,,,,,,,,,,,,"['E415 - Gomme xanthane', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E210 - Acide benzoïque', '', 'Risque élevé de sur-exposition']",,4,,,
1132,Craquis au boeuf - Charal,3181238954635,,['Charal'],,['France'],"['viande bovine* hachée 42,5%', 'eau', 'farines de céréales 11,1 % ', 'blé', 'riz', 'mais', 'graines végétales 8,1% ', 'tournesol', 'lin', 'courge', 'pavot', 'chapelure 5,8% ', 'farine de blé', 'levure', 'dextrose', 'sel', 'huiles végétales ', 'tournesol', 'colza', 'fibres végétales 1,9% ', 'bambou', 'canne à sucre', 'pois', 'plantain', 'amidon de blé', 'farine de pois chiche', 'sel', 'arômes', 'protéines végétales de pois 0,1%', 'oignons déshydratés', 'stabilisant E451', 'épaississants : E407-E508', 'épices', 'amidons transformés ', 'blé', 'maiS', 'pois', ""extrait d'épices"", 'Ce produit contient : blé', ""Traces éventuelles de viande bovine d'origine France""]","['Non végétalien', 'Non végétarien']",,,,,,,,,?,,273,,1142 kj(273 kcal),,17,,4,,15,,"1,7",,13,,"1,3",,"0,52",,,,,,,,,,,,,,['Gluten'],,,,,,,"['E451 - Triphosphates', '', 'Risque élevé de sur-exposition', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E508 - Chlorure de potassium', '', 'Risque modéré de sur-exposition', 'E14XX - Amidons modifiés']",,4,,,
1133,Rôti Cuit de Boeuf 3 poivres - Charal,3181238954840,,['Charal'],,['France'],[],[],,,,,,,,,?,,144,,602 kj(144 kcal),,"5,9",,"2,6",,"1,7",,"1,1",,21,,"1,2",,"0,48",,,,,,,,,,,,,,,,,,,,,,,,,,
1134,Panés au boeuf facon cordon bleu - Charal,3181238955427,,['Charal'],,['France'],[],[],,,,,,,,,?,,252,,1054 kj(252 kcal),,15,,5,,14,,"0,7",,14,,"1,6",,"0,64",,,,,,,,,,,,,,,,,,,,,,,,,,
1135,Tendre de boeuf - Charal - 600g,3181238956226,,['Charal'],,['France'],"['Viande bovine 97%', 'huile de tournesol', 'arômes', 'mélange 3 poivres ', 'poivre noir', 'poivre blanc', 'poivre vert', ' Viande bovine origine France']","['Non végétalien', 'Non végétarien']",,,,,,,,,?,,119,,498 kj(119 kcal),,"3,5",,"1,4",,"0,8",,"0,1",,21,,"0,4",,"0,16",,,,,,,,,,,,,,,,600 g,['6x100 gr'],,,,,,4,['carrefour athis mond'],"['FR 49.099.002 CE', 'Cholet (Maine-et-Loire, France)']",
1136,2 pavés marinade bbq - Charal,3181238957735,,['Charal'],,['France'],[],[],,,,,,,,,?,,138,,577 kj(138 kcal),,"3,6",,"1,5",,"4,8",,"3,8",,20,,"1,5",,"0,6",,,,,,,,,,,,,"['Viande Française', 'Viande-bovine-francaise']",,,,,,,,,,,,,
1137,Paupiettes de veau - Charal,3181238960292,E,['Charal'],"['Viandes', 'Viandes de veau', 'Paupiette de veau']",['France'],[],[],25 g,en quantité élevée,9.7 g,en quantité élevée,1 g,en faible quantité,0.83 g,en quantité modérée,?,,293,+22%,1226 kj(293 kcal),+24%,25,+32%,"9,7",+28%,1,-54%,1,+123%,16,+11%,"0,83",-11%,"0,332",-11%,15,+16%,D,+16%,91.6%,4.0%,1.1%,0.9%,0.5%,1.9%,15,,,,,,,,,,,,,,
1138,Fondant de boeuf - Charal,3181238960513,,['Charal'],,['France'],[],[],,,,,,,,,?,,132,,552 kj(132 kcal),,"4,1",,"1,8",,"1,8",,"1,2",,22,,2,,"0,8",,,,,,,,,,,,,"['Viande Française', 'Viande-bovine-francaise']",,,,,,,,,,,,,
1139,Rôti de boeuf - Charal,3181238961442,,['Charal'],,['France'],[],[],,,,,,,,,?,,183,,766 kj(183 kcal),,11,,"3,9",,0,,0,,21,,"0,16",,"0,064",,,,,,,,,,,,,"['Viande Française', 'Viande-bovine-francaise']",,,,,,,,,,,,,
1140,Apero Boeuf Boulettes - Provencal & Kefta - Charal,3181238962623,,['Charal'],"['Viandes', 'Bœuf', 'Préparations de viande', 'Préparations de viande bovine']",['France'],[],[],18 g,en quantité modérée,7.8 g,en quantité élevée,1.2 g,en faible quantité,1.4 g,en quantité modérée,?,,248,+31%,1038 kj(248 kcal),+30%,18,+118%,"7,8",+133%,"1,9",-14%,"1,2",+46%,0,-100%,"1,4",-50%,"0,56",-50%,16,+47%,D,+47%,,,,,,,,,,,,,,,,,,,,"['FR 49.099.002 CE', 'Cholet (Maine-et-Loire, France)']",
1141,Apero Boeuf - Charal,3181238962647,,['Charal'],,['France'],[],[],,,,,,,,,?,,247,,1033 kj(247 kcal),,15,,"4,4",,13,,"1,7",,13,,"1,5",,"0,6",,,,,,,,,,,,,"['Viande Française', 'Viande-bovine-francaise']",,,,,,,,,,,,,
1142,Viande hachee,3181238962845,,,,['France'],[],[],,,,,,,,,?,,215,,900 kj(215 kcal),,15,,6,,0,,0,,20,,"0,24",,"0,096",,,,,,,,,,,,,,,,,,,,,,,,,,
1143,Calvados Pays d'Auge XO - Père Magloire - 3cl,3181250068907,B,['Père Magloire'],"['Boissons', 'Boissons alcoolisées', 'Vins', 'Alcools forts', 'Eaux-de-vie', 'Vins français', 'Eaux-de-vie françaises', 'Calvados', ""Calvados Pays d'Auge""]",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,0.0%,42.1%,42.8%,11.4%,3.6%,0.0%,58,"['Point Vert', 'Déconseillé aux femmes enceintes']",,,3 cl,"['Mignonnette', 'Verre']",['France'],,,,,,,,
1144,Pieds et paquets -,3181411267507,,,['Pieds & paquets'],['France'],[],[],21.6 g,en quantité élevée,7.55 g,en quantité élevée,0.1 g,en faible quantité,0.81 g,en quantité modérée,?,,406,,1699 kj(406 kcal),,"21,6",,"7,55",,"0,9",,"0,1",,"16,7",,"0,81",,"0,324",,15,,D,,,,,,,,,"['Sans colorants', 'Sans conservateurs']",,,,,,,,,,,,"['FR 04.209.006 CE', 'Sisteron (Alpes-de-Haute-Provence, France)']",
1145,Sveltesse,3181448270013,,,,['France'],[],[],,,,,,,,,?,,37,,155 kj(37 kcal),,"0,1",,0,,"4,7",,"4,3",,"4,4",,"0,15",,"0,06",,,,,,,,,,,,,,,,,,,,,,,,,,
1146,Chorizo,3181450300579,D,,"['Viandes', 'Charcuteries', 'Saucissons', 'Chorizo']",['France'],[],[],46 g,en quantité élevée,18 g,en quantité élevée,2.5 g,en faible quantité,3.6 g,en quantité élevée,?,,498,+22%,2084 kj(498 kcal),+22%,46,+35%,18,+40%,3,+3%,"2,5",+40%,18,-21%,"3,6",-4%,"1,44",-4%,26,+9%,E,+9%,76.1%,16.6%,0.6%,1.8%,1.0%,3.9%,35,,,,,,,,,,,,,"['FR 81.144.022 CE', ""Lescure-d'Albigeois (Tarn, France)""]",
1147,Chorizo fort - César Moroni - 330g,3181454670876,D,['César Moroni'],"['Viandes', 'Charcuteries', 'Saucissons', 'Chorizo']",['France'],"['Viande et gras de porc', 'eau', 'piments ', 'dont piment de Cayenne', 'sel', 'protéines de soja', 'lactose', 'épices et plantes aromatiques', 'dextrose', 'protéines de lait', 'acidifiants : acide citrique et acétates de sodium', 'stabilisant : polyphosphates', 'conservateurs : ascorbate de sodium', 'nitrate de potassium et nitrite de sodium', 'ferments', 'colorant : carmins', ""extraits naturels d'épices"", 'boyau naturel de porc']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",43 g,en quantité élevée,14 g,en quantité élevée,1.7 g,en faible quantité,3.1 g,en quantité élevée,?,,460,+13%,1925 kj(460 kcal),+13%,43,+26%,14,+9%,"2,7",-8%,"1,7",-5%,17,-26%,"3,1",-17%,"1,24",-17%,25,+5%,E,+5%,76.1%,16.6%,0.6%,1.8%,1.0%,3.9%,35,,"['Lait', 'Soja']",Chorizo pur porc,330 g,"['Barquette', 'Plastique']",,['France'],,"['E330 - Acide citrique', 'E262 - Acétates de sodium', 'E452 - Polyphosphates', '', 'Risque élevé de sur-exposition', 'E301 - Ascorbate de sodium', 'E252 - Nitrate de potassium', '', 'Risque élevé de sur-exposition', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E120 - Acide carminique']",,4,"['Carrefour', 'Magasins U']","['FR 81.144.022 CE', ""Lescure-d'Albigeois (Tarn, France)""]",
1148,Chorizo Doux à Griller - César Moroni - 330g,3181454671071,D,['César Moroni'],"['Viandes', 'Charcuteries', 'Frais', 'Saucissons', 'Chorizo', 'Charcuteries à cuire']",['France'],"['Viande et gras de porc - piment doux - sel - protéines de soja - lactose - épices et plantes aromatiques - dextrose - protéines de lait - acidifiants : acide citrique', 'acétate de sodium - stabilisant : polyphosphates - conservateurs : ascorbate de sodium', 'nitrate de potassium', ""nitrate de sodium - ferments - colorant : carmins - extrait naturel d'épices - boyau naturel de porc - # 95 g de viande mis en œuvre pour 100 g de produit fini ""]","['Non végétalien', 'Non végétarien']",43 g,en quantité élevée,14 g,en quantité élevée,1.7 g,en faible quantité,3.1 g,en quantité élevée,?,,466,+78%,1950 kj(466 kcal),+81%,43,+100%,14,+68%,"2,7",+177%,"1,7",+150%,17,+7%,"3,1",+44%,"1,24",+44%,25,+33%,E,+33%,76.1%,16.6%,0.6%,1.8%,1.0%,3.9%,35,"['Point Vert', 'Eco-Emballages']","['Lait', 'Soja']",Chorizo pur porc,330 g,"['Frais', 'Barquette', 'Plastique', 'Opercule', 'Film plastique', 'Sous atmosphère protectrice']",,"[""Salaisons Moroni (Filiale Campofrio Food Group) - L'Hermet Haut - 81380 Lescure-d'Albigeois"", 'Tarn', 'Midi-Pyrénées', 'France']",http://www.cesarmoroni.fr/lesproduits/chorizo-a-cuisiner.php,"['E330 - Acide citrique', 'E262i - Acétate de sodium', 'E452 - Polyphosphates', '', 'Risque élevé de sur-exposition', 'E301 - Ascorbate de sodium', 'E252 - Nitrate de potassium', '', 'Risque élevé de sur-exposition', 'E251 - Nitrate de sodium', '', 'Risque élevé de sur-exposition', 'E120 - Acide carminique']",,4,"['Géant Casino', 'Auchan', 'Magasins U']","['FR 81.144.001 CE', ""Lescure-d'Albigeois (Tarn, France)"", 'EMB 81144', ""Lescure-d'Albigeois (Tarn, France)""]",
1149,"Chorizo à Grillé Aux Herbes De Provence, 330g",3181454671149,,,,['France'],[],[],,,,,,,,,?,,466,,1950 kj(466 kcal),,43,,14,,"2,7",,"1,7",,17,,"3,1",,"1,24",,,,,,,,,,,,,,,,,,,,,,,,['Magasins U'],,
1150,Cacolac caramel - 20cl,3181550000232,,['Cacolac'],"['Boissons', 'Produits laitiers', 'Boissons lactées', 'Boissons avec sucre ajouté']",['France'],"['lait à 8 g de matière grasse ', '91', '5%', ""éclats de caramel à la crème fraïche de Normandie Dupont d'Isigny "", 'sucre', 'sirop de glucose', 'crème fraïche de Normandie 15%', 'lait écrémé en poudre', 'sel', 'dextrose', 'arôme naturel de vanille et autres arômes naturels', ' 7', '9%', 'cacao 0', '4%', 'stabilisant ', 'carbonate acide de sodium', 'épaississant ', 'gomme tara']",['Non végétalien'],1.6 g,en quantité modérée,1 g,en quantité modérée,10.4 g,en quantité élevée,0.9 g,en quantité élevée,?,,74.2,+8%,310 kj(74 kcal),+6%,"1,6",-1%,1,+2%,"11,6",+12%,"10,4",+7%,"3,3",+14%,"0,9",+711%,"0,36",+711%,20,+37%,E,+37%,,,,,,,,['Fabriqué en France'],['Lait'],Cacolac caramel,20 cl,"['Verre', 'Bouteille']",,,,"['E500ii - Carbonate acide de sodium', 'E417 - Gomme tara']",,4,,,
1151,Lait aromat.cacao CACOLAC caramel Dupont d'Isigny bte,3181550000393,,['Cacolac'],,['France'],[],[],,,,,,,,,?,,74,,310 kj(74 kcal),,"1,6",,1,,"11,6",,"10,4",,"3,3",,"0,4",,"0,16",,,,,,,,,,,,,,,,,,,,,,,,,,
1152,Blanc - Très Vin - 187ml,3181550001147,C,['Très Vin'],"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins blancs']",['France'],"['Chardonnay - Sauvignon Blanc ', 'contient des sulfites']",[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,"['Point Vert', 'Fabriqué en France', 'Contient des sulfites', 'Déconseillé aux femmes enceintes', 'Origine France']",['Anhydride sulfureux et sulfites'],,187 ml,"['Canette', 'Aluminium']",['France'],['France'],,,,3,,"['FR 33.238.003 CE', 'Léognan (Gironde, France)']",
1153,Cacolac,3181550100246,,['Cacolac'],,['France'],[],[],,,,,,,,,?,,65,,272 kj(65 kcal),,1,,"0,5",,11,,11,,3,,"0,13",,"0,052",,,,,,,,,,,,,['Fabriqué en France'],,,,,,,,,,,,,
1154,Saucisson sec pur porc,3181571003472,D,,"['Viandes', 'Charcuteries', 'Saucissons', 'Saucissons secs', 'Saucissons secs pur porc']",['France'],[],[],32.2 g,en quantité élevée,12.3 g,en quantité élevée,1.8 g,en faible quantité,5.6 g,en quantité élevée,?,,410,-0%,1715 kj(410 kcal),-0%,"32,2",-1%,"12,3",-4%,"1,8",-23%,"1,8",+18%,"28,3",+4%,"5,6",+20%,"2,24",+20%,25,+3%,E,+3%,79.0%,17.2%,0.6%,1.8%,1.1%,0.3%,36,,,,,,,,,,,,,,
1155,Votre charcutierSaucisson nu aux cèpes,3181571003496,,,,['France'],[],[],,,,,,,,,?,,415,,1736 kj(415 kcal),,"33,5",,"13,5",,"3,2",,"2,2",,"25,2",,"5,02",,"2,008",,,,,,,,,,,,,"['Viande Française', 'Viande Porcine Française']",,,,,,,,,,,,,
1156,Mini Jésus - Lou Mountagnard - 400g,3181571003960,C,['Lou Mountagnard'],"['Viandes', 'Charcuteries', 'Saucissons', 'Saucissons secs']",['France'],[],[],25.8 g,en quantité élevée,9 g,en quantité élevée,1.6 g,en faible quantité,4.78 g,en quantité élevée,1330,-23%,?,,1330 kj(318 kcal),-21%,"25,8",-18%,9,-27%,"1,6",-28%,"1,6",+17%,"20,9",-24%,"4,78",+2%,"1,912",+2%,21,-12%,E,-12%,79.0%,17.2%,0.6%,1.8%,1.1%,0.3%,36,"['Viande Française', 'Viande Porcine Française', 'IGP']",,Saucisson sec d'Auvergne,400g,['Papier'],"['France', 'Viande de porc origine France']",,,,,,,"['FR 43.211.009 CE', 'Saint-Maurice-de-Lignon (Haute-Loire, France)']",
