,name,bar_code,eco_score,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,brand,labels,markets,generic_name,packaging,additives,allergens,nova_score,traceability_code,ingredients_origins,manufacturing,link,palm_ingredients,brand_owner
531,Pâte à tartiner,3760152870636,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits à tartiner sucrés', 'Pâtes à tartiner']",['France'],[],['Sans huile de palme'],42.1 g,en quantité élevée,19.7 g,en quantité élevée,40.2 g,en quantité élevée,0.21 g,en faible quantité,?,,576,+10%,2410 kj(576 kcal),+11%,"42,1",+31%,"19,7",+143%,"41,5",-17%,"40,2",-8%,8,+29%,"0,21",+15%,"0,084",+15%,26,+27%,E,+27%,,,,,,,,,,"['en:gluten-free', 'en:palm-oil-free']",,,,,,,,,,,,
532,Pur chèvre fermier,3760180160235,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
533,Pain de campagne,0635346802799,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
534,Soupe au pistou -,3337730006369,,"['Plats préparés', 'Soupes']",['France'],[],[],1.6 g,en faible quantité,0.3 g,en faible quantité,0.1 g,en faible quantité,0.6 g,en quantité modérée,?,,48,-16%,201 kj(48 kcal),-15%,"1,6",-18%,"0,3",-50%,"5,4",-6%,"0,1",-94%,"1,2",-45%,"0,6",-31%,"0,24",-31%,2,+22%,B,+22%,,,,,,,,,,,,,,,,,,,,,,
535,Comté AOP 12 mois minimun,0209173039163,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté', 'en:aoc-cheeses', 'en:labeled-cheeses']",['France'],[],[],35 g,en quantité élevée,23 g,en quantité élevée,0.5 g,en faible quantité,0.9 g,en quantité modérée,?,,427,+8%,1787 kj(427 kcal),+8%,35,+7%,23,+6%,1,+116%,"0,5",+80%,27,+7%,"0,9",-8%,"0,36",-8%,13,-3%,D,-3%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,,,,
536,Cuor di cacao 85% - Venchi - 100g,8002996303242,E,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs']","['France', 'Italie']","['Pâte de cacao', 'pâte de cacao ', 'Equateur', ' 26', '5%', 'Sucre', 'Beurre de cacao', 'Emulsifiant lécithine de soja', 'arôme naturel de vanille', ' Peut contenir des traces de fruits à coque et lait']",[],48.4 g,en quantité élevée,29 g,en quantité élevée,14.4 g,en quantité élevée,0.21 g,en faible quantité,?,,603,+8%,2523 kj(603 kcal),+9%,"48,4",+23%,29,+26%,"24,2",-37%,"14,4",-55%,"11,4",+49%,"0,21",+350%,"0,084",+350%,20,-6%,E,-6%,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,100 g,['Venchi'],['en:gluten-free'],,,,,,3,,,,,,
537,0226240008204,0226240008204,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
538,Baguette au sésame,3760044431044,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
539,Pates de fruits,3359070030033,C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Aliments à base de fruits et de légumes', 'Snacks sucrés', 'Confiseries', 'Fruits et produits dérivés', 'Pâtes de fruits']",['France'],[],[],0 g,en faible quantité,0 g,en faible quantité,62 g,en quantité élevée,0 g,en faible quantité,?,,305,-3%,1276 kj(305 kcal),-3%,0,-100%,0,-100%,75,-1%,62,-7%,0,-100%,0,-100%,0,-100%,8,-3%,C,-3%,82.2%,8.9%,4.6%,3.2%,1.0%,0.0%,58,,,,,,,,,,,,,,,
540,Banane cavendish,0208637008998,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Fruits tropicaux', 'Bananes']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,63.7%,0.0%,0.0%,23.1%,9.9%,3.2%,95,,,,,,,,,,,,,,,
541,Poulet entier  deje cuit,2278680046115,,,['France'],[],[],,,,,,,,,?,,149,,623 kj(149 kcal),,"4,6",,"1,5",,0,,0,,27,,"0,5",,"0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,
542,1/4 de jambon fumé,2297388117811,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
543,Nouille végétarienne,8936046151159,,,['France'],[],[],,,,,,,,,?,,360,,1506 kj(360 kcal),,"3,6",,1,,68,,3,,14,,1,,"0,4",,,,,,,,,,,,,,,['Sans colorants'],,,,,,,,,,,,
544,Coffret Infusions élixirs Bio - 60 Sachets - Biofloral,3760029840304,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,,
545,Cuisses de poulet roties,0211792028343,D,"['Viandes', 'Volailles', 'Poulets', 'Cuisses de poulet']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,,,,
546,Ravioles du dauphiné - 240g,0269151059453,C,"['Plats préparés', 'Plats à base de pâtes', 'Pâtes farcies', 'Ravioles', 'Ravioles du Dauphiné']",['France'],[],[],12 g,en quantité modérée,8.1 g,en quantité élevée,1.5 g,en faible quantité,1.5 g,en quantité modérée,?,,285,+1%,1192 kj(285 kcal),+1%,12,+3%,"8,1",+7%,30,+1%,"1,5",+2%,13,0%,"1,5",+2%,"0,6",+2%,17,+5%,D,+5%,72.9%,12.7%,5.5%,4.6%,2.4%,1.7%,66,240 g,,['Label Rouge'],,,,,,,,,,,,
547,Chocolat blanc Eclats de touron,3274648170242,,,['France'],[],[],,,,,,,,,?,,511,,2138 kj(511 kcal),,27,,17,,59,,59,,"7,2",,"0,19",,"0,076",,,,,,,,,,,,,,,,,,,,,,,,,,,
548,Confiture de clémentines de Corse - Saveurs attitudes,3299430034809,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', ""Confitures d'agrumes"", 'Confitures de clémentine']",['France'],"['sucre de canne""', 'clémentine de Corse ', '45%', ' gélifiant : pectine ""Ingrédients issus de l\'Agriculture biologique', ' Préparée avec 45 g de fruits pour 100g']",[],0 g,en faible quantité,0 g,en faible quantité,54 g,en quantité élevée,0 g,en faible quantité,?,,225,-5%,941 kj(225 kcal),-5%,0,-100%,0,-100%,55,-4%,54,0%,0,-100%,0,-100%,0,-100%,11,+5%,D,+5%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,['Saveurs attitudes'],,,,,['E440 - Pectines'],,4,,,,,,
549,Petits macarons au caramel beurre salé,3585730001550,D,"['Snacks', 'Desserts', 'Snacks sucrés', 'Biscuits et gâteaux', 'Pâtisseries', 'Macarons']",['France'],[],[],5.1 g,en quantité modérée,0.8 g,en faible quantité,62.7 g,en quantité élevée,0.02 g,en faible quantité,?,,337,-21%,1410 kj(337 kcal),-21%,"5,1",-71%,"0,8",-82%,"68,7",+24%,"62,7",+25%,"4,1",-52%,"0,02",-86%,"0,008",-86%,14,-20%,D,-20%,88.9%,5.7%,2.0%,2.2%,1.2%,0.0%,37,,,['Sans conservateurs'],,,,,,,,,,,,
550,Le craquant a la noix de coco - La Trinitaine - 150g,3260260211913,,,['France'],[],[],,,,,,,,,?,,454,,1900 kj(454 kcal),,16,,"3,6",,66,,44,,"8,6",,"0,13",,"0,052",,,,,,,,,,,,,150 g,['La Trinitaine'],['Point Vert'],,,,,,,,,,,,
551,"Beef, mustard & honey",4779027970103,,,['France'],[],[],,,,,,,,,?,,309,,1293 kj(309 kcal),,"4,8",,"2,1",,"24,5",,"12,2",,"41,9",,"2,4",,"0,96",,,,,,,,,,,,,,,,,,,,,,,,,,,
552,Fromage à raclette - Ermitage,3250550018933,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,['Ermitage'],,,,,,,,"['FR 25.531.001 CE', 'Santoche (Doubs, France)']",,,,,
553,Le Brebis echourgnac,2128698006109,,,['France'],[],[],,,,,,,,,?,,412,,1724 kj(412 kcal),,0,,0,,0,,0,,"22,3",,"1,74",,"0,696",,,,,,,,,,,,,,,,,,,,,,"['FR 24.159.000 CE', 'Échourgnac (Dordogne, France)']",,,,,
554,KIRI,9756336343465,,,['France'],[],[],,,,,,,,,?,,310,,1297 kj(310 kcal),,"29,5",,20,,2,,2,,9,,"1,4",,"0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,
555,Biscuits patiences fabrication artisanale,3663495000145,,,['France'],[],[],,,,,,,,,?,,326,,1364 kj(326 kcal),,"2,65",,"0,67",,"66,85",,"38,63",,"6,87",,"0,076",,"0,03",,,,,,,,,,,,,,,,,,,,,,,,,,,
556,Bifteck - Charal,0292472045720,,,['France'],[],[],,,,,,,,,?,,113,,473 kj(113 kcal),,"2,3",,"0,8",,0,,0,,23,,"0,17",,"0,068",,,,,,,,,,,,,,['Charal'],,,,,,,,,,,,,
557,Petites galettes,3760035034506,,,['France'],[],[],,,,,,,,,?,,480,,2008 kj(480 kcal),,"19,7",,13,,"70,1",,"27,3",,"6,3",,"0,8",,"0,32",,,,,,,,,,,,,,,,,,,,,,"['EMB 56260', 'Vannes (Morbihan, France)']",,,,,
558,100% Whey Isolate - Framboise - 2000 - Scitec nutrition,0728633104215,,"['Compléments alimentaires', 'Compléments pour le Bodybuilding', 'Protéines en poudre']",['France'],[],[],5 g,en quantité modérée,5 g,en quantité modérée,0 g,en faible quantité,48 g,en quantité élevée,?,,348,-6%,1456 kj(348 kcal),-6%,5,+15%,5,+187%,"2,4",-66%,0,-100%,84,+19%,48,+6309%,"19,2",+6309%,18,+307%,D,+307%,,,,,,,,,['Scitec nutrition'],,,,,,,,,,,,,
559,Massachusetts,0089382114291,,,['France'],[],[],,,,,,,,,?,,0,,0 kj(0 kcal),,0,,0,,0,,0,,0,,"0,55",,"0,22",,,,,,,,,,,,,,,,,,,,,,,,,,,
560,Kasar peyniri,4027394007848,,,['France'],[],[],,,,,,,,,?,,337,,1410 kj(337 kcal),,"25,8",,"17,4",,"0,6",,"0,6",,"25,6",,"1,9",,"0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,
561,Rillettes pur porc au chorizo,3760054958081,D,"['Viandes', 'Produits à tartiner', 'Charcuteries', 'Produits à tartiner salés', 'Rillettes', 'Rillettes de viande', 'Rillettes de viande rouge', 'Rillettes de porc']",['France'],[],[],40.5 g,en quantité élevée,15.3 g,en quantité élevée,1.9 g,en faible quantité,2 g,en quantité élevée,?,,442,+12%,1849 kj(442 kcal),+12%,"40,5",+10%,"15,3",+9%,"5,6",+1007%,"1,9",+459%,"13,7",-13%,2,+56%,"0,8",+56%,23,+18%,E,+18%,74.1%,17.7%,4.6%,2.1%,1.2%,0.3%,39,,,,,,,,,,,,,,,
562,Tomates séchées,2600102019559,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
563,Beurre demi sel fermier - Ferme de la Grande Dennerie,3770000402117,E,"['Produits laitiers', 'Matières grasses', 'Produits à tartiner', 'Matières grasses à tartiner', 'Matières grasses animales', 'Matière grasse laitière', 'Produits laitiers à tartiner', 'Beurres', 'Beurres demi-sel']",['France'],"['Crème de lait cru', 'ferment', ""fleur de sel de l'île de Ré 2%""]",['Non végétalien'],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,91.5%,4.9%,1.3%,1.2%,0.8%,0.2%,27,,['Ferme de la Grande Dennerie'],,,,,,,2,"['FR 16.047.003 CE', 'Blanzaguet-Saint-Cybard (Charente, France)']",,,,,
564,Terrine de sanglier,3429490040056,,"['Viandes', 'Charcuteries', 'Produits à la viande', 'Terrines', 'Terrines de sanglier']",['France'],[],[],33 g,en quantité élevée,33 g,en quantité élevée,0.71 g,en faible quantité,0.673 g,en quantité modérée,?,,265,-14%,1109 kj(265 kcal),-14%,33,+23%,33,+232%,"0,8",-61%,"0,71",+15%,"15,8",+13%,"0,673",-57%,"0,269",-57%,15,-17%,D,-17%,,,,,,,,,,"['en:gluten-free', 'Sans colorants', 'Sans conservateurs']",,,,,,,,,,,,
565,Tommette de chevre au lait cru,3760014990878,,,['France'],[],[],,,,,,,,,?,,336,,1406 kj(336 kcal),,26,,"19,5",,"0,6",,"0,6",,20,,1,,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,
566,Purée de Piments,0858398597271,,,['France'],[],[],,,,,,,,,?,,42,,176 kj(42 kcal),,"1,3",,"0,3",,"4,1",,"3,2",,"1,4",,"20,2",,"8,08",,,,,,,,,,,,,,,,,,,,,,,,,,,
567,Lingot du nord,3344290200595,,,['France'],[],[],,,,,,,,,?,,297,,1243 kj(297 kcal),,"1,2",,"0,3",,38,,"3,5",,21,,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,
568,Chiktaye de Morue nature,56465549,,,['France'],[],[],,,,,,,,,?,,193,,808 kj(193 kcal),,"13,9",,"1,44",,"4,7",,"2,2",,"12,2",,2,,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,
569,Chocolat,4035532292209,,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats']",['France'],[],[],26 g,en quantité élevée,16 g,en quantité élevée,60 g,en quantité élevée,0.14 g,en faible quantité,?,,513,-7%,2146 kj(513 kcal),-7%,26,-29%,16,-24%,63,+37%,60,+46%,"5,3",-27%,"0,14",+1%,"0,056",+1%,26,+11%,E,+11%,,,,,,,,,,,,,,,,,,,,,,
570,Miel Chataignier - Mellidor,3503740220303,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de châtaignier']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,['Mellidor'],['Bio'],,,,,,,,,,,,
571,Escalope extra fine Dinde - Auchan,2600281009310,D,"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde', 'Escalopes']",['France'],[],[],0.8 g,en faible quantité,0.4 g,en faible quantité,0.5 g,en faible quantité,0.1 g,en faible quantité,?,,109,-22%,456 kj(109 kcal),-21%,"0,8",-43%,"0,4",-24%,"0,5",-90%,"0,5",-64%,25,+13%,"0,1",-85%,"0,04",-85%,-4,,A,,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,['Auchan'],"['Viande Française', 'Volaille-francaise']",['Auchan'],,,,,,,,,,,
572,Sanguinello blood oranhe - Tropicana,5022313994840,,,['France'],[],[],,,,,,,,,?,,52,,218 kj(52 kcal),,0,,0,,"10,4",,"10,4",,"0,6",,0,,0,,,,,,,,,,,,,,['Tropicana'],,,,,,,,,,,,,
573,Moutarde à l'ancienne aromatisée à la truffe Jacques le Gourmand,3598960057198,B,"['Epicerie', 'Condiments', 'Sauces', 'Moutardes']",['France'],[],[],10.4 g,en quantité modérée,0.8 g,en faible quantité,10.6 g,en quantité modérée,4.6 g,en quantité élevée,?,,166,-2%,695 kj(166 kcal),-2%,"10,4",-4%,"0,8",-2%,"11,9",+72%,"10,6",+175%,"6,3",-4%,"4,6",-2%,"1,84",-2%,14,+21%,D,+21%,57.4%,14.5%,21.8%,4.8%,1.5%,0.0%,75,,['Jacques le Gourmand'],,,,,,,,,,,,,
574,Pavés marinés aux 2 poivres,0210734026577,,,['France'],[],[],,,,,,,,,?,,116,,485 kj(116 kcal),,"3,6",,1,,"0,5",,"0,5",,20,,"1,1",,"0,44",,,,,,,,,,,,,,,"['Viande Française', 'Viande-bovine-francaise']",,,,,,,"['FR 35.360.005 CE', 'Vitré (Ille-et-Vilaine, France)']",,,,,
575,Jambon cuit italien rôti aux herbes,2227143021848,,,['France'],[],[],,,,,,,,,?,,171,,715 kj(171 kcal),,9,,"3,3",,"0,6",,"0,6",,21,,"1,8",,"0,72",,,,,,,,,,,,,,,['Fabriqué en Italie'],,,,,,,,,,,,
576,Yaourt saveur peche,3760254380170,,,['France'],[],[],,,,,,,,,?,,120,,502 kj(120 kcal),,"5,2",,"3,7",,"13,8",,"11,04",,"4,5",,"0,09",,"0,036",,,,,,,,,,,,,,,,,,,,,,,,,,,
577,Jus De Veau Knorr 8 Tablettes,3011360083258,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,['Knorr'],,,,,,,,,,,,,
578,Tomme du sud ouest,2487993014760,,,['France'],[],[],,,,,,,,,?,,370,,1548 kj(370 kcal),,31,,21,,"1,2",,"0,5",,21,,2,,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,
579,La terrine de canard aux deux magrets,3760082242039,E,"['Viandes', 'Charcuteries', 'Produits à la viande', 'Terrines', 'Terrines de volailles', 'Terrines de canard']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,77.8%,15.8%,3.0%,2.2%,1.0%,0.3%,33,,,,,,,,,,,,,,,
580,Sour Patch Kids Soft & Chewy Candy Extreme Sour - Mondelez,0070462431407,,"['Snacks', 'Snacks sucrés', 'Confiseries']","['France', 'États-Unis']","['Sugar', 'invert sugar', 'corn syrup', 'modified corn starch', 'lactic acid', 'tartaric acid', 'citric acid', 'natural and artificial flavoring', 'red 40', 'blue 1', 'yellow 5', 'yellow 6']","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",0 g,en faible quantité,0 g,en faible quantité,65 g,en quantité élevée,0.155 g,en faible quantité,?,,375,-11%,1569 kj(375 kcal),-11%,0,-100%,0,-100%,"92,5",+39%,65,+31%,0,-100%,"0,155",+5%,"0,062",+5%,14,-23%,D,-23%,,,,,,,,,['Mondelez'],,,,,"['E270 - Acide lactique', 'E334 - Acide L-tartrique', 'E330 - Acide citrique', 'E129 - Rouge allura AC', 'E133 - Bleu brillant FCF', '', 'Risque modéré de sur-exposition', 'E102 - Tartrazine', 'E110 - Jaune orangé S']",,4,,,,,,Mondelez Int. US (0074819091009)
581,Bio Alubia con verdura - Campo Largo - 720g,20075781,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Conserves', 'Légumineuses', 'Aliments à base de plantes en conserve', 'Légumineuses en conserve', 'Haricots en conserve']","['France', 'Espagne']",[],[],0.8 g,en faible quantité,0.15 g,en faible quantité,1.6 g,en faible quantité,0.73 g,en quantité modérée,?,,71,-20%,297 kj(71 kcal),-20%,"0,8",+26%,"0,15",+11%,9,-24%,"1,6",+99%,"4,6",-19%,"0,73",+3%,"0,292",+3%,1,,B,,40.4%,27.0%,12.4%,6.4%,8.7%,5.1%,79,720 g,['Campo Largo'],"['Bio', 'Bio européen', 'ES-ECO-025-NA', 'Point Vert']",,,['Tarro de cristal'],,,,,,,,,
582,Herbes pour bruschetta,8054314420216,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
583,Mousse pur de canard - Carrefour,2227152014107,D,"['Viandes', 'Produits à tartiner', 'Charcuteries', 'Produits à tartiner salés', 'Mousses salées', 'Mousses de canard']",['France'],[],[],36 g,en quantité élevée,12 g,en quantité élevée,4.2 g,en faible quantité,1.7 g,en quantité élevée,?,,375,-7%,1569 kj(375 kcal),-6%,36,-7%,12,-15%,"4,2",+32%,"4,2",+118%,9,-3%,"1,7",+16%,"0,68",+16%,21,+3%,E,+3%,78.1%,15.2%,3.0%,2.3%,1.1%,0.3%,36,,['Carrefour'],,['Carrefour'],,,,,,,,,,,
584,Comté 6 mois - JuraFlore,2671353044287,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté', 'en:aoc-cheeses', 'en:labeled-cheeses']",['France'],"['lait cru', 'ferments lactiques ', 'lait', 'sel', 'présure']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",34.6 g,en quantité élevée,22.5 g,en quantité élevée,0 g,en faible quantité,0.817 g,en quantité modérée,?,,418,+5%,1749 kj(418 kcal),+6%,"34,6",+6%,"22,5",+4%,0,-100%,0,-100%,"26,7",+6%,"0,817",-16%,"0,327",-16%,13,-3%,D,-3%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,['JuraFlore'],['Sans lactose'],,,,,['Lait'],3,"['FR 39.434.001 CE', 'Poligny (Jura, France)']",,,,,
585,NUSS NOUGAT - 100.0g,7617400094749,,,"['France', 'Allemagne']",[],[],,,,,,,,,?,,513,,2146 kj(513 kcal),,28,,16,,57,,45,,"6,5",,"0,3",,"0,12",,,,,,,,,,,,,100.0 g,,,,,['Produkt'],,,,,,,,,
586,4 Tartelettes Citron Meringuées - Toupargel - 400g (4 * 100g),3187670025179,D,"['Surgelés', 'Biscuits et gâteaux', 'Tartes', 'Gâteaux', 'Tartelettes', 'Tartelettes aux fruits', 'Biscuit sec nappé aux fruits', 'Gâteaux et pâtisseries surgelés', 'Tartelettes au citron']",['France'],"['Pâte sucrée ', '38,9 %', ' : farine de blé', '_beurr_e concentré anhydre ', '28,2 %', 'sucre glace ', '20 %', ' ', 'sucre', 'antiagglomérant : amidon de maïs', 'oeufs entiers liquides pasteurisés', 'eau', 'amidon transformé de maïs', 'amandes', 'sel', ' ', 'Pourcentages exprimés sur la pâte sucrée', '\rCrème au citron ', '38%', ' : œufs entiers liquides pasteurisés', 'sucre', 'beurre concentré anhydre', 'préparation à base de jus de citron concentré avec pulpe ', '7 %', ' ', 'eau', 'jus concentré de citron ', '1,7 %', 'pulpes de citron ', '1,4 %', 'acidifiant : acide citrique', ""jus concentré d'orange"", 'extrait de citron', 'préparation gélifiante ', 'gélifiant : pectine amidée', 'dextrose de maïs', 'colorant : caroténoïdes', ' ', 'Pourcentages exprimés sur la crème au citron', '\rMeringue italienne ', '23,1 %', ' : sucre ', '58,6 %', ""blancs d'œufs liquides pasteurisés "", '29,3%', 'eau', ""blancs d'œufs en poudre "", ""blancs d'œufs en poudre"", 'stabilisant : gomme xanthane', 'stabilisant : gomme xanthane', ' ', 'Pourcentages exprimés sur la meringue italienne']",['Non végétalien'],22 g,en quantité élevée,15 g,en quantité élevée,33 g,en quantité élevée,0.26 g,en faible quantité,?,,410,+8%,1715 kj(410 kcal),+9%,22,+27%,15,+46%,47,-5%,33,+9%,"5,6",+16%,"0,26",-4%,"0,104",-4%,23,+15%,E,+15%,83.8%,8.2%,3.7%,2.3%,2.0%,0.0%,53,400 g (4 * 100 g),['Toupargel'],"['Point Vert', 'Fabriqué en France']",['Touparel'],"4 pâtisseries à base de pâte sucrée garnie de crème au citron et d'une meringue italienne, surgelées. - 4 Tartelettes Citron Meringuées","['Carton', 'Plastique', 'surgelé']","['E14XX - Amidons modifiés', 'E330 - Acide citrique', 'E440ii - Pectine amidée', 'E160 - Caroténoïdes', 'E415 - Gomme xanthane']","['Œufs', 'Gluten', 'Lait', 'Fruits à coque']",4,"['EMB 80120A', 'Bouillancourt-en-Séry (Somme, France)']",,"['France', 'Picardie']",https://www.toupargel.fr/9385-tartelettes-au-citron-meringuees-surgelees-4-x-100-g.html,,
587,BelleEnergie - Fenioux multi-sports - 1,3700790019844,,,['France'],[],[],,,,,,,,,?,,194,,812 kj(194 kcal),,0,,0,,49,,19,,0,,"0,1",,"0,04",,,,,,,,,,,,,1,['Fenioux multi-sports'],,,,,,,,,,,,,
588,Mix pain et pâtisserie,3401248713351,,,['France'],[],[],,,,,,,,,?,,373,,1561 kj(373 kcal),,0,,0,,88,,3,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
589,Mini Mellos,0025675850125,,,['France'],[],[],,,,,,,,,?,,488,,2042 kj(488 kcal),,24,,14,,64,,50,,4,,"0,08",,"0,032",,,,,,,,,,,,,,,"['Kascher', 'Sans gluten']",,,,,,,,,,,,
590,Halloween candy pumpkins,20659882,,"[""Aliments et boissons d'Halloween""]",['France'],[],[],34.8 g,en quantité élevée,21.6 g,en quantité élevée,54.3 g,en quantité élevée,0.38 g,en quantité modérée,?,,562,+39%,2351 kj(562 kcal),+40%,"34,8",+256%,"21,6",+343%,"55,8",-23%,"54,3",-1%,"6,4",+70%,"0,38",+57%,"0,152",+57%,28,+60%,E,+60%,,,,,,,,,,,,,,,,,,,,,,
591,Labeyrie,3033610031260,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,['Labeyrie'],,,,,,,,,,,,,
592,Chipolatas sans colorant,2459544019425,E,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Chipolatas']",['France'],[],[],21.7 g,en quantité élevée,8.2 g,en quantité élevée,0.8 g,en faible quantité,1.72 g,en quantité élevée,?,,257,+8%,1075 kj(257 kcal),+8%,"21,7",+15%,"8,2",+14%,"0,8",-32%,"0,8",+27%,"14,5",-6%,"1,72",-4%,"0,688",-4%,18,+8%,D,+8%,86.2%,9.9%,1.8%,1.2%,0.7%,0.2%,24,,,['Sans colorants'],,,,,,,,,,,,
593,Miel de tilleul bio -  - 250g,3770005912147,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de tilleul']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,250 g,,['Bio'],,,,,,,,,,,,
594,Guimauves au chocolat noir,2600689016279,,,['France'],[],[],,,,,,,,,?,,404,,1690 kj(404 kcal),,"10,6",,"6,5",,"73,7",,"56,7",,"3,6",,"0,05",,"0,02",,,,,,,,,,,,,,,,,,,,,,,,,,,
