,name,bar_code,eco_score,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,brand,labels,markets,generic_name,packaging,additives,allergens,nova_score,traceability_code,ingredients_origins,manufacturing,link,palm_ingredients,brand_owner
48,Blue cheese style - By Sainsbury's,00303521,,,"['France', 'Royaume-Uni']",[],"['Végétalien', 'Végétarien']",,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,"[""By Sainsbury's""]","['Végétarien', 'Végétalien']",,,,,,,,,,,,
49,Pains au chocolat a la margarine - Auchan,2030500286756,,,['France'],[],[],,,,,,,,,?,,0,,0 kj(0 kcal),,?,,,,?,,,,?,,0,,0,,,,,,,,,,,,,,['Auchan'],,['Auchan'],,,,,,,,,,,
50,Chorizo Extra 100% Natural,8420074000294,,,['France'],[],[],,,,,,,,,?,,420,,1757 kj(420 kcal),,33,,12,,0,,0,,28,,4,,"1,6",,,,,,,,,,,,,,,"['Sans colorants', 'Sans conservateurs']",,,,,,,,,,,,
51,Quinoa Rouge Bio - Sabarot - 500g,3111952017323,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Quinoa', 'Quinoa rouge']",['France'],[],[],6.1 g,en quantité modérée,0.7 g,en faible quantité,1 g,en faible quantité,0.01 g,en faible quantité,?,,368,+2%,1540 kj(368 kcal),+2%,"6,1",+5%,"0,7",+2%,64,+7%,1,-55%,14,+6%,"0,01",-79%,"0,004",-79%,-1,,A,,80.5%,0.0%,5.8%,10.4%,3.3%,0.0%,70,500 g,['Sabarot'],"['Bio', 'Bio européen', 'en:gluten-free', 'FR-BIO-01', 'AB Agriculture Biologique']",,,,,,,,"['Bolivie', 'Pérou']",,,,
52,Paprika - 200g,8436000253061,,,"['Autriche', 'France']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,200 g,,,,,['Stück'],,,,,,,,,
53,Moelleux chocolat,2020001859221,D,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Gâteaux au chocolat', 'Moelleux au chocolat']",['France'],[],[],28 g,en quantité élevée,16 g,en quantité élevée,34 g,en quantité élevée,0.11 g,en faible quantité,?,,461,+8%,1929 kj(461 kcal),+9%,28,+14%,16,+64%,46,+7%,34,+8%,"6,2",+2%,"0,11",-70%,"0,044",-70%,22,+14%,E,+14%,83.9%,9.8%,1.9%,2.9%,1.1%,0.3%,36,,,,,,,,,,,,,,,
54,Casali Torkugeln - 500g,9000332862629,,,"['Autriche', 'France']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,500 g,,,,,"['Stück', 'Stück', 'stück', 'stück']",,,,,,,,,
55,Jambon superieur sans couenne - Monique Ranou,3250392730031,D,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs']",['France'],[],[],3.2 g,en quantité modérée,1.2 g,en faible quantité,0.5 g,en faible quantité,1.9 g,en quantité élevée,?,,112,-15%,469 kj(112 kcal),-14%,"3,2",-33%,"1,2",-35%,"0,5",-25%,"0,5",-16%,"20,4",-3%,"1,9",+2%,"0,76",+2%,5,-29%,C,-29%,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,,['Monique Ranou'],"['Bio', 'Bio européen', 'en:gluten-free', 'AB Agriculture Biologique', 'FR-BIO-10', 'Qualité supérieure']",,,,,,,"['FR 29.247.022 CE', 'Saint-Évarzec (Finistère, France)']",,,,,
56,Teami Blends Profit Tea,0617724133602,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Charcuterie ruel museau,2215313016732,,,['France'],[],[],,,,,,,,,?,,255,,1067 kj(255 kcal),,20,,"6,3",,"0,8",,0,,19,,"2,8",,"1,12",,,,,,,,,,,,,,,"['Viande Française', 'Viande Porcine Française']",,,,,,,,,,,,
