,name,bar_code,eco_score,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand,nutriment_salt_tr,nutriment_sodium_tr,salt_quantity,salt_comment,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,quantity,packaging,labels,ingredients_origins,manufacturing,markets,additives,allergens,nova_score,traceability_code,generic_name,palm_ingredients,link
182,Kassler cru fumé bio - Ferme Durr - 136g,0205505025323,,"['Viandes', 'Porc']",['France'],"['carre de porc bio', 'eau', 'sel nitrité', 'dextrose', 'sel', 'antioxydant ', 'E301', 'Fumé au bois de hêtre']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,['Ferme Durr'],,,,,,,,,,,136 g,"['Plastique', 'Sous-vide', 'Frais']","['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Agriculture UE/Non UE', 'FR-BIO-01', 'Fumé au bois de hêtre']",,,['Biocoop'],"['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E301 - Ascorbate de sodium']",,4,"['FR 68.066.003 CE', 'Colmar (Haut-Rhin, France)']",,,
183,Rochebaron,0205505027167,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte persillée', 'Fromages à pâte persillée français', 'Rochebarron']",['France'],[],[],30 g,en quantité élevée,21 g,en quantité élevée,0 g,en faible quantité,?,,342,-4%,1431 kj(342 kcal),-4%,30,-2%,21,-1%,0,-100%,0,-100%,18,-8%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,['Rochebaron'],"1,9","0,76",1.9 g,en quantité élevée,-34%,-34%,17,-8%,D,-8%,,,,,,,,,,,,,
184,0205506012339,0205506012339,,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,Ballon Chocolat Blanc - Antoni,0205512000009,E,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Moulages en chocolat', 'Chocolats blancs', 'Ballons en chocolat']",['France'],[],[],33.4 g,en quantité élevée,20.6 g,en quantité élevée,57 g,en quantité élevée,?,,555,-2%,2322 kj(555 kcal),-2%,"33,4",-7%,"20,6",-5%,57,+7%,57,+13%,"6,6",-1%,91.5%,4.7%,1.2%,2.1%,0.4%,0.0%,24,['Antoni'],"0,24","0,096",0.24 g,en faible quantité,-7%,-7%,27,+1%,E,+1%,,,,,,,,,,,,,
186,Jesuites,0205513016665,,,['France'],[],[],,,,,,,?,,273,,1142 kj(273 kcal),,14,,"6,5",,33,,13,,"3,7",,,,,,,,,,"0,57","0,228",,,,,,,,,,,['Point Vert'],,,,,,,,,,
187,Lard Salé bio,0205518031298,,,['France'],[],[],,,,,,,?,,235,,983 kj(235 kcal),,"19,5",,"7,9",,"0,4",,"0,4",,"15,4",,,,,,,,,,"1,8","0,72",,,,,,,,,,,['Bio'],,,,,,,,,,
188,Pain au chocolat  x 8,0205521025918,D,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Pains au chocolat']",['France'],[],[],28 g,en quantité élevée,19 g,en quantité élevée,13 g,en quantité élevée,?,,481,+21%,2013 kj(481 kcal),+21%,28,+28%,19,+43%,48,+13%,13,+8%,"7,8",+9%,81.1%,12.4%,3.5%,2.7%,0.3%,0.0%,50,,"1,4","0,56",1.4 g,en quantité modérée,+55%,+55%,24,+22%,E,+22%,,,,,,,,,,,,,
189,Suisses chocolat x2,0205526008534,,,['France'],[],[],,,,,,,?,,429,,1795 kj(429 kcal),,19,,12,,54,,23,,"7,3",,,,,,,,,,1,"0,4",,,,,,,,,,,,,,,,,,,,,
190,suisses beurre pepite chocolat,0205531017712,,,['France'],[],[],,,,,,,?,,106,,444 kj(106 kcal),,"4,8",,"3,1",,13,,"5,7",,"1,8",,,,,,,,,,"0,26","0,104",,,,,,,,,,,,,,,,,,,,,
191,0205531047825,0205531047825,,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,Croissant,0205533009456,B,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Croissants']",['France'],[],[],28 g,en quantité élevée,19 g,en quantité élevée,9.2 g,en quantité modérée,?,,606,+57%,2536 kj(606 kcal),+57%,28,+29%,19,+43%,53,+26%,"9,2",+16%,"9,1",+23%,69.2%,17.2%,8.1%,4.9%,0.6%,0.0%,86,,"1,2","0,48",1.2 g,en quantité modérée,+26%,+26%,24,+29%,E,+29%,,,,,,,,,,,,,
193,Cookies,0205539022961,,,['France'],[],[],,,,,,,?,,480,,2008 kj(480 kcal),,16,,16,,57,,39,,"5,5",,,,,,,,,,"0,41","0,164",,,,,,,,,,,['Point Vert'],,,,,,,,,,
194,Brownies décongelé X6,0205542019026,C,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Croissants', 'Croissants au beurre']",['France'],[],[],29 g,en quantité élevée,11 g,en quantité élevée,11 g,en quantité modérée,?,,464,+21%,1941 kj(464 kcal),+20%,29,+34%,11,-23%,45,+10%,11,+56%,"5,8",-23%,78.5%,13.2%,5.3%,2.6%,0.4%,0.0%,69,,"0,06","0,024",0.06 g,en faible quantité,-94%,-94%,17,-9%,D,-9%,,,,,,,,,,,,,
195,Emmental français - Casino - 543g,0205547024605,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de vache', 'Emmentals']",['France'],"['Lait de vache pasteurisé', 'sel', 'ferments lactiques', 'coagulant']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",28 g,en quantité élevée,20 g,en quantité élevée,0.1 g,en faible quantité,1495,-4%,?,,1495 kj(357 kcal),-5%,28,-4%,20,+2%,"0,1",-85%,"0,1",-76%,27,-2%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,['Casino'],"0,7","0,28",0.7 g,en quantité modérée,+8%,+8%,12,+5%,D,+5%,543 g,"['Plastique', 'Frais']",,,,"['Géant', 'Casino']",,['Lait'],3,,Emmental,,
196,Ma crémière,0205558015159,,,['France'],[],[],,,,,,,?,,373,,1561 kj(373 kcal),,33,,"23,2",,2,,2,,17,,,,,,,,,,"1,6","0,64",,,,,,,,,,,,,,,,,,,,,
197,Brie,0205558024205,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages à pâte molle à croûte fleurie', 'Fromages de France', 'Bries']",['France'],[],[],33 g,en quantité élevée,23.2 g,en quantité élevée,2 g,en faible quantité,?,,373,+20%,1561 kj(373 kcal),+20%,33,+27%,"23,2",+27%,2,+186%,2,+426%,17,-10%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,"1,6","0,64",1.6 g,en quantité élevée,+1%,+1%,16,+7%,D,+7%,,,,,,,,,,,,,
198,Delice de bourguogne,0205583022801,,,['France'],[],[],,,,,,,?,,408,,1707 kj(408 kcal),,40,,29,,2,,0,,10,,,,,,,,,,2,"0,8",,,,,,,,,,,,,,,,,,,,,
199,Baguette paysanne cuite sur sol,0205585005901,,,['France'],[],[],,,,,,,?,,297,,1243 kj(297 kcal),,"1,4",,"0,3",,60,,"1,7",,"9,7",,,,,,,,,,"2,3","0,92",,,,,,,,,,,,,,,,,,,,,
200,Brioche Nanterre,0205587013058,,,['France'],[],[],,,,,,,?,,302,,1264 kj(302 kcal),,"9,8",,"4,9",,41,,"7,1",,11,,,,,,,,,,"1,3","0,52",,,,,,,,,,,,,,,,,,,,,
201,Fromage de Chevillon,0205593017194,,,['France'],[],[],,,,,,,?,,419,,1753 kj(419 kcal),,40,,30,,"2,5",,"0,9",,10,,,,,,,,,,"1,4","0,56",,,,,,,,,,,,,,,,,,,,,
202,Beignets Chocolat noisette,0205594015748,,"['Snacks', 'Snacks sucrés', 'Beignets sucrés']",['France'],[],['Sans huile de palme'],18 g,en quantité modérée,2 g,en quantité modérée,19 g,en quantité élevée,?,,385,+8%,1611 kj(385 kcal),+8%,18,+14%,2,-42%,47,+4%,19,+17%,"6,5",+3%,,,,,,,,,"0,71","0,284",0.71 g,en quantité modérée,-4%,-4%,12,0%,D,0%,,,['en:palm-oil-free'],,,,,,,,,,
203,"Pizza jambon fumé,  raclette",0205596040670,D,"['Plats préparés', 'Pizzas tartes salées et quiches', 'Pizzas', 'Pizzas au fromage', 'Pizza type raclette']",['France'],[],[],18 g,en quantité modérée,9.6 g,en quantité élevée,2.2 g,en faible quantité,?,,259,+7%,1084 kj(259 kcal),+6%,18,+89%,"9,6",+94%,14,-48%,"2,2",-23%,"9,9",-11%,75.7%,10.7%,2.8%,3.3%,1.6%,6.0%,49,,1,"0,4",1 g,en quantité modérée,-19%,-19%,16,+61%,D,+61%,,,,,,,,,,,,,
204,Jesuite,0205622018697,,,['France'],[],[],,,,,,,?,,279,,1167 kj(279 kcal),,14,,"6,5",,33,,13,,37,,,,,,,,,,"0,57","0,228",,,,,,,,,,,,,,,,,,,,,
205,Duo Céleri Carotte,0205627011150,,,['France'],[],[],,,,,,,?,,196,,820 kj(196 kcal),,19,,"1,4",,"4,5",,"2,7",,1,,,,,,,,,,"0,98","0,392",,,,,,,,,,,,,,,,,,,,,
206,Crêpes natures x12,0205634026246,B,"['Crêpes et galettes', 'Crêpes']",['France'],[],[],9.5 g,en quantité modérée,5.9 g,en quantité élevée,18 g,en quantité élevée,?,,298,-3%,1247 kj(298 kcal),-3%,"9,5",-4%,"5,9",+62%,44,-3%,18,-15%,"8,4",+17%,67.6%,15.0%,9.2%,4.1%,4.2%,0.0%,86,,"0,64","0,256",0.64 g,en quantité modérée,-21%,-21%,13,+7%,D,+7%,,,,,,,,,,,,,
207,Chocolatine,0205636031682,,,['France'],[],[],,,,,,,?,,514,,2151 kj(514 kcal),,28,,18,,54,,18,,10,,,,,,,,,,"1,2","0,48",,,,,,,,,,,,,,,,,,,,,
208,Rambol enrobe au noix,0205639016464,,,['France'],[],[],,,,,,,?,,0,,0 kj(0 kcal),,25,,14,,"4,1",,"2,5",,14,,,,,,,,,,"0,9","0,36",,,,,,,,,,,,,,,,,,,,,
209,Agneau Francais,0205646032730,,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,Brioche extra part au poids,0205656026248,,,['France'],[],[],,,,,,,?,,262,,1096 kj(262 kcal),,"7,8",,"4,1",,36,,"7,7",,11,,,,,,,,,,"1,1","0,44",,,,,,,,,,,,,,,,,,,,,
211,Brioche extra part au poids,0205656040015,,,['France'],[],[],,,,,,,?,,262,,1096 kj(262 kcal),,"7,8",,"4,1",,36,,"7,7",,11,,,,,,,,,,"1,1","0,44",,,,,,,,,,,,,,,,,,,,,
212,Gateau Coup de soleil framboises,0205663022301,,,['France'],[],[],,,,,,,?,,237,,992 kj(237 kcal),,18,,12,,26,,4,,4,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,
213,Merguez,0205690044543,E,"['Viandes', 'Charcuteries', 'Saucisses', 'Merguez']",['France'],[],[],17.5 g,en quantité modérée,7.9 g,en quantité élevée,1.3 g,en faible quantité,?,,233,-11%,975 kj(233 kcal),-11%,"17,5",-19%,"7,9",-14%,"2,8",+33%,"1,3",+13%,"16,1",+13%,92.9%,4.8%,1.4%,0.6%,0.3%,0.1%,4,,"2,5",1,2.5 g,en quantité élevée,+31%,+31%,19,+1%,E,+1%,,,,,,,,,,,,,
214,Tome d'Ardèche,0205694032997,,,['France'],[],[],,,,,,,?,,350,,1464 kj(350 kcal),,29,,20,,"1,4",,0,,20,,,,,,,,,,"2,1","0,84",,,,,,,,,,,,,,,,,,,,,
215,Sauces aux Herbes,0205695046573,,,['France'],[],[],,,,,,,?,,266,,1113 kj(266 kcal),,"21,7",,"8,4",,"2,5",,1,,"15,3",,,,,,,,,,"2,9","1,16",,,,,,,,,,,,,,,,,,,,,
216,Dejeunettes viennoises pépites x4 - Leclerc,0205708013783,,,['France'],['DEJEUNETTES VIENNOISES'],[],,,,,,,?,,476,,1992 kj(476 kcal),,11,,"6,9",,76,,17,,15,,,,,,,,,['Leclerc'],"1,6","0,64",,,,,,,,,,,,,,,,,,,,,
217,Itchebai,0205717030313,,,['France'],[],[],,,,,,,?,,382,,1598 kj(382 kcal),,32,,23,,1,,0,,22,,,,,,,,,,"1,7","0,68",,,,,,,,,,,,,,,,,,,,,
218,Tomme de montagne,0205718032477,,,['France'],[],[],,,,,,,?,,347,,1452 kj(347 kcal),,27,,19,,1,,0,,25,,,,,,,,,,"1,7","0,68",,,,,,,,,,,,,,,,,,,,,
219,Ananas en morceaux,0205721014828,,['Ananas en morceaux'],['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,Plateau barbecue Boeuf,0205721031108,,,['France'],[],[],,,,,,,?,,148,,619 kj(148 kcal),,"8,6",,"3,9",,1,,"0,7",,16,,,,,,,,,,"0,68","0,272",,,,,,,,,,,,,,,,,,,,,
221,Manchon de poulet à la mexicaine cuit + Pommes de terre - Auchan - 0.462kg (4.57/9.9),0205722029982,D,"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats à la volaille', 'Plats au poulet']",['France'],"['Ailes de poulet mexicaines ', 'Poulet 97%', 'assaisonnement 3% ', 'sel', 'épices', 'chapelure de blé', 'maltodextrine de blé', ""poudre d'oignon"", 'arômes', 'sucre', ""poudre d'ail"", 'poudre de tomate', 'légumes déshydratés', 'huile de tournesol', 'herbes aromatiques', '\rPommes de terre']","['Non végétalien', 'Non végétarien']",,,,,,,?,,?,,,,?,,,,?,,,,?,,78.2%,13.6%,2.4%,3.4%,1.4%,1.0%,44,['Auchan'],,,,,,,,,,,0.462 kg (4.57/9.9),"['Barquette', 'Plastique']",,,,['Auchan'],,['Gluten'],4,,Ailes de poulet saveur mexicaine,,
222,Aux fleurs de printemps,0205729031759,,,['France'],[],[],,,,,,,?,,381,,1594 kj(381 kcal),,31,,21,,0,,0,,25,,,,,,,,,,"1,7","0,68",,,,,,,,,,,,,,,,,,,,,
223,Rillettes du Mans,0205732009844,D,"['Viandes', 'Produits à tartiner', 'Charcuteries', 'Produits à tartiner salés', 'Rillettes', 'Rillettes de viande', 'Rillettes françaises', 'Rillettes de viande rouge', 'Rillettes de la Sarthe', 'Rillettes de porc', 'Rillettes du Mans']",['France'],[],[],42.7 g,en quantité élevée,17.1 g,en quantité élevée,0.5 g,en faible quantité,?,,444,+11%,1858 kj(444 kcal),+11%,"42,7",+14%,"17,1",+20%,"0,5",+37%,"0,5",+79%,"14,6",-8%,74.1%,17.7%,4.6%,2.1%,1.2%,0.3%,39,,"1,42","0,568",1.42 g,en quantité modérée,+14%,+14%,21,+8%,E,+8%,,,,,,,,,,,,,
224,Pizza romana,0205733036085,,,['France'],[],[],,,,,,,?,,600,,2510 kj(600 kcal),,17,,"8,3",,14,,"2,3",,11,,,,,,,,,,"1,2","0,48",,,,,,,,,,,,,,,,,,,,,
225,Surimi crudités -,0205735004532,,"['Sandwichs', 'Sandwichs au poisson', 'Sandwichs au surimi', 'en:raw-vegetable-sandwiches']",['France'],[],[],7.3 g,en quantité modérée,0.6 g,en faible quantité,3.7 g,en faible quantité,?,,206,-9%,862 kj(206 kcal),-9%,"7,3",-17%,"0,6",-58%,27,+4%,"3,7",+17%,"6,8",-30%,,,,,,,,,"1,4","0,56",1.4 g,en quantité modérée,+19%,+19%,4,+59%,C,+59%,,,,,,,,,,,"Sandwichs aux surimis, crudité et de mayonnaise allégée",,
226,16 mini paniers feuilletés,0205735022895,,,['France'],[],[],,,,,,,?,,362,,1515 kj(362 kcal),,22,,14,,32,,"3,4",,"8,2",,,,,,,,,,"1,3","0,52",,,,,,,,,,,,,,,,,,,,,
227,Tarama aux oeufs de cabillaud,0205736008928,,,['France'],[],[],,,,,,,?,,567,,2372 kj(567 kcal),,"58,8",,"4,4",,"3,5",,"0,3",,6,,,,,,,,,,"1,46","0,584",,,,,,,,,,,,,,,,,,,,,
228,Paturette croc color,0205737008071,,,['France'],[],[],,,,,,,?,,163,,682 kj(163 kcal),,"4,5",,"2,8",,"26,2",,"22,7",,"3,9",,,,,,,,,,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,
229,Printiligne,0205737009771,,,['France'],[],[],,,,,,,?,,77,,322 kj(77 kcal),,"0,5",,"0,1",,"12,4",,"11,6",,62,,,,,,,,,,"0,09","0,036",,,,,,,,,,,,,,,,,,"['EMB 50579', 'Sottevast (Manche, France)']",,,
230,Les grands lardons,0205738028078,,,['France'],[],[],,,,,,,?,,218,,912 kj(218 kcal),,"16,1",,6,,"0,9",,"0,8",,"17,4",,,,,,,,,,"3,3","1,32",,,,,,,,,,,,,,,,,,,,,
231,Think Positive Soja,0205743013588,,,['France'],[],[],,,,,,,?,,39,,163 kj(39 kcal),,"1,6",,"0,4",,"2,9",,"2,4",,3,,,,,,,,,,"0,05","0,02",,,,,,,,,,,,,,,,,,,,,
232,Cake apero,0205745010639,,,['France'],[],[],,,,,,,?,,342,,1431 kj(342 kcal),,"3,72",,"0,14",,"62,27",,"4,31",,"12,9",,,,,,,,,,"3,95","1,58",,,,,,,,,,,,,,,,,,,,,
233,Pain de mie American Sandwich,0205746003555,,,['France'],[],[],,,,,,,?,,271,,1134 kj(271 kcal),,"4,1",,"0,4",,"48,7",,"7,7",,"7,6",,,,,,,,,,"1,1","0,44",,,,,,,,,,,,,,,,,,,,,
234,Comte 24 mois,0205753049522,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté', 'en:aoc-cheeses', 'en:labeled-cheeses']",['France'],[],[],35 g,en quantité élevée,22 g,en quantité élevée,0 g,en faible quantité,?,,417,+5%,1745 kj(417 kcal),+6%,35,+7%,22,+1%,0,-100%,0,-100%,27,+7%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,"0,82","0,328",0.82 g,en quantité modérée,-16%,-16%,13,-3%,D,-3%,,,,,,,,,,,,,
235,Jambon sec de Savoie,0205757011297,E,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons crus', 'Jambons secs']",['France'],[],[],12 g,en quantité modérée,5 g,en quantité modérée,0.3 g,en faible quantité,?,,220,-6%,920 kj(220 kcal),-6%,12,-6%,5,+3%,"0,7",+19%,"0,3",-20%,28,-3%,81.4%,16.7%,0.3%,0.9%,0.5%,0.3%,7,,6,"2,4",6 g,en quantité élevée,+20%,+20%,16,-4%,D,-4%,,,,,,,,,,,,,
236,Queue de Veau - Sans marque - 500g,0205758022964,,"['Poissons et viandes et oeufs', 'Abats', 'Queues de veau']",['France'],['Queue de veau'],[],,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,['Sans marque'],,,,,,,,,,,500 g,"['Frais', 'Plastique']",['Origine France'],['France'],['France'],,,,,"['FR 77.251.003 CE', 'Lieusaint (Seine-et-Marne, France)']",,,
237,Saucisson Bride Gros Hachage,0205760008406,,,['France'],[],[],,,,,,,?,,376,,1573 kj(376 kcal),,29,,11,,"2,9",,"0,7",,26,,,,,,,,,,"4,4","1,76",,,,,,,,,,,,,,,,,,"['EMB 53062F', 'Château-Gontier (Mayenne, France)']",,,
238,Pain tranché sans gluten,0205767020470,,,['France'],[],[],,,,,,,?,,241,,1008 kj(241 kcal),,5,,"0,5",,42,,"2,6",,"3,3",,,,,,,,,,"1,5","0,6",,,,,,,,,,,['en:gluten-free'],,,,,,,,,,
239,Bonne poire,0205768006831,,,['France'],[],[],,,,,,,?,,94,,393 kj(94 kcal),,3,,"2,1",,"13,1",,"12,8",,"3,5",,,,,,,,,,"0,13","0,052",,,,,,,,,,,['Bio'],,,,,,,,,,
240,PURE COCO NATURE,0205768011491,,,['France'],[],[],,,,,,,?,,192,,803 kj(192 kcal),,"14,9",,"14,1",,"13,2",,"9,2",,"1,2",,,,,,,,,,"0,04","0,016",,,,,,,,,,,,,,,,,,,,,
241,Coq en box,0205772026184,,,['France'],[],[],,,,,,,?,,193,,808 kj(193 kcal),,11,,"3,3",,"2,2",,"2,2",,20,,,,,,,,,,"1,3","0,52",,,,,,,,,,,"['Sans arômes artificiels', 'Sans conservateurs']",,,,,,,,,,
242,Palets fromagers chèvre,0205774009321,,,['France'],[],[],,,,,,,?,,323,,1351 kj(323 kcal),,20,,"8,9",,30,,3,,9,,,,,,,,,,"2,2","0,88",,,,,,,,,,,,,,,,,,,,,
243,Salade chou carottes,0205776010905,,,['France'],[],[],,,,,,,?,,136,,569 kj(136 kcal),,"11,2",,"1,3",,7,,"5,4",,"0,9",,,,,,,,,,"0,64","0,256",,,,,,,,,,,['Bio'],,,,,,,,,,
244,Deli stule,0205776023882,,,['France'],[],[],,,,,,,?,,188,,787 kj(188 kcal),,12,,4,,10,,"0,4",,10,,,,,,,,,,"2,2","0,88",,,,,,,,,,,,,,,,,,,,,
245,P'tit yab,0205780011813,,,['France'],[],[],,,,,,,?,,72,,301 kj(72 kcal),,"1,3",,"0,9",,12,,12,,"3,1",,,,,,,,,,"0,1","0,04",,,,,,,,,,,,,,,,,,"['EMB 22099', ""Lanfains (Côtes-d'Armor, France)""]",,,
246,Emmental grand cru,0205781039557,,,['France'],[],[],,,,,,,?,,396,,1657 kj(396 kcal),,32,,20,,0,,0,,27,,,,,,,,,,"0,35","0,14",,,,,,,,,,,,,,,,,,,,,
247,Brioche au poids,0205796019025,,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,Brioche,0205796028409,C,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Brioches']",['France'],[],[],16.2 g,en quantité modérée,10.6 g,en quantité élevée,12.5 g,en quantité modérée,?,,376,+3%,1573 kj(376 kcal),+3%,"16,2",+17%,"10,6",+39%,"51,7",+1%,"12,5",-36%,"6,5",-13%,81.5%,11.5%,4.5%,2.1%,0.3%,0.0%,56,,"0,9","0,36",0.9 g,en quantité modérée,+24%,+24%,19,+12%,E,+12%,,,,,,,,,,,,,
249,Brioche Coupe,0205796028805,,,['France'],[],[],,,,,,,?,,376,,1573 kj(376 kcal),,"16,2",,"10,6",,"51,7",,"12,5",,"6,5",,,,,,,,,,"0,9","0,36",,,,,,,,,,,,,,,,,,,,,
250,L'essentiel,0205802006049,,,['France'],[],[],,,,,,,?,,93,,389 kj(93 kcal),,"2,6",,2,,"14,4",,"14,3",,"3,1",,,,,,,,,,"0,11","0,044",,,,,,,,,,,,,,,,,,,,,
251,Ravioli bolognaise,0205804012543,,"['Plats préparés', 'Plats à base de pâtes', 'Pâtes farcies', 'Ravioli', 'Ravioli à la bolognaise']",['France'],[],[],3.4 g,en quantité modérée,1.5 g,en quantité modérée,3.2 g,en faible quantité,?,,100,-7%,418 kj(100 kcal),-7%,"3,4",-1%,"1,5",+16%,12,-7%,"3,2",+42%,"4,4",-11%,,,,,,,,,"0,75","0,3",0.75 g,en quantité modérée,-14%,-14%,3,+41%,C,+41%,,,,,,,,,,,,,
252,Steak bovine bio -,0205807015558,,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Viande Française', 'Viande-bovine-francaise']",,,,,,,,,,
253,Bn sensation,0205809011039,,,['France'],[],[],,,,,,,?,,519,,2171 kj(519 kcal),,27,,11,,61,,35,,6,,,,,,,,,,"1,23","0,492",,,,,,,,,,,,,,,,,,,,,
254,Chipolata,0205812030508,E,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Chipolatas']",['France'],[],[],22 g,en quantité élevée,2.7 g,en quantité modérée,0.3 g,en faible quantité,?,,267,+12%,1117 kj(267 kcal),+12%,22,+16%,"2,7",-63%,"1,2",+3%,"0,3",-53%,15,-3%,86.2%,9.9%,1.8%,1.2%,0.7%,0.2%,24,,"2,3","0,92",2.3 g,en quantité élevée,+28%,+28%,15,-10%,D,-10%,,,,,,,,,,,,,
255,Thon,0205819317350,D,"['Produits de la mer', 'Poissons', 'Thons']",['France'],[],[],11.3 g,en quantité modérée,1.3 g,en faible quantité,0 g,en faible quantité,?,,197,+8%,824 kj(197 kcal),+8%,"11,3",+14%,"1,3",-26%,0,-100%,0,-100%,"24,4",+13%,86.9%,0.0%,2.5%,9.0%,1.2%,0.3%,41,,1,"0,4",1 g,en quantité modérée,-3%,-3%,2,-35%,B,-35%,,,,,,,,,,,,,
256,Suisse au chocolat,0205821022969,,,['France'],[],[],,,,,,,?,,334,,1397 kj(334 kcal),,17,,"8,9",,39,,17,,"5,9",,,,,,,,,,"0,86","0,344",,,,,,,,,,,,,,,,,,,,,
257,Morceaux choisis de poulet recette herbes de provence,0205825037532,,,['France'],[],[],,,,,,,?,,213,,891 kj(213 kcal),,15,,"4,3",,"1,9",,1,,17,,,,,,,,,,"0,81","0,324",,,,,,,,,,,,,,,,,,,,,
258,Mascotte parfum chocolat-noisettes 140 g,0205835017388,,,['France'],[],[],,,,,,,?,,397,,1661 kj(397 kcal),,20,,"7,2",,47,,19,,"6,1",,,,,,,,,,"0,9","0,36",,,,,,,,,,,,,,,,,,,,,
259,Cheesecake citron,0205853010569,,,['France'],[],[],,,,,,,?,,311,,1301 kj(311 kcal),,19,,11,,32,,23,,"2,4",,,,,,,,,,"0,25","0,1",,,,,,,,,,,,,,,,,,,,,
260,Panier de saison,0205853011207,,,['France'],[],[],,,,,,,?,,41,,172 kj(41 kcal),,0,,0,,"8,9",,"8,6",,"0,6",,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,
261,Coleslaw -,0205856004091,B,"['Plats préparés', 'Entrées', 'Coleslaw']",['France'],[],[],7.6 g,en quantité modérée,0.7 g,en faible quantité,5.9 g,en quantité modérée,?,,104,-20%,435 kj(104 kcal),-18%,"7,6",-24%,"0,7",-20%,"6,6",+6%,"5,9",+18%,"1,3",+17%,37.1%,36.0%,10.3%,10.1%,5.2%,1.4%,92,,"0,85","0,34",0.85 g,en quantité modérée,+7%,+7%,5,+45%,C,+45%,,,,,,,,,,,,,
262,Galette au blé noir,0205856005647,,,['France'],[],[],,,,,,,?,,218,,912 kj(218 kcal),,14,,"6,3",,12,,"1,5",,11,,,,,,,,,,"1,4","0,56",,,,,,,,,,,,,,,,,,,,,
263,Galettes saucisses emmental oignons,0205856010535,,,['France'],[],[],,,,,,,?,,188,,787 kj(188 kcal),,"8,2",,"3,9",,21,,"0,74",,"6,8",,,,,,,,,,"1,4","0,56",,,,,,,,,,,,,,,,,,,,,
