,name,bar_code,eco_score,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand,nutriment_salt_tr,nutriment_sodium_tr,salt_quantity,salt_comment,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,quantity,packaging,labels,ingredients_origins,manufacturing,markets,additives,allergens,nova_score,traceability_code,generic_name,palm_ingredients,link
967,Fromage St Mont des Alpes,0208534018830,,,['France'],[],[],,,,,,,?,,410,,1715 kj(410 kcal),,34,,22,,0,,0,,26,,,,,,,,,,1,"0,4",,,,,,,,,,,,,,,,,,,,,
968,Croissant - Leclerc,0208534023292,B,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Croissants']",['France'],[],[],22 g,en quantité élevée,15 g,en quantité élevée,7.2 g,en quantité modérée,?,,399,+3%,1669 kj(399 kcal),+3%,22,+1%,15,+13%,42,-0%,"7,2",-9%,"7,1",-4%,69.2%,17.2%,8.1%,4.9%,0.6%,0.0%,86,['Leclerc'],"0,95","0,38",0.95 g,en quantité modérée,-1%,-1%,19,+2%,E,+2%,,,,,,,,,,,,,
969,Tomate - Monoprix,0208544005387,,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,['Monoprix'],,,,,,,,,,,,,,,,['Monoprix'],,,,,,,
970,Tomates,0208545016535,,,['France'],[],[],,,,,,,?,,2,,8 kj(2 kcal),,2,,2,,2,,2,,2,,,,,,,,,,2,"0,8",,,,,,,,,,,,,,,,,,,,,
971,"Poivrons rouges - Monoprix - 0,505kg",0208556011543,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Frais', 'Aliments à base de plantes frais', 'Légumes frais', 'Poivrons', 'Poivrons rouges', 'Poivrons frais']",['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,,,?,,67.3%,0.0%,0.0%,14.4%,14.9%,3.3%,96,['Monoprix'],,,,,,,,,,,"0,505 kg",,,,,['Monoprix'],,,,,,,
972,Cantal jeune,0208556024536,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Cantal', 'Cantal jeune']",['France'],[],[],30 g,en quantité élevée,22 g,en quantité élevée,0 g,en faible quantité,?,,372,+1%,1556 kj(372 kcal),+1%,30,+2%,22,+6%,"1,5",0%,0,-100%,24,0%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,"1,9","0,76",1.9 g,en quantité élevée,+2%,+2%,17,+2%,D,+2%,,,,,,,,,,,,,
973,Donuts nature au sucre -,0208560025581,B,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Donuts']",['France'],[],[],24 g,en quantité élevée,10 g,en quantité élevée,17 g,en quantité élevée,?,,417,+2%,1745 kj(417 kcal),+2%,24,+5%,10,-6%,44,-2%,17,+1%,"6,1",+3%,65.3%,17.3%,8.4%,4.6%,4.4%,0.0%,87,,"1,7","0,68",1.7 g,en quantité élevée,+79%,+79%,24,+23%,E,+23%,,,,,,,,,,,,,
974,Pains au chocolat,0208563026240,D,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Pains au chocolat']",['France'],[],[],30 g,en quantité élevée,19 g,en quantité élevée,19 g,en quantité élevée,?,,556,+40%,2326 kj(556 kcal),+40%,30,+37%,19,+43%,59,+39%,19,+58%,11,+53%,81.1%,12.4%,3.5%,2.7%,0.3%,0.0%,50,,"0,002","0,001",0.0019 g,en faible quantité,-100%,-100%,20,+2%,E,+2%,,,,,,,,,,,,,
975,Chouquettes x20,0208564019357,,,['France'],[],[],,,,,,,?,,386,,1615 kj(386 kcal),,19,,12,,45,,22,,"8,7",,,,,,,,,,"0,9","0,36",,,,,,,,,,,,,,,,,,,,,
976,Duo ananas mangue - Leclerc,0208568020076,,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,['Leclerc'],,,,,,,,,,,,,['Sans conservateurs'],,,,,,,,,,
977,Tomme de savoie,0208576018638,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de France', 'Produits de montagne', 'Fromages de montagne', 'Tommes', 'en:tomme-cheese-from-mountain-or-savoy']",['France'],[],[],30 g,en quantité élevée,23 g,en quantité élevée,0 g,en faible quantité,?,,370,+5%,1548 kj(370 kcal),+5%,30,+7%,23,+18%,0,-100%,0,-100%,25,+1%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,"0,6","0,24",0.6 g,en quantité modérée,-59%,-59%,11,-26%,D,-26%,,,,,,,,,,,,,
978,Truite fumé maison,0208582029062,,,['France'],[],[],,,,,,,?,,204,,854 kj(204 kcal),,12,,"3,1",,0,,0,,24,,,,,,,,,,"0,13","0,052",,,,,,,,,,,,,,,,,,,,,
979,Doony's chocolat,0208585009849,B,"['Biscuits et gâteaux', 'Gâteaux', 'Donuts']",['France'],[],[],34 g,en quantité élevée,16 g,en quantité élevée,20 g,en quantité élevée,?,,544,+33%,2276 kj(544 kcal),+33%,34,+49%,16,+51%,50,+12%,20,+19%,"8,2",+39%,65.3%,17.3%,8.4%,4.6%,4.4%,0.0%,87,,2,"0,8",2 g,en quantité élevée,+111%,+111%,28,+44%,E,+44%,,,,,,,,,,,,,
980,Comte,0208591015681,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté', 'en:aoc-cheeses', 'en:labeled-cheeses']",['France'],[],[],35 g,en quantité élevée,23 g,en quantité élevée,0 g,en faible quantité,?,,418,+5%,1749 kj(418 kcal),+6%,35,+7%,23,+6%,0,-100%,0,-100%,27,+7%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,"0,82","0,328",0.82 g,en quantité modérée,-16%,-16%,13,-3%,D,-3%,,,,,,,,,,,,,
