,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,brand,quantity,packaging,categories,labels,manufacturing,additives,allergens,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,traceability_code,markets,ingredients_origins,generic_name,link,origin_detail,brand_owner,producer_info
770,Céréales croustillantes,3770015981188,['France'],[],[],?,407,1703 kj(407 kcal),"12,3","1,3","59,1","14,8","11,1","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
771,Riscossa Semola Rimacinata,8011780047927,['France'],[],[],?,?,,?,0,?,0,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
772,plantation - marque repère,356470001031002,['France'],[],[],?,?,,?,,?,,?,,,['marque repère'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Leclerc'],,,,,,
773,Dattes d'Algérie,3770021029102,['France'],[],[],?,296,1238 kj(296 kcal),"0,2","0,1","67,4","55,9","2,4",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
774,Céréales croustillntes,3770015981195,['France'],[],[],?,390,1632 kj(390 kcal),"12,5","1,2","55,1","17,8","9,6","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
775,Candy’up,3533631768003,['France'],[],[],?,62,259 kj(62 kcal),"0,9","0,6","1,2","0,6","0,09",0,0,,,,,"['Nutriscore', 'Nutriscore B']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
776,Confiture fraise 70%,3174061039105,['France'],[],[],?,168,703 kj(168 kcal),"0,5","0,1",40,38,"0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
777,Perle chocolat blanc sorbet fraise,3266054176444,['France'],[],[],?,470,1966 kj(470 kcal),19,11,70,61,"3,1","0,17","0,068",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
778,Mûre sauvage,3700680100874,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
779,Le Cassoulet,3256477007029,['France'],[],[],?,185,774 kj(185 kcal),11,"4,4","8,7",1,12,"0,59","0,236",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
780,Confiture,3665000345062,['France'],[],[],?,374,1565 kj(374 kcal),"0,13","0,02",57,55,"0,72",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
781,Bananes plantains,3770021043009,['France'],[],[],?,177,741 kj(177 kcal),"4,2","0,37","30,9","19,1","0,8","0,4","0,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
