,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,brand,quantity,packaging,categories,labels,manufacturing,additives,allergens,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,traceability_code,markets,ingredients_origins,generic_name,link,origin_detail,brand_owner,producer_info
1104,Chocolat - Metro Chef,3439495208115,['France'],[],[],?,?,,?,,?,,?,,,['Metro Chef'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1105,Lupini in salamoia,8005639015182,['France'],[],[],?,500,2092 kj(500 kcal),"1,9",0,"6,4","1,9","16,4","2,5",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1106,Thai style fishless cakes - Asda,5057172599486,['France'],[],[],?,187,782 kj(187 kcal),"6,4","0,8",26,"2,5","3,7","0,87","0,348",['Asda'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1107,Herbes de Provence -,3439495105087,['France'],[],[],?,?,,?,,?,,?,,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Plantes condimentaires', 'Plantes aromatiques', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Plantes aromatiques sèches moulues', 'Mélanges de plantes aromatiques', 'Herbes de Provence']",,,,,,,,,,,,,,,,,,,,,,,,,,,,B,43.6%,0.0%,30.6%,8.2%,17.6%,0.0%,93,,,,,,,,
1108,Jacob le glacier,3448270004385,['France'],[],[],?,128,536 kj(128 kcal),0,0,"30,3","26,4","0,6",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1109,Menthe,3580283040520,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1110,Caramel cocoa,8697436520091,['France'],[],[],?,463,1937 kj(463 kcal),19,17,70,59,4,"0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1111,L 'ortolan Maxi,3272320016000,['France'],[],[],?,356,1490 kj(356 kcal),31,23,"0,7","0,5",17,"1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1112,Bloody Litchi - Brasserie de la Semène,9740813910271,['France'],[],[],?,?,,?,,?,,?,,,['Brasserie de la Semène'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1113,Fromage de chèvres fleurs,3475430011334,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1114,Pain aux noix,6482360000250,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1115,Abricot sec,2600110019619,['France'],[],[],?,283,1184 kj(283 kcal),"0,5","0,02","62,6","53,4","3,4",,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs', 'Abricots secs']",,,,,,0.5 g,en faible quantité,0.02 g,en faible quantité,53.4 g,en quantité élevée,,,,+8%,+8%,+3%,-67%,+8%,+18%,+10%,,,,,,,D,45.6%,45.5%,2.7%,4.3%,1.9%,0.0%,38,,,,,,,,
1116,Taralli curcuma e zenzero,8022951004472,['France'],[],[],?,370,1548 kj(370 kcal),14,"2,2",49,"1,1","7,1","1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1117,"Volvic infusion bio , thé vert",3057640557248,['France'],[],[],?,36,151 kj(36 kcal),"0,5",0,"8,2","8,2","0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1118,"Espelta Integral, Harina De 500G Finestra",8437012461260,['France'],[],[],?,349,1460 kj(349 kcal),4,"0,5",64,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1119,Infusion,3398984300030,['France'],[],[],?,1,4 kj(1 kcal),0,0,"0,2",0,"0,1",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1120,Les gourmandises de sophie,3700345902096,['France'],[],[],?,346,1448 kj(346 kcal),"0,5","0,5",83,68,"3,2","0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1121,BIO BAUEREBROUT,,['France'],[],[],?,214,895 kj(214 kcal),"0,3","0,2","44,4","1,8",6,"0,93","0,372",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1122,"Risotto, Rundkornreis Weiß",4039057400606,['France'],[],[],?,352,1473 kj(352 kcal),"0,5","0,1",80,"0,5","6,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1123,Mozzarella,8056326210069,['France'],[],[],?,998,4176 kj(998 kcal),21,15,0,0,13,"0,32","0,128",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1124,Chocobrowniemuesli,4251680805386,['France'],[],[],?,423,1770 kj(423 kcal),"14,3","5,7","59,7","15,1","9,8","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1125,Ranch Dressing,0011110051554,['France'],[],[],?,120,502 kj(120 kcal),12,1,3,1,0,"0,8","0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1126,Vitamin C & Zinc,0025000130717,['France'],[],[],?,50,209 kj(50 kcal),0,0,11,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1127,Lait 3.8% Bio,0055872500301,['France'],[],[],?,68,285 kj(68 kcal),4,"2,4","5,2","4,8","3,6","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1128,Iso whey zero,5999076223978,['France'],[],[],?,?,,?,0,?,0,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1129,Pur jus pomme framboise,3760271200109,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1130,Huile d'olive,3760270270202,['France'],[],[],?,899,3761 kj(899 kcal),100,14,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1131,jus multifruits - jafaden - 20cl,3564700431511,['France'],[],[],?,?,,?,,?,,?,,,['Jafaden'],20cl,"['Cartons', 'Brique en carton', 'Sachet en plastique']","['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus multifruits']","['Sans sucre ajouté', 'Nutriscore', 'Nutriscore C']",,,,,,,,,,,,,,,,,,,,,,,,,,,D,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,['E.Leclerc'],,,,,,
1132,Cônes citron,3258561410319,['France'],[],[],?,820,3431 kj(820 kcal),"4,1","3,1",38,27,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1133,Pain aux figues,0221116010824,['France'],[],[],?,292,1222 kj(292 kcal),"1,7","0,6",57,"7,5",10,"1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1134,Citron vert bio,3700139214824,['France'],[],[],?,1,4 kj(1 kcal),0,0,2,"0,5",0,0,0,,,,,"['Bio', 'Bio européen', 'Nutriscore', 'Nutriscore A', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1135,Purée de pommes bio,4260654785203,['France'],[],[],?,51,213 kj(51 kcal),0,0,12,10,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1136,Yaourt grec - 1kg,5201037711937,['France'],[],[],?,95,397 kj(95 kcal),5,3,"3,6","3,6","8,2",0,0,,1 kg,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts à la grecque']",,,,,,5 g,en quantité modérée,3 g,en quantité modérée,3.6 g,en faible quantité,0 g,en faible quantité,,-19%,-19%,-27%,-32%,-59%,-55%,+85%,-100%,-100%,-2,-149%,A,-149%,,,,,,,,,,,,,,,,
1137,Croissant,0201151016401,['France'],[],[],?,385,1611 kj(385 kcal),21,15,40,7,"6,9","0,93","0,372",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1138,Nocciole tostate,8001735004105,['France'],[],[],?,680,2845 kj(680 kcal),"6,4",5,6,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1139,Madeleine fourrée chocolat noisettes,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1140,Anfosso Salsa Di Noci (180g Glas),8008378000600,['France'],[],[],?,724,3029 kj(724 kcal),74,12,"2,5","2,5","8,9","0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1141,Morango fraise - Auchan,5601002115010,['France'],[],[],?,176,736 kj(176 kcal),"0,8","0,5",41,40,"0,5","0,01","0,004",['Auchan'],,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de fraises']",,,,,,0.8 g,en faible quantité,0.5 g,en faible quantité,40 g,en quantité élevée,0.01 g,en faible quantité,,-19%,-19%,+232%,+1009%,-23%,-21%,+13%,-56%,-56%,8,-8%,C,-8%,D,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,,,,,
1142,Pan de cristal diamante,8437012038493,['France'],[],[],?,162,678 kj(162 kcal),"0,9","0,2",30,"1,4","7,2","0,8","0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1143,La Ruche aux Delices,3800162404688,['France'],[],[],?,?,,?,0,?,0,?,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1144,Poulet fermier,0217004094137,['France'],[],[],?,150,628 kj(150 kcal),7,"1,9",9,0,21,"0,13","0,052",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1145,4 chocolatines et 4 croissants,0207252022303,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1146,Fraise Mariguette,3760105314095,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1147,Purée de pommes,3493370000102,['France'],[],[],?,56,234 kj(56 kcal),"0,3","0,1","12,8","11,6","0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1148,Véritables merguez Tressées à la main Les Recettes 1924 - Madrange - 600g (8merguez),3273625835365,['France'],"['Viande de bœuf 65%', 'viande de mouton 15%', 'eau', 'gras de bœuf', 'sel', 'sirop de glucose', 'épices', 'gras de mouton', 'arômes naturels*', 'colorants : rouge de betterave et carmins', ' Boyau naturel de mouton', ""\r *contient naturellement de l'acide ascorbique"", ""de l'acide acétique et des polyphénols""]","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",1024,247,1024 kj(247 kcal),30,"8,1","2,7","< 0,5",14,"2,3","0,92",['Madrange'],600 g (8 merguez),"['Barquette', 'Frais', 'Opercule', 'Plastique']","['Viandes', 'Charcuteries', 'Saucisses', 'Merguez', 'Merguez de boeuf et mouton']","['Nutriscore', 'Nutriscore E']",['France'],"['E162 - Rouge de betterave', 'E120 - Acide carminique']",,4,30 g,en quantité élevée,8.1 g,en quantité élevée,0.5 g,en faible quantité,2.3 g,en quantité élevée,+0%,-6%,-7%,+40%,-12%,+28%,-57%,-2%,+20%,+20%,21,+12%,E,+12%,,,,,,,,,,,,Véritables merguez Tressées à la main,https://www.madrange.fr/nos-produits/veritables-merguez-tressees-a-la-main/,,,
1149,Gaufres aux oeufs frais et sucre glace,5410126152142,['France'],[],[],?,470,1966 kj(470 kcal),28,11,49,31,"7,2","0,76","0,304",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1150,Sauce burger,05745016,['France'],[],[],?,547,2289 kj(547 kcal),55,"2,4","12,6","10,9","4,2","1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1151,Sauce samuraï,5410803980150,['France'],[],[],?,406,1699 kj(406 kcal),"42,6","1,6","1,1","1,1","0,9","2,21","0,884",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1152,Andouilettes de canard,0217790032993,['France'],[],[],?,216,904 kj(216 kcal),16,"6,2","0,6",0,17,"1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 72.264.002 CE', 'Sablé-sur-Sarthe (Sarthe, France)']",,,,,,,
1153,Pur jus de pomme bio du Perche,3760250430008,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1154,leFrescheBiscottate - GrissinBon - 250g,47680661,['France'],"['a normale funzione tiroidea', ' à jeter ecessario consumare almeno 50 g 6 fette СА RIC RIC BISCOTTES AUX CÉRÉALES INGRÉDIENTS: FARINE DE BLÉ', 'CÉRÉALES 10,5% ', 'AVOINE 3,7%', 'ÉPEAUTRE 3,2%', 'ORGE 2,6%', 'RIZ 1,1%', 'HUILE DE TOURNESOL', 'LEVURE', 'SUCRE', ""EXTRAIT DE MALT D'ORGE"", ""FLOCONS D'AVOINE 1,5%"", 'SEL IODÉ ', 'SEL', 'IODATE DE POTASSIUM 0,007%', 'FARINE DE BLÉ MALTÉ', 'ARÔMES NATURELS', ' PEUT CONTENIR DES TRACES DE SOJA', ' NE PAS EXPOSER À DES SOURCES DE CHALEUR', ' CONSERVER DANS UN ENDROIT FRAIS ET SEC', "" À CONSOMMER DE PRÉFÉRENCE AVANT LE: VOIR LA DATE IMPRIMÉE SUR LE CÔTÉ DE L'EMBALLAGE"", ' PRODUIT EN ITALIE', ' ORIGINE DE LA FARINE: UE']",[],?,?,,"6,5",,68,"5,6",12,"1,5","0,6",['GrissinBon'],250g,['Carton'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Biscottes', 'Biscottes multicéréales']",['Sans huile de palme'],,,,,6.5 g,en quantité modérée,,,5.6 g,en quantité modérée,1.5 g,en quantité modérée,,,,+6%,,+24%,+43%,+26%,+17%,+17%,,,,,B,48.2%,30.5%,12.1%,8.1%,1.1%,0.0%,95,,,,,,,,
1155,Galette de pomme de terre,0202786017788,['France'],[],[],?,166,695 kj(166 kcal),8,"0,5",18,2,"3,8","1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1156,Saucisses de Toulouse lentilles cuisinées - Raynal et Roquelaure - 840g,10216262,['France'],[],[],?,?,,?,,?,,?,,,['Raynal et Roquelaure'],840 g,['Conserve'],,,['France'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Leclerc'],['France'],,,,,
1157,Fraise line,3760027203507,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1158,Fromage au lait de vache - Seia,5608201582094,"['France', 'Royaume-Uni']","[""Pasteurized Cow's MILK"", 'Salt', 'Rennet', 'Calcium Chloride', 'Lactic Cultures', 'Preservative: E252']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",1252,302,1252 kj(302 kcal),24,18,"3,4","1,2",18,"2,275","0,91",['Seia'],,['Plastic'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages pasteurisés']",,['Portugal'],"['E252 - Nitrate de potassium', '', 'Risque élevé de sur-exposition']",['Lait'],3,24 g,en quantité élevée,18 g,en quantité élevée,1.2 g,en faible quantité,2.27 g,en quantité élevée,-4%,-4%,-4%,-8%,+1%,+209%,+58%,-3%,+58%,+58%,18,+26%,D,+26%,D,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,['PT ILT 91 CE'],['Lidl'],['Union européenne'],,,,,
1159,Milupa PKU shake2 chocolat,3760275660091,['France'],[],[],?,400,1674 kj(400 kcal),"8,6",4,"52,4",29,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1160,Poulet a la mexicaine,0217801031298,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1161,Piment de table,1001201800016,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1162,ProActiv Immune Sans Huile de Palme 250g,8719200198548,['France'],"['huiles végétales non hydrogénées 50% ', 'colza', 'tournesol', 'karité', 'lin', 'coco', 'eau', 'émulsifiants ', 'lécithine de tournesol', ""mono et diglycérides d'acides gras"", 'sel de mer 0,3%', 'acidifiant ', 'acide citrique', 'arômes naturels', 'vitamines ', 'A', 'B1', 'B2', 'B6', 'B12', 'D', 'E', 'acide folique', 'zinc']","[""Pourrait contenir de l'huile de palme"", 'Végétalien', 'Végétarien']",1862,445,1862 kj(445 kcal),50,13,0,0,0,"0,3","0,12",['ProActiv'],250g,"['Barquette', 'Frais']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Produits à tartiner', 'Produits à tartiner salés', 'Matières grasses à tartiner', 'Matières grasses végétales', 'Pâtes à tartiner végétales', 'Margarines', 'Margarines allégées']","['Végétarien', 'Végétalien', '100% végétal', 'Union Végétarienne Européenne', 'Union Végétarienne Européenne - Vegan', 'Réduit le cholesterol', 'Sans matière grasse hydrogénée', 'Sans huile de palme', 'Sans conservateurs']",,"['E322i - Lécithine', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E330 - Acide citrique']",,4,50 g,en quantité élevée,13 g,en quantité élevée,0 g,en faible quantité,0.3 g,en quantité modérée,-7%,-5%,-4%,-3%,-12%,-100%,-100%,-100%,-48%,-48%,9,-18%,C,-18%,C,83.1%,3.4%,4.6%,5.4%,2.7%,0.7%,71,,,,ProActiv Immune 250g,https://www.pro-activ.com/fr-fr,,,
1163,Pate feuilletée rectangulaire,3248830001126,['France'],[],[],?,371,1552 kj(371 kcal),22,15,38,"2,3","4,7","1,25","0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1164,Muesli 4 noix,0250337394079,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1165,Lindt pâte à tartiner,9990000,['France'],[],[],?,?,,?,,?,,?,,,['Lindt'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1166,Sondey,09912151,['France'],[],[],?,?,,?,,?,,?,,,['Sondey'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1167,Émincés de filet de poulet rotis,3441110397630,['France'],[],[],?,106,444 kj(106 kcal),"1,9","0,6","1,7","1,7",20,"1,5","0,6",,,,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,,,,1.9 g,en faible quantité,0.6 g,en faible quantité,1.7 g,en faible quantité,1.5 g,en quantité modérée,,-19%,-18%,-34%,-20%,+255%,+600%,-12%,+100%,+100%,2,,B,,D,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,
1168,Pâte à tartiner noisette-amande,7640155121835,['France'],[],[],?,?,,?,,?,,?,,,,,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits à tartiner sucrés', 'Pâtes à tartiner', 'Pâtes à tartiner aux noisettes', 'Pâtes à tartiner au chocolat']",,,,,,,,,,,,,,,,,,,,,,,,,,,,D,82.7%,11.5%,2.8%,2.4%,0.6%,0.0%,40,,,,,,,,
1169,Abricots secs,868228781301,['France'],[],[],?,241,1008 kj(241 kcal),"0,8","0,04","58,9","28,8","1,5",0,0,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs', 'Abricots secs']",,,,,,0.8 g,en faible quantité,0.04 g,en faible quantité,28.8 g,en quantité élevée,0 g,en faible quantité,,-8%,-8%,+65%,-34%,+1%,-36%,-51%,-100%,-100%,4,+16%,C,+16%,D,45.6%,45.5%,2.7%,4.3%,1.9%,0.0%,38,,,,,,,,
1170,Tropicana 100% Oranges Pressées PUR JUS BIO sans pulpeBio Orange Sans Pulpe,3168930166337,['France'],"[""Jus d'orange biologique""]","['Sans huile de palme', 'Végétalien', 'Végétarien']",208,49,208 kj(49 kcal),0,0,11,11,"0,6",0,0,['Tropicana'],,['Brique'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', ""Jus d'orange""]","['Bio', 'Agriculture non UE', 'Agriculture UE', 'Agriculture UE/Non UE']",,,,1,0 g,en faible quantité,0 g,en faible quantité,11 g,en quantité élevée,0 g,en faible quantité,+14%,+14%,+14%,-100%,-100%,+14%,+21%,-4%,-100%,-100%,5,+67%,C,+67%,D,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,Jus d'orange biologique,,,,
1171,Provola affumicata a fette formaggio a pasta filata,8033493855392,['France'],[],[],?,312,1305 kj(312 kcal),24,"16,2","0,6","0,6","25,5","1,25","0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1172,ESPRESSO Équilibré & Délicat No 5 (100% ARABICA) - Carte Noire,8000070028289,['France'],[],[],?,1,4 kj(1 kcal),0,0,"0,3",0,"0,2",0,0,['Carte Noire'],,,"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Boissons chaudes', 'Cafés', 'Dosettes', 'Cafés en dosettes']",,,,,,,,,,,,,,,-93%,-95%,-100%,-100%,-87%,-100%,-74%,-100%,-100%,,,,,,,,,,,,,,,,,,,,
1173,Senteur d'Epice,6091309953108,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1174,Salade saumon mangue - Monoprix,3350033831926,['France'],[],[],?,381,1594 kj(381 kcal),"4,8",3,17,"9,9",16,"3,9","1,56",['Monoprix'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Monoprix'],,,,,,
1175,FF SLICES CITRATE,2021042211047,['France'],[],[],?,255,1067 kj(255 kcal),19,12,4,4,17,"2,5",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1176,Baklava,8697436524716,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1177,Saucisse italienne,2274627044879,['France'],[],[],?,170,711 kj(170 kcal),"10,5","4,2","1,6","0,9","17,3","1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1178,Oignon jaune,3700696503447,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1179,FF slices citrate emmental,2021042211016,['France'],[],[],?,255,1067 kj(255 kcal),19,13,4,4,17,"2,6","1,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1180,Chocolat blanc,0205395033910,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1181,Classico,7622210067111,['France'],[],[],?,433,1812 kj(433 kcal),"9,3","0,9",77,20,"8,5","0,64","0,256",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1182,Terrine végétale Basilic BIO,3347432601502,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1183,Confiture Extra de fraises - U Bio - 280g,3256228624956,['France'],[],[],?,227,950 kj(227 kcal),"0,5","0,2",55,53,"0,5","0,01","0,004","['U Bio', 'U']",280 g,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de fraises']",,,,,,0.5 g,en faible quantité,0.2 g,en faible quantité,53 g,en quantité élevée,0.01 g,en faible quantité,,+5%,+4%,+107%,+343%,+4%,+5%,+13%,-56%,-56%,10,+15%,C,+15%,D,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,,,,,
1184,Batavia U Bio - Super U,3256228587930,['France'],[],[],?,16,67 kj(16 kcal),"0,5","0,1","1,6","0,8","1,4",,,['Super U'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1185,Ma preparation crepe 1000 trous,3770014816078,['France'],[],[],?,330,1381 kj(330 kcal),1,"0,2",69,"5,7",10,"2,1","0,84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1186,basilic - albert menes,162900031052,['France'],[],[],?,?,,?,,?,,?,,,['albert menes'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
