,name,bar_code,quantity,markets,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand,allergens,nova_score,additives,traceability_code,packaging,ingredients_origins,manufacturing,generic_name,link,palm_ingredients,brand_owner,origin_detail
21,Terrine Gourmande à la fleur de sel de Guérande - Duc de Pressac - 180g,3432770032535,180g,,['France'],"['foie de porc', 'gras de porc', 'couenne de porc', 'eau', 'farine de blé', 'œuf', 'fleur de sel de Guérande 1%', 'épices', 'arômes naturels', 'dextrose', 'arômes', 'sucre']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,?,,?,,?,,?,,,D,"['Viandes', 'Charcuteries', 'Charcuteries diverses', 'Pâté', 'Pâtés de porc', 'Pâtés de campagne']","['Sans colorants', 'Sans conservateurs']",,,,,,,,,,,,,,,,,,,,,,,74.1%,17.7%,4.6%,2.1%,1.2%,0.3%,39,['Duc de Pressac'],"['Œufs', 'Gluten']",4,,"['FR 87.187.003 CE', 'Saint-Yrieix-la-Perche (Haute-Vienne, France)', 'EMB 87187C', 'Saint-Yrieix-la-Perche (Haute-Vienne, France)', 'EMB 87187', 'Saint-Yrieix-la-Perche (Haute-Vienne, France)']","['Bocal', 'Verre', 'Couvercle', 'Métal']",,,,,,,
22,Terrine de canard - Paul Laredy,3432770033167,,,['France'],"['foie de volaille', 'gras de porc', 'viande de canard 15%/ couenne de porc', 'viande de porc', 'eau', 'magret de canard fumé sel', 'Armagnac arôme naturel', ' Viande de porc et de canard : origine France']","['Non végétalien', 'Non végétarien']",?,286,1197 kj(286 kcal),26,"8,6","0,1","0,1",13,"1,7","0,68",E,"['Viandes', 'Charcuteries', 'Produits à la viande', 'Terrines', 'Terrines de volailles', 'Terrines de canard']",['Sans conservateurs'],26 g,en quantité élevée,8.6 g,en quantité élevée,0.1 g,en faible quantité,1.7 g,en quantité élevée,,-7%,-6%,-1%,-9%,-94%,-84%,-8%,+11%,+11%,18,+1%,D,+1%,77.8%,15.8%,3.0%,2.2%,1.0%,0.3%,33,['Paul Laredy'],,3,,,,,,,,,,
23,Terrine gourmande à la moutarde à l'ancienne - Comte de la seynie,3432770038018,,,['France'],[],[],?,305,1276 kj(305 kcal),26,"9,1","2,7",0,15,"1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Comte de la seynie'],,,,,,,,,,,,
24,Terrine gourmande à la moutarde à l'ancienne - Duc de Pressac,3432770039503,,,['France'],"['foie de porc', 'viande et gras de porc couenne de porc', 'eau', ""moutarde l'ancienne 5%"", 'farine de blé', 'œuf', 'sel', 'arôme naturel', 'arômes', 'épices', 'plantes aromatiques', 'dextrose']","['Non végétalien', 'Non végétarien']",?,305,1276 kj(305 kcal),26,"9,1","2,7",0,15,"1,8","0,72",B,"['Epicerie', 'Condiments', 'Sauces', 'Moutardes']",,26 g,en quantité élevée,9.1 g,en quantité élevée,0 g,en faible quantité,1.8 g,en quantité élevée,,+79%,+80%,+141%,+1011%,-61%,-100%,+128%,-62%,-62%,19,+64%,E,+64%,57.4%,14.5%,21.8%,4.8%,1.5%,0.0%,75,['Duc de Pressac'],"['Œufs', 'Gluten']",4,,,,,,,,,,
25,Terrine gourmande à la moutarde à l’ancienne - Prieuré de Coussac - 90g,3432770040028,90 g,,['France'],"['foie de porc', 'viande et gras de rc', 'couenne de porc', 'au', ""à l'ancienne 5%"", 'farine de I ', 'sel', 'arôme naturel', 'arômŒ', 'planta aromatiques', 'Ina,nde de porc : origine franœ']","['Non végétalien', 'Non végétarien']",?,305,1276 kj(305 kcal),26,"9,1","2,7",0,15,"1,8","0,72",,,"[""À l'ancienne""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Prieuré de Coussac'],,4,,,,,,,,,,
26,Terrine paysanne - Comté De Quinsac - 180g,3432770043081,180 g,,['France'],"['viande de porc', 'foie de volaüle', 'viande de dinde 20%', 'gras de porc', 'trompettes el', 'Armagnac', 'arômenatiùel', 'Viande de porc : origine France ', ' de dinde : origine UE', ' Valeur nutritionnelle mo', 'cune pour 100g : Énergie : 1092 kJ ']","['Non végétalien', 'Non végétarien']",?,264,1105 kj(264 kcal),23,8,0,0,14,"1,9","0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Comté De Quinsac'],,,,,['Bocal'],,,,,,,
27,La terrine végétale á la provençale,3432770044187,,,['France'],[],"['Végétalien', 'Végétarien']",?,387,1619 kj(387 kcal),"3,7","0,6","8,6",2,"6,1","1,4","0,56",,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Pâtes à tartiner végétales', 'Pâtés végétaux']","['Végétarien', 'Végétalien']",3.7 g,en quantité modérée,0.6 g,en faible quantité,2 g,en faible quantité,1.4 g,en quantité modérée,,+55%,+59%,-36%,-41%,-80%,-95%,+380%,+833%,+833%,7,-25%,C,-25%,,,,,,,,,,,,,,,,,,,,
28,Saint-Estephe - Château-Picard - 75cl,3432780015283,75cl,,['France'],[],[],?,?,,?,,?,,?,,,C,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français', 'Bordeaux', 'Vins du Médoc', 'Saint-Estèphe']",,,,,,,,,,,,,,,,,,,,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,['Château-Picard'],,,,,,['France'],,,,,,
29,Huile D'olive Grossane - Domaine D’Estoublon,3433110000191,,,['France'],"[""d'EstoubloL Grossane de catégonesupeneureob& for/ ud Yoor:l 3700kj/""]",[],?,899,3761 kj(899 kcal),90,15,0,0,0,0,0,,['Matières grasses'],,90 g,en quantité élevée,15 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,,+12%,+12%,+2%,-34%,-100%,-100%,-100%,-100%,-100%,12,+6%,D,+6%,,,,,,,,['Domaine D’Estoublon'],,,,,,,,,,,,
30,Sardinade - Château d'Estoublon,3433110001365,,,['France'],"['Sardines ', '43%', 'olives noires', 'huile de soja', ""huile d'olive"", 'vin rouge ', '3,8%', 'câpres au vinaigre ', 'sulfite', 'ail', 'poivre']","['Non végétalien', 'Non végétarien']",?,361,1510 kj(361 kcal),35,5,1,0,11,0,0,,"['Produits à tartiner', 'Produits à tartiner salés']",,35 g,en quantité élevée,5 g,en quantité modérée,0 g,en faible quantité,0 g,en faible quantité,,+22%,+23%,+34%,-35%,-72%,-100%,+26%,-100%,-100%,3,-76%,C,-76%,,,,,,,,"[""Château d'Estoublon""]","['Poisson', 'Soja', 'Anhydride sulfureux et sulfites', 'Vin']",3,,,"['Pot', 'Verre']",,,,,,,
