,name,bar_code,quantity,markets,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand,allergens,nova_score,additives,traceability_code,packaging,ingredients_origins,manufacturing,generic_name,link,palm_ingredients,brand_owner,origin_detail
956,"Pommes de terre entières, épluchées - Olupljen Krompir - 1kg",3450970099288,1kg,,['France'],"['Pommes de terre 91%', 'eau', 'sel', 'antioxydant :disulfite de sodium']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,78,326 kj(78 kcal),"0,5","0,1",17,0,"1,4","0,2","0,08",B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pommes de terre']","['Nutriscore', 'Nutriscore A']",0.5 g,en faible quantité,0.1 g,en faible quantité,0 g,en faible quantité,0.2 g,en faible quantité,,-20%,-21%,-76%,-71%,-3%,-100%,-31%,-7%,-7%,-1,,A,,28.6%,0.0%,23.6%,24.0%,19.8%,4.1%,98,"['Olupljen Krompir', 'Eco+']",,3,"['E223 - Disulfite de sodium', '', 'Risque élevé de sur-exposition']",,['Sachet en plastique'],,,,,,,
957,Rosé de Loire - Bernard Cordelier - 75cl,3450970100366,75 cl,,['France'],[],[],?,?,,?,,?,,?,,,B,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français', 'Vins rosés', 'Rosé de Loire Val de Loire']","['Point Vert', 'Déconseillé aux femmes enceintes']",,,,,,,,,,,,,,,,,,,,,,,46.7%,3.7%,29.6%,13.4%,5.1%,1.4%,45,['Bernard Cordelier'],,,,,"['Bouteille', 'Verre']",['France'],,,,,,
958,Bordeaux blanc sec - Bernard Cordeliers - 75cl,3450970100403,75cl,,['France'],[],[],?,?,,?,,?,,?,,,C,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français', 'Bordeaux']",,,,,,,,,,,,,,,,,,,,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,['Bernard Cordeliers'],,,,,,['France'],,,,,,
959,Lait demi écrémé ECO+ 6 x 1L - Leclerc - 6x 1l,3450970102216,6 x 1 l,,['France'],[],[],?,46,192 kj(46 kcal),"1,5",1,"4,8","4,8","3,2","0,11","0,044",D,"['Produits laitiers', 'Laits', 'Laits homogénéisés', 'Laits demi-écrémés', 'Laits UHT']",,1.5 g,en faible quantité,1 g,en faible quantité,4.8 g,en faible quantité,0.11 g,en faible quantité,,-2%,-3%,-11%,-3%,0%,+0%,-1%,-1%,-1%,0,-100%,B,-100%,78.7%,1.1%,11.0%,6.0%,3.2%,0.0%,54,['Leclerc'],,,,"['FR 35.360.001 CE', 'Vitré (Ille-et-Vilaine, France)', 'FR 82.121.103 CE', 'Montauban (Tarn-et-Garonne, France)']",,,,,,,,
960,Crevettes cocktail - Eco+ - 121.0g,3450970103718,121.0 g,,['France'],[],[],?,89,372 kj(89 kcal),1,"0,3",1,0,19,"1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Eco+'],,,,,['Sachet'],,,,,,,
961,Morceaux deThon Listao  - ECO+ - 400g net,3450970104470,400g net,['Leclerc'],['France'],"['Thon Listao', 'eau', 'sel']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",463,?,463 kj(111 kcal),"1,1","0,4",0,0,26,"1,2","0,48",E,"['Produits de la mer', 'Poissons', 'Thons', 'Thons tropicaux', 'Thons listao', 'Thons au naturel']",,1.1 g,en faible quantité,0.4 g,en faible quantité,0 g,en faible quantité,1.2 g,en quantité modérée,,,-7%,-59%,-32%,-100%,-100%,+12%,+22%,+22%,1,+133%,B,+133%,68.8%,7.5%,16.1%,6.6%,0.5%,0.5%,28,['ECO+'],,3,,['ES 12.06648/C CE'],['Conserve'],,,Thon,,,,
962,Soupe à L'oignon - Eco+,3450970107266,,,['France'],"['de la soupe déshydratée : oignon ', '28%', 'amidon de maïs ', 'dont sulfites', 'fécule de pomme de terre', 'sel', 'exhausteur de goût : E621', 'maltodextrine', 'graisse de palme', 'extrait de levure', 'sucre', ""arôme naturel d'oignon"", 'assaisonnement aromatisé ', 'arômes ', ' sucre ', ' amidon de Pomme de terre ', ' exhausteurs de goût : E631 ', ' maltodextrine ', ' sel ', ' ail ', ' tomate ', ' Oignon ', ' graines de soja fermentées ', ' blé fermenté', 'colorant : caramel E150d', 'extatde carotte', 'extrait de romarin', ' Traces de céleri', 'crustacés', 'lait', 'Œufs,']",['Huile de palme'],?,330,1381 kj(330 kcal),"5,5","3,5",60,14,"7,5","5,8","2,32",,"['Plats préparés', 'Soupes']",,5.5 g,en quantité modérée,3.5 g,en quantité modérée,14 g,en quantité élevée,5.8 g,en quantité élevée,,+479%,+483%,+184%,+479%,+943%,+709%,+241%,+571%,+571%,17,+937%,D,+937%,,,,,,,,['Eco+'],,4,"['E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E631 - Inosinate disodique', ""E150d - Caramel au sulfite d'ammonium"", 'E392 - Extrait de romarin']",,,,,Soupe à l'oignon,,['Huile de palme'],,
963,Vermicelle - Eco,3450970119818,,,['France'],"['Massas v"" Ü', ""GRÉDIENT : semoule de blé dur qualité Traces d'œuf""]",[],?,359,1502 kj(359 kcal),1,"0,4",75,2,"11,5","0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Eco'],,,,,,,,,,,,
964,Chorizo - Fort - €CO+ - 250g,3450970123877,250 g,['Leclerc'],['France'],"['Viande de porc ', ' gras de porc ', ' piment 3,6% ', ' sel ', ' lactose ', ' plantes aromatiques ', ' piment de Cayenne 0,9 % ', ' sucre ', ' dextrose ', ' conservateurs : E301', 'E250', 'E252', 'ferments', ' Enveloppe : boyau naturel de porc ', ' conservateurs : E202', 'E235']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",2155,521,2155 kj(521 kcal),49,20,"3,1","2,6",17,"3,8","1,52",D,"['Viandes', 'Charcuteries', 'Saucissons', 'Chorizo']","['Point Vert', 'Conditionné en France', 'Transformé en France', 'Eco-Emballages']",49 g,en quantité élevée,20 g,en quantité élevée,2.6 g,en faible quantité,3.8 g,en quantité élevée,+24%,+28%,+26%,+44%,+55%,+6%,+45%,-26%,+1%,+1%,26,+9%,E,+9%,76.1%,16.6%,0.6%,1.8%,1.0%,3.9%,35,['€CO+'],['Lait'],4,"['E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E252 - Nitrate de potassium', '', 'Risque élevé de sur-exposition', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E235 - Natamycine']","['FR 81.144.022 CE', ""Lescure-d'Albigeois (Tarn, France)""]","['Sachet plastique à jeter', 'Sous atmosphère protectrice']","['Union européenne', 'Viande de porc']","[""Aoste SNC - A SNC (Filiale Campofrio Food Group) - Zone Artisanale de l'Hermet Haut - 81380 Lescure-d'Albigeois"", 'Tarn', 'Midi-Pyrénées', 'France']",Chorizo,,,,
965,Monbazillac - Bernard Cordelier - 75cl,3450970127943,75 cl,,['France'],[],[],?,?,,?,,?,,?,,,C,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français', 'Monbazillac']",,,,,,,,,,,,,,,,,,,,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,['Bernard Cordelier'],,,,,,['France'],,,,,,
966,Vin blanc sec - François d'aubignė - 25cl,3450970136518,25cl,,['France'],[],[],?,26,109 kj(26 kcal),"0,01",0,3,"0,8","1,6","0,8","0,32",D,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins blancs']",['Fabriqué en France'],,,,,,,,,,+4%,+3%,-98%,-100%,-49%,-80%,-58%,+785%,+785%,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,"[""François d'aubignė""]",,,,"['EMB 56251E', 'Theix (Morbihan, France)']",,,,,,,,
967,Saumon Rose - Eco+,3450970140805,,,['France'],[],[],?,132,552 kj(132 kcal),"5,5","1,5","1,5","0,5",19,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Eco+'],,,,,,,,,,,,
968,Bonbons - Eco+,3450970141130,,,['France'],[],[],?,385,1611 kj(385 kcal),"1,4","0,7",93,70,"0,2","0,2","0,08",E,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']",,1.4 g,en faible quantité,0.7 g,en faible quantité,70 g,en quantité élevée,0.2 g,en faible quantité,,+8%,+7%,-25%,-34%,+12%,+21%,-91%,+65%,+65%,14,-3%,D,-3%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,['Eco+'],,,,,,,,,,,,
969,Filet de Poulet - Eco+,3450970141321,,,['France'],[],[],?,98,410 kj(98 kcal),2,"0,6","0,1","0,03",20,"0,6","0,24",D,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,2 g,en faible quantité,0.6 g,en faible quantité,0.03 g,en faible quantité,0.6 g,en quantité modérée,,-25%,-24%,-31%,-20%,-79%,-88%,-12%,-20%,-20%,-2,,A,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,['Eco+'],,,,,,,,,,,,
970,Soupe à l'oignon - Eco+,3450970148764,,,['France'],"['de la soupe déshydratée : oignon et oignon frit ', 'oignon', 'huile de colza', ' 37,3%', 'fécule de pomme de terre', 'se2 sucre', 'arôme', 'huile de colza', 'extrait de levure', 'arôme naturel ', 'dont gluten', 'sirop de glucose', ' Traces de céleri', ""de lait de moutard d'œufs"", 'de poissons et de soja']","['Non végétalien', 'Non végétarien']",?,302,1264 kj(302 kcal),"4,6","0,4","56,3","16,1","6,3","15,4","6,16",,"['Plats préparés', 'Soupes']",,4.6 g,en quantité modérée,0.4 g,en faible quantité,16.1 g,en quantité élevée,15.4 g,en quantité élevée,,+430%,+433%,+137%,-34%,+879%,+831%,+186%,+1680%,+1680%,10,+510%,C,+510%,,,,,,,,['Eco+'],,4,,,,,,Soupe à l'oignon,,,,
971,2 cordons bleus de dinde - eco+ - 200g (100x 2g),3450970149990,200g (100 x 2g),,['France'],"['préparation de viande de dinde traitée en salaison 53% : viande de dinde 25%', 'eau', 'peau de poulet protéines de soja', 'amidon modifié de tapioca', 'dextrose', 'sel', 'arôme naturel', ' Panure 27% : farine de blé', 'eau', 'sel', 'levure', 'épices', ' Jambon de dinde cuit standard 10% : viande de dinde 7,3 % ', ' eau ', ' sirop de glucose ', ' protéines de soja ', ' sel ', ' conservateurs : E250', 'E316 ', ' stabilisants : E451', 'E452 ', ' gélifiant : E407a ', ' arômes naturels ', "" arôme naturel d'épices "", ' fibre de pois', ' Fromage fondu 10% : fromages ', ' eau ', ' amidons modifiés de maïs et de pomme de terre ', ' beurre', ' lait écrémé en poudre ', ' lactosérum en poudre ', ' sels émulsifiants : acide citrique', 'E331', 'E452 ', ' gélifiant : carraghénanes', ' Huile de tournesol', ' Pourcentages exprimés sur le produit total avant friture']","['Non végétalien', 'Non végétarien']",?,225,941 kj(225 kcal),14,"3,3",13,2,11,"1,32","0,528",D,"['Viandes', 'Plats préparés', 'Préparations de viande', 'Volailles', 'Produits panés', 'Dindes', 'Préparations à la dinde', 'Cordons bleus', 'Cordons bleus de dinde']",,14 g,en quantité modérée,3.3 g,en quantité modérée,2 g,en faible quantité,1.32 g,en quantité modérée,,+0%,+1%,+15%,+4%,-10%,+14%,-13%,-1%,-1%,4,-44%,C,-44%,76.4%,12.7%,2.3%,2.9%,1.2%,4.4%,39,['eco+'],"['Gluten', 'Lait', 'Soja']",4,"['E14XX - Amidons modifiés', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E316 - Érythorbate de sodium', 'E451 - Triphosphates', '', 'Risque élevé de sur-exposition', 'E452 - Polyphosphates', '', 'Risque élevé de sur-exposition', 'E407a - Algues euchema transformées', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique', 'E331 - Citrates de sodium', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition']","['FR 85.233.001 CE', 'Saint-Jean-de-Beugné (Vendée, France)']","['Sous-vide', 'Carton']",,,,,,,
972,Bière blonde Pils - Millbrau - 50cl,3450970160377,50 cl,['Leclerc'],['France'],"[""Contient du malt d'orge""]",[],?,?,,?,,?,,?,,,C,"['Boissons', 'Boissons alcoolisées', 'Bières', 'Bières blondes']",['Déconseillé aux femmes enceintes'],,,,,,,,,,,,,,,,,,,,,,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,['Millbrau'],['Gluten'],3,,,['Canette'],,,,,,,
973,Double concentre de tomates - Eco +,3450970444118,,,['France'],"['Tomates 9996', 'sel', 'acidifiant : E330']",[],?,81,339 kj(81 kcal),"0,5",0,14,0,"4,5","1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Eco +'],,,['E330 - Acide citrique'],,,,,,,,,
974,Huile Olive Pays Aix 50Cl - Codefa,3451080000287,,,['France'],"[""Huile d'olive de categone supeneure obtenue directement des olives et uniquement par procédés mécaniques""]",[],?,900,3766 kj(900 kcal),100,15,0,0,0,0,0,C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive de France"", ""Huile d'olive d'Aix-en-Provence""]",['AOP'],100 g,en quantité élevée,15 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,,+4%,+4%,+3%,+12%,,,,-100%,-100%,6,0%,C,0%,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,['Codefa'],,,,,,['France'],,,,,,
975,Vinaigre balsamique - codefa - 250ml,3451080000591,250 ml,,['France'],"['vinaigre de vin', 'moût de raisin cuit,colorant caramel ', 'E150d', 'Contient des sulfites : agent convervateur E224']",[],?,100,418 kj(100 kcal),1,1,18,18,1,"9,7","3,88",B,"['Vinaigres', 'Vinaigres balsamiques']",,1 g,en faible quantité,1 g,en faible quantité,18 g,en quantité élevée,9.7 g,en quantité élevée,,-32%,-31%,+2709%,+16240%,-41%,-35%,+57%,+11615%,+11615%,,,,,39.4%,16.4%,33.5%,8.2%,2.4%,0.0%,91,['Codefa'],,4,"[""E150d - Caramel au sulfite d'ammonium""]",,,,,,,,,
976,Huile d'olive,3451080150579,,,['France'],[],[],?,900,3766 kj(900 kcal),100,15,1,0,0,1,"0,4",D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",,100 g,en quantité élevée,15 g,en quantité élevée,0 g,en faible quantité,1 g,en quantité modérée,,+5%,+5%,+5%,+7%,,,,+1984027%,+1984027%,10,+63%,C,+63%,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,,,,,,,
977,HO citron,3451080150586,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
978,Huile d’olive vierge extra bio - Codefa - 75cl,3451080150661,75 cl,,['France'],"[""li Huile d'olive de catégorie supé - rieure obtenue directement des olives et uniquement par des procédés mécaniques"", ' Rechtstreeks uit olijven en op mechanische wijze verkregen olijfolie van superieure kwaliteit', "" Huile d'olive vierge extra issue de l'agriculture biologique"", ' Extrait à froid', ' Origine Tunisie', "" par Ecocert FR-BIO-OI CPNSElLs D'UTILISATION Huile vegétale pour friture et a eaison - nement"", ' Extra vierge olijfolie delicaat olijven afkomstig van biologische laodbo']",[],?,824,3448 kj(824 kcal),"91,6","13,7",0,0,0,0,0,C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]","['Bio', 'Bio européen', 'FR-BIO-01']",91.6 g,en quantité élevée,13.7 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,,-4%,-4%,-4%,-2%,,,,-100%,-100%,6,-2%,C,-2%,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,['Codefa'],,,,,,['Tunisie'],,,,,,
979,Huile d'olive extra vierge -,3451080150920,,,['France'],[],[],3389,824,3389 kj(824 kcal),"91,6","13,7",0,0,0,,,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",,91.6 g,en quantité élevée,13.7 g,en quantité élevée,0 g,en faible quantité,,,-4%,-4%,-5%,-4%,-2%,,,,,,,,,,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,,,,,,,
980,Huile D'Olive de Haute Provence AOP Vierge Extra - La Cave - 50cl,3451080444470,50 cl,,['France'],[],[],?,900,3766 kj(900 kcal),100,15,~ 0,~ 0,~ 0,~ 0,0,C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive de France"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra"", ""Huiles d'olive de Haute-Provence""]",['AOP'],100 g,en quantité élevée,15 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,,+4%,+4%,+3%,+12%,,,,-100%,-100%,6,0%,C,0%,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,"['La Cave', 'Codefa']",,,,,,['France'],,,,,,
981,Chips lebon,3451240000010,,,['France'],['POMMES DE TERRE - HUILE DE TOURNESOL - SEL'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,563,2356 kj(563 kcal),"37,1","5,7","49,2","0,3","6,3","0,1","0,04",B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Céréales et pommes de terre', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Chips de pommes de terre', ""Chips de pommes de terre à l'huile de tournesol""]",,37.1 g,en quantité élevée,5.7 g,en quantité élevée,0.3 g,en faible quantité,0.1 g,en faible quantité,,+5%,+5%,+12%,+92%,-3%,-77%,+7%,-92%,-92%,9,-17%,C,-17%,62.4%,19.7%,7.4%,7.2%,3.4%,0.0%,78,['Chips Lebon'],,3,,,,,,,,,,
982,Proteifine chocolat,3451255411412,,,['France'],[],[],?,52,218 kj(52 kcal),"1,2","0,31","7,2","0,36","7,9","0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
983,le Beurre normand demi sel - Elle & Vire,3451790010590,,['Magasins U'],['France'],"['beurre ', 'Origire Normandie', ' www', 'elleetvire\\ om']",['Non végétalien'],?,725,3033 kj(725 kcal),80,56,"0,7","0,7","0,6",2,"0,8",E,"['Produits laitiers', 'Matières grasses', 'Produits à tartiner', 'Matières grasses à tartiner', 'Matières grasses animales', 'Matière grasse laitière', 'Produits laitiers à tartiner', 'Beurres', 'Beurres demi-sel']",,80 g,en quantité élevée,56 g,en quantité élevée,0.7 g,en faible quantité,2 g,en quantité élevée,,+1%,+1%,+1%,+4%,-6%,+14%,-12%,-3%,-3%,27,+2%,E,+2%,91.5%,4.9%,1.3%,1.2%,0.8%,0.2%,27,"['Elle & Vire', 'Savencia']",['Lait'],,,,,,,,,,,
984,Crème fraiche 100% chèvre - Chavroux,3451790011313,,,['France'],"['Crème de chèvre pasteurisée ', 'origine : France', 'ferments lactiques', ' Fabriqué dans un atelier utilisant du lait de vache et de brebis']",[],?,289,1209 kj(289 kcal),30,21,"2,3","2,2","2,4","0,07","0,028",B,"['Produits laitiers', 'Produits fermentés', 'Crèmes', 'Produits laitiers fermentés', 'Crèmes épaisses', 'Crèmes fraîches']",,30 g,en quantité élevée,21 g,en quantité élevée,2.2 g,en faible quantité,0.07 g,en faible quantité,,-1%,+1%,+1%,+6%,-30%,-23%,+2%,-17%,-17%,13,0%,D,0%,68.4%,19.8%,4.5%,4.0%,2.6%,0.7%,70,['Chavroux'],['Lait'],3,,,,,,,,,,
985,Beurre léger 41% MG Crémeux Le Demi-Ecrémé Doux - Elle & Vire - 250g,3451790153709,250 g,['Cora'],['France'],"['Crème de lait ', '50 %', 'eau', 'matière grasse laitière', 'inuline', 'amidon modifié', 'émulsifiants : E471', 'E476', ""correcteur d'acidité : E270"", 'arômes ', 'lait', 'sel', 'conservateur : E202', 'colorant : bêta-carotène']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Peut-être végétarien']",1589,386,1589 kj(386 kcal),41,25,"2,5",1,1,"0,15","0,06",E,"['Produits laitiers', 'Matières grasses', 'Produits à tartiner', 'Matières grasses à tartiner', 'Matières grasses animales', 'Matière grasse laitière', 'Produits laitiers à tartiner', 'Beurres', 'Beurres de crème douce']",,41 g,en quantité élevée,25 g,en quantité élevée,1 g,en faible quantité,0.15 g,en faible quantité,-47%,-47%,-48%,-49%,-55%,+255%,+56%,+45%,+169%,+169%,12,-36%,D,-36%,91.6%,4.9%,1.3%,1.2%,0.8%,0.2%,27,"['Elle & Vire', 'Savencia']",['Lait'],4,"['E14XX - Amidons modifiés', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", ""E476 - Esters polyglycériques d'acides gras d'huile de ricin"", 'E270 - Acide lactique', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E160ai - Bêta-carotène']",['BE FB 001 EC'],"['Barquette', 'Plastique']",,,,,,,
986,Crème de Normandie semi-épaisse légère - Elle & Vire - 1l,3451790160813,1 l,,['France'],"['Crème légère de Normandie', 'stabilisant : pectine']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",779,189,779 kj(189 kcal),18,"12,6","3,8","3,8","2,7","0,1","0,04",B,"['Produits laitiers', 'Crèmes', 'Crème de lait semi-épaisse', 'Crèmes UHT', 'Crèmes légères']","['en:FSC', 'en:fsc-c014047', 'FSC Mix']",18 g,en quantité modérée,12.6 g,en quantité élevée,3.8 g,en faible quantité,0.1 g,en faible quantité,-6%,-20%,-18%,-19%,-15%,-13%,+5%,+8%,+1%,+1%,12,+8%,D,+8%,68.3%,19.8%,4.5%,4.0%,2.6%,0.7%,70,['Elle & Vire'],['Lait'],4,['E440 - Pectines'],"['FR 50.139.001 CE', 'Condé-sur-Vire (Manche, France)', 'FSC-C014047']","['Brique', 'Carton']",,,Crème légère 18% M.G.,,,,
987,Beurre Vita - Elle & Vire - 250g,3451790162718,250 g,,['France'],"['Eau', 'matière grasse laitière à teneur réduite en acides gras saturés', 'amidon modifié', 'maltodextrine', 'arômes naturels ', 'lait', 'lactose ', 'lait', 'émulsifiants : E471', 'E476', 'sel ', '0,5%', 'protéines de lait', 'conservateur : E202', 'colorant : bêta-carotène', 'antioxydants : extrait de romarin', 'extrait riche en tocophérols', 'vitamine A']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",1007,244,1007 kj(244 kcal),24,"11,2","6,7","0,9","0,3","0,5","0,2",,"['Produits laitiers', 'Matières grasses', 'Produits à tartiner', 'Matières grasses à tartiner', 'Matière grasse laitière', 'Matières grasses allégées']",['-80\xa0% de MG. Saturées'],24 g,en quantité élevée,11.2 g,en quantité élevée,0.9 g,en faible quantité,0.5 g,en quantité modérée,-65%,-66%,-66%,-70%,-79%,+770%,+45%,-56%,-47%,-47%,12,-45%,D,-45%,,,,,,,,"['Elle & Vire', 'Savencia']",['Lait'],4,"['E14XX - Amidons modifiés', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", ""E476 - Esters polyglycériques d'acides gras d'huile de ricin"", 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E160ai - Bêta-carotène', 'E392 - Extrait de romarin', 'E306 - Extrait riche en tocophérols']",['BE FB 001 EC'],"['Barquette', 'Plastique', 'Frais']",,,"Matière grasse laitière à 24% MG et à teneur réduite en acides gras saturés, enrichie en vitamine A",,,,
988,Crème légère semi-épaisse 18% M.G. - Montfleuri - 25cl,3451790165351,25 cl,,['France'],"['Crème légère', 'amidon modifié', 'stabilisants : E460', 'E440', 'E407', 'E466', 'émulsifiant : E471']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Peut-être végétarien']",794,192,794 kj(192 kcal),18,"12,7","4,6","3,7","2,7","0,11","0,044",B,"['Produits laitiers', 'Crèmes', 'Crème de lait semi-épaisse', 'Crèmes UHT', 'Crèmes légères']",['en:FSC'],18 g,en quantité modérée,12.7 g,en quantité élevée,3.7 g,en faible quantité,0.11 g,en faible quantité,-4%,-18%,-16%,-19%,-15%,+5%,+2%,+8%,+11%,+11%,12,+8%,D,+8%,68.3%,19.8%,4.5%,4.0%,2.6%,0.7%,70,"['Montfleuri', 'Savencia']",,4,"['E14XX - Amidons modifiés', 'E460 - Cellulose', 'E440 - Pectines', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E466 - Carboxyméthylcellulose', ""E471 - Mono- et diglycérides d'acides gras alimentaires""]","['FR 50.139.001 CE', 'Condé-sur-Vire (Manche, France)', 'FSC-C014047']","['Brique', 'Carton']",,"['Normandie', 'France']",Crème légère stérilisée UHT,,,,
989,Crème de Normandie demi épaisse,3451790170713,,['Magasins U'],['France'],[],[],?,170,711 kj(170 kcal),15,"10,5","6,1","3,8","2,7","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990,So good - Milkana - 400g (4*100g),3451790186677,400 g (4*100g),['Bon prix'],"[""Côte d'Ivoire"", 'France']","['Lait écrémé de vache', 'eau', 'sucre', 'épaississants: amidon modifié', 'farine de graines de caroube', 'agar-agar', 'banane 2,5%', 'crème de lait de vache', 'stabilisant : pectine', 'arôme', 'colorant: E160a']","[""Pourrait contenir de l'huile de palme""]",?,79,331 kj(79 kcal),"0,6","0,4","16,1","13,3",2,"0,09","0,036",C,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts aux fruits', 'Yaourts à la banane']",,0.6 g,en faible quantité,0.4 g,en faible quantité,13.3 g,en quantité élevée,0.09 g,en faible quantité,,-15%,-15%,-77%,-77%,+20%,+8%,-40%,-14%,-14%,1,-72%,B,-72%,79.1%,8.8%,4.4%,4.5%,2.5%,0.7%,69,"['Milkana', 'Savencia']",,4,"['E14XX - Amidons modifiés', 'E410 - Gomme de caroube', 'E406 - Agar-agar', 'E440 - Pectines', 'E160a - Carotènes mélangés']","['FR 50.139.001 CE', 'Condé-sur-Vire (Manche, France)']",['Pot'],,['France'],,,,,
