,name,bar_code,quantity,packaging,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,categories,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,brand_owner,nova_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,manufacturing,link,markets,additives,generic_name,allergens,ingredients_origins,traceability_code,palm_ingredients,producer_info
803,Gnocchi di patate,8023022072055,,,,['France'],[],[],?,188,"0,5",42,"3,1","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Gnocchi', 'Gnocchi de pommes de terre']",,0.5 g,en faible quantité,0.1 g,en faible quantité,9.5 g,en quantité modérée,1.5 g,en quantité modérée,,+13%,787 kj(188 kcal),+12%,-64%,"0,1",-73%,+27%,"9,5",+692%,-26%,"1,5",+33%,"0,6",+33%,9,+152%,C,+152%,B,,,46.0%,1.2%,22.2%,18.3%,9.7%,2.6%,97,,,,,,,,,,
804,Halwa Tahinia Aux Pistaches 0% Cholesterol,6194036802265,,,,['France'],[],[],?,550,30,50,15,,,,,,,,,,,,,2301 kj(550 kcal),,,5,,,30,,,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,,,,,,,
805,Schinkenspeck mit Pfefferrand -  - 80g,4016623741271,80 g,['Packung(en)'],,"['France', 'Allemagne']",[],[],?,?,?,?,?,"['Viandes', 'Charcuteries', 'Charcuteries diverses', 'Porc', 'Allumettes de porc', 'Lardons de porc']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,85.6%,9.1%,2.1%,1.8%,1.1%,0.3%,36,,,,,,,,,,
806,les acanthes - les vignerons de tavel - 750ml,3399600170723,750 ml,,['les vignerons de tavel'],['France'],"['merlot', 'alcool', 'sucres ', 'sulfites']",['Sans huile de palme'],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Anhydride sulfureux et sulfites'],,,,
807,"Leberwurst, grob - GUT DREI EICHEN - 400g",29286539,400 g,['Packung(en)'],['GUT DREI EICHEN'],"['France', 'Allemagne']",[],[],?,?,?,?,?,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses de foie']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,88.6%,4.9%,1.5%,1.3%,0.8%,2.9%,27,,,,,Grobe Leberwurst,,,,,
808,"Callebaut Mousse Au Chocolat - Pulver, Dunkel",5410522253207,,,['Callebaut'],['France'],[],[],?,?,?,?,?,"['Desserts', 'Desserts au chocolat', 'Mousses au chocolat']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,86.6%,6.7%,1.9%,3.5%,1.0%,0.3%,35,,,,,,,,,,
809,Rillettesde Canard,0168660070365,,,,['France'],[],[],?,395,33,"3,5",21,,,,,,,,,,,,,1653 kj(395 kcal),,,11,,,"0,5",,,"0,25",,"0,1",,,,,,,,,,,,,,,,,,,,,,,,,
810,Caffè 100% arabica - Auchan,8005476057468,,,"['Auchan', 'Auchan Bio']",['France'],[],[],?,?,?,?,?,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Auchan'],,,,,,,
811,Chlorella,3760163691596,,,,['France'],[],[],?,326,0,11,58,,,,,,,,,,,,,1364 kj(326 kcal),,,0,,,0,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,
812,Chai Tea Latte Mix,0855919004034,,,,['France'],[],[],?,398,"9,6",73,"3,9",,,,,,,,,,,,,1665 kj(398 kcal),,,"8,7",,,64,,,"0,19",,"0,076",,,,,,,,,,,,,,,,,,,,,,,,,
813,horlicks - calseal - 400h,8901571003280,400h,,['Calseal'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
814,Pate de foie de porc du fermier VALLEGRAIN -,3467980020003,,,,['France'],[],[],?,286,25,"0,5",15,"['Viandes', 'Charcuteries', 'Charcuteries diverses', 'Pâté', 'Pâtés de foie']","['Sans colorants', 'Label Rouge']",25 g,en quantité élevée,9.8 g,en quantité élevée,0.5 g,en faible quantité,1.3 g,en quantité modérée,,-20%,1197 kj(286 kcal),-19%,-23%,"9,8",-20%,-75%,"0,5",-38%,+32%,"1,3",-20%,"0,52",-20%,17,-15%,D,-15%,,,,,,,,,,,,,,,,,,,,
815,Tortilla de pommes de terres aux épinards,8420056430309,,,,['France'],[],[],?,133,8,10,5,"['Plats préparés', 'Omelettes de pommes de terre']",,8 g,en quantité modérée,1.4 g,en faible quantité,1.1 g,en faible quantité,0.83 g,en quantité modérée,,-16%,556 kj(133 kcal),-16%,-15%,"1,4",-20%,-15%,"1,1",+17%,-5%,"0,83",-22%,"0,332",-22%,2,-47%,B,-47%,B,,,70.9%,11.4%,6.8%,5.8%,3.0%,2.1%,76,,,,,,,,,,
816,Café expresso intensité 7 l'or - lor - 100g,8711000365427,100g,['pot verre'],['Lor'],['France'],[],[],?,?,?,?,?,"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Cafés', 'Boissons instantanées', 'Cafés solubles']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,86.9%,10.2%,0.3%,1.0%,0.1%,1.5%,27,,,,,,,,,,
817,Bonbon miel,3770001102801,,,,['France'],[],[],?,1385,1,76,4,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Produits de la ruche', 'Bonbons', 'Bonbons au miel']",,1 g,en faible quantité,0 g,en faible quantité,56 g,en quantité élevée,0 g,en faible quantité,,+261%,5795 kj(1385 kcal),+260%,+258%,0,-100%,-19%,56,-19%,+855%,0,-100%,0,-100%,20,+44%,E,+44%,E,,,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,,,,,,,,
818,Poulet fermier,0276519042118,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 53.014.002 CE', 'Azé (Mayenne, France)']",,
819,Lot pâtes Penne R. cuisson 3 min x3 - Barilla - 1500g,8076809573535,1500 g,,['Barilla'],['France'],"['Semoule de blé dur', 'eau', ' peut contenir des traces de soja']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,359,2,"70,9","12,8","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Pâtes sèches', 'Penne', 'Penne rigate']",,2 g,en faible quantité,0.5 g,en faible quantité,3.5 g,en faible quantité,0.013 g,en faible quantité,,+2%,1502 kj(359 kcal),+1%,+18%,"0,5",+34%,+1%,"3,5",+20%,+7%,"0,013",+11%,"0,005",+11%,-4,,A,,C,,1,65.0%,21.6%,6.8%,3.5%,3.1%,0.0%,74,,,,,,['Gluten'],,,,
820,Brie de Meaux AOP douzaine,0200008026631,,,,['France'],[],[],?,?,?,?,?,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages à pâte molle à croûte fleurie', 'Fromages de France', 'Bries', 'Brie de Meaux']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,,
821,Grillons de canard - Terres Paysannes,3067163633435,,,['Terres Paysannes'],['France'],[],[],?,553,54,"1,5",16,"['Viandes', 'Produits à tartiner', 'Charcuteries', 'Produits à tartiner salés', 'Rillettes', 'Rillettes de viande', 'Rillettes de viande blanche', 'Rillettes de volaille', 'Rillettes de canard', 'Grillons de canard']",,54 g,en quantité élevée,24 g,en quantité élevée,0.5 g,en faible quantité,1.5 g,en quantité modérée,,+38%,2314 kj(553 kcal),+38%,+47%,24,+92%,+160%,"0,5",+99%,-1%,"1,5",+9%,"0,6",+9%,22,+14%,E,+14%,D,,,74.1%,17.7%,4.6%,2.1%,1.2%,0.3%,39,,,,,,,,,,
822,Ardbeg Corryvreckan Whisky - 70cl,5010494296280,70 cl,,['Ardbeg corryvreckan'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
823,Insalata di Peperini Dolci,8019826423803,,,,['France'],[],[],?,95,"1,1","18,7","1,7",,,,,,,,,,,,,397 kj(95 kcal),,,"0,18",,,"13,34",,,"0,93",,"0,372",,,,,,,,,,,,,,,,,,,,,,,,,
824,Chocolune - Kambly,04420002,,,['Kambly'],['France'],[],[],?,544,33,51,"8,9",,,,,,,,,,,,,2276 kj(544 kcal),,,20,,,46,,,"0,22",,"0,088",,,,,,,,,,,,,,,,,,,,,,,,,
825,Glace - Terre Adélice,3515890505940,,,['Terre Adélice'],['France'],[],[],?,186,"9,3","22,9","2,7",,"['Bio', 'Sans colorants']",,,,,,,,,,,778 kj(186 kcal),,,"6,9",,,"22,6",,,"0,04",,"0,016",,,,,,,,,,,,,,,,,,,,,,,,,
826,Guimauves Fantaisie,3760133675762,,,,['France'],[],[],?,344,0,"81,8","4,2",,,,,,,,,,,,,1439 kj(344 kcal),,,0,,,81,,,"0,02",,"0,008",,,,,,,,,,,,,,,,,,,,,,,,,
827,sauce aigre douce,3477320001678,,,,['France'],[],[],?,77,0,19,"0,2","['Epicerie', 'Sauces', 'Sauces aigre-douces']",,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,,-38%,322 kj(77 kcal),-37%,-100%,0,-100%,-28%,0,-100%,-60%,0,-100%,0,-100%,0,-100%,B,-100%,B,,,42.4%,22.5%,16.3%,10.1%,5.1%,3.6%,92,,,,,,,,,,
828,Navet - Priméale - 500g,3663362003811,500 g,['Sachet plastique'],['Priméale'],['France'],['Navets'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,?,?,?,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Frais', 'Aliments à base de plantes frais', 'Légumes frais', 'Navet', 'Navets frais']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,['France'],,,,,,,,,
829,3122260236078,3122260236078,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
830,Cheese wow - Great Value,0078742014692,,,['Great Value'],"['France', 'États-Unis']","['Whey', 'cheddar cheese ', 'milk', 'cheese cultures', 'salt', 'enzymes', 'soybean oil', 'sodium phosphate', 'contains less than 2% of: whey protein concentrate', 'salt', 'carrageenan', 'sodium citrate', 'natural flavor', 'glucono-delta-lactone', 'lactic acid', 'sorbic acid ', ' a preservative', 'artificial color ', 'yellow #5 and yellow #6']",['Non végétalien'],?,290,"22,58","9,68","12,9","['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages']",,22.6 g,en quantité élevée,9.68 g,en quantité élevée,6.45 g,en quantité modérée,3.55 g,en quantité élevée,,-12%,1213 kj(290 kcal),-11%,-15%,"9,68",-46%,+700%,"6,45",+769%,-37%,"3,548",+173%,"1,419",+173%,18,+31%,D,+31%,D,"Wal-Mart Stores, Inc.",4,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,"['E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E575 - Glucono-delta-lactone', 'E270 - Acide lactique', 'E200 - Acide sorbique', '', 'Risque élevé de sur-exposition', 'E102 - Tartrazine', 'E110 - Jaune orangé S']",,['Lait'],,,,
831,Pulpe séchée de longan,6909146912748,,,,['France'],[],[],?,317,1,"73,5","4,6",,,,,,,,,,,,,1326 kj(317 kcal),,,0,,,0,,,"0,02",,"0,008",,,,,,,,,,,,,,,,,,,,,,,,,
832,Dessert de pomme - Ogier Fruits,3760018560107,,,['Ogier Fruits'],['France'],"['Pomme', 'sucre']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,68,"0,46","15,6","0,34","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Desserts', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Compotes', 'Compotes de pomme', 'Compotes pommes nature']","['Sans colorants', 'Sans conservateurs']",0.46 g,en faible quantité,0.3 g,en faible quantité,12.3 g,en quantité modérée,0.004 g,en faible quantité,,+6%,285 kj(68 kcal),+7%,+55%,"0,3",+339%,+10%,"12,31",-7%,+16%,"0,004",-40%,"0,002",-40%,-3,,A,,B,,3,32.9%,28.7%,15.1%,13.7%,7.6%,2.1%,96,,,,,,,,,,
833,Preserved eggplant,8935063600404,,,,['France'],[],[],?,132,"0,44","28,1","4,3",,,,,,,,,,,,,552 kj(132 kcal),,,"0,1",,,"23,5",,,"1,9",,"0,76",,,,,,,,,,,,,,,,,,,,,,,,,
834,"Porridge with added protein, chia & flax seeds",5098732003753,,,,['France'],[],[],?,376,"7,2",52,20,,['Sans sucre ajouté'],,,,,,,,,,,1573 kj(376 kcal),,,"1,4",,,"2,9",,,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,,,
835,"Protein Crispies, Geschmacksneutral - MyProtein",5055534325247,,,['MyProtein'],['France'],[],[],?,411,"1,2",45,53,,,,,,,,,,,,,1720 kj(411 kcal),,,"0,8",,,"1,2",,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,
836,Pâte pour mzddzle - Le Coq Noir,3269710232560,,,['Le Coq Noir'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
837,Buche de Chèvre,3760038278341,,,,['France'],[],[],?,295,23,1,21,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de chèvre', 'Bûche de chèvre']",,23 g,en quantité élevée,16 g,en quantité élevée,0 g,en faible quantité,1.2 g,en quantité modérée,,+3%,1234 kj(295 kcal),+3%,+0%,16,-1%,-30%,0,-100%,+12%,"1,2",-15%,"0,48",-15%,13,-6%,D,-6%,E,,,91.6%,3.0%,2.1%,2.1%,0.9%,0.3%,33,,,,,,,,,,
838,Pétales de Roses - Audeline - 750ml,3760024280174,750 ml,,['Audeline'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 11.226.001 CE', 'Mayreville (Aude, France)']",,
839,Gateau de noix saveur miel -  - 550g,5604551221188,550g,,,['France'],[],[],?,?,?,?,?,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
840,Filet de Cabillaud,3551610009305,,,,['France'],[],[],?,177,"6,9","16,2","12,2","['Produits de la mer', 'Poissons', 'Filets de poissons', 'Morues', 'Filets de cabillaud']","['Bio', 'Bio européen', 'FR-BIO-01', 'Pêche durable', 'Pêche durable MSC']",6.9 g,en quantité modérée,0.9 g,en faible quantité,2.8 g,en faible quantité,0.6 g,en quantité modérée,,+51%,741 kj(177 kcal),+56%,+128%,"0,9",+121%,+197%,"2,8",+462%,-22%,"0,6",+27%,"0,24",+27%,-1,,A,,E,,,93.2%,0.0%,0.9%,5.2%,0.5%,0.1%,14,,,,,,,,['MSC-C-50643'],,
841,Usn Spike Sugar Free 250ML ML (box of 24),6009702503684,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
842,crustini,8001770380738,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
843,tueront agramunt avellana - Torrons vicens - 50g,8410495440854,50 g,['Plastique'],['Torrons vicens'],"['France', 'Espagne']","['noisette', 'sucre', 'miel', 'fécule de pomme de terre', ""blanc d'oeuf"", 'eau', 'gaufrette', 'glucose']","['Sans huile de palme', 'Non végétalien']",?,477,28,?,"9,4","['Snacks', 'Snacks sucrés', 'Confiseries', 'Aliments et boissons de Noël', 'Confiseries de Noël', 'Touron']",,28 g,en quantité élevée,2 g,en quantité modérée,39 g,en quantité élevée,0 g,en faible quantité,,-9%,1996 kj(477 kcal),-9%,-11%,2,-62%,,39,+2%,-22%,0,-100%,0,-100%,14,-15%,D,-15%,E,,4,91.0%,4.2%,2.3%,2.0%,0.5%,0.0%,34,,,,,,"['Œufs', 'Fruits à coque']",,,,
844,Tourte veggie,3770007763266,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
845,Jambon à l'ancienne,2602657026891,,,,['France'],[],[],?,123,"3,1","0,5",23,,,,,,,,,,,,,515 kj(123 kcal),,,"1,4",,,"0,5",,,2,,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,
846,Récré O'lé Framboise -,3700279303228,,,,['France'],[],[],?,113,"3,5","16,7",3,,,,,,,,,,,,,473 kj(113 kcal),,,2,,,"13,8",,,"0,15",,"0,06",,,,,,,,,,,,,,,,,,,,,,,,,
847,Palet gourmand lait praliné à la crêpe dentelle,3474340023413,,,,['France'],[],[],?,553,34,55,7,,,,,,,,,,,,,2314 kj(553 kcal),,,17,,,51,,,"0,14",,"0,056",,,,,,,,,,,,,,,,,,,,,,,,,
848,Giant Milk Chocolate Raisins,00752824,,,,['France'],[],[],?,389,"12,7","63,7","3,9",,,,,,,,,,,,,1628 kj(389 kcal),,,"7,8",,,"62,9",,,"0,08",,"0,032",,,,,,,,,,,,,,,,,,,,,,,,,
849,Recovery Food Banane - 480 G - Punch Power,3760056250169,,,['Punch power'],['France'],[],[],?,364,"0,3","60,3",30,,,,,,,,,,,,,1523 kj(364 kcal),,,"0,1",,,"16,4",,,"0,5",,"0,2",,,,,,,,,,,,,,,,,,,,,,,,,
850,Reblochon AOP - Monoprix,0200008020738,,,['Monoprix'],['France'],[],[],?,338,28,"0,6",21,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Reblochons', 'en:aoc-cheeses', 'en:labeled-cheeses']",,28 g,en quantité élevée,22 g,en quantité élevée,0.5 g,en faible quantité,1.3 g,en quantité modérée,,+4%,1414 kj(338 kcal),+5%,+4%,22,+17%,+63%,"0,5",+121%,+5%,"1,3",-3%,"0,52",-3%,14,-2%,D,-2%,D,,,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,['Monoprix'],,,,,,,
851,Poulet fermier bio,0206978105222,,,,['France'],[],[],?,?,?,?,?,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
852,Palet gourmand noir praliné noisettes,3474340023451,,,,['France'],[],[],?,557,38,42,"7,1",,,,,,,,,,,,,2330 kj(557 kcal),,,20,,,38,,,"0,02",,"0,008",,,,,,,,,,,,,,,,,,,,,,,,,
853,Domaine Moreux Pouilly-Fumé,3453555800057,,,['Domaine Moreux'],['France'],[],[],?,?,?,?,?,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français', 'Pouilly-sur-Loire Val de Loire']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,,,,,,,['France'],,,
854,FAUX FILET - c - 1,0292452033136,1,['sous vide'],['C'],['France'],[],[],?,148,"6,7",0,22,,"['Viande Française', 'Viande-bovine-francaise']",,,,,,,,,,,619 kj(148 kcal),,,"1,7",,,0,,,"0,16",,"0,064",,,,,,,,,,,,,,,,,,,,,,,,,
855,6 oeufs frais,3330060670750,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
856,Moulin Gros Sel NEPITA - Casa Orsi - 90g,3770008049765,90g,['Moulin'],['Casa Orsi'],['France'],"['CASA ORSI', 'Isabelle ORSI', 'Hameau de Vignalello 20247 ROGLIANO', ""Cap Corse SIRET: 409 025 913 00016 NEPITA gros sel /*népita produits issus de l'agriculture biologique Cultivé dans le Cap Corse""]",[],?,?,?,?,?,"['Epicerie', 'Condiments']","['Bio', 'Bio européen', 'FR-BIO-01', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Cap Corse'],,,,,,['Corse'],,,
857,deliziose praline di pasta di mandorle,8003253900440,,,,['France'],[],[],?,441,"21,6",69,"6,3",,,,,,,,,,,,,1845 kj(441 kcal),,,"8,9",,,"48,7",,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,
858,Candy floss,0200030122561,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
859,Arome en poudre naturel citron,3700392490034,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
860,Suprême de saumon Fumé,0270870126609,,,,['France'],[],[],?,?,?,?,?,"['Produits de la mer', 'Poissons', 'Saumons', 'Poissons fumés', 'Saumons fumés']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,96.2%,0.0%,1.6%,1.4%,0.7%,0.2%,24,,,,,,,,,,
861,bière sans alcool,5900014002050,,,,['France'],[],[],?,36,0,"8,4","0,3","['Boissons', 'Boissons sans alcool', 'Bières sans alcool']",['Sans alcool'],0 g,en faible quantité,0 g,en faible quantité,7 g,en quantité élevée,0 g,en faible quantité,,+24%,151 kj(36 kcal),+26%,-100%,0,-100%,+30%,7,+79%,+16%,0,-100%,0,-100%,11,+41%,E,+41%,C,,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,,,,,,,,,,
862,Orangen-marmelade,5602132656732,,,,['France'],[],[],?,182,0,65,1,,,,,,,,,,,,,761 kj(182 kcal),,,0,,,62,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,
863,Cranberries et chocolat noir - Bio Natur'Inov - 200g,5413401001333,200 g,,"[""Bio Natur'Inov""]",['France'],"['Cranberries*: cranberries*', 'sucre de canne*', 'huile de tournesol*', ' Chocolat* ', '1', ': masse de cacao*', '1', 'sucre*', '1', 'beurre de cacao*', '1', 'vanille en poudre* ', '1', ' Gomme arabique*', "" *Issu de l'agriculture biologique"", ' ', '1', ' Fairtrade', ' Peut contenir des traces de cannelle']",[],?,470,"22,24","60,52","3,3","['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Bonbons de chocolat', 'Confiseries aux fruits', 'Fruits enrobés de chocolat', 'Canneberges enrobées de chocolat']","['Bio', 'Commerce équitable', 'Fairtrade International']",22.2 g,en quantité élevée,13.4 g,en quantité élevée,43.4 g,en quantité élevée,1.78 g,en quantité élevée,,+3%,1966 kj(470 kcal),+6%,+9%,"13,41",+28%,+7%,"43,35",-10%,+4%,"1,78",+3955%,"0,712",+3955%,26,+26%,E,+26%,,,4,,,,,,,,,,,"[""E414 - Gomme d'acacia""]",,,,,,
864,Pingvin Berry Winegums - 310g,5774540690209,310 g,,,['France'],[],[],?,356,"0,3",86,0,,,,,,,,,,,,,1490 kj(356 kcal),,,0,,,47,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,
865,MONGGO Chocolate,8997016810278,,,,['France'],[],[],?,230,15,22,2,,['Halal'],,,,,,,,,,,962 kj(230 kcal),,,0,,,14,,,5,,2,,,,,,,,,,,,,,,,,,,,,,,,,
866,"Biovegan Bio Schlagcreme, 2 X 27 G",4005394283837,,,,['France'],[],"['Végétalien', 'Végétarien']",?,372,"0,1","86,7",1,,"['Bio', 'Végétarien', 'Bio européen', 'Végétalien', 'DE-ÖKO-006']",,,,,,,,,,,1556 kj(372 kcal),,,"0,1",,,"77,5",,,"0,38",,"0,152",,,,,,,,,,,,,,,,,,,,,,,,,
867,Caramel fourré au chocolat - Marks And Spencer,00234689,,,"['Marks And Spencer', 'Belgian']",['France'],[],[],?,478,"20,3","71,1","2,7",,,,,,,,,,,,,2000 kj(478 kcal),,,11,,,"53,5",,,"0,95",,"0,38",,,,,,,,,,,,,,,,,,,,,,,,,
868,Nougat Corse figue,3760108370067,,,,['France'],[],[],?,457,"14,3","71,1","9,3",,,,,,,,,,,,,1912 kj(457 kcal),,,"1,1",,,"70,6",,,"0,045",,"0,018",,,,,,,,,,,,,,,,,,,,,,,,,
869,Curry au porc et haricots rouges - Muji,4550002534776,,,['Muji'],['France'],[],[],?,129,"6,1",10,"7,1",,,,,,,,,,,,,540 kj(129 kcal),,,"1,5",,,"2,2",,,"1,2",,"0,48",,,,,,,,,,,,,,,,,,,,,,,,,
870,L'authentique,3305171720632,,,,['France'],[],[],?,421,16,61,"7,1",,"['Sans colorants', 'Sans conservateurs']",,,,,,,,,,,1761 kj(421 kcal),,,10,,,30,,,"0,05",,"0,02",,,,,,,,,,,,,,,,,,,,,,,,,
871,Spar Norwegischer Räucherlachs - 50g,9100000823539,50 g,"['Stück', 'Stück']",,"['Autriche', 'France', 'Allemagne']",[],[],?,?,?,?,?,"['Produits de la mer', 'Poissons', 'Saumons', 'Poissons fumés', 'Saumons fumés']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,96.2%,0.0%,1.6%,1.4%,0.7%,0.2%,24,,,,,,,,,,
872,00857185,00857185,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
873,Spiruline pomme cassis - Marinoë,3565840711037,,,['Marinoë'],['France'],[],"['Végétalien', 'Végétarien']",?,333,"5,6",26,39,,"['Végétarien', 'en:gluten-free', 'Végétalien']",,,,,,,,,,,1393 kj(333 kcal),,,"1,7",,,12,,,1,,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,
874,Marmelade orange - Fortnum & Mason - 340gr,5053826480551,340gr,,['Fortnum & Mason'],['France'],[],[],?,?,?,?,?,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Marmelades', ""Marmelades d'oranges""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,,,35.9%,18.8%,27.1%,12.6%,4.4%,1.2%,89,,,,,,,,,,
875,3497240011724,3497240011724,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
