,name,bar_code,quantity,packaging,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,categories,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,brand_owner,nova_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,manufacturing,link,markets,additives,generic_name,allergens,ingredients_origins,traceability_code,palm_ingredients,producer_info
20,Pac-Man milk chocolate cream sticks,0611508174515,,,,['France'],[],[],?,500,28,40,5,,,,,,,,,,,,,2092 kj(500 kcal),,,20,,,35,,,2,,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,
21,Laguilhon cèpes cuisinés à l'huile,3272931002386,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Saucisses,0207938017975,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Brownies - La Boîte à Cake - 16,3547569000081,16,,['La Boîte à Cake'],['France'],"['Sucre\r Oeufs entiers\r Farine de blé\r CHocolat 9% ', 'sucre', 'pâte de cacao', 'beurre de cacao', 'émulsifiant', 'lécithine de soja', 'E 476', 'vanilline', '\r Huile de colza\r Poudre de cacao\r Noix 3%\r Sel\r Arôme\r Poudre à lever ', 'bicarbonate et pyrophosphate']",['Sans huile de palme'],?,455,"25,2",51,"6,1","['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Gâteaux au chocolat', 'Brownies']",['en:palm-oil-free'],25.2 g,en quantité élevée,7.6 g,en quantité élevée,33 g,en quantité élevée,0.41 g,en quantité modérée,,+0%,1904 kj(455 kcal),+0%,-2%,"7,6",-7%,+6%,33,-4%,+3%,"0,41",+7%,"0,164",+7%,20,+4%,E,+4%,D,,4,84.5%,9.8%,2.3%,2.2%,1.2%,0.0%,37,,,,"['E322i - Lécithine', ""E476 - Esters polyglycériques d'acides gras d'huile de ricin""]",,['Soja'],,,,
24,Tagliatelles aux oeufs a la truffe,8004521250397,,,,['France'],[],[],?,392,"4,6",73,14,,,,,,,,,,,,,1640 kj(392 kcal),,,1,,,2,,,"1,7",,"0,68",,,,,,,,,,,,,,,,,,,,,,,,,
25,Pillsbury Confetti Funfetti Frosting Vanilla,0051500764268,,,['Pillsbury'],['France'],"['frosting: sugar', 'palm oil', 'water', 'corn syrup', 'corn stihgl red 40', 'polysorbate 60', 'modified corn starch', 'potassium sorbate or mixed tocopherols', 'chamomile and rosemary extracts', 'candy bits: sugar', 'rice flour', 'vegetable oil ', 'palm kernel and/or palm d glaze', 'gum arabic', 'cellulose gum', 'carrageenan', 'soy lecithin', 'yeline carnauba wax', 'red 40', 'blue 2 lake', 'artificial flavor', 'contains soybean ingredients', 'dstributed by: ©/® the j,m', 'smucker company', 'orrville', 'oh 44667 usa best if used jun 12 2018 7 163 5010']",['Huile de palme'],?,412,15,67,0,,,,,,,,,,,,,1724 kj(412 kcal),,,7,,,61,,,"0,2",,"0,08",,,,,,,,4,,,,,,,,,,,"['E129 - Rouge allura AC', 'E435 - Monostéarate de polyoxyéthylène sorbitane', '', 'Risque modéré de sur-exposition', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E306 - Extrait riche en tocophérols', ""E414 - Gomme d'acacia"", 'E466 - Carboxyméthylcellulose', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E322i - Lécithine', 'E903 - Cire de carnauba', ""E132 - Indigotine carmin d'indigo""]",,['Soja'],,,,
26,pâte d'amande - PERL AMANDE - 25g,08197635,25 g,['Sachet'],['PERL AMANDE'],['France'],"['sucre roux de canne* du Brésil issu du commerce éc fc relerentiel ESR disponible sur www', 'ecocert', 'com ', ""45,5% des ingrédients d'orig""]",[],?,?,?,?,?,"['Massepain', ""Pâtes d'amande""]","['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,92.2%,3.6%,1.7%,1.8%,0.8%,0.0%,25,,,,,,,,,,
27,Choucroute prestige Bernard Platte - Del Maître - 844g,2261799059824,844g,,['Del Maître'],['France'],"['Choucroute garnie Bernerplatte Choucroute ', '50%', ' avec produs abase de viande', 'cuite ', 'saucisses de Vienne 13%', ' sucisson 1096', 'car de porc 10%', 'lard fumé 7%', ' et pomtes de tene ', '10 % ', ' Sauerkraut ', 'S0%', ' mt Fleische 2eugnissen', 'gekocht ', 'Wienerli 13%', 'Wurst 10%', 'Schwe ins carré 10%', 'S eck geršuchert 7%', ' und Karoffeh ', '10%', ' ngredients: choucroute S0% chou blene 93%', 'lard 4 % ', ' avec conservateur: E250', 'antioxydants: E301', 'E331', 'acidifiants ES30 et E262', 'el de cuisine', 'condiment ', 'avec exhausteurs de gout: E627', 'E631', 'et gluamate monosodique', 'huile de colza', 'cidre', 'bouillon de poule', 'genièvre', 'cignon ern poudre', 'am don de mais antiox dant: acide ascorbique', 'produits à base de viande 40% [viande de po r', ' lard', 'eau', 'viande de bceuf', 'couenne sel nitrité pour saumure ', 'sel de cusine conservsteur: E250', 'épices', 'tuillon en poudre ', 'avec gé latine de porc', 'sirop de glucose', 'glucose', 'maitocextine', 'sucre', 'vin rouge', 'arômes', 'anioxyclants: acide ascorbique', 'E301 et E33', 'stabilisants E450', 'E451', 'ac cif ants: acice citrique', 'E262 et E575', 'exhausteui de gout: glutamate maros adique', 'enveloppes: boyau de mout', 'n et boyau cle porcl', 'pommes de tenre 10 %', ' Zutaten Sauerkraut 50% nVe sskohl 9S%', 'Speck 4% ', 'mit Konservierungsstoff', ' E250', 'Aniioxidatiorsmitelr: E301', 'E331', 'Säuerungsmittel: E33 et E262', ' Kochsalz', 'Wiürze ', 'mit Geschmacksverstärke n: 627', 'E631 und Mononatriumglutamat', ' Rap sil Apfelwein', 'Hühnerbouillon', 'Wacholder', 'Zviebelpulver', 'Maisstärke Antioxidationsmittel: Ascorbinsilure', 'Fieischerzeugnisse 40% [Schweinefieisch', 'Speck', 'Wasser', 'Rindflei ch Schwarte', 'Nitritpökelsatz ', 'Kch salz', 'Konservierungsstoff', ' E250', ' 3ewürze', 'Bouillonpulver ', 'mit Schweinecelatine', ' Glukosesirup', 'Trauberzucker', 'Maltodextrin', 'Zucker', 'Retwein', 'Aromen', 'Antioxidationam te: Ascarbinse', '301 Lund E331', 'Stabilisatoren: E4E0', 'E451', 'Säuerungsmitte!: Citrcrensäure', 'E262 und E575', 'Geschmacksverstarker: Mononatriumgiutamat', 'Hüllet: Schafsaiti ng und Schweinedaim] Kartoffeln 1C %']","['Non végétalien', 'Non végétarien']",?,135,9,"4,5",8,['Traiteur'],['Fabriqué en Suisse'],9 g,en quantité modérée,1.5 g,en quantité modérée,2.5 g,en faible quantité,1.6 g,en quantité élevée,,-42%,565 kj(135 kcal),-42%,-4%,"1,5",-57%,-82%,"2,5",+15%,-16%,"1,6",+50%,"0,64",+50%,3,-44%,C,-44%,,,4,,,,,,,,['Genève'],,"['Carrefour', 'Intermarché']","['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E301 - Ascorbate de sodium', 'E331 - Citrates de sodium', 'E262 - Acétates de sodium', 'E627 - Guanylate disodique', 'E631 - Inosinate disodique', 'E300 - Acide ascorbique', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E451 - Triphosphates', '', 'Risque élevé de sur-exposition', 'E575 - Glucono-delta-lactone', 'E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition']",,,,,,
28,Veau Marengo - Conserverie St Christophe,3565700000080,,,['Conserverie St Christophe'],['France'],[],[],?,113,"4,4","2,1","14,5","['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats au bœuf', 'Plats au veau', 'Veau marengo']",,4.4 g,en quantité modérée,1.77 g,en quantité modérée,2.1 g,en faible quantité,0.429 g,en quantité modérée,,-7%,473 kj(113 kcal),-6%,-13%,"1,77",-21%,-66%,"2,1",+76%,+44%,"0,429",-48%,"0,172",-48%,-2,-257%,A,-257%,D,,,83.4%,6.0%,2.8%,2.0%,1.2%,4.6%,40,,,,,,,,,,
29,Crakous au myrtille,3555140004090,,,,['France'],[],[],?,440,12,77,5,,,,,,,,,,,,,1841 kj(440 kcal),,,8,,,65,,,"0,83",,"0,332",,,,,,,,,,,,,,,,,,,,,,,,,
