,name,bar_code,quantity,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,labels,brand,eco_score,packaging,categories,markets,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,manufacturing,traceability_code,additives,nova_score,allergens,brand_owner,ingredients_origins,link,palm_ingredients,origin_detail
250,Pain au chocolat,2644818019359,,['France'],[],[],?,80,335 kj(80 kcal),24,22,40,17,0,9,"3,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,Levadura química espongosidad prolongada - Vahiné,3179148906448,,['France'],[],[],?,102,427 kj(102 kcal),"0,6",0,19,0,"0,7","4,7","1,88",,['Vahiné'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,Kim Ve Wong Thick Soy Sauce,4710008317357,,['France'],[],[],?,100,418 kj(100 kcal),0,0,"16,7","16,7","8,3","9,25","3,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,Hotos Yaourt Grec 0% - 7kg,5202425001845,7 kg,['France'],[],[],?,48,201 kj(48 kcal),0,0,4,4,"7,9","0,13","0,052",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,Soy Honey Fried Chicken - Bibigo - 350g,4016337915043,350 g,['France'],[],[],?,689,2883 kj(689 kcal),"7,3","1,8","11,7","3,8","12,4","1,2","0,48",,['Bibigo'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,Yogurt i cremosi al caffè - Conad - 2x 125g,8003170006461,2 x 125 g,['France'],[],[],?,107,448 kj(107 kcal),"3,4","2,5",16,15,"3,2",,,,['Conad'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,Sugo di pomodoro,8008825014228,,['France'],[],[],?,132,552 kj(132 kcal),4,"0,8",19,17,"2,9","1,5","0,6",['en:gluten-free'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,Moutarde Salicornes,3760198320539,,['France'],[],[],?,0,0 kj(0 kcal),?,,?,,?,,,,,B,,"['Epicerie', 'Condiments', 'Sauces', 'Moutardes']",,,,,,,,,,,-100%,-100%,,,,,,,,,,,,57.4%,14.5%,21.8%,4.8%,1.5%,0.0%,75,,,,,,,,,,,
258,Rolled Puff Pastry - 1kg,7290000238029,1 kg,['France'],[],[],?,385,1611 kj(385 kcal),"22,7","10,8","38,9","1,7","6,3",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,Chef's larder,5011295105900,,['France'],"['rapeseed oil', 'water', 'sugar', 'pasteurised egg yolk ', '4', '5%', 'tomato paste ', '2', '0%', 'mustard flour ', '1', '5%', 'acidity regulator ', 'acetic acid', 'spirit vinegar', 'natural flavourings', 'salt', 'spices', 'stabiliser ', 'xanthan gum', 'preservative ', 'potassium sorbate', 'dried onion', 'colour ', 'paprika extract', ' allergy advice: for allergens', 'see ingredients in bold']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",?,479,2004 kj(479 kcal),46,"3,7",14,"8,6","1,3","1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['E260 - Acide acétique', 'E415 - Gomme xanthane', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E160c - Extrait de paprika']",4,,,,,,
260,"Roti de porc cuit supérieur bruni 4TR - Carrefour - 0,204kg",2254593024600,"0,204 kg",['France'],['Porc'],"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,125,523 kj(125 kcal),"3,9","1,7","0,7","0,7",22,"2,1","0,84","['en:without-antibiotics', 'Viande Française', 'Viande Porcine Française', 'Porcs élevés sans antibiotique', 'Porc sans OGM']",['Carrefour'],D,,"['Viandes', 'Viandes cuites', 'Viande blanche cuite', 'Porc', 'Viande de porc cuite', 'Rôti de porc cuit']",['Carrefour'],3.9 g,en quantité modérée,1.7 g,en quantité modérée,0.7 g,en faible quantité,2.1 g,en quantité élevée,,+4%,+2%,+5%,+3%,0%,+4%,+2%,+14%,+14%,11,+68%,D,+68%,76.6%,16.7%,3.2%,1.1%,0.6%,1.8%,14,,,"['EMB 22136A', ""Loudéac (Côtes-d'Armor, France)""]",,1,,,['France'],,,
261,Sauce vinaigrette piment d espelette - Delouis,3258831008055,,['France'],[],[],?,471,1971 kj(471 kcal),51,"5,3","1,2","0,8","0,8",2,"0,8",,['Delouis'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,Lemon plus bio - Gingembre,8016438002204,,['France'],[],[],?,19.5,82 kj(19 kcal),0,0,"4,3","1,3","0,6",0,0,"['Bio', 'Bio européen', 'IT-BIO-007']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,Pur jus d'orange,20259419,,['France'],[],[],?,45,188 kj(45 kcal),"0,5",0,10,10,"0,6",0,0,,,D,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', ""Jus d'orange"", 'Jus de fruits pur jus', ""Jus d'orange pur jus""]",,0.5 g,en faible quantité,0 g,en faible quantité,10 g,en quantité élevée,0 g,en faible quantité,,+5%,+3%,+184%,-100%,+3%,+9%,-5%,-100%,-100%,4,+34%,C,+34%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,,,,,,,
264,Confiture de pêche - Biolo Klock - 230g,3560000415121,230 g,['France'],[],[],?,238,996 kj(238 kcal),"0,28",0,56,"55,3","0,9",0,0,"['Bio', 'Bio européen', 'Sans additifs']",['Biolo Klock'],B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de pêches']",,0.28 g,en faible quantité,0 g,en faible quantité,55.3 g,en quantité élevée,0 g,en faible quantité,,+11%,+10%,+47%,-100%,+7%,+10%,+104%,-100%,-100%,9,-2%,C,-2%,38.5%,19.4%,25.9%,11.0%,4.2%,1.1%,87,,,,,,,,,,,
265,Fettucce aux oeufs,3700238374917,,['France'],[],[],?,333,1393 kj(333 kcal),"2,3","0,6","62,8","1,9","13,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,Burrata,8033481620650,,['France'],[],[],?,212,887 kj(212 kcal),17,12,"0,8","0,8",14,"0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,Solo mar polo en salsa al jerez,20817602,,['France'],[],[],?,122,510 kj(122 kcal),"3,8",0,"11,5",0,10,"0,95","0,38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,Confiture de myrtilles - Biolo Klock - 230g,3560000415107,230 g,['France'],"['MYRTILLES DÉLICATES* 59', '5%', 'SUCRE DE CANNE BLOND ÉQUITABLE* 40', '5%', "" INGRÉDIENTS ISSUS DE L'AGRICULTURE BIOLOGIQUE""]",[],?,233.4,977 kj(233 kcal),"0,2",0,56,"55,5","0,6",0,0,['Bio'],['Biolo Klock'],C,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de myrtilles']",,0.2 g,en faible quantité,0 g,en faible quantité,55.5 g,en quantité élevée,0 g,en faible quantité,,+7%,+6%,-23%,-100%,+5%,+9%,+54%,-100%,-100%,11,+19%,D,+19%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,,3,,,['France'],,,
269,Haricots verts extra-fins - Leaderprice,3263851374769,,['France'],[],[],?,25,105 kj(25 kcal),0,0,3,"0,5","1,7","0,6","0,24",,['Leaderprice'],B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Aliments à base de fruits et de légumes', 'Légumineuses', 'Légumes et dérivés', 'Haricots verts']",,0 g,en faible quantité,0 g,en faible quantité,0.5 g,en faible quantité,0.6 g,en quantité modérée,,-7%,-5%,-100%,-100%,-1%,-47%,+8%,+16%,+16%,-4,,A,,71.3%,0.0%,0.0%,9.8%,14.0%,4.9%,95,,,,,,,,,,,
270,Burger saveur Oignon - Leaderprice - 100g,3263859860721,100 g,['France'],[],[],?,213,891 kj(213 kcal),15,"7,3","6,5","1,2",13,1,"0,4",,['Leaderprice'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,Confiture de mures - Breizh Konfitur,3500547571232,,['France'],[],[],?,169,707 kj(169 kcal),"0,2",0,"41,5","40,2","0,8","0,02","0,008",,['Breizh Konfitur'],D,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de mûres']",,0.2 g,en faible quantité,0 g,en faible quantité,40.2 g,en quantité élevée,0.02 g,en faible quantité,,-27%,-27%,-29%,-100%,-25%,-24%,+34%,-41%,-41%,9,-9%,C,-9%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,,,,,,,,
272,Champignons de Paris,8437009773031,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,Huile d'olive vierge extra,3700871500193,,['France'],[],[],?,899,3761 kj(899 kcal),100,13,0,0,0,0,0,,,D,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",['Monoprix'],100 g,en quantité élevée,13 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,,+5%,+5%,+5%,-7%,,,,-100%,-100%,6,-2%,C,-2%,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,,,,,
274,Lait de coco fluide - Bjorg,3229820799537,,['France'],[],[],?,170,711 kj(170 kcal),17,15,"2,6","1,6","1,3",,,"['Bio', 'Bio européen', 'IT-BIO-006']",['Bjorg'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,Apimel,3859888851689,,['France'],[],[],?,304,1272 kj(304 kcal),0,0,"84,2","84,2","0,3",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,Pure fenugreek,5056128101537,,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,Sauce barbecue - Baton Rouge - 540g,3592860012240,540 g,['France'],"['Eau', 'sucre', 'concentré de tomate', 'vinaigre', 'amidon modifié de maïs', 'sel', 'arôme de fumée', 'colorant: caramel', 'acidifiant : acide citrique', 'chili', 'conservateur : sorbate de potassium']","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",600,143,600 kj(143 kcal),"0,1",0,34,30,"0,6","1,9","0,76","['Kascher', 'Kascher pareve']",['Baton Rouge'],B,"['Flacon', 'Plastique']","['Epicerie', 'Sauces', 'Sauces barbecue']",,0.1 g,en faible quantité,0 g,en faible quantité,30 g,en quantité élevée,1.9 g,en quantité élevée,-1%,-8%,-9%,-90%,-100%,+9%,+15%,-33%,-6%,-6%,15,+3%,D,+3%,42.3%,24.8%,16.7%,9.7%,5.1%,1.3%,92,,,,"['E14XX - Amidons modifiés', 'E150 - Caramel', 'E330 - Acide citrique', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",4,,,,,,
278,Beurre Léger Demi-Sel - Auchan - 250g,3596710483174,250 g,['France'],[],[],1550,3,1550 kj(3 kcal),40,8,"3,8","1,5","0,3","1,4","0,56",,['Auchan'],E,"['Barquette', 'Plastique']","['Produits laitiers', 'Matières grasses', 'Produits à tartiner', 'Matières grasses à tartiner', 'Matières grasses animales', 'Matière grasse laitière', 'Produits laitiers à tartiner', 'Beurres', 'Beurres demi-sel']",['Auchan'],40 g,en quantité élevée,8 g,en quantité élevée,1.5 g,en faible quantité,1.4 g,en quantité modérée,-47%,-100%,-48%,-50%,-85%,+411%,+144%,-56%,-32%,-32%,12,-55%,D,-55%,91.5%,4.9%,1.3%,1.2%,0.8%,0.2%,27,,,"['EMB 35239C', 'Retiers (Ille-et-Vilaine, France)']",,,,,,,,
279,Lavazza Capuccino,3168930162216,,['France'],[],[],?,63,264 kj(63 kcal),"1,2","0,8",10,"8,8","2,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,Fish sandwich,9555018504626,,['France'],[],[],?,176,736 kj(176 kcal),"8,7","4,1","14,1","1,2","8,7","0,5","0,2",,,E,,"['Produits de la mer', 'Poissons', 'Préparations de poisson', 'Produits panés', 'Poissons panés']",,8.7 g,en quantité modérée,4.1 g,en quantité modérée,1.2 g,en faible quantité,0.5 g,en quantité modérée,,-6%,-5%,+7%,+330%,-10%,-9%,-28%,-41%,-41%,3,+826%,C,+826%,88.5%,2.2%,1.2%,5.1%,0.6%,2.3%,21,,,,,,,,,,,
281,Sezamowy Krakers,8690949000029,,['France'],[],[],?,0,0 kj(0 kcal),"32,5","4,5","45,1",33,"12,5",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,Oeufs Val d'Or,3348680000086,,['France'],[],[],?,140,586 kj(140 kcal),"9,83","2,64","0,27","0,27","12,7","0,31","0,124",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,Thym de Provence,3760025080506,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284,Chocolate Chip Granola mini bar,0687456211206,,['France'],"['Ingre SUgar', 'Cocoa mass', 'COcoa butter', 'vanilla', 'brow noe', 'sunflower oil“', 'inulin""', 'molasses""', 'natural flave Ingrédients : Avoine sans gluten*', ""nectar d'agave sucre de canne*"", 'pâte de cacao*', 'beurre de cacac brun""', 'riz brun croustillant*', 'huile de tournesol""', 'inu naturel""', 'gélose“', '*Biologique', 'Made in Canada with domestic and imported ingredients', '/ Fabriqué au Canada avec des ingrédients canadiens et importés', 'Certified organic by / Certifié biologique par aga ure gluten free o ats Pro-Cert Dl Dall']",[],?,?,,?,,?,,?,,,"['Pur beurre de cacao', ""À l'huile de tournesol""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['E406 - Agar-agar'],4,,,,,,
285,Lentilles vertes de France - Monoprix,3350033700703,,['France'],[],[],?,333,1393 kj(333 kcal),"1,7","0,2",50,1,24,,,,['Monoprix'],,,,['Monoprix'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
286,Bio Break - Noberasco - 35g,8005120218566,35 g,['France'],[],[],?,451,1887 kj(451 kcal),21,"3,6",50,32,11,"0,15","0,06",,['Noberasco'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287,Yaourt crémeux sur lit de mangue et graines de chia,3250392910013,,['France'],[],[],?,133,556 kj(133 kcal),"8,2","5,5","11,1","9,8","3,4","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288,Tonic Quinine - Vitamont - 33cl,3289196820129,33cl,['France'],"['Eau gazéifiée', 'sucre de canne', 'jus de citron concentré', 'arôme naturel de quinine de Cayenne ', '0,02%']",[],?,29,121 kj(29 kcal),0,0,"7,2","7,2",0,0,0,['Bio'],['Vitamont'],,['Verre'],"['Boissons', 'Boissons gazeuses', 'Sodas', 'Eau tonique', 'Boissons avec sucre ajouté']",,0 g,en faible quantité,0 g,en faible quantité,7.2 g,en quantité élevée,0 g,en faible quantité,,+4%,+4%,-100%,-100%,+9%,+14%,-100%,-100%,-100%,10,+12%,E,+12%,,,,,,,,,,,,3,,,,,,
289,Arizona - Blueberry white tea,0613008755461,,['France'],[],[],?,20,84 kj(20 kcal),0,0,"5,2","4,9",0,0,0,,['Arizona'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,Crevettes bio - Followfish,4250073456556,,['France'],[],[],?,75,314 kj(75 kcal),"0,7","0,2",0,0,17,"0,5","0,2",['Bio'],['Followfish'],D,,"['Produits de la mer', 'Crustacés', 'Crevettes']",,0.7 g,en faible quantité,0.2 g,en faible quantité,0 g,en faible quantité,0.5 g,en quantité modérée,,-29%,-28%,-68%,-56%,-100%,-100%,-7%,-66%,-66%,-3,-220%,A,-220%,78.1%,0.0%,4.9%,11.3%,2.5%,3.2%,38,,,,,,,,,,,
291,Gelée menthe,06720423,,['France'],[],[],?,50,209 kj(50 kcal),0,0,13,8,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292,P'tits Bats - 3 variétés - BASQUE / NATURE / CHEVRE - Fleury Michon - 180g,3302740033650,180 g,['France'],"['SURIMI -\xa0 Ingrédients : Chair de poisson* 38%', 'eau', 'amidons ', 'dont blé', 'lait écrémé réhydraté', 'huile de colza', 'sucre', 'sel', 'arômes naturels ', 'contient crustacés', 'mollusques', 'poissons', 'colorant : extrait de paprika', ""SPECIALITE DE SURIMI ET DE FROMAGE AU PIMENT D'ESPELETTE - Ingrédients : Chair de poisson* 32%"", 'eau', ""fromage au piment d'Espelette 15% "", 'fromage', 'poivron', 'basilic', ""piment d'Espelette 0"", '2%', 'sel', 'amidons ', 'dont blé', 'lait écrémé réhydraté', 'huile de colza', 'sucre', 'sel', 'arômes naturels ', 'contient crustacés', 'mollusques', 'poissons', 'colorant : extrait de paprika', 'SPECIALITE DE SURIMI ET DE FROMAGE AU LAIT DE VACHE ET FROMAGE DE CHEVRE - Ingrédients : Chair de poisson* 32%', 'eau', 'fromages 14% ', 'fromage au lait de vache', 'fromage de chèvre 0', '4%', 'sel', 'amidons ', 'dont blé', 'lait écrémé réhydraté', 'huile de colza', 'sucre', 'sel', 'arômes naturels ', 'contient crustacés', 'lait', 'mollusques', 'poissons', 'colorant : extrait de paprika', ""* Colin d'Alaska pêché en Pacifique Nord-Est""]","['Non végétalien', 'Non végétarien']",543,?,543 kj(130 kcal),"6,4",2,11,"3,1",7,"1,8","0,72","['Sans conservateurs', 'Nutriscore', 'Nutriscore C']",['Fleury Michon'],,"['Etui en carton', 'Film en plastique']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 85.051.005 CE', 'Chantonnay (Vendée, France)']",['E160c - Extrait de paprika'],4,"['Crustacés', 'Poisson', 'Gluten', 'Lait', 'Mollusques']",,,,,
293,Date,6131220000052,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
294,Mixups - Lay’s - 242g,3168930162247,242g,['France'],[],[],?,506,2117 kj(506 kcal),25,"2,6",64,"2,3","5,2","2,3","0,92",,['Lay’s'],B,['Emballage'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Céréales et pommes de terre', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Chips de pommes de terre']",,25 g,en quantité élevée,2.6 g,en quantité modérée,2.3 g,en faible quantité,2.3 g,en quantité élevée,,-5%,-5%,-23%,-16%,+25%,+64%,-13%,+77%,+77%,16,+42%,D,+42%,62.4%,19.7%,7.4%,7.2%,3.4%,0.0%,78,,,,,,,,,,,
295,"Algarve écorces De Chocolat,100 G,Amandes Et Sel De Mer",0877693003195,,['France'],[],[],?,500,2092 kj(500 kcal),40,18,49,30,12,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296,Yaourt sur lit de Cassis -  - 300g,3463340005031,300 g,['France'],"['Lait entier partiellement concentré ', 'origine : France', ' : 81% - sucre : 7% - purée de cassis ', 'origine : France', ' : 6,6% - amidon de maïs - arôme naturel - ferments lactiques ', 'dont lait']",['Non végétalien'],?,89,372 kj(89 kcal),3,2,12,11,"3,3","0,08","0,032",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,['Lait'],,,,,
297,Nos toats chauds Moules au curry - 105g,3660088144101,105g,"['France', 'Allemagne']",[],[],?,234,979 kj(234 kcal),19,"4,7","7,2","1,2","6,8","0,68","0,272",,['Nos toats chauds'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298,Planteur - Léa Nature,3289196100627,,['France'],[],[],?,32,134 kj(32 kcal),0,0,"7,7","7,2",0,0,0,,['Léa Nature'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
299,Panettone aux cerises,8019363330077,,['France'],[],[],?,388,1623 kj(388 kcal),15,9,56,20,"7,3","0,3","0,12",,,C,,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Brioches', 'Panettone']",,15 g,en quantité modérée,9 g,en quantité élevée,20 g,en quantité élevée,0.3 g,en quantité modérée,,+4%,+4%,0%,+0%,+9%,-23%,+7%,-32%,-32%,17,-9%,D,-9%,81.5%,11.5%,4.5%,2.1%,0.3%,0.0%,56,,,,,,,,,,,
300,nouille aigre douce - Catlion,0745114762214,,['France'],[],[],?,377,1577 kj(377 kcal),11,"1,5","34,7","7,6","31,1","2,4","0,96",,['Catlion'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,Pavés de saumon argenté du Pacifique avec peau - 300g,3516459922000,300 g,['France'],[],[],?,140,586 kj(140 kcal),4,1,0,0,23,"1,5","0,6",,,E,"['Etui en carton', 'Barquette', 'Film en plastique']","['Produits de la mer', 'Poissons', 'Saumons', 'Pavés de saumon']",,4 g,en quantité modérée,1 g,en faible quantité,0 g,en faible quantité,1.5 g,en quantité modérée,,-26%,-26%,-66%,-51%,-100%,-100%,+14%,+314%,+314%,2,,B,,96.3%,0.0%,1.4%,1.4%,0.7%,0.2%,24,,,"['EMB 59271M', 'Grande-Synthe (Nord, France)', 'FR 59.271.001 CE', 'Grande-Synthe (Nord, France)']",,,,,,,,
302,Sirop Fer & Vitamines B - 125 ML - Pediakid,3700225600289,,['France'],[],[],?,0,0 kj(0 kcal),0,0,40,32,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303,Fromage a Grille - Arla,5711953105142,,['France'],[],[],?,216,904 kj(216 kcal),52,"8,9",7,"0,7",21,1,"0,4",,['Arla'],D,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages']",,52 g,en quantité élevée,8.9 g,en quantité élevée,0.7 g,en faible quantité,1 g,en quantité modérée,,-34%,-34%,+95%,-50%,+479%,-6%,+3%,-23%,-23%,9,-34%,C,-34%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,,,
304,Croisant - Casino,3222477366213,,['France'],[],[],?,203,849 kj(203 kcal),12,"7,2",19,"2,8","4,3","0,39","0,156",,['Casino'],,,,['Casino'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,Granovie nuts seed,5430000368216,,['France'],[],[],?,451,1887 kj(451 kcal),18,2,54,10,15,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,Biscuit a la cuillère - Horeca,3439495204155,,['France'],[],[],?,357,1494 kj(357 kcal),"3,5","1,4","72,8","45,5","7,7","0,5","0,2",,['Horeca'],C,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits secs', 'Boudoirs']",,3.5 g,en quantité modérée,1.4 g,en faible quantité,45.5 g,en quantité élevée,0.5 g,en quantité modérée,,-6%,-6%,-7%,+24%,-6%,-7%,+1%,+131%,+131%,17,+18%,D,+18%,75.5%,12.8%,5.1%,3.5%,3.1%,0.0%,73,,,"['EMB 01072D', 'Ceyzériat (Ain, France)']",,,,,,,,
307,Pâte d'olives,3770014867155,,['France'],[],[],?,625,2615 kj(625 kcal),"14,9","2,4","1,3","0,5","1,4","3,5","1,4","['Bio', 'Bio européen', 'GR-BIO-03']",,,,,['Biocoop Caluire'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308,Lait - 300g,3043932520014,300 g,['France'],[],[],?,422,1766 kj(422 kcal),14,"8,3",44,44,30,"0,82","0,328",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,Granola Marilou Bonejou,3760309220024,,['France'],[],[],?,459,1920 kj(459 kcal),"22,3","6,9","48,4","13,4","11,2","0,11","0,044","['Bio', 'Sans additifs']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,Maïs jumbo grillé salés - 250g,3418659990899,250 g,['France'],[],[],?,411,1720 kj(411 kcal),12,5,65,5,8,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,Banderillas,8411968300743,,['France'],[],[],?,26,109 kj(26 kcal),"1,1","0,5","2,6","1,7","1,6","2,6","1,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,Biftecks Hachés - Bigard,3273230068837,,['France'],[],[],?,207,866 kj(207 kcal),15,"6,2","0,5","0,5",18,"0,22","0,088","['Nutriscore', 'Nutriscore C']",['Bigard'],,"['Film en plastique', 'Barquette']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 47.032.001 CE', 'Bon-Encontre (Lot-et-Garonne, France)', 'EMB 47032B', 'Bon-Encontre (Lot-et-Garonne, France)']",,,,,,,,
313,1kg,3770011891047,1kg,['France'],[],[],?,?,,?,,?,,?,,,,,,['1kg'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314,Sauce poisson à la moutarde - 130g,3760194212425,130 g,['France'],[],[],?,163,682 kj(163 kcal),"9,9","0,7",8,"4,3","7,6","2,2","0,88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315,Lupins,3760300060995,,['France'],[],[],?,115,481 kj(115 kcal),"4,5","4,5","0,5","0,5","0,5",8,"3,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
