,name,bar_code,quantity,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,labels,brand,eco_score,packaging,categories,markets,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,manufacturing,traceability_code,additives,nova_score,allergens,brand_owner,ingredients_origins,link,palm_ingredients,origin_detail
860,Dried Papaye,5400606990395,,['France'],[],[],?,374,1565 kj(374 kcal),0,0,93,42,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
861,Yaourt sans lactose Stracciatella - Biedermann,7610900250257,,['France'],"['Yaourt* sans lactose', 'Sucre de canne brut*', 'eau', 'éclats de chocolat* 2% ', 'beurre de cacao*', 'pâte de cacao*', 'sucre de canne brut*', 'amidon de maïs*', 'extrait de vanille*', 'jus de citron concentré*', 'lactase', "" *Issus de l'agriculture biologique""]",[],?,106,444 kj(106 kcal),"4,1","2,5",13,13,"3,9","0,09","0,036","['Bio', 'Bio européen', 'CH-BIO-006']",['Biedermann'],,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts']",,4.1 g,en quantité modérée,2.5 g,en quantité modérée,13 g,en quantité élevée,0.09 g,en faible quantité,,+15%,+16%,+25%,+22%,+18%,+29%,+3%,-22%,-22%,3,-2%,C,-2%,,,,,,,,,,,,3,,,,,,
862,Eau,5601314228248,,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
863,Green up,3144550003238,,['France'],[],[],?,474,1983 kj(474 kcal),21,"3,8",61,25,"7,3","0,76","0,304",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
864,Mozzarella di Bufala Campana D. O. P.,8019757100071,,['France'],[],[],?,276,1155 kj(276 kcal),"23,7","15,6","0,7","0,7",15,"0,8","0,32",,,D,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages italiens', 'Fromages à pâte filée', 'Fromages au lait de bufflonne', 'Mozzarella', 'Mozzarella de bufflonne', 'Mozzarella di Bufala Campana']",,23.7 g,en quantité élevée,15.6 g,en quantité élevée,0.7 g,en faible quantité,0.8 g,en quantité modérée,,+4%,+4%,+4%,+1%,-4%,+19%,+4%,+31%,+31%,11,+7%,D,+7%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,,,
865,Frappuccino - Starbucks,5711953118111,,['France'],[],[],?,66,276 kj(66 kcal),"0,48","0,32","4,24","4,24","1,12",,,,['Starbucks'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
866,Lait frais de montagne - Sacré Willy - 250ml,3760178254038,250ml,['France'],[],[],?,64,268 kj(64 kcal),"3,6","2,2","4,8",0,"3,2","0,1","0,04",,['Sacré Willy'],D,,"['Produits laitiers', 'Laits']",,3.6 g,en quantité modérée,2.2 g,en quantité modérée,0 g,en faible quantité,0.1 g,en faible quantité,,-3%,-2%,+75%,+85%,-20%,-100%,-10%,-19%,-19%,1,+74%,B,+74%,78.7%,1.1%,11.0%,6.0%,3.2%,0.0%,54,,,"['FR 05.170.002 CE', 'Tallard (Hautes-Alpes, France)']",,,,,,,,
867,Espresso napoli,7613036601344,,['France'],[],[],?,1,4 kj(1 kcal),0,0,"0,3",0,"0,2",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
868,Adieu Kilos,3770017649079,,['France'],[],[],?,1,4 kj(1 kcal),0,0,"0,2",0,"0,1",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
869,P’tits Donuts CHOCO-CROC - Whaou! - 180g,3243610099195,180g,['France'],"[""INGREDIENTS DE NOS P'TITS DONUTS GÂTEAUX AVEC 20% DE FOURRAGE CHOCOLAT"", ' SAUPOUDRÉS DE MIETTES DE CRUMBLE GÂTÉAU 77% : Farine de blé 19%*', 'huile de colza', 'caufe frais 12%*', 'chocolat 8,5%* ', 'sucre', 'pâte de cacao', 'beurre de cacao', 'émulsifiant : lécithines ', 'eoja', 'arôme naturel de vanille', 'sucre', 'stabilisant : glyoérol', 'fructo-oligosaccha - rides ', 'fibres végétales', 'amidons ', 'dont blá', ' poudres à lever : carbonates de sodium - tartrates de potassium', 'cacao naigre en poudre', 'arôme naturel', 'sel', ' FOI RRAGE CHOCOLAT 20% :Sirop de sucre inverti', 'chi colat 5%* ', 'pâte de cacao', 'sucre', 'cacao maigre en po udre', 'stabilisant : glycérol', 'crème stériliséě UHT Vait', 'arôme naturel de cacao', 'gělifiant: pectines', ' MIETTES DE CRUMBLE 3%:Chocolat 1,3%* ', 'sucre', 'pâta de cacao', 'beurre de cacao', 'poudre de cacão alcalinisa', ' farine de blé', 'sucre', 'huile de tournesol', 'sel', ' *Pourcentages exprimés sur le produit fini']",['Sans huile de palme'],1707,409,1707 kj(409 kcal),20,"4,4",52,24,"4,8","0,4","0,16","['Nutriscore', 'Nutriscore C', 'en:palm-oil-free']",['Whaou!'],B,,"['Biscuits et gâteaux', 'Gâteaux', 'Donuts']",,20 g,en quantité modérée,4.4 g,en quantité modérée,24 g,en quantité élevée,0.4 g,en quantité modérée,-4%,0%,-0%,-12%,-58%,+16%,+43%,-19%,-58%,-58%,10,-49%,C,-49%,65.3%,17.3%,8.4%,4.6%,4.4%,0.0%,87,,['Locminé'],,"['E322 - Lécithines', 'E500 - Carbonates de sodium', 'E336 - Tartrates de potassium', 'E422 - Glycérol', 'E440 - Pectines']",4,['Gluten'],,,,,
870,Complexe de Pousse,3701026306073,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
871,Miel d'oranger,3263852004061,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
872,Sarchio Mandorla,8003712009745,,"['France', 'Suisse']",[],"['Végétalien', 'Végétarien']",102,24,102 kj(24 kcal),"1,4","0,2","2,2",0,"0,5","0,09","0,036","['Végétarien', 'Sans gluten', 'Végétalien', 'Sans sucre ajouté']",['Sarchio'],E,,"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Boissons à base de végétaux', 'Substitut du lait', 'Boissons végétales', 'Boissons végétales de fruits à coque', ""Laits d'amande""]",,1.4 g,en faible quantité,0.2 g,en faible quantité,0 g,en faible quantité,0.09 g,en faible quantité,-30%,-37%,-36%,-34%,-19%,-41%,-100%,-42%,+3%,+3%,0,-100%,B,-100%,82.5%,2.9%,5.0%,5.8%,2.9%,0.8%,27,,,,,,,,,,,
873,Cereali e quinoa,8017596106117,,['France'],[],[],?,0,0 kj(0 kcal),"3,2","0,7",72,"0,9","10,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
