,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,brand,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,quantity,traceability_code,packaging,additives,palm_ingredients,allergens,nova_score,manufacturing,markets,ingredients_origins,link,generic_name,brand_owner
857,Pâte grandine - 500g,8004350130150,['France'],[],[],?,350,1464 kj(350 kcal),"1,2","0,3",71,"3,2",12,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500 g,,,,,,,,,,,,
858,Noix de pecan bio - Manola,3760091572271,['France'],[],[],?,720,3012 kj(720 kcal),71,"6,18","13,9","3,9","9,17",0,0,['Manola'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,,,
859,Lapin chocolat - Lindt,4000539612343,['France'],[],[],?,545,2280 kj(545 kcal),32,20,56,55,"7,4","0,2","0,08",['Lindt'],,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Moulages en chocolat', 'Aliments de Pâques', 'Lapins en chocolat']",32 g,en quantité élevée,20 g,en quantité élevée,55 g,en quantité élevée,0.2 g,en faible quantité,,-2%,-1%,-6%,-4%,+4%,+5%,+13%,+3%,+3%,26,-1%,E,-1%,,,,,,,,,,,,,,,,,,,,,
860,Creneaux de noix,3700483800575,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
861,Sauce aux champignons - Verstegen,8712200314352,['France'],[],[],?,177,741 kj(177 kcal),"15,2",3,"6,2",2,"3,2","1,6","0,64",['Verstegen'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
862,Chili con Carne au poulet,3760164970201,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-01', 'en:gluten-free']",,,,,,,,,,,,,
863,Sauce à base de yaourt Caesar,2600251009197,['France'],[],[],?,151,632 kj(151 kcal),"12,3","2,8","6,8","2,6","3,6","1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
864,Jambon de pays - Maison Milhau,2282868101541,['France'],[],[],?,944,3950 kj(944 kcal),"11,8","4,2","0,5","0,4","29,5",6,"2,4",['Maison Milhau'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 81.124.012 CE', 'Lacaune (Tarn, France)']",,,,,,,,,,,
865,œufs chocolat lait aux éclats de caramel - auteuil - 200g,3947984555430,['France'],"['Sucre-graisse de palme - beure decacao-lait écrémé en poudre-laiticr an poudre-éclats de caramel 4,5% ', 'sucre beie hit entier en poudre-lait écrémé en poudie - sel-émulsifiant:lécithines ', 'tournesoi', ' pête de cacRO-lactosérum en poudre - cacao maigre en poudre - matière grasse de lait anhydre émulsifiant:lécithines ', 'tournesol', ' - arômes Taeséventuelles de gluten et de fruits à coque']",['Huile de palme'],?,553,2314 kj(553 kcal),34,20,54,53,"6,9","0,23","0,092",['Auteuil'],,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Bonbons de chocolat', 'Aliments de Pâques', 'Œufs de Pâques', 'Œufs en chocolat fourrés']",34 g,en quantité élevée,20 g,en quantité élevée,53 g,en quantité élevée,0.23 g,en faible quantité,,+1%,+1%,+1%,+8%,+1%,+3%,+10%,+28%,+28%,26,+2%,E,+2%,,,,,,,,,200 g,,,"['E322 - Lécithines', 'E322i - Lécithine']",,['Fruits à coque'],,,,,,,
866,Seiches entieres,3760122249349,['France'],[],[],?,54,226 kj(54 kcal),0,0,0,0,13,"0,35","0,14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
867,Escalope - Le Gaulois,0217675011358,['France'],[],[],?,108,452 kj(108 kcal),"1,3","1,3","0,4",0,24,"0,15","0,06",['Le Gaulois'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Viande Française', 'Point Vert', 'Volaille-francaise']",,,,,,,,,,,,,
868,Doigts amandes - Amandine - 350g,3770000459968,['France'],"['Farine de blé', 'sucre', 'huile de tournesol œufs', 'amandes', 'vanilline en poudre', ' Fabriqué dans un atelier qui utilise du gluten', 'des fruits à coque', 'œufs', 'graines de sésame', 'soja']",[],?,465,1946 kj(465 kcal),19,"2,3",63,26,"9,2","0,08","0,032","['Amandine', 'Tasty']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350 g,,,,,"['Gluten', 'Fruits à coque']",,,,,,,
869,Hazelnut,85001039,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
870,Oeufs de mouette,3700699916572,['France'],[],[],?,520,2176 kj(520 kcal),26,14,64,61,"4,5","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
871,Travers de porc cuits dans une sauce a l'ail et au thym,2418640049521,['France'],[],[],?,203,849 kj(203 kcal),15,"6,3",0,0,17,"0,4","0,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
872,Marbres,3458450090244,['France'],[],[],?,368,1540 kj(368 kcal),17,4,44,11,8,"0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
873,Terrine au comte,3441700284128,['France'],[],[],?,352,1473 kj(352 kcal),"28,4","9,9","3,5",1,"20,7","1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
874,La Meule du Doubs,2362176013917,['France'],[],[],?,429,1795 kj(429 kcal),35,24,"1,2","0,5",27,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
875,Melon,6111243381437,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
876,Soupe aux Choux et Lardons Fumés,3760111100477,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Sans conservateurs', 'Sans additifs']",,,,,,,,,,,,,
877,Flan,2020100022441,['France'],[],[],?,197,824 kj(197 kcal),"7,4","4,5",29,19,"3,2","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
878,"Chewing gum avec édulcorants parfum mangue, la boîte de 45",80910084,['France'],[],[],?,194,812 kj(194 kcal),"0,3",0,70,12,"0,6",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
879,Sablés Pique de citron,3392360001191,['France'],[],[],?,494,2067 kj(494 kcal),23,16,66,29,6,"0,09","0,036",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
880,Olives cuisinées,2609863017125,['France'],[],[],?,192,803 kj(192 kcal),"19,8","2,8","2,2","0,5","1,2","4,7","1,88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
881,Salade Méditerranéenne - Biofood Touraine,3760198786038,['France'],"['Petit épeautre ', 'Gluten', ""Riste d'aubergine* "", 'aubergines*', 'poivrons rouges*', 'oignons jaunes*', ""huile d'olive*"", 'jus de citron*', 'sucre de canne*', 'sel', 'ail*', 'thym*', ' Volaille* ', 'FRANCE', ' Sauce* ', 'huile de colza*', 'jus de citron*', 'moutarde*', 'paprika*', 'poivre*', 'Raisins secs*', 'Oignons rouges*', 'Paprika*']","['Non végétalien', 'Non végétarien']",?,131,548 kj(131 kcal),"10,3",1,7,"3,2","2,7","0,1","0,04",['Biofood Touraine'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01']",,"['FR 37.029.011 CE', 'Bossée (Indre-et-Loire, France)']",,,,"['Gluten', 'Moutarde']",4,,['Biocoop'],,,,
882,0206714012791,0206714012791,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
883,Comté 18 mois,2480116030906,['France'],[],[],?,418,1749 kj(418 kcal),"34,6","22,5",1,1,"26,7","0,82","0,328",,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté', 'en:aoc-cheeses', 'en:labeled-cheeses']",34.6 g,en quantité élevée,22.5 g,en quantité élevée,1 g,en faible quantité,0.82 g,en quantité modérée,,+5%,+6%,+6%,+4%,+116%,+260%,+6%,-16%,-16%,13,-3%,D,-3%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,,,
884,Bonbon à la menthe,5013111003308,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
885,Fromage fermier au lait de vache,3760219730064,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
886,Sel Rose - Eric Bur,3144550041209,['France'],[],[],?,18,75 kj(18 kcal),0,0,0,0,0,0,0,['Eric Bur'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
887,Thé au CBD Fruits des bois,8719324541039,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
888,Coppa de l ile de beaute,0236741108693,['France'],[],[],?,254,1063 kj(254 kcal),"16,7",7,0,0,"25,7","8,92","3,568",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
889,2 filets de poulet fermier,0211994046848,['France'],[],[],?,?,,?,,?,,?,,,,C,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,,,,,,,,,,,,,,,,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,"['Bio', 'Bio européen', 'FR-BIO-01']",,,,,,,,,,,,,
890,Grand Murols fromage,2327010006807,['France'],[],[],?,306,1280 kj(306 kcal),26,18,2,1,23,2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
891,Radis equeutes,3760118121192,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
892,Sucuk,4017979027002,['France'],[],[],?,399,1669 kj(399 kcal),"34,7","18,2","3,8","0,4",18,3,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
893,Jersey Cream  TOFFEE,5030071000055,['France'],[],[],?,444,1858 kj(444 kcal),14,"9,4","77,9","53,7","1,6","0,21","0,084",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
894,Vinaigre de vin rouge,5602947001437,['France'],[],[],?,?,,?,,?,,?,,,,,"['Boissons', 'Boissons alcoolisées', 'Vins']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
895,écorces de citron - Sabaton,3101740000606,['France'],[],[],?,?,,?,,?,,?,,,['Sabaton'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
896,Aceite de oliva virgen extra,8437010011115,['France'],[],[],?,900,3766 kj(900 kcal),100,13,0,0,0,0,0,,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",100 g,en quantité élevée,13 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,,+5%,+5%,+5%,-7%,,,,-100%,-100%,6,-2%,C,-2%,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,,,,,,,,
897,Sade Lokum,8693641021217,['France'],[],[],?,388,1623 kj(388 kcal),5,"1,4",90,84,"1,4",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
898,Edam français,2259798022062,['France'],[],[],?,330,1381 kj(330 kcal),26,18,0,0,24,2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Fabriqué en France'],,,,,,,,,,,,,
899,Chateaux lesgrands chenes,3760117791860,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
900,Fraises,3700758501725,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
901,Escalope de veau,0205264026043,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
902,Blé & Graines bio - 5kg,3760166490974,['France'],[],[],?,356,1490 kj(356 kcal),"4,53","0,5","63,76","1,81","11,91","1,38","0,552",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-10', 'AB Agriculture Biologique']",5 kg,,,,,,,,,,,,
903,Delicias de confiteria toledana,8411132120016,['France'],[],[],?,453,1895 kj(453 kcal),21,18,61,32,"4,1","0,08","0,032",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
904,Sésame honey cashews,570688,['France'],[],[],?,170,711 kj(170 kcal),10,2,15,7,4,"0,085","0,034",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
905,Madeleine fraise citron - Légendes Gourmandes,3760155986631,['France'],[],[],?,360,1506 kj(360 kcal),"0,7","0,1",78,38,"8,6","0,01","0,004",['Légendes Gourmandes'],B,"['Biscuits et gâteaux', 'Gâteaux', 'Madeleines']",0.7 g,en faible quantité,0.1 g,en faible quantité,38 g,en quantité élevée,0.01 g,en faible quantité,,-18%,-18%,-97%,-99%,+48%,+38%,+51%,-99%,-99%,12,-35%,D,-35%,73.9%,13.5%,6.0%,3.4%,3.2%,0.0%,75,,,,,,,,,,,,,,
906,"mélange vitalite - epiceries d'ici et d'ailleurs - 0,520kg",2609933050847,['France'],[],[],?,?,,?,,?,,?,,,"[""epiceries d'ici et d'ailleurs""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,520 kg",,,,,,,,,,,,
907,Moelleux aux pepites de chocolat Kasher - 180g,3281320771802,['France'],[],[],?,406,1699 kj(406 kcal),"22,3","2,9",48,"24,8","5,8","1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180 g,,,,,,,,,,,,
908,Salade chene blonde bio,3270190010791,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-01', 'AB Agriculture Biologique']",,,,,,,,,,,,,
909,TWININGS fresh,70177264918,['France'],[],[],?,4,17 kj(4 kcal),0,0,"0,5","0,5","0,3",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
910,HAPPY EASTERS chocolates,8717677074440,['France'],[],[],?,536,2243 kj(536 kcal),31,21,59,56,"4,2","0,17","0,068",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
911,Cordon bleu,8006473696384,['France'],[],[],?,206,862 kj(206 kcal),11,"2,2",13,"0,5",13,"1,8","0,72",,D,"['Viandes', 'Préparations de viande', 'Volailles', 'Produits panés', 'Dindes', 'Préparations à la dinde', 'Cordons bleus', 'Cordons bleus de dinde']",11 g,en quantité modérée,2.2 g,en quantité modérée,0.5 g,en faible quantité,1.8 g,en quantité élevée,,-8%,-7%,-10%,-31%,-10%,-72%,+3%,+35%,+35%,11,+55%,D,+55%,76.4%,12.7%,2.3%,2.9%,1.2%,4.4%,39,,,,,,,,,,,,,,
912,Brioche maison,1000412002042,['France'],[],[],?,466,1950 kj(466 kcal),32,21,34,11,"6,6","0,83","0,332",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
913,Dots x4 citron fourré crème,0258228019353,['France'],[],[],?,428,1791 kj(428 kcal),26,14,43,19,"4,6","0,88","0,352",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
914,4056232213233,4056232213233,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
915,Bonbons arôme violette sans sucre avec édulcorants,3760109020244,['France'],[],[],?,390,1632 kj(390 kcal),"0,5","0,1",97,"0,5","0,5","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
916,Jus de pomme,3760051890025,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
917,Belles pommes pressées,3770008574151,['France'],[],[],?,47,197 kj(47 kcal),0,0,11,10,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Sans colorants', 'Sans conservateurs']",,,,,,,,,,,,,
918,Hardys creamy vanilla,5060406194142,['France'],[],[],?,432,1807 kj(432 kcal),"16,1","8,1","70,1","61,4","1,6","0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
919,Escalope de poulet,2231043026964,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 89.069.001 CE', 'Chailley (Yonne, France)']",,,,,,,,,,,
920,Barres Céréales Chocolat - Carrefour - 138g,05933365,['France'],[],[],?,405,1695 kj(405 kcal),"9,6","3,4",73,33,"5,1","0,03","0,012",['Carrefour'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'AB Agriculture Biologique']",138 g,,,,,,,,['Carrefour'],,,,
921,Fromage de brebis etorki,0205972040607,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
922,Pain au chocolat,0209255017713,['France'],[],[],?,428,1791 kj(428 kcal),26,18,40,12,"8,5","0,84","0,336",,D,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Pains au chocolat']",26 g,en quantité élevée,18 g,en quantité élevée,12 g,en quantité modérée,0.84 g,en quantité modérée,,+8%,+8%,+19%,+35%,-5%,0%,+19%,-7%,-7%,20,+2%,E,+2%,81.1%,12.4%,3.5%,2.7%,0.3%,0.0%,50,,,,,,,,,,,,,,
923,Beignets fourrés pommes -  - 280g,0260722013126,['France'],[],[],?,310,1297 kj(310 kcal),"9,6","1,5",49,20,"6,6","0,072","0,029",,,"['Snacks', 'Snacks sucrés', 'Beignets sucrés']",9.6 g,en quantité modérée,1.5 g,en quantité modérée,20 g,en quantité élevée,0.072 g,en faible quantité,,-13%,-13%,-39%,-57%,+8%,+23%,+4%,-90%,-90%,4,-67%,C,-67%,,,,,,,,,280 g,,,,,,,,,,,Beignets fourrés à la purée de pomme,
924,Sana Helva,8681990090138,['France'],[],[],?,571,2389 kj(571 kcal),40,"3,5",37,37,"12,8",5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
925,Pâte - 500g,3065620012618,['France'],[],[],?,367,1536 kj(367 kcal),5,"1,3",64,"2,6",15,"0,12","0,048",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500 g,,,,,,,,,,,,
926,Teefee himbeere,4260347950246,['France'],[],[],?,2,8 kj(2 kcal),"0,1","0,1","0,4","0,3","0,1","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'en:EG-Öko-Verordnung']",,,,,,,,,,,,,
927,3010013000000,3010013000000,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
928,Religieuse chocolat,0204413018045,['France'],[],[],?,251,1050 kj(251 kcal),15,"5,1",25,16,"3,1","0,42","0,168",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
929,Kruiden Thee Moroccan Mint Numi,0680692151046,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
930,Caraque lapin et poussin,25530000009,['France'],[],[],?,545,2280 kj(545 kcal),"31,3","18,8","61,4",61,"5,35","0,15","0,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
931,Cabernet- syrah,3263289990937,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
932,jus de raisin,3123349005653,['France'],[],[],?,63,264 kj(63 kcal),0,0,15,15,0,0,0,,D,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de raisin']",0 g,en faible quantité,0 g,en faible quantité,15 g,en quantité élevée,0 g,en faible quantité,,-6%,-6%,-100%,-100%,-8%,-5%,-100%,-100%,-100%,9,-7%,D,-7%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,,,,,,,,,,
933,Assortiment TAPAS,8421395047432,['France'],[],[],?,342,1431 kj(342 kcal),28,11,4,2,18,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
934,Tarte fromage,0260050019616,['France'],[],[],?,?,,?,,?,,?,,,,C,"['Plats préparés', 'Tartes', 'Pizzas tartes salées et quiches', 'Tartes salées', 'Tartes au fromage']",,,,,,,,,,,,,,,,,,,,,,,70.7%,13.4%,3.3%,3.6%,1.9%,7.2%,56,,,,,,,,,,,,,,
935,Tortellini,8004767007915,['France'],[],[],?,259,1084 kj(259 kcal),46,"1,2",40,25,14,14,"5,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
936,Amande douce d'abricots,3760048993838,['France'],[],[],?,634,2653 kj(634 kcal),"53,4","4,2","7,9","4,4","25,4",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Sans arômes artificiels'],,,,,,,,,,,,,
937,Confit de gésiers d'oie émincés - Valette,3598960002556,['France'],[],[],?,?,,?,,?,,?,,,['Valette'],,"['Poissons et viandes et oeufs', 'Abats', 'Gésiers', ""Gésiers d'oie""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
938,The king's,5060458190185,['France'],[],[],?,472,1975 kj(472 kcal),61,26,2,0,"4,8","0,83","0,332",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
939,Torsade feuilletée - Auchan,0208813013457,['France'],[],[],?,?,,?,,?,,?,,,['Auchan'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Auchan'],,,,
940,Escalope de poulet,0217650028807,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
941,50% Protein 50% Proteine Reep Aardbei-yoghurt,7350021420404,['France'],[],[],?,356,1490 kj(356 kcal),"9,2","4,2",28,"1,4",50,"0,87","0,348",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
942,Tomate cerise allongée,3700344608401,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
943,Olive Picholine,2609884017517,['France'],[],[],?,166,695 kj(166 kcal),17,"2,8","0,9","0,5","1,6","4,27","1,708",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Fabriqué en France'],,,,,,,,,,,,,
944,Koukla - 150g,0628451181002,['France'],[],"['Végétalien', 'Végétarien']",?,60,251 kj(60 kcal),4,2,5,3,1,"0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Végétarien', 'Végétalien', 'en:gluten-free']",150 g,,,,,,,,,,,,
945,Still Water,5391504463015,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
946,Baguette sapiacaine - 250g,3289668422400,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250 g,,,,,,,,,,,,
947,Grand vain de bordeaux,3251091314836,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
948,Molho cocktail - Continente,5601312061625,['France'],[],[],?,277,1159 kj(277 kcal),25,"2,8",12,"8,8","0,7","1,8","0,72",['Continente'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
949,High juice orange - Morrisons,5010251510680,['France'],[],[],?,6,25 kj(6 kcal),0,0,1,1,"0,1",0,0,['Morrisons'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Sans sucre ajouté'],,,,,,,,,,,,,
950,Demi miche au levain,0635346802423,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
951,Saucisse à griller au fromage et au poivrons,3327516390188,['France'],[],[],?,269,1125 kj(269 kcal),23,"9,1","1,5","1,5",14,"1,7","0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
952,Mini viennoiseries,0260504019681,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
953,Découpe de poulet fermier jaune,2467766043692,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Point Vert']",,"['FR 40.158.001 CE', 'Losse (Landes, France)']",,,,,,,,,,,
954,Jambon cuit superieur Aoste,0210797019424,['France'],[],[],?,156,653 kj(156 kcal),"7,5","2,7",1,1,21,2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['EMB 38012', 'Aoste (Isère, France)', 'FR 38.012.001 CE', 'Aoste (Isère, France)']",,,,,,,,,,,
