,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,brand,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,quantity,traceability_code,packaging,additives,palm_ingredients,allergens,nova_score,manufacturing,markets,ingredients_origins,link,generic_name,brand_owner
566,Affinity nature,3221580054888,['France'],[],[],?,0,0 kj(0 kcal),0,0,"0,1",0,"0,1","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
567,Provolone piquant,0200440021973,['France'],[],[],?,?,,?,,?,,?,,,,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Provolone']",,,,,,,,,,,,,,,,,,,,,,,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,,,
568,Panettone con crema al Balsamico,8053676822560,['France'],[],[],?,343,1435 kj(343 kcal),"10,7","6,7","51,6","35,1","8,6","0,5","0,2",,C,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Brioches', 'Panettone']",10.7 g,en quantité modérée,6.7 g,en quantité élevée,35.1 g,en quantité élevée,0.5 g,en quantité modérée,,-8%,-8%,-29%,-25%,+0%,+36%,+26%,+13%,+13%,19,+2%,E,+2%,81.5%,11.5%,4.5%,2.1%,0.3%,0.0%,56,,,,,,,,,,,,,,
569,Purée de maitre -  - 500g,8711358002623,['France'],"['Pommes de terre ', '99%', 'émulsifiant ', 'E471', ""correcteur d'acidité "", 'acide citrique', 'antioxydant ', 'E222 bisulfite de sodium', 'curcuma', ' Peut contenir des traces de lait']","[""Pourrait contenir de l'huile de palme"", 'Peut-être végétalien', 'Peut-être végétarien']",?,350,1464 kj(350 kcal),1,"0,8","73,3",2,"8,5","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500 g,,,"[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E330 - Acide citrique', 'E222 - Bisulfite de sodium', '', 'Risque élevé de sur-exposition']",,,4,,,,,,
570,Nestle Toll House Semi-sweet Chocolate Morsels - Cooked Perfect,0028000215804,"['France', 'États-Unis']","['sugar', 'chocolate', 'milkfat', 'cocoa butter', 'milkfat', 'soy lecithin', 'natural flavors,']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",?,500,2092 kj(500 kcal),"28,57","17,86","64,29","57,14","7,14",0,0,['Cooked Perfect'],,['en:Baking decorations'],28.6 g,en quantité élevée,17.9 g,en quantité élevée,57.1 g,en quantité élevée,0 g,en faible quantité,,+1%,+1%,-4%,+1%,+17%,+45%,+5%,-100%,-100%,21,+13%,E,+13%,,,,,,,,,,,['mixed plastic-bag'],['E322i - Lécithine'],,['Soja'],4,,,,,,Nestle USA Inc.
571,Matocq pur brebis aoc ossau ira,0209727022504,['France'],[],[],?,412,1724 kj(412 kcal),36,23,0,0,23,"1,8","0,72",,E,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Fromages de brebis', 'Ossau-Iraty']",36 g,en quantité élevée,23 g,en quantité élevée,0 g,en faible quantité,1.8 g,en quantité élevée,,-2%,-2%,+0%,-7%,-100%,-100%,-2%,+2%,+2%,17,-3%,D,-3%,89.1%,5.2%,2.2%,2.3%,1.0%,0.3%,34,,,,,,,,,,,,,,
572,Crousty Mix,2600239016469,['France'],[],[],?,505,2113 kj(505 kcal),26,15,61,47,"6,2","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
573,Terrine bonda man jak,3770012244033,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
574,Épices Spaghettis,3543020140532,['France'],[],[],?,1,4 kj(1 kcal),1,1,1,1,1,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Sans additifs'],,,,,,,,,,,,,
575,Pain céréales,0206027008535,['France'],[],[],?,257,1075 kj(257 kcal),"4,4","0,9",43,"1,2","8,5","1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
576,5 Chocolatine beurre AOP,,['France'],[],[],?,436,1824 kj(436 kcal),27,18,40,12,"7,9","0,82","0,328",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
