,name,bar_code,quantity,brand,categories,markets,sales_countries,ingredients_list,additives,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,allergens,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,packaging,traceability_code,labels,ingredients_origins,manufacturing,link,palm_ingredients,brand_owner,origin_detail,producer_info
556,IceTea Raspberry - Lipton - 1.5l,4060800302151,1.5 l,['Lipton'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés']",,"['France', 'Allemagne']","['Eisteegetränk mit erfrischendem Himbeergeschmack', 'mit Zucker und Süßungsmittel', ' Zutaten: Wasser', 'Zucker', 'Säuerungsmittel Citronensăure', 'Schwarztee-Extrakt ', '0,12%', 'Himbeersaft aus Himbeersaftkonzentrat ', '0,1%', 'Aroma', 'Säureregulator Trinatriumcitrat', 'Antioxidationsmittel Ascorbinsäure', 'Sußungsmittel Steviolglycoside']",,[],,,,,,,,,,?,,19,+111%,79 kj(19 kcal),+114%,"0,5",+692%,"0,1",+410%,"4,6",+163%,"4,5",+241%,"0,5",+196%,"0,03",+133%,"0,012",+133%,6,+52%,D,+52%,B,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,['Flasche(n)'],,,,,,,,,
557,Hachis - Coop - 230g,7613379496898,230g,['Coop'],,,"['France', 'Suisse']",[],,[],,,,,,,,,,?,,87,,364 kj(87 kcal),,"1,8",,"0,3",,"1,9",,"0,9",,14,,"1,2",,"0,48",,,,,,,,,,,,,,,,,,"['Nutriscore', 'Nutriscore A']",,,,,,,
558,Café extra corsé - Senseo - 277g,3228470065375,277 g,['Senseo'],"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Boissons chaudes', 'Cafés', 'Dosettes', 'Cafés en dosettes', 'Cafés en dosettes compatible Senseo']",,['France'],['Café moulu en dosettes filtre'],,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,['Sachet en plastique'],,"['Agriculture durable', 'en:UTZ Certified']",,,,,,,
559,Red kidney beans - Lidl - 420g,20243456,420 g,['Lidl'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Légumineuses', 'Graines', 'Graines de légumineuses', 'Légumes secs', 'Haricots', 'Haricots rouges']",,"['France', 'Royaume-Uni']",[],,"['Végétalien', 'Végétarien']",,0.5 g,en faible quantité,0.1 g,en faible quantité,0.1 g,en faible quantité,0.02 g,en faible quantité,?,,108,-31%,452 kj(108 kcal),-32%,"0,5",-41%,"< 0,1",-28%,"15,2",-29%,"0,1",-93%,"7,7",-32%,"0,02",-95%,"0,008",-95%,-8,,A,,B,,21.5%,38.3%,18.4%,8.4%,5.2%,8.2%,92,,,,"['Végétarien', 'Végétalien']",,,,,,,
560,Thé vert d'orient - Carrefour,3560071081270,,['Carrefour'],,['Carrefour'],['France'],[],,[],,,,,,,,,,?,,0,,0 kj(0 kcal),,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,
561,Flageolets extra-fins - Monoprix - Monoprix gourmet,3350033391376,Monoprix gourmet,['Monoprix'],['Légumineuse en bocal'],['Monoprix'],['France'],[],,[],,0.7 g,en faible quantité,0 g,en faible quantité,0.5 g,en faible quantité,0.65 g,en quantité modérée,?,,85,,356 kj(85 kcal),,"0,7",,0,,11,,"0,5",,"5,5",,"0,65",,"0,26",,-5,,A,,,,,,,,,,,,['Verre'],['59009B'],,['France'],['France'],,,,,
562,Crevettes Légumes et duo Avoine Boulgour - Carrefour - 300g e,3560071177775,300 g e,['Carrefour'],"['Plats préparés', 'Plats aux fruits de mer', 'Plats aux crevettes']",['Carrefour'],['France'],"['Crevettes décortiquées 20% ', 'crevettes', 'eau', 'sel', 'conservateur disulfite de sodium', 'petit pois 11%', 'fenouil 11% ', 'avoine cuite 10% ', 'eau', 'avoine', 'eau', 'boulgour cuit 7,6% ', 'eau', 'blé dur', 'épinard 6,7%', 'courge butternut 5%', 'oignon 3,4%', 'fève de soja 3,3%', 'oignon déshydraté', 'huile de tournesol', 'amidon de maïs', ""zeste d'orange 1%"", 'yaourt maigre en poudre', ""pulpe d'ail"", 'épices curry 0,5% ', 'coriandre', 'curcuma 0,09%', 'ail', 'céleri', 'gingembre', 'piment fort', 'cumin', 'poivre', 'lait de coco en poudre 0,4% ', 'contient lait', 'sel', 'arôme naturel de paprika', 'épaississant : gomme xanthane', ' Ce plat est cuisiné à partir de crevettes élevées en Asie', 'Amérique Centrale et Amérique du Sud']","['E223 - Disulfite de sodium', '', 'Risque élevé de sur-exposition', 'E415 - Gomme xanthane']","['Non végétalien', 'Non végétarien']",4,3.2 g,en quantité modérée,0.9 g,en faible quantité,1.9 g,en faible quantité,0.58 g,en quantité modérée,?,,104,-42%,435 kj(104 kcal),-42%,"3,2",-56%,"0,9",-32%,11,-44%,"1,9",-35%,"6,4",-7%,"0,58",-53%,"0,232",-53%,-3,-161%,A,-161%,,"['Céleri', 'Crustacés', 'Gluten', 'Lait', 'Avoine', 'Soja']",,,,,,,,Plats cuisinés,['Barquette double'],"['EMB 84007W', 'Avignon (Vaucluse, France)']","['Aquaculture responsable', 'Sans arômes artificiels', 'Aquaculture responsable ASC', 'Riche en fibres', 'Recette-elaboree-avec-un-nutritionniste']",['Crevettes : Asie ; Amérique Centrale ; Amérique du Sud'],,,,,,
563,Ravioles à l'emmental - Comptoir du Pastier - 240g,3266140061166,240g,['Comptoir du Pastier'],"['Plats préparés', 'Plats à base de pâtes', 'Pâtes farcies', 'Ravioles']",['Biocoop'],['France'],"['Pâte ', '50%', ' : farine de blé tendre*', 'eau', 'oeufs', 'huile de tournesol*', ' Farce ', '50%', ': emmental 29 %', 'fromage blanc frais', 'persil', 'sel', 'oeufs*', ""beurre* Pourcentages exprimés sur l'ensemble du produit"", "" Ingrédients d'origine agricole issus de l'agriculture biologique""]",,['Non végétalien'],3,13 g,en quantité modérée,8.5 g,en quantité élevée,2.1 g,en faible quantité,1.6 g,en quantité élevée,?,,292,+15%,1222 kj(292 kcal),+14%,13,+29%,"8,5",+40%,29,+0%,"2,1",+27%,14,+27%,"1,6",+22%,"0,64",+22%,18,+44%,D,+44%,,['Œufs'],,,,,,,,,"['Barquette', 'Film en plastique']","['FR 26.281.031 CE', 'Romans-sur-Isère (Drôme, France)']","['Bio', 'Agriculture UE']",,,,,,,
564,Gyoza au poulet - Wei Ming,3760269070424,,['Wei Ming'],['Gyoza au poulet'],,['France'],[],,[],,3 g,en quantité modérée,0.6 g,en faible quantité,0.8 g,en faible quantité,2 g,en quantité élevée,?,,147,,615 kj(147 kcal),,3,,"0,6",,21,,"0,8",,"8,3",,2,,"0,8",,4,,C,,,,,,,,,,,,,,,,,,,,,
565,Riso Gallo Blond Rice Integrale Veloce - 1kg,8001420000788,1 kg,['Gallo'],,,['France'],[],,[],,,,,,,,,,?,,349,,1460 kj(349 kcal),,"2,1",,"0,5",,"73,5",,"0,8",,"7,5",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,
566,Jambon Le supérieur nature - Fleury Michon - 140g,3302740086021,140 g,['Fleury Michon'],"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs', 'Jambon cuit supérieur découenné']",['Carrefour'],['France'],"['Jambon de porc', 'sel', 'bouillon ', 'eau', 'os de porc', 'viande de porc', 'épices', 'dextrose de mais', 'jus concentrés ', 'céleri', 'betterave jaune', 'blette et carotte', 'ferments', 'antioxydant: ascorbate de sodium']",['E301 - Ascorbate de sodium'],"['Non végétalien', 'Non végétarien']",4,2.8 g,en faible quantité,1 g,en faible quantité,0.5 g,en faible quantité,1.8 g,en quantité élevée,?,,115,+4%,481 kj(115 kcal),-1%,"2,8",-5%,1,-7%,"0,5",-14%,"0,5",-13%,22,+2%,"1,8",+3%,"0,72",+3%,3,-5%,C,-5%,E,['Céleri'],80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,,"['sous vide', 'Frais']","['FR 85.182.003 CE', 'Pouzauges (Vendée, France)']","['Nutriscore', 'Nutriscore C', 'Qualité supérieure']",,['France'],,,,,
567,Jambon sans couenne - Produits Blancs - 180g,3560071194000,180 g,"['Produits Blancs', 'Carrefour']","['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs']",['Carrefour'],['France'],"['Jambon de porc 84%', 'eau', 'sel', 'sirop de glucose', 'conservateurs ', 'lactate de sodium', 'nitrite de sodium', 'dextrose', 'arômes', 'stabilisant ', 'triphosphate pentasodique', 'antioxydant ', 'érythorbate de sodium']","['E325 - Lactate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E451i - TPP', 'E316 - Érythorbate de sodium']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,2.9 g,en faible quantité,1.1 g,en faible quantité,2.2 g,en faible quantité,2.2 g,en quantité élevée,?,,113,-14%,473 kj(113 kcal),-14%,"2,9",-40%,"1,1",-40%,"2,4",+259%,"2,2",+270%,19,-10%,"2,2",+18%,"0,88",+18%,11,+56%,D,+56%,E,,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,,"['Barquette', 'Film', 'Plastique', 'Frais', 'Sous atmosphère protectrice']","['FR 29.097.020 CE', 'Lampaul-Guimiliau (Finistère, France)', 'EMB 29097B', 'Lampaul-Guimiliau (Finistère, France)']",['Fabriqué en France'],,['France'],,,,,
568,Cremiger Frischkäse - Penny - 300g,28275701,300g,['Penny'],,,"['France', 'Allemagne']",[],,[],,,,,,,,,,?,,244,,1021 kj(244 kcal),,23,,,,"2,9",,"2,9",,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
569,Senf scharf - Kania - 200g,20110871,200g,['Kania'],"['Epicerie', 'Condiments', 'Sauces', 'Moutardes']",['Lidl'],"['France', 'Allemagne']","['Wasser', 'Senfsaaten', 'Branntweinessig', 'Speisesalz', 'Zucker', 'Gewürze ', 'Kurkuma', 'Chili', 'natürliches Estragon-Aroma', 'Verdickungsmittel: Xanthan', ' Vor Wärme schützen und trocken lagern', ' Ungeöffnet']",['E415 - Gomme xanthane'],[],4,13 g,en quantité modérée,0.9 g,en faible quantité,2.7 g,en faible quantité,5.2 g,en quantité élevée,669,-4%,162,-5%,669 kj(162 kcal),-6%,13,+20%,"0,9",+10%,3,-57%,"2,7",-30%,"5,3",-19%,"5,2",+10%,"2,08",+10%,11,-5%,D,-5%,B,['Moutarde'],57.4%,14.5%,21.8%,4.8%,1.5%,0.0%,75,,['Tube'],,,,,,,,,
570,Moutarde à l'ancienne bio,3077317301097,,,"['Epicerie', 'Condiments', 'Sauces', 'Moutardes']",,['France'],[],,[],,12 g,en quantité modérée,0.9 g,en faible quantité,2 g,en faible quantité,6.1 g,en quantité élevée,?,,167,-2%,699 kj(167 kcal),-2%,12,+11%,"0,9",+10%,4,-42%,2,-48%,"6,9",+5%,"6,1",+30%,"2,44",+30%,12,+3%,D,+3%,B,,57.4%,14.5%,21.8%,4.8%,1.5%,0.0%,75,,['Verre'],,['Bio'],,,,,,,
571,Rewe Beste Wahl Raspelschokolade Edelherb - 100g,4388844072916,100 g,['REWE'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats']",,"['France', 'Allemagne', 'Suisse']","['Noble masse de cacao', 'sucre', 'beurre de cacao', 'émulsifiant lécithine de tournesol']",,[],3,34 g,en quantité élevée,20.6 g,en quantité élevée,38.6 g,en quantité élevée,0 g,en faible quantité,2189,-4%,535,-3%,2189 kj(535 kcal),-5%,34,-7%,"20,6",-2%,"44,7",-3%,"38,6",-6%,"7,5",+3%,0,-100%,0,-100%,24,+2%,E,+2%,,,,,,,,,,,,,"['Agriculture durable', 'en:UTZ Certified']",,,,,,,
572,Philadelphia original - 265g,7622300318109,265g,['Philadelphia'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à la crème']",,"['Autriche', 'France', 'Allemagne', 'Suisse']","['Frischkäse ', 'CH: Vollmilch', 'Rahm', ' Molkenerzeugnisse ', 'aus Milch', 'Speisesalz', 'Verdickungsmittel ', 'Johannisbrotkermmehl', 'Säuerungsmittel ', 'Zironensäure', ' Für Vegetarier geeignet']",,[],,21 g,en quantité élevée,14 g,en quantité élevée,4.3 g,en faible quantité,0.75 g,en quantité modérée,?,,225,+52%,941 kj(225 kcal),+50%,21,+98%,14,+101%,"4,3",-21%,"4,3",-10%,"5,4",-20%,"0,75",+125%,"0,3",+125%,12,+193%,D,+193%,C,,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,['Tetra Pak®'],['DE NI-12060 EG'],,,,,,,,
573,Le gateau aux pepites de chocolat - Carrefour,3560071177287,,['Carrefour'],,['Carrefour'],['France'],[],,[],,,,,,,,,,?,,412,,1724 kj(412 kcal),,21,,"3,1",,53,,26,,"4,7",,"0,53",,"0,212",,,,,,,,,,,,,,,,['Film en plastique'],"['EMB 41059G', 'Contres (Loir-et-Cher, France)']",,,,,,,,
574,jamon cocido grand bouquet - Noel - 200g,8410783321384,200 g,['Noel'],"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs']",['Correfour'],"['France', 'Espagne']","['Jamón ', '84%', 'agua', 'antioxidante ', 'E-316', 'E-325', 'sal', 'estabilizantes ', 'E-407', 'E-451', 'azúcar', 'maltodextrina', 'aroma', 'conservador ', 'E-250', ',']","['E316 - Érythorbate de sodium', 'E325 - Lactate de sodium', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E451 - Triphosphates', '', 'Risque élevé de sur-exposition', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,17 g,en quantité modérée,1.9 g,en quantité modérée,0.5 g,en faible quantité,1.9 g,en quantité élevée,?,,122,-8%,510 kj(122 kcal),-7%,17,+254%,"1,9",+3%,"1,4",+109%,"0,5",-16%,17,-19%,"1,9",+2%,"0,76",+2%,5,-29%,C,-29%,E,,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,,['Plastico'],,"['en:gluten-free', 'Sans colorants', 'Sans lactose']",,,http://www.noel.es/producto/cocidos/grand-bouquet/jamon-cocido-200g/,,,,
575,"Eistee zero - Solevita - 1,5l",42372370,"1,5l",['Solevita'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons édulcorées', 'Boissons au thé', 'Thés glacés', 'Boissons avec sucre ajouté']",['Lidl'],"['France', 'Allemagne']","['Wasser', 'Säuerungsmittel Citronensäure', ' 0,12% Schwarztee-Extrakt*', 'Säureregulator: Natnumcitrate', ' Aroma', ' Süßungsmittel: Cyclamat', 'Acesulfam K', 'Aspartam**', ' Pfirsichsaftkonzentrat', ' Antioxidationsrnittel: Ascorbinsäure', ' \r*Rainforest-Alliance-zertifiziert \r**enthält eine Phenylalaninquelle']","['E330 - Acide citrique', 'E952 - Acide cyclamique et ses sels', 'E950 - Acésulfame K', 'E951 - Aspartame']",[],4,0 g,en faible quantité,0 g,en faible quantité,0.3 g,en faible quantité,0.07 g,en faible quantité,?,,2,-90%,8 kj(2 kcal),-91%,0,-100%,0,-100%,"0,4",-92%,"0,3",-93%,"0,1",-14%,"0,07",+177%,"0,028",+177%,2,-70%,C,-70%,B,,45.5%,1.5%,24.0%,16.3%,10.0%,2.7%,68,Kalorienarmes Teegetränk mit Pfirsichgeschmack und Süßungsmitteln. Hergestellt aus Schwarztee-Extrakt. koffeinhaltig,"['PET', 'Flasche', 'Einwegpfand']",,['Rainforest Alliance'],,,,,,,
576,Le Supérieur - avec Couenne -25% de sel* - Fleury Michon - 80g,3302749898021,80 g,['Fleury Michon'],"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs', 'Produits à teneur réduite en sel', 'Charcuteries à teneur réduite en sel', 'Jambons blancs à teneur réduite en sel']",,['France'],"['Jambon de porc', 'couenne de porc,\xa0 bouillon de légumes 2', '7% ', 'eau', 'céleri', 'sauge', 'carotte', 'jus concentré de céleri', 'poireau', 'oignon', 'huile de tournesol', 'sel', 'fond de porc ', 'eau', 'os de porc', 'viande de porc', 'épices', 'dextrose de maïs', 'épices', 'antioxydant : ascorbate de sodium', 'conservateur : nitrite de sodium']","['E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,5.4 g,en quantité modérée,2 g,en quantité modérée,0.5 g,en faible quantité,1.4 g,en quantité modérée,567,+18%,?,,567 kj(136 kcal),+19%,"5,4",+87%,2,+85%,"0,5",-22%,"0,5",-19%,21,-0%,"1,4",-1%,"0,56",-1%,3,+26%,C,+26%,E,['Céleri'],80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,,"['Barquette', 'Film en plastique']","['FR 85.182.003 CE', 'Pouzauges (Vendée, France)']","['Peu ou pas de sel', 'Peu de sel', 'Sans gluten', 'Allégé en sel', 'Moins 25% de sel', 'Nutriscore', 'Nutriscore C', 'Qualité supérieure']",,,,,,,
577,FibreXtra - Misura,8002590045623,,['Misura'],,,"['France', 'Maroc']",[],,['Sans huile de palme'],,,,,,,,,,?,,453,,1895 kj(453 kcal),,17,,"1,8",,62,,22,,8,,"0,92",,"0,368",,,,,,,,,,,,,,,,,,"['Fabriqué en Italie', 'en:palm-oil-free']",,,,,,,
578,Moutarde de dijon bio - Clovis,3077315501093,,['Clovis'],"['Epicerie', 'Condiments', 'Sauces', 'Moutardes', 'Moutardes de Dijon']",,['France'],[],,[],,13.7 g,en quantité modérée,1.1 g,en faible quantité,2.5 g,en faible quantité,5.1 g,en quantité élevée,?,,184,+16%,770 kj(184 kcal),+16%,"13,7",+19%,"1,1",+44%,"4,5",+23%,"2,5",+11%,"7,8",+8%,"5,1",-14%,"2,04",-14%,13,+20%,D,+20%,A,,57.4%,14.5%,21.8%,4.8%,1.5%,0.0%,75,,"['Bocal', 'Verre']",,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,
579,Fette biscottate integrali e semi di lino -,8018699013500,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'en:zwieback']",,"['France', 'Italie']",[],,[],,9.5 g,en quantité modérée,1.4 g,en faible quantité,3.4 g,en faible quantité,1.4 g,en quantité modérée,?,,395,+0%,1653 kj(395 kcal),+0%,"9,5",+42%,"1,4",-24%,60,-12%,"3,4",-42%,13,+10%,"1,4",+21%,"0,56",+21%,11,+76%,D,+76%,,,,,,,,,,,,,['Sans sucre ajouté'],,,,,,,
580,Café - Grand'Mère - 4x250g = 1kg,8711000892008,4x250 g = 1 kg,"[""Grand'Mère""]","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Cafés']",,['France'],['Café'],,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
581,Green tea -,5400514211001,,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés', 'Thés verts', 'Boissons sans alcool']",,"['Belgique', 'France']","['Infusion de thé vert 91% ', 'eau', 'infusion de thé vert', 'extrait de fruits', 'jus concentré de citron vert ', '1,8%', 'extrait d’acérola', 'arômes naturels', 'extrait de jasmin ', '0,01%']",,[],4,,,,,,,,,?,,20,+67%,84 kj(20 kcal),+75%,0,-100%,0,-100%,"4,8",+114%,"4,1",+239%,"0,1",-52%,0,-100%,0,-100%,6,+43%,D,+43%,B,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,,,,,,,,,,
582,Tartiflette au reblochon de savoie AOP - Picard - 330g,3270160861194,330 g,['Picard'],"['Surgelés', 'Plats préparés', 'Gratins', 'Gratins de pomme de terre', 'Tartiflettes']",['Picard'],['France'],"['Pomme de terre préfrite 41,3% ', 'pomme de terre', 'huile de tournesol', 'lardon fumé au bois de hêtre 15,1% [poitrine de porc ', 'origine : France*', 'eau', 'sel]', 'Reblochon de Savoie AOP** 13,6% [lait cru entier', 'sel', 'ferments lactiques', ""ferments d'affinage"", 'colorant de croute rocou', 'plaque de caséine ', 'lait', ']', 'crème fraiche liquide ', 'lait', ""oignon préfrit à l'huile de tournesol 8,1%"", 'eau', 'vin blanc de Savoie AOP**', 'fécule de pomme de terre', 'sel', 'poivre', "" Issue d'animaux nés"", 'élevés', 'abattus et transformés en France **A', 'O', 'P', "" Appellation d'Origine Protégée Produit élaboré dans un atelier qui utilise: gluten"", 'crustacés', 'œuf', 'poissons', 'soja', 'arachide', 'fruits à coque', 'céleri', 'moutarde', 'sésame', 'mollusques']",,"['Non végétalien', 'Non végétarien']",3,12 g,en quantité modérée,6.5 g,en quantité élevée,0.6 g,en faible quantité,0.71 g,en quantité modérée,?,,187,+26%,782 kj(187 kcal),+31%,12,+46%,"6,5",+41%,13,+23%,"0,6",-41%,"6,8",+23%,"0,71",-3%,"0,284",-3%,10,+81%,C,+81%,B,['Lait'],68.3%,16.4%,4.8%,5.7%,2.8%,2.0%,73,,,,"['Viande Française', 'Viande Porcine Française']",,,,,,,
583,Nuggets - Coop,7613379950680,,['Coop'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Substituts de viande', 'Nuggets végétaux']",,"['France', 'Suisse']","['Produit à base de protéines de soja 45% ', 'eau', 'protéines de soja', 'concentré de protéines de soja', 'gluten de froment', 'amidon de froment', 'émulsifiant [E 322 de soja]', 'chapelure ', 'farine de froment', 'sel de cuisine', 'levure', 'épices', 'eau', 'farine de froment', 'huile de tournesol', 'fécule de pomme de terre', 'épaississant ', 'E 461', 'sel de cuisine', 'épices', 'vitamine B12']","['E322 - Lécithines', 'E461 - Méthylcellulose']","['Végétalien', 'Végétarien']",4,8 g,en quantité modérée,0.6 g,en faible quantité,0 g,en faible quantité,1.5 g,en quantité modérée,?,,192,-22%,803 kj(192 kcal),-21%,8,-30%,"0,6",-52%,14,-26%,0,-100%,14,+1%,"1,5",+17%,"0,6",+17%,-1,-139%,A,-139%,,['Gluten'],,,,,,,,,,,"['Végétarien', 'Végétalien']",,,,,,,
584,Jadida - 450g,6194000802406,450 g,['Jadida'],"['Produits laitiers', 'Matières grasses', 'Produits à tartiner', 'Matières grasses à tartiner', 'Matières grasses animales', 'Matière grasse laitière', 'Produits laitiers à tartiner', 'Beurres']",,['France'],"[""Huiles végétales en l'état et partiellement hydrogénées "", 'Soja/Tournesol', 'palme', 'noix de coco/palmiste', 'eau', 'émulsifiants végétaux: ', 'E471', '- lécithine de soja ', 'E322', 'sel', 'agent de conservation: ', 'E202', ""correcteur d'acidité: "", 'E330', 'vitamine E', 'A', ' Arômes identiques aux substances naturelles', 'antioxydant ', 'E321', 'colorant ', 'E160a']","[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E322 - Lécithines', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique', 'E321 - Butylhydroxytoluène', 'E160a - Carotènes mélangés']","[""Pourrait contenir de l'huile de palme""]",4,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,E,,91.6%,4.9%,1.3%,1.2%,0.8%,0.2%,27,,"[""À conserver à l'abri de l'humidité à une température comprise entre 12°C et 15°C.""]",,,,,,['Huile de palme'],,,
585,Lard petit déjeuner - 150g,27067314,150 g,,,,['France'],[],,[],,,,,,,,,,?,,278,,1163 kj(278 kcal),,24,,"9,6",,"0,6",,"0,6",,16,,"2,6",,"1,04",,,,,,,,,,,,,,,,,,,,,,,,,
586,Grissini -  - 250g,8004583511047,250g,,"['Snacks', 'Snacks salés', 'Apéritif']",['Auchan'],['France'],"['Farine de blé', 'huile de tournesol ', '11%', 'extrait de malt ', 'orge', 'mais', 'levure', 'sel', ' Le produit peut contenir des traces de sésame', 'du lait et de soia', ' Da consumarsi preferibilmente entro il: vedi retro della confezione', ' Conservare in luogo fresco e asciutto', '/']",,[],3,12 g,en quantité modérée,1.2 g,en faible quantité,3.8 g,en faible quantité,2.3 g,en quantité élevée,?,,485,+4%,2029 kj(485 kcal),+4%,12,-50%,"1,2",-71%,69,+34%,"3,8",+22%,11,+44%,"2,3",+47%,"0,92",+47%,14,+10%,D,+10%,,"['Gluten', 'Graines de sésame']",,,,,,,,,['Sachet fermé'],,,,"['10040 Leinì', 'Italie']",http://www.grissini.it,,,,
587,Chocolat noir bio - J. D. GROSS,20055110,,['J. D. GROSS'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs', 'Chocolats salés', 'Chocolats à la fleur de sel', 'Chocolats noirs salés', 'Chocolats noirs à la fleur de sel']",,['France'],"['Pâte de cacao', 'sucre', '0,5 % fleur de sel', 'émulsifiant : lécithines ', 'tournesol ', ' extrait de vanille']",['E322i - Lécithine'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",4,38 g,en quantité élevée,22 g,en quantité élevée,29 g,en quantité élevée,0.5 g,en quantité modérée,?,,554,0%,2318 kj(554 kcal),+1%,38,+1%,22,-4%,36,-13%,29,-20%,"9,6",+37%,"0,5",+13%,"0,2",+13%,24,+4%,E,+4%,D,,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,
588,Yaourt mixé poire vanille aromatisé - Auchan - 4 * 125g,3596710457823,4 * 125 g,['Auchan'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts aux fruits', 'Yaourts à la poire']",['Auchan'],['France'],"['Lait entier 81,5%', 'poire 8%', 'sucre de canne 7,4%', 'poudre de lait écrémé', 'amidon de maïs', ""arôme naturel de poire avec d'autres arômes naturels"", 'arôme naturel de vanille', 'gousse de vanille épuisée', 'ferments lactiques']",,"['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",4,3.1 g,en quantité modérée,1.8 g,en quantité modérée,11 g,en quantité modérée,0.11 g,en faible quantité,?,,89,-6%,372 kj(89 kcal),-8%,"3,1",-2%,"1,8",-13%,12,-9%,11,-12%,"3,3",+0%,"0,11",-1%,"0,044",-1%,2,-32%,B,-32%,B,['Lait'],79.1%,8.8%,4.4%,4.5%,2.5%,0.7%,69,"Yaourt au lait entier brassé, sucré, à la poire, à la vanille et aromatisé","['Pot', 'Plastique', 'Réfrigéré']","['FR 31.555.001 CE', 'Toulouse (Haute-Garonne, France)']","['Bio', 'Bio européen', 'Nutriscore', 'Agriculture UE/Non UE', 'FR-BIO-01', 'Nutriscore C', 'AB Agriculture Biologique']",,['France'],,,,,
