,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,brand,labels,traceability_code,markets,allergens,nova_score,additives,eco_score,packaging,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,ingredients_origins,manufacturing,generic_name,link,palm_ingredients,origin_detail,producer_info
29,Brûleur de graisse,3700937901766,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Saucisson sec de savoir - Terre de l'Alpe,3760165981466,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""Terre de l'Alpe""]",,,,,,,,,,,,,,,,,,,,,,
31,Kit Pizza Croustipate -,9369399293143,['France'],[],[],?,192,803 kj(192 kcal),"3,6","0,5",30,"3,6","6,8","0,79","0,316",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Pulpa de pimiento choricero - zubia,8412769410181,['France'],[],[],?,38,159 kj(38 kcal),"0,8","0,2","6,7","0,9","1,4","0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,['Zubia'],,,,,,,,,,,,,,,,,,,,,,
33,Chunk light Yellofin tuna,0016101000764,['France'],[],[],?,89.2857,374 kj(89 kcal),0,0,0,,"23,214","0,759","0,304",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,The glace pomme citronnelle - Fuzetea,5449000285959,['France'],[],[],?,10,42 kj(10 kcal),0,0,"4,2","3,9",0,,,,,,,,,,,,,,,,,,,,,,,,,,,['Fuzetea'],,,,,,,,,,,,,,,,,,,,,,
35,Magnum Mini Batonnets Glace Chocolat & Orange x6 - 330ml (264g),8711327374652,['France'],"['LAIT écrémé réhydraté', 'sucre', 'beurre de cacao [1]', 'sirop de glucose-fructose', 'pâte de cacao [1]', 'huile de coco', 'cacao maigre en poudre [1]', 'LAIT en poudre entier', 'BEURRE concentré', 'émulsifiants ', 'E471', 'lécithine de SOJA', 'E476', 'E442', 'stabilisants ', 'E410', 'E407', 'arômes', ' Peut contenir: fruits à coque', ' [1] Vérifié Rainforest Alliance™']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",1399,334,1399 kj(334 kcal),21,14,31,28,"3,8","0,08","0,032",330 ml (264 g),"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Glaces', 'Bâtonnets glacés']",21 g,en quantité élevée,14 g,en quantité élevée,28 g,en quantité élevée,0.08 g,en faible quantité,+19%,+21%,+20%,+29%,+26%,+6%,+9%,+30%,-42%,-42%,20,+22%,E,+22%,['Magnum'],"['Point Vert', 'Rainforest Alliance']",,,"['Lait', 'Soja']",4,"[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E322i - Lécithine', ""E476 - Esters polyglycériques d'acides gras d'huile de ricin"", ""E442 - Phosphatides d'ammonium"", 'E410 - Gomme de caroube', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition']",B,['Boite'],60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,,,Glace au chocolat au lait (dont 2% de chocolat au lait) et parfum orange enrobée de chocolat au lait (33%).,,,,
36,Amora Assaisonnements BARBECUE&MIEL 282 GR - 282g,8711200497690,['France'],"['Eau', 'vinaigre de vin blanc', 'sucre', 'purée de tomates mi-concentrée', 'mélasse', 'amidon modifié de maïs', 'miel 2%', 'sel', 'sauce Worcestershire ', 'eau', 'sirop de glucose', 'vinaigre de malt ', 'ORGE', 'sucre', 'sel', 'arômes', ""extrait d'oignon"", 'ANCHOIS', ""huile d'olive raffinée"", 'vinaigre de vin blanc', 'jus de citron concentré', 'épices', 'herbes', 'huile de tournesol', 'épices', 'farine de MOUTARDE', 'huile de soja', 'arôme de fumée', 'arôme']","['Non végétalien', 'Non végétarien']",551,127,551 kj(127 kcal),"0,7","0,1",26,23,"0,7","1,6","0,64",282 g,"['Epicerie', 'Condiments', 'Assaisonnements']",0.7 g,en faible quantité,0.1 g,en faible quantité,23 g,en quantité élevée,1.6 g,en quantité élevée,-46%,-38%,-39%,-92%,-92%,+23%,+145%,-83%,-83%,-83%,13,+17%,D,+17%,['Amora'],['Point Vert'],,,"['Poisson', 'Gluten', 'Moutarde']",4,['E14XX - Amidons modifiés'],,['Bouteille'],,,,,,,,,,Sauce barbecue miel aromatisée.,,,,
37,Pépites de chocolat - Vahiné,3179142000418,['France'],[],[],?,515,2155 kj(515 kcal),27,17,59,58,"6,5","0,21","0,084",,,,,,,,,,,,,,,,,,,,,,,,,['Vahiné'],,,,,,,,,,,,,,,,,,,,,,
38,Pomegranate,5060148350363,['France'],[],[],?,28,117 kj(28 kcal),"0,5","0,1","6,9","6,5","0,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
