,name,bar_code,brand,markets,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,additives,allergens,nova_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,generic_name,quantity,packaging,labels,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,manufacturing,palm_ingredients,ingredients_origins,traceability_code,link
1736,Petit pois et jeunes carottes - Auchan,3596710457182,['Auchan'],['Auchan'],['France'],"['légumes ', 'petits très ', '50% minimum', 'carotts ', '30% minimum', 'sucre', 'sel', 'arôme']",[],?,48,201 kj(48 kcal),"0,1",0,"7,5","3,2","2,2","0,88","0,352",,,4,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Conserves', 'Aliments à base de fruits et de légumes', 'Légumineuses', 'Aliments à base de plantes en conserve', 'Légumes et dérivés', 'Légumes en conserve', 'Légumineuses en conserve', 'Petits pois et carottes en conserve']",0.1 g,en faible quantité,0 g,en faible quantité,3.2 g,en faible quantité,0.88 g,en quantité modérée,,-17%,-17%,-80%,-100%,-8%,-6%,-29%,+50%,+50%,-7,,A,,,,,,B,26.6%,34.8%,16.3%,8.2%,7.5%,6.7%,88,,,,,
1737,Figurines au chocolat au lait extra fin - Vendome,3596710457649,['Vendome'],,['France'],[],[],?,476,1992 kj(476 kcal),21,14,64,31,"6,4","0,525","0,21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1738,Assortiment de chocolats Belges - Vendome,3596710457656,['Vendome'],,['France'],[],[],?,527,2205 kj(527 kcal),32,17,52,47,"3,9","0,15","0,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1739,10 knacks saucisse de Strasbourg - Auchan,3596710457991,['Auchan'],['Auchan'],['France'],[],[],?,282,1180 kj(282 kcal),25,"8,9","2,2","2,2",12,"1,9","0,76",,,,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Saucisses de Strasbourg']",25 g,en quantité élevée,8.9 g,en quantité élevée,2.2 g,en faible quantité,1.9 g,en quantité élevée,,+3%,+3%,+3%,-3%,+54%,+95%,-5%,-2%,-2%,19,-1%,E,-1%,,,,"['Viande-francaise', 'Viande-porcine-francaise']",E,87.6%,6.5%,1.9%,1.1%,0.6%,2.4%,22,,,,,
1740,Olives basilic tomates mi-sechees chorizo - Auchan,3596710458417,['Auchan'],['Auchan'],['France'],[],[],?,269,1125 kj(269 kcal),23,"7,4","2,9","2,2","9,2","2,8","1,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Produit en braille'],,,,,,,,,,,,,
1741,"Olives vertes, caviar de tomates et bruschetta - Auchan - 200g",3596710458424,['Auchan'],['Auchan'],['France'],[],[],?,213,891 kj(213 kcal),17,"2,1",10,"5,4","3,2","2,1","0,84",,,,,,,,,,,,,,,,,,,,,,,,,,,,200g,['Barquettes'],,,,,,,,,,,,,,
1742,Le trio de provence - Auchan,3596710458431,['Auchan'],['Auchan'],['France'],[],[],?,351,1469 kj(351 kcal),29,13,"1,2","0,5",19,"3,1","1,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Produit en braille', 'Nutriscore']",,,,,,,,,,,,,
1743,Envie de veggie - Auchan,3596710458950,['Auchan'],['Auchan'],['France'],[],[],?,47,197 kj(47 kcal),"0,4","0,09",11,10,"0,4","0,09","0,036",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['EMB 67434', 'Sarre-Union (Bas-Rhin, France)']",
1744,2 hot dogs - Pouce - 190g e,3596710460069,"['Pouce', 'Auchan']",['Auchan'],['France'],"['Petit pain 53 % : farine de blé ', 'contient gluten', 'eau', 'sirop de sucre', 'levure', 'huile de colza', 'gluten', 'sel', 'émulsifiants ', ""mono - et diglycérides d'acides gras"", 'stéaroyl-2-lactylate de calcium', '\r Saucisse 47 % : viande de porc 39,95 %', 'eau', 'sel iodé ', 'sel de table', 'iodate de potassium', 'épices', 'dextrose', 'stabilisateur : citrate de sodium', ""extrait d'épices"", 'antioxydant : acide ascorbique', 'conservateur : nitrite de sodium', 'fumée']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",?,279,1167 kj(279 kcal),14,"4,3",25,"3,5",12,"1,6","0,64","[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E482 - Stéaroyl-2-lactylate de calcium', '', 'Risque élevé de sur-exposition', 'E331 - Citrates de sodium', 'E300 - Acide ascorbique', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",['Gluten'],4,"['Plats préparés', 'Sandwichs', 'Réfrigérés', 'Plats préparés réfrigérés', 'Hot-dogs']",14 g,en quantité modérée,4.3 g,en quantité modérée,3.5 g,en faible quantité,1.6 g,en quantité élevée,,+1%,+1%,+3%,-11%,-2%,-23%,+9%,-5%,-5%,14,0%,D,0%,,190 g e,"['Barquette', 'Plastique']",,D,80.8%,9.4%,2.9%,1.9%,1.1%,4.0%,36,,,['Union européenne'],['DE EV 219 EG'],
1745,Pulled Chicken - Auchan - 180g,3596710460229,['Auchan'],['Auchan'],['France'],"['Viande de poulet 79,9 %', 'graisse de canard', 'dextrose', 'sel', 'protéines de pois', 'arôme', 'fibre de blé', 'arôme naturel', 'bouillon de volaille ', 'eau', 'sel', 'arômes naturels', 'graisse de poule', 'extrait de levure', 'épices et aromates']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,187,782 kj(187 kcal),"7,8","3,1","< 0,5","< 0,5",29,"0,58","0,232",,['Gluten'],4,"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats à la volaille', 'Réfrigérés', 'Plats au poulet']",7.8 g,en quantité modérée,3.1 g,en quantité modérée,0.5 g,en faible quantité,0.58 g,en quantité modérée,,+26%,+27%,+32%,+85%,-96%,-74%,+261%,-31%,-31%,2,+40%,B,+40%,Poulet effiloché - Pulled Chicken,180 g,"['Frais', 'Plastique', 'Carton']","['Viande Française', 'Nutriscore', 'Nutriscore B', 'Volaille-francaise']",C,78.2%,13.6%,2.4%,3.4%,1.4%,1.0%,44,['France'],,['France'],,
