,name,bar_code,brand,markets,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,additives,allergens,nova_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,generic_name,quantity,packaging,labels,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,manufacturing,palm_ingredients,ingredients_origins,traceability_code,link
96,Sirop Gourmand Citron vert - La Gosse,3585260309041,['La Gosse'],,['France'],[],[],?,352,1473 kj(352 kcal),0,0,88,88,0,0,0,,,,"['Boissons', 'Sirops', 'Sirops aromatisés', 'Sirops de citron vert']",,,,,,,,,,+70%,+68%,-100%,-100%,+64%,+84%,-100%,-100%,-100%,,,,,,,,,B,58.3%,8.5%,16.3%,7.9%,7.3%,1.6%,100,,,,,
97,Cassoulet au confit de canard - les Toques du Nord - 730g,3585260381009,['les Toques du Nord'],,['France'],[],[],?,273,1142 kj(273 kcal),"11,1","3,7","22,9","1,3","17,4",1,"0,4",,,,"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats à la volaille', 'Plats à base de haricots', 'Plats au canard', 'Cassoulets', 'Cassoulets au confit de canard']",11.1 g,en quantité modérée,3.7 g,en quantité modérée,1.3 g,en faible quantité,1 g,en quantité modérée,,+80%,+80%,+43%,+31%,+190%,+81%,+66%,+12%,+12%,5,+205%,C,+205%,,730 g,,,C,66.0%,17.7%,6.2%,5.5%,2.7%,2.0%,72,,,,,
98,Limonade baie de sureau - La Gosse,3585260410044,['La Gosse'],,['France'],"['eau gazéifiée sucre', 'acide citrique', ' Arôme baie de sureau', 'colorants E122 E124 E151']",[],?,36,151 kj(36 kcal),0,0,9,9,0,0,0,"['E330 - Acide citrique', 'E122 - Azorubine carmoisine', 'E124 - Ponceau 4R']",,4,['Boissons'],0 g,en faible quantité,0 g,en faible quantité,9 g,en quantité élevée,0 g,en faible quantité,,-36%,-37%,-100%,-100%,-20%,-5%,-100%,-100%,-100%,12,+57%,E,+57%,,,,,,,,,,,,,,,,,
99,Pâté des Beffrois,3585260414004,,,['France'],[],[],?,275,1151 kj(275 kcal),"23,5","9,23","1,2","1,2","14,6","1,79","0,716",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,"Terrine à la bière ""3 Monts"" - Les Toques du Nord - 200g",3585260418002,['Les Toques du Nord'],['Auchan'],['France'],"['Gorge et foie de porc origine France', 'gelée ', 'eau', 'vin blanc', 'gélatine de porc', 'bière ', 'dont malt', 'arômes naturels', 'genièvre', 'carotte', 'oignon', 'poireau', 'céleri', 'colorant caramel', 'thym', 'laurier', 'bière 3 Monts ', ""3,9% dont malt d'orge"", 'genièvre', 'œufs', 'sel', 'fleur de bière', 'échalote en poudre', 'poivre']","['Non végétalien', 'Non végétarien']",?,?,,?,,?,,?,,,"['E428 - Gélatine', 'E150 - Caramel']","['Céleri', 'Œufs', 'Gluten']",4,"['Terrines', 'Terrines à la bière']",,,,,,,,,,,,,,,,,,,,,,,,200 g,"['Bocal', 'Verre']",['Saveurs en Or'],,,,,,,,,"['France', 'Nord Pas-de-Calais']",,['France'],"['FR 59.526.101 CE', 'Saint-Amand-les-Eaux (Nord, France)']",
101,Sauté de porc à la moutarde - Les Toques du Nord - 380g,3585260424003,['Les Toques du Nord'],['Carrefour'],['France'],"['Viande de porc régional ', '65%', ' sauce ', 'eau', 'vin blanc', 'crème de cuisson ', 'crème de lait', 'amidon transformé de maïs', 'émulsifiant E471', 'stabilisant E440', 'E460 et E410', 'farine de blé', 'moutarde ', '3%', 'oignon', 'sel', 'thym', 'laurier', 'persil', 'ail et échalote en poudre', 'poivre', ' champignons']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",?,?,,?,,?,,?,,,"['E14XX - Amidons modifiés', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E440 - Pectines', 'E460 - Cellulose', 'E410 - Gomme de caroube']","['Gluten', 'Lait', 'Moutarde']",4,"['Conserves', 'Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats au porc', 'Plats préparés en conserve']",,,,,,,,,,,,,,,,,,,,,,,,380 g,"['Bocal', 'Verre']",['Saveurs en Or'],,,,,,,,,['France'],,,"['FR 59.526.101 CE', 'Saint-Amand-les-Eaux (Nord, France)']",
102,Limonade et sodas d'antan mandarine,3585260501056,,,['France'],[],[],?,32,134 kj(32 kcal),0,0,9,8,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Sirop gourmand citron sauvage - La Gosse,3585260609042,['La Gosse'],,['France'],[],[],?,36,151 kj(36 kcal),0,0,9,9,0,,,,,,"['Boissons', 'Sirops', 'Sirops aromatisés', 'Sirops de citron']",,,,,,,,,,-83%,-83%,-100%,-100%,-83%,-82%,-100%,,,,,,,,,,,B,58.3%,8.5%,16.3%,7.9%,7.3%,1.6%,100,,,,,
104,Fruit des bois - La Gosse,3585260610048,['La Gosse'],['Magasins U'],['France'],[],[],?,32,134 kj(32 kcal),0,0,8,8,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Soda fraise poire - La gosse - 25cl,3585261002057,['La gosse'],,['France'],[],[],?,36,151 kj(36 kcal),0,0,9,9,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,25 cl,,,,,,,,,,,,,,,
106,Limonade citron vert - La Gosse,3585262302057,['La Gosse'],,['France'],"['EAU gazeuse', 'ACIDE CITRIQUE ARÔME NATUREL DE CTRON', 'COLORANTS E102,E131']",[],?,36,151 kj(36 kcal),0,0,9,9,0,0,0,"['E330 - Acide citrique', 'E102 - Tartrazine', 'E131 - Bleu patenté V', '', 'Risque modéré de sur-exposition']",,4,['Boissons'],0 g,en faible quantité,0 g,en faible quantité,9 g,en quantité élevée,0 g,en faible quantité,,-36%,-37%,-100%,-100%,-20%,-5%,-100%,-100%,-100%,12,+57%,E,+57%,,,,,,,,,,,,,,,,"['EMB 62412', 'Hardinghen (Pas-de-Calais, France)']",
107,Sirop pistache - La Gosse,3585262603017,['La Gosse'],,['France'],[],[],?,36,151 kj(36 kcal),"0,1","0,1",9,9,"0,1","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,Limonade La Gosse parfum bleuet,3585262609002,['La Gosse'],,['France'],[],[],?,36,151 kj(36 kcal),0,0,9,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,Sirop gourmand bubble gum - La Gosse,3585262708040,['La Gosse'],,['France'],[],[],?,352,1473 kj(352 kcal),0,0,88,88,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,Sirop gourmand à la rose - La Gosse,3585262801000,['La Gosse'],,['France'],[],[],?,36,151 kj(36 kcal),0,0,9,9,0,,,,,,"['Boissons', 'Sirops', 'Sirops aromatisés', 'Sirops de rose']",,,,,,,,,,-86%,-86%,-100%,-100%,-87%,-86%,-100%,,,,,,,,,,,B,58.3%,8.5%,16.3%,7.9%,7.3%,1.6%,100,,,,,
111,Limonade Pomme d'amour - La Gosse,3585262801031,['La Gosse'],['Magasins U'],['France'],"['Eau gazéifié', 'sucre']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,36,151 kj(36 kcal),0,0,9,9,0,0,0,,,3,"['Boissons', 'Boissons avec sucre ajouté']",0 g,en faible quantité,0 g,en faible quantité,9 g,en quantité élevée,0 g,en faible quantité,,-58%,-59%,-100%,-100%,-55%,-51%,-100%,-100%,-100%,12,+1%,E,+1%,,,,,,,,,,,,,,,,,
112,Sirop gourmand Coquelicot - La Gosse,3585262901007,['La Gosse'],,['France'],"['Eau,sucre,acide citrique,arôme coquelicot,colorant E122-E124*', ""                         *peut avoir des effets indésirables sur l'activité et l'attention chez les enfants""]","['Non végétalien', 'Non végétarien']",?,36,151 kj(36 kcal),0,0,9,9,0,0,0,"['E330 - Acide citrique', 'E122 - Azorubine carmoisine', 'E124 - Ponceau 4R']",,4,"['Boissons', 'Boissons avec sucre ajouté']",0 g,en faible quantité,0 g,en faible quantité,9 g,en quantité élevée,0 g,en faible quantité,,-58%,-59%,-100%,-100%,-55%,-51%,-100%,-100%,-100%,12,+1%,E,+1%,,,,,,,,,,,,,,,,,
113,Sirop gourmand - La Gosse,3585262903018,['La Gosse'],,['France'],[],[],?,36,151 kj(36 kcal),0,0,9,9,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,Sirop de bêtises de Cambrai,3585263101000,,,['France'],[],[],?,352,1473 kj(352 kcal),0,0,88,88,0,0,0,,,,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']",0 g,en faible quantité,0 g,en faible quantité,88 g,en quantité élevée,0 g,en faible quantité,,-1%,-2%,-100%,-100%,+6%,+52%,-100%,-100%,-100%,14,-3%,D,-3%,,,,,E,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,,,
115,Sirop artisanal Pêche - Sans marque - 50cl,3585263110026,['Sans marque'],['Noz'],['France'],"['Eau', 'sucre', 'acide citrique', 'arôme pêche', 'colorant E110']","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",?,352,1473 kj(352 kcal),0,0,88,88,0,,,"['E330 - Acide citrique', 'E110 - Jaune orangé S']",,4,"['Boissons', 'Sirops', 'Sirops aromatisés', 'Sirops de pêche', 'Boissons avec sucre ajouté']",,,,,,,,,,+37%,+33%,-100%,-100%,+28%,+35%,-100%,,,,,,,,50 cl,"['Bouteille', 'Verre']",,A,58.3%,8.5%,16.3%,7.9%,7.3%,1.6%,100,['France'],,,"['EMB 62412', 'Hardinghen (Pas-de-Calais, France)']",
116,Tarte citron meringuée,3585290068437,,,['France'],[],[],?,280,1172 kj(280 kcal),11,"6,7",41,25,"4,1","0,18","0,072",,,,"['Tartes', 'Tartes sucrées', 'Tartes aux fruits', 'Tartelettes', 'Tartes au citron', 'Biscuit sec nappé aux fruits', 'Tartes au citron meringuées']",11 g,en quantité modérée,6.7 g,en quantité élevée,25 g,en quantité élevée,0.18 g,en faible quantité,,-19%,-19%,-25%,-26%,-13%,-25%,-19%,-16%,-16%,14,-27%,D,-27%,,,,,C,81.3%,10.4%,3.5%,2.6%,2.1%,0.0%,56,,,,,
117,Tarte aux pommes,3585290123839,,,['France'],[],[],?,231,967 kj(231 kcal),"7,3","2,9",37,22,"2,9","0,16","0,064",,,,"['Tartes', 'Tartes sucrées', 'Tartes aux pommes']",7.3 g,en quantité modérée,2.9 g,en quantité modérée,22 g,en quantité élevée,0.16 g,en faible quantité,,-6%,-6%,-22%,-46%,+2%,+7%,+20%,-37%,-37%,7,-36%,C,-36%,,,,['Fabriqué en France'],B,67.5%,16.8%,7.5%,4.2%,4.0%,0.0%,84,,,,,
118,Tarte framboise,3585290517836,,,['France'],[],[],?,267,1117 kj(267 kcal),10,"4,7",39,21,"3,9","0,126","0,05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Fabriqué en France'],,,,,,,,,,,,"['EMB 49015C', 'Avrillé (Maine-et-Loire, France)']",
119,sirop poire - ogier - 50cl,3585319950095,['Ogier'],,['France'],[],[],?,?,,?,,?,,?,,,,,,"['Boissons', 'Sirops', 'Sirops aromatisés']",,,,,,,,,,,,,,,,,,,,,,,,50 cl,,,B,58.3%,8.5%,16.3%,7.9%,7.3%,1.6%,100,,,,,
120,Tomates confites - Sud'n'sol,3585510011038,"[""Sud'n'sol""]",,['France'],[],[],?,164,686 kj(164 kcal),12,1,"8,4","7,8","2,6","1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Sans conservateurs'],,,,,,,,,,,,,
121,Tomatade - Sud'n'sol,3585510011243,"[""Sud'n'sol""]",,['France'],[],[],?,299,1251 kj(299 kcal),26,"1,9",12,"9,6",3,"1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Sans conservateurs'],,,,,,,,,,,,,
122,Tapena de Poivrons confits - Sudnif s a,3585510011946,['Sudnif s a'],,['France'],"['poivrons mi-séchés 57%,huile de colza', 'concentre de totnates', 'sel,jus de citron concentre', 'ail', 'sucre']",[],?,299,1251 kj(299 kcal),26,"1,9",12,11,"2,9","1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,Caviar d'aubergines - Sud'n'sol,3585510011953,"[""Sud'n'sol""]",,['France'],"[""Préparation base d'aubergines : aubergines grillées 74%"", 'huile de tournesol', 'concentré de tomates', ""huile d'olive"", 'sel', 'jus de citron à base de concentré', 'ail', 'sucre', 'coriandre', 'paprika']",[],?,169,707 kj(169 kcal),15,2,"5,5","4,6","1,3","1,5","0,6",,,3,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Produits à tartiner salés', 'Pâtes à tartiner végétales', ""Caviars d'aubergine""]",15 g,en quantité modérée,2 g,en quantité modérée,4.6 g,en faible quantité,1.5 g,en quantité modérée,,-9%,-8%,-10%,-4%,+4%,+54%,-17%,+32%,+32%,5,-24%,C,-24%,,,,,,,,,,,,,,,,,
124,Tapena Poivron confits - Sud'n'sol,3585510012028,"[""Sud'n'sol""]",,['France'],"['poivrons mi-séchés 57%', 'huile de colza', 'concentré de tomates', 'sel', 'jus de citron concentré', 'ail', 'sucre', ' SANS CONSERVATEUR']",[],?,299,1251 kj(299 kcal),26,"1,9",12,11,"2,9","1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Sans conservateurs'],,,,,,,,,,,,,
125,Tomatade câpres et olives - SUD'N'SOL,3585510012080,"[""SUD'N'SOL""]",,['France'],"['tomates 49% ', 'tomates mi-séchées 70%', 'concentré de tomates', 'huile de colza', 'poivrons', 'olives noires 7%', 'câpres 4% ', 'câpres', 'eau', 'sel', ""vinaigre d'alcool"", 'sel', 'ail', 'sucre', 'origan', 'jus de citron concentré', 'basilic']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,318,1331 kj(318 kcal),29,"2,2","9,8","8,4","2,7",2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,Tapena' champignons  aux cèpes - Sud'n'sol,3585510018501,"[""Sud'n'sol""]",,['France'],[],[],?,197,824 kj(197 kcal),19,"1,4","1,7","0,6","3,5","1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,Tapena Olives Kalamata - Sud'n'sol,3585510020238,"[""Sud'n'sol""]",,['France'],[],[],?,246,1029 kj(246 kcal),25,3,"1,9","1,2","1,2","2,6","1,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,Les festiv été - Ensoleillade  - 200g,3585510022003,['Ensoleillade'],,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200g,,['Sans conservateurs'],,,,,,,,,,,,,
129,Aux aubergines grillées - Ensoleil'ade Cuisine - 200gr,3585510022119,"[""Ensoleil'ade Cuisine""]",,['France'],[],[],?,232,971 kj(232 kcal),20,"1,5","5,8","3,4","6,5","0,9","0,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,200 gr,,,,,,,,,,,,,,,
130,Figues moelleuses et epices - Sud'n'sol,3585510022324,"[""Sud'n'sol""]",,['France'],[],[],?,209,874 kj(209 kcal),"9,5","1,2",28,26,"1,6","0,9","0,36",,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Figues', 'Figues moelleuses']",9.5 g,en quantité modérée,1.2 g,en faible quantité,26 g,en quantité élevée,0.9 g,en quantité modérée,,-19%,-20%,+564%,+348%,-49%,-41%,-50%,+473%,+473%,6,+135%,C,+135%,,,,,B,85.7%,0.0%,0.0%,6.9%,5.6%,1.8%,86,,,,,
131,Tapenade edamame menthe -,3585510022737,,,"['France', 'Espagne']",[],[],?,318,1331 kj(318 kcal),30,"2,3","2,3",1,"7,1","0,9","0,36",,,,"['Produits à tartiner', 'Produits à tartiner salés', 'Tapenades']",30 g,en quantité élevée,2.3 g,en quantité modérée,1 g,en faible quantité,0.9 g,en quantité modérée,,+24%,+24%,+21%,-32%,-24%,+89%,+310%,-70%,-70%,4,-72%,C,-72%,,,,,C,58.6%,12.7%,16.0%,8.1%,2.7%,1.9%,71,,,,,
132,Tapenade betteraves saveur framboise - Sud'n'sol,3585510022850,"[""Sud'n'sol""]",,['France'],[],[],?,206,862 kj(206 kcal),19,"1,3","4,9","4,7","2,2","0,8","0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,Creamy poivrons,3585510022898,,,['France'],[],[],?,235,983 kj(235 kcal),20,"6,2",8,"7,3","4,7","1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,Les festifs - Sud'n'sol,3585510023192,"[""Sud'n'sol""]",,['France'],"['olives Noceliara ', 'sel', ' 875/5', 'huile de tournesol', 'citron confit ', 'citron', 'eau', 'sel', ""huile d'olive"", 'ail', 'persil', 'origan', ' Ingrediënten : Nocellara olijf ', 'zout', ' 87', '5%', 'zonnebloemolie', 'anfijte citroen ', 'citroen', 'water', 'zout', 'olijfolie', 'look', 'peterseliet etigan']",[],?,255,1067 kj(255 kcal),"2,4","2,2","5,4",4,"1,8","1,7","0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['en:gluten-free'],,,,,,,,,,,,,
135,Tartare de tomates confites - Sud'n'sol,3585510023895,"[""Sud'n'sol""]",,['France'],[],[],?,207,866 kj(207 kcal),17,"1,7","8,4",7,"2,4",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,Steaks de poivrons tomates - Sud’n’sol,3585510024199,['Sud’n’sol'],,['France'],"['Poivrons grillés 22,5%', 'tomates mi-séchées 21 % ? Eau', 'protéines de pois 11%', 'Concentré de tomate', 'Huile de colza', 'Fécule de pomme-de-terre', 'Ail', 'persil', 'origan', 'sel', 'Fibre de pois', 'amidon de pois', 'jus de citron concentré']",[],?,153,640 kj(153 kcal),"7,6","0,9","11,2","4,3","8,9","1,55","0,62",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['en:gluten-free', 'Sans additifs', 'Sans conservateurs']",,,,,,,,,,,,,
137,Bruschetta - Ensoleil'ade,3585510024335,"[""Ensoleil'ade""]",,['France'],"['tomates confites marinées ', 'tomate mi?séchées 89%', 'huile de colza', 'sel', 'jus de citron concentré', 'persil', 'basilic 0,2%', 'arôme basilic', 'concentré de tomate', 'huile de colza']",[],?,183,766 kj(183 kcal),14,"1,1","8,7","8,1","2,7",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,Bruschetta tomates confites & olives,3585510024359,,,['France'],[],[],?,203,849 kj(203 kcal),17,"1,6",7,"5,6","2,5","1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,Creamy Tomates,3585510024847,,,['France'],[],[],?,23,96 kj(23 kcal),20,"6,1","7,6","6,7","4,7","1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Sans conservateurs'],,,,,,,,,,,,,
140,Creamy poivron - Ensoleil'ade,3585510024861,"[""Ensoleil'ade""]",,['France'],"['poivrons mi-séchés 29%', 'fromage fouetté ', 'fromage frais*', 'sel', 'fromage blanc ', 'lait écremé*', 'crème*', 'ferments lactiques', 'huile de colza', 'concentré de tomates', 'sel', 'jus de citron concentré ail', 'sucre', ' *ingrédients laitiers issus de lait asteurisé']",['Non végétalien'],?,232,971 kj(232 kcal),20,"6,1","7,9","7,2","4,6","1,2","0,48",,['Lait'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,Tapena Patate douce grillée à la muscade - Sud'n'sol,3585510025035,"[""Sud'n'sol""]",,['France'],[],[],?,311,1301 kj(311 kcal),25,2,18,"5,4","1,1","0,8","0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Sans conservateurs'],,,,,,,,,,,,,
142,L'apéritif Tomates Marinés,3585510026032,,,['France'],[],[],?,249,1042 kj(249 kcal),22,"1,7","7,3",7,"2,3","1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,Veg a table - Sud'n'sol,3585510026247,"[""Sud'n'sol""]",,['France'],[],[],?,125,523 kj(125 kcal),5,"0,5","9,7","3,5","8,7","1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Sans conservateurs'],,,,,,,,,,,,,
144,Tapenade asperges grillees,3585510027114,,,['France'],[],[],?,198,828 kj(198 kcal),19,"1,5","2,8","2,2","2,2",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,Sablé aux amandes,3585730000461,,,['France'],[],[],?,517,2163 kj(517 kcal),"25,7","13,2","61,3","25,5","9,2","0,775","0,31",,,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits sablés', 'Sablés aux amandes']",25.7 g,en quantité élevée,13.2 g,en quantité élevée,25.5 g,en quantité élevée,0.775 g,en quantité modérée,,+6%,+5%,+10%,-5%,-3%,+0%,+48%,+13%,+13%,24,+10%,E,+10%,,,,"['Sans arômes artificiels', 'Sans colorants', 'Sans conservateurs']",C,80.5%,11.6%,3.5%,2.3%,2.1%,0.0%,56,,,,,
146,Croq' Framboise - La Sablésienne - 70g,3585730000522,['La Sablésienne'],['Magasins U'],['France'],"['Sucre', ""blancs d'_œufs,_ pépites framboises 7% "", 'purée de framboise', 'saccharose', 'pomme', 'dextrose', ""fibre d'ananas"", 'arôme']",['Non végétalien'],?,309,1293 kj(309 kcal),0,0,75,74,"2,3",,,,['Œufs'],4,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Pâtisseries', 'Meringues']",0 g,en faible quantité,0 g,en faible quantité,74 g,en quantité élevée,,,,-18%,-18%,-100%,-100%,-14%,-11%,-43%,,,,,,,,70 g,"['Carton', 'boîte', 'Plastique']",,C,75.1%,13.4%,5.0%,3.4%,3.0%,0.0%,72,,,,,
147,Meringue à la Framboise - La Sablésienne - 70g,3585730000782,['La Sablésienne'],,['France'],"['Sucre', 'blancs d’œufs', 'pépites de framboise 11 % ', 'purée de framboise', 'saccharose', 'pomme', 'dextrose', ""fibre d'ananas arôme naturel""]",['Non végétalien'],?,309,1293 kj(309 kcal),0,0,75,74,"2,3",,,,['Œufs'],4,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Pâtisseries', 'Meringues']",0 g,en faible quantité,0 g,en faible quantité,74 g,en quantité élevée,,,,-18%,-18%,-100%,-100%,-14%,-11%,-43%,,,,,,,,70 g,"['Sachet', 'Plastique']","['Sans arômes artificiels', 'Fabriqué en France', 'Sans colorants', 'Sans conservateurs']",C,75.1%,13.4%,5.0%,3.4%,3.0%,0.0%,72,"['France', 'Sablé']",,,,
148,Fondant aux pépites d'orange et gouttes de chocolat,3585730000799,,,['France'],[],[],?,417,1745 kj(417 kcal),23,14,47,"26,5","5,6","0,25","0,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,Sablé au caramel beurre salé - La Sablésienne,3585730000928,['La Sablésienne'],,['France'],"['Farine de blé', 'beurre frais 20', '9%', 'sucre', ' éclats de caramel au beurre salé 5', '1 % ', 'sucre', 'sirop de glucose', 'lait', 'beurre 10%', 'sel de Guérande 0,3%', 'arôme naturel', 'oeufs', 'sel', 'lait écrémé en poudre', 'poudre à lever : bicarbonate de sodium', ' Fabriqué dans un atelier qui utilise également du sésame,du soja des fruits à coque et des céréales contenant du gluten', "" A oh erver à l'abri de la lumière"", ""de la chaleur et de l'humidité""]",['Non végétalien'],?,502,2100 kj(502 kcal),"22,2","14,6",68,"21,8","7,6","0,8","0,32",['E500ii - Carbonate acide de sodium'],"['Œufs', 'Gluten', 'Lait']",4,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits sablés', 'Sablés au beurre']",22.2 g,en quantité élevée,14.6 g,en quantité élevée,21.8 g,en quantité élevée,0.8 g,en quantité modérée,,+3%,+2%,-3%,+1%,+7%,-15%,+18%,+20%,+20%,23,-0%,E,-0%,,,,"['Sans arômes artificiels', 'Fabriqué en France', 'Sans colorants', 'Sans conservateurs']",C,80.5%,11.6%,3.5%,2.3%,2.1%,0.0%,56,,,,,
150,Petits sables,3585730001123,,,['France'],[],[],?,493,2063 kj(493 kcal),"21,7",15,"66,3","32,1","6,8","0,68","0,272",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,Marquise de sablé - La Sablésienne,3585730002038,['La Sablésienne'],,['France'],"['Farina da BUE ', 'BEURRE frais 21', '2%', 'sucre', 'OEUFS ', 'sel', 'LAIT écrémé en poudre', 'poudre à lever: bicarbonate de sodium']",['Non végétalien'],?,497,2079 kj(497 kcal),21,"14,5",70,27,"6,5","0,875","0,35",['E500ii - Carbonate acide de sodium'],"['Œufs', 'Lait']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,Sablé pur beurre - La Sablésienne,3585730002205,['La Sablésienne'],['Magasins U'],['France'],"['Ingrédients: Farine de blé', 'beurre frais 21,1%', 'sucre', 'oeufs', 'sel', 'lait écrémé en poudre', 'poudre à lever', 'bicarbonate de sodium']",['Non végétalien'],?,497,2079 kj(497 kcal),21,"14,5",70,27,"6,5","0,875","0,35",['E500ii - Carbonate acide de sodium'],['Œufs'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,Sablé nature,3585730002465,,,['France'],[],[],?,497,2079 kj(497 kcal),21,"14,5",70,27,"6,5","0,875","0,35",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
