,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,brand,allergens,additives,nova_score,quantity,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,labels,eco_score,generic_name,packaging,ingredients_origins,traceability_code,markets,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,manufacturing,link,palm_ingredients
1236,Yopa! craquant sur lit de graines & ananas pomme banane - Yoplait - 280g (2x 140g),3329770055568,['France'],"['Yaourt maigre 80% ', 'lait écrémé', 'poudre de lait écrémé', 'ferments lactiques', 'sucre 10,2%', 'fruits 5,6% ', 'ananas 2,1%', 'pomme 2%', 'banane 1,5%', 'graines ,5% ', 'graines de tournesol 1,8%', 'graines de potiron 1,3%', 'graines de lin 0,4%', 'jus de citron', 'amidon de maïs', 'épaississants : carraghénanes', 'gomme de guar', 'arôme naturel']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",464,?,464 kj(111 kcal),"1,6","0,2","14,5","13,8","8,1","0,11","0,044","['Yoplait', 'Yopa!']","['Lait', 'Graines de tournesol', 'Graines de tournesol']","['E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E412 - Gomme de guar']",4,280 g (2 x 140 g),"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts aux fruits', 'Yaourts sur lit de fruits']",1.6 g,en faible quantité,0.2 g,en faible quantité,13.8 g,en quantité élevée,0.11 g,en faible quantité,+8%,,+7%,-50%,-90%,+8%,+10%,+65%,0%,0%,-1,-144%,A,-144%,"['Point Vert', 'Riche en protéines']",B,"Recette au yaourt nature, sur lit d'ananas pomme banane et graines","['Etui', 'Carton']",,"['FR 72.181.001 CE', 'Mans (Sarthe, France)']",['Cora'],79.1%,8.8%,4.4%,4.5%,2.5%,0.7%,69,,,
1237,"Yaourt sucré, aux fruits - Yoplait - 1000g",3329770055636,['France'],"['Yaourt ', 'LAIT écrémé à base de poudre de LAIT - LAIT écrémé - CREME - Poudre de LAIT écrémé - Ferments LACTIQUES ', 'LAIT', ' - Fruits : Fraise 10', '8% ou Framboise 9', '4% ou Cerise 8% ou Mûre 8% - Sucre 9', '1% - Amidon transformé de maïs - Jus de carotte - Epaississant : Carraghénanes - Arômes naturels – Concentré des minéraux du LAIT', "" LAIT d'origine France""]",['Non végétalien'],393,93,393 kj(93 kcal),"2,6","1,7","13,1","12,7","3,2","0,12","0,048","['Yoplait', 'Tentation']",['Lait'],"['E14XX - Amidons modifiés', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition']",4,1000 g,,,,,,,,,,,,,,,,,,,,,,,,['Sans colorants'],,"Yaourt sucré, aux fruits",,,"['FR 38.544.004 CE', 'Vienne (Isère, France)']",,,,,,,,,,,
1238,"Yaourt sucré, aux fruits - Yoplait - 1000g",3329770055643,['France'],"['Yaourt ', 'LAIT écrémé à base de poudre de LAIT - LAIT écrémé - CREME - Poudre de LAIT écrémé - Ferments LACTIQUES ', 'LAIT', ' - Fruits : Pêche 11', '3% ou Abricot 11', '1% ou Ananas 10', '6% ou Poire 8% - Sucre 8', ""9% - Jus de carotte - Amidon transformé de maïs - Arômes naturels - Epaississants : Carraghénanes - Jus de potiron - Concentré des minéraux du LAIT - LAIT D'ORIGINE FRANCE""]",['Non végétalien'],393,93,393 kj(93 kcal),"2,6","1,7","13,3","12,9","3,1","0,12","0,048","['Yoplait', 'Tentation']",['Lait'],"['E14XX - Amidons modifiés', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition']",4,1000 g,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts aux fruits', 'Yaourts sucrés']",2.6 g,en faible quantité,1.7 g,en quantité modérée,12.9 g,en quantité élevée,0.12 g,en faible quantité,-2%,-3%,-3%,-16%,-15%,+3%,+5%,-12%,+5%,+5%,3,+3%,C,+3%,"['Fabriqué en France', 'Sans colorants', 'Sans conservateurs', 'Eco Emballages']",C,"Yaourt sucré, aux fruits","['Carton', 'pots plastique']",,"['EMB 72181', 'Mans (Sarthe, France)', 'FR 72.181.001 CE', 'Mans (Sarthe, France)', 'EMB 38544', 'Vienne (Isère, France)', 'FR 38.544.004 CE', 'Vienne (Isère, France)']",['Leader Price'],79.1%,8.8%,4.4%,4.5%,2.5%,0.7%,69,['France'],,
1239,Panier de Yoplait 0% Tentation,3329770055650,['France'],[],[],?,42,176 kj(42 kcal),"0,1",0,"5,2","4,9",4,"0,16","0,064",['Yoplait'],,,,,,,,,,,,,,,,,,,,,,,,,,,,"['en:gluten-free', 'Sans colorants']",,,,,,,,,,,,,,,,
1240,Dessert lacté au chocolat - Yoplait - 808g,3329770055728,['France'],"['LAIT écrémé - Sucre 9', '9% - CREME - Cacao maigre 2', '3% - Chocolat 2', '2% ', 'Sucre', 'Pâte de cacao', ' - Cacao 2', ""1% - Poudre de LAIT écrémé - Amidon transformé de maïs - Gélatine bovine - Emulsifiant : Esters lactiques des mono et diglycérides d'acides gras - Epaississant : Carraghénanes - Correcteur d'acidité : Carbonates de sodium"", 'Peut contenir des traces de SOJA']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",505,120,505 kj(120 kcal),"3,2",2,"17,2","15,6","4,6","0,24","0,096","['Yoplait', 'Ile gourmande']",['Lait'],"['E14XX - Amidons modifiés', 'E428 - Gélatine', ""E472b - Ester diacétyl-lactique de mono- et diglycérides d'acides gras"", 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E500 - Carbonates de sodium']",4,808 g,"['Produits laitiers', 'Desserts', 'Desserts lactés', 'Desserts au chocolat', 'Desserts lactés au chocolat']",3.2 g,en quantité modérée,2 g,en quantité modérée,15.6 g,en quantité élevée,0.24 g,en faible quantité,-22%,-22%,-21%,-49%,-50%,-9%,-6%,+20%,+56%,+56%,3,-56%,C,-56%,['Point Vert'],,Dessert lacté au chocolat,"['Pot', 'Plastique', 'Opercule', 'Carton', 'Frais']",,"['FR 38.544.004 CE', 'Vienne (Isère, France)']",,,,,,,,,,,
1241,Yopa craquant - Yoplait,3329770055759,['France'],[],[],?,102,427 kj(102 kcal),"1,6","0,2","12,5","11,9","8,1","0,12","0,048",['Yoplait'],,,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts aux fruits', 'Yaourts allégés en matière grasse', 'Yaourts sur lit de fruits']",1.6 g,en faible quantité,0.2 g,en faible quantité,11.9 g,en quantité modérée,0.12 g,en faible quantité,,+65%,+76%,+193%,-35%,+60%,+65%,+76%,-18%,-18%,-2,,A,,['Riche en protéines'],C,,,,,,79.1%,8.8%,4.4%,4.5%,2.5%,0.7%,69,,,
1242,Petit Filou Gourde Fraise 80G - Yoplait,3329770055803,['France'],"['Lait écrémé à base de poudre de lait', 'lait écrémé', 'crème', 'Sucre 6', '3%', 'Fraise 5%', 'Poudre de lait écrémé', 'Jus de carotte', 'Amidon de maïs', 'Jus de citron', 'Concentré des minéraux du lait', ' Epaississant : gomme de guar', 'Arôme naturel', 'Ferments lactiques', 'Vitamine D']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",?,84,351 kj(84 kcal),"2,8","1,9","10,2","9,9","3,4","0,14","0,056",['Yoplait'],['Lait'],['E412 - Gomme de guar'],4,80g,"['Boissons', 'Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Boissons lactées', 'Boissons fermentées', 'Boissons lactées fermentées', 'Yaourts', 'Yaourts à boire', 'Yaourts aux fruits', 'Yaourts à la fraise', 'Boissons avec sucre ajouté', 'Yaourts sucrés']",2.8 g,en quantité modérée,1.9 g,en quantité modérée,9.9 g,en quantité élevée,0.14 g,en faible quantité,,-14%,-14%,-6%,0%,-23%,-20%,-7%,+31%,+31%,18,+569%,E,+569%,['en:gluten-free'],D,Gourde Fraise,"['Gourde', 'Plastique']",['France'],"['FR 73.001.008 CE', 'Aiguebelette-le-Lac (Savoie, France)', 'FR 38.544.004 CE', 'Vienne (Isère, France)']",['Carrefour'],79.1%,8.8%,4.4%,4.5%,2.5%,0.7%,21,,,
1243,Yaourt nature sur lit de fraise Yopa! - Yoplait - 600g (6x 100g),3329770056022,['France'],"['Yaourt maigre 82% ', 'Lait écrémé', 'Poudre de lait écrémé', 'ferments lactiques ', 'Lait', ' - Fraise 9% - Sucre 7,2% - Amidon de maïs - Jus concentré de carotte - Jus de citron - Epaississants : Carraghénanes', 'gomme de guar - Arôme naturel', "" Lait d'origine France""]","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",?,80,335 kj(80 kcal),"0,1","0,1","11,1","10,7","7,5","0,12","0,048","['Yoplait', 'Yopa!']",['Lait'],"['E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E412 - Gomme de guar']",4,600 g (6 x 100 g),"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts aux fruits', 'Yaourts à la fraise', 'Yaourts sur lit de fruits']",0.1 g,en faible quantité,0.1 g,en faible quantité,10.7 g,en quantité modérée,0.12 g,en faible quantité,,-25%,-23%,-97%,-95%,-17%,-14%,+52%,+9%,+9%,-2,-188%,A,-188%,"['Peu ou pas de matière grasse', 'Riche en protéines', 'Sans matière grasse']",C,,,,,,79.1%,8.8%,4.4%,4.5%,2.5%,0.7%,69,,,
1244,Yaourt à boire sucré aromatisé - Yoplait - 1080g,3329770056053,['France'],"['LAIT écrémé à base de poudre de LAIT - Sucre 7,9% - CREME – Arôme naturel – Concentré des minéraux du LAIT – FERMENTS LACTIQUES ', 'LAIT', ' – Vitamine D', "" LAIT D'ORIGINE FRANCE""]","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",276,65,276 kj(65 kcal),"0,8","0,5","10,5","10,5",3,"0,12","0,048","['Yoplait', ""Yop p'tit yop""]",['Lait'],,4,1080 g,"['Boissons', 'Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Boissons lactées', 'Boissons fermentées', 'Boissons lactées fermentées', 'Yaourts', 'Yaourts à boire']",0.8 g,en faible quantité,0.5 g,en faible quantité,10.5 g,en quantité élevée,0.12 g,en faible quantité,-10%,-10%,-9%,-47%,-47%,-7%,-2%,+3%,+13%,+13%,17,+6%,E,+6%,,E,Yaourt à boire sucré aromatisé,,,,,67.5%,13.2%,8.7%,6.1%,3.6%,1.0%,32,,,
1245,Calin - Yoplait,3329770056411,['France'],[],[],?,51,213 kj(51 kcal),"0,1","0,1","4,6","4,6","7,9","0,08","0,032",['Yoplait'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1246,Yop #Summer Fresh - Yoplait - 850g,3329770056787,['France'],"['Lait partiellement écrémé à buse de poudra de lait - Sucre 6% - Sirop de glucose-fructose 3', '8% - Arôme naturel - Concentré des minéraux du lait - ferments lactiques ', 'lait']",['Non végétalien'],305,?,305 kj(73 kcal),"1,3","0,9","11,3","10,9","2,8","0,13","0,052",['Yoplait'],['Lait'],,4,850 g,"['Boissons', 'Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Boissons lactées', 'Boissons fermentées', 'Boissons lactées fermentées', 'Yaourts', 'Yaourts à boire', 'Boissons avec sucre ajouté', 'Boissons sans sucre ajouté']",1.3 g,en faible quantité,0.9 g,en quantité modérée,10.9 g,en quantité élevée,0.13 g,en faible quantité,-0%,,+0%,-14%,-5%,0%,+2%,-3%,+23%,+23%,18,+12%,E,+12%,"['Point Vert', 'Arômes naturels', 'Sans colorants', 'en:lait-francais-french-milk']",C,Yaourt à boire parfum tropical & fresh,"['Frais', 'Plastique', 'Bouteille']",['France'],"['FR 89.263.001 CE', 'Monéteau (Yonne, France)']",['Super U'],67.5%,13.2%,8.7%,6.1%,3.6%,1.0%,32,['France'],,
1247,Panier de Yoplait Extra Mandarine - 480g (4 * 120g),3329770056831,"['Belgique', 'France']","['Lait écrémé', ' mandarine 10%', ' eau', ' poudre de lait écrémé', ' amidon transformé de maïs', ' sucre 0,8%', ' jus de carotte', ' épaississants: gomme guar', 'carraghénanes', "" correcteurs d'acidité: acide citrique"", 'citrates de sodium', ' édulcorants: aspartame', 'acesulfame K', ' arômes', ' ferments lactiques']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",244,?,244 kj(58 kcal),"0,1","< 0,1","5,4","4,7","7,8","0,13","0,052",['Yoplait'],['Lait'],"['E14XX - Amidons modifiés', 'E412 - Gomme de guar', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique', 'E331 - Citrates de sodium', 'E951 - Aspartame', 'E950 - Acésulfame K']",4,480 g (4 * 120 g),"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts aux fruits', 'Yaourts sur lit de fruits']",0.1 g,en faible quantité,0.1 g,en faible quantité,4.7 g,en faible quantité,0.13 g,en faible quantité,-43%,,-44%,-97%,-95%,-60%,-62%,+59%,+18%,+18%,-3,-232%,A,-232%,"['Peu ou pas de matière grasse', 'Peu ou pas de sucre', 'Peu de sucre', 'en:gluten-free', 'Allégé en sucre', 'Sans matière grasse']",C,spécialité laitière sur lit de fruits avec sucres et édulcorants,"['Carton', 'Pots', 'Plastique', 'Opercule', 'Aluminium']",,"['FR 72.181.001 CE', 'Mans (Sarthe, France)']",['Auchan'],79.1%,8.8%,4.4%,4.5%,2.5%,0.7%,69,['France'],http://www.yoplait.fr,
1248,Panier de Yoplait Extra Cerise - 480g (4 * 120g),3329770056855,"['Belgique', 'France']","['Lait écrémé', ' Cerise 12%', ' Eau', ' Poudre de lait écrémé', ' Jus de carotte', ' Amidon transformé de mais', ' Sucre 0', '5%', ' Épaississants: Carraghénanes', 'Gomme guar', ' Correcteurs d‘acidité: Citrates de sodium', 'Acide citrique', ' Édulcorants: Aspartame', 'Acesulfame K', ' Arômes', ' Ferments lactiques']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",244,?,244 kj(58 kcal),"0,1","< 0,1","5,2","4,6","7,8","0,17","0,068",['Yoplait'],['Lait'],"['E14XX - Amidons modifiés', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E412 - Gomme de guar', 'E331 - Citrates de sodium', 'E330 - Acide citrique', 'E951 - Aspartame', 'E950 - Acésulfame K']",4,480 g (4 * 120 g),"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts aux fruits', 'Yaourts allégés en matière grasse', 'Yaourts sucrés', 'Yaourts sur lit de fruits']",0.1 g,en faible quantité,0.1 g,en faible quantité,4.6 g,en faible quantité,0.17 g,en faible quantité,+14%,,+1%,-82%,-67%,-34%,-36%,+70%,+16%,+16%,-3,,A,,"['Peu ou pas de matière grasse', 'Peu ou pas de sucre', 'Peu de sucre', 'en:gluten-free', 'Allégé en sucre', 'Sans matière grasse']",C,spécialité laitière sur lit de fruits avec sucres et édulcorants,"['Carton', 'Plastique', 'Pot']",,"['FR 72.181.001 CE', 'Mans (Sarthe, France)']",['Carrefour'],79.1%,8.8%,4.4%,4.5%,2.5%,0.7%,69,['France'],http://www.yoplait.fr,
1249,P'tit Yop - Yoplait - 1080g (6 * 180g),3329770057074,['France'],"['Lait partiellement écrémé à base de poudre de lait - Sucre : 6% - Sirop de glucose-fructose : 3', '8% - Arôme naturel - Concentré des minéraux du lait - Ferment lactiques']",['Non végétalien'],303,?,303 kj(72 kcal),"1,3","0,9","11,2","10,9","2,8","0,12","0,048",['Yoplait'],['Lait'],,4,1080 g (6 * 180 g),"['Boissons', 'Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Boissons lactées', 'Boissons fermentées', 'Boissons lactées fermentées', 'Yaourts', 'Yaourts à boire', 'Yaourts aromatisés', 'Boissons avec sucre ajouté', 'Yaourts à boire goût framboise']",1.3 g,en faible quantité,0.9 g,en quantité modérée,10.9 g,en quantité élevée,0.12 g,en faible quantité,-18%,,-20%,-53%,-49%,-10%,-8%,-21%,+5%,+5%,18,+433%,E,+433%,"['en:gluten-free', 'Source de calcium', 'Point Vert', 'Arômes naturels']",D,Yaourt à boire sucré aromatisé,"['Frais', 'Plastique', 'Carton']",,,['Super U'],58.5%,18.6%,8.7%,7.9%,5.0%,1.4%,45,['France'],,
1250,Calin nature 0% - Yoplait - 1kg,3329770057173,['France'],[],[],?,?,,?,,?,,?,,,['Yoplait'],,,,1kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1251,Yo Fruit Fraise - Yoplait - 191g,3329770057180,['France'],"['Yaourt ', 'Lait écrémé', 'Crème', 'Babeurre', 'Ferments lactiques', ' - Fraise 8% - Sucre 6', ""9% - Jus de carotte - Amidon transformé de maïs - Arômes - Correcteurs d'acidité : Acide citrique"", 'Citrates de sodium - Epaississant : Carraghénanes']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",296,70,296 kj(70 kcal),"1,5","0,9","10,7","10,5","2,8","0,08","0,032",['Yoplait'],['Lait'],"['E14XX - Amidons modifiés', 'E330 - Acide citrique', 'E331 - Citrates de sodium', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition']",4,191 g,"['Boissons', 'Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Boissons lactées', 'Boissons fermentées', 'Boissons lactées fermentées', 'Yaourts', 'Yaourts à boire', 'Yaourts aux fruits', 'Yaourts à la fraise', 'Boissons avec sucre ajouté', 'Yaourts sucrés']",1.5 g,en quantité modérée,0.9 g,en quantité modérée,10.5 g,en quantité élevée,0.08 g,en faible quantité,-26%,-29%,-27%,-50%,-53%,-19%,-15%,-24%,-25%,-25%,17,+532%,E,+532%,,E,Yaourt à boire sucré à la fraise,"['Plastique', 'Pot']",,['CH 2410'],['SImply Market'],79.1%,8.8%,4.4%,4.5%,2.5%,0.7%,21,['Suisse'],,
1252,"Petits Filous Tub's Goût Fraise, Pêche, Framboise - Yoplait - 240g (12 * 40g)",3329770057258,"['Belgique', 'France']","['Lait écrémé - Eau - Sucre 7% - Crème - Poudre de lait écrémé - Fructose 2', ""8% - Amidon transformé de manioc et de maïs - Phosphate de Calcium - Acidifiant: Acide citrique - Épaississant : Gomme guar - Arômes naturels - Conservateur: Sorbate de potassium - Ferments lactiques - Correcteur d'acidité : Citrates de sodium - Vitamine D""]","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",?,92,385 kj(92 kcal),"2,8","1,9","12,1","10,9","3,6","0,13","0,052","['Yoplait', 'Petits Filous']",['Lait'],"['E14XX - Amidons modifiés', 'E330 - Acide citrique', 'E412 - Gomme de guar', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E331 - Citrates de sodium']",4,240 g (12 * 40 g),"['Boissons', 'Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Boissons lactées', 'Boissons fermentées', 'Boissons lactées fermentées', 'Yaourts', 'Yaourts à boire']",2.8 g,en quantité modérée,1.9 g,en quantité modérée,10.9 g,en quantité élevée,0.13 g,en faible quantité,,+28%,+27%,+85%,+101%,+7%,+2%,+24%,+23%,+23%,19,+19%,E,+19%,"['Sans arômes artificiels', 'Point Vert', 'Arômes naturels', 'Sans colorants']",E,Fromage frais sucré aromatisé enrichi en vitamine D.,"['Frais', 'Carton', 'Plastique', 'Stick']",,,"['Super U', 'Magasins U', 'Delhaize']",67.5%,13.2%,8.7%,6.1%,3.6%,1.0%,32,['France'],https://www.yoplait.fr/produits/petits-filous-tubs/,
1253,"Petits Filous Tub's (Fraise-Banane, Vanille) - Yoplait - 12 * 40g (480g)",3329770057388,['France'],"['Lait écrémé', 'sucre 7,8 %', 'crème', 'poudre de lait écrémé', 'amidon transformé de manioc et de maïs', 'citrate de calcium', 'épaississant : gomme guar', 'arômes naturels', 'acidifiant : acide citrique', 'conservateur : sorbate de potassium', 'ferments lactiques ', 'lait', 'vitamine D']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",380,?,380 kj(91 kcal),"2,8","1,9",12,"10,9","3,3","0,13","0,052",['Yoplait'],['Lait'],"['E14XX - Amidons modifiés', 'E412 - Gomme de guar', 'E330 - Acide citrique', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",4,12 * 40 g (480 g),"['Boissons', 'Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Boissons lactées', 'Boissons fermentées', 'Boissons lactées fermentées', 'Yaourts', 'Yaourts à boire', 'Yaourts aromatisés', 'Boissons avec sucre ajouté', 'Yaourts sucrés']",2.8 g,en quantité modérée,1.9 g,en quantité modérée,10.9 g,en quantité élevée,0.13 g,en faible quantité,+2%,,0%,+1%,+9%,-3%,-8%,-7%,+14%,+14%,19,+462%,E,+462%,"['en:gluten-free', 'Arômes naturels', 'Sans colorants', 'en:lait-francais-french-milk']",C,,"['Carton', 'Plastique']",['France'],,['Cora'],58.5%,18.6%,8.7%,7.9%,5.0%,1.4%,45,,,
1254,Yaourts aux fruits Panier de Yoplait L’Original - 16,3329770057531,['France'],"['Yaourt ', 'Lait écrémé à base de poudre de lait - Lait écrémé - Crème - Poudre de lait écrémé - Ferments lactiques', ' - Fruits : Pêche 1 1', '3% ou Abricot 11', '1 % ou Fraise 10', '8% ou Cerise 10', '7% ou Ananas 10', '6% ou Mûre - Sucre 8', ""9% - Jus de carotte - Amidon transformé de maïs - Jus de potiron - Epaississant : Carraghénanes - Correcteurs d'acidité : Citrates de potassium"", 'Citrates de sodium', 'Acide citrique - Arômes naturels']",['Non végétalien'],?,93,389 kj(93 kcal),"2,6","1,7","13,2","12,8","3,2","0,13","0,052",['Yoplait'],['Lait'],"['E14XX - Amidons modifiés', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E332 - Citrates de potassium', 'E331 - Citrates de sodium', 'E330 - Acide citrique']",4,16,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts']",2.6 g,en faible quantité,1.7 g,en quantité modérée,12.8 g,en quantité élevée,0.13 g,en faible quantité,,+1%,+1%,-20%,-17%,+20%,+27%,-15%,+13%,+13%,3,-2%,C,-2%,"['en:gluten-free', 'Sans colorants']",,"YAOURT SUCRÉ, AUX FRUITS INGRÉDIENTS",,,,,,,,,,,,,,
1255,Yaourt à boire sucré aromatisé - Yop - 1440g,3329770057616,['France'],"['LAIT écrémé à base de poudre de LAIT - Sucre 7,9% - CREME – Arôme naturel – Concentré des minéraux du LAIT – Ferments lactiques ', 'LAIT', ' – Vitamine D', "" LAIT D'ORIGINE FRANCE""]","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",277,65,277 kj(65 kcal),"0,8","0,5","10,6","10,5",3,"0,12","0,048","['Yop', 'Yoplait', ""Yop p'tit yop""]",['Lait'],,4,1440 g,"['Boissons', 'Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Boissons lactées', 'Boissons fermentées', 'Boissons lactées fermentées', 'Yaourts', 'Yaourts à boire', 'Boissons avec sucre ajouté']",0.8 g,en faible quantité,0.5 g,en faible quantité,10.5 g,en quantité élevée,0.12 g,en faible quantité,-9%,-10%,-9%,-47%,-47%,-6%,-2%,+3%,+13%,+13%,17,+6%,E,+6%,['en:gluten-free'],E,YAOURT À BOIRE SUCRÉ AROMATISÉ,,,,,67.5%,13.2%,8.7%,6.1%,3.6%,1.0%,32,,,
1256,Yaourt 100% Lait de Brebis sur lit de cerises - Yoplait - 460g (4 * 115g),3329770057760,['France'],"['Lait de brebis partiellement écrémé - Cerise 10% - Sucre 7', '6% - Amidon de maïs - Épaississants : Carraghénanes', 'Gomme de guar - Jus de carotte - Arôme - Correcteur d‘acidité: Citrates de sodium - Jus de citron - Ferments lactiques', ' Sans gluten']",[],360,?,360 kj(86 kcal),2,"1,8","12,1","11,5","4,5","0,11","0,044",['Yoplait'],['Lait'],"['E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E412 - Gomme de guar', 'E331 - Citrates de sodium']",4,460 g (4 * 115 g),"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts aux fruits', 'Yaourts à la cerise', 'Yaourts au lait de brebis', 'Yaourts sur lit de fruits']",2 g,en faible quantité,1.8 g,en quantité modérée,11.5 g,en quantité modérée,0.11 g,en faible quantité,-14%,,-15%,-36%,-12%,-14%,-11%,+23%,-6%,-6%,2,-32%,B,-32%,"['Sans gluten', 'Fabriqué en France']",C,yaourt nature au lait de brebis sur lit de cerises,"['Carton', 'Pot', 'Plastique']",,"['FR 31.555.001 CE', 'Toulouse (Haute-Garonne, France)']",['Leclerc'],79.1%,8.8%,4.4%,4.5%,2.5%,0.7%,69,['France'],,
1257,Yaourt 100% lait de brebis sur lit de figue - Yoplait - 460g (4x 115g),3329770057777,['France'],"['Lait de brebis partiellement écrémé - Figue 10% - Sucre 7', '6% - Amidon de mais - Jus de citron - Épaississants : Carraghénanes', ""Gomme de guar - Arôme - Correcteur d'acidité : Citrates de sodium - Ferments lactiques""]",[],359,?,359 kj(86 kcal),2,"1,8",12,"11,8","4,6","0,11","0,044",['Yoplait'],['Lait'],"['E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E412 - Gomme de guar', 'E331 - Citrates de sodium']",4,460 g (4 x 115 g),"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts aux fruits', 'Yaourts aux figues', 'Yaourts au lait de brebis', 'Yaourts sur lit de fruits']",2 g,en faible quantité,1.8 g,en quantité modérée,11.8 g,en quantité modérée,0.11 g,en faible quantité,,,-18%,-50%,-29%,-10%,-9%,+40%,+11%,+11%,2,-46%,B,-46%,"['en:gluten-free', 'Fabriqué en France']",C,Yaourt au lait de brebis sur lit de figues,"['Frais', 'étuis carton', 'pot plastique', 'opercule papier']",,"['FR 31.555.001 CE', 'Toulouse (Haute-Garonne, France)']",['Leclerc'],79.1%,8.8%,4.4%,4.5%,2.5%,0.7%,69,['France'],http://www.yoplait.fr,
1258,C'est bon de varier - Yoplait,3329770057784,['France'],[],[],?,84,351 kj(84 kcal),?,"1,8",?,"11,1","4,5","0,11","0,044",['Yoplait'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
