,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,labels,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand,quantity,markets,packaging,traceability_code,ingredients_origins,generic_name,manufacturing,additives,allergens,nova_score,origin_detail,link,brand_owner
392,Cuisse de dinde,2124896002806,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
393,Mimolette demie vieille,2862408020992,['France'],[],[],?,368,1540 kj(368 kcal),28,20,"0,01","0,01",29,,"2,5",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 59.343.030 CE', 'Lesquin (Nord, France)']",,,,,,,,,
394,Huile de soja,8436548623630,['France'],[],[],?,900,3766 kj(900 kcal),100,15,0,0,0,,0,0,C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Matières grasses', 'Matières grasses végétales', 'Huiles', 'Huiles de légumineuses', 'Huile de soja']",100 g,en quantité élevée,15 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,,+3%,+3%,+3%,-7%,,,,,,11,-8%,D,-8%,85.6%,3.7%,5.4%,2.6%,2.6%,0.0%,64,,,,,,,,,,,,,,
395,Baies de goji,3449717502051,['France'],[],[],?,347,1452 kj(347 kcal),"3,2","0,8","63,3","63,3","11,1",,"1,34","0,536",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
396,Poulet rôti entier - Leader Price,2211242049858,['France'],[],[],?,166,695 kj(166 kcal),"8,4","2,8","0,6","0,6",22,,"1,1","0,44",D,"['Viandes', 'Volailles', 'Poulets']",8.4 g,en quantité modérée,2.8 g,en quantité modérée,0.6 g,en faible quantité,1.1 g,en quantité modérée,,+10%,+10%,+44%,+87%,-70%,+36%,+8%,+28%,+28%,3,+113%,C,+113%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,['Leader Price'],,['Leader Price'],,,,,,,,,,,
397,Confiserie de chocolat,4003006039049,['France'],[],[],?,541,2264 kj(541 kcal),34,21,49,48,"8,7",,"0,25","0,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
398,Frites bistrot,3760032004700,['France'],[],[],?,171,715 kj(171 kcal),"7,6","1,1","21,5","1,8","2,5","['Sans additifs', 'Sans colorants']",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
399,filet de poulet -,0217885054312,['France'],[],[],?,?,,?,,?,,?,"['Nutriscore', 'Nutriscore A']",,,D,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,,,,,,,,,,,,,,,,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,,,
400,Pain burger ×4,0207182013129,['France'],[],[],?,163,682 kj(163 kcal),"2,9","2,4",29,"2,5","5,2",,"0,78","0,312",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401,Shahi Paneer Masala,8906022780598,['France'],[],[],?,399,1669 kj(399 kcal),"9,89",0,0,0,"12,51",,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
