,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,labels,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand,quantity,markets,packaging,traceability_code,ingredients_origins,generic_name,manufacturing,additives,allergens,nova_score,origin_detail,link,brand_owner
1109,Civet de canard aux cèpes cuisiné au Madiran,3700744301957,['France'],[],[],?,116,485 kj(116 kcal),"5,3","2,5","3,2",0,"12,9",,"1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1110,Pavé campagne,3419390042090,['France'],[],[],?,277,1159 kj(277 kcal),"1,2","0,2",57,"2,7","7,9",,"1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1111,Bacon,0298142048749,['France'],[],[],?,133,556 kj(133 kcal),"5,3","2,3",1,0,26,,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1112,Gâche aux éclats de chocolat noir,2173328020154,['France'],[],[],?,395,1653 kj(395 kcal),18,12,52,22,"8,1",,"0,67","0,268",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1113,Plougastel thé à la fraise,3700496319521,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1114,Cottage cheese,7613030435358,['France'],[],[],?,99,414 kj(99 kcal),"4,5","2,6","3,7","3,7",11,,"0,9","0,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1115,Le Gruyère - Doux,2110103026574,['France'],[],[],?,407,1703 kj(407 kcal),33,21,"0,5","0,1",27,,"1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1116,Brioche tranchée aux pépites de chocolat,92156975,['France'],[],[],?,369,1544 kj(369 kcal),14,"2,9",50,13,"7,9",,"1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1117,Matcha Glow,7061259195834,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1118,Confiture de Mure Framboise Myrtille,3546940319934,['France'],[],[],?,237,992 kj(237 kcal),"0,2","0,06","57,6","50,9","0,5",,,,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de mûres']",0.2 g,en faible quantité,0.06 g,en faible quantité,50.9 g,en quantité élevée,,,,+2%,+2%,-29%,-4%,+4%,-4%,-16%,,,,,,,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,,,,,,,,,,,
1119,Miel de sapin,3770001789057,['France'],[],[],?,?,,?,,?,,?,,,,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de sapin']",,,,,,,,,,,,,,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,,,
1120,Lapin entier découpé,2258950007756,['France'],[],[],?,140,586 kj(140 kcal),6,2,1,0,20,,0,0,D,"['Viandes', 'Viande de lapin']",6 g,en quantité modérée,2 g,en quantité modérée,0 g,en faible quantité,0 g,en faible quantité,,-9%,-12%,-24%,-16%,+43%,-100%,+2%,-100%,-100%,-3,-592%,A,-592%,83.0%,9.4%,2.7%,2.7%,1.4%,0.9%,37,,,,,,,,,,,,,,
1121,Nike invigor,0888410284735,['France'],[],[],?,94,393 kj(94 kcal),0,0,"22,8","20,6","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1122,Yummy drops coconut flavour,9344153595756,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1123,Phytomance Alchémille,3401529560629,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1124,Matcha Uji Premium bio,4260461114937,['France'],[],[],?,1,4 kj(1 kcal),0,0,"0,2",0,"0,1",['Bio'],0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1125,morceaux assortis poulet,3266980054533,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1126,Crème de Tomme de Pierre Percée,3760088780269,['France'],[],[],?,247,1033 kj(247 kcal),20,"13,7","1,75","0,1","12,2",,"2,4","0,96",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1127,Briochette,3339740008326,['France'],[],[],?,405,1695 kj(405 kcal),16,10,55,15,10,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1128,Pouler - La Nouvelle Agriculture,0213319052411,['France'],[],[],?,179,749 kj(179 kcal),11,"2,8",0,0,20,,"0,15","0,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['La Nouvelle Agriculture'],,,,,,,,,,,,,
1129,Urid Beans,5013635362813,['France'],[],[],?,341,1427 kj(341 kcal),"1,4","0,4",62,"2,1","21,6",,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1130,Organic labneh,8690565022344,['France'],[],[],?,194,812 kj(194 kcal),18,"11,7","3,5","3,5","4,5",,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1131,Miel de tournesol,3770013194047,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1132,Poulet fermier,2456030074715,['France'],[],[],?,138,577 kj(138 kcal),"5,9","1,7",0,0,20,,"0,15","0,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1133,Colorant alimentaire,8436049610764,['France'],[],[],?,?,,?,,?,,?,,,,,"['Additifs alimentaires', 'Colorants alimentaires']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1134,Haricot nain,3280231001091,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1135,Noisette poudre,3760177744004,['France'],[],[],?,678,2837 kj(678 kcal),61,"4,46",17,"4,34",15,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1136,Noix de et Jacques,3329150340321,['France'],[],[],?,277,1159 kj(277 kcal),"17,2",0,"13,5",0,"17,2",,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1137,Oignons émincés - Auchan Bio - 600g,3596710476824,['France'],[],[],153,36,153 kj(36 kcal),"< 0,5","< 0,1","5,7","2,9","1,6","['Bio', 'Bio européen', 'AB Agriculture Biologique', 'ES-ECO-025-NA', 'Nutriscore', 'Nutriscore A']","0,04","0,016",B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Aliments à base de fruits et de légumes', 'Plantes condimentaires', 'Surgelés', 'Légumes et dérivés', 'Aliments à base de plantes surgelés', 'Légumes surgelés', 'Oignons et dérivés', 'Oignons', 'Oignons surgelés', 'en:frozen-raw-onions']",0.5 g,en faible quantité,0.1 g,en faible quantité,2.9 g,en faible quantité,0.04 g,en faible quantité,,-3%,-7%,-6%,+30%,-4%,-32%,+24%,+71%,+71%,-6,,A,,37.6%,2.3%,17.2%,14.7%,20.8%,7.3%,96,"['Auchan Bio', 'Auchan']",600 g,['Auchan'],"['Sachet', 'Plastique', 'Surgelé']",,,Oignons émincés surgelés,,,,,,,
1138,Rôti de porc,0211000107587,['France'],[],[],?,184,770 kj(184 kcal),12,"5,7","0,8","0,7",19,,"0,6","0,24",E,"['Viandes', 'Porc', 'Rôtis de porc']",12 g,en quantité modérée,5.7 g,en quantité élevée,0.7 g,en faible quantité,0.6 g,en quantité modérée,,+28%,+29%,+139%,+173%,-2%,+12%,-15%,-65%,-65%,4,-44%,C,-44%,77.9%,17.0%,3.2%,1.1%,0.6%,0.2%,21,,,,,,,,,,,,,,
1139,Framboises 250g origine Espagne,3760105310189,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1140,Complément alimentaire à base de miel de Manuka,3428881249504,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1141,Noix de cajou mix,2600974034704,['France'],[],[],?,563,2356 kj(563 kcal),38,15,44,34,"9,5",,,,E,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Noix de cajou']",38 g,en quantité élevée,15 g,en quantité élevée,34 g,en quantité élevée,,,,-6%,-6%,-18%,+76%,+72%,+424%,-49%,,,,,,,85.9%,1.5%,2.7%,6.9%,1.9%,1.2%,21,,,,,,,,,,,,,,
1142,500ML Arome Fleur D'oranger Vaniflor,3660152784011,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1143,Aiguillettes de poulet - Carrefour,2227487027292,['France'],[],[],?,?,,?,,?,,?,,,,D,"['Viandes', 'Volailles', 'Poulets', 'Aiguillettes de poulet']",,,,,,,,,,,,,,,,,,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,['Carrefour'],,['Carrefour'],,"['FR 30.233.001 CE', 'Saint-Bauzély (Gard, France)']",,,,,,,,,
1144,Asperges vertes,3700238310298,['France'],[],[],?,12,50 kj(12 kcal),"0,5","0,5","1,5","0,9","0,9",,"0,83","0,332",B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Légumes tiges', 'Asperges', 'Asperges vertes']",0.5 g,en faible quantité,0.5 g,en faible quantité,0.9 g,en faible quantité,0.83 g,en quantité modérée,,-45%,-45%,+83%,+658%,-20%,-2%,-55%,+27%,+27%,-2,,A,,87.5%,0.0%,0.0%,5.2%,5.7%,1.5%,80,,,,,,,,,,,,,,
1145,Kids united édition limitée,0190295730581,['France'],[],[],?,0,0 kj(0 kcal),?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1146,Rôti de porc,0281452018373,['France'],[],[],?,170,711 kj(170 kcal),"3,2","3,2","1,4",0,22,['en:gluten-free'],"1,6","0,64",E,"['Viandes', 'Porc', 'Rôtis de porc']",3.2 g,en quantité modérée,3.2 g,en quantité modérée,0 g,en faible quantité,1.6 g,en quantité élevée,,+18%,+19%,-36%,+53%,+71%,-100%,-2%,-7%,-7%,12,+68%,D,+68%,77.9%,17.0%,3.2%,1.1%,0.6%,0.2%,21,,,,,"['FR 80.799.001 CE', 'Villers-Bretonneux (Somme, France)']",,,,,,,,,
1147,Hoi Sin Sauce 440 ML Amoy,4892773000631,['France'],[],[],?,109,456 kj(109 kcal),"16,49",,"23,81",,"1,13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Amoy'],,,,,,,,,,,,,
1148,Farine de Maïs,3760235210342,['France'],[],[],?,0,0 kj(0 kcal),0,0,"76,5",0,"6,93","['Bio', 'Bio européen', 'Sans gluten']",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1149,Verano,6191596300187,['France'],[],[],?,?,,?,,?,,?,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1150,Chocolat au lait,4013900986493,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1151,Kinder mini eggs,4000504295168,['France'],[],[],?,577,2414 kj(577 kcal),35,"22,6","56,8","56,5","8,2",,"0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1152,Papaye rouge - Lamelles,3700359221756,['France'],[],[],?,?,,?,,?,,?,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1153,Depur-mech ? 500ML ? Soleil Vie,8032589950010,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1154,Olive leccino denocciolate,8020454007792,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1155,Farine de Sarrazin,3760243220043,['France'],[],[],?,377,1577 kj(377 kcal),"3,2","0,7",74,"1,1",13,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1156,Miel de sapin,3770001506104,['France'],[],[],?,?,,?,,?,,?,,,,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de sapin']",,,,,,,,,,,,,,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,,,
1157,manuka honey,9400554002993,['France'],[],[],?,?,,?,0,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1158,Rôti cuit- 6 tranches savoureuses,3349010005054,['France'],[],[],?,120,502 kj(120 kcal),4,"1,6","0,9","0,9",20,,2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1159,Merguez véritables,2887815011159,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1160,Emmental,2259799025581,['France'],[],[],?,369,1544 kj(369 kcal),29,21,0,0,27,,"0,6","0,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1161,Déjeuner du Paysan- Terrine pur Porc,3589620001583,['France'],[],[],?,232,971 kj(232 kcal),"17,2","5,9","1,3","0,2",18,,"1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1162,L-glutamine 500 MG - 100 Gélules - Form'axe (bioaxo),0635346572777,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1163,Rôti de Filet de porc,2242850006070,['France'],[],[],?,150,628 kj(150 kcal),"7,2",3,"0,5","0,5",21,"['Viande Française', 'Viande Porcine Française']","0,11","0,044",E,"['Viandes', 'Porc', 'Rôtis de porc']",7.2 g,en quantité modérée,3 g,en quantité modérée,0.5 g,en faible quantité,0.11 g,en faible quantité,,+4%,+5%,+43%,+44%,-39%,-20%,-6%,-94%,-94%,-2,-128%,A,-128%,77.9%,17.0%,3.2%,1.1%,0.6%,0.2%,21,,,,,,,,,,,,,,
1164,Kazidomi Penne de Sorgho et carotte violette - 250,,"['Belgique', 'France']","['Farine de sorgho*', 'poudre de carotte violette* ', '10%', 'eau ', ""*issu de l'agriculture biologique""]",[],?,?,,?,,?,,?,"['Bio', 'en:gluten-free', 'Sans OGM']",,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Kazidomi'],250,['Kazidomi'],['Plastic'],,,Penne de Sorgho et carotte violette bio,,,,,,https://www.kazidomi.com/fr/pates-sans-gluten/7548-penne-de-sorgho-et-carotte-violette.html,
1165,Kazidomi Penne de Petits Pois - 400,,"['Belgique', 'France']","['Farine de petits pois* ', '100%', 'eau ', ""*issu de l'agriculture biologique""]",[],?,?,,?,,?,,?,"['Bio', 'en:gluten-free', 'Sans OGM']",,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Kazidomi'],400,['Kazidomi'],['Plastic'],,,Penne de Petits Pois Bio,,,,1,,https://www.kazidomi.com/fr/pates-sans-gluten/7553-penne-de-petits-pois.html,
1166,Kazidomi Fusilli de Riz et Chanvre - 250,,"['Belgique', 'France']","['Farine de riz*', 'farine de chanvre* ', '12%', 'eau ', ""*issu de l'agriculture biologique""]",[],?,?,,?,,?,,?,"['Bio', 'en:gluten-free', 'Sans OGM']",,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Kazidomi'],250,['Kazidomi'],['Plastic'],,,Fusilli de Riz et Chanvre Bio,,,,1,,https://www.kazidomi.com/fr/pates-sans-gluten/7549-fusilli-de-riz-et-chanvre.html,
1167,Kazidomi Gnocchetti de Pois Chiches - 400,,"['Belgique', 'France']","['Farine de pois chiches* ', '100%', 'eau ', ""*issu de l'agriculture biologique""]","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,,?,,?,,?,"['Bio', 'en:gluten-free', 'Sans OGM']",,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Kazidomi'],400,['Kazidomi'],['Plastic'],,,Gnocchetti de Pois Chiches Bio,,,,1,,https://www.kazidomi.com/fr/pates-sans-gluten/7552-gnocchetti-de-pois-chiches.html,
1168,Kazidomi Gnocchetti de Riz et Curcuma - 400,,"['Belgique', 'Union européenne', 'France']","['Farine de riz*', 'poudre de Curcuma* ', '2%', 'eau ', ""*issu de l'agriculture biologique""]","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,,?,,?,,?,"['Bio', 'en:gluten-free', 'Sans OGM']",,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Kazidomi'],400,['Kazidomi'],['Plastic'],,,Gnocchetti de Riz et Curcuma Bio,,,,1,,https://www.kazidomi.com/fr/pates-sans-gluten/7554-gnocchetti-de-riz-et-curcuma.html,
1169,Spiruline,3535400018340,['France'],[],[],?,?,,?,,?,,?,['Bio'],,,E,"['Compléments alimentaires', 'Spiruline']",,,,,,,,,,,,,,,,,,,,,,,53.3%,42.5%,1.8%,1.6%,0.8%,0.0%,25,,,,,,,,,,,,,,
1170,Cuisse de poulet - Carrefour,0219969016209,['France'],[],[],?,?,,?,,?,,?,['Point Vert'],,,D,"['Viandes', 'Volailles', 'Poulets', 'Cuisses de poulet']",,,,,,,,,,,,,,,,,,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,['Carrefour'],,['Carrefour'],,,,,,,,,,,
1171,Flakes de sarrasin,80836858,['France'],[],[],?,158,661 kj(158 kcal),"1,4","0,2",30,"0,5","5,6","['Bio', 'Bio européen']",,,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner']",1.4 g,en faible quantité,0.2 g,en faible quantité,0.5 g,en faible quantité,,,,-60%,-60%,-84%,-91%,-55%,-97%,-40%,,,,,,,74.0%,13.1%,5.1%,5.5%,2.3%,0.0%,60,,,,,,,,,,,,,,
1172,Bio Marine Plus - 60 Capsules - Pharma Nord,3401574884244,['France'],[],[],?,?,,?,,?,,?,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1173,Animalis - Vitamines C Pour Cochon D'inde - 15ML,3700602093406,['France'],[],[],?,0,0 kj(0 kcal),?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1174,Gouda jeune cumin,0204532016922,['France'],[],[],?,?,,?,,?,,?,,,,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages des Pays-Bas', 'Goudas', 'Goudas jeunes']",,,,,,,,,,,,,,,,,,,,,,,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,,,
1175,Mini beignets au chocolat noisette x10 - Carrefour,0202303020338,['France'],[],[],?,428,1791 kj(428 kcal),24,"8,5",45,19,"6,8","['Sans arômes artificiels', 'Sans colorants']","0,72","0,288",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Carrefour'],,['Carrefour'],,,,,,,,,,,
1176,Emmental français,2890525036541,['France'],[],[],?,?,,?,,?,,?,,0,0,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de vache', 'Emmentals', 'Fromages de France', 'Emmentals français']",,,,,,,0 g,en faible quantité,,,,,,,,,-100%,-100%,,,,,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,,,
1177,Chipolatas,3336462000461,['France'],[],[],?,287,1201 kj(287 kcal),25,11,"1,8","0,8",14,,"1,9","0,76",E,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Chipolatas']",25 g,en quantité élevée,11 g,en quantité élevée,0.8 g,en faible quantité,1.9 g,en quantité élevée,,+20%,+20%,+32%,+52%,+54%,+27%,-9%,+6%,+6%,21,+27%,E,+27%,86.2%,9.9%,1.8%,1.2%,0.7%,0.2%,24,,,,,,,,,,,,,,
1178,Tortelloni au basilic & ricotta,5055430409331,['France'],[],[],?,238,996 kj(238 kcal),"8,1","4,3","27,8","1,6",13,,"0,8","0,32",,"['Plats préparés', 'Plats à base de pâtes', 'Pâtes farcies']",8.1 g,en quantité modérée,4.3 g,en quantité modérée,1.6 g,en faible quantité,0.8 g,en quantité modérée,,+15%,+15%,+28%,+60%,+3%,-40%,+56%,-23%,-23%,4,-25%,C,-25%,,,,,,,,,,,,,,,,,,,,,
1179,Magret de canard -,0245510055236,['France'],['MAGRET DE CANARD CANARDS NOURRIS SANS OGM ALIMENTATION 100% VÉGÉTALE'],[],?,?,,?,,?,,?,,,,E,"['Viandes', 'Volailles', 'Canards', 'Magrets de canard']",,,,,,,,,,,,,,,,,,,,,,,81.9%,9.6%,2.1%,2.2%,1.1%,3.1%,28,,,,,,,,,,,,,,
1180,Beignets choco/noisettes,0201259013128,['France'],[],[],?,385,1611 kj(385 kcal),18,2,47,19,"6,5","['Agriculture durable', 'en:UTZ Certified']","0,71","0,284",C,"['Biscuits et gâteaux', 'Gâteaux', 'Donuts', 'Beignets fourrés au chocolat']",18 g,en quantité modérée,2 g,en quantité modérée,19 g,en quantité élevée,0.71 g,en quantité modérée,,-11%,-11%,-31%,-84%,+11%,+21%,+0%,-32%,-32%,12,-44%,D,-44%,77.1%,13.7%,3.6%,3.5%,1.9%,0.0%,52,,,,,,,,,,,,,,
1181,Chipolata,3596810056292,['France'],[],[],?,?,,?,,?,,?,,0,0,E,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Chipolatas']",,,,,,,0 g,en faible quantité,,,,,,,,,-100%,-100%,,,,,86.2%,9.9%,1.8%,1.2%,0.7%,0.2%,24,,,,,"['FR 60.009.001 CE', 'Allonne (Oise, France)']",,,,,,,,,
1182,Barquettes à la fraise - Auchan Bio - 3x 120g,3596710473847,['France'],[],[],?,359,1502 kj(359 kcal),5,"0,7",72,52,"5,6","['Bio', 'Nutriscore', 'Nutriscore D']","0,42","0,168",C,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Barquettes aux fruits', 'Biscuits à la fraise', 'Barquettes', 'Barquettes à la fraise']",5 g,en quantité modérée,0.7 g,en faible quantité,52 g,en quantité élevée,0.42 g,en quantité modérée,,+1%,+1%,+38%,+3%,-4%,-4%,+20%,+47%,+47%,15,+6%,D,+6%,81.3%,10.4%,3.5%,2.6%,2.1%,0.0%,56,"['Auchan Bio', 'Auchan']",3 x 120 g,['Auchan'],,,,,,,,,,,
1183,PAVE SAVEUR,2030500400947,['France'],[],[],?,0,0 kj(0 kcal),?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1184,"Taittinger Champagne Brut, Prestige Rose",0084692506545,['France'],[],[],?,0,0 kj(0 kcal),?,0,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1185,Chipolatas - Carrefour,2480722032738,['France'],[],[],?,?,,?,,?,,?,,,,E,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Chipolatas']",,,,,,,,,,,,,,,,,,,,,,,86.2%,9.9%,1.8%,1.2%,0.7%,0.2%,24,['Carrefour'],,['Carrefour'],,,,,,,,,,,
1186,Sapins de Savoie - Auchan,3596710415243,['France'],[],[],?,315,1318 kj(315 kcal),1,"0,4",61,"2,8","12,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Auchan'],,,,,,,,,,,,,
1187,Nuh’un Ankara Makarnasi Penne Pasta,8690576529436,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1188,Rôti de porc cuit,0247115011617,['France'],[],[],?,235,983 kj(235 kcal),"14,8","5,2","0,4",0,"23,4",,"1,3","0,52",E,"['Viandes', 'Porc', 'Rôtis de porc']",14.8 g,en quantité modérée,5.2 g,en quantité élevée,0 g,en faible quantité,1.3 g,en quantité modérée,,+63%,+65%,+194%,+149%,-51%,-100%,+4%,-24%,-24%,12,+68%,D,+68%,77.9%,17.0%,3.2%,1.1%,0.6%,0.2%,21,,,,,,,,,,,,,,
