,name,bar_code,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,categories,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,generic_name,packaging,manufacturing,traceability_code,additives,nova_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,ingredients_origins,link,markets,allergens,origin_detail,producer_info,palm_ingredients,brand_owner
274,Sucre de fleur de coco - Coco Nature - 500gr,5425022731209,['Coco Nature'],"['Belgique', 'France']",['biologische kokosbloesemsuiker sucre de fleur de cocotier biologique'],[],?,390,1632 kj(390 kcal),"0,13","0,11","92,6",87,"1,67","0,34","0,136",500 gr,"['Édulcorants', 'Sucres', 'Sucres de coco']","['Bio', 'Bio européen', 'Sans conservateurs', 'AB Agriculture Biologique']",0.13 g,en faible quantité,0.11 g,en faible quantité,87 g,en quantité élevée,0.34 g,en quantité modérée,,+2%,+2%,-68%,-28%,-1%,+3%,+44%,+73%,+73%,14,0%,D,0%,B,,,['Non-EU-Agriculture'],['BE-BIO-01'],,,65.2%,10.9%,13.4%,7.2%,3.3%,0.0%,94,,,['Colruyt'],,,,,
275,Coca-Cola arôme Vanille - 250ml,5449000051400,['Coca Cola'],"['France', 'Suisse']","['Eau', 'sucre', 'E150d', 'E338', 'Arome', 'Caféine']",[],190,45.2,190 kj(45 kcal),0,0,"11,2","11,2",0,0,0,250 ml,"['Boissons', 'Boissons gazeuses', 'Sodas', 'Sodas au cola']",,0 g,en faible quantité,0 g,en faible quantité,11.2 g,en quantité élevée,0 g,en faible quantité,+129%,+115%,+113%,-100%,-100%,+109%,+113%,-100%,-100%,-100%,15,+103%,E,+103%,,Coca vanille,['Canette aluminium'],,,"['E290 - Dioxyde de carbone', ""E150d - Caramel au sulfite d'ammonium"", 'E338 - Acide orthophosphorique', '', 'Risque élevé de sur-exposition']",4,,,,,,,,,,['Denner'],,,,,
276,Néctar de naranja - Minute Maid,5449000067357,['Minute Maid'],"['France', 'Espagne']",[],[],?,43,180 kj(43 kcal),0,0,"9,7","9,7","0,5",0,0,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Nectars de fruits']",,0 g,en faible quantité,0 g,en faible quantité,9.7 g,en quantité élevée,0 g,en faible quantité,,-12%,-11%,-100%,-100%,-15%,-9%,+58%,-100%,-100%,13,-4%,E,-4%,D,,,,,,,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,,,,
277,Clássico Néctar Goiaba - Compal - 1L,5601151213308,['Compal'],"['France', 'Portugal']","['Eau', 'jus et pulpe de goyave', 'sucre', ""régulateur d'acidité : acide citrique et antioxygène : acide ascorbique""]",[],202,46,202 kj(46 kcal),0,0,"10,8","9,3","0,1",0,0,1 L,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Nectars de fruits', 'Nectars de goyave']","['en:FSC', 'FSC Mix', 'Point Vert', 'Ecoponto amarelo', 'en:fsc-c014047']",0 g,en faible quantité,0 g,en faible quantité,9.3 g,en quantité élevée,0 g,en faible quantité,,+2%,+7%,-100%,-100%,0%,-10%,-43%,-100%,-100%,13,-8%,E,-8%,C,,['Tetra Pak'],,['FSC-C014047'],['E300 - Acide ascorbique'],3,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,,,,
278,Arroz Extra Longo Cigala Agulha - 1kg,5601260037109,"['Cigala', 'Arrozeiras Mundiarroz', 'Ebro Foods']","['France', 'Portugal']",['ingrediente: Arroz 100%'],[],?,355,1485 kj(355 kcal),1,"0,4",78,"0,4","7,5",0,0,1 kg,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Riz']",,1 g,en faible quantité,0.4 g,en faible quantité,0.4 g,en faible quantité,0 g,en faible quantité,,+6%,+5%,-17%,+49%,+7%,+15%,+4%,-100%,-100%,-2,,A,,B,Arroz Extra Longo Branqueado,['plástico'],"['Coruche', 'Portugal']",,,1,79.0%,0.0%,6.4%,11.0%,3.6%,0.0%,74,"['Portugal', 'pt:Coruche', 'pt:Monte da Barca']",http://arrozeiras-mundiarroz.pai.pt/ms/ms/arrozeiras-mundiarroz-sa-arroz-cigala-2100-051-coruche/ms-90048939-p-1/,"['Pingo Doce', 'Continente']",,,,,
279,Macarico Sauce Piri Piri (petit Modèle) - 100g (100ml),5601378970701,['Maçarico'],"['France', 'Suisse', 'États-Unis']","['Piment piquant ', '45%', 'eau', 'sel', 'huile végétale', 'épices', ""correcteur d'acidité : acide citrique"", 'conservateur : benzoate de sodium', 'épaississant : gomme xanthane']","[""Pourrait contenir de l'huile de palme"", 'Végétalien', 'Végétarien']",116,0,116 kj(0 kcal),0,"0,3",0,"0,1",0,11,"4,4",100 g (100 ml),"['Epicerie', 'Sauces', 'Sauces pimentées']",,0 g,en faible quantité,0.3 g,en faible quantité,0.1 g,en faible quantité,11 g,en quantité élevée,-63%,-100%,-76%,-100%,-35%,-100%,-99%,-100%,+144%,+144%,5,-60%,C,-60%,,,"['Bocal', 'Verre']",,,"['E330 - Acide citrique', 'E415 - Gomme xanthane']",4,,,,,,,,,,,,,,,MACARICO
280,Signature chocolate - Starbucks - 22cl,5711953077951,['Starbucks'],"['Belgique', 'France']",[],[],?,67,280 kj(67 kcal),"1,9","1,2","8,9","8,6","3,3","0,1","0,04",22 cl,['Boissons'],,1.9 g,en quantité modérée,1.2 g,en quantité modérée,8.6 g,en quantité élevée,0.1 g,en faible quantité,,+20%,+16%,+448%,+917%,-21%,-9%,+565%,+141%,+141%,17,+122%,E,+122%,,,['Verre'],,,,,,,,,,,,,,"['Magasins U', 'Delhaize']",,,,,
281,Céréales Lion - Nestlé - 250gr,5900020026279,['Nestlé'],"['France', 'Maroc']","['Farine de blé', 'farine de riz', 'sucre', 'sirop de sucre caramail', 'sel', 'glucose', 'huile de tournesol', 'poudre de cacao', 'calcium b3', 'acide b5', 'fer', 'vitamine D', 'vitamine b6', 'b1', 'patte de cacao', 'licitine de touresol']",[],?,507,2121 kj(507 kcal),"3,7","1,8",29,"14,8","6,9","0,13","0,052",250gr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,['Gluten'],,,,
282,Ketchup doux - Pudliszki - 500g,5900783003975,['Pudliszki'],"['France', 'Pologne']","['omates ', '198 g pour 100 g de ketchup', 'sucre', ""vinaigre d'alcool"", 'sel', 'amidon de maïs modifié', 'arôme naturel', ' Le produit peut contenir du céleri']",[],630,148,630 kj(148 kcal),"0,1","< 0,1",35,31,"1,4","3,2","1,28",500 g,"['Epicerie', 'Sauces', 'Sauces tomate', 'Ketchup']","['Arômes naturels', 'pl:Bez substancji konserwujących']",0.1 g,en faible quantité,0.1 g,en faible quantité,31 g,en quantité élevée,3.2 g,en quantité élevée,+47%,+40%,+44%,-59%,+57%,+54%,+58%,+8%,+61%,+61%,17,+40%,D,+40%,B,,,,,,3,37.2%,25.2%,17.2%,12.9%,5.9%,1.6%,94,,,,,,,,
283,"Borsec, regina apelor minerale apă minerală, natura carbogozoasă - 1,5L",5942219000059,['Borsec'],"['France', 'Roumanie', 'Espagne', 'États-Unis']",['Water'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,,?,,?,,?,,,"1,5 L","['Boissons', 'Boissons sans sucre ajouté']",['Kascher'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
284,Cerelac Plein De Fruit - Nestle - 400g,6033000083043,['Nestle'],"['Tchad', 'France', 'Sénégal']","['Farine de blé', 'Lait écrémé', 'Sucre', 'Oléine de palme', 'Farine de mais', 'Banane', 'pomme', ""Régulateur de l'acidité: Carbonate de calcium"", 'orange', 'vitamines', 'pyrophosphate ferrique', 'vanilline', 'sulfate de zinc', 'culture de bifidus', 'iodure de potassium', ' peut contenir soja', 'peut contenir lait et gluten']","['Huile de palme', 'Non végétalien']",?,418,1749 kj(418 kcal),10,"1,3","67,1","67,1",15,"0,145","0,058",400g,['Cerelac'],,10 g,en quantité modérée,1.3 g,en faible quantité,67.1 g,en quantité élevée,0.145 g,en faible quantité,,,,,,,,,,,16,,D,,,,['Metal'],,,['E170i - Carbonate de calcium'],4,,,,,,,,,,,"['Gluten', 'Lait']",,,['Oléïne de palme'],
285,Nouilles Fruits De Mer Citronnelle Apollo - 85g,6091091000332,['Apollo'],['France'],[],[],?,461,1929 kj(461 kcal),18,9,66,"4,1",9,"1,675","0,67",85 g,,,,,,,,,,,,,,,,,,,,,,,,,,,['Sachet'],,,,,,,,,,,,,,,,,,,
286,Chocolat Noir 72% Cacao - Aiguebelle,6111017042403,['Aiguebelle'],"['France', 'Maroc']",[],[],?,512,2142 kj(512 kcal),"39,3","24,4","30,5","25,3","9,2","0,01","0,004",,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs', 'Chocolats noirs aux fèves de cacao']",,39.3 g,en quantité élevée,24.4 g,en quantité élevée,25.3 g,en quantité élevée,0.01 g,en faible quantité,,-9%,-9%,-5%,-3%,-12%,-8%,+13%,-68%,-68%,21,+2%,E,+2%,E,,,['Maroc'],,,,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,,,,,,,,
287,LBEN - Centrale - 450g,6111032002482,['Centrale'],"['France', 'Maroc']","['|المکونات: حلیب بدون دسم، قشدة، خمائر حليبية', '   12', '5غ/ل من المواد الدسمة']",[],?,42,176 kj(42 kcal),"1,3","0,9","4,5",0,"3,1",0,0,450 g,"['Produits laitiers', 'Laits']",,1.3 g,en faible quantité,0.9 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,,-36%,-36%,-37%,-24%,-25%,-100%,-13%,-100%,-100%,-1,-274%,A,-274%,D,,,['Morocco'],,,,78.7%,1.1%,11.0%,6.0%,3.2%,0.0%,54,,,,,,,,
288,Star moutarde,6111184004716,['Star'],"['France', 'Maroc']","['Eau', 'graines de moutarde', 'vinaigre de table', 'sel', 'huile de soja', 'stabilisants ', 'E412', 'E415', 'conservateur E224 et anfioxydant E330']",[],?,148,619 kj(148 kcal),"10,97",10,"4,95",1,"7,44","2,1","0,84",,"['Epicerie', 'Condiments', 'Sauces', 'Moutardes']",,11 g,en quantité modérée,10 g,en quantité élevée,1 g,en faible quantité,2.1 g,en quantité élevée,,-13%,-13%,+2%,+1121%,-28%,-74%,+13%,-55%,-55%,19,+64%,E,+64%,B,,,,,"['E412 - Gomme de guar', 'E415 - Gomme xanthane', 'E224 - Disulfite de potassium', '', 'Risque élevé de sur-exposition']",4,57.4%,14.5%,21.8%,4.8%,1.5%,0.0%,75,,,,['Moutarde'],,,,
289,Eau minerale - Awa,6181100360035,['Awa'],"[""Côte d'Ivoire"", 'France']",['Eau'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,1,4 kj(1 kcal),1,1,1,1,1,1,"0,4",,['Boissons'],['Bio'],1 g,en faible quantité,1 g,en quantité modérée,1 g,en faible quantité,1 g,en quantité élevée,,-98%,-98%,+188%,+747%,-91%,-89%,+102%,+2310%,+2310%,5,-35%,C,-35%,,,,,,,1,,,,,,,,,,,,,,,
290,Extra Virgin Olive Oil (Organic) - Terra Delyssa - 1L,6191509905058,['Terra Delyssa'],"['Canada', 'France']",['First cold press organic extra virgin olive oil'],[],?,800,3350 kj(800 kcal),"93,3","17,8",0,0,0,0,0,1 L,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",['Bio'],93.3 g,en quantité élevée,17.8 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,,-7%,-6%,-2%,+27%,,,,-100%,-100%,6,-2%,C,-2%,D,,,,,,,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,,
291,Antioxidant - Vitamin Well - 500ml,7350042711604,['Vitamin Well'],['France'],"['Eau de source', 'fructose', ""correcteurs d'acidité "", 'acide citrique', 'citrates de sodium', 'extrait de thé vert', 'extrait de sureau', 'extrait de peau de raisin', 'extrait de grenade', 'vitamines ', 'E', 'C', 'minéraux ', 'zinc', 'manganèse', 'sélénium', 'arôme pêche']",[],71,17,71 kj(17 kcal),0,0,"4,2","4,2",0,"0,025","0,01",500 ml,"['Boissons', 'Boissons sans alcool', 'Boissons avec sucre ajouté', 'Boisson vitaminée']",['Sans conservateurs'],0 g,en faible quantité,0 g,en faible quantité,4.2 g,en quantité modérée,0.025 g,en faible quantité,-61%,-55%,-57%,-100%,-100%,-51%,-43%,-100%,+20%,+20%,6,-15%,D,-15%,,,"['Bouteille', 'Plastique']",,,"['E330 - Acide citrique', 'E331 - Citrates de sodium']",4,,,,,,,,,,['Monoprix'],,,,,
292,Milchdrink - Denner,7610029113136,['Denner'],"['France', 'Suisse']",[],[],?,55,230 kj(55 kcal),"2,5","1,5",5,5,3,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Denner'],,,,,
293,Croc Muesli Pommes & cannelle - Farmer - 500g,7610200085061,['Farmer'],"['France', 'Allemagne', 'Suisse']","[""flocons d'avoine"", 'cornflakes avec couverture à la cannelle ', 'maïs', 'sucre', 'cannelle', 'sel de cuisine', ""malt d'orge"", 'émulsifiant: E471', 'sucre', 'préparation aux pommes avec couverture au yogourt 8% ', 'sucre', 'graisse de palmiste', 'concentré de purée de pomme 17%', 'sirop de glucose et de fructose', 'lactose', 'yogourt de lait écrémé en poudre', 'sirop de glucose', 'humectant: E422', 'fibres alimentaires de blé', 'acidifiant: acide citrique', 'émulsifiant: lécithine de tournesol', 'amidon modifié de tapioca', 'épaississant: pectine et', 'gomme arabique', 'arômes nat', 'de pommes', 'antioxydant: acide ascorbique', 'cannelle', 'arôme vanilline', 'flocons de blé', 'crispies ', 'maïs', 'riz', 'sucre brut', 'farine complète [blé', 'seigle', 'orge]', ""malt d'orge"", 'cacao maigre en poudre', 'sel de cuisine', 'amidon de maïs', 'huile de tournesol', 'morceaux de pommes séchées 4%', 'flocons de coco', 'miel', 'cannelle 0', '4%', 'sel de cuisine', 'arôme naturel de vanille']","['Huile de palme', 'Non végétalien']",1841,438,1841 kj(438 kcal),14,"4,5",68,22,7,"0,45","0,18",500g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Mueslis']",,14 g,en quantité modérée,4.5 g,en quantité modérée,22 g,en quantité élevée,0.45 g,en quantité modérée,+3%,+5%,+6%,+7%,+36%,+12%,+30%,-29%,+159%,+159%,9,+83%,C,+83%,B,,"['Produkt', 'Packung(en)']",,,"[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E422 - Glycérol', 'E330 - Acide citrique', 'E322i - Lécithine', 'E14XX - Amidons modifiés', 'E440 - Pectines', ""E414 - Gomme d'acacia"", 'E300 - Acide ascorbique']",4,53.5%,25.9%,8.6%,6.8%,5.2%,0.0%,90,,,,"['Gluten', 'Lait']",,,['Huile de palme'],
294,Classic - Valser - 1500ml,7610335000069,['Valser'],"['France', 'Allemagne', 'Suisse']","[""Eau minérale naturelle mélangée à de l'acide carbonique"", ' avechaute teneur en minéraux']",[],?,?,,?,,?,,?,,,1500ml,['Boissons'],['Fabriqué en Suisse'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295,Ricola menthe douce des glaciers - 50g,7610700007136,['Ricola'],['France'],"['Édulcorant ', 'Isomalt', 'extraits ', '0,5%', ' de menthes et du mélange de 13 plantes Ricola', 'huile essentielle de menthe poivrée', 'menthol', 'édulcorants ', 'sucralose', 'acésulfame-K', 'colorant ', 'E141']",[],980,235,980 kj(235 kcal),0,0,98,0,0,0,0,50 g,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']",['Une consommation excessive peut avoir des effets laxatifs'],0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,-37%,-34%,-35%,-100%,-100%,+18%,-100%,-100%,-100%,-100%,2,-86%,B,-86%,E,,,,,"['E953 - Isomalt', 'E955 - Sucralose', 'E950 - Acésulfame K', 'E141 - Complexe cuivrique des chlorophylles et des chlorophyllines']",4,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,,,,,,
296,Ovomaltine 10X15G - 150g,7612100001813,['Ovomaltine'],"['France', 'Suisse']","['65 %', ""extrait de malt d'orge"", 'lait écrémé condensé', 'cacao fortement dégraissé', 'sels minéraux ', 'phosphate de calcium', 'carbonate de magnésium et phosphate de fer', 'huile de colza', 'vitamines  ', 'A', 'D', 'E', 'C', 'K', 'B1', 'B2', 'niacine', 'B6', 'acide folique', 'B12', 'biotine', 'acide pantothénique', 'sel de cuisine', 'arôme vanilline']",[],?,372,1556 kj(372 kcal),2,"0,9","74,2","40,4","12,4","0,6","0,24",150g,"['Boissons', 'Boissons instantanées']",['Sans sucre ajouté'],2 g,en quantité modérée,0.9 g,en quantité modérée,40.4 g,en quantité élevée,0.6 g,en quantité modérée,,+41%,+35%,-47%,-63%,+52%,+10%,+113%,+95%,+95%,,,,,,Boisson instantanée à base de malt et d'orge,['10x15g Tütchen'],,,,,,,,,,,,,,,"['Gluten', 'Lait']",,,,
297,P'tit brassé saveur nature sucré - Nestlé - 400g (4x100g),7613033199301,"['Nestlé', 'nestlé bébé', 'bébé nestlé', ""P'tit brassé""]",['France'],"['lait entier 91%', 'sucre', 'amidon transformé', 'protéines de lait', 'épaississant : pectine', 'concentré de minéraux du lait', 'minéraux : citrate de magnésium', 'sulfate de zinc', 'ferments lactiques ', 'lait', 'arôme naturel ', 'lait']","['Sans huile de palme', 'Non végétalien']",360,?,360 kj(86 kcal),"3,1",2,11,"8,5","3,2","0,1","0,04",400g (4x100g),"['Aliments pour bébé', 'Goûters et desserts pour bébé', 'Desserts lactés pour bébé', 'Dès 6 mois']","['Riche en calcium', 'Riche en protéines', 'Sans conservateurs']",,,,,,,,,-11%,,-9%,+4%,+14%,-19%,-10%,+9%,+5%,+5%,,,,,,Aliment pour bébés,"['Pack', 'Carton', 'Pot', 'Plastique']",,['DE TH-601 EG'],"['E14XX - Amidons modifiés', 'E440 - Pectines']",4,,,,,,,,,https://www.bebe.nestle.fr/nos-marques/ptit-brasse/nestle-ptit-brasse-nature-4x100g,['Carrefour'],['Lait'],,,,
298,Papillotes Poulet Curry à l’indienne - maggi - 30g,7613033404344,['Maggi'],"['France', 'Suisse']","['Fécule de maïs', 'sel', 'curry 12,9% ', 'curcuma', 'fenugrec', 'coriandre', 'gingembre', 'cumin 1%', 'cannelle', 'clou de girofle 0,5%', 'noix de muscade', 'piment de Cayenne', 'paprika 9,3%', 'ail 9,2%', 'crème en poudre ', 'lait', 'sucre', 'huile de tournesol', 'extrait de levure', 'persil', 'émulsifiant : ', 'lécithine de colza', 'extrait de paprika']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,196,820 kj(196 kcal),"8,9","2,5","3,9","0,7",25,"1,4","0,56",30 g,"['Epicerie', 'Condiments', 'Assaisonnements']",,,,,,,,,,,,,,,,,,,,,,,,,,['Sachet frais'],,,"['E322i - Lécithine', 'E160c - Extrait de paprika']",4,,,,,,,,,,['Magasins U'],['Lait'],,,,
299,"Soupe de poisson, saveur  àl'ancienne - Maggi - 78g (sec, pour 3x 250ml préparée)",7613034201720,"['Maggi', 'Nestlé']",['France'],"['Légumes 35,5% 1:pomme   terre', 'tomate 7,2%', 'oignon', 'carotte ', ' farine de blé', ' maltodextrine', 'poisson 7,8%', 'sel', 'sirop de glucose', 'fibre de pomme de terre', 'exhausteur de goût : glutamate monosodique ', ' arômes ', '-poisson_', 'blé', 'crustacés', 'fécule de pomme de terre', 'crustacés', 'extrait naturel de vin blanc', 'ail 1', '2%', 'huile ce tournesol', 'sucre caramélisé', ""extraits naturels d'ail"", 'de poivre et de paprika : épice', 'antioxydant']","['Non végétalien', 'Non végétarien']",?,33,138 kj(33 kcal),"0,2",0,6,2,"1,4","0,78","0,312","78 g (sec, pour 3x 250 ml préparée)","['Plats préparés', 'Produits déshydratés', 'Produits lyophilisés à reconstituer', 'Soupes', 'Plats préparés déshydratés', 'Soupes à réchauffer', 'Soupes déshydratées', 'Soupes de poissons']","['Point Vert', 'Sans colorants artificiels', 'Sans colorants', 'Sans conservateurs', 'Utritional compass']",,,,,,,,,,-76%,-76%,-92%,-100%,-72%,-46%,-63%,-74%,-74%,,,,,E,Soupe industrielle déshydratée,['Sachet papier aluminé'],['France'],,"['E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition']",4,89.9%,2.6%,1.2%,5.2%,0.8%,0.3%,25,,http://maggi.fr,"['Super U', 'Magasins U']","['Crustacés', 'Poisson', 'Gluten']",,,,
300,Nescafé Dolce Gusto 30kaps / 240G Grande Kahvikapseli,7613034389381,['Nescafé'],['France'],['Café torréfié'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,0,0 kj(0 kcal),0,0,0,0,0,0,0,,"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Boissons chaudes', 'Cafés', 'Dosettes', 'Cafés en dosettes', 'Cafés en dosettes compatible Dolce Gusto', 'Dosettes Dolce Gusto']",,,,,,,,,,,-100%,-100%,-100%,-100%,-100%,-100%,-100%,-100%,-100%,,,,,,,,,,,1,,,,,,,,,,,,,,,
301,NESQUIK Céréales Petit Déjeuner 500g + 50% - Nestlé - 750g,7613034744920,"['Nestlé', 'Nesquik']","['France', 'La Réunion']","['Céréales 68,4% ', 'BLE complet 51,4%', 'semoule de maïs', 'sucre', 'sirop de glucose', 'cacao maigre en poudre 5,7%', 'vitamines et minéraux ', 'carbonate de calcium', 'niacine ', 'B3', 'acide pantothénique ', 'B5', 'fer', 'D', 'B6', 'thiamine', 'riboflavine ', 'B2', 'acide folique', 'sel', 'arôme naturel', ' Peut contenir du lait', 'des arachides et fruits à coque']",[],1564,369,1564 kj(369 kcal),"1,7","0,6","75,8","24,9","8,4","0,44","0,176",750 g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner']",,1.7 g,en faible quantité,0.6 g,en faible quantité,24.9 g,en quantité élevée,0.44 g,en quantité modérée,-8%,-8%,-6%,-80%,-73%,+14%,+49%,-10%,+23%,+23%,0,-100%,B,-100%,C,,"['Carton', 'Sachet', 'Plastique']",,,,4,74.0%,13.1%,5.1%,5.5%,2.3%,0.0%,60,,,['Auchan'],['Gluten'],,,,
302,Extrême chocolat - Nestlé - 426g,7613034965899,['Nestlé'],['France'],[],[],?,294,1230 kj(294 kcal),14,"9,5",38,28,"3,5","0,13","0,052",426 g,"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Glaces', 'Crèmes glacées en pot', 'Glaces au chocolat']",,14 g,en quantité modérée,9.5 g,en quantité élevée,28 g,en quantité élevée,0.13 g,en faible quantité,,+28%,+27%,+18%,+23%,+43%,+23%,-4%,-6%,-6%,15,+15%,D,+15%,B,,"['Boite', 'Surgelé', 'Carton']",['France'],"['EMB 29181', 'Plouédern (Finistère, France)']",,,60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,,,,,,,,
303,Ptit brassé abricot - Nestlé Bébé - 400g e (4 * 100g),7613035025820,"['Nestlé Bébé', 'Nestlé']",['France'],"['Lait entier 85%', 'sucre', ""purée d'abricot 3,5%"", 'amidons transformés', 'protéines de lait', 'concentré de minéraux du lait', 'minéraux : chlorure de magnésium', 'sulfate de zinc', 'épaississant : pectine', ""correcteurs d'acidité : hydroxyde de potassium"", 'acide lactique', 'ferments lactiques', 'arôme']","['Sans huile de palme', 'Non végétalien']",?,106,444 kj(106 kcal),"3,4","2,2","15,7",10,3,"0,1","0,04",400 g e (4 * 100g),"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Aliments pour bébé', 'Goûters et desserts pour bébé', 'Yaourts', 'Yaourts aux fruits', 'Yaourts brassés', ""Yaourts à l'abricot"", 'Desserts lactés pour bébé', 'Yaourts brassés aux fruits']","['Point Vert', 'Sans colorants', 'Sans conservateurs']",,,,,,,,,,+15%,+12%,+14%,+25%,+15%,+6%,+2%,+5%,+5%,,,,,C,,"['Frais', 'Plastique', 'Carton']",,['DE TH 601 EG'],"['E14XX - Amidons modifiés', 'E440 - Pectines', 'E525 - Hydroxyde de potassium', 'E270 - Acide lactique']",4,79.1%,8.8%,4.4%,4.5%,2.5%,0.7%,69,,https://www.bebe.nestle.fr/nos-marques/ptit-brasse/nestle-ptit-brasse-abricot-4x100g,,['Lait'],,,,
304,Nesquik - Nestlé - 500g,7613035334359,"['Nestlé', 'Nesquik']","['Belgique', 'France']","['Sucre ,Cacao maigre', '21', '3%', ',dextrose,émulsifiant', ' lécithine de soja', 'minéraux ', 'pyrophosphate de fer ,sulfate de zinc ', 'Vitamine', 'C,B1,D', ' sel ', 'cannelle ', 'arôme']",[],?,70,293 kj(70 kcal),"1,8",1,"9,8","9,5","3,6","0,14","0,056",500g,,,,,,,,,,,,,,,,,,,,,,,,,,,['Plastique'],,,['E322i - Lécithine'],4,,,,,,,,,,['Delhaize'],['Soja'],,,,
305,L'Escargot Lait - Lanvin - 360g,7613035618268,"['Lanvin', 'Nestlé']",['France'],"['Praliné 47% ', 'sucre', 'noisettes', 'amandes', 'sucre', 'lait concentré sucré ', 'lait', 'sucre', 'beurre de cacao', 'pâte de cacao', 'cacao', 'beurre pâtissier', 'émulsifiant ', 'lécithine de tournesol', 'arôme naturel de vanille', "" 23,5% d'amandes et de noisettes""]",['Non végétalien'],?,568,2377 kj(568 kcal),"36,9","14,2","50,1","47,6","6,8","0,08","0,032",360 g,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Aliments et boissons de Noël', 'Bonbons de chocolat', 'Bonbons de chocolat au lait']",['Point Vert'],36.9 g,en quantité élevée,14.2 g,en quantité élevée,47.6 g,en quantité élevée,0.08 g,en faible quantité,,+4%,+4%,+11%,-23%,-7%,-5%,+9%,-61%,-61%,23,-9%,E,-9%,,,"['boîte', 'Carton', 'Plastique']",,,['E322i - Lécithine'],4,,,,,,,,,,,"['Lait', 'Fruits à coque']",,,,
