,name,bar_code,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,categories,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,generic_name,packaging,manufacturing,traceability_code,additives,nova_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,ingredients_origins,link,markets,allergens,origin_detail,producer_info,palm_ingredients,brand_owner
1796,Boisson Orange - Solevita,4056489008712,['Solevita'],['France'],[],[],?,27,113 kj(27 kcal),"0,5","0,1",6,6,"0,5",,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1797,margarine - le Fleurier - 565grammes,3366321054113,['le Fleurier'],['France'],[],[],?,?,,?,,?,,?,,,565 grammes,,,,,,,,,,,,,,,,,,,,,,,,,,,['Plastique'],,,,,,,,,,,,,,,,,,,
1798,aquafresh - 75ml,8016825926687,['Aquafresh'],['France'],[],[],?,?,,?,,?,,?,,,75ml,"['Non alimentaire', 'Open Beauty Facts', 'Dentifrices']",,,,,,,,,,,,,,,,,,,,,,,,,,['tubes plastique'],,,,,,,,,,,,,,['grande surface'],,,,,
1799,Fondants Citron - Bijou - 660g (30étuis individuels),000051,['Bijou'],['France'],"['Sucre', 'blanc d’œufs frais', 'poudre d’amande 16', '5%', 'beurre pâtissier', 'farine de blé', 'pépites au citron 7% ', 'sucre', 'pomme', 'pulpe de citron 18', '1%*', 'dextrose', 'fibres d’ananas', 'gélifiant : alginate de sodium', 'correcteurs d’acidité : acide citrique - citrates de potassium', 'stabilisant : phosphates de calcium', 'arôme naturel de citron', 'colorant : curcumine', 'œufs frais', 'sirop de glucose-fructose', 'stabilisant : glycérol', 'poudre de citron 0', '9 % ', 'équivalent à 5% de jus de citron', ' ', 'jus concentré de citron', 'maltodextrine', 'sel', 'poudres à lever : carbonates de sodium - diphosphates ', 'blé', 'arôme naturel de citron', ' *% exprimé sur les pépites équivalent à 1', '2% sur l’ensemble du produit']",['Non végétalien'],1896,?,1896 kj(453 kcal),24,10,50,37,"8,1","0,78","0,312",660 g (30 étuis individuels),"['Snacks', 'Desserts', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Pâtisseries', 'Gâteau au citron']","['Point Vert', 'Fabriqué en France']",24 g,en quantité élevée,10 g,en quantité élevée,37 g,en quantité élevée,0.78 g,en quantité modérée,,,+13%,+19%,+23%,+3%,+29%,+38%,+44%,+44%,23,+16%,E,+16%,B,Pâtisseries fondantes à la poudre d’amande et aux pépites au citron.,"['Boîte carton', 'Sachet Plastique']","['87500', 'France']",,"['E401 - Alginate de sodium', 'E330 - Acide citrique', 'E332 - Citrates de potassium', 'E100 - Curcumine', 'E422 - Glycérol', 'E500 - Carbonates de sodium', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition']",4,71.5%,14.5%,6.4%,4.1%,3.4%,0.0%,78,,http://www.bijou.com/achat-de-biscuits/patisseries-traditionnelles-222/fondants-citron-2270.html,['Correspondance'],"['Œufs', 'Gluten', 'Lait', 'Fruits à coque']",,,,
1800,Nut Bar - Reese’s - 47g,0034000109197,['Reese’s'],"['France', 'Allemagne']","['Garniture à saveur de chocolat ', '40%', ' [sucre  beurre de cacao', 'pâte de cacao', 'lait entier en poudre', 'lactose', 'matière grasse du lait', 'lait écrémé en poudre', 'emulsifiant lecithine de soja ,E476] Arachides ', '26%', "" beurre d'arachides "", '17%', ' [Arachides', 'sucre', 'dextrose', 'sel', 'sirop de glucose', 'antioxydant E319]', ' caramel ', '17%', ' [fructose-glucose sirop', 'maltose-glucose sirop', 'sorbitol', 'sucre', 'sirop de glucose', 'huile de palmiste', 'lactosérum', 'concentré de protéines de lactoserum', 'sel', 'vanille', 'émulsifiant E471', 'colorant caramel]']","['Huile de palme', 'Non végétalien']",?,530,2218 kj(530 kcal),"30,3","9,9","50,8","44,5","10,8","0,4","0,16",47g,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Barres', 'Confiseries chocolatées', 'Barres chocolatées', 'Barres chocolatées biscuitées', 'Barre chocolatée biscuitée type KitKat']",['Contient des OGMs'],30.3 g,en quantité élevée,9.9 g,en quantité élevée,44.5 g,en quantité élevée,0.4 g,en quantité modérée,,+21%,+19%,+32%,-25%,+12%,+34%,+70%,+15%,+15%,24,+13%,E,+13%,,,,,,"[""E476 - Esters polyglycériques d'acides gras d'huile de ricin"", 'E319 - Butylhydroquinone tertiaire', 'E420 - Sorbitol', ""E471 - Mono- et diglycérides d'acides gras alimentaires""]",4,,,,,,,,,,,"['Lait', 'Arachides']",,,['Huile de palme'],
1801,Comté -  - 250g,0239995016998,,['France'],"['lait', 'sel', 'ferments', 'présure']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",1788,431,1788 kj(431 kcal),35,24,2,"0,5",27,"0,9","0,36",250 g,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté', 'en:aoc-cheeses', 'en:labeled-cheeses']",['AOP'],35 g,en quantité élevée,24 g,en quantité élevée,0.5 g,en faible quantité,0.9 g,en quantité modérée,+19%,+9%,+8%,+7%,+11%,+333%,+80%,+7%,-8%,-8%,13,-3%,D,-3%,C,Comté,['Film Plastique'],"['Noironte', 'France']","['FR 25.427.001 CE', 'Noironte (Doubs, France)']",,3,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,['Lait'],,,,
1802,Optimum Nutrition 100% Gold Standard Whey,0748927028669,['Optimum nutrition'],"['France', 'États-Unis']",[],[],?,395,1650 kj(395 kcal),"3,29","1,64","9,87","3,29","78,9","1,07","0,428",,['en:Protein'],,3.29 g,en quantité modérée,1.64 g,en quantité modérée,3.29 g,en faible quantité,1.07 g,en quantité modérée,,,,,,,,,,,4,,C,,,,,,,,,,,,,,,,,,,,,,,
1803,Moutarde douce - Ikea - 500g (440ml),1402016760005,['Ikea'],"['France', 'Allemagne']","['Eau', 'graines de moutarde ', '20%', 'sucre', ""vinaigre d'alcool"", 'sel', 'épices ', 'curcuma', 'cardamome', 'coriandre', 'cannelle', 'clou de girofle', "" Conservation : Garder au réfrigérateur après l'ouverture du produit""]",[],?,130,544 kj(130 kcal),"4,2","0,5",18,15,"5,8","1,8","0,72",500 g (440 ml),"['Epicerie', 'Condiments', 'Sauces', 'Moutardes', 'Moutardes douces']",,4.2 g,en quantité modérée,0.5 g,en faible quantité,15 g,en quantité élevée,1.8 g,en quantité élevée,,-16%,-19%,-54%,-38%,+59%,+70%,+15%,-42%,-42%,11,-1%,D,-1%,B,,"['Flacon', 'Plastique', 'Glas', 'produkt', 'hdpe-bottle']",,,,3,57.4%,14.5%,21.8%,4.8%,1.5%,0.0%,75,,,['Ikea'],['Moutarde'],,,,
1804,Munsbit Rose - IKEA - 250ml,1403638620005,['IKEA'],['France'],"['Purée de de pomme* ', '38 %', 'eau', 'jus de pomme ', '12%', 'jus de cassis* ', '8,5%', 'purée de myrtille ', '2,9%', ""son d'avoine "", '2,7%', ""jus d'acérola* "", '1,7%', 'arômes naturels']","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",?,36,151 kj(36 kcal),0,0,"8,3","7,2","0,6",0,0,250 ml,"['Boissons', 'Boissons sans alcool', 'Boissons sans sucre ajouté']",,0 g,en faible quantité,0 g,en faible quantité,7.2 g,en quantité élevée,0 g,en faible quantité,,-5%,-10%,-100%,-100%,-4%,-2%,+163%,-100%,-100%,7,-0%,D,-0%,,,['Bottle'],"['Malmö', 'Suède']",,,4,,,,,,,,,https://www.ikea.com/us/en/p/munsbit-oat-smoothie-black-currant-blueberry-40363862/,,,,,,
1805,Ricoré cappuccino - Nestlé,16134454,['Nestlé'],['France'],[],[],?,371,1552 kj(371 kcal),"6,9","6,3",65,49,"7,9","0,82","0,328",,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons instantanées', 'Chicorée soluble']",,6.9 g,en quantité modérée,6.3 g,en quantité élevée,49 g,en quantité élevée,0.82 g,en quantité élevée,,+75%,+64%,+400%,+732%,+59%,+229%,+42%,+95%,+95%,,,,,E,,,,,,,78.8%,9.8%,6.8%,3.1%,1.4%,0.0%,25,,,,,,,,
1806,Beez'nergy gel + Endurance antioxydant - Ballot-flurin - 200ml,17600163,['Ballot-flurin'],['France'],[],[],?,327,1368 kj(327 kcal),0,0,81,68,"0,6","0,1","0,04",200 ml,,['Sans lactose'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1807,"Chicken Big Tasty Bacon - McDonald's - 320,9g",,"[""McDonald's""]",['France'],"['Poulet croustillant', 'trois tranches de bacon', ""deux tranches d'emmental fondu"", 'deux rondelles de tomate', 'des oignons frais', 'de la salade et une sauce au goût grillé,\rAllergènes présents : Gluten ', 'blé', 'Graine de sésame', 'Lait', 'Oeufs,']",['Non végétalien'],?,?,,?,,?,,?,,,"320,9 g","['Sandwichs', 'Hamburgers']",,,,,,,,,,,,,,,,,,,,,,,,,,['Carton'],['France'],,,4,,,,,,,,,https://www.mcdonalds.fr/produits/sandwichs/big-tasty-chicken-bacon,"[""McDonald's""]","['Œufs', 'Gluten', 'Lait', 'Graines de sésame']",,,,
1808,Poivre blanc - Kania - 50g,,['Kania'],"['France', 'Allemagne']",['poivre blanc'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,,?,,?,,?,,,50g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices', 'Additifs alimentaires', 'Poivres', 'Arômes', 'Poivres blancs']",,,,,,,,,,,,,,,,,,,,,,,,B,,['Glas'],,,,1,41.9%,0.0%,34.8%,11.8%,11.5%,0.0%,94,,,,,,,,
1809,Pain de mie nature - Rivercote - 500g,,['Rivercote'],"['Belgique', 'France', 'Hongrie', 'Italie']","['65 % farine de blé', 'eau', 'sucre', 'huile de colza', 'sel', 'farine de fève', 'levure', 'arôme', 'alcool']",['Non végétalien'],1118,265,1118 kj(265 kcal),"3,8","2,3",48,4,"8,2","1,25","0,5",500 g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains de mie']",,3.8 g,en quantité modérée,2.3 g,en quantité modérée,4 g,en faible quantité,1.25 g,en quantité modérée,-1%,-0%,-0%,-15%,+255%,+5%,-23%,-2%,+10%,+10%,3,+107%,C,+107%,B,Pain de Mie Nature,"['Műanyag', 'zacskó']",,,,3,64.5%,20.4%,9.9%,4.5%,0.7%,0.0%,88,,,['Lidl'],"['Gluten', 'Lait', 'Soja']",,,,
