,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,brand,categories,additives,allergens,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,quantity,packaging,generic_name,ingredients_origins,manufacturing,markets,link,palm_ingredients,traceability_code,brand_owner
1039,Flores ecologicas con alcachofa - Soria Natural,8422947840044,['France'],"['Farine complet de petit épeautre', 'artichaut ', 'min 29%']",[],?,325,1360 kj(325 kcal),"0,82","0,82","69,2",0,"10,38","0,045","0,018",,['Soria Natural'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,
1040,tallarines con orégano - 250g,8422992371852,['France'],[],"['Végétalien', 'Végétarien']",?,344,1439 kj(344 kcal),1,"0,1","68,5",2,12,"0,15","0,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'Végétarien', 'Végétalien', 'ES-ECO-019-CT']",250 g,['Produit'],,,,,,,,
1041,Choco brownie - Diamante Negro,8423000664942,['France'],[],[],?,291,1218 kj(291 kcal),"5,5","1,1","5,6","4,8","21,5",,,,['Diamante Negro'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1042,Thé vert Gingembre et Banane - Te Deme Cum,8423000664973,['France'],"['Té a granel: té verde Sencha ', '78%', 'plâtano ', '5%', 'croconte', 'chips de coco', 'jengibre confitado ', '3%', 'manzanilla romana', 'aroma']",[],?,283,1184 kj(283 kcal),"7,7","3,2","9,9","7,4","20,2",0,0,,['Te Deme Cum'],,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1043,Artesanas al ajillo - Javimar,8423013332302,['France'],"['INGREDIENTES: Surimi ', 'carne de pescado prensada', 'agua', 'clara de huevo', 'flor fécula de arroz', 'aceite vegetal', 'sal marina', 'extracto y aroma natural de anguila', 'estabilizantes ', 'E-401', 'potenciador del sabor ', 'E-611', 'antioxidante', 'tinta de sepia', 'aceite vegetal', 'extracto de guindilla', 'ajo y sal']","['Non végétalien', 'Non végétarien']",?,120,502 kj(120 kcal),"2,7","0,6","16,2",0,"7,8","1,5","0,6",,['Javimar'],,['E401 - Alginate de sodium'],,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1044,Coriandre,8423018141176,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1045,Oignons rouges,8423025000145,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Produit'],,,,,,,,
1046,Filetes de anchoa,8423086002577,['France'],[],[],?,172,720 kj(172 kcal),"7,4",1,"0,3",0,26,"14,8","5,92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1047,PAN DE MOLDE INTEGRAL,8423086007275,['France'],[],[],?,232,971 kj(232 kcal),"3,1","0,8",39,3,"9,1","1,5","0,6",B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains de mie']",,,,3.1 g,en quantité modérée,0.8 g,en faible quantité,3 g,en faible quantité,1.5 g,en quantité modérée,,-13%,-13%,-31%,+23%,-15%,-42%,+8%,+32%,+32%,3,+107%,C,+107%,64.5%,20.4%,9.9%,4.5%,0.7%,0.0%,88,,,,,,,,,,,
1048,Yogur griego natural azucarado - Unide,8423086012217,"['France', 'Espagne']","['Leche entera', 'nata', 'azúcar ', '10% ', ' y fermentos lácticos', ' Puede contener trazas de gluten', 'de soja y frutos de cáscara']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,142,594 kj(142 kcal),"8,8",6,13,13,"2,6","0,1","0,04",,['Unide'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts au lait de vache', 'Yaourts à la grecque', 'Yaourts sucrés']",,,3,8.8 g,en quantité modérée,6 g,en quantité élevée,13 g,en quantité élevée,0.1 g,en faible quantité,,+49%,+50%,+155%,+175%,+16%,+25%,-28%,-13%,-13%,7,+176%,C,+176%,,,,,,,,,,,,,,,,,,
1049,Barritas De Chocolate Con Leche Sarialis Bicentury,8423207207973,['France'],"['OBARRITAS DE CEREALES Y CACAO BANADAS EN CHOCOLATE CON LECHE MULTIVITAMINADO OBARRASDECEREAIS BANHADAS COMCHOCOUTEDELEITEMULTIVITAMINADO OINGREDIENTES: Chocolate con leche ', '74%', ' ', 'azücar', 'manteca de cacao', 'pasta de cacao', 'leche desnatada en polvo', 'mantequilla anhidra', 'emulgente: lecitina de soja', 'aromas', 'cereales ', '19%', ' ', 'harina de mail', 'harina de arroz', 'fibra alimentaria ', 'fibra de guisante', 'fibra de acacia', '- azücar', 'almidÔn de maiz', 'cacao en polvo ', '1 %', 'emulgente: lecitina de soja', 'aromas ', 'contiene lactosa', 'sal', 'vitaminas ', 'A D', 'E', 'BI ', 'B2', 'B3', 'B6', 'B9-âcido félico', 'B12', 'biotina', 'âcido pantoténico', ' Contiene soja', 'leche y derivados de los mismos', ' Puede contener trazas de cereales que contienen gluten', 'frutos de câscara y derivados de los mismos', ' OWGREDIENTES: ', '74%', ' ', 'açücar', 'manteiga de cacau', 'pasta de cacao', 'leite magro em pi', 'manteiga desidratada', 'emulsionante: lecitina de soja', 'aromas', 'cereais ', '19%', ' ', 'farina de milho', 'farinha de arroz', 'fibras alimentares ', 'fibra de ervi/ha', 'fibra de acicia', 'açücu amido de milho', 'cacau empé ', '1%', 'emu/sionante: lecitina de soja', 'aromas ', 'contém lactose', 'sal', 'B12', 'biotina', 'àcido pantoténico', ' Contém soja', 'leite e derivados dos mesmos', 'Pode conter vestigios de cereais que cantêm glüten', 'frutos de casca rija e derivados dos mesmos']",['Non végétalien'],?,495,2071 kj(495 kcal),25,14,60,41,"4,6","0,48","0,192",,['Bicentury'],,,"['Gluten', 'Lait', 'Soja']",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Contient du soja', 'Entrepreneurs + Engagés']",,,,,,,,,,
1050,Coeur de sucrine - Don Cogollo,8423230000138,['France'],['Little Gem Hearts'],[],?,14,59 kj(14 kcal),"0,08","0,017","1,8","0,3","1,22","0,05","0,02",B,['Don Cogollo'],"['Laitues', 'Sucrines', 'en:Laitue', 'en:Sucrines']",,,,0.08 g,en faible quantité,0.017 g,en faible quantité,0.3 g,en faible quantité,0.05 g,en faible quantité,,+40%,+37%,-70%,-84%,+310%,+22%,+59%,-34%,-34%,0,,B,,59.4%,0.0%,0.0%,13.2%,18.9%,8.4%,95,,,,,,,,,,,
1051,Sucette Canne Naturelle - Sans marque - 40g e,8423236004536,['France'],[],[],?,380,1590 kj(380 kcal),0,0,95,95,0,0,0,D,['Sans marque'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons', 'Sucettes', ""Sucres d'orge"", 'Sucetttes']",,,,0 g,en faible quantité,0 g,en faible quantité,95 g,en quantité élevée,0 g,en faible quantité,,-2%,-2%,-100%,-100%,-1%,+20%,-100%,-100%,-100%,14,-1%,D,-1%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,40 g e,"['Film', 'Plastique']",,,,,,,,
1052,8423243201164,8423243201164,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1053,Huile d'olive - Le Moulin de Tudela - 3litres,8423243949325,['France'],"[""50% huile d'olive vierge extra"", ""50% huile d'olive raffinée""]",[],3700,?,3700 kj(884 kcal),100,15,0,0,0,0,0,C,['Le Moulin de Tudela'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive raffinées""]",,,2,100 g,en quantité élevée,15 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,+5%,,+3%,+5%,+7%,,,,-100%,-100%,6,-2%,C,-2%,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,3 litres,"['Bouteille', 'Plastique']",Huile d'olive raffinée,"['Espagne', 'Navarra']",['Espagne'],['Carrefour'],,,,
1054,Huile d'olive - Le Moulin de Tudela - 3l,8423243949943,['France'],"[""50% Huile d'olive vierge extra"", ""50% huile d'olive raffinée""]",[],3700,?,3700 kj(884 kcal),100,15,0,0,0,0,0,D,['Le Moulin de Tudela'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive""]",,,2,100 g,en quantité élevée,15 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,+5%,,+3%,+5%,+7%,,,,-100%,-100%,6,-2%,C,-2%,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,3 l,"['Bouteille', 'Plastique']",,,['Espagne'],['Carrefour'],,,,
1055,Balsamic Vinegar of Modena,8423243952417,['France'],[],[],?,130,544 kj(130 kcal),0,0,27,27,0,"0,075","0,03",B,,"['Vinaigres', 'Vinaigres balsamiques', 'Vinaigres balsamiques de Modène']",,,,0 g,en faible quantité,0 g,en faible quantité,27 g,en quantité élevée,0.075 g,en faible quantité,,-12%,-12%,-100%,-100%,-15%,-8%,-100%,+6%,+6%,,,,,39.4%,16.4%,33.5%,8.2%,2.4%,0.0%,91,,,,,,,,,,,
1056,Boulettes a la tomate et riz,8423263021551,['France'],[],[],?,121,506 kj(121 kcal),"3,6","0,6","16,4","0,5","7,5","0,8","0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Sans colorants'],,,,,,,,,,
1057,Bœuf Bourguignon et ses Pommes de Terre - Natur House - 280g,8423263021568,['France'],"['Viande de bœuf précuite 28,6 % ', 'viande de bœuf', 'eau', 'sirop de glucose', 'sel', 'stabilisant triphosphate pentasodique', 'amidon modifié de maïs', 'pomme de terre 27,5 %', 'eau', 'carotte 11,8 %', 'vin rouge 10,4 % ', 'sulfites', 'oignon 1,6 %', 'amidon modifié de mais', 'huile de colza', 'ail', 'extrait de chicorée', 'sel', 'graisse de bœuf ', 'graisse de bœuf', 'extrait de protéines de bœuf', 'thym 0,02 %']","['Non végétalien', 'Non végétarien']",?,78,326 kj(78 kcal),2,"0,1","6,9","0,8","5,4","0,5","0,2",E,['Natur House'],"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats au bœuf', 'Ragoûts de boeuf', 'Plats préparés à réchauffer au micro-ondes', 'Bœufs bourguignons']","['E451i - TPP', 'E14XX - Amidons modifiés']",['Anhydride sulfureux et sulfites'],4,2 g,en faible quantité,0.1 g,en faible quantité,0.8 g,en faible quantité,0.5 g,en quantité modérée,,-19%,-18%,-31%,-90%,+19%,-46%,-47%,-38%,-38%,-1,,A,,96.2%,1.8%,0.7%,0.7%,0.4%,0.3%,8,"['Peu ou pas de matière grasse', 'Peu de matière grasse', 'Sans OGM', 'Point Vert', 'Riche en protéines', 'Sans colorants', 'Sans conservateurs']",280 g,"['Carton', 'Plastique']",,['France'],,,,,"['FR 86.252.002 CE', 'Sammarçolles (Vienne, France)']",
1058,Porc au caramel et riz naturhouse,8423263021575,['France'],"['Riz basmati précuit 33,9% ', 'eau ', ' riz basmati ', ' huile de colza ', ' sel', ' viande de porc précuite 32,1 % ', 'viande de porc ', ' eau ', ' sirop de glucose ', ' sel ', ' stabilisant : triphosphate pentasodique ', ' amidon modifié de maïs', ' eau ', ' caramel 2% ', 'eau ', ' sucre', ' sauce soja 0,7% ', 'eau ', ' soja ', ' farine de blé ', ' sel', ' extrait de chicorée ', ' gingembre ', ' arôme naturel ', ' arôme ', ' gomme de xanthane', ' Origine viande: France']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,278,1163 kj(278 kcal),"5,2","0,2","39,7","3,2","19,2","1,8","0,72",,['Naturhouse'],"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande']","['E451i - TPP', 'E14XX - Amidons modifiés', 'E415 - Gomme xanthane']","['Gluten', 'Soja']",4,5.2 g,en quantité modérée,0.2 g,en faible quantité,3.2 g,en faible quantité,1.8 g,en quantité élevée,,+74%,+76%,-30%,-92%,+278%,+104%,+103%,+90%,+90%,4,+19%,C,+19%,,,,,,,,"['Arômes naturels', 'Sans colorants']",,,,,,,,,,
1059,Chili con carne et riz - Natur House,8423263021582,['France'],"['riz précuit 35,7%', 'eau', 'riz', 'huile de colza', 'sel', 'eau', 'haricot rouge 14,8%', 'viande de boeuf cuite 10,3%', 'tomate 6,4%', 'poivron rouge 6,4%', 'oignon', ""amidon modifié de ma'is"", 'ail', 'sucre', 'cumin', 'sel', 'arôme', 'piment 0,02 0%', ' Origine viande: UE', ' Peut contenir des traces de céleri', "" Mode d' emploi: Ouvrir partiellement le film et chauffer 2 minutes au micro-ondes à 750W""]","['Non végétalien', 'Non végétarien']",?,131,548 kj(131 kcal),"2,2","0,6","20,3","1,8","7,5","0,7","0,28",E,['Natur House'],"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Chili con carne']",['E14XX - Amidons modifiés'],,4,2.2 g,en faible quantité,0.6 g,en faible quantité,1.8 g,en faible quantité,0.7 g,en quantité modérée,,+11%,+10%,-35%,-46%,+66%,-15%,+11%,-12%,-12%,-2,,A,,94.4%,3.1%,0.8%,0.9%,0.5%,0.3%,14,"['Sans colorants', 'Sans conservateurs']",,,,,,,,,,
1060,Poulet à la moutarde - NH,8423263021599,['France'],[],[],?,63,264 kj(63 kcal),"1,3","0,2","5,4","1,1",7,"0,9","0,36",,['NH'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1061,Blanquette de volaille et riz,8423263021605,['France'],[],[],?,312,1305 kj(312 kcal),"2,4",1,15,"0,4","7,4","0,9","0,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Sans colorants', 'Sans conservateurs']",,,,,,,,,"['FR 86.252.002 CE', 'Sammarçolles (Vienne, France)']",
1062,Lasagnes végétariennes - Naturhouse,8423263021612,['France'],"['eau', 'pâte 14% ', 'semoule de blé dur', 'oeuf', 'eau', 'tomate 8,6%', 'courgette 6%', 'aubergine grillée 5,2%', 'oignon préfrit', 'amidon modifié de maïs', 'échalote', 'huile de colza', 'concentré de tomate', 'sel', "" Mode d' emploi: Ouvrir partiellement le film et chauffer 2 minutes au micro-ondes à 750W""]",['Non végétalien'],?,76,318 kj(76 kcal),"2,5","0,2","12,5","0,9","1,7","0,7","0,28",,['Naturhouse'],"['Plats préparés', 'Plats à base de pâtes', 'Lasagnes préparées', 'Lasagnes végétariennes']",['E14XX - Amidons modifiés'],['Œufs'],4,2.5 g,en faible quantité,0.2 g,en faible quantité,0.9 g,en faible quantité,0.7 g,en quantité modérée,,-40%,-40%,-55%,-91%,-2%,-68%,-66%,-8%,-8%,2,-13%,B,-13%,,,,,,,,"['Sans colorants', 'Sans conservateurs']",,,,,,,,,,
1063,Colin sauce marjolaine - Naturhouse,8423263021629,['France'],"['boulgour précuit aux légumes 41 ', 'boulgours eau', 'carotte 6,2%', 'courgette 62%', 'huile de colza', 'sel', ' colin 25%', 'eau', 'crème fraiche épaisse 6,4%} amidon modifié de maïs', 'marjolaine 1 0%', 'jus de citron', ""sels Peut contenir des traces d'oeuf"", 'soja', 'sésame', "" Mode d' emploi: Ouvrir pariellement le film et chauffer 2 minutes au micro-ondes à 750W""]",[],?,282,1180 kj(282 kcal),"3,2","1,6","11,6","1,1","6,4","0,5","0,2",,['Naturhouse'],,,"['Œufs', 'Poisson']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Sans colorants', 'Sans conservateurs']",,,,,,,,,,
1064,Penne au saumon et epinards,8423263021636,['France'],[],[],?,87,364 kj(87 kcal),"3,2","1,9","8,9","0,3","5,2","0,8","0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1065,Poulet basquaise et riz -,8423263021650,['France'],[],[],?,108,452 kj(108 kcal),"1,7","0,3","15,5","0,8","7,4","0,8","0,32",D,,"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats à la volaille', 'Plats au poulet', 'Poulets basquaise']",,,,1.7 g,en faible quantité,0.3 g,en faible quantité,0.8 g,en faible quantité,0.8 g,en quantité modérée,,-7%,-7%,-55%,-66%,+36%,-55%,-2%,-7%,-7%,0,-100%,B,-100%,78.2%,13.6%,2.4%,3.4%,1.4%,1.0%,44,"['Sans colorants', 'Sans conservateurs']",,,,,,,,,,
1066,Poulet au curry coco et riz - Natur house,8423263021667,['France'],[],[],?,108,452 kj(108 kcal),"1,8","1,8","15,4","0,6","7,4","0,8","0,32",D,['Natur house'],"['Viandes', 'Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Volailles', 'Plats à base de riz', 'Poulets', 'Volailles cuites', 'Plats à la volaille', 'Poulets cuisinés', 'Plats au poulet', 'Poulets au curry']",,,,1.8 g,en faible quantité,1.8 g,en quantité modérée,0.6 g,en faible quantité,0.8 g,en quantité modérée,,-21%,-17%,-61%,-1%,+12%,-67%,+3%,+3%,+3%,1,-27%,B,-27%,80.4%,13.1%,1.9%,2.8%,1.1%,0.8%,36,,,,,,,,,,,
1067,Naturhouse saumon sauce citron et riz,8423263021674,['France'],"['eau', 'riz précuit 25 % ', 'eau', 'riz', 'saumon 23,2%', 'lentille réhydratée ', 'lentiile', 'eau', ' 9,8 %', 'jus de citron 1 0%', 'échalote', 'flocons de pomme de terre ', 'pomme de terres mono et diglycérides diacides gras', 'acide ascorbique', 'sucre', 'huile de colza', 'sel', 'beurre 0,4 %', 'arôme', 'gomme de xanthane', 'curcuma Peut contenir des traces de gluten', "" Mode d' emploi: Ouvrir partiellement le film et chauffer 2 minutes au micro-ondes à 750Wv Ingredienti: acqua"", 'riso precotto 25% ', 'acqua', 'riso', 'salmone 23,2%', 'lenticchie reidratate 9,8% ', 'lenticchie', 'acqua', 'succo di limone 1 ,6%', 'scalogno', 'fiocchi di patate ', 'patata', 'mono e digliceridi di acidi grassi', 'acido ascorbico', 'zucchero', 'olio di colza', 'sale', 'burro 0,4%', 'aroma', 'gomma xantana', 'curcuma', ' Pub contenere tracce di glutine', "" Modo d'uso: Aprire parzialmente la pellicola e scaldare 2 minuti al microonde a 750Ws""]","['Non végétalien', 'Non végétarien']",?,115,481 kj(115 kcal),"3,8","0,9","12,8",1,"6,9","0,52","0,208",,['Naturhouse'],"['Plats préparés', 'Plats préparés au poisson', 'Plats à base de riz']",['E415 - Gomme xanthane'],"['Poisson', 'Gluten', 'Lait']",4,3.8 g,en quantité modérée,0.9 g,en faible quantité,1 g,en faible quantité,0.52 g,en quantité modérée,,-26%,-24%,-17%,-41%,-33%,-32%,+7%,-35%,-35%,-2,-217%,A,-217%,,,,,,,,"['Sans colorants', 'Sans conservateurs']",,,,,,,,,,
1068,Crème du potager,8423263021728,['France'],[],[],?,32,134 kj(32 kcal),"0,4","0,1","4,6","1,3","2,4","0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['en:gluten-free', 'Sans colorants', 'Sans conservateurs']",,,,,,,,,,
1069,Naturhouse cocotte de pois chiches aux légumes - 250g,8423263021735,['France'],"['eau', 'légumes ', '20% mini carottes', 'oignons', 'poivrons rouges et verts', 'ail', 'pois chiches ', '13%', 'pommes de terre', 'sauce tomate ', 'tomates', 'sucre', ""huile d'olive vierge extra"", 'légumes', 'sel et amidon de mais', ""huile d'olive vierge extra "", '0,8%', 'protéines de pois', 'extrait de levure', 'arôme', 'stabilisant: gomme de Konjac ', 'glucomannane', ' ', '0,4%', ' antioxydants: acide ascorbique', 'citrate de sodium et E-385', 'épices', 'sel']",[],329,79,329 kj(79 kcal),"1,7","0,3",12,"2,4","4,3","0,6","0,24",,['Naturhouse'],,"['E425i - Gomme de konjac', 'E331 - Citrates de sodium', 'E385 - Éthylène diamine tétra-acétate de calcium disodium']",,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['en:gluten-free', 'Sans colorants', 'Sans conservateurs']",250 g,,Plat préparé,,,,,,,
1070,Petits pois mijotés au quinoa,8423263021742,['France'],[],[],?,89,372 kj(89 kcal),1,"0,1","12,1","4,7","5,4","0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['en:gluten-free', 'Sans colorants', 'Sans conservateurs']",,,,,,,,,,
1071,Haricots verts mijotés aux graines de chia - NaturHouse,8423263021759,['France'],"['haricots verts ', '85%', 'oignons', 'graines de chia ', '5%', 'vin blanc', 'ail', 'huile dlolive vierge extra ', '0,5%', 'peft vinaigre de vin', 'extrait de levure', 'arôme', 'protéines de pois', 'stabilisant: gomme de Konjac ', 'glucomannane', ' ', '0,4%', 'antioxydants: E-385', 'acide ascorbique et citrate de sodium', 'sel']",[],?,162,678 kj(162 kcal),"5,6","0,3","8,2","2,9","3,4","0,6","0,24",,['NaturHouse'],,"['E425i - Gomme de konjac', 'E385 - Éthylène diamine tétra-acétate de calcium disodium', 'E300 - Acide ascorbique', 'E331 - Citrates de sodium']",,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['en:gluten-free', 'Sans colorants', 'Sans conservateurs']",,,,,,,,,,
1072,Naturhouse lentilles castillanes aux legumes et quinoa,8423263021766,['France'],"['eau', 'légumes ', '28%: mini-carottes', 'oignons', 'poivrons rouges et verts', 'ail', 'lentilles castillanes ', '12%', 'pommes de terre', 'quinoa ', '3%', 'sauce tomate ', 'tomates', 'sucre', 'huile d$olive vierge extra', 'légumes', ""sel et amidon de ma'is"", ""huile d'olive vierge extra "", '0,2%', 'amidon de maïs modifié', 'extrait de levure', 'arôme', 'stabilisant: gomme de Konjac ', 'glucomannane', ' ', '0,4%', 'sel', 'antioxydants: acide ascorbique', 'citrate de sodium et E-385', 'paprika fumé ', 'Pimentén de la Vera AOP', 'laurier', 'sel']",[],?,77,322 kj(77 kcal),"0,7","0,1","13,8","1,5",4,"0,5","0,2",,['Naturhouse'],,"['E425i - Gomme de konjac', 'E300 - Acide ascorbique', 'E331 - Citrates de sodium', 'E385 - Éthylène diamine tétra-acétate de calcium disodium']",,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['en:gluten-free', 'Sans colorants', 'Sans conservateurs']",,,,,,,,,,
1073,Crème du potager - Naturhouse,8423263021773,['France'],"['eau', 'légumes ', '35%: carottes', 'courgettes', 'oignons', 'haricots verts', 'poireaux', 'ail', 'pommes de terre', 'protéines de pois', 'sauce tomate ', 'tomates', 'sucre', ""huile d'olive vierge extra"", 'légumes', 'sel et amidon de maïs', ""huile d'olive vierge extra "", '0,2%', 'amidon de maïs modifié', 'arôme naturel', 'stabilisant: gomme de Konjac ', 'glucomannane', ' ', '0,4%', 'antioxydants: acide ascorbique et citrate de sodium', 'paprika fumé ', 'Pimentén de la Vera AOP', 'épices,']",[],?,337,1410 kj(337 kcal),"0,9","0,1","11,5","3,3","5,9","1,3","0,52",,['Naturhouse'],,"['E425i - Gomme de konjac', 'E300 - Acide ascorbique', 'E331 - Citrates de sodium']",,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['en:gluten-free', 'Sans colorants', 'Sans conservateurs']",,,,,,,,,,
1074,Crema Puerros 5SOBRES Slimbel - Naturhouse,8423263101444,['France'],"['lait écrémé en poudre', 'pomme de terre déshydratée en poudre', 'poireau-blanc déshydraté en poudre ', '16', '4%', 'protéines de lait', ""l'huile de tournesol"", 'huile végétale hydrogénée', 'complexe minéral ', 'chlorure de sodium', 'phosphate de calcium', 'carbonate de magnésium', 'citrate potassium', 'glutamate de sodium', 'pyrophosphate de fer', 'sulfate de zinc', 'gluconate de cuivre', 'sulfate de manganèse', 'iodure de potassium', 'sélénite de sodium', 'oignon déshydraté en poudre', 'émulsifiant: lécithine de soja', 'stabilisants: carraghénanes', 'arôme de poulet', 'arôme de pomme de terre ', 'les vitamines du complexe ', 'vitamine C', 'niacine', 'vitamine E', 'pantothénate de calcium', 'la vitamine 86', 'vitamine 82', 'vitamine BI', 'vitamine A', 'acide folique', 'biotine', 'vitamine D', 'vitamine B12', 'maltodextrine', ' Elaboré dans une usine qui utilise des oeufs', 'noix écalées', 'de sésame et ses dérivés', ' Contient du lactose', "" MODE D'EMPLOI: Dissoudre le contenu d'un sachet dans 225"", "" ml' d'eau frémissante"", ' Remuer le mélange avec une fourchette pour éviter les grumeaux', ' Ne pas utiliser de shaker', ' Assaisonner au goût', ' Il est important', ' de maintenir un apport liquidien quotidien suffisant', "" Ce produit n'a l'effect souhaité que dans le cadre d'un régime hypocalorique et que"", 'dans ce cadre', "" ils doivent être complétes par d'autres aliments"", ' CONSERVATION: Conserver dans un endroit frais et sec', ' Protéger de la lumière']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",?,414,1732 kj(414 kcal),"5,5",1,"24,2","9,6","13,2","0,6","0,24",D,['Naturhouse'],"['Produits laitiers', 'Laits']","['E330 - Acide citrique', 'E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E322i - Lécithine', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition']",['Lait'],4,5.5 g,en quantité modérée,1 g,en faible quantité,9.6 g,en quantité modérée,0.6 g,en quantité modérée,,+527%,+532%,+167%,-16%,+302%,+77%,+272%,+384%,+384%,1,+74%,B,+74%,78.7%,1.1%,11.0%,6.0%,3.2%,0.0%,54,"[""À l'huile de tournesol""]",,,,,,,,,,
1075,Arteki Plus,8423263900399,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
