,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,brand,categories,additives,allergens,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,quantity,packaging,generic_name,ingredients_origins,manufacturing,markets,link,palm_ingredients,traceability_code,brand_owner
26,Tomate sechees a l'huile d'olive,8411102012631,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,0,0,E,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Produits déshydratés', 'Tomates et dérivés', 'Aliments à base de plantes séchées', 'Légumes séchés', 'Tomate séchée', ""Tomate séchée à l'huile""]",,,,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,,-100%,-100%,-100%,-100%,-100%,-100%,-100%,-100%,-100%,-5,-202%,A,-202%,34.1%,59.8%,3.6%,1.3%,1.0%,0.2%,13,,,,,,,,,,,
27,Ajos en aceite con hierbas - 230g,8411102012990,['France'],[],[],?,343,1435 kj(343 kcal),34,"5,3","6,9",0,"20,96","0,96","0,384",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230 g,,,,,,,,,
28,Ajos en Vinaigre - 345g,8411102013003,['France'],[],[],?,14,59 kj(14 kcal),0,0,0,0,"1,7",2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,345 g,,,,,,,,,
29,Pimientos Del piquillo - Coquet,8411102013478,['France'],"['roducto de Peru 013478 del SAO lote Consutlk', ' de Vec l', 'na con- on el tmQì1iN:o 1000']",[],?,31,130 kj(31 kcal),0,0,"5,6","4,8","1,1","0,85","0,34",,['Coquet'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Cebollitas rosas,8411102014574,['France'],[],[],?,19,79 kj(19 kcal),"0,5",0,4,"2,2","0,9","0,92","0,368",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Capres Doux Sans Vinaigre - AIL AIL AIL - 230g,8411102017070,['France'],"['Câpres', 'eau', ""huile d'olive extra vierge"", 'sel', 'ail']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,25,105 kj(25 kcal),"1,1","0,2","0,8","0,8","2,1","2,3","0,92",,['AIL AIL AIL'],['Câpres'],,,3,1.1 g,en faible quantité,0.2 g,en faible quantité,0.8 g,en faible quantité,2.3 g,en quantité élevée,,-19%,-19%,+86%,+90%,-75%,+41%,-10%,-58%,-58%,6,-14%,C,-14%,,,,,,,,,230 g,['Bocal en verre'],Câpres Doux,['Europe'],['Espagne'],"['CARREFOUR', 'SUPER U', 'LECLERC', 'AUCHAN', 'INTERMARCHE']",http://ailailail.fr/home/873-cpresdoux-8411102017070.html,,,
32,Oignons Roses Au Jus De Betterave -pot De 230G - 230g,8411102017094,['France'],[],[],?,39,163 kj(39 kcal),"5,22","0,4","6,6",0,"1,8","2,3","0,92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230 g,,,,,,,,,
33,Ail Doux à L'orientale - Ail! Ail! Ail ! - 230g,8411102017148,['France'],"['Ail ', '56 %', 'piment ', '5 %', 'huile de tournesol', 'sel et piment doux moulu', ' Acidifiants : E330', 'E260']",[],?,70,293 kj(70 kcal),"5,7","0,7","1,13","1,1","2,76","1,5","0,6",,['Ail! Ail! Ail !'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Plantes condimentaires']","['E330 - Acide citrique', 'E260 - Acide acétique']",,3,5.7 g,en quantité modérée,0.7 g,en faible quantité,1.1 g,en faible quantité,1.5 g,en quantité modérée,,-33%,-35%,+60%,+3%,-93%,-87%,+25%,+116%,+116%,3,-1%,C,-1%,,,,,,,,,230 g,,Ail doux à l'Orientale - AIL ! AIL ! AIL !,['Europe'],['Espagne'],,http://ailailail.fr/home/868-aillorientale-8411102017148.html,,,
34,Salade cocktail,8411102017179,['France'],[],[],?,32,134 kj(32 kcal),"1,77","0,3","2,34",0,"1,37","2,2","0,88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Poivrons au Farcis au Thon - AIL ! AIL ! AIL ! - 230g,8411102017186,['France'],"['Poivrons', 'huile de tournesol', 'thon', 'olives', 'câpres', 'anchois', 'sucre', 'persil']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,282.82,1183 kj(282 kcal),"17,16","2,2",0,0,"7,07",,,,['AIL ! AIL ! AIL !'],"['Plats préparés', 'Légumes préparés', 'Poivrons farcis']",,['Poisson'],3,17.2 g,en quantité modérée,2.2 g,en quantité modérée,0 g,en faible quantité,,,,+65%,+67%,+47%,-35%,-100%,-100%,+84%,,,,,,,,,,,,,,,230 g,['Bocal en verre'],Poivrons au Farcis au Thon,['Europe'],['Espagne'],"['CARREFOUR', 'SUPER U', 'AUCHAN', 'LECLERC', 'INTERMARCHÉ']",http://ailailail.fr/home/881-poivronsfarcisauthon-8411102017186.html,,,
36,Mini poivrons farcis au thon - Byzance - 240g,8411102017834,['France'],['MINIS POIV FARCIS AU THON'],[],?,390,1632 kj(390 kcal),39,"4,6","4,6","1,8",5,"0,92","0,368",,['Byzance'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240 g,,,,,,,,,
37,Poivrons farcis  câpres Bellota,8411102017841,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Banderilles dulee,8411102018411,['France'],[],[],?,30,126 kj(30 kcal),"1,2","0,5","2,6","1,8",2,"1,63","0,652",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Pimiento Relleno Bacalao-gamba Fiesta - Dantza,8411108434116,['France'],"['haredientes: Pimientos ael piqui\\lo', 'bacalao ', '20%', 'cebolla', 'trigo', 'aceite de girasol', 'vino azjcar', 'sal', 'ajo', 'almidén de maiz', 'I es:eiasy acidulante: écido citrico', ' gluten', 'pescado y leche']","['Non végétalien', 'Non végétarien']",?,92,385 kj(92 kcal),"4,3","0,8","10,9","3,9","2,4",1,"0,4",,['Dantza'],,,"['Poisson', 'Gluten', 'Lait']",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Tomate Troceado - Dantza,8411108551219,['France'],[],[],?,19,79 kj(19 kcal),"0,5",0,"3,5","3,1","0,77","0,03","0,012",,['Dantza'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
