,name,bar_code,eco_score,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,packaging,brand,labels,traceability_code,markets,quantity,additives,allergens,nova_score,palm_ingredients,ingredients_origins,manufacturing,generic_name,link,brand_owner
614,Jambon cuit tranché,0233220029197,E,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs']",['France'],[],[],7.8 g,en quantité modérée,2.4 g,en quantité modérée,0.5 g,en faible quantité,1.7 g,en quantité élevée,?,,156,+18%,653 kj(156 kcal),+19%,"7,8",+62%,"2,4",+30%,"0,5",-25%,"0,5",-16%,21,-0%,"1,7",-9%,"0,68",-9%,5,-29%,C,-29%,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,,,,"['FR 26.113.031 CE', 'Die (Drôme, France)']",,,,,,,,,,,
615,Miel cremeux,3770001551357,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
616,Calissons du Roy René,3102621003471,,,['France'],[],[],,,,,,,,,?,,456,,1908 kj(456 kcal),,22,,4,,53,,47,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
617,Zwiebelwurst Dose,4260030750764,,,"['France', 'Allemagne']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,['Dose'],,,,,,,,,,,,,,
618,Bratwurst fein Dose,4260030750702,,,"['France', 'Allemagne']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,"['stück', 'stück', 'stück']",,,,,,,,,,,,,,
619,Schinkenwurst,4260030750818,,,"['France', 'Allemagne']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,['Dose'],,,,,,,,,,,,,,
620,Aalrauch Mettwurst,2170770004657,,,"['France', 'Allemagne']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,['Glas'],,,,,,,,,,,,,,
621,Aceto balsamico di Modena,2040000851859,B,"['Vinaigres', 'Vinaigres balsamiques', 'Vinaigres balsamiques de Modène']",['France'],[],[],0 g,en faible quantité,0 g,en faible quantité,53 g,en quantité élevée,0 g,en faible quantité,?,,234,+59%,979 kj(234 kcal),+59%,0,-100%,0,-100%,53,+67%,53,+82%,"0,7",+5%,0,-100%,0,-100%,,,,,39.4%,16.4%,33.5%,8.2%,2.4%,0.0%,91,,,,,,,,,,,['Italie'],,,,
622,Vin,3461378977788,,,['France'],[],[],,,,,,,,,?,,900,,3766 kj(900 kcal),,"99,8",,"15,1",,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
623,Scheidegger Bergkäse würzig - 272g,2218506005445,,,"['France', 'Allemagne']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,['Packung(en)'],,,,,272 g,,,,,,,,,
