,name,bar_code,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,traceability_code,labels,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,markets,ingredients_origins,packaging,allergens,nova_score,manufacturing,generic_name,additives,brand_owner,link
43,Galette amande grise,0205302039035,,['France'],[],[],?,416,1741 kj(416 kcal),29,15,31,"8,8","6,6","0,58","0,232",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Poivre Noir Moulu,8413900091283,,['France'],[],[],?,?,,?,,?,,?,,,,,,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices', 'Poivres', 'Poivres noirs', 'Poivres moulus', 'Poivre noir moulu']",,,,,,,,,,,,,,,,,,,,,,,41.9%,0.0%,34.8%,11.8%,11.5%,0.0%,94,,,,,,,,,,
45,Melange pate,3275923051348,,['France'],[],[],?,357,1494 kj(357 kcal),12,"5,2",35,14,19,"1,7","0,68",,,['Fabriqué en France'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Poulet entier,0217013040606,,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Comté - JuraFlore,2671331030707,['JuraFlore'],['France'],[],[],?,?,,?,,?,,?,,,,"['FR 39.434.001 CE', 'Poligny (Jura, France)']",['AOP'],D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté']",,,,,,,,,,,,,,,,,,,,,,,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,
48,Nos poireaux fondants - Priméale,3663362016255,['Priméale'],['France'],[],[],?,62,259 kj(62 kcal),"0,5","0,1",12,"3,9","1,5","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Risotto,8033576540863,,['France'],[],[],?,417,1745 kj(417 kcal),"5,2","0,3","75,7","0,8","13,4","0,9","0,36",,,['en:gluten-free'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Ballotine de volaille nature,3346650217939,,['France'],[],[],?,221,925 kj(221 kcal),"16,9","6,15","2,9","1,7","14,4","1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Galette des rois pommes,0208872025910,,['France'],[],[],?,258,1079 kj(258 kcal),13,"9,1",31,"8,2","2,8","0,5","0,2",,,,D,"['Biscuits et gâteaux', 'Pâtisseries', 'Galettes des rois']",13 g,en quantité modérée,9.1 g,en quantité élevée,8.2 g,en quantité modérée,0.5 g,en quantité modérée,,-39%,-39%,-51%,-39%,-20%,-36%,-56%,-28%,-28%,15,-22%,D,-22%,88.4%,6.6%,2.2%,1.6%,1.2%,0.0%,36,,,,,,,,,,
52,Truffes fantaisie - Mathez,3481290035977,['Mathez'],['France'],[],[],?,584,2443 kj(584 kcal),43,37,42,40,"3,9","0,15","0,06",,,['Fabriqué en France'],,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Bonbons de chocolat', 'Truffes en chocolat']",43 g,en quantité élevée,37 g,en quantité élevée,40 g,en quantité élevée,0.15 g,en faible quantité,,-0%,+0%,-1%,+13%,+4%,+9%,-18%,+15%,+15%,25,+5%,E,+5%,,,,,,,,,,,,,,,,,
53,Guava Barbecue sauce,0075370002312,,['France'],[],[],?,208,870 kj(208 kcal),0,0,32,32,0,3,"1,2",,,['en:gluten-free'],B,"['Epicerie', 'Sauces', 'Sauces barbecue']",0 g,en faible quantité,0 g,en faible quantité,32 g,en quantité élevée,3 g,en quantité élevée,,+33%,+32%,-100%,-100%,+3%,+23%,-100%,+49%,+49%,19,+31%,E,+31%,42.3%,24.8%,16.7%,9.7%,5.1%,1.3%,92,,,,,,,,,,
54,Jambon cru aoste,0210860018637,,['France'],[],[],?,274,1146 kj(274 kcal),18,"7,4",1,1,27,"5,7","2,28",,"['EMB 38012', 'Aoste (Isère, France)']","['Viande Française', 'Viande Porcine Française', 'Sans conservateurs']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Comte,0278532043363,,['France'],[],[],?,413,1728 kj(413 kcal),34,22,0,0,27,0,0,,"['FR 25.039.003 CE', 'Avoudrey (Doubs, France)']",['AOP'],D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté']",34 g,en quantité élevée,22 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,,-1%,-1%,-2%,-3%,-100%,-100%,+0%,-100%,-100%,10,-23%,C,-23%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,
56,La bonne soupe de poissons,3770000648386,,['France'],[],[],?,?,,?,,?,,?,,,,,,E,"['Plats préparés', 'Soupes', 'Soupes à réchauffer', 'Soupes de poissons']",,,,,,,,,,,,,,,,,,,,,,,89.9%,2.6%,1.2%,5.2%,0.8%,0.3%,25,,,,,,,,,,
57,Steak de soja indienne,0209873012145,,['France'],[],[],?,186,778 kj(186 kcal),"7,4","1,3",10,"6,7",17,"1,1","0,44",,,"['Nutriscore', 'Nutriscore A']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Vegetable Balti,5015285811550,,['France'],[],[],?,78,326 kj(78 kcal),2,"0,3","13,3","2,3","3,5","0,51","0,204",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Brochette guimauve panache noel - 55g,3263629764907,,['France'],[],[],?,383,1602 kj(383 kcal),0,0,94,79,"2,3","0,1","0,04",55 g,,,B,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons', 'Guimauves']",0 g,en faible quantité,0 g,en faible quantité,79 g,en quantité élevée,0.1 g,en faible quantité,,+9%,+8%,-100%,-100%,+23%,+23%,-36%,+76%,+76%,14,-11%,D,-11%,60.5%,21.9%,10.2%,5.2%,2.3%,0.0%,89,,,,,,,,,,
60,Terrine de chevreuil - Maison Occitane,3443705054744,['Maison Occitane'],['France'],[],[],?,383,1602 kj(383 kcal),36,15,"0,6","0,5",13,"1,6","0,64",,"['EMB 65375A', 'Rabastens-de-Bigorre (Hautes-Pyrénées, France)']",,,"['Viandes', 'Charcuteries', 'Produits à la viande', 'Terrines', 'Terrines de chevreuil']",36 g,en quantité élevée,15 g,en quantité élevée,0.5 g,en faible quantité,1.6 g,en quantité élevée,,+24%,+23%,+37%,+55%,-59%,+22%,-11%,+3%,+3%,21,+15%,E,+15%,,,,,,,,,,,,,,,,,
61,Galette frangipane,0265833032141,,['France'],[],[],?,?,,?,,?,,?,,,,,,D,"['Biscuits et gâteaux', 'Pâtisseries', 'Galettes des rois']",,,,,,,,,,,,,,,,,,,,,,,88.4%,6.6%,2.2%,1.6%,1.2%,0.0%,36,,,,,,,,,,
