,name,bar_code,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,traceability_code,labels,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,markets,ingredients_origins,packaging,allergens,nova_score,manufacturing,generic_name,additives,brand_owner,link
1120,Écorces d'orange confites,2601481043425,,['France'],[],[],?,310,1297 kj(310 kcal),"0,3","0,2",76,55,1,"0,02","0,008",,,['Fabriqué en France'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1121,French coupable tartinable - 90g,3770014723109,,['France'],[],[],?,116,485 kj(116 kcal),"8,9",1,"6,3","5,3","1,5","0,4","0,16",90 g,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1122,Filet di sauris alle erbe,2160050001957,,['France'],[],[],?,154,644 kj(154 kcal),"3,8","1,7",0,0,30,5,2,,,['en:gluten-free'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1123,Soupe butternut Giraudet,0205799025658,,['France'],[],[],?,67.7,283 kj(67 kcal),"3,4","1,7","7,7","1,3","2,2","0,7","0,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1124,Betaine hydrochloride,0097467043701,,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1125,Meringues,3265820973508,,['France'],[],[],?,?,,?,,?,,?,0,0,,,['en:gluten-free'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1126,Rillettes du mans - Tradilège,990530101000775028,['Tradilège'],['France'],[],[],?,423,1770 kj(423 kcal),40,14,"0,2","0,2",16,"1,3","0,52",,,"['Viande Française', 'Viande Porcine Française']",D,"['Viandes', 'Produits à tartiner', 'Charcuteries', 'Produits à tartiner salés', 'Rillettes', 'Rillettes de viande', 'Rillettes françaises', 'Rillettes de viande rouge', 'Rillettes de la Sarthe', 'Rillettes de porc', 'Rillettes du Mans']",40 g,en quantité élevée,14 g,en quantité élevée,0.2 g,en faible quantité,1.3 g,en quantité modérée,,+5%,+6%,+7%,-2%,-45%,-28%,+1%,+4%,+4%,20,+3%,E,+3%,74.1%,17.7%,4.6%,2.1%,1.2%,0.3%,39,,,,,,,,,,
1127,Liqueur de violette 18 %,3153330182193,,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1128,Reblochon,2204678002627,,['France'],[],[],?,?,,?,,?,,?,,,,,"['Fabriqué en France', 'AOP']",D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Reblochons']",,,,,,,,,,,,,,,,,,,,,,,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,,
1129,Jambon cuit a l'ancienne label rouge - Carrefour,2411843038378,['Carrefour'],['France'],[],[],?,189,791 kj(189 kcal),11,"4,1","0,6","0,6",21,"1,8","0,72",,"['EMB 29004D', 'Bannalec (Finistère, France)', 'FR 29.004.023 CE', 'Bannalec (Finistère, France)']",['Label Rouge'],E,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs', ""Jambons cuits à l'ancienne""]",11 g,en quantité modérée,4.1 g,en quantité modérée,0.6 g,en faible quantité,1.8 g,en quantité élevée,,+24%,+24%,+79%,+70%,+21%,+23%,-6%,-8%,-8%,13,+33%,D,+33%,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,['Carrefour'],,,,,,,,,
1130,Tournedos dans le filet - Charal,0292451087055,['Charal'],['France'],[],[],?,113,473 kj(113 kcal),"2,3","0,8",0,0,23,"0,17","0,068",,,,,"['Viandes', 'Bœuf', 'Tournedos de boeuf']",2.3 g,en faible quantité,0.8 g,en faible quantité,0 g,en faible quantité,0.17 g,en faible quantité,,-37%,-37%,-76%,-80%,-100%,-100%,+14%,-85%,-85%,-4,-176%,A,-176%,,,,,,,,,,,,,,,,,
1131,Jambon blanc supérieur Somainois,0216217025587,,['France'],[],[],?,?,,?,,?,,?,0,0,,,,E,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs', 'Jambon cuit supérieur']",,,,,,,0 g,en faible quantité,,,,,,,,,-100%,-100%,,,,,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,,,,,,,,,,
1132,Souris agneau - Jean Rozé,0211937058129,['Jean Rozé'],['France'],[],[],?,159,665 kj(159 kcal),"8,8",4,"0,5","0,5",20,"0,94","0,376",,,"['Nutriscore', 'Nutriscore C']",,"['Viandes', ""Viandes d'agneau""]",8.8 g,en quantité modérée,4 g,en quantité modérée,0.5 g,en faible quantité,0.94 g,en quantité modérée,,+6%,+6%,+25%,+47%,-62%,-28%,+6%,-6%,-6%,3,+7%,C,+7%,,,,,,,,,,,,,,,,,
1133,Thé bleu,3700286561284,,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1134,Rampe de course,4056232663731,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1135,Feuille de Nori - Algaé,3467740095036,['Algaé'],['France'],[],[],?,176,736 kj(176 kcal),"1,6","0,4",13,"1,2",28,"4,9","1,96",,,,E,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits de la mer', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Algues et dérivés', 'Algues sèches', 'Algues nori']",1.6 g,en faible quantité,0.4 g,en faible quantité,1.2 g,en faible quantité,4.9 g,en quantité élevée,,-16%,-22%,-1%,+20%,-32%,+184%,+30%,+99%,+99%,12,+123%,D,+123%,53.3%,42.5%,1.8%,1.6%,0.8%,0.0%,25,,,,,,,,,,
1136,Sorbet fruit de la passion,8712566359523,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1137,Paté de campagne superieur,2226320022708,,['France'],[],[],?,308,1289 kj(308 kcal),"25,9","8,7","2,3","1,1","16,2","1,8","0,72",,,"['Viande Française', 'Viande Porcine Française', 'Sans additifs']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1138,Sel epicé poulet roti,3760168087363,,['France'],[],[],?,?,,?,,?,,?,,,,,,B,"['Epicerie', 'Condiments', 'Sels']",,,,,,,,,,,,,,,,,,,,,,,50.9%,0.0%,27.5%,11.1%,10.5%,0.0%,98,,,,,,,,,,
1139,Glace Yuzu - 365g,2004944004320,,['France'],[],[],?,?,,?,,?,,?,,,365 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1140,Brioche Bonnin,3760071420066,,['France'],[],[],?,365,1527 kj(365 kcal),"16,8","8,9","44,9","12,3","8,2","0,89","0,356",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1141,Risotto ai carciofi,8032749123032,,['France'],[],[],?,348,1456 kj(348 kcal),"0,75","0,11","77,4","0,32","7,88","0,29","0,116",,,"['en:gluten-free', 'Sans colorants', 'Sans conservateurs']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1142,Papillotes,0404124620036,,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1143,Sainte croix,3367770011092,,['France'],[],[],?,?,,?,,?,,?,0,0,,,"['Point Vert', 'AOP']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1144,CHEVRE NATURE SALE MAIN,0203942030115,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1145,Foie gras de canard entier - 180g,3556470854713,,['France'],[],[],?,448,1874 kj(448 kcal),"45,4",0,23,0,"7,5","1,38","0,552",180 g,"['FR 67.482.021 CE', 'Strasbourg (Bas-Rhin, France)']",['Fabriqué en France'],B,"['Poissons et viandes et oeufs', 'Foies gras', 'Foies gras de canard', 'Foies gras entiers', 'Foies gras de canard entiers']",45.4 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,1.38 g,en quantité modérée,,-15%,-15%,-16%,-100%,+866%,-100%,-0%,+15%,+15%,11,-47%,D,-47%,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,,,,,,,,,,
1146,La galette,3355710814988,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1147,Sachet mini blinis nature,3392070180032,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1148,Mombazillac,3760022320018,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1149,100% Juice - Tropicana,0048500005729,['Tropicana'],"['France', 'États-Unis']","['Orange juice from concentrate ', 'filtered water and orange juice concentrate', 'ascorbic acid ', 'vitamin c', '* and natural flavors*']",[],?,46,192 kj(46 kcal),0,0,"11,25","9,17","0,83","0,015","0,006",,,,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux']",0 g,en faible quantité,0 g,en faible quantité,9.17 g,en quantité élevée,0.015 g,en faible quantité,,+15%,+14%,-100%,-100%,+34%,+23%,+115%,-39%,-39%,14,+137%,E,+137%,,,,,,,,,,,,1,,,,"Tropicana Products, Inc.",
1150,Pasta di semola di grano duro,8009452227081,,['France'],[],[],?,352,1473 kj(352 kcal),"1,5","0,3",71,4,"13,5","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1151,Miel de romarin,3760001820935,,['France'],[],[],?,?,,?,,?,,?,,,,,,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de romarin']",,,,,,,,,,,,,,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,
1152,Miel de printemps,3572250011237,,['France'],[],[],?,?,,?,,?,,?,,,,,,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de Printemps']",,,,,,,,,,,,,,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,
1153,La pizza-prêt',3443541235000,,['France'],[],[],?,62,259 kj(62 kcal),"2,77","0,3","7,9","5,14","1,38","0,83","0,332",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1154,Pate'di olive verdi,8028000101987,,['France'],[],[],?,162,678 kj(162 kcal),16,"2,6","2,1",0,"1,3","3,8","1,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1155,Glace,3415581526714,,['France'],[],[],?,251,1050 kj(251 kcal),17,"10,4","18,8",10,4,"0,18","0,072",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1156,Salade duo celeri-carotte,0201005015352,,['France'],[],[],?,106,444 kj(106 kcal),"8,9","0,7","4,2","3,9","1,1","1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1157,TRAOU MAD,3106130000648,['Traou Mad'],['France'],[],[],?,514,2151 kj(514 kcal),25,17,65,30,6,"0,88","0,352",,,['Fabriqué en France'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1158,Kariot,0084685000692,,['France'],[],[],?,605,2531 kj(605 kcal),"20,4","5,8","67,9",30,"4,9","0,54","0,216",,,"['Sans colorants', 'Sans conservateurs']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1159,Amandes à la fumée de noyer,0058716991808,,['France'],[],[],?,660,2761 kj(660 kcal),54,4,18,4,22,"1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1160,Toastinade de saumon - Fleurons de Lomagne - 120g,3700428471860,['Fleurons de Lomagne'],['France'],[],[],?,271,1134 kj(271 kcal),22,"4,1","3,8","0,1",14,"1,03","0,412",120 g,,,,"['Terrines', 'Terrines de poisson', 'Terrines de saumon']",22 g,en quantité élevée,4.1 g,en quantité modérée,0.1 g,en faible quantité,1.03 g,en quantité modérée,,+32%,+33%,+43%,+17%,-10%,-93%,+26%,-9%,-9%,11,+79%,D,+79%,,,,,,,,,,,,,,,,,
1161,L'herboriste n.119 - Palais Des Thés,3700256730474,['Palais Des Thés'],['France'],[],[],?,?,,?,,?,,?,,,,,"['Bio', 'en:USDA Organic']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1162,Tisane des peintres,3554740401643,,['France'],[],[],?,?,,?,,?,,?,0,0,,,,B,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Infusions']",,,,,,,0 g,en faible quantité,,,,,,,,,-100%,-100%,,,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,,,,,,,,,
1163,La Vie En Herbes Lavande Bio - Pochette Vrac 38 g - Bio,3374010110200,,['France'],[],[],?,0,0 kj(0 kcal),?,,?,,?,0,0,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1164,Jambon cuit,2218063034117,,['France'],[],[],?,127,531 kj(127 kcal),"5,24",0,"0,6","0,2","19,4","2,53","1,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1165,Caprea - Babybio,3288131584416,['Babybio'],['France'],[],[],?,?,,?,,?,,?,,,,,['Bio'],B,"['Aliments pour bébé', 'Laits pour bébé', 'Laits pour']",,,,,,,,,,,,,,,,,,,,,,,71.8%,1.0%,10.1%,9.4%,6.0%,1.7%,94,,,,,,,,,,
1166,Brins de fruits - Motta,990530101003669197,['Motta'],['France'],[],[],?,404,1690 kj(404 kcal),13,"7,9",66,65,"3,6","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1167,4 pommes jaunes,90010718824257,,['France'],[],[],?,?,,?,,?,,?,0,0,,,,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Pommes']",,,,,,,0 g,en faible quantité,,,,,,,,,-100%,-100%,,,,,61.7%,0.0%,0.0%,19.0%,18.4%,0.9%,99,,,,,,,,,,
1168,Flan epais,0216121032145,,['France'],[],[],?,197,824 kj(197 kcal),"7,4","4,5",29,19,"3,2","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1169,Chips Saveur Barbecue - Belle France - 135g,3258561239934,['Belle France'],['France'],[],[],?,536,2243 kj(536 kcal),33,"2,7",51,"3,4",6,"1,4","0,56",135 g,,,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Céréales et pommes de terre', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Chips de pommes de terre', 'Chips de pommes de terre aromatisées', 'Chips barbecue', ""Chips de pommes de terre à l'huile de tournesol""]",33 g,en quantité élevée,2.7 g,en quantité modérée,3.4 g,en faible quantité,1.4 g,en quantité modérée,,+2%,+1%,+4%,-6%,-1%,+16%,-4%,+2%,+2%,14,+25%,D,+25%,62.4%,19.7%,7.4%,7.2%,3.4%,0.0%,78,,,,,,,,,,
1170,Nd foods vegetable chicken puree dinner,0015000073022,,['France'],[],[],?,61.946902654867,259 kj(61 kcal),"1,77",0,"7,965","2,655","1,77","0,088","0,035",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1171,Fromage frais de campagne - Laiterie Mauron - 100g,3302929147321,['Laiterie Mauron'],['France'],[],[],?,?,,?,,?,,?,,,100g,"['FR 70.280.001 CE', 'Gray-la-Ville (Haute-Saône, France)']",,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte fraîche']",,,,,,,,,,,,,,,,,,,,,,,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,,
1172,Organic Virgin Coconut oil - Hanoju - 200ml,8718164791376,['Hanoju'],['France'],[],[],?,?,,?,,?,,?,0,0,200ml,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', 'Huiles', 'Huiles de fruits et graines de fruits', 'Huiles de coco', 'Huiles vierges de coco']",,,,,,,0 g,en faible quantité,,,,,,,,,-100%,-100%,,,,,,,,,,,,,,['Bocal en verre'],,,,,,,
1173,Suisse chocolat,3571450000270,,['France'],[],[],?,350,1464 kj(350 kcal),16,10,44,19,"6,1",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1174,Confiture de pommes -,8033003243626,,"['France', 'Pays-Bas']",[],[],?,?,,?,,?,,?,,,,,,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de pommes']",,,,,,,,,,,,,,,,,,,,,,,38.5%,19.4%,25.9%,11.0%,4.2%,1.1%,87,,,"['Bocal en verre', 'product']",,,,,,,
1175,Kiwi : Phenix gold,3760264220022,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1176,HempUp,6423036000983,,['France'],[],[],?,426,1782 kj(426 kcal),26,3,36,29,13,"0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1177,Pétales choco - Gavroche Céréales - 750g,3700181513203,['Gavroche Céréales'],['France'],[],[],?,389,1628 kj(389 kcal),"4,3","1,4","76,3","27,2","8,1","0,32","0,128",750 g,,['Fabriqué en France'],C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Céréales au chocolat']",4.3 g,en quantité modérée,1.4 g,en faible quantité,27.2 g,en quantité élevée,0.32 g,en quantité modérée,,-7%,-8%,-58%,-57%,+8%,+8%,+2%,-37%,-37%,7,-30%,C,-30%,74.0%,13.1%,5.1%,5.5%,2.3%,0.0%,60,,,,,,,,,,
1178,Croissant aux abticot,2090000175950,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1179,Modern Bcaa 535G Usp Labs (pasteque),0094922423580,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1180,Petits pains grillés froment - Casino,14350631,['Casino'],['France'],[],[],?,404,1690 kj(404 kcal),"7,5",1,"7,5",6,10,"1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Casino'],,,,,,,,,
1181,Longans,8717677861392,,['France'],[],[],?,81,339 kj(81 kcal),"0,3","0,3",19,16,"0,2","0,05","0,02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1182,Découpe de poulet jaune,2446944029918,,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1183,Pain de mie extra moelleux,08063687,,['France'],[],[],?,265,1109 kj(265 kcal),3,"0,4",50,"5,5",8,"1,25","0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1184,Biscuits fins pur beurre - Delaunay-Léveillé - 120g,0654479720459,['Delaunay-Léveillé'],['France'],"['Farine de BLÉ', 'sucre', 'BEURRE pâtissier ', 'LAIT', ' 24%', 'ŒUF entier frais', ""jaunes d'OEUF"", 'sel', 'colorant : caroténoides', 'sirop de glucose']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",2162,516,2162 kj(516 kcal),26,17,65,31,"5,7","0,8","0,32",120 g,,,C,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']",26 g,en quantité élevée,17 g,en quantité élevée,31 g,en quantité élevée,0.8 g,en quantité modérée,+8%,+9%,+9%,+25%,+68%,+2%,+5%,-12%,+36%,+36%,25,+26%,E,+26%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,,"['boîte', 'métal']","['Œufs', 'Gluten', 'Lait']",4,"['Coray', 'Finistère', 'Bretagne', 'France']",Coffret garni de biscuits fins pur beurre,['E160 - Caroténoïdes'],,
1185,Nectar de pêche de vigne,3335104035014,,['France'],[],[],?,43,180 kj(43 kcal),"0,2","0,01","9,9","9,7","0,8",0,0,,,,D,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Nectars de fruits', 'Nectars de pêche']",0.2 g,en faible quantité,0.01 g,en faible quantité,9.7 g,en quantité élevée,0 g,en faible quantité,,-16%,-17%,+33%,-64%,-19%,-15%,+109%,-100%,-100%,13,-12%,E,-12%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,,,,,,
1186,Thé Palais De Bangalore Lipton,8722700472391,['Lipton'],['France'],[],[],?,4,17 kj(4 kcal),0,0,"0,5","0,1","0,5",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1187,Nouilles aux Épinards,6925487923540,,['France'],[],[],?,355,1485 kj(355 kcal),"1,5",0,72,4,12,"1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1188,Choco monnaie,3395501954172,,['France'],[],[],?,504,2109 kj(504 kcal),26,17,61,59,"6,5","0,28","0,112",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1189,Pain de mie -,78593435,,['France'],[],['Sans huile de palme'],?,268,1121 kj(268 kcal),"4,3","0,4","48,5","7,7",7,"1,13","0,452",,,['en:palm-oil-free'],B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains de mie', 'Pains de mie sans croûte']",4.3 g,en quantité modérée,0.4 g,en faible quantité,7.7 g,en quantité modérée,1.13 g,en quantité modérée,,+6%,+5%,+20%,-16%,+6%,+13%,-11%,+5%,+5%,5,+270%,C,+270%,56.3%,23.2%,13.4%,6.2%,0.9%,0.0%,93,,,,,,,,,,
1190,Tropical oolong - Palais des Thés,3700256712128,['Palais des Thés'],['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1191,Légumes pr pot au feu - Priméale - 1kg,3663362003828,['Priméale'],['France'],[],[],?,?,,?,,?,,?,0,0,1 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1192,Bio bananes,0211236011351,,['France'],[],[],?,?,,?,,?,,?,0,0,,,"['Bio', 'Bio européen', 'Commerce équitable', 'FR-BIO-10', 'Max Havelaar']",B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Fruits tropicaux', 'Bananes']",,,,,,,0 g,en faible quantité,,,,,,,,,-100%,-100%,,,,,63.7%,0.0%,0.0%,23.1%,9.9%,3.2%,95,,,,,,,,,,
1193,6 crêpes du jour,3760052480225,,['France'],[],[],?,314,1314 kj(314 kcal),"8,2","3,3",51,25,"8,6","0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1194,Club butternut chevre cranberries - Starbucks,3700365098656,['Starbucks'],['France'],[],[],?,250,1046 kj(250 kcal),"13,8","5,7","21,4","4,6","8,6","0,7","0,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1195,Filet de poulet,2410721068681,,['France'],[],[],?,?,,?,,?,,?,,,,,,D,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,,,,,,,,,,,,,,,,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,
1196,Protein bar,3700225605680,,['France'],[],[],?,300,1255 kj(300 kcal),12,"6,6",39,20,"32,5","0,94","0,376",,,"['en:gluten-free', 'Sans colorants']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1197,Durum,5412514936501,,['France'],[],[],?,296,1238 kj(296 kcal),"7,2","2,8",49,"3,6","7,4","2,3","0,92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198,Filet de dinde tendre,8403031030756,,['France'],[],[],?,93,389 kj(93 kcal),"1,4","0,3","0,5","0,5",20,"1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199,Les 2 vaches,29010370,,['France'],[],[],?,96,402 kj(96 kcal),4,3,12,11,4,0,0,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
