,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,brand,packaging,labels,eco_score,categories,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,additives,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_nutrition-score-fr_tr,nutriment_nutriscore_tr,generic_name,quantity,ingredients_origins,manufacturing,traceability_code,link,markets,allergens,nutriment_energy_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr_diff,palm_ingredients
26,Smarties santa,59945505,['France'],[],[],?,530,2218 kj(530 kcal),"29,2","17,3","57,4","55,7","8,8","0,32","0,128",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Lapin entier découpé,2258959008532,['France'],[],[],?,495,2071 kj(495 kcal),"3,4","1,2","0,7","0,7",21,"0,13","0,052",,"['Barquette', 'Film en plastique']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Salsa SAUCE,8713276163141,['France'],[],[],?,50,209 kj(50 kcal),"0,1","0,1",11,7,"0,8","2,5",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Cornichin,3182388100118,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Tartines craquantes multicereales,16594852,['France'],[],[],?,371,1552 kj(371 kcal),"1,1","0,3",79,"2,8","9,9","0,32","0,128",,,"['Agriculture non UE', 'Agriculture UE', 'Agriculture UE/Non UE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Farina manitoba di grano tenero tipo,8018211901674,['France'],[],[],?,?,,"1,4","0,2","71,8","1,1","13,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Scottish strawberry,0637793001367,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Foie de volaille bio,2448403017054,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Bière ambrée bio 68,3770012302047,['France'],[],[],?,?,,?,0,?,0,?,,,,,,C,"['Boissons', 'Boissons alcoolisées', 'Bières', 'Bières ambrées']",,,,-100%,,-100%,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,,,,,,,,,,,,,,,,,,,,,,,,,,
35,580281280683,580281280683,['France'],"['Sucre', 'påte de cacao', 'beurre de cacao', 'cacao maigre en poudre', 'émulsifiant: lécithine de soja', ""arome vanille Traces possibles d'arachides et de fruits à coque""]","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,['E322i - Lécithine'],4,,,,,,,,,,,,,,,,,,,,,,,,
