,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,quantity,packaging,brand,categories,ingredients_origins,manufacturing,markets,additives,allergens,nova_score,fats_lipids_quantity,fats_lipids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,labels,traceability_code,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,saturated_acids_quantity,saturated_acids_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,palm_ingredients,link
483,Écume de Wimereux,3188500034477,['France'],[],[],?,275,24,"3,3",11,"1,2","0,48",1151 kj(275 kcal),17,"0,5",,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 62.889.030 CE', 'Wierre-Effroy (Pas-de-Calais, France)']",,,,,,,,,,,,,,,,,,,
484,Orange à déguster,3564706645134,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
485,Filet Mignon de Dinde - Maître Coq,0215671028998,['France'],[],[],?,?,?,?,?,,,,,,,,['Maître Coq'],"['Viandes', 'Volailles', 'Dindes', 'Filets de dinde', 'Filets mignons de dinde']",,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,
486,Ail doux aux fines herbes,8411102002847,['France'],[],[],?,343,34,"6,9",2,"0,9","0,36",1435 kj(343 kcal),"5,3",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
487,Farce à tomate,0200331024014,['France'],[],[],?,293,"22,89","1,29","20,99","0,279","0,112",1226 kj(293 kcal),"8,69","0,59",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
488,Langouille,0279771032804,['France'],[],[],?,984,15,"1,2",24,"2,5",1,4117 kj(984 kcal),5,"0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
489,Filet de dinde,3700118303075,['France'],[],[],?,102,"1,8","1,1",23,"2,5",1,427 kj(102 kcal),"0,1","0,9",,,,,,,,,,,,,,,,,,,,,,,,,,"['EMB 12063C', 'Cavalerie (Aveyron, France)']",,,,,,,,,,,,,,,,,,,
490,Fleur de sel de Gruissan,3760199501500,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
491,Jambon blanc AC cuit bio x3,2443850042512,['France'],[],[],?,156,8,1,20,"1,6","0,64",653 kj(156 kcal),"3,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
492,Gaspacho Andalou,3760183582218,['France'],[],[],?,15,"0,2","2,1","0,6","0,7","0,28",63 kj(15 kcal),0,"1,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
493,Poulet Fermier,0253069040016,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
494,3 terrines de truites,3760281772054,['France'],[],[],?,604,"8,4","2,4",15,"0,6","0,24",2527 kj(604 kcal),"4,1","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 39.434.027 CE', 'Poligny (Jura, France)']",,,,,,,,,,,,,,,,,,,
495,Bruleur draineur,3440819971127,['France'],[],[],?,?,?,?,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
496,Comté fruité fleur de lin,2293972053992,['France'],[],[],?,417,33,"0,5",28,"0,6","0,24",1745 kj(417 kcal),"18,8","0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
497,Moules apéritif,3760036821471,['France'],[],[],?,104,3,"2,7",17,"0,89","0,356",435 kj(104 kcal),1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
498,Salade,3613460008409,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
499,Slim - Kombu,8032589950072,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,Pruneaux d'Agen dénoyautés - Marque Repère - 250g,356470067094103,['France'],"[""pruneaux d'Agen dénoyautés"", 'eau']","['Sans huile de palme', 'Végétalien', 'Végétarien']",1059,250,"0,4",55,"1,4","< 0,01","0,004",1059 kj(250 kcal),"0,2",37,250g,"['Sachet plastique', 'Sachet en plastique']","['Marque Repère', 'Coleurs vives']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Fruits', 'Aliments à base de plantes séchées', 'Fruits secs', 'Fruits français', 'Pruneaux', ""Pruneaux d'Agen""]",['France'],,"['E.Leclerc', 'Leclerc']",,,1,0.4 g,en faible quantité,37 g,en quantité élevée,0.01 g,en faible quantité,+4%,+4%,+11%,+3%,+2%,-25%,-28%,-28%,"['Sans conservateurs', 'IGP']","['EMB 47049B', 'Casseneuil (Lot-et-Garonne, France)']",1,-54%,B,-54%,D,0.2 g,en faible quantité,+5%,+75%,73.8%,22.6%,1.7%,0.7%,1.2%,0.0%,24,,,
501,Bouchées de financiers natures,3770020173035,['France'],[],[],?,448,28,43,8,"0,37","0,148",1874 kj(448 kcal),13,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
502,Puree clementine,3560004415516,['France'],[],[],?,141.9,"0,2",33,"0,96",0,0,594 kj(141 kcal),0,"29,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
503,Filets de poulet,0215035034771,['France'],[],[],?,113,"2,3",0,23,"0,11","0,044",473 kj(113 kcal),"0,7",0,,,,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,,,,,2.3 g,en faible quantité,0 g,en faible quantité,0.11 g,en faible quantité,,-14%,-20%,-100%,-100%,+1%,-85%,-85%,"['Nutriscore', 'Nutriscore A']","['FR 85.084.001 CE', 'Essarts (Vendée, France)']",-4,,A,,D,0.7 g,en faible quantité,-13%,-6%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,
504,Americaine,5425023290163,['France'],[],[],?,314,"26,9","15,5","2,5",4,"1,6",1314 kj(314 kcal),"2,1","5,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505,Emmental français est-central IGP,2488761018560,['France'],[],[],?,407,"31,5",1,29,"0,4","0,16",1703 kj(407 kcal),"18,8",1,,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de vache', 'Emmentals', 'Fromages de France', 'Emmentals français', 'Emmentals français est-central']",,,,,,,31.5 g,en quantité élevée,1 g,en faible quantité,0.4 g,en quantité modérée,,+1%,-0%,+30%,+41%,+1%,-10%,-10%,,"['FR 69.273.010 CE', 'Corbas (Rhône, France)']",11,+1%,D,+1%,D,18.8 g,en quantité élevée,+1%,-2%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,
506,Jambon,2793028002450,['France'],[],[],?,171,10,"1,9","2,4",20,8,715 kj(171 kcal),"0,6","0,69",,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 12.301.002 CE', 'Villeneuve (Aveyron, France)']",,,,,,,,,,,,,,,,,,,
507,Vin Gaillac,3272591660315,['France'],[],[],?,?,?,?,?,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
508,Meringue Abbaye A.D d'Olenberg,032059,['France'],[],[],?,282,"0,1",67,"3,4","0,13","0,052",1180 kj(282 kcal),0,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
509,La croisiere,3428250005069,['France'],[],[],?,?,?,?,?,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
510,Drink mix 160,7350008410084,['France'],[],[],?,663,0,99,0,1,"0,4",2774 kj(663 kcal),0,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
511,mousse framboise,0207934097216,['France'],[],[],?,222,10,29,"3,1","0,61","0,244",929 kj(222 kcal),"7,4",22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
512,Nips caramel,0018000442430,['France'],[],[],?,386,"10,71","85,68",0,0,0,1615 kj(386 kcal),9,"56,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
513,Jambon,2264752037068,['France'],[],[],?,161,"7,9","0,5",22,"1,9","0,76",674 kj(161 kcal),"2,9","0,5",,['Film en plastique'],,,,,,,,,,,,,,,,,,,,,,,,"['EMB 29004D', 'Bannalec (Finistère, France)']",,,,,,,,,,,,,,,,,,,
514,Eclairs Parfum Chocolat X2,2009003220017,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
515,Miel Châtaigner de la Vallée du Tarn,3760206460028,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
516,gelule,02820,['France'],[],[],?,6,3,6,8,2,"0,8",25 kj(6 kcal),2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
517,Les croq’ noisettes,3760231700021,['France'],[],[],?,461,27,42,"9,8",,,1929 kj(461 kcal),"2,2",41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
518,Les madeleines enrobees,3760231701974,['France'],[],[],?,361,17,45,"6,2","0,72","0,288",1510 kj(361 kcal),10,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
519,Jinro Chamisuk Classic Reiswein Vol. 201 Alc,9120027414183,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520,"Echte Ungarische Salami, Classic",5998002053924,['France'],[],[],?,?,?,?,?,"3,9","1,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
521,Eclairs panachees,0202671025256,['France'],[],[],?,300,"13,5","38,8","5,1","0,3","0,12",1255 kj(300 kcal),"6,1","29,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
522,Capri sun,8718564292794,['France'],[],[],?,36,0,"8,6",0,0,0,151 kj(36 kcal),0,"8,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
523,Cheesecake Fruits rouges,3760066060048,['France'],[],[],?,357.1487,26,28,"3,7","0,45","0,18",1494 kj(357 kcal),17,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
524,Riz long basmati,023327665001515415221120,['France'],[],[],?,352,"0,7","78,7","7,1",0,0,1473 kj(352 kcal),"0,2","0,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
525,Vol Au Vent équitable Cuit,0774144700354,['France'],[],[],?,330,25,23,4,"0,21","0,084",1381 kj(330 kcal),12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
526,Côte de porc,2629752023884,['France'],[],[],?,172,"9,7","1,1",20,"2,2","0,88",720 kj(172 kcal),"4,2","1,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
527,Kiribati bio,3073781346947,['France'],[],[],?,312,30,3,"7,5","0,88","0,352",1305 kj(312 kcal),20,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
528,werther’s original,0072799008666,['France'],[],[],?,10,10,14,0,0,0,42 kj(10 kcal),1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
529,Baraka,6927601102848,['France'],[],[],?,1,0,"0,2","0,1",0,0,4 kj(1 kcal),0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
530,Oeuf,3265546450109,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
531,Creme de foie de porc à l'ancienne,2227318014040,['France'],[],[],?,?,?,?,?,"1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['EMB 29004', 'Bannalec (Finistère, France)']",,,,,,,,,,,,,,,,,,,
532,Begonya,4260143894058,['France'],[],[],?,522,"29,5","59,1","5,3",0,0,2184 kj(522 kcal),"14,8","21,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
533,Petits pains aux céréales sans gluten,73213635,['France'],[],[],?,313,"16,7","26,8","6,4","0,76","0,304",1310 kj(313 kcal),"1,76","4,65",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
534,Chocolat vegetalien noisettes bio - Alnatura,4104420222656,['France'],[],[],?,562,36,52,"5,1","0,17","0,068",2351 kj(562 kcal),16,39,,,['Alnatura'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
535,Kikats pops,3800020493298,['France'],[],[],?,525,31,49,"11,2",1,"0,4",2197 kj(525 kcal),15,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
536,Heudebert biscotte,0396649484012,['France'],[],[],?,390,"6,5",64,15,"1,41","0,564",1632 kj(390 kcal),"2,3","6,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
537,Merguez,2054124035163,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
538,Macadamia Mia,8718444120889,['France'],[],[],?,226,"11,6","25,7","4,5","0,34","0,136",946 kj(226 kcal),"6,8","25,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
539,Cafe expresso Colombia,43921253,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
540,Ground beef,0041220950089,['France'],[],[],?,214.2857,"15,179",0,"18,75","0,167","0,067",897 kj(214 kcal),"5,357",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
541,Steak tuna,0653849094381,['France'],[],[],?,111.7647,"0,588",0,"24,706","0,11","0,044",468 kj(111 kcal),0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
542,Lentils,0041220891993,['France'],[],[],?,371.4286,"2,857","62,857","22,857","0,857","0,343",1554 kj(371 kcal),0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
543,Wakame - Koyo,0065493062607,['France'],[],[],?,?,?,?,?,,,,,,,,['Koyo'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
544,Biscuits,0744673605000,['France'],[],[],?,463,17,72,"5,4","1,2","0,48",1937 kj(463 kcal),9,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
545,Pain paysan,4007021000008,['France'],[],[],?,232,12,45,"7,8",1,"0,4",971 kj(232 kcal),"0,2","1,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
546,Roulé cranberry,2045484016145,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
547,12 mini pizzas,4019986125931,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
548,Petits Pains Suédois - KRISPROLLS - 425gr,17182742,['France'],"['Un petit pain ', '13 g', ' Environ 33 petits pains/paquet % des AR** par portion ', '13g', ' 425gfarine de ble ', '90%', ',Sucre,huiles végétales  ', 'palme', 'colza', "",levure sel malt d'orge""]",['Huile de palme'],?,?,?,?,?,,,,,,425 gr,['Papier'],['KRISPROLLS'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains grillés', 'Petits pains grillés']",,,,,,3,,,,,,,,,,,,,,,,,,,,,B,,,,,64.1%,19.9%,9.0%,6.2%,0.8%,0.0%,91,,['Huile de palme'],
549,Guimauve crick,2609957038647,['France'],[],[],?,441,19,63,4,"0,14","0,056",1845 kj(441 kcal),13,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
550,Canneberges,3760101800707,['France'],[],[],?,29,"0,04","7,86",0,,,121 kj(29 kcal),0,"0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
551,Big Fry Burger,6005207001762,['France'],[],[],?,144,4,8,"17,7","1,77","0,708",602 kj(144 kcal),"0,6","3,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
552,Saucisse le Vosgien,3760140771396,['France'],[],[],?,177,12,"1,2",16,"1,8","0,72",741 kj(177 kcal),"4,2","0,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
553,Oranges pressés - Tropicana,01983678,['France'],[],[],?,43,0,"8,9","0,8",0,0,180 kj(43 kcal),0,"8,9",,,['Tropicana'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
554,Jus de clementines - Tropicana,3599110004000,['France'],[],[],?,50,0,10,"0,6",0,0,209 kj(50 kcal),0,10,,,['Tropicana'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de clémentine']",,,,,,,0 g,en faible quantité,10 g,en quantité élevée,0 g,en faible quantité,,+6%,-100%,-7%,-3%,+2%,-100%,-100%,,,4,-3%,C,-3%,D,0 g,en faible quantité,+6%,-100%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,
555,Confiture dde gratte cul,3384430011155,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
556,MACA,7001375008069,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
557,Infusion bio,3770007564290,['France'],[],[],?,1,0,"0,2","0,1",0,0,4 kj(1 kcal),0,0,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,,
558,Sel baies roses - Légendes Gourmandes,3760155980998,['France'],[],[],?,?,?,?,?,,,,,,,,['Légendes Gourmandes'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
559,4311501648766,4311501648766,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
560,Tutti Free,52560351,['France'],[],[],?,400,0,99,"0,8",0,0,1674 kj(400 kcal),0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
561,Confiture bio,3760133530054,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
562,Seedlip,5060448760305,['France'],[],[],?,0,0,0,0,0,0,0 kj(0 kcal),0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
563,Poitrine cuite supérieure 3 tranches VPF 243g,2478872022891,['France'],[],[],?,270,"21,4",1,"18,3","1,4","0,56",1130 kj(270 kcal),"8,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 35.152.002 CE', 'Liffré (Ille-et-Vilaine, France)']",,,,,,,,,,,,,,,,,,,
564,3325655009275,3325655009275,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
565,Gésiers de poulet,0253096011027,['France'],[],[],?,397,"3,8",0,15,"0,2","0,08",1661 kj(397 kcal),"1,1",0,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 79.195.003 CE', 'Nueil-les-Aubiers (Deux-Sèvres, France)']",,,,,,,,,,,,,,,,,,,
566,Pain chocolat  ordinaire,0237253011815,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
567,Coconut bengali,9350007004008,['France'],[],[],?,55.6667,"9,2","16,2","3,7","0,733","0,293",233 kj(55 kcal),"4,9","2,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
568,Pudding à la fraise,8690629444853,['France'],[],[],?,121,"3,4","19,6",3,"0,11","0,044",506 kj(121 kcal),"1,9","14,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
569,Kilimanjaro 3,5060198250446,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
570,Pan de molde,8423710053012,['France'],[],[],?,224,2,43,7,"0,1","0,04",937 kj(224 kcal),1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
571,Irish Red Ale - La Fort Mignonne,3770012298029,['France'],[],[],?,?,?,?,?,,,,,,,,['La Fort Mignonne'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
572,Poitrine salée,2409781023099,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 42.305.004 CE', 'Talaudière (Loire, France)']",,,,,,,,,,,,,,,,,,,
573,Uova allev terra m acuto,8011477637387,['France'],[],[],?,128,"8,7","0,5","12,4","0,3","0,12",536 kj(128 kcal),"3,2","0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
574,Cotis salé,2604276064810,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
575,Brochettes Saint Jacques ail & fines herbes,2416891036543,['France'],[],[],?,117,"4,7","1,4",17,"0,64","0,256",490 kj(117 kcal),"0,7",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
576,Surimi de chair de poisson,3439496602066,['France'],[],[],?,116,"4,3",13,"6,5","1,6","0,64",485 kj(116 kcal),"0,5","3,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
577,Kiwi déshydraté,2600101021195,['France'],[],[],?,374,0,92,1,0,0,1565 kj(374 kcal),0,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
578,DILL ANETH,8719327041529,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
579,dietinatura cassis bio,3700446419561,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
580,Pain pauvre en gluten chocolat,2007400010712,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
581,Pâte a tartiner Noisette noir,3760295540694,['France'],[],[],?,550,"32,9","49,2","10,1",,,2301 kj(550 kcal),"6,3","46,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
582,Waffle Spinach & Ricotta,5600961124705,['France'],[],[],?,229,13,21,"6,3","1,2","0,48",958 kj(229 kcal),"6,5","1,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
583,beignets chocolat,0202147029528,['France'],[],[],?,428,24,45,"6,8","0,72","0,288",1791 kj(428 kcal),"8,5",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
584,Big Soja steaks,4260119110175,['France'],[],[],?,322,"1,2",27,49,,,1347 kj(322 kcal),"0,3","8,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
585,Baiser Volé Shot Prébiotique,3760099400507,['France'],[],[],?,45,"0,5","7,7","0,5","0,1","0,04",188 kj(45 kcal),0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
586,Poulet leclerc,0253999039036,['France'],[],[],?,247,17,0,24,"0,25","0,1",1033 kj(247 kcal),5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
587,Caramel sauce,4088700133590,['France'],[],[],?,415,17,"63,5",5,,,1736 kj(415 kcal),11,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
588,Caramels au beurre salé,3663350086734,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
589,Bridelight demi-sel,3155250328149,['France'],[],[],?,157,18,"5,6",0,"2,2","0,88",657 kj(157 kcal),11,"1,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
590,Cappuccino,8052870940278,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
591,Pate de fruit,3770002436219,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
592,Huile de tournesol,4779035960233,['France'],[],[],?,898,"99,85",0,0,0,0,3757 kj(898 kcal),"10,9",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
593,Gaufres de Bruxelles,5425005609525,['France'],[],[],?,325,17,35,"5,9","0,83","0,332",1360 kj(325 kcal),"8,1","1,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
594,Bio Artischocke Direktsaft,42278931,['France'],[],[],?,23,"0,5",44,"0,8",,,96 kj(23 kcal),"0,1","2,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
595,Sauce premium cèpes,3760042095781,['France'],[],[],?,1476.08,"35,92","5,97","3,71","0,641","0,257",6176 kj(1476 kcal),"3,63","5,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
