,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,quantity,packaging,brand,categories,ingredients_origins,manufacturing,markets,additives,allergens,nova_score,fats_lipids_quantity,fats_lipids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,labels,traceability_code,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,saturated_acids_quantity,saturated_acids_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,palm_ingredients,link
1700,Jambon supérieur cuit au torchon,0211719019485,['France'],[],[],?,137,"6,2","0,7","19,8","1,91","0,764",573 kj(137 kcal),"2,8","0,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1701,Pilons de poulet jaune,3531940405008,['France'],[],[],?,155,"9,05",0,"18,4","0,23","0,092",649 kj(155 kcal),"2,49",0,,"['Film en plastique', 'Barquette en plastique']",,,,,,,,,,,,,,,,,,,,,,,,"['FR 30.233.001 CE', 'Saint-Bauzély (Gard, France)']",,,,,,,,,,,,,,,,,,,
1702,Farce à légumes,2887818083245,['France'],[],[],?,?,?,?,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703,Limo'S Cann'L,3522552243478,['France'],[],[],?,33,"0,5","7,8","0,1",,,138 kj(33 kcal),"0,4","7,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1704,Jus de poire,3770014111456,['France'],[],[],?,41,"0,5","9,9","0,2",,,172 kj(41 kcal),"0,1","7,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1705,Pavé de saumon,0203928048677,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1706,Comté,2286470004016,['France'],[],[],?,?,?,?,?,,,,,,,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté']",,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,
1707,Jambon,0209538011094,['France'],[],[],?,137,"6,2","0,7","19,8","1,91","0,764",573 kj(137 kcal),"2,8","0,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1708,Noodles Mi Goreng chicken flavour,8994963002671,['France'],[],[],?,473,"20,5","61,7","8,5","2,6","1,04",1979 kj(473 kcal),"9,9","5,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1709,poitevine 4 tranches,0211499024204,['France'],[],[],?,1146,"23,6","0,6","15,4","2,69","1,076",4795 kj(1146 kcal),"9,2","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1710,Caffe In Grani Gimoka Oro Gran Festa 1000G,8003012000435,['France'],[],[],?,1,0,"0,3","0,2",0,0,4 kj(1 kcal),0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
