,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand,additives,allergens,nova_score,generic_name,quantity,packaging,manufacturing,traceability_code,markets,ingredients_origins,link,origin_detail,producer_info,palm_ingredients
883,Taboulé Oriental - Colomba,3336100000372,['France'],[],[],?,150,628 kj(150 kcal),"2,7","0,4","25,5","5,45","4,8","0,4","0,16",B,"['Plats préparés', 'Taboulés']",,2.7 g,en faible quantité,0.4 g,en faible quantité,5.45 g,en quantité modérée,0.4 g,en quantité modérée,,-11%,-11%,-58%,-44%,+20%,+67%,+9%,-58%,-58%,1,-63%,B,-63%,63.1%,7.6%,11.4%,10.7%,5.7%,1.6%,94,['Colomba'],,,,,,,,,,,,,,
884,Fagottini au basilic - Colomba,3336100000396,['France'],[],[],?,266,1113 kj(266 kcal),"5,1","1,9",45,"2,6","9,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Colomba'],,,,,,,,,,,,,,
885,Fagottini au basilic - Colomba,3336100001560,['France'],"['FAG0TTlNl AU BAquc Recette eoatàaade : : SEMOULE DE URE ITÉ SUPÉRIEURE', 'Œu *TE', 'EAU', ' BROUSSE REBIS', 'DE EL', ' ELURE FINE ', 'FARINE DEVÊ E', 'AMIDON MODIFIÉ DE POMME ', ""PISTOU DE LA FAR'tE HUILE D'OLIVE EXTRA VIERGE • ARÔME NATUREL""]",[],?,266,1113 kj(266 kcal),"5,1","1,9","4,5","2,6","9,2",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Colomba'],['E14XX - Amidons modifiés'],,4,,,,,,,,,,,
886,Ravioli au broccio - Colomba,3336100001645,['France'],"['PÂTE ', '68%', ' : SEMOULE DE DUR DE QUALITÉ SUPÉRIEURE', 'ŒUFS ', '12% DE LA PÂTE', 'EAU', ' FARCE ', '32%', ' : BROCCIU AOP ', '62', '3%DE LA FARCE : LAIT DE BREBIS CORSE', 'LACTOSÉRUM DE BREBIS CORSE', 'SEL', 'BLETTES', 'AMIDON MODIFIÉ DE POMME DE TERRE', 'MENTHE', 'FIBRE DE BLÉ', 'SEL', 'POIVRE BLANC']",['Non végétalien'],?,255,1067 kj(255 kcal),"4,6","2,2","42,7","2,4","9,8","0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Colomba'],['E14XX - Amidons modifiés'],"['Œufs', 'Gluten']",4,,,,,,,,,,,
887,Ravioli au boeuf - Colomba,3336100001669,['France'],"['DE TERRE', 'FARINE DE FÉCULE DE SEL', 'ÉPICES', 'ÉMULSIFIANT: E471', ' E450', 'AT10XDxr:E304', ""CORRECTSS CONSERVATEUR'"", 'DISULFITE DE Pour 100 g']","[""Pourrait contenir de l'huile de palme""]",?,258,1079 kj(258 kcal),"5,5","0,8","39,9","1,3","11,4","0,5","0,2",E,"['Plats préparés', 'Produits à la viande', 'Plats à base de pâtes', 'Plats préparés à la viande', 'Pâtes farcies', 'Plats au bœuf', 'Pates farcies à la viande', 'Ravioli', 'Ravioli à la viande', 'Raviolis au bœuf']",,5.5 g,en quantité modérée,0.8 g,en faible quantité,1.3 g,en faible quantité,0.5 g,en quantité modérée,,+90%,+92%,+59%,-34%,+115%,-48%,+107%,-44%,-44%,0,-100%,B,-100%,92.9%,3.7%,1.3%,1.1%,0.6%,0.4%,19,['Colomba'],"[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E304 - Acide palmityle-6-L-ascorbique']",['Anhydride sulfureux et sulfites'],4,,,,,,,,,,,"[""E304 - Palmitate d'ascorbyle""]"
888,Ravioli - Colomba,3336100001690,['France'],[],[],?,255,1067 kj(255 kcal),"4,6","2,2","42,7","2,4","9,8","0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Colomba'],,,,,,,,['FR 2A.004.008 CE'],,,,,,
889,Ravioli a la viande - Colomba,3336100001850,['France'],[],[],?,237,992 kj(237 kcal),5,"0,7","36,1","0,8","11,9","0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Colomba'],,,,,,,,,,,,,,
890,Capelletti au boeuf - Colomba,3336100001874,['France'],"['Semoule de blé dur complet ', '49%', 'viande de bœuf ', '1 20c origine UE', 'Chapelure fine ', 'farine de blé', 'levure', 'œufs', 'eau', 'semoule de blé dur', 'crème UHT ', 'crème de lait', 'stabilisant : E407', 'émulsifiant : E472b', ' oignons', 'sel', 'arôme ', 'dont E621', 'E631', 'gluten', 'soja', 'épaississant : amidon modifie pomme de terre', 'carottes', 'poivre', 'échalotes', 'fibre de blé']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",?,237,992 kj(237 kcal),5,"0,7","36,1","0,8","11,9","0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Colomba'],"['E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', ""E472b - Ester diacétyl-lactique de mono- et diglycérides d'acides gras"", 'E631 - Inosinate disodique', 'E14XX - Amidons modifiés']","['Œufs', 'Gluten', 'Lait', 'Soja']",4,,,,,['FR 2A.004.008 CE'],,,,,,
891,Penne rigate fraiches aux oeufs - Colomba,3336100001928,['France'],[],[],?,283,1184 kj(283 kcal),"2,5","0,7","53,2","1,5","10,6","0,05","0,02",,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Penne', 'Penne rigate']",,2.5 g,en faible quantité,0.7 g,en faible quantité,1.5 g,en faible quantité,0.05 g,en faible quantité,,-20%,-20%,+48%,+88%,-24%,-49%,-12%,+327%,+327%,-2,,A,,,,,,,,,['Colomba'],,,,,,,,['FR 2A.004.008 CE'],,,,,,
892,Ravioli au boeuf,3336109991664,['France'],[],[],?,258,1079 kj(258 kcal),"5,5","0,8","39,9","1,3","11,4","0,5","0,2",E,"['Plats préparés', 'Produits à la viande', 'Plats à base de pâtes', 'Plats préparés à la viande', 'Pâtes farcies', 'Plats au bœuf', 'Pates farcies à la viande', 'Ravioli', 'Ravioli à la viande', 'Raviolis au bœuf']",,5.5 g,en quantité modérée,0.8 g,en faible quantité,1.3 g,en faible quantité,0.5 g,en quantité modérée,,+90%,+92%,+59%,-34%,+115%,-48%,+107%,-44%,-44%,0,-100%,B,-100%,92.9%,3.7%,1.3%,1.1%,0.6%,0.4%,19,,,,,,,,,['FR 2A.004.008 CE'],,,,,,
893,Crêpes Traditionnelles Fines - Ame de Bretagne - 350g,3336341750630,['France'],"['Lait cru fermier', 'farine de froment', 'œufs frais', 'sucre', 'extrait de vanille', 'rhum', 'huile de tournesol', 'eau', 'sel']",['Non végétalien'],?,244,1021 kj(244 kcal),"4,5","1,5","44,6","21,2","6,3","0,39","0,156",B,"['Crêpes et galettes', 'Crêpes', 'Crêpes de froment']",,4.5 g,en quantité modérée,1.5 g,en quantité modérée,21.2 g,en quantité élevée,0.39 g,en quantité modérée,,-16%,-16%,-42%,-48%,-5%,+4%,-18%,-51%,-51%,6,-43%,C,-43%,67.6%,15.0%,9.2%,4.1%,4.2%,0.0%,86,['Ame de Bretagne'],,"['Œufs', 'Gluten', 'Lait']",3,,350 g,"['Frais', 'Sachet', 'Plastique', 'Carton']","['Bretagne', 'France']","['FR 22.093.056 CE', ""Lamballe (Côtes-d'Armor, France)""]",,"['France', 'Bretagne']",,,,
894,Galettes fraiches bretonnes -,3336341750678,['France'],[],[],?,155,649 kj(155 kcal),"1,1","0,4","31,7","4,2","4,6","1,31","0,524",B,"['Crêpes et galettes', 'Galettes', 'Galettes de blé noir']",,1.1 g,en faible quantité,0.4 g,en faible quantité,4.2 g,en faible quantité,1.31 g,en quantité modérée,,-12%,-12%,-72%,-75%,+16%,+486%,-33%,-1%,-1%,4,-22%,C,-22%,31.3%,30.2%,19.0%,10.8%,8.7%,0.0%,96,,,,,,,,,"['FR 22.093.058 CE', ""Lamballe (Côtes-d'Armor, France)""]",,,,,,
895,Crevettes entiers cuites équateur - Delpierre,3336370031434,['France'],['60/80 /kg ENTIERES currws penaeus vannamei —levées en Equateur 98024041 04%2/18'],[],?,88,368 kj(88 kcal),"0,8",0,0,0,22,"1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Delpierre'],,,,,,,,,,,,,,
896,Crevette - Delpierre,3336370031540,['France'],[],[],?,88,368 kj(88 kcal),0,0,0,0,22,"1,7","0,68",D,"['Produits de la mer', 'Crustacés', 'Crevettes']",,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,1.7 g,en quantité élevée,,-17%,-16%,-100%,-100%,-100%,-100%,+21%,+16%,+16%,3,+20%,C,+20%,78.1%,0.0%,4.9%,11.3%,2.5%,3.2%,38,['Delpierre'],,,,,,,,,,,,,,
897,Crevettes - Delpierre,3336370031656,['France'],[],[],?,88,368 kj(88 kcal),"0,8",0,0,0,22,1,"0,4",,,['Sans colorants'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Delpierre'],,,,,,,,,,,,,,
898,crevettes entières - Delpierre - 500g,3336370031793,['France'],"['Crevettes', 'sel', 'antioxydant : E223 ', 'sulfites', 'acifiant : E330']","['Non végétalien', 'Non végétarien']",374,?,374 kj(89 kcal),"0,8",0,0,0,22,"1,8","0,72",D,"['Produits de la mer', 'Crustacés', 'Crevettes']",['Sans colorants'],0.8 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,1.8 g,en quantité élevée,-7%,,-15%,-64%,-100%,-100%,-100%,+21%,+22%,+22%,3,+20%,C,+20%,78.1%,0.0%,4.9%,11.3%,2.5%,3.2%,38,['Delpierre'],"['E223 - Disulfite de sodium', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique']","['Crustacés', 'Anhydride sulfureux et sulfites']",3,crevettes entières,500 g,"['Plastique', 'Barquette']",,"['FR 44.150.001 CE', 'Saint-Aignan-Grandlieu (Loire-Atlantique, France)']",['Carrefour market'],['Équateur'],,,,
899,Couronne de crevettes sauce Fines Herbes - Delpierre - 190  g,3336370051845,['France'],"['Crevettes 77%', 'sel', 'conservateur : E202', 'antioxydant : E223 ', 'sulfites', 'acidifiant : E330', ' Sauce fines herbes 21% : Eau', 'crème fraîche', 'fromage frais', 'huile  de  colza', 'amidon modifié de pomme de terre', 'vinaigre', 'sucre', 'ciboulette 2,5%', 'jaune d’œuf', 'sel', 'moutarde de Dijon ', 'eau', 'graine de moutarde', 'vinaigre', 'sel', 'antioxydant: E224 ', 'sulfites', 'acidifiant: E330', 'persil 1%', ' épaississants: E412-E415-E466', 'ail', 'acidifiant: E330', 'conservateur: E202', 'épice']","['Non végétalien', 'Non végétarien']",493,118,493 kj(118 kcal),"5,1","0,9","1,5","0,8",17,"1,5","0,6",D,"['Produits de la mer', 'Crustacés', 'Crevettes']",,5.1 g,en quantité modérée,0.9 g,en faible quantité,0.8 g,en faible quantité,1.5 g,en quantité modérée,+23%,+11%,+12%,+132%,+96%,+38%,+129%,-7%,+2%,+2%,2,-20%,B,-20%,78.1%,0.0%,4.9%,11.3%,2.5%,3.2%,38,['Delpierre'],"['E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E223 - Disulfite de sodium', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique', 'E14XX - Amidons modifiés', 'E224 - Disulfite de potassium', '', 'Risque élevé de sur-exposition', 'E412 - Gomme de guar', 'E415 - Gomme xanthane', 'E466 - Carboxyméthylcellulose']","['Crustacés', 'Œufs', 'Lait', 'Moutarde', 'Anhydride sulfureux et sulfites']",4,Couronne de crevettes décortiquées cuites réfrigérées et sauce aux Fines Herbes,190  g,"['Barquette', 'sous atmosphère']",['Transformé en France'],"['FR 44.150.001 CE', 'Saint-Aignan-Grandlieu (Loire-Atlantique, France)']",,,,,,
900,crevettes entières - Delpierre - 500g,3336370031793,['France'],"['Crevettes', 'sel', 'antioxydant : E223 ', 'sulfites', 'acifiant : E330']","['Non végétalien', 'Non végétarien']",374,?,374 kj(89 kcal),"0,8",0,0,0,22,"1,8","0,72",D,"['Produits de la mer', 'Crustacés', 'Crevettes']",['Sans colorants'],0.8 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,1.8 g,en quantité élevée,-7%,,-15%,-64%,-100%,-100%,-100%,+21%,+22%,+22%,3,+20%,C,+20%,78.1%,0.0%,4.9%,11.3%,2.5%,3.2%,38,['Delpierre'],"['E223 - Disulfite de sodium', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique']","['Crustacés', 'Anhydride sulfureux et sulfites']",3,crevettes entières,500 g,"['Plastique', 'Barquette']",,"['FR 44.150.001 CE', 'Saint-Aignan-Grandlieu (Loire-Atlantique, France)']",['Carrefour market'],['Équateur'],,,,
901,Couronne de crevettes sauce Fines Herbes - Delpierre - 190  g,3336370051845,['France'],"['Crevettes 77%', 'sel', 'conservateur : E202', 'antioxydant : E223 ', 'sulfites', 'acidifiant : E330', ' Sauce fines herbes 21% : Eau', 'crème fraîche', 'fromage frais', 'huile  de  colza', 'amidon modifié de pomme de terre', 'vinaigre', 'sucre', 'ciboulette 2,5%', 'jaune d’œuf', 'sel', 'moutarde de Dijon ', 'eau', 'graine de moutarde', 'vinaigre', 'sel', 'antioxydant: E224 ', 'sulfites', 'acidifiant: E330', 'persil 1%', ' épaississants: E412-E415-E466', 'ail', 'acidifiant: E330', 'conservateur: E202', 'épice']","['Non végétalien', 'Non végétarien']",493,118,493 kj(118 kcal),"5,1","0,9","1,5","0,8",17,"1,5","0,6",D,"['Produits de la mer', 'Crustacés', 'Crevettes']",,5.1 g,en quantité modérée,0.9 g,en faible quantité,0.8 g,en faible quantité,1.5 g,en quantité modérée,+23%,+11%,+12%,+132%,+96%,+38%,+129%,-7%,+2%,+2%,2,-20%,B,-20%,78.1%,0.0%,4.9%,11.3%,2.5%,3.2%,38,['Delpierre'],"['E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E223 - Disulfite de sodium', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique', 'E14XX - Amidons modifiés', 'E224 - Disulfite de potassium', '', 'Risque élevé de sur-exposition', 'E412 - Gomme de guar', 'E415 - Gomme xanthane', 'E466 - Carboxyméthylcellulose']","['Crustacés', 'Œufs', 'Lait', 'Moutarde', 'Anhydride sulfureux et sulfites']",4,Couronne de crevettes décortiquées cuites réfrigérées et sauce aux Fines Herbes,190  g,"['Barquette', 'sous atmosphère']",['Transformé en France'],"['FR 44.150.001 CE', 'Saint-Aignan-Grandlieu (Loire-Atlantique, France)']",,,,,,
902,Crevettes Et Sa Sauce Cocktail - Delpierre,3336370052040,['France'],[],[],?,117,490 kj(117 kcal),"4,7","0,4","3,4","0,9",15,"1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Delpierre'],,,,,,,,,,,,,,
903,Plateau de crevettes à griller - Delpierre,3336370060083,['France'],[],[],?,91,381 kj(91 kcal),0,0,"2,9","1,2",20,"1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Delpierre'],,,,,,,,,,,,,,
904,Crevettes entieres - Delpierre,3336374002751,['France'],[],[],?,88,368 kj(88 kcal),"0,8",0,0,0,22,"1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Delpierre'],,,,,,,,,,,,,,
905,Delpierre,3336374003048,['France'],[],[],?,?,,?,,?,,?,,,,,['Point Vert'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Delpierre'],,,,,,,,,,,,,,
906,Crevettes entières - Delpierre,3336374003444,['France'],"['Crevettes', 'sel', 'conservateur : E202', 'antioxydant : E223 ', 'sulfites', 'acidifiant : E330', ' Contient : Crustac sulfites', ' Traces possibles de lait', 'œuf', 'moutarde', 'poisson', 'mollusques']","['Non végétalien', 'Non végétarien']",?,88,368 kj(88 kcal),0,0,0,0,22,"1,7","0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Delpierre'],"['E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E223 - Disulfite de sodium', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique']","['Crustacés', 'Anhydride sulfureux et sulfites']",,,,,,,,,,,,
907,Crevettes avec sauve asiatique - Delpierre,3336374200119,['France'],[],[],?,104,435 kj(104 kcal),0,0,"9,6","8,1",16,"1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Delpierre'],,,,,,,,,,,,,,
908,Crevettes sauce mayonnaise BIO - Delpierre - 120g,3336374200218,['France'],"['Crevettes* 82%', 'sel', 'antioxydant: E223 ', 'sulfites', 'acidifiant: E330', ' sauce mayonnaise bio 16% : huile de tournesol* 69%', 'eau', 'moutarde ', 'eau', 'graines de moutarde*', 'vinaigre de cidre*', 'sel', ""jaune d'œuf*"", 'sucre*', 'sel', 'vinaigre*', 'amidon', 'épaississant : gomme xanthane', 'poivre*', ""\r*issu de l'agriculture biologique""]","['Non végétalien', 'Non végétarien']",?,195,816 kj(195 kcal),13,"2,4","0,5","0,5",19,"0,6","0,24",D,"['Produits de la mer', 'Crustacés', 'Crevettes']","['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Sans colorants']",13 g,en quantité modérée,2.4 g,en quantité modérée,0.5 g,en faible quantité,0.6 g,en quantité modérée,,+84%,+86%,+491%,+423%,-54%,+43%,+4%,-59%,-59%,1,-60%,B,-60%,78.1%,0.0%,4.9%,11.3%,2.5%,3.2%,38,['Delpierre'],"['E223 - Disulfite de sodium', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique', 'E415 - Gomme xanthane']","['Crustacés', 'Œufs', 'Moutarde', 'Anhydride sulfureux et sulfites']",4,Crevettes décortiquées cuites réfrigérées et mayonnaise Bio,120 g,['sous atmosphère'],['Transformé en France'],"['FR 44.150.001 CE', 'Saint-Aignan-Grandlieu (Loire-Atlantique, France)']",,,,,,
909,Couronne de crevettes sauce Fine Herbes + 10% OFFERT - Delpierre - 143g,3336374300833,['France'],"['Crevettes 75%', 'sel', 'conservateur : E202', 'antioxydant : E223 ', 'sulfites', 'acidifiant : E330', ' Sauce fines herbes 23% : Eau', 'crème fraîche', 'fromage frais', 'huile  de  colza', 'amidon modifié de pomme de terre', 'vinaigre', 'sucre', 'ciboulette 2', '5%', 'jaune d’œuf', 'sel', 'moutarde de Dijon ', 'eau', 'graine de moutarde', 'vinaigre', 'sel', 'acidifiant: E330', 'conservateur: E224 ', 'sulfites', 'persil 1%', 'ail', 'épaississants: E412-E415-E466', 'acidifiant: E330', 'conservateur: E202', 'épice']","['Non végétalien', 'Non végétarien']",502,120,502 kj(120 kcal),"5,6","1,8","1,3","0,9",16,"1,5","0,6",D,"['Produits de la mer', 'Crustacés', 'Crevettes']",,5.6 g,en quantité modérée,1.8 g,en quantité modérée,0.9 g,en faible quantité,1.5 g,en quantité modérée,+25%,+13%,+14%,+155%,+292%,+19%,+158%,-12%,+2%,+2%,3,+20%,C,+20%,78.1%,0.0%,4.9%,11.3%,2.5%,3.2%,38,['Delpierre'],"['E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E223 - Disulfite de sodium', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique', 'E14XX - Amidons modifiés', 'E224 - Disulfite de potassium', '', 'Risque élevé de sur-exposition', 'E412 - Gomme de guar', 'E415 - Gomme xanthane', 'E466 - Carboxyméthylcellulose']","['Crustacés', 'Œufs', 'Lait', 'Moutarde', 'Anhydride sulfureux et sulfites']",4,Couronne de crevettes décortiquées cuites réfrigérées sauce fines herbes,143 g,['sous atmosphère'],['Transformé en France'],"['FR 44.150.001 CE', 'Saint-Aignan-Grandlieu (Loire-Atlantique, France)']",,,,,,
910,Couronne de crevettes sauce cocktail - 220g - Delpierre - 220g,3336374403800,['France'],"['Crevettes ', 'Penaeus vannamei', ' 83%', 'sel', 'conservateur : E202', 'antioxydant : E223 ', 'sulfites', 'acidifiant : E330', ' Sauce cocktail 16% : Eau', 'ketchup ', 'purée de tomates', 'sirop de glucose-fructose', 'vinaigre', 'sucre', 'sel', 'amidon modifié de pomme de terre', 'arôme naturel', ' huile de colza', 'sucre', 'amidon modifié de pomme de terre', 'moutarde de Dijon ', 'eau', 'graines de moutarde', 'vinaigre', 'sel', 'vinaigre', ""jaune d'oeuf"", 'épaississants : gomme de guar', ' gomme xanthane', 'arôme naturel de moutarde', 'acidifiant: acide lactique', 'sel', 'poivre']","['Non végétalien', 'Non végétarien']",?,124,519 kj(124 kcal),"5,6","0,8","0,8","0,8",17,"1,4","0,56",D,"['Produits de la mer', 'Crustacés', 'Crevettes']",,5.6 g,en quantité modérée,0.8 g,en faible quantité,0.8 g,en faible quantité,1.4 g,en quantité modérée,,+17%,+18%,+155%,+74%,-27%,+129%,-7%,-5%,-5%,2,-20%,B,-20%,78.1%,0.0%,4.9%,11.3%,2.5%,3.2%,38,['Delpierre'],"['E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E223 - Disulfite de sodium', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique', 'E14XX - Amidons modifiés', 'E412 - Gomme de guar', 'E415 - Gomme xanthane', 'E270 - Acide lactique']","['Crustacés', 'Œufs', 'Moutarde', 'Anhydride sulfureux et sulfites']",4,Couronne de crevettes décortiquées cuites réfrigérées sauce cocktail,220 g,"['Barquette', 'sous atmosphère']",['Transformé en France'],"['FR 44.150.001 CE', 'Saint-Aignan-Grandlieu (Loire-Atlantique, France)']",,,,,,
911,Couronne de crevettes sauce crustacé 220 g - Delpierre,3336374403817,['France'],"['Crevettes 83%', 'sel', 'antioxydant : E223 ', 'sulfites', 'conservateur : E202', 'acidifiant : E330', ' Sauce crustacés 16% : Eau', 'huile de colza', 'sirop de glucose', 'arôme naturel ', 'dont crustacés et mollusques', 'purée de tomate double concentré', 'jaune d’oeuf salé', 'moutarde ', 'eau', 'graine de moutarde', 'vinaigre', 'sel', 'antioxydant : E224 ', 'sulfites', 'acidifiant: acide citrique', 'amidon modifié', 'vinaigre', 'sel', 'épaississants : E415-E466', 'extrait naturel de homard 0', '1%', 'conservateur : E202']","['Non végétalien', 'Non végétarien']",452,107,452 kj(107 kcal),"3,2","0,6","2,2",0,17,"1,5","0,6",D,"['Produits de la mer', 'Crustacés', 'Crevettes']",,3.2 g,en quantité modérée,0.6 g,en faible quantité,0 g,en faible quantité,1.5 g,en quantité modérée,+13%,+1%,+3%,+45%,+31%,+102%,-100%,-7%,+2%,+2%,2,-20%,B,-20%,78.1%,0.0%,4.9%,11.3%,2.5%,3.2%,38,['Delpierre'],"['E223 - Disulfite de sodium', '', 'Risque élevé de sur-exposition', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique', 'E224 - Disulfite de potassium', '', 'Risque élevé de sur-exposition', 'E14XX - Amidons modifiés', 'E415 - Gomme xanthane', 'E466 - Carboxyméthylcellulose']","['Crustacés', 'Œufs', 'Mollusques', 'Moutarde', 'Anhydride sulfureux et sulfites']",4,Crevettes décortiquées cuites réfrigérées sauce crustacés,220 g,"['Barquette', 'sous atmosphère']",['Transformé en France'],"['FR 44.150.001 CE', 'Saint-Aignan-Grandlieu (Loire-Atlantique, France)']",,,,,,
912,Couronne de crevettes sauce Fines Herbes - 220g - Delpierre - 220g,3336374403824,['France'],"['Crevettes 83%', 'sel', 'conservateur : E202', 'antioxydant : E223 ', 'sulfites', 'acidifiant : E330', ' Sauce fines herbes 16% : Eau', 'huile de colza', 'fromage blanc 3,4% ', 'lait', ""jaune d'oeuf"", 'amidon modifié de pomme de terre', 'fines herbes 0,6% ', 'ciboulette', 'persil', 'vinaigre', 'arôme naturel ', 'lait', 'sel', 'sucre', 'acidifiant: E270', 'épaississant: E415', ' conservateur: E202']","['Non végétalien', 'Non végétarien']",?,123,515 kj(123 kcal),"5,5","0,9","1,1",0,17,"1,5","0,6",D,"['Produits de la mer', 'Crustacés', 'Crevettes']",,5.5 g,en quantité modérée,0.9 g,en faible quantité,0 g,en faible quantité,1.5 g,en quantité modérée,,+16%,+17%,+150%,+96%,+1%,-100%,-7%,+2%,+2%,2,-20%,B,-20%,78.1%,0.0%,4.9%,11.3%,2.5%,3.2%,38,['Delpierre'],"['E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E223 - Disulfite de sodium', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique', 'E14XX - Amidons modifiés', 'E270 - Acide lactique', 'E415 - Gomme xanthane']","['Crustacés', 'Œufs', 'Lait', 'Anhydride sulfureux et sulfites']",4,Couronne de crevettes décortiquées cuites réfrigérées sauce Fines Herbes,220 g,"['Barquette', 'sous atmosphère']",['Transformé en France'],"['FR 44.150.001 CE', 'Saint-Aignan-Grandlieu (Loire-Atlantique, France)']",,,,,,
913,Couronne de Crevettes - Delpierre - 220g,3336374403831,['France'],"['Crevettes 83%', 'sel', 'antioxydant : E223 ', 'sulfites', 'conservateur : E202', 'acidifiant : E330', ' Mayonnaise allégée en matières grasses au citron 16% : Eau', 'huile de colza', 'jaune d’œuf', 'vinaigre', 'sucre', 'zestes de citron 0,6%', 'moutarde de Dijon ', 'eau', 'graines de moutarde', 'vinaigre', 'sel', 'acidifiant : E330', 'antioxydant : E224 ', 'sulfites', 'amidon modifié de pomme de terre', 'sel', 'épaississants : E415 E410', 'colorant : E161b']","['Non végétalien', 'Non végétarien']",455,108,455 kj(108 kcal),"3,9","0,7",1,"0,7",17,"1,475","0,59",D,"['Produits de la mer', 'Crustacés', 'Crevettes']",,3.9 g,en quantité modérée,0.7 g,en faible quantité,0.7 g,en faible quantité,1.48 g,en quantité modérée,+13%,+2%,+4%,+77%,+53%,-8%,+101%,-7%,+0%,+0%,2,-20%,B,-20%,78.1%,0.0%,4.9%,11.3%,2.5%,3.2%,38,['Delpierre'],"['E223 - Disulfite de sodium', '', 'Risque élevé de sur-exposition', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique', 'E224 - Disulfite de potassium', '', 'Risque élevé de sur-exposition', 'E14XX - Amidons modifiés', 'E415 - Gomme xanthane', 'E410 - Gomme de caroube', 'E161b - Lutéine']","['Crustacés', 'Œufs', 'Moutarde', 'Anhydride sulfureux et sulfites']",4,Crevettes décortiquées cuites réfrigérées - Mayonnaise allégée en matière grasse au citron,220 g,"['Barquette', 'sous atmosphère']",['Transformé en France'],"['FR 44.150.001 CE', 'Saint-Aignan-Grandlieu (Loire-Atlantique, France)']",,,,,,
