,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand,additives,allergens,nova_score,generic_name,quantity,packaging,manufacturing,traceability_code,markets,ingredients_origins,link,origin_detail,producer_info,palm_ingredients
20,langue de porc en gelée -,3329260206043,['France'],[],[],?,237,992 kj(237 kcal),"17,9","5,7","0,1","0,1",19,"1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Confit d'Oignons - Les Terrines du Morvan - 90g,3329260210002,['France'],"['Oignons blancs 77%', 'Bourgogne aligoté', 'sucre semoule', ""vinaigre d'alcool"", 'sel', 'poivre blanc', ' Sulfites']",[],?,96,402 kj(96 kcal),"1,3","0,5","19,8",17,"1,3","0,4","0,16",,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Plantes condimentaires', 'Produits à tartiner salés', 'Légumes et dérivés', 'Pâtes à tartiner végétales', 'Oignons et dérivés', ""Confits d'oignons""]","['Point Vert', 'Contient des sulfites']",1.3 g,en faible quantité,0.5 g,en faible quantité,17 g,en quantité élevée,0.4 g,en quantité modérée,,-43%,-43%,-21%,+89%,-43%,-48%,+31%,-36%,-36%,0,-100%,B,-100%,,,,,,,,['Les Terrines du Morvan'],,['Anhydride sulfureux et sulfites'],3,Confit d'oignon,90 g,"['Verre', 'Bocal']",,,,,,,,
22,Canistrelli,3329370000791,['France'],[],[],?,489,2046 kj(489 kcal),24,"4,5",69,2,"8,6","3,2","1,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Terrine caille au muscat du cap Corse,3329370001026,['France'],[],[],?,339,1418 kj(339 kcal),"30,1",10,"1,8","1,3",15,"1,9","0,76",,,"['Sans colorants', 'Sans conservateurs']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Terrine sanglier figue,3329370001071,['France'],[],[],?,269,1125 kj(269 kcal),19,"6,6",11,"9,4",12,"1,5","0,6",,"['Viandes', 'Charcuteries', 'Produits à la viande', 'Terrines', 'Terrines de sanglier']","['Sans colorants', 'Sans conservateurs']",19 g,en quantité modérée,6.6 g,en quantité élevée,9.4 g,en quantité modérée,1.5 g,en quantité modérée,,-13%,-13%,-29%,-34%,+431%,+1426%,-14%,-5%,-5%,17,-6%,D,-6%,,,,,,,,,,,,,,,,,,,,,,
25,Terrine FIGATELLU,3329370001101,['France'],[],[],?,371,1552 kj(371 kcal),34,12,"1,6","0,5",16,"1,4","0,56",,,"['Sans colorants', 'Sans conservateurs']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Terrine sanglier myrte,3329370001132,['France'],[],[],?,329,1377 kj(329 kcal),29,"9,9","0,6","0,5",17,"2,2","0,88",,"['Viandes', 'Charcuteries', 'Produits à la viande', 'Terrines', 'Terrines de sanglier']",,29 g,en quantité élevée,9.9 g,en quantité élevée,0.5 g,en faible quantité,2.2 g,en quantité élevée,,+7%,+7%,+8%,-0%,-71%,-19%,+21%,+39%,+39%,22,+22%,E,+22%,,,,,,,,,,,,,,,,,,,,,,
27,Terrine Caille,3329370003013,['France'],[],[],?,339,1418 kj(339 kcal),"30,1",10,"1,8","1,3",15,"1,9","0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Terrine figatellu,3329370003020,['France'],[],[],?,371,1552 kj(371 kcal),34,12,"1,6","0,5",16,"1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Pâté de cailles au muscat,3329370004010,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
