,name,bar_code,eco_score,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,quantity,packaging,brand,ingredients_origins,manufacturing,traceability_code,additives,nova_score,link,markets,allergens,generic_name,brand_owner,producer_info,palm_ingredients
266,Filet de poulet fermier label rouge,2452812040930,D,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,['Label Rouge'],,['Barquette et film plastique à jeter'],,,,,,,,,,,,,
267,KETCHUP tomate SUD-OUEST - Ederki,3277510007035,B,"['Epicerie', 'Sauces', 'Sauces tomate', 'Ketchup']",['France'],[],[],0.17 g,en faible quantité,0.03 g,en faible quantité,19 g,en quantité élevée,2 g,en quantité élevée,?,,97,-8%,406 kj(97 kcal),-8%,"0,17",-30%,"0,03",-53%,21,-7%,19,-3%,"1,5",+15%,2,+1%,"0,8",+1%,13,+7%,D,+7%,37.2%,25.2%,17.2%,12.9%,5.9%,1.6%,94,"['Bio', 'Sans colorants']",,,['Ederki'],,,,,,,,,,,,
268,Saucisson pour porc,3426620001741,,,['France'],[],[],,,,,,,,,?,,381,,1594 kj(381 kcal),,"32,2",,"13,29",,"0,78",,"0,78",,"22,1",,"3,7",,"1,48",,,,,,,,,,,,,,,,,,,"['FR 42.059.001 CE', 'Chazelles-sur-Lyon (Loire, France)']",,,,,,,,,
269,Gouttes à La Propolis,3455270810069,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,,,,,
270,Brioche des rois,3173310022837,,,['France'],[],[],,,,,,,,,?,,383,,1602 kj(383 kcal),,"16,5",,"11,9",,"50,4",,"15,1",,"0,88",,"0,88",,"0,352",,,,,,,,,,,,,"['Sans additifs', 'Sans colorants']",,,,,,,,,,,,,,,
271,Croissant Aix amandes *2 - 460g,0260721012465,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,"['Sans colorants', 'Sans conservateurs']",460 g,,,,,,,,,,,,,,
272,Combos Sweet and Salty Pretzel GM,0041419780879,,['Snacks'],"['France', 'États-Unis']","['Wheat flour', 'vegetable oil ', 'palm kernel oil', 'palm oil and/or hydrogenated palm oil', 'sugar', 'whey', 'maltodextrin', 'food starch-modified', 'salt', 'less than 1', '5% - corn flour', 'leavening ', 'baking soda', 'sodium acid pyrophosphate', 'dextrose', 'natural and artificial flavors', 'soy lecithin', 'potassium chloride', 'caramel color']","['Huile de palme', 'Non végétalien']",17.9 g,en quantité modérée,10.7 g,en quantité élevée,17.9 g,en quantité élevée,2.41 g,en quantité élevée,?,,464,+3%,1941 kj(464 kcal),+3%,"17,86",-15%,"10,71",+19%,"71,43",+27%,"17,86",-41%,"7,14",+14%,"2,41",+358%,"0,964",+358%,25,+40%,E,+40%,,,,,,,,,,,,,,,"['E500ii - Carbonate acide de sodium', 'E450i - Pyrophosphate de sodium acide', 'E322i - Lécithine', 'E150c - Caramel ammoniacal', '', 'Risque modéré de sur-exposition']",4,,,"['Gluten', 'Lait', 'Soja']",,Mars Chocolate North America LLC,,
273,Krounchy 7 fruits - Grillon d'Or,3421557111020,,,['France'],[],[],,,,,,,,,?,,416,,1741 kj(416 kcal),,14,,"2,3",,61,,25,,"8,1",,"0,04",,"0,016",,,,,,,,,,,,,['Bio'],,,"[""Grillon d'Or""]",,,,,,,,,,,,
274,4008676207132,4008676207132,,,['France'],[],"['Végétalien', 'Végétarien']",,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,"['Bio', 'Végétarien', 'Végétalien']",,,,,,,,,,,,,,,
275,Soupe de carottes au gingembre,4260155021077,,,['France'],[],[],,,,,,,,,?,,73,,305 kj(73 kcal),,"5,7",,"0,5",,"5,1",,"4,9",,"0,4",,"0,8",,"0,32",,,,,,,,,,,,,['Bio'],,,,,,,,,,,,,,,
276,Chicken Noodle Soup - Asda,5054070650189,,,['France'],[],[],,,,,,,,,?,,45,,188 kj(45 kcal),,"0,8",,"0,2",,"7,9",,"1,3",,"1,5",,"0,52",,"0,208",,,,,,,,,,,,,,,,['Asda'],,,,,,,['Asda'],,,,,
277,Saint Nicolas pépites chocolat,2090000176544,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278,Cafés lugat,3700809363807,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Cafés']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,FLOCONS D'EPEAUTRE - Idénat,3380380077821,,,['France'],[],[],,,,,,,,,?,,319,,1335 kj(319 kcal),,"1,7",,"0,4",,"59,5",,"2,1",,"12,1",,"0,01",,"0,004",,,,,,,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-01']",,,['Idénat'],,,,,,,,,,,,
280,"Galette frangipane ss alcool - E.leclerc - 0,200",,D,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Pâtisseries', 'Galettes des rois']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,88.4%,6.6%,2.2%,1.6%,1.2%,0.0%,36,,"0,200",,['E.leclerc'],,,,,,,,,,,,
281,Chutes de jambon blanc,2677662023685,,,['France'],[],[],,,,,,,,,?,,106,,444 kj(106 kcal),,"2,6",,1,,"0,3",,"0,3",,21,,"1,8",,"0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,Caramel beurre salé,3584730118060,,,['France'],[],[],,,,,,,,,?,,429,,1795 kj(429 kcal),,20,,14,,61,,56,,22,,1,,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,Galette Frangipane 12 cm,3355710813967,D,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Pâtisseries', 'Galettes des rois']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,88.4%,6.6%,2.2%,1.6%,1.2%,0.0%,36,,,,,,,,,,,,,,,,
284,Oeuf Bio - Les fermiers de Marin -,3341401234623,C,"[""Produits d'élevages"", 'Œufs', 'Œufs de poules', 'en:Organic eggs']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,91.5%,0.0%,3.5%,2.5%,1.7%,0.8%,51,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,
285,Biscuits Thym Romarin,3760272820115,,,['France'],[],[],,,,,,,,,?,,434,,1816 kj(434 kcal),,16,,"1,8",,61,,"2,2",,"9,2",,"2,3",,"0,92",,,,,,,,,,,,,"['Bio', 'Bio européen', 'Agriculture non UE', 'Agriculture UE', 'Agriculture UE/Non UE', 'FR-BIO-15', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,
286,Saint Marcelin,3258130902191,,,['France'],[],[],,,,,,,,,?,,280,,1172 kj(280 kcal),,23,,16,,"2,2",,"1,4",,16,,"1,3",,"0,52",,,,,,,,,,,,,,,,,,,"['FR 38.500.001 CE', 'Têche (Isère, France)']",,,,,,,,,
287,Tarama au corail d'oursin,3760239854801,,,['France'],[],[],,,,,,,,,?,,579,,2423 kj(579 kcal),,61,,"7,4",,"2,6",,"0,5",,"5,8",,"1,8",,"0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,
288,Terrine de chevreuil aux cèpes,3700889918232,,"['Viandes', 'Charcuteries', 'Produits à la viande', 'Terrines', 'Terrines de chevreuil']",['France'],[],[],28.7 g,en quantité élevée,9.8 g,en quantité élevée,0.2 g,en faible quantité,1.4 g,en quantité modérée,?,,325,+5%,1360 kj(325 kcal),+5%,"28,7",+10%,"9,8",+1%,"2,3",+55%,"0,2",-51%,"14,4",-1%,"1,4",-10%,"0,56",-10%,19,+4%,E,+4%,,,,,,,,['Sans conservateurs'],,,,,,,,,,,,,,,
289,"Galette Frangipane 4/6 pers. - Leclerc - 0,49kg",,D,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Pâtisseries', 'Galettes des rois']",['France'],"['E', 'LeclercL 77270 VilLeparisis GALETTE FRANGIPANE 4/6 PERS Ingrédients Pâte ', '59%', ' ', 'farine ', 'BLE', ': beurre ', 'LAIT', ' ', '33%', ':eau,sel', ' GArniture ', '40%', ' ', 'sucre', ' beurre ', 'LAIT', ' ', '16', '5%', "" OEUF: poudre d'AMANDES blanchies "", '16', '5%', ' LAIT entier', 'jus de citron ', '6', '5%', ' zeste de citron ', '3%', ': farine ', 'BLE', "" jeune d'DEUF: amidon modifié: sirop de glucose-fructose"", ' eau', ' huile de citron', ': Dorure ', '1%', ' ', 'DEUF']",['Non végétalien'],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,88.4%,6.6%,2.2%,1.6%,1.2%,0.0%,36,,"0,49 kg",,['Leclerc'],,['On suppose Leclerc'],,['E14XX - Amidons modifiés'],4,,['Leclerc'],"['Œufs', 'Gluten', 'Lait', 'Fruits à coque']",,,,
290,Biscuits noix de coco,3760272820122,,,['France'],[],[],,,,,,,,,?,,498,,2084 kj(498 kcal),,24,,18,,61,,27,,"7,9",,"0,9",,"0,36",,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Agriculture UE/Non UE', 'FR-BIO-15']",,,,,,,,,,,,,,,
291,Boudin blanc nature,2234809002189,D,"['Viandes', 'Charcuteries', 'Poissons et viandes et oeufs', 'Abats', 'Boudins', 'Produits tripiers', 'Boudins blancs', 'Boudins noirs', 'Boudin noir sauté']",['France'],[],[],15.6 g,en quantité modérée,6.6 g,en quantité élevée,0.1 g,en faible quantité,1.31 g,en quantité modérée,?,,178,-27%,745 kj(178 kcal),-27%,"15,6",-23%,"6,6",-16%,"2,9",-33%,"0,1",-95%,"10,4",+1%,"1,31",-12%,"0,524",-12%,13,-19%,D,-19%,87.1%,4.2%,2.1%,1.8%,1.0%,3.9%,35,,,,,,,,,,,,,,,,
292,Gâteau de fromage,9240001323444,,,['France'],[],[],,,,,,,,,?,,172,,720 kj(172 kcal),,4,,2,,27,,21,,7,,"0,13",,"0,052",,,,,,,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-01', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,
293,Muesli fraise,3390002327746,,,['France'],[],[],,,,,,,,,?,,362,,1515 kj(362 kcal),,"2,2",,"0,4",,"69,7",,"4,5",,11,,"0,008",,"0,003",,,,,,,,,,,,,,,,,,,,,,,,,,,,
294,Mini Snack,3579260015569,,,['France'],[],[],,,,,,,,,?,,490,,2050 kj(490 kcal),,41,,14,,"2,3",,"2,2",,28,,"4,5",,"1,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,
295,Galette Frangipane Individuelle - Auchan,2090000178784,D,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Pâtisseries', 'Galettes des rois']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,88.4%,6.6%,2.2%,1.6%,1.2%,0.0%,36,,,,['Auchan'],,,,,,,['Auchan'],,,,,
296,TATIN de Saint-Jacques - 110g,3701222800306,,,['France'],[],[],,,,,,,,,?,,251,,1050 kj(251 kcal),,18,,"8,6",,17,,"3,9",,"5,8",,"0,74",,"0,296",,,,,,,,,,,,,,110 g,,,,,"['FR 47.091.011 CE', 'Estillac (Lot-et-Garonne, France)']",,,,,,,,,
297,Truffes fantaisie,3481290038756,,,['France'],[],[],,,,,,,,,?,,600,,2510 kj(600 kcal),,46,,39,,41,,39,,"4,1",,"0,12",,"0,048",,,,,,,,,,,,,,,,,,,,,,,,,,,,
298,Schümli mousses schiumini - Midor,7617400032710,,,"['France', 'Suisse']",[],[],,,,,,,,,?,,405,,1695 kj(405 kcal),,6,,"3,5",,82,,82,,5,,"0,2",,"0,08",,,,,,,,,,,,,,,,['Midor'],,,,,,,,,,,,
299,Langue de bœuf sauce porto,0207529055768,E,"['Viandes', 'Bœuf', 'Langues de bœuf']",['France'],[],[],7.3 g,en quantité modérée,2.3 g,en quantité modérée,1.9 g,en faible quantité,0.65 g,en quantité modérée,?,,131,-15%,548 kj(131 kcal),-15%,"7,3",-29%,"2,3",-45%,"2,9",-28%,"1,9",+30%,11,+2%,"0,65",-34%,"0,26",-34%,0,-100%,B,-100%,97.7%,0.4%,0.8%,0.7%,0.4%,0.1%,10,,,,,,,,,,,,,,,,
300,Jambon cuit supérieur,0209539010232,E,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs']",['France'],[],[],6.2 g,en quantité modérée,2.2 g,en quantité modérée,0.5 g,en faible quantité,1.92 g,en quantité élevée,?,,141,+7%,590 kj(141 kcal),+8%,"6,2",+29%,"2,2",+20%,"0,5",-25%,"0,5",-16%,"20,7",-2%,"1,92",+3%,"0,768",+3%,11,+56%,D,+56%,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,"['Viande Française', 'Viande Porcine Française', 'Qualité supérieure']",,,,,,,,,,,,,,,
301,Buche de Noel -,5709451026557,D,"['Desserts', 'Biscuits et gâteaux', 'Aliments et boissons de Noël', 'Pâtisseries', 'Bûches de Noël', 'Bûches pâtissières']",['France'],[],[],37 g,en quantité élevée,9.8 g,en quantité élevée,35 g,en quantité élevée,0 g,en faible quantité,?,,529,+47%,2213 kj(529 kcal),+46%,37,+95%,"9,8",-12%,37,-14%,35,+14%,"9,7",+153%,0,-100%,0,-100%,22,+13%,E,+13%,79.8%,13.5%,2.6%,2.8%,1.4%,0.0%,41,,,,,,,,,,,,,,,,
302,Pop fruits,3281011008927,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303,Bisque de langoustine,3760239855846,,"['Produits de la mer', 'Bisques de Langoustines']",['France'],[],[],0.8 g,en faible quantité,0.4 g,en faible quantité,1.1 g,en faible quantité,0.85 g,en quantité modérée,?,,32,-35%,134 kj(32 kcal),-34%,"0,8",-64%,"0,4",-45%,"1,5",-15%,"1,1",+49%,"3,7",+13%,"0,85",-4%,"0,34",-4%,1,-45%,B,-45%,,,,,,,,,,,,,,,,,,,,,,,
304,Tarte aux abricots pur beurre,3250391371198,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,3 terrines de canard - conserves stephan - 225g,3261830001439,E,"['Viandes', 'Charcuteries', 'Produits à la viande', 'Terrines', 'Terrines de volailles', 'Terrines de canard']",['France'],"['Gorge de porc*', 'viande de canard 25% ', 'origine UE', 'foie de poulet', 'magret de canard fumé 5% ', 'magret de canard', 'sel', 'ferments lactiques', 'conservateur : nitrite de sodium', 'antioxydant : ascorbate de sodium', 'viande de porc*', 'eau', 'oignons', ""blanc d'oauf"", 'fécule de pomme de terre', 'sel', 'arôme ', 'dont lalt et ble', 'poivre', 'arôme de fumée', ' Traces possibles de moutarde et céleri', ' *origine: France']","['Non végétalien', 'Non végétarien']",29 g,en quantité élevée,10 g,en quantité élevée,0.5 g,en faible quantité,1.6 g,en quantité élevée,?,,316,+3%,1322 kj(316 kcal),+3%,29,+10%,10,+5%,"2,8",+63%,"0,5",-19%,11,-23%,"1,6",+5%,"0,64",+5%,19,+6%,E,+6%,77.8%,15.8%,3.0%,2.2%,1.0%,0.3%,33,,225 g,,['conserves stephan'],,,"['FR 22.225.001 CE', ""Ploumagoar (Côtes-d'Armor, France)""]","['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E301 - Ascorbate de sodium']",4,,['Lidl'],"['Gluten', 'Lait']",,,,
306,Infusion gourmande - Palais des Thés,3700256726248,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,['Palais des Thés'],,,,,,,,,,,,
307,Sauté de canard aux cèpes,3432770032924,,,['France'],[],[],,,,,,,,,?,,132,,552 kj(132 kcal),,"7,4",,"2,5",,"2,3",,0,,14,,"0,87",,"0,348",,,,,,,,,,,,,,,,,,,,,,,,,,,,
308,"""Gâteau Aux épices"" Aux Tendres Agrumes - 245g",3770001446394,,,['France'],[],[],,,,,,,,,?,,406,,1699 kj(406 kcal),,"13,75",,9,,"67,16",,"42,8",,"3,49",,"0,5",,"0,2",,,,,,,,,,,,,"['Fabriqué en France', 'Sans colorants', 'Sans conservateurs']",245 g,,,,,"['EMB 21231M', ""Dijon (Côte-d'Or, France)""]",,,,,,,,,
309,Cocktail crevette/surimi,0209146018898,,,['France'],[],[],,,,,,,,,?,,153,,640 kj(153 kcal),,12,,"0,9",,"4,7",,2,,"5,9",,"1,9",,"0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,Creme de cacau avelas,8711200365678,,,['France'],[],[],,,,,,,,,?,,552,,2310 kj(552 kcal),,35,,"3,8",,52,,52,,"6,4",,"0,14",,"0,056",,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,Tarama au crabe,3760239854818,,,['France'],[],[],,,,,,,,,?,,518,,2167 kj(518 kcal),,"53,8",,"7,3",,"2,2",,"0,5",,"7,8",,"1,9",,"0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,Panettone del cavaliere - Condorelli,8004494312016,C,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Brioches', 'Panettone']",['France'],"['Farine de blé - Raisin 16% - Glaçage aux noisettes 12% ', 'Sucre', ""Blanc d'œuf frais"", 'Noisettes 18% correspondant au 2% du total des ingrédients', 'Amidon de riz', 'Farine de riz', "" - Beurre - Sucre - Jaune d'oeuf frais - Écorces d'agrumes confites 6% "", ""Écorces d'orange et cédrat"", 'Sirop de glucose-fructose', 'Sucre', ' - Levure naturelle ', 'contient du blé', ' - Amandes 1,5% - Sucre inverti - Émulsifiant: mono et diglycérides des acides gras - Lait entier frais pasteurisé - Sel - Arômes naturels', ' Peut contenir des traces autre noix et soja']",['Non végétalien'],16 g,en quantité modérée,9.5 g,en quantité élevée,28 g,en quantité élevée,0.35 g,en quantité modérée,?,,391,+5%,1636 kj(391 kcal),+5%,16,+7%,"9,5",+6%,53,+3%,28,+8%,7,+2%,"0,35",-21%,"0,14",-21%,20,+8%,E,+8%,81.5%,11.5%,4.5%,2.1%,0.3%,0.0%,56,,,,['Condorelli'],,,,"[""E471 - Mono- et diglycérides d'acides gras alimentaires""]",4,,,"['Gluten', 'Lait', 'Fruits à coque']",,,,
313,Monsieur pain d'épices - Le Comptoir de Mathilde,3700961301181,B,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', ""Pains d'épices""]",['France'],[],[],0.8 g,en faible quantité,0.2 g,en faible quantité,31 g,en quantité élevée,0.05 g,en faible quantité,?,,348,+3%,1456 kj(348 kcal),+3%,"0,8",-77%,"0,2",-84%,78,+10%,31,-24%,"7,4",+71%,"0,05",-89%,"0,02",-89%,6,-57%,C,-57%,61.5%,18.9%,9.5%,5.0%,5.0%,0.0%,90,,,,['Le Comptoir de Mathilde'],,,,,,,,,,,,
314,Mimolette vieille - Carrefour - 270g,2237408028147,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Mimolettes', 'Fromages-du-nord-pas-de-calais']",['France'],[],[],29 g,en quantité élevée,21 g,en quantité élevée,0.5 g,en faible quantité,3 g,en quantité élevée,?,,385,+11%,1611 kj(385 kcal),+11%,29,+12%,21,+17%,"0,5",-15%,"0,5",-0%,31,+12%,3,+19%,"1,2",+19%,19,+4%,E,+4%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,270g,['emballage plastique'],['Carrefour'],,,"['FR 35.068.004 CE', 'Châteaubourg (Ille-et-Vilaine, France)']",,,,"['Carrefour market', 'Carrefour']",,,,,
315,Perle chocolat fraise,3555500002032,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,Bûche glacée 3 Chocolats - Cora,3257981230200,D,"['Desserts', 'Surgelés', 'Aliments et boissons de Noël', 'Desserts glacés', 'Bûches de Noël', 'Bûches glacées']",['France'],[],[],9.6 g,en quantité modérée,7.6 g,en quantité élevée,24.3 g,en quantité élevée,0.24 g,en faible quantité,872,+11%,?,,872 kj(208 kcal),+5%,"9,6",+18%,"7,6",+40%,"26,8",-6%,"24,3",-2%,"2,8",+21%,"0,24",+94%,"0,096",+94%,15,+33%,D,+33%,79.8%,13.5%,2.6%,2.8%,1.4%,0.0%,41,,,,['Cora'],,,,,,,['Cora'],,"Bûche glacée avec glace chocolat noir 56,8%, glace chocolat au lait 20,9%, glace chocolat blanc 20,9%, décorée de copeaux de chocolat 0,5% et copeaux de chocolat blanc 0,5% et d'une plaquette de chocolat noir 0,4%",,,
317,"Passata Di Pomodoro, Passierte Tomaten",8033100271423,,['it:Passata di pomodoro'],['France'],[],[],0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,?,,0,,0 kj(0 kcal),,0,,0,,0,,0,,0,,0,,0,,0,,B,,,,,,,,,,,,,,,,,,,,,,,,
318,Fleur de Sel,4027900443153,B,"['Epicerie', 'Condiments', 'Sels', 'Sels marins', 'Sels non raffinés', 'Fleurs de sel']","['France', 'Allemagne']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,50.9%,0.0%,27.5%,11.1%,10.5%,0.0%,98,,,['döschen'],,,,,,,,,,,,,
319,High protein peanut spread crunchy,5060399740883,,,['France'],[],[],,,,,,,,,?,,576,,2410 kj(576 kcal),,"43,2",,"5,5",,12,,"8,4",,32,,"0,07",,"0,028",,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,KAKI -  - 2kg,3770001060057,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,2 kg,,,,,"['R.G.S.E.A.A 21.25030/L', 'ES 21.25030/L CE']",,,,,,,,,
321,TARTARE de SAUMON assaisonné - Leaderprice,3263858565412,,,['France'],[],[],,,,,,,,,?,,176,,736 kj(176 kcal),,"13,7",,"2,1",,1,,"0,5",,"16,8",,"1,17",,"0,468",,,,,,,,,,,,,,,,['Leaderprice'],,,,,,,,,,,,
322,00498906,00498906,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,Mini financiers à la framboise et noix - 80g,3549170000481,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,80 g,,,,,,,,,,,,,,
324,"Czekolada gorzka, 90 % cocoa - Wawel",5900102009015,E,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs']",['France'],"['miazga kakaowa ', 'mp Afryka', 'kakao o obniżonej zawartości tłuszczu', 'cukier', 'tłuszcz kakaowy', 'emulgatory: lecytyny ', 'z soi', ' i E476', 'aromat', ' Masa kakaowa minimum 90%', ' Może zawierać orzeszki arachidowe', 'migdały', 'orzechy laskowe', 'nasiona sezamu', 'mleko', 'pszenicę i jaja']",['Non végétalien'],44 g,en quantité élevée,28 g,en quantité élevée,11 g,en quantité modérée,0.02 g,en faible quantité,?,,558,+0%,2335 kj(558 kcal),+1%,44,+12%,28,+21%,17,-56%,11,-65%,15,+96%,"0,02",-57%,"0,008",-57%,18,-15%,D,-15%,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,,,,['Wawel'],,,,"['E322 - Lécithines', ""E476 - Esters polyglycériques d'acides gras d'huile de ricin""]",4,,,,,,,
325,Legume secs,3513084000073,,,['France'],[],[],,,,,,,,,?,,421,,1761 kj(421 kcal),,3,,"0,17",,64,,8,,33,,20,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
326,Riz long - Lustucru,3038359006784,C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Riz', 'Riz long grain']",['France'],[],[],0.9 g,en faible quantité,0.2 g,en faible quantité,0.5 g,en faible quantité,0.01 g,en faible quantité,?,,355,+6%,1485 kj(355 kcal),+5%,"0,9",-15%,"0,2",-16%,79,+8%,"0,5",+74%,7,-4%,"0,01",-47%,"0,004",-47%,0,,B,,79.0%,0.0%,6.4%,11.0%,3.6%,0.0%,74,,,,['Lustucru'],,,,,,,,,,,,
327,Baies de goji séchées,2600328036934,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs', 'Baies de goji séchées']",['France'],[],[],2.7 g,en faible quantité,0.3 g,en faible quantité,53.1 g,en quantité élevée,0.76 g,en quantité modérée,?,,317,-4%,1326 kj(317 kcal),-5%,"2,7",-8%,"0,3",-32%,"53,9",-9%,"53,1",+19%,13,+4%,"0,76",+21%,"0,304",+21%,6,+104%,C,+104%,,,,,,,,,,,,,,,,,,,,,,,
328,Green beans very fine - Metro Chef,4337182032601,,,['France'],[],[],,,,,,,,,?,,33,,138 kj(33 kcal),,"0,1",,"0,1",,"3,7",,1,,2,,"0,03",,"0,012",,,,,,,,,,,,,['Produits destinés aux professionnels'],,,['Metro Chef'],,,,,,,,,,,,
329,Délices de pont aven,3483830701632,,,['France'],[],[],,,,,,,,,?,,476,,1992 kj(476 kcal),,19,,13,,67,,27,,"7,4",,"0,69",,"0,276",,,,,,,,,,,,,,,,,,,,,,,,,,,,
330,Purée de tomates Passata - Cirio,8001440121289,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Tomates et dérivés', 'Sauces', 'Sauces tomate', 'Purées de tomates']",['France'],[],[],0.1 g,en faible quantité,0 g,en faible quantité,4.4 g,en faible quantité,0.35 g,en quantité modérée,?,,35,-33%,146 kj(35 kcal),-28%,"0,1",-91%,0,-100%,"6,3",+9%,"4,4",-2%,"1,2",-24%,"0,35",-21%,"0,14",-21%,-4,,A,,22.8%,37.1%,17.7%,10.6%,8.4%,3.3%,96,,,,['Cirio'],,,,,,,,,,,,
331,Cannelle,00619325,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,Poudre de cayenne,00739924,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
