,name,bar_code,eco_score,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,quantity,packaging,brand,ingredients_origins,manufacturing,traceability_code,additives,nova_score,link,markets,allergens,generic_name,brand_owner,producer_info,palm_ingredients
859,Tortilla Chips Croustilles Bio Non Salée,0068826176026,B,"['Snacks', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Chips de maïs']",['France'],"['Maïs moulu sur pierre volcanique""', 'huile de tournesol* et/ou de carthame""', 'hydroxyde de calcium ', 'chaux hydratée', '*Biologique', 'VÉGÉTÁLIEN WHOLE GRAIN GRAINS ENTIERS 40g/portion The Whole Grains Council']","['Végétalien', 'Végétarien']",24 g,en quantité élevée,2 g,en quantité modérée,2 g,en faible quantité,0 g,en faible quantité,?,,520,+7%,2176 kj(520 kcal),+8%,24,+6%,2,-32%,64,+6%,2,+6%,8,+25%,0,-100%,0,-100%,3,-69%,C,-69%,62.4%,19.7%,7.4%,7.2%,3.4%,0.0%,78,"['Bio', 'Végétarien', 'Sans gluten', 'Végétalien']",,,,,,,,3,,,,,,,
860,Peanut butter - Pams,9415077074280,,,['France'],[],[],,,,,,,,,?,,607,,2540 kj(607 kcal),,"50,2",,"11,8",,8,,"4,3",,"30,1",,"0,26",,"0,104",,,,,,,,,,,,,['Sans sucre ajouté'],,,['Pams'],,,,,,,,,,,,
861,Filet de bar cuisine au champagne,3508100131152,,,['France'],[],[],,,,,,,,,?,,149,,623 kj(149 kcal),,9,,4,,4,,1,,13,,1,,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,
862,Petit cake au citron,3277735225795,,,['France'],[],[],,,,,,,,,?,,443,,1854 kj(443 kcal),,23,,"2,2",,52,,29,,"6,4",,"0,36",,"0,144",,,,,,,,,,,,,['Fabriqué en France'],,,,,,,,,,,,,,,
863,Confiture Tamarin -,3392060000265,,,['France'],"['fruits frais SHCTE tde canne', ' Gelifiant pectine', ' Sans colorant ni conservateur conformé - ment à la législation', ' Preparée avec 50 g de fruits pour 100 g', 'teneur totale en sucre 63 g pour 100 g']",[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,"['Sans colorants', 'Sans conservateurs']",,,,,,,['E440 - Pectines'],4,,,,,,,
864,Souskay d'hareng saur - 1kg,5777202507990,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,"['Sans colorants', 'Sans conservateurs']",1 kg,,,,,,,,,,,,,,
865,Saumon fumé irlandais - Kritsen,3321431025859,D,"['Produits de la mer', 'Poissons', 'Saumons', 'Poissons fumés', 'Saumons fumés']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,96.2%,0.0%,1.6%,1.4%,0.7%,0.2%,24,"['Bio', 'Bio européen', 'FR-BIO-10']",,,['Kritsen'],,,,,,,,,,,,
866,Confiture,3760192520539,,,['France'],[],[],,,,,,,,,?,,222,,929 kj(222 kcal),,"0,195",,"0,01",,56,,56,,"0,7",,"3,5",,"1,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,
867,Galette des rois aux pommes,0204701035426,D,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Pâtisseries', 'Galettes des rois']",['France'],[],[],17 g,en quantité modérée,12 g,en quantité élevée,12 g,en quantité modérée,0.67 g,en quantité modérée,?,,295,-30%,1234 kj(295 kcal),-30%,17,-36%,12,-19%,31,-20%,12,-7%,"3,6",-43%,"0,67",-4%,"0,268",-4%,17,-11%,D,-11%,88.4%,6.6%,2.2%,1.6%,1.2%,0.0%,36,,,,,,,,,,,,,,,,
868,Couronne briochees,3021990091639,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
