,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,brand,labels,eco_score,generic_name,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,additives,allergens,nova_score,quantity,packaging,manufacturing,palm_ingredients,markets,traceability_code,ingredients_origins,link,brand_owner
172,Soupe bio rustique,3760150331559,['France'],[],[],?,258,1079 kj(258 kcal),"1,6","0,3","52,6","1,8",0,,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,Panettone - Pasta & Aromi,3760150331696,['France'],"['farine de BLEI', 'glace 14,13% ', 'sucre', 'blanc DIOEUF', 'huile de tournesol farine de riz farine de NOISETTES', 'raisins secs', 'BEURRE', 'sucre', ""jaune d'OEUF d'oranges confites "", ""écorce d'orange"", 'glucose-fructose', 'sucre', 'frais', 'écot acid citrique', 'eau', 'levain naturel ', ""farine de BLE' eau"", 'sirop de correcteur a sucre inverti', 'AlviANDESj 2 47%', 'émulsifiants', ' E471 mono et diglycerides des acides grasses', 'OEIJFS frais beurre de cacao selt arômes naturels Peut contenir traces ae SOJA,']",['Non végétalien'],?,380,1590 kj(380 kcal),16,"9,4","50,2",25,"6,5","0,35","0,14",['Pasta & Aromi'],,C,,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Brioches', 'Panettone']",16 g,en quantité modérée,9.4 g,en quantité élevée,25 g,en quantité élevée,0.35 g,en quantité modérée,,+2%,+2%,+7%,+5%,-3%,-3%,-5%,-21%,-21%,17,-9%,D,-9%,81.5%,11.5%,4.5%,2.1%,0.3%,0.0%,56,"[""E471 - Mono- et diglycérides d'acides gras alimentaires""]","['Œufs', 'Gluten', 'Lait', 'Fruits à coque', 'Soja']",4,,,,,,,,,
174,Sauce poivron,3760150334208,['France'],[],[],?,61,255 kj(61 kcal),"3,6","0,4","4,5","4,5","1,7","0,37","0,148",,"['Fabriqué en Italie', 'Sans conservateurs']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,Bruscetta,3760150335342,['France'],[],[],?,189,791 kj(189 kcal),"19,1","2,75","2,9","2,75","1,1","0,51","0,204",,['Sans conservateurs'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,Sauce au basilic - Pasta Et Aromi,3760150336042,['France'],"['• Tomate 88%', 'oignon,huile d’olive vierge', ' basilic 1%', 'sel']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,58,243 kj(58 kcal),"4,35","0,57","3,11","3,11","1,13","0,54","0,216",['Pasta Et Aromi'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,Polenta,3760150337230,['France'],[],[],?,344,1439 kj(344 kcal),"1,8","0,2",74,0,"7,9",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,Polenta aux bolets,3760150337247,['France'],[],[],?,334,1397 kj(334 kcal),"1,8","0,2","71,7","0,2","7,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,Crozets nature - La lune,3760150337261,['France'],[],[],?,321,1343 kj(321 kcal),"1,3","0,1",66,"1,3","11,55","0,02","0,008",['La lune'],,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Crozets']",1.3 g,en faible quantité,0.1 g,en faible quantité,1.3 g,en faible quantité,0.02 g,en faible quantité,,-8%,-8%,-44%,-80%,-4%,-38%,-6%,-89%,-89%,-1,,A,,,,,,,,,,,,,,,,,,,,
180,Crozets aux cèpes - La Lune - 400g,3760150337292,['France'],"['farine de BLE tendre ', 'origine FRANCE', 'poudre de cèpes 4%']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,332,1389 kj(332 kcal),12,"0,1","67,3","2,1","12,9","0,04","0,016",['La Lune'],['Fabrication artisanale'],B,Spécialité céréalière de blé tendre aux cèpes,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Pâtes sèches', 'Pâtes de légumes', 'Crozets']",12 g,en quantité modérée,0.1 g,en faible quantité,2.1 g,en faible quantité,0.04 g,en faible quantité,,+9%,+9%,+275%,-81%,+60%,-18%,-25%,-12%,-12%,-1,,A,,65.0%,21.6%,6.8%,3.5%,3.1%,0.0%,74,,['Gluten'],1,400 g,"['Plastique', 'Sec']",,,,,,,
181,duo de crozets - La Lune,3760150337346,['France'],"['Farine de blé tendre ', 'origine France', 'farine de sarrasin', 'œuf']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,323,1351 kj(323 kcal),"1,5","0,2",66,"1,7","11,2","0,03","0,012",['La Lune'],,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Crozets']",1.5 g,en faible quantité,0.2 g,en faible quantité,1.7 g,en faible quantité,0.03 g,en faible quantité,,-8%,-7%,-35%,-59%,-4%,-19%,-9%,-83%,-83%,-1,,A,,,,,,,,,,"['Œufs', 'Gluten']",1,,,,,,,,,
182,Crozet aux cèpes - Saveurs des Alpes - 400g,3760150337469,['France'],"['farine de BLE tendre ', 'origine france', 'poudre de cèpes 4%']","['Sans huile de palme', 'Végétalien', 'Végétarien']",1408,?,1408 kj(337 kcal),"1,2","0,1","67,3","2,1","12,9","0,04","0,016",['Saveurs des Alpes'],['Maître Artisan'],,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Crozets']",1.2 g,en faible quantité,0.1 g,en faible quantité,2.1 g,en faible quantité,0.04 g,en faible quantité,-0%,,-4%,-48%,-80%,-2%,0%,+5%,-77%,-77%,-1,,A,,,,,,,,,,['Gluten'],1,400g,['étui carton'],['St Jean de Maurienne (73 Savoie)'],,['LA PASTA'],['73248'],['Blé français'],http://www.pates.pro,
183,Tortellini aux fromages,3760150337483,['France'],[],[],?,396,1657 kj(396 kcal),"9,5","4,8",63,"2,5","13,2","1,9","0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,Crozets à l'ail des ours - Saveurs des Alpes - 400g,3760150337612,['France'],"['farine de BLE tendre ', 'origine France', 'ŒUFS', 'ail des ours ', '2%', ' 3 7601501337612']",['Non végétalien'],?,322,1347 kj(322 kcal),"1,2","0,1",66,"1,8","11,6",0,0,['Saveurs des Alpes'],,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Crozets']",1.2 g,en faible quantité,0.1 g,en faible quantité,1.8 g,en faible quantité,0 g,en faible quantité,,-8%,-8%,-48%,-80%,-4%,-14%,-6%,-100%,-100%,-1,,A,,,,,,,,,,"['Œufs', 'Gluten']",1,400g,['étui carton'],,,,,,,
185,Cheveux de la lune,3760150337773,['France'],"['Ingrédlents: Semoule de BLE dur ', 'origine UE', 'OEUF', 'safran blo des huitlères']",['Non végétalien'],?,319,1335 kj(319 kcal),"2,1","0,3",63,"2,7","11,6","0,04","0,016",['La Lune'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Œufs', 'Gluten']",,,,,,,,,,
186,Chocogressins,3760150337780,['France'],[],[],?,538,2251 kj(538 kcal),31,18,56,39,"7,4","0,54","0,216",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,Crozets à l'ail des ours - La lune,3760150337803,['France'],[],[],?,322,1347 kj(322 kcal),"1,2","0,1",66,"1,8","11,6","0,01","0,004",['La lune'],,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Crozets']",1.2 g,en faible quantité,0.1 g,en faible quantité,1.8 g,en faible quantité,0.01 g,en faible quantité,,-8%,-8%,-48%,-80%,-4%,-14%,-6%,-94%,-94%,-1,,A,,,,,,,,,,,,,,,,,,,,
188,Torsades tricolores,3760150337926,['France'],[],[],?,333,1393 kj(333 kcal),"2,3","0,6","62,8","1,9","13,6","0,03","0,012",,['Fabriqué en Italie'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,Panettone,3760150338046,['France'],[],[],?,341,1427 kj(341 kcal),"13,2","7,4","47,1","24,7",8,"0,47","0,188",,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01']",C,,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Brioches', 'Panettone']",13.2 g,en quantité modérée,7.4 g,en quantité élevée,24.7 g,en quantité élevée,0.47 g,en quantité modérée,,-9%,-9%,-12%,-18%,-9%,-5%,+17%,+7%,+7%,18,-3%,D,-3%,81.5%,11.5%,4.5%,2.1%,0.3%,0.0%,56,,,,,,,,,,,,
190,Colombe de Pâques,3760150338978,['France'],[],[],?,407,1703 kj(407 kcal),"13,6","6,2","63,9","36,7","6,1","0,3","0,12",,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,Yaourts a la fraise - mezerac - 4× 125g,3760150420031,['France'],[],[],?,94,393 kj(94 kcal),2,2,14,14,4,"0,1","0,04",['Mezerac'],['Bleu Blanc Cœur'],B,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts aux fruits', 'Yaourts à la fraise']",2 g,en faible quantité,2 g,en quantité modérée,14 g,en quantité élevée,0.1 g,en faible quantité,,-4%,-3%,-33%,+5%,+6%,+13%,+9%,-7%,-7%,3,+12%,C,+12%,79.1%,8.8%,4.4%,4.5%,2.5%,0.7%,69,,,,4× 125g,,,,,,,,
192,Faisselle - Mezerac,3760150420093,['France'],[],[],?,134,561 kj(134 kcal),5,4,4,4,4,"0,06","0,024",['Mezerac'],['Bleu Blanc Cœur'],C,,"['Produits laitiers', 'Desserts', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Desserts lactés', 'Fromages à la crème', 'Faisselles']",5 g,en quantité modérée,4 g,en quantité modérée,4 g,en faible quantité,0.06 g,en faible quantité,,+56%,+56%,-6%,+19%,-9%,+17%,-10%,-46%,-46%,2,+36%,B,+36%,84.7%,5.9%,3.1%,4.1%,1.8%,0.5%,54,,,,,,,,,,,,
193,Beurre fermier demi sel - Mezerac,3760150420147,['France'],[],[],?,736,3079 kj(736 kcal),88,55,1,"0,3","0,7","1,5","0,6",['Mezerac'],,E,,"['Produits laitiers', 'Matières grasses', 'Produits à tartiner', 'Matières grasses à tartiner', 'Matières grasses animales', 'Matière grasse laitière', 'Produits laitiers à tartiner', 'Beurres', 'Beurres demi-sel']",88 g,en quantité élevée,55 g,en quantité élevée,0.3 g,en faible quantité,1.5 g,en quantité modérée,,+2%,+3%,+11%,+2%,+34%,-51%,+3%,-27%,-27%,24,-9%,E,-9%,91.5%,4.9%,1.3%,1.2%,0.8%,0.2%,27,,,,,,,,,,,,
194,Lait entier pasteurisé - Mezerac,3760150420161,['France'],['Lait entier pasteurisé'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,56,234 kj(56 kcal),4,2,3,3,3,"0,1","0,04",['Mezerac'],,D,,"['Produits laitiers', 'Laits', 'Laits pasteurisés', 'Laits entiers']",4 g,en quantité modérée,2 g,en quantité modérée,3 g,en faible quantité,0.1 g,en faible quantité,,-2%,+1%,+68%,+39%,-37%,-32%,-9%,+1%,+1%,0,-100%,B,-100%,78.7%,1.1%,11.0%,6.0%,3.2%,0.0%,54,,,1,,,,,,,,,
195,4 yaourts fruits des bois - Mezerac,3760150420185,['France'],"['Lait pasteurisé demi-écrémé', 'fruits des bois 10%', 'sucre 5%', 'poudre de lait 4%', 'ferments lactiques', 'contenu dans la préparation de fruits : amidon transformé de riz', ' pectine', 'carraghénane', 'sorbate de potassium']",['Non végétalien'],500,?,500 kj(120 kcal),2,"1,86",5,5,"3,5","0,12","0,048",['Mezerac'],,C,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts aux fruits', 'Yaourts multifruits']",2 g,en faible quantité,1.86 g,en quantité modérée,5 g,en quantité modérée,0.12 g,en faible quantité,+31%,,+27%,-28%,+1%,-61%,-59%,-1%,-2%,-2%,1,-60%,B,-60%,79.1%,8.8%,4.4%,4.5%,2.5%,0.7%,69,"['E14XX - Amidons modifiés', 'E440 - Pectines', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",['Lait'],4,,,,,,,,,
196,4yaourts fermiers nature demi écrémé - Mezerac - 500g (4x125g),3760150420215,['France'],[],[],?,52,218 kj(52 kcal),2,2,7,5,4,"0,1","0,04",['Mezerac'],,B,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts nature']",2 g,en faible quantité,2 g,en quantité modérée,5 g,en quantité modérée,0.1 g,en faible quantité,,-28%,-27%,-44%,-14%,+44%,+13%,-3%,-17%,-17%,0,-100%,B,-100%,70.1%,13.1%,6.5%,5.7%,3.7%,1.0%,85,,,,500 g (4x125g),,,,,,,,
197,Crèmes dessert chocolat - Mézerac,3760150420529,['France'],"['lait entier pasteurisé : 85,5 % ', 'sucre 8%', 'cacao 3%', 'amidon 2%', 'poudre de lait 1%', 'carraghérane 0,5 %']",['Non végétalien'],?,114,477 kj(114 kcal),4,"1,52","16,45","13,25","3,25","0,18","0,072",['Mézerac'],,B,,"['Produits laitiers', 'Desserts', 'Desserts lactés', 'Crèmes dessert', 'Desserts au chocolat', 'Crèmes dessert rayon frais', 'Crèmes dessert chocolat']",4 g,en quantité modérée,1.52 g,en quantité modérée,13.2 g,en quantité élevée,0.18 g,en faible quantité,,-16%,-15%,-12%,-47%,-12%,-17%,-10%,+20%,+20%,2,-58%,B,-58%,72.7%,12.5%,5.4%,5.5%,3.0%,0.8%,77,,['Lait'],3,,,,,,,,,
198,Yaourts au citron - Mezerac,3760150420550,['France'],"['Lait demi-écrémé', 'sucre 8%', 'poudre de lait 2%', 'arôme de citron naturel 1,5%', 'ferments lactiques']",['Non végétalien'],?,88,368 kj(88 kcal),2,2,12,12,3,"0,1","0,04",['Mezerac'],,B,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts aromatisés', 'Yaourts sucrés']",2 g,en faible quantité,2 g,en quantité modérée,12 g,en quantité modérée,0.1 g,en faible quantité,,-3%,-3%,-28%,+14%,-3%,+2%,-16%,-12%,-12%,3,-11%,C,-11%,58.5%,18.6%,8.7%,7.9%,5.0%,1.4%,92,,['Lait'],3,,,,,,,,,
199,Yaourts a la noix de coco - Mezerac,3760150420567,['France'],[],[],?,88,368 kj(88 kcal),2,2,12,12,3,"0,1","0,04",['Mezerac'],,B,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts aromatisés', 'Yaourts sucrés']",2 g,en faible quantité,2 g,en quantité modérée,12 g,en quantité modérée,0.1 g,en faible quantité,,-3%,-3%,-28%,+14%,-3%,+2%,-16%,-12%,-12%,3,-11%,C,-11%,58.5%,18.6%,8.7%,7.9%,5.0%,1.4%,92,,,,,,,,,,,,
200,Yaourts a la noix de coco - Mezerac,3760150420567,['France'],[],[],?,88,368 kj(88 kcal),2,2,12,12,3,"0,1","0,04",['Mezerac'],,B,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts aromatisés', 'Yaourts sucrés']",2 g,en faible quantité,2 g,en quantité modérée,12 g,en quantité modérée,0.1 g,en faible quantité,,-3%,-3%,-28%,+14%,-3%,+2%,-16%,-12%,-12%,3,-11%,C,-11%,58.5%,18.6%,8.7%,7.9%,5.0%,1.4%,92,,,,,,,,,,,,
201,Soupe De Poisson,3760150440091,['France'],[],[],?,43,180 kj(43 kcal),"1,3","0,48","1,9",0,"5,3","0,8","0,32",,,E,,"['Plats préparés', 'Soupes', 'Soupes à réchauffer', 'Soupes de poissons']",1.3 g,en faible quantité,0.48 g,en faible quantité,0 g,en faible quantité,0.8 g,en quantité modérée,,-10%,-10%,-32%,+7%,+4%,-100%,+3%,-9%,-9%,0,-100%,B,-100%,89.9%,2.6%,1.2%,5.2%,0.8%,0.3%,25,,,,,,,,,,,,
202,Oeufs frais (x 12) calibre Gros Première Fraîcheur - Lustucru - 12 (calibre Gros => 63à 73g),3760150471293,['France'],['Oeufs de poule'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,130,544 kj(130 kcal),"8,8","2,3","0,7","0,7",12,"0,32","0,128",['Lustucru'],['Pondu en France'],B,"Oeufs frais de poules, catégorie A (calibre Gros)","[""Produits d'élevages"", 'Œufs', 'Œufs de poules']",8.8 g,en quantité modérée,2.3 g,en quantité modérée,0.7 g,en faible quantité,0.32 g,en quantité modérée,,-5%,-6%,-11%,-6%,+12%,+40%,-4%,+19%,+19%,-1,,A,,91.5%,0.0%,3.5%,2.5%,1.7%,0.8%,51,,,1,12 (calibre Gros => 63 à 73 g),"['boîte', 'Carton']","['Loeuf - 2 A Les Hogues', '72650 La Bazoge', 'Sarthe', 'Pays de la Loire', ""Pampr'oeuf Distribution - Les Brélières BP 6"", '79800 Pamproux', 'Deux-Sèvres', 'Poitou-Charentes', 'France']",,['Carrefour Market'],"['FR 72.024.520', 'Bazoge (Sarthe, France)', 'FR 79.201.001', 'Pamproux (Deux-Sèvres, France)']",['France'],http://www.lustucru-selection.fr/produits/oeufs/premieres-fraicheurs.html,
203,"6 œufs Très Gros Coque, Extra-Frais - Lustucru Sélection",3760150471309,['France'],['Œufs de poules élevées en cage'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,?,,?,,?,,?,,,"['Lustucru Sélection', 'Ebro Foods', 'Ovalis']","['Pondu en France', 'Point Vert', 'Eco-Emballages']",B,"Œufs de poules élevées en cage, catégorie A (XL Calibre Très Gros)","[""Produits d'élevages"", 'Œufs', 'Œufs de poules', 'Œufs de poules élevées en cage']",,,,,,,,,,,,,,,,,,,,,,,91.5%,0.0%,3.5%,2.5%,1.7%,0.8%,51,,,1,6,"['Boîte', 'Plastique 6 (PS)', 'Carton']","['Loeuf - 2 A Les Hogues - 72650 La Bazoge', 'Sarthe', 'Pays de la Loire', ""Pampr'oeuf Distribution - Les Brélières - 79800 Pamproux"", 'Deux-Sèvres', 'Poitou-Charentes', 'France']",,['Carrefour market'],"['FR 72.024.520 CE', 'Bazoge (Sarthe, France)', 'FR 79.201.001 CE', 'Pamproux (Deux-Sèvres, France)']",['France'],http://www.lustucru-selection.fr/produits/oeufs/tres-gros-coque.html,
204,Huile Colza,3760150530174,['France'],[],[],?,700,2929 kj(700 kcal),12,8,0,0,0,,,,"['Bio', 'Bio européen', 'FR-BIO-01', 'AB Agriculture Biologique']",C,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', 'Huiles', 'Huiles de colza']",12 g,en quantité modérée,8 g,en quantité élevée,0 g,en faible quantité,,,,-20%,-19%,-88%,+12%,-100%,-100%,-100%,,,,,,,89.1%,2.2%,4.4%,2.1%,2.2%,0.0%,55,,,,,,,,,,,,
205,Huile Vierge Bio,3760150530242,['France'],[],[],?,900,3766 kj(900 kcal),100,3,0,0,0,,,,"['Bio', 'Bio européen', 'FR-BIO-01']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,Huile vierge noisette bio,3760150530273,['France'],[],[],?,900,3766 kj(900 kcal),100,8,0,0,0,,,,"['Bio', 'Bio européen', 'FR-BIO-01']",D,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Fruits à coques et dérivés', 'Matières grasses végétales', 'Huiles', 'Huiles de fruits à coques', 'Huiles de noisette']",100 g,en quantité élevée,8 g,en quantité élevée,0 g,en faible quantité,,,,+3%,+3%,+3%,-7%,-100%,-100%,-100%,,,,,,,92.8%,2.3%,2.5%,1.3%,1.2%,0.0%,36,,,,,,,,,,,,
207,Tortilles - Ferme Bel Air,3760150530563,['France'],"['Farines de lentillons ', '25%', ' petit épeautre * ', '25%', 'grand épeautre non hybridé * ', '50%', ' *Contient du gluten', ' Ce mélange de céréales anciennes et de légumineuse vous assure un aliment équilibré ', 'énergie & protéine', 'avec un faible taux de gluten au profit peu allergène', ' Idéal pour les personnes sensibles et les végétariens']",[],?,340,1423 kj(340 kcal),"2,6",0,65,0,14,0,0,['Ferme Bel Air'],"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Gluten'],,,,,,,,,,
208,Farine de blé bio - Ferme Bel Air,3760150530600,['France'],"['Farine de blé bio Farine bise de type 80 issue des blés meuniers rustiques cultivés en agriculture biologique sur la ferme sans engrais chimiques ni pesticides', ' Les grains passent par un moulin à meule de pierre naturelle ', ' granit ', ' qui toume très ientement', "" Cette méthode artisanale limite l'oxydation et "", ' préserve le germe de blé', ' Cette farine fraiche ', 'date de mouture', ' est très facile à travailler et offre un gluten plus digeste']",[],?,356,1490 kj(356 kcal),"1,8",0,72,0,0,0,0,['Ferme Bel Air'],"['Bio', 'Bio européen', 'FR-BIO-01', 'AB Agriculture Biologique']",B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Farines', 'Farines de céréales', 'Farines de blé']",1.8 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,,+3%,+3%,+34%,-100%,+3%,-100%,-100%,-100%,-100%,-1,,A,,77.8%,3.5%,0.0%,10.3%,8.3%,0.0%,97,,,,,,,,,,,,
209,Sel a la cameline bio,3760150530730,['France'],[],[],?,2,8 kj(2 kcal),0,0,0,0,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,Vin rouge Château du Glana Saint-Julien -  - 750ml,3760150610159,['France'],[],[],339,49,,"2,15",,"4,94",,"1,79",,,,,,Vin rouge,"['Boissons', 'Boissons alcoolisées', 'Vins']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,750 ml,,,,['Carrefour'],,,,
211,Haricots verts extra fins - Vermersh,3760150670023,['France'],"['Haricots verts EXTRA-FINS origine : Hauts-de-France Réchauffer 3 minutes dans un plat au micro-onde ou la casserole', ' Rajouter beurre', 'sel et poivre', ' Froid : Assaisonner en salade']",[],?,33,138 kj(33 kcal),"0,15","0,04","5,08","2,26","1,35","0,14","0,056",['Vermersh'],['Sans additifs'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,Panifiable T55 - Minoterie Planchot - 25kg,376015069014,['France'],"['Farine de blé T55', 'gluten de blé', 'farine de blé malté', 'agent de traitement de la farine : E300', 'enzymes : hemicellulase et amylase']",[],?,?,,?,,?,,?,,,['Minoterie Planchot'],['Produits destinés aux professionnels'],A,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Farines', 'Farines de céréales', 'Farines de blé', 'en:White wheat flours', 'Farines panifiables', 'Préparations de boulangerie']",,,,,,,,,,,,,,,,,,,,,,,77.8%,3.5%,0.0%,10.3%,8.3%,0.0%,97,['E300 - Acide ascorbique'],['Gluten'],4,25 kg,"['Sac', 'Papier']",,,,,,http://www.planchot.com/poulichette/index.php/fr/poulichette-fr/farines-panifiables-fr,
213,SPAETZLE,3760150760014,['France'],[],[],?,367,1536 kj(367 kcal),5,"1,3",64,"2,6",15,"0,12","0,048",,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Spätzle']",5 g,en quantité modérée,1.3 g,en faible quantité,2.6 g,en faible quantité,0.12 g,en faible quantité,,+52%,+54%,+23%,+45%,+62%,+81%,+65%,-83%,-83%,0,-100%,B,-100%,,,,,,,,,,,,,,,,,,,
214,Torsades pates d'Alsace - Kientz,3760150760113,['France'],"['de qualité supérieure', 'œufs frais ', '30%', ' soit 320g par kg de semoule', ' Contient naturellement du gluten']",['Non végétalien'],?,367,1536 kj(367 kcal),5,"1,3",64,"2,6",15,"0,12","0,048",['Kientz'],['Qualité supérieure'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Œufs'],,,,,,,,,,
215,Petits coudes,3760150760151,['France'],[],[],?,367,1536 kj(367 kcal),5,"1,3",64,"2,6",15,"0,12","0,048",,['IGP'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['EMB 67282', 'Marlenheim (Bas-Rhin, France)']",,,
216,Oeuf,3760150760175,['France'],[],[],?,156,653 kj(156 kcal),"11,2","3,3","0,56","0,34","13,1","0,13","0,052",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,Sauce Salade Au Vinaigre Balsamique 500 ML,3760151011122,['France'],[],[],?,130,544 kj(130 kcal),6,1,14,1,"0,8",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500 mL,,,,,,,,
218,Préparation Pour Galette Au Son D'avoine Bio 245 g - Dukan,3760151011924,['France'],[],[],?,346,1448 kj(346 kcal),"8,3","1,8","41,5","3,7","15,7","0,27","0,108",['Dukan'],"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,Crêpes De Loctudy x12,3760151120015,['France'],[],[],?,309,1293 kj(309 kcal),"3,1","1,4",61,31,"7,9","1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,Crêpes de Loctudy - SARL Guyader - 180g,3760151120022,['France'],"['Lait', 'farine de froment', 'sucre', 'œufs', 'beurre', 'sel', 'sucre vanilliné']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,309,1293 kj(309 kcal),"3,1","1,4",61,31,"7,9","1,4","0,56","['SARL Guyader', 'Guyader']","['Sans colorants', 'Sans conservateurs']",B,Crêpes de Loctudy faites main,"['Crêpes et galettes', 'Crêpes', 'Crêpes de froment']",3.1 g,en quantité modérée,1.4 g,en faible quantité,31 g,en quantité élevée,1.4 g,en quantité modérée,,+6%,+6%,-60%,-52%,+30%,+52%,+3%,+78%,+78%,16,+52%,D,+52%,67.6%,15.0%,9.2%,4.1%,4.2%,0.0%,86,,"['Œufs', 'Gluten', 'Lait']",3,180 g,"['Sachet', 'Plastique', 'Frais']",,,,,,,
