,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,brand,labels,eco_score,generic_name,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,additives,allergens,nova_score,quantity,packaging,manufacturing,palm_ingredients,markets,traceability_code,ingredients_origins,link,brand_owner
1045,Bananes enrobées de chocolat cru,3760170552101,['France'],[],[],?,437,1828 kj(437 kcal),"24,5","15,1","48,8","33,8","7,3","0,008","0,003",,"['Bio', 'Sans arômes ajoutés']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1046,Gigmebre confit enrobé de chocolat cru,3760170552156,['France'],[],[],?,474,1983 kj(474 kcal),"25,8","16,2","48,9","42,7","6,8","0,36","0,144",,"['Bio', 'Bio européen', 'Agriculture non UE', 'Sans arômes ajoutés']",,,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées']",25.8 g,en quantité élevée,16.2 g,en quantité élevée,42.7 g,en quantité élevée,0.36 g,en quantité modérée,,-9%,-9%,-15%,-2%,-9%,-9%,+11%,+84%,+84%,25,+3%,E,+3%,,,,,,,,,,,,,,,,,,,
1047,Citrons confits enribés de chocolat cru au gingembre,3760170552354,['France'],[],[],?,454,1900 kj(454 kcal),"23,9","14,9","49,2","14,9","6,3",8,"3,2",,"['Bio', 'Bio européen', 'FR-BIO-01', 'Sans arômes ajoutés']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1048,Pâte à Tartiner à la châtaigne et au chocolat,3760170552606,['France'],[],[],?,271,1134 kj(271 kcal),"9,5","2,8",39,27,"3,5","0,06","0,024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1049,Crème de châtaigne peu sucrée - Sol Alter,3760170552910,['France'],"['Châtaignes des Cévennes*', 'sucre complet de canne*', "" *Ingrédients issus de l'agriculture biologique"", ' Préparée avec 60 g de châtaignes pour 100 g de produit fini', ' Garder au frais après ouverture et servir dans les 5 jours']",[],?,176,736 kj(176 kcal),"0,8","0,15",38,23,"1,6","0,08","0,032",['Sol Alter'],['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1050,Loja - SolAlter - 250g,3760170556208,['France'],[],[],?,?,,?,,?,,?,,,['SolAlter'],"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-01', 'Nature & Progrès']",E,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Cafés', 'Cafés moulus']",,,,,,,,,,,,,,,,,,,,,,,96.9%,0.9%,0.7%,1.3%,0.2%,0.0%,10,,,,250 g,"['Sachet', 'Papier']",,,,,,,
1051,Café Loja - Solalter - 1Kg,3760170556222,['France'],['Café 100% Arabica'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,,?,,?,,?,,,['Solalter'],"['Bio', 'Bio européen', 'Nature & Progrès']",D,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Cafés', 'Grains de café', 'Grains de café torréfiés']",,,,,,,,,,,,,,,,,,,,,,,96.9%,0.9%,0.7%,1.3%,0.2%,0.0%,10,,,1,1 Kg,"['Sachet', 'Papier']",,,,,['Équateur'],,
1052,Café Zaruma - Solalter - 250g,3760170556307,['France'],['Café 100% Arabica'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,,?,,?,,?,,,['Solalter'],['Nature & Progrès'],,,"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Boissons chaudes', 'Cafés', 'Cafés moulus', 'Boissons sans sucre ajouté']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,250 g,"['Sachet', 'Papier']",,,,,['Équateur'],,
1053,Café Palanda - Solalter - 250g,3760170556505,['France'],['Café 100% Arabica'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,,?,,?,,?,,,['Solalter'],"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Nature & Progrès']",D,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Cafés', 'Cafés moulus']",,,,,,,,,,,,,,,,,,,,,,,96.9%,0.9%,0.7%,1.3%,0.2%,0.0%,10,,,1,250 g,"['Sachet', 'Papier']",,,,,['Équateur'],,
1054,Rillettes carpe - Maison Liatout,3760170741437,['France'],[],[],?,225,941 kj(225 kcal),"18,5",11,"0,5","0,1",14,"0,8","0,32",['Maison Liatout'],,D,,"['Produits de la mer', 'Produits à tartiner', 'Poissons', 'Produits à tartiner salés', 'Rillettes', 'Préparations de poisson', 'Rillettes de poissons']",18.5 g,en quantité modérée,11 g,en quantité élevée,0.1 g,en faible quantité,0.8 g,en quantité modérée,,+3%,+2%,+9%,+93%,-78%,-90%,+2%,-27%,-27%,15,+55%,D,+55%,74.4%,12.5%,3.8%,7.2%,1.7%,0.5%,51,,,,,,,,,,,,
