,name,bar_code,eco_score,quantity,packaging,brand,categories,labels,ingredients_origins,manufacturing,markets,sales_countries,ingredients_list,ingredients_analysis,nova_score,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,generic_name,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,additives,palm_ingredients,traceability_code,allergens,producer_info,link,brand_owner
1492,Boudin blanc aux morilles - Bahier,3180054521052,D,,,['Bahier'],"['Viandes', 'Charcuteries', 'Poissons et viandes et oeufs', 'Abats', 'Boudins', 'Produits tripiers', 'Boudins blancs', 'Boudins noirs', 'Boudin noir sauté']",,,,,['France'],[],[],,?,,250,+3%,22,+9%,4,-7%,9,-13%,87.1%,4.2%,2.1%,1.8%,1.0%,3.9%,35,1046 kj(250 kcal),"8,3","1,5","1,5","0,6",,22 g,en quantité élevée,8.3 g,en quantité élevée,1.5 g,en faible quantité,1.5 g,en quantité modérée,+3%,+6%,-24%,+1%,+1%,17,+6%,D,+6%,,,,,,,
1493,Galletas de quinua y cebada,7862107980202,,,,,,,,,,['France'],[],[],,?,,80,,8,,25,,5,,,,,,,,,335 kj(80 kcal),4,11,"0,95","0,38",,,,,,,,,,,,,,,,,,,,,,,,,
1494,Cartier Olives Noires Entières,5412535000113,B,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Pickles', ""Produits de l'olivier"", ""Pickles d'origine végétale"", 'Olives', 'Olives noires', 'Olives entières', 'Olives noires entières']",,,,,['France'],[],[],,?,,170,-40%,16,-43%,"5,3",+29%,"0,8",-50%,33.7%,0.2%,40.3%,17.4%,6.7%,1.8%,95,711 kj(170 kcal),"3,6","0,5","3,2","1,28",,16 g,en quantité modérée,3.6 g,en quantité modérée,0.5 g,en faible quantité,3.2 g,en quantité élevée,-40%,-9%,-15%,-36%,-36%,15,+9%,D,+9%,,,,,,,
1495,Bopw,4030011400021,,,,,,,,,,['France'],[],[],,?,,55,,"2,7",,"5,7",,"1,2",,,,,,,,,230 kj(55 kcal),"0,4","5,1","1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,
1496,Thon blanc au naturel -,3760054388109,E,,,,"['Produits de la mer', 'Poissons', 'Thons', 'Thons blancs', 'Thons au naturel', 'Thons blancs au naturel']",['Bio'],,,,['France'],[],[],,?,,0,-100%,0,-100%,0,-100%,0,-100%,68.8%,7.5%,16.1%,6.6%,0.5%,0.5%,28,0 kj(0 kcal),0,0,0,0,,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,-100%,-100%,-100%,-100%,-100%,0,-100%,B,-100%,,,,,,,
1497,Foie gras de canard entier - Ernest Soulard - 130g,3274760819531,B,130 g,,['Ernest Soulard'],"['Poissons et viandes et oeufs', 'Foies gras', 'Foies gras de canard', 'Foies gras entiers']",,,,,['France'],"['foie gras de canard', 'sel', 'Coteaux du Layon', 'épices', 'sucre', 'antioxydant: ascorbate de sodium', 'conservateur : nitrite de sodium']","['Non végétalien', 'Non végétarien']",3,?,,520,-2%,53,-2%,"1,5",-38%,8,+6%,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,2176 kj(520 kcal),24,"1,2","1,4","0,56",,53 g,en quantité élevée,24 g,en quantité élevée,1.2 g,en faible quantité,1.4 g,en quantité modérée,-2%,+4%,-11%,+17%,+17%,22,+6%,E,+6%,"['E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",,,,,,
1498,La truffe au chocolat,3481290032716,,,,,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Bonbons de chocolat', 'Truffes en chocolat']",,,,,['France'],[],[],,?,,563,-4%,42,-3%,33,-18%,"7,1",+50%,,,,,,,,2356 kj(563 kcal),25,30,"0,02","0,008",,42 g,en quantité élevée,25 g,en quantité élevée,30 g,en quantité élevée,0.02 g,en faible quantité,-3%,-24%,-18%,-85%,-85%,23,-4%,E,-4%,,,,,,,
1499,Bûche glacée façon crème brûlée - Netto,3250391526086,D,,,['Netto'],"['Desserts', 'Surgelés', 'Biscuits et gâteaux', 'Aliments et boissons de Noël', 'Desserts glacés', 'Gâteaux', 'Bûches de Noël', 'Bûches glacées']",,,,['Netto'],['France'],"['eau ', ' crème** fraiche sucre ', ' lactose** et protéines de lait sirop de glucose : lait écrémé condensé sucré ', "" jaune d'oeufs 1,8% beurre de cacao colorants : caramel ordinaire"", 'rocou', 'caroténoides', ' caramel 0,2% ', 'sucre ', 'sirop de glucose-fructose', 'eau', ' stabilisants farine de graines de caroube', 'carraghénanes', 'gomme guar ', "" émulsifiant : mono - et diglycérides d'acides gras "", 'origine végétale', ' ', ' beurre*: lait entier en poudre: gélifiant : pectines', ' arôme naturel ', ' arômes naturels de vanille : sel : gousses de vanille épuisées broyées: acidifiant: acide lactique ', ' cacao maigre en poudre: pâte de cacao', ' Dont lait Traces éventuelles de:fruits à coque', 'soja', 'gluten']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",4,?,,212,+6%,"9,2",+13%,"30,1",+5%,"2,1",-9%,79.8%,13.5%,2.6%,2.8%,1.4%,0.0%,41,887 kj(212 kcal),"5,9","25,7","0,2","0,08",,9.2 g,en quantité modérée,5.9 g,en quantité élevée,25.7 g,en quantité élevée,0.2 g,en faible quantité,+7%,+9%,+4%,+61%,+61%,12,+6%,D,+6%,"['E150a - Caramel E150a', 'E160b - Rocou', 'E160 - Caroténoïdes', 'E410 - Gomme de caroube', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E412 - Gomme de guar', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E440 - Pectines', 'E270 - Acide lactique']",,"['EMB 35360C', 'Vitré (Ille-et-Vilaine, France)']","['Œufs', 'Lait']",,,
1500,Compote de pommes allegée en sucres,5410153895852,,,,,,,,,,['France'],[],[],,?,,67,,"0,4",,15,,"0,3",,,,,,,,,280 kj(67 kcal),"0,2",13,"0,03","0,012",,,,,,,,,,,,,,,,,,,,,,,,,
1501,Huile vierges de sésame,3155700001165,C,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Matières grasses', 'Céréales et dérivés', 'Matières grasses végétales', 'Huiles', 'Huiles de céréales', 'Huiles de sésame']",,,,,['France'],[],[],,?,,?,,?,,?,,?,,89.1%,2.2%,4.4%,2.1%,2.2%,0.0%,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
