,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,packaging,brand,labels,markets,traceability_code,additives,nova_score,ingredients_origins,generic_name,allergens,brand_owner,palm_ingredients,link,manufacturing
1717,Gnocchi alla romana,8059070741261,['France'],[],[],?,119,3,18,"4,5",498 kj(119 kcal),2,3,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1718,Baguette bûcheron,0208912005582,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1719,pain d'epice au miel,2341075001065,['France'],[],[],?,312,"4,6","62,7","4,4",1305 kj(312 kcal),"2,8","35,4","0,5","0,2",B,"['Biscuits et gâteaux', ""Pains d'épices""]",4.6 g,en quantité modérée,2.8 g,en quantité modérée,35.4 g,en quantité élevée,0.5 g,en quantité modérée,,-7%,-8%,+32%,+126%,-11%,-13%,+1%,+15%,+15%,14,-1%,D,-1%,61.5%,18.9%,9.5%,5.0%,5.0%,0.0%,90,,,,,,,,,,,,,,,
1720,Lemon Flavour Seasoning,5285001401451,['France'],[],[],?,22,0,"0,7",0,92 kj(22 kcal),0,"0,7",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1721,Kimchi Noodle Soup 120G (pack of 5),8801043022002,['France'],[],[],?,415,12,69,"7,7",1736 kj(415 kcal),"6,4","3,9","4,7","1,88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1722,Mini copeaux de chocolat - Tresors De Chefs,3663327001739,['France'],[],[],?,519,"30,3","51,9","5,1",2171 kj(519 kcal),"18,2","49,4","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Tresors De Chefs'],,,,,,,,,,,,
1723,Bonbon violette,0377000125829,['France'],[],[],?,391,"0,2","97,4",0,1636 kj(391 kcal),"0,1","76,9","0,004","0,002",E,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']",0.2 g,en faible quantité,0.1 g,en faible quantité,76.9 g,en quantité élevée,0.0039 g,en faible quantité,,+10%,+9%,-89%,-91%,+17%,+33%,-100%,-97%,-97%,14,-3%,D,-3%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,,,,,,,,,,,,,
1724,Pasta di Venezia,8021241006998,['France'],[],[],?,374,"1,5","77,3","11,3",1565 kj(374 kcal),"0,4","3,5","0,033","0,013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1725,Grille aux pommes abricot,0210237036738,['France'],[],[],?,251,"8,9",38,"3,4",1050 kj(251 kcal),"5,6",19,"0,28","0,112",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1726,Protein salted caramel nut - Nature Valley,8410076610669,['France'],[],[],?,500,"30,8","23,5","25,8",2092 kj(500 kcal),"7,7","13,5","1,08","0,432",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Nature Valley'],,,,,,,,,,,,
