,name,bar_code,brand,labels,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,quantity,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,traceability_code,eco_score,categories,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,additives,nova_score,markets,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_nutrition-score-fr_tr,nutriment_nutriscore_tr,packaging,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr_diff,manufacturing,link,ingredients_origins,allergens,generic_name,brand_owner,palm_ingredients
969,Bio Village - 120g,56470711571103,['Bio Village'],"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01']",['France'],[],[],?,?,?,?,?,120 g,,,,,,,,,,,,,,,,,,,,,,,['Leclerc'],,,,,,,,,,,,,,,,,,,,,,,,,
970,Les babas de Stanislas - 290g,3328560013382,,,['France'],[],[],?,198,"1,6",45,1,290 g,828 kj(198 kcal),"1,1",43,"0,11","0,044",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
971,Pizza bio 3 fromages - Franprix - 400g,3263858810918,['Franprix'],"['Bio', 'Bio européen', 'Agriculture UE', 'FR-BIO-01']",['France'],"['farine de blé tendre* 34,9% - fromage* à pâte dure 17% - purée de tomate* 14,8% - eau - semoule de blé dur* - fromage* Montasio* 4,8% - mozzarella* 4,8% ', 'lait de vache pasteurisé* - sel - coagulant microbien - acidifiant: acide citrique', ' - fromage* Gorgonzola* 4,8% - sel - levure', "" Traces d'œuf et soja"", "" *Ingrédients issus de l'agriculture biologique""]",['Non végétalien'],?,287,12,30,14,400 g,1201 kj(287 kcal),"6,4","2,4","2,3","0,92",['IT H8E4K CE'],C,"['Plats préparés', 'Pizzas tartes salées et quiches', 'Pizzas', 'Pizzas au fromage', 'Pizzas aux trois fromages']",,+16%,+26%,+9%,+25%,73.6%,9.9%,3.3%,4.1%,1.9%,7.1%,56,['E330 - Acide citrique'],3,['Franprix'],12 g,en quantité modérée,6.4 g,en quantité élevée,2.4 g,en faible quantité,2.3 g,en quantité élevée,18,D,,+17%,+26%,-4%,+85%,+85%,+75%,+75%,,,,['Lait'],,,
972,Kronenbourg de Noël,3080216054186,['Kronenbourg'],,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
973,Raviolis au bœuf et légumes 4 douzaines,3562420001045,,,['France'],[],[],?,290,"4,26",58,"8,1",,1213 kj(290 kcal),"2,8","6,2","0,8","0,32",,E,"['Plats préparés', 'Produits à la viande', 'Plats à base de pâtes', 'Plats préparés à la viande', 'Pâtes farcies', 'Plats au bœuf', 'Pates farcies à la viande', 'Ravioli', 'Ravioli à la viande', 'Raviolis au bœuf']",,+113%,+23%,+212%,+47%,92.9%,3.7%,1.3%,1.1%,0.6%,0.4%,19,,,,4.26 g,en quantité modérée,2.8 g,en quantité modérée,6.2 g,en quantité modérée,0.8 g,en quantité modérée,4,C,,+115%,+131%,+146%,-10%,-10%,+84%,+84%,,,,,,,
974,Croissants framboise congeles - 900g,99831707,,"['Végétarien', 'Végétalien']",['France'],[],"['Végétalien', 'Végétarien']",?,332,14,45,"5,2",900 g,1389 kj(332 kcal),"7,2",17,"0,46","0,184",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
975,Herbes de provence BIEN VU,3660992009206,['Bien vu'],,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
976,Les Marinés émincés à la mexicaine - Charal - 200g,3181238971311,['Charal'],"['Viande Française', 'Viande-bovine-francaise']",['France'],[],[],?,132,"3,4","4,4",21,200 g,552 kj(132 kcal),"0,9","0,9",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
977,Gerblé biscuit raisins,02305703,['Gerblé'],['en:palm-oil-free'],['France'],[],['Sans huile de palme'],?,437,15,64,"8,3",,1828 kj(437 kcal),"1,3",20,"0,54","0,216",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
978,Escalope de poulet - Le Gaulois,0217650028340,['Le Gaulois'],,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
979,Raffolé gourmet praliné bio,3383670002008,,"['Bio', 'Sans gluten', 'Sans huile de palme']",['France'],[],[],?,335,6,62,"7,8",,1402 kj(335 kcal),2,61,"0,39","0,156",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
980,"Original Muh-muhs Toffee Sauce,140ML",4004363008464,,,['France'],[],[],?,425,"7,7","92,4","3,3",,1778 kj(425 kcal),"4,6","52,6","0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
981,Vin,3660989217812,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
982,Kaffeefilter - 100pcs,4316268204897,,,"['France', 'Allemagne']",[],[],?,?,?,?,?,100pcs,,,,,,['FSC-C095206'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
983,Comté AOP 6 mois d'affinage - 2g,2418564032678,,,['France'],[],[],?,?,?,?,?,2 g,,,,,,,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté']",,,,,,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
984,Mini Pop Kek With Coconut - 18g,8690526076256,,,"['Autriche', 'France']",[],[],?,460,"21,3","61,3",5,18 g,1925 kj(460 kcal),"13,5","35,2","0,36","0,144",,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Stück'],,,,,,,,,,,,,,
985,3474636568963,3474636568963,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
986,Miel trefle - Rucher du Morvan,3560180000650,['Rucher du Morvan'],,['France'],[],[],?,?,?,?,?,,,,,,,,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de trèfle']",,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,
987,COCA CATALANE - Auchan - 250g,2030509002753,['Auchan'],,['France'],[],[],?,?,?,?,?,250 g,,,,,,,,,,,,,,,,,,,,,,,['Auchan'],,,,,,,,,,,,,,,,,,,,,,,,,
988,Marrons surgelés - Lidl,4056489137474,['Lidl'],,['France'],[],[],?,173,"1,4",36,"2,9",,724 kj(173 kcal),"0,2",19,"0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
989,Body Shop Aloe Face Cream,5028197941710,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['pet-tub'],,,,,,,,,,,,,,
990,La Vache qui rit Original,3073781123135,['La vache qui rit'],"['Bio', 'Bio européen', 'DE-ÖKO-001']",['France'],[],[],?,235,"18,5","6,5","10,5",,983 kj(235 kcal),"12,5","6,5","1,6","0,64",['DE NI-10840 EG'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
991,Soummam صومي,6130760005275,['Soummam'],,"['Algérie', 'France']",[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Plastique', 'Papier']",,,,,,,,['Algerie'],,['Algérie'],,,,
992,Tome de savoie igp,2090481024990,,,['France'],[],[],?,?,?,?,?,,,,,,,,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de France', 'Produits de montagne', 'Fromages de montagne', 'Tommes', 'Tomme de Savoie']",,,,,,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,
993,Huile d'olive,3263850722714,,,['France'],[],[],?,828,92,0,0,,3464 kj(828 kcal),14,0,0,0,,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",,-3%,-4%,,,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,92 g,en quantité élevée,14 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,6,C,,-3%,0%,,-100%,-100%,-2%,-2%,,,,,,,
994,Jet Milk Chocolate Box X 50,7702007512007,,,['France'],[],[],?,70,33,58,1,,293 kj(70 kcal),20,48,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
995,President,10027264,['President'],,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
996,Hill Fruit Shorties,5010282011484,,,['France'],[],[],?,464,18,69,"5,7",,1941 kj(464 kcal),"7,7",26,"0,75","0,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
997,6 saicisses de strasbourg - Saint benoit,3261055820105,['Saint benoit'],,['France'],[],[],?,247,22,"0,6","11,6",,1033 kj(247 kcal),"8,8",0,"1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
998,Lechuga batavia verde,8426045000058,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
999,Pomegrenate juice,0853842007276,,,"['France', 'États-Unis']","['100% pomegranate fruit juice ', 'no sugar added', 'pasteurized']",[],?,63,0,"14,9","0,2",,264 kj(63 kcal),0,"12,9","0,02","0,008",,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux']",,+58%,-100%,+78%,-48%,,,,,,,,,,,0 g,en faible quantité,0 g,en faible quantité,12.9 g,en quantité élevée,0.02 g,en faible quantité,18,E,,+57%,-100%,+74%,-18%,-18%,+205%,+205%,,,,,,CHESHNI FOODS,
1000,yaourt entier à la fraise - 1kg,8017596062208,,,['France'],[],[],?,101,"3,4","14,4","3,2",1 kg,423 kj(101 kcal),2,"13,2","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001,Sauce Curry - Domino's Pizza - 30g,,"[""Domino's Pizza"", ""Domino's""]",,['France'],"['Huile de colza', 'eau', 'sirop de glucose', 'curry 5% ', 'curcuma', 'amidon de blé', 'coriandre', 'fenugrec', 'fenouil', 'moutarde', 'oignon', 'sel', 'cardamome', 'gingembre', 'girofle', 'vinaigre', 'sucre', 'sel', ""jaune d'oeuf"", 'amidon modifié', 'protéines de lait', 'arôme naturel', 'épaississants : E415 - E412', 'acidifiant : E334', 'conservateur : E202']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",2008,?,46,17,1,30 g,2008 kj(480 kcal),"3,3","4,8","1,9","0,76",,B,"['Epicerie', 'Sauces', 'Sauces au curry']",+162%,,+151%,+62%,-38%,21.5%,33.8%,17.7%,14.0%,7.6%,5.3%,96,"['E14XX - Amidons modifiés', 'E415 - Gomme xanthane', 'E412 - Gomme de guar', 'E334 - Acide L-tartrique', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",4,"[""Domino's Pizza""]",46 g,en quantité élevée,3.3 g,en quantité modérée,4.8 g,en faible quantité,1.9 g,en quantité élevée,17,D,['Plastique'],+118%,-2%,-20%,+13%,+13%,+45%,+45%,,https://www.dominos.fr/la-carte-side/sauce-curry-EACUR,,"['Œufs', 'Gluten', 'Lait', 'Moutarde']",,,
1002,Couronne pain Auchan,2030500468077,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003,Parmigiano Reggiano - Auricchio - 80g,8004603103603,['Auricchio'],,['France'],[],[],?,402,30,0,32,80 g,1682 kj(402 kcal),20,0,"1,6","0,64",,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages italiens', 'Parmigiano Reggiano']",,+0%,+1%,-100%,-1%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,30 g,en quantité élevée,20 g,en quantité élevée,0 g,en faible quantité,1.6 g,en quantité élevée,17,D,,+1%,+1%,,0%,0%,+2%,+2%,,,,,,,
1004,Serum royal,3700221317884,,"['en:gluten-free', 'Sans colorants', 'Sans conservateurs']",['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005,Fortnite DarkFire,5051889661443,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1006,Shamallow,5400265016238,,,['France'],[],[],?,339,"0,5",79,"3,1",,1418 kj(339 kcal),"0,1",69,"0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007,Gourmet Mix Fondue & Raclette,7617014134381,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008,Sauce Tomate Basilic - Primeal,3380380090011,['Primeal'],['Sans sucre ajouté'],['France'],[],[],?,52,"1,7","6,2","1,6",,218 kj(52 kcal),"0,4","5,6","1,17","0,468",,B,"['Epicerie', 'Sauces', 'Sauces tomate', 'Sauces tomates au basilic']",,-20%,-43%,+1%,+1%,48.3%,19.8%,11.8%,11.5%,5.0%,3.5%,91,,,,1.7 g,en faible quantité,0.4 g,en faible quantité,5.6 g,en quantité modérée,1.17 g,en quantité modérée,6,C,,-18%,-8%,+13%,+37%,+37%,+2497%,+2497%,,,,,,,
1009,Thé pour les bronches et la toux - Bad Heilbrunner,4008137009008,['Bad Heilbrunner'],,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010,Judía Bobby - 250g,24098663,,,['France'],[],[],?,?,?,?,?,250 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011,Frutas variadas almíbar ligero - 3x 212ml,3560071080587,,,['France'],[],[],?,68,0,16,0,3 x 212 ml,285 kj(68 kcal),0,14,"0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012,Lipton Green Tea Lemon,6281006709829,['Lipton'],,['France'],[],[],?,1,0,"0,5","0,5",,4 kj(1 kcal),0,"0,5",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013,Tonic Pamplemousse,3439495405958,,,['France'],[],[],?,29,0,"7,3",0,,121 kj(29 kcal),0,"7,3",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1014,Knorr bouillon à l'huile d'olive extra vierge,8722700160786,['Knorr'],,['France'],[],[],?,270,21,11,"9,3",,1130 kj(270 kcal),13,"4,3","49,4","19,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015,3380810068719,3380810068719,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1016,Escalope de foie gras de canard du perigord,4056489040712,,,['France'],[],[],?,575,60,"2,8","5,7",,2406 kj(575 kcal),26,"1,7","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bloc'],,,,,,,,,,,,,,
1017,Mentos now mints,80855538,['Mentos'],,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1018,Cap green,3701136400258,,"['Végétarien', 'Végétalien']",['France'],[],"['Végétalien', 'Végétarien']",?,0,0,0,0,,0 kj(0 kcal),0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1019,Acuka pâte d'épices - Suntat,8690804407734,['Suntat'],,['France'],[],[],?,136,"8,2","9,2","4,1",,569 kj(136 kcal),"1,3","9,2","3,7","1,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1020,0297236006436,0297236006436,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1021,Algo Dièt,3401548184189,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1022,Natural mojo,4029679671706,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1023,Arrangé fèves de cacao,3255610045065,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1024,Crownfield nutty pillows -,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cœur fondant goût chocolat & noisette,,
1025,Calendrier de l'avent - 65g,8714786291164,,,['France'],[],[],?,517,26,63,"6,5",65 g,2163 kj(517 kcal),16,61,"0,15","0,06",,,"['Aliments et boissons de Noël', ""Calendriers de l'avent""]",,+2%,-11%,+12%,+9%,,,,,,,,,,,26 g,en quantité élevée,16 g,en quantité élevée,61 g,en quantité élevée,0.15 g,en faible quantité,26,E,,+1%,-9%,+18%,-22%,-22%,+4%,+4%,,,,,,,
1026,Poivrons grillés,3760019713083,,,['France'],[],[],?,110,"7,2",11,"0,8",,460 kj(110 kcal),"0,8","9,8","2,5",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1027,Bar sauvage à la marinière,3770000648195,,,['France'],[],[],?,754,14,"1,9",12,,3155 kj(754 kcal),"8,3","0,4","1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1028,Poudre de cacao cru bio - Zembrador - 250g,7640158610213,['Zembrador'],"['Bio', 'Végétarien', 'Végétalien', 'Sans additifs']","['France', 'Suisse']","[""100% poudre de cacao de l'agriculture biologique""]","['Végétalien', 'Végétarien']",?,487,"15,36","45,3","26,95",250 g,2038 kj(487 kcal),"9,29","0,7","0,01","0,004",,,,,,,,,,,,,,,,,,['Magasin bio'],,,,,,,,,,,['Sachet refermable'],,,,,,,,,,,,,,
1029,Nouilles chinoises,6944910334500,,,['France'],[],[],?,355,"1,4",73,11,,1485 kj(355 kcal),0,0,"1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1030,Chocolat Noir Fèves de Cacao - Auchan - 200g,3245678046777,['Auchan'],"['Agriculture durable', 'Nutriscore', 'Nutriscore D', 'en:UTZ Certified']",['France'],[],[],?,570,42,34,8,200 g,2385 kj(570 kcal),26,27,"0,02","0,008",,E,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs', 'Chocolats noirs aux fèves de cacao']",,+1%,+1%,-1%,-2%,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,,,['Auchan'],42 g,en quantité élevée,26 g,en quantité élevée,27 g,en quantité élevée,0.02 g,en faible quantité,17,D,,+1%,+4%,-2%,-37%,-37%,-17%,-17%,,,,,,,
1031,confiture oranges amères - Domaine Lessatini - 110,3760216244106,['Domaine Lessatini'],,['France'],['oranges améressucreeau'],[],?,232,"0,09","60,6","0,3",110,971 kj(232 kcal),"0,04","57,7",,,['OA903059'],C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', ""Confitures d'agrumes"", ""Confitures d'oranges amères""]",,0%,-60%,+9%,-31%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,0.09 g,en faible quantité,0.04 g,en faible quantité,57.7 g,en quantité élevée,,,,,['pot verre'],+0%,+17%,+8%,,,,,['la Trinité'],http://www.domaine-lessatini.com,['Propriété familiale'],,,,
1032,Espresso San Marco - 10capsules,10002094,['San Marco'],"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Agriculture UE/Non UE', 'IT-BIO-004', 'FSC Misto']",['France'],['café bio torréfié et moulu en capsules'],[],?,?,?,?,?,10 capsules,,,,,,,,['Capsules de café bio compatible machines Nespresso'],,,,,,,,,,,,,,,['Franprix'],,,,,,,,,,,['Étui carton'],,,,,,,,['Italie'],,,,,,
1033,Couscous poulet merguez - 800g,3770012119010,,,['France'],[],[],?,?,?,?,?,800 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1034,Décaféiné dosettes - Cafés Dagobert - 36,3760265231027,['Cafés Dagobert'],"['Bio', 'Commerce équitable', 'Commerce équitable Bio', 'Fairtrade International', 'Max Havelaar']",['France'],['100% Arabica 100% Naturel 100% Pure café Garantie sans OGM'],[],?,?,?,?,?,36,,,,,,,,"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Boissons chaudes', 'Cafés', 'Dosettes', 'Cafés en dosettes']",,,,,,,,,,,,,,,"['Biocoop', 'Satoriz']",,,,,,,,,,,['36'],,,,,,,,['France'],http://www.cafesdagobert.com,['Pérou'],,,,
1035,3433651110007,3433651110007,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1036,Boulettes soja tomate basilic - Le Gaulois,3266980160593,['Le Gaulois'],,['France'],[],[],?,176,"9,1","5,1",16,,736 kj(176 kcal),"0,8","3,2",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1037,Star Granragu'carne GR. 100X3,8000050506103,,,['France'],[],[],?,113,7,"5,6","6,5",,473 kj(113 kcal),"2,2","2,5","1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1038,Lait Ribot,3760152330024,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1039,Sucre Buchettes 4 gr - Saint Louis,3220033916193,['Saint Louis'],,['France'],[],[],?,400,0,100,0,,1674 kj(400 kcal),0,100,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1040,Birra Antoniana - Marechiaro Bionda Premium - Birrificio Antoniano - 33cl,8057094280544,['Birrificio Antoniano'],,['France'],"['eau', ""Malte d'orge"", ""flocons d'avoine"", 'houblon', 'levure']",[],?,?,?,?,?,33 cl,,,,,,,C,"['Boissons', 'Boissons alcoolisées', 'Bières']",,,,,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,,,,,,,,,,,,,,['Bouteille'],,,,,,,,,,,,,,
1041,Choue de Noël,3760046090058,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1042,Fromages Sainte Maure de Touraine AOP,3770000827002,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1043,Fromage frais de chevre aul et finrs herbes,3760225394977,,,['France'],[],[],?,?,?,?,?,,,,,,,"['FR 06.061.566 CE', 'Ferres (Alpes-Maritimes, France)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1044,Pâte à tartiner au cacao maigre,26042077,,"['Agriculture durable', 'en:UTZ Certified']",['France'],[],[],?,538,38,39,"6,8",,2251 kj(538 kcal),"8,6",36,"0,03","0,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1045,"Roederer Champagner Brut ´´premier´´,0,375L",3114080016060,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1046,Côtes de porc échine 1kg,20296933,,"['Viande Française', 'Viande Porcine Française']",['France'],[],[],?,211,15,"0,5",19,,883 kj(211 kcal),7,"0,5","0,12","0,048",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1047,Guatemala moulu,3281740001251,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1048,Minis Donuts,8681270476164,,,['France'],[],[],?,482,26,52,9,,2017 kj(482 kcal),11,27,"0,4","0,16",,B,"['Biscuits et gâteaux', 'Gâteaux', 'Donuts']",,+18%,+14%,+16%,+52%,65.3%,17.3%,8.4%,4.6%,4.4%,0.0%,87,,,,26 g,en quantité élevée,11 g,en quantité élevée,27 g,en quantité élevée,0.4 g,en quantité modérée,22,E,,+18%,+4%,+61%,-58%,-58%,+13%,+13%,,,,,,,
1049,White chocolate peanut -,0040000534273,,"['Arômes naturels', 'Pur beurre de cacao']","['France', 'Allemagne', 'États-Unis']","['White chocolate ', 'sugar', 'cocoa butter', 'skim milk', 'milkfat', 'soy lecithin', 'tocopherols to maintain freshness', 'natural flavor', 'peanuts', 'sugar', 'cornstarch', 'less than 1', '5% - palm oil', 'corn syrup', 'dextrin', 'coloring ', 'includes blue 1 lake', 'yellow 6', 'red 40', 'yellow 5', 'blue 1', 'carnauba wax', 'gum acacia']","['Huile de palme', 'Non végétalien']",?,536,"28,57","57,14","10,71",,2243 kj(536 kcal),"10,71",50,"0,135","0,054",,,"['Snacks', 'Snacks sucrés', 'Confiseries']",,+28%,+94%,-14%,+154%,,,,,,,,"['E322i - Lécithine', 'E1400 - Dextrines', 'E133 - Bleu brillant FCF', '', 'Risque modéré de sur-exposition', 'E110 - Jaune orangé S', 'E129 - Rouge allura AC', 'E102 - Tartrazine', 'E903 - Cire de carnauba', ""E414 - Gomme d'acacia""]",4,,28.6 g,en quantité élevée,10.7 g,en quantité élevée,50 g,en quantité élevée,0.135 g,en faible quantité,23,E,['stück'],+27%,+66%,+1%,-8%,-8%,+26%,+26%,,,,"['Arachides', 'Soja']",,Mars Chocolate North America LLC,
1050,Sazonador para ensalada con lavanda - Carmencita,8413700482281,['Carmencita'],,['France'],[],[],?,217,"5,4","25,1","9,6",,908 kj(217 kcal),"0,8","3,7",3,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
