,name,bar_code,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,brand,markets,additives,allergens,nova_score,labels,traceability_code,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,palm_ingredients,packaging,generic_name,ingredients_origins,manufacturing,link
578,Mango,20431358,,['France'],[],[],,,,,,,,,?,,1,,4 kj(1 kcal),,"0,1",,0,,"0,1",,"0,1",,"0,01",,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,
579,assortiment de bonbons au chocolat -  - 230g,20431617,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']",['France'],[],[],36 g,en quantité élevée,16 g,en quantité élevée,48 g,en quantité élevée,0.07 g,en faible quantité,2316,+49%,?,,2316 kj(554 kcal),+54%,36,+1835%,16,+1409%,49,-41%,48,-17%,"6,8",+221%,"0,07",-42%,"0,028",-42%,22,+53%,E,+53%,,,,,,,,E,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,230 g,,,bonbons,,,
580,Batonnets de surimi -,20431839,"['Produits de la mer', 'Poissons', 'Plats préparés', 'Préparations de poisson', 'Plats préparés au poisson', 'Surimi', 'en:preparations-made-from-fish-meat']",['France'],[],[],4.8 g,en quantité modérée,0.4 g,en faible quantité,4 g,en faible quantité,1.8 g,en quantité élevée,?,,121,+2%,506 kj(121 kcal),+2%,"4,8",+2%,"0,4",-38%,12,+5%,4,+40%,"7,5",+0%,"1,8",+5%,"0,72",+5%,4,-9%,C,-9%,,,,,,"['Sans conservateurs', 'Pêche durable', 'Pêche durable MSC']",,B,52.0%,22.5%,10.3%,8.6%,5.2%,1.4%,92,,,,,,,
581,Deluxe Steinpilzrahmsuppe,20432010,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
582,Noix de Cajou Hâchées - Belbake - 75g,20435455,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Noix de cajou']",['France'],['Noix de Cajou'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",44 g,en quantité élevée,8.5 g,en quantité élevée,8.2 g,en quantité modérée,0 g,en faible quantité,?,,578,-4%,2418 kj(578 kcal),-3%,44,-5%,"8,5",0%,22,-14%,"8,2",+26%,23,+23%,0,-100%,0,-100%,6,-21%,C,-21%,['Belbake'],['Lidl'],,['Fruits à coque'],1,,,E,85.9%,1.5%,2.7%,6.9%,1.9%,1.2%,21,75 g,,"['Sachet', 'Plastique']",Cashews,,['Allemagne'],
583,Walnüsse Gechakt - Belbake,20435462,,['France'],"['Noix hâchées', ' Ingrédient: noix ', 'origine: Moldavie', ""Traces éventuelles d'arachides et d*autres fruits à coque"", ' Cet afticle est un produit d*origine']",[],,,,,,,,,?,,691,,2891 kj(691 kcal),,66,,"5,5",,"4,3",,"3,6",,17,,0,,0,,,,,,['Belbake'],['Lidl'],,['Arachides'],,,,,,,,,,,,,,,,,,
584,Tortilla chips - El Tequito - 150.0g,20436155,"['Snacks', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Chips de maïs']","['France', 'Espagne']","['71% maïs', ' graisse de palme', 'préparation aromatisante saveur citron vert_poivre ', 'farine de blé', 'dextrose de maïs', 'sucre', 'sel', ""correcteur d'acidité : acide citrique"", 'epaississant : gomme arabique ', ' maltodextrine de pomme de terre', 'colorants', ' curcumine']",['Huile de palme'],27.1 g,en quantité élevée,10.4 g,en quantité élevée,1.9 g,en faible quantité,0.6 g,en quantité modérée,?,,513,+6%,2146 kj(513 kcal),+6%,"27,1",+19%,"10,4",+255%,"59,8",-1%,"1,9",+1%,"5,5",-14%,"0,6",-49%,"0,24",-49%,18,+86%,D,+86%,['El Tequito'],,"['E330 - Acide citrique', ""E414 - Gomme d'acacia"", 'E100 - Curcumine']",['Gluten'],4,,,C,62.4%,19.7%,7.4%,7.2%,3.4%,0.0%,78,150.0 g,['Huile de palme'],['bolsa de plástico'],,,,
585,Croque-Monsieur Jambon & Chèvre - Crusti Frais - 200g,20437428,"['Sandwichs', 'Croque-monsieur']",['France'],"['50% pain de mie ', 'farine de blé', 'eau', 'sel', 'dextrose', 'levure', 'huile de colza', 'conservateur : propionate de calcium ', ' gluten de blé', 'agent de traitement de la farine : acide ascorbique', '26% spécialité fromagère fondue à base de fromage de chèvre ', '50% fromage de chèvre ', 'lait', 'fromages ', 'contient lait et oeufs', 'beurre ', 'lait', 'eau', 'protéines de lait', 'amidons modifiés de maïs et de pomme de terre', 'sels émulsifiants : citrates de sodium ', ' lait écrémé en poudre', 'gélifiants : carraghénanes', 'alginate de sodium ', ' sel', 'arôme', 'bouillon de porc ', 'eau', 'os et viande de porc', 'sirop de glucose', 'protéines de sang', 'stabilisants : chlorure de potassium', 'diphosphate ', ' gélifiant : carraghénanes ', ' antioxydant : ascorbate de sodium ', ' conservateur : nitrite de sodium', '8% margarine végétale ', 'huile de colza', 'matière grasse de palme', 'eau', ""émulsifiant : mono- et diglycérides d'acides gras "", ' acidifiant : acide lactique ', ' conservateur : sorbate de potassium ', ' antioxydant : alpha-tocophérol ', ' colorant : caroténoïdes']","['Huile de palme', 'Non végétalien', 'Non végétarien']",14 g,en quantité modérée,6.5 g,en quantité élevée,2.4 g,en faible quantité,1.91 g,en quantité élevée,1146,+7%,?,,1146 kj(274 kcal),+13%,14,+33%,"6,5",+24%,26,+4%,"2,4",-22%,11,+1%,"1,91",+29%,"0,764",+29%,17,+36%,D,+36%,['Crusti Frais'],['Lidl'],"['E282 - Propionate de calcium', 'E300 - Acide ascorbique', 'E14XX - Amidons modifiés', 'E331 - Citrates de sodium', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E401 - Alginate de sodium', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E270 - Acide lactique', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E307 - Alphatocophérol', 'E160 - Caroténoïdes']","['Œufs', 'Gluten', 'Lait']",4,,"['FR 49.204.001 CE', 'Mesnil-en-Vallée (Maine-et-Loire, France)']",D,75.7%,13.8%,5.3%,3.1%,1.7%,0.5%,51,200 g,['Huile de palme'],"['Barquette', 'Plastique']",Croque-monsieur à la spécialité fromagère fondue à base de fromage de chèvre et de jambon de porc cuit choix.,,,
586,Sunflower seeds coated in dark chocolate - Eridanous,20437633,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Bonbons de chocolat', 'Fruits à coques enrobés de chocolat']","['France', 'Espagne']",[],[],39.4 g,en quantité élevée,15 g,en quantité élevée,35.4 g,en quantité élevée,0.05 g,en faible quantité,?,,574,+9%,2402 kj(574 kcal),+9%,"39,4",+33%,15,+20%,"41,2",-21%,"35,4",-25%,"9,9",+5%,"0,05",-61%,"0,02",-61%,24,-2%,E,-2%,['Eridanous'],,,,,"['Agriculture durable', 'en:UTZ Certified']",,D,84.5%,11.4%,1.3%,2.4%,0.4%,0.0%,26,,,,,,,
587,Le petit Doucrémeux (30% MG) - Chêne d'Argent - 3 * 50g (150g),20439378,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages pasteurisés']",['France'],"['Lait pasteurisé', 'crème ', 'lait', ""ferments lactiques et d'affinage"", 'sel', 'coagulant']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",30 g,en quantité élevée,20 g,en quantité élevée,,,1.5 g,en quantité modérée,1385,+7%,?,,1385 kj(331 kcal),+6%,30,+15%,20,+12%,"1,2",+9%,,,15,-19%,"1,5",+4%,"0,6",+4%,,,,,"[""Chêne d'Argent""]",['LIDL'],,['Lait'],3,,"['FR 42.168.001 CE', 'Pélussin (Loire, France)']",C,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,3 * 50 g (150 g),,['Carton'],Fromage à pâte molle au lait de vache pasteurisé,,"['Pelussin', 'Loire', 'Rhône-Alpes', 'France']",
588,2 verrines glacees facon fraise melba - Deluxe,20440671,,['France'],"[""Dessert gacé composé de glace à la vanille avec inclusions d'amandes caramélisées"", 'préparation à la fraise et amandes etNées', ' Surgelé', ' Ingédients : glace à la vanille ', '83,63%', ' : eau', 'sucre', 'huile de coprah', 'lait en poudre écrémé', 'sirop de glucose déshydraté', 'lactose', 'protéines de lait', 'émulsifiant : mono - et diglycérides d I acides gras ', ' gélifiants : farine de graines de caroube', 'gomme guai ', ' arô:ne naturel de vanille', 'colorant : caroténoïdes ', ' gousse de vanille épuisée en poudre', ' Préparation à la fraise ', '13,26%', ' : 3,9% fraise semi-confite ', '1,9% fraise', 'sirop de glucose-fructose', 'sucre', 'eau', 'affermissant : chlorure de calcium ', "" correcteur d'acidité : acide citrique"", '1,9% fraise', 'eau', 'sucre', 'sirop de glucose-fructose', 'gélifiant : pectines ', ' correcteur d acidité :']",['Non végétalien'],,,,,,,,,?,,230,,962 kj(230 kcal),,12,,"9,3",,27,,22,,"3,4",,"0,14",,"0,056",,,,,,['Deluxe'],['Lidl'],"['E410 - Gomme de caroube', 'E160 - Caroténoïdes', 'E509 - Chlorure de calcium', '', 'Risque modéré de sur-exposition', 'E330 - Acide citrique', 'E440 - Pectines']",['Lait'],4,,,,,,,,,,,,,,,,,
589,Knodel - Deluxe - 500g,20440954,,"['France', 'Allemagne']",[],[],,,,,,,,,?,,126,,527 kj(126 kcal),,"0,7",,"0,1",,"27,7",,"0,3",,"1,4",,"1,78",,"0,712",,,,,,['Deluxe'],,,,,,,,,,,,,,,500 g,,,,,,
590,Carpaccio de Saumon Mariné - Deluxe - 123g,20440978,"['Produits de la mer', 'Poissons', 'Saumons', ""Saumons d'élevage"", 'Carpaccio de saumon']",['France'],"['81 % saumon ', '77,8 % saumon ', 'poissons', '2,4 % sel de cuisine', 'sucre', '11 % vinaigrette ', ""huile d'olive vierge"", ""vinaigre d'alcool"", 'poivre noir', 'oignon', 'sucre', 'sel de cuisine', 'arôme naturel', 'acidifiant : acide citrique', '8 % Parmigiano Reggiano AOP ', 'lait', 'sel', 'présure']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",18.4 g,en quantité modérée,3.5 g,en quantité modérée,0.9 g,en faible quantité,2.78 g,en quantité élevée,?,,246,+3%,1029 kj(246 kcal),+7%,"18,4",+8%,"3,5",+37%,1,+26%,"0,9",+99%,"18,8",-4%,"2,78",+87%,"1,112",+87%,16,+115%,D,+115%,['Deluxe'],['Lidl'],['E330 - Acide citrique'],"['Poisson', 'Lait']",4,,,D,96.4%,0.0%,1.4%,1.4%,0.7%,0.2%,24,123 g,,"['Frais', 'Carton', 'Plastique']",Salmon Carpaccio,['Norvège'],,
591,Emmental français râpé,20441999,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de vache', 'Emmentals', 'Fromages de France', 'Emmentals français', 'Fromages râpés', 'Emmentals râpés']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,D,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,
592,Halloween Marshmallows - Lidl - 225g e,20442286,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons', ""Aliments et boissons d'Halloween"", 'Guimauves']",['France'],"['Matière grasse colore en proportions variables [palme', 'palmiste', 'karité]', 'lactosérum doux en poudre ', 'lait', 'lait écrémé en poudre', 'colorant: rouge de betterave', ' émulsifiant: lécithines', ' arôme', 'humectant: sorbitols', "" blanc d'œuf déshydraté* "", 'myrtilles en poudre', 'colorant: rouge de betterave', ' arômes', 'sel de cuisine', ' *Issu de poules élevées au sol']","['Huile de palme', 'Non végétalien']",11.2 g,en quantité modérée,9.8 g,en quantité élevée,52.3 g,en quantité élevée,0.12 g,en faible quantité,?,,389,-3%,1628 kj(389 kcal),-3%,"11,2",+15%,"9,8",+101%,"69,4",-4%,"52,3",-5%,"2,4",-36%,"0,12",-50%,"0,048",-50%,23,+31%,E,+31%,['Lidl'],['Lidl'],"['E162 - Rouge de betterave', 'E322 - Lécithines', 'E420 - Sorbitol']","['Œufs', 'Lait']",4,,,B,60.5%,21.9%,10.2%,5.2%,2.3%,0.0%,89,225 g e,['Huile de palme'],"['Carton', 'boîte', 'Plastique']",Schaumküsse,,['Allemagne'],
593,Petite Fondue - Chene d’argent,20442330,,['France'],"['46% fromages ', '36% Emmental', '7% Tomme', '3% Comté', ' ', 'contient lait', 'eau', 'vin blanc', 'crème ', 'contient lait', 'amidon modifié de maïs', 'sel', ""correcteur d'acidité : phosphates de sodium "", ' ail', 'boisson spiritueuse au Kirsch', 'colorant : rocou', "" Contient de l'alcool - ne convient pas aux enfants ni aux femmes enceintes"", ' Non ouvert', 'à conserver entre +40C et +7 oc et']",['Non végétalien'],,,,,,,,,?,,237,,992 kj(237 kcal),,18,,13,,"2,5",,1,,14,,"1,3",,"0,52",,,,,,['Chene d’argent'],['Lidl'],"['E14XX - Amidons modifiés', 'E339 - Phosphates de sodium', '', 'Risque élevé de sur-exposition', 'E160b - Rocou']",['Lait'],4,,,,,,,,,,,,,,,,,
594,Pepparkakor,20445416,,['France'],[],[],,,,,,,,,?,,432,,1807 kj(432 kcal),,"17,9",,"11,4",,"62,5",,34,,"5,2",,"0,38",,"0,152",,,,,,,,,,,,,,,,,,,,,,,,,,,
595,Yellow split peas,20446987,,['France'],[],[],,,,,,,,,?,,90,,377 kj(90 kcal),,"0,4",,"0,1",,"10,4",,"2,4",,"7,4",,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,
596,roasted garlic & herb mayonnaise - Deluxe,20447021,"['Epicerie', 'Sauces', 'Mayonnaises']",['France'],[],[],77.6 g,en quantité élevée,5.4 g,en quantité élevée,2.7 g,en faible quantité,1.08 g,en quantité modérée,?,,717,+17%,3000 kj(717 kcal),+17%,"77,6",+17%,"5,4",-13%,"3,5",+30%,"2,7",+85%,"0,9",-27%,"1,08",-19%,"0,432",-19%,17,-5%,D,-5%,['Deluxe'],,,,,,,D,80.2%,9.6%,5.0%,3.2%,1.6%,0.4%,49,,,,,,,
597,Colis de gournet - Delicieux,20448097,,['France'],"['rotéinesdeso a réhydratées', ""carottes ll%'maïs"", '1% poivrohsverts', ""7%poivrons 13%rizblanc,panure blanc d'œuf*"", 'sel', 'maltodenne', 'arômes ', 'blé', 'l fari!i de blé épices', 'fibres de blé', 'lait de coco', 'sucre', 'sirop de sucre inverti', 'oignon en poudre', 'protéines de maïs hydrolysées', 'protéines de soja', 'amidon modifié ', 'pomme de terre', 'mélasse', 'affait de levure', 'lactose ', 'lait', ""extait d'épices"", 'calcium', 'ail en poudre', 'épaississant gomme guar', 'tomate en poudre', 'amidc de maïs', 'paprika en poudre', 'plantes aromatiques', 'carotte en poudre', 'caséinate de sodium ', 'lait', 'fèves de soja', 'vinaigre', 'vitamine C', 'fer', 'blé', 'acidifiant acide ciüique', ' vitamine B6', 'vitamine B12', 'thiamine ', 'vitamine BI', ' *isu de poules élevées en plein air', ' Peut contemr des taces de lupin', ' Conditionné sous atmosphère protectrice', ' Non ouvert', 'à conserverau réfrigérateurà +70C max', ' et à consommer de préférence avant le:voirdessus', ' Après ouverture', 'à conserver au réfrigérateur à +70C max', ' età consommersous2jours', ' Netto gewicht:/Poids net: 92518 o e', ' < 2044 8097 PAP']",['Non végétalien'],,,,,,,,,?,,202,,845 kj(202 kcal),,"6,3",,"0,8",,18,,"3,3",,14,,2,,"0,8",,,,,,['Delicieux'],,"['E14XX - Amidons modifiés', 'E412 - Gomme de guar']","['Gluten', 'Lait']",4,,,,,,,,,,,,,,,,,
598,Dessert au chocolat - Deluxe - 95g,20448660,"['Produits laitiers', 'Desserts', 'Desserts lactés', 'Desserts au chocolat', 'Desserts lactés au chocolat']",['France'],"['lait écrémé réhydraté', 'sirop de glucose', 'huile de coco', '6', '5% crème', 'sucre', '4', '0% coulis de chocolat ', 'eau', 'sucre', '14', '0% chocolat noir ', 'pâte de cacao', 'sucre', 'cacao maigre', 'sirop de glucose', 'cacao', 'épaississant: agar agar', ""correcteur d'acidité: acide tartrique"", 'stabilisant: sorbitols', ' 3', '0% copeaux de chocolat noir ', 'sucre', 'pâte de cacao', 'beurre de cacao', 'émulsifiant : lécithines ', 'soja', '2', '5% chocolat ', 'cacao', 'cacao maigre', 'pâte de cacao', 'sucre', 'beurre', 'cacao maigre', '1,1% alcool', ""blanc d'oeuf* en poudre"", 'gélatine ', 'bovine', 'inuline', ""émulsifiants: mono - et diglycérides d'acides gras"", ""esters lactiques des mono - et diglycérides d'acides gras"", ' épaississants: farine de graines de caroube', 'gomme guar', 'carraghénanes', ' arômes naturels', '\r*Oeufs de poules élevées au sol']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",18 g,en quantité modérée,15 g,en quantité élevée,28.2 g,en quantité élevée,0.1 g,en faible quantité,1316,+102%,?,,1316 kj(315 kcal),+105%,18,+184%,15,+275%,"32,9",+75%,"28,2",+70%,"4,2",+10%,"0,1",-35%,"0,04",-35%,19,+181%,E,+181%,['Deluxe'],['Lidl'],"['E406 - Agar-agar', 'E334 - Acide L-tartrique', 'E420 - Sorbitol', 'E322 - Lécithines', 'E428 - Gélatine', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", ""E472b - Ester diacétyl-lactique de mono- et diglycérides d'acides gras"", 'E410 - Gomme de caroube', 'E412 - Gomme de guar', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition']","['Œufs', 'Lait', 'Soja']",4,,,,,,,,,,,95 g,,"['Verre', 'Carton', 'Plastique']",,,,
599,Broccoli Zuchini Cremesuppe - Combino,20450243,,['France'],"['0 Broccoli-courgette-soep met een vleugje knoflookt t:edénten•', ' water', '10% 4% room ', 'melk 50dificeerd zetmeel ', 'waxyemaïs', 'uien', '1% knoflook', 'kippenvet Œaadolie', 'zout', ""bouillôn' "", 'gehydrolyseerd plantaardig eiwit €:dzaad', 'maïs', 'zonnebloemoliQ', 'verdikkingsmiddelem vptmeel', 'xanthaangom', ' Eüingswijze: verwarm de inhoud vâûhet blik in een pan opeen mdelhoogvuur', 'roer af en toe door', 'ni*oken', ' gekoeld bewaren bij in een niet-metalen en binnen 1 dag consumereff70ngeopend', 'ten minste zie deksel of bodem', "" Opotage brocoli-courgette avec un&ointe d'ail"", ' È?edients: eau', '10% brocoli', '7 % courgg', '4% crème ', 'lait', 'amidon ', 'mais cireux', 'oignons', '1% ail', 'aisse de poulet', 'huile de bouillon ', 'protéine végétale h ròlysée ', 'colza', 'maïs', 'huile épaississants: gomme xanthane', ' épjce5 atlon: réchauffer le contenu de lauoîte dans une casserole a en remuant de temps en temps et sans faire bouilliL rde préférence avant le: voir couvercle ou fond,']",['Non végétalien'],,,,,,,,,?,,43,,180 kj(43 kcal),,"2,6",,"0,9",,"3,8",,"0,8",,"0,09",,"0,99",,"0,396",,,,,,['Combino'],['Lidl'],['E415 - Gomme xanthane'],['Lait'],4,,,,,,,,,,,,,,,,,
600,Spécialité de Franche-Comté,20452674,,['France'],[],[],,,,,,,,,?,,220,,920 kj(220 kcal),,"34,6",,"22,5",,"0,3",,"0,1",,"26,7",,"0,82",,"0,328",,,,,,,,,,,,,,,,,,,,,,,,,,,
601,Chutney aux mangue épicé,20453763,,['France'],[],[],,,,,,,,,?,,261,,1092 kj(261 kcal),,"0,8",,"0,7",,"62,3",,"49,3",,"0,3",,"2,9",,"1,16",,,,,,,,,,,,,,,,,,,,,,,,,,,
602,Stoemp poireaux -,20454364,"['Plats préparés', 'Légumes préparés', 'Purées', 'Purées de légumes']",['France'],[],[],2.4 g,en faible quantité,1.6 g,en quantité modérée,1 g,en faible quantité,0.7 g,en quantité modérée,?,,79,+14%,331 kj(79 kcal),+19%,"2,4",+30%,"1,6",+65%,12,+70%,1,-58%,"1,6",-28%,"0,7",+54%,"0,28",+54%,4,,C,,,,,,,,,,,,,,,,,,,,,,,
603,Thon au naturel  - NIXE - 195g poids net,20457417,"['Produits de la mer', 'Poissons', 'Thons', 'Thons au naturel']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,['NIXE'],['Lidl'],,,,,,E,68.8%,7.5%,16.1%,6.6%,0.5%,0.5%,28,195 g poids net,,,,,,
604,Deluxe Garnelen ring Mit Exotischer Sweet chili sauce - Alpina - 200g,20458263,"['Produits de la mer', 'Crustacés', 'Crevettes']","['France', 'Allemagne']","['74% crevettes ', 'crevettes ', 'crustacés', 'sel de cuisine', '26% sauce sucrée épicée ', 'sucre', 'eau', '9,5% piment', 'acidifiant: acide acétique', ' ail', 'sel de cuisine', 'épaississant: gomme xanthane', ' ""pourcentage rapporté à la sauce', ' Consell de préparation:décongeler les crevettes une nuit au réfrigérateur']","['Non végétalien', 'Non végétarien']",0.9 g,en faible quantité,0.2 g,en faible quantité,11.5 g,en quantité modérée,1.45 g,en quantité modérée,?,,109,+3%,456 kj(109 kcal),+4%,"0,9",-59%,"0,2",-56%,"12,2",+1019%,"11,5",+3195%,"12,8",-30%,"1,45",-1%,"0,58",-1%,4,+61%,C,+61%,['Alpina'],,"['E260 - Acide acétique', 'E415 - Gomme xanthane']",['Crustacés'],4,,,D,78.1%,0.0%,4.9%,11.3%,2.5%,3.2%,38,200 g,,,,,,
605,Foies de poulet,20460044,,['France'],[],[],,,,,,,,,?,,112,,469 kj(112 kcal),,"3,1",,"1,2",,"0,9",,"0,7",,20,,"0,25",,"0,1",,,,,,,,,,,,,,,,,,,,,,,,,,,
606,Crevettes 60/80 - Sans marque - 500g,20460976,"['Produits de la mer', 'Crustacés', 'Crevettes']",['France'],"['Crevettes ', 'Penaeus vannamei', 'sel', 'antioxydant : E223 ', 'sulfites', 'acidifiant : E330']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",0.5 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,2.1 g,en quantité élevée,?,,95,-10%,397 kj(95 kcal),-10%,"0,5",-77%,0,-100%,0,-100%,0,-100%,22,+21%,"2,1",+43%,"0,84",+43%,5,+101%,C,+101%,"['Sans marque', 'Delabli']",['LIDL'],"['E223 - Disulfite de sodium', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique']","['Crustacés', 'Anhydride sulfureux et sulfites']",3,,"['FR 44.150.001 CE', 'Saint-Aignan-Grandlieu (Loire-Atlantique, France)', 'FR 62.100.112 CE', 'Beaurainville (Pas-de-Calais, France)']",D,78.1%,0.0%,4.9%,11.3%,2.5%,3.2%,38,500 g,,"['Barquette', 'Plastique']",Crevettes entières cuites réfrigérées,['Équateur'],['France'],
607,Sucette en Chocolat au Lait Décoré - LIDL - 20g,20466220,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats']",['France'],"['Sucre', 'beurre de cacao', 'lait en poudre', 'pâte de cacao', 'lactose', 'poudre de lait écrémé', 'émulsifiant : lécithine', 'arôme naturel de vanille']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,['LIDL'],['Lidl'],['E322i - Lécithine'],['Lait'],4,,,,,,,,,,,20 g,,"['Plastique', 'Sachet']",Chocolat au lait décoré (cacao 39% minimum),,,
608,Lasagne chevre epinards - Toque du chef - 600g,20466886,"['Plats préparés', 'Plats à base de pâtes', 'Lasagnes préparées', 'Lasagnes végétariennes', 'Lasagnes au fromage de chèvre et aux épinards', 'Lasagne Chèvre Épinards']",['France'],[],[],5.7 g,en quantité modérée,2.3 g,en quantité modérée,2.1 g,en faible quantité,1.1 g,en quantité modérée,?,,132,-1%,552 kj(132 kcal),-4%,"5,7",-14%,"2,3",-38%,"13,9",+9%,"2,1",+10%,"5,5",-10%,"1,1",+44%,"0,44",+44%,4,+12%,C,+12%,['Toque du chef'],['Lidl'],,,,['Fabriqué en France'],,C,75.0%,14.1%,3.6%,3.9%,2.0%,1.4%,58,600g,,,,,,
609,Mélange Raisins & Baies - Lidl - 100g,20468604,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,['Lidl'],['Lidl'],,,,,,,,,,,,,,100g,,,,,,
610,Cruspies Hamburger Flavor - McEnnedy - 200g,20473860,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Snacks', 'Légumineuses', 'Snacks salés', 'Fruits à coques et dérivés', 'Fruits à coques', 'Cacahuètes', 'Fruits à coque salés', 'Cacahuètes salées']",['France'],"['46 % cacahuètes', 'amidon ', 'maïs', 'blé', 'farine de blé', 'huiles végétales ', 'palme', 'tournesol', 'arôme naturel ', 'contient de la moutarde', 'du lactose', 'des protéines de lait', 'sucre', 'sel']","['Huile de palme', 'Non végétalien', 'Peut-être végétarien']",32 g,en quantité élevée,7.1 g,en quantité élevée,8 g,en quantité modérée,2.4 g,en quantité élevée,2143,-13%,?,,2143 kj(512 kcal),-15%,32,-34%,"7,1",-1%,"40,4",+226%,8,+52%,"14,1",-44%,"2,4",+105%,"0,96",+105%,14,+133%,D,+133%,['McEnnedy'],['LIDL'],,"['Gluten', 'Lait', 'Moutarde', 'Arachides']",4,,,D,91.0%,1.7%,3.2%,2.0%,2.2%,0.0%,45,200 g,['Huile de palme'],"['Sachet', 'Plastique']",Cacahuètes enrobées de biscuit goût burger,,['Union Européenne'],
611,Mâche - Saladinettes - 75g,20474126,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Légumes-feuilles', 'Mâches']",['France'],['Mâche'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",0.4 g,en faible quantité,0.1 g,en faible quantité,0 g,en faible quantité,0.09 g,en faible quantité,?,,10,-50%,42 kj(10 kcal),-50%,"0,4",+2%,"0,1",+18%,3,+69%,0,-100%,2,+4%,"0,09",+151%,"0,036",+151%,-6,,A,,['Saladinettes'],['Lidl'],,,1,,,B,59.4%,0.0%,0.0%,13.2%,18.9%,8.4%,95,75 g,,"['Sachet', 'Plastique', 'Frais']",Mâche lavée,,,
612,Quartiers de pommes de terre Aardappelpartjes Knoflook / Ail,20474225,,['France'],[],[],,,,,,,,,?,,92,,385 kj(92 kcal),,"3,1",,"0,3",,13,,"0,8",,"2,1",,"0,37",,"0,148",,,,,,,,,,,,,,,,,,,,,,,,,,,
