,name,bar_code,brand,labels,sales_countries,ingredients_list,allergens,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,eco_score,categories,nova_score,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,fats_lipids_quantity,fats_lipids_comment,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,additives,generic_name,packaging,palm_ingredients,ingredients_origins,traceability_code,markets,manufacturing,link,producer_info
1676,Le sablé d'Armor,3368390444444,,,['France'],[],,[],?,526,2201 kj(526 kcal),28,12,60,25,"7,4","0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1677,Madeleine armor delices,3368390448848,,,['France'],[],,[],?,476,1992 kj(476 kcal),27,19,51,29,"6,1","0,95","0,38",,B,"['Biscuits et gâteaux', 'Gâteaux', 'Madeleines']",,19 g,en quantité élevée,29 g,en quantité élevée,0.95 g,en quantité modérée,,+8%,+8%,+18%,+174%,-3%,+5%,+7%,+17%,+17%,73.9%,13.5%,6.0%,3.4%,3.2%,0.0%,75,27 g,en quantité élevée,25,+36%,E,+36%,,,,,,,,,,
1678,Olives noires à la Grecque aromatisées - Le Moulin de Daudet,3368410000018,['Le Moulin de Daudet'],,['France'],"['OLIVES noires importées', 'sel', 'huile de tournesol', 'herbes aromatiques de Provence']",,[],?,314,1314 kj(314 kcal),"29,3","3,6","11,1",1,"1,5","4,72","1,888",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1679,"Olives Noires Aromatisées Au Thym De Provence, 250 g",3368410000063,,,['France'],[],,[],?,314,1314 kj(314 kcal),"29,3","3,6","11,1",1,"1,5","4,65","1,86",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1680,Mélange Provençal,3368410000087,,,['France'],[],,[],?,231,967 kj(231 kcal),"23,1","3,2","4,6","0,5","1,2","1,9","0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1681,Olives vertes denoyautees aromatisees aux herbes de provence - Arnaud,3368410000155,['Arnaud'],,['France'],[],,[],?,149,623 kj(149 kcal),"14,5","2,1","3,6","0,5","0,9","1,53","0,612",,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Pickles', ""Produits de l'olivier"", ""Pickles d'origine végétale"", 'Olives', 'Olives vertes', 'Olives dénoyautées', 'Olives vertes dénoyautées']",,2.1 g,en quantité modérée,0.5 g,en faible quantité,1.53 g,en quantité élevée,,-7%,-7%,-8%,-16%,+161%,+167%,-17%,-54%,-54%,33.7%,0.2%,40.3%,17.4%,6.7%,1.8%,95,14.5 g,en quantité modérée,9,-22%,C,-22%,,,,,,,,,,
1682,Olives vertes cassées aromatisées herbes de provence,3368410000193,,,['France'],[],,[],?,177,741 kj(177 kcal),"17,2","2,4","4,2","0,6","1,3","2,05","0,82",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1683,Olives arnaud,3368410004375,,,['France'],[],,[],?,206,862 kj(206 kcal),"20,6","2,7","3,8","0,5","1,4","1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1684,Olives vertes La Délicieuse. Provence picholine naturel,3368411000475,['La Delicieuse'],,['France'],"['OUVES PICHOLINES DE FROVES? SAUMURE ', 'EAU', ' SEO', 'ACIOIFIXNT', '? ACIDE', 'CITRIQUE', ' 3 368411 000475']",,[],?,165,690 kj(165 kcal),16,"2,6","3,8","0,5","1,4","3,28","1,312",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1685,Olives de provence vertes cassées au fenouil sauvage - La Délicieuse,3368411000482,['La Délicieuse'],,['France'],"['Olives', 'saumure ', 'eau', 'sel', 'fenouil sauvage', 'arôme naturel de fenouil', 'acidifiant: acide citrique']",,[],?,241,1008 kj(241 kcal),"23,7","4,3","5,3","0,5","1,7","2,33","0,932",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['E330 - Acide citrique'],,,,,,,,,
