,name,bar_code,quantity,brand,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,labels,packaging,manufacturing,markets,additives,palm_ingredients,allergens,nova_score,ingredients_origins,link,traceability_code,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,origin_detail,brand_owner
20,spa let,3447782688908,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Pain de mie sandwich complet,3448971200079,,,,['France'],[],[],,,,,,,,,?,,259,,1084 kj(259 kcal),,"4,8",,"0,6",,43,,"2,7",,10,,"0,6",,"0,24",,,,,,,,,,,,,,,,,,,,,,,,,,,
22,André Loussouarn,3449480001881,,['André Loussouarn'],,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,"['FR 29.125.020 CE', 'Leuhan (Finistère, France)']",,,,,,,,,,,
23,Feuilleté jambon béchamel - André Loussouarn,3449480006923,,['André Loussouarn'],,['France'],[],[],,,,,,,,,?,,305,,1276 kj(305 kcal),,"19,2",,"13,04",,"23,5",,"1,6",,0,,0,,0,,,,,,,,,,,,,,,,"['FR 29.125.020 CE', 'Leuhan (Finistère, France)']",,,,,,,,,,,
24,3453521249729,3453521249729,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Confiture de cassis - La Francomtoise de Confiturerie - 430g,3455140005199,430 g,['La Francomtoise de Confiturerie'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de cassis']",['France'],[],[],0.5 g,en faible quantité,0.1 g,en faible quantité,51 g,en quantité élevée,0.01 g,en faible quantité,917,+0%,?,,917 kj(219 kcal),-5%,"0,5",+77%,"0,1",+63%,52,-4%,51,-2%,"1,2",+99%,"0,01",-63%,"0,004",-63%,7,-24%,C,-24%,,,,,,,,,,,,D,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,
26,pineau des charents - 750ml,3458770005553,750ml,['Pineau'],"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins liquoreux']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,['Bouteille'],,,,,,,,,,,,,,,,,,,,
27,Gambas Bio - Oso,3458881300783,,['Oso'],"['Produits de la mer', 'Crustacés', 'Crevettes', 'Gambas']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-10']",,,,,,,,,,"['FR 44.109.206 CE', 'Nantes (Loire-Atlantique, France)']",D,78.1%,0.0%,4.9%,11.3%,2.5%,3.2%,38,,,
28,Acerola,3460341505843,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,['Bio'],,,,,,,,,,,,,,,,,,,,,
29,La champêtre baguette spéciale à la semoule de blé dur 250grs - 250g,3461181491051,250 g,,,['France'],[],[],,,,,,,,,?,,266,,1113 kj(266 kcal),,"1,3",,"0,2",,53,,"1,4",,"8,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
