,name,bar_code,eco_score,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,brand,quantity,traceability_code,ingredients_origins,packaging,markets,additives,allergens,nova_score,generic_name,link,manufacturing,brand_owner,palm_ingredients
1620,Tropezienne -,0207760031491,,"['Tartes', 'Tartes sucrées', 'Tartes tropéziennes']",['France'],[],[],7.2 g,en quantité modérée,5.6 g,en quantité élevée,19 g,en quantité élevée,0.47 g,en quantité modérée,?,,227,-17%,950 kj(227 kcal),-17%,"7,2",-29%,"5,6",-18%,36,-8%,19,-6%,4,-6%,"0,47",-6%,"0,188",-6%,13,-14%,D,-14%,,,,,,,,,,,,,,,,,,,,,,
1621,Compotes pommes,3760024887076,,,['France'],[],[],,,,,,,,,?,,61,,255 kj(61 kcal),,"0,1",,"0,1",,"13,7",,"13,7",,"0,3",,0,,0,,,,,,,,,,,,,,,,"['EMB 74213B', 'Poisy (Haute-Savoie, France)']",,,,,,,,,,,
1622,Pur soup mouliné de légumes d'hiver,3936810353098,,,['France'],[],[],,,,,,,,,?,,135,,565 kj(135 kcal),,"0,8",,"0,4",,"4,3",,"0,8",,"1,3",,"0,72",,"0,288",,,,,,,,,,,,,,,,,,,,,,,,,,,
1623,Galette pur beurre - La Trinitaine,3260260031955,,,['France'],[],[],,,,,,,,,?,,500,,2092 kj(500 kcal),,23,,13,,66,,28,,"6,3",,"0,7",,"0,28",,,,,,,,,,,,,,['La Trinitaine'],,,,,,,,,,,,,
1624,Queso emmental - Coaliment,8413176921734,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de vache', 'Emmentals', 'Fromages en tranches']","['France', 'Espagne']","['Leche pasteurizada de vaca', 'sal', 'fermentos lácticos ', 'leche', 'cuajo y colorante ', 'betacaroteno', ' Origen de la leche: UE']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",27 g,en quantité élevée,18 g,en quantité élevée,0.5 g,en faible quantité,1.3 g,en quantité modérée,?,,347,+2%,1452 kj(347 kcal),+2%,27,+0%,18,-1%,"0,5",-51%,"0,5",-27%,26,+13%,"1,3",-24%,"0,52",-24%,14,-11%,D,-11%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,['Coaliment'],,['ES 15.06509/BU CE'],['es:UE'],,,['E160ai - Bêta-carotène'],['Lait'],4,,,,,
1625,Huilerie Richard,3021885010875,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,['Huilerie Richard'],,,,,,,,,,,,,
1626,Emmental bio,0270537027423,C,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de vache', 'Emmentals']",['France'],[],[],30 g,en quantité élevée,18 g,en quantité élevée,0.5 g,en faible quantité,0.4 g,en quantité modérée,?,,391,+4%,1636 kj(391 kcal),+4%,30,+3%,18,-9%,"1,2",+80%,"0,5",+21%,29,+5%,"0,4",-39%,"0,16",-39%,10,-12%,C,-12%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,"['Bio', 'Bio européen', 'FR-BIO-01', 'AB Agriculture Biologique']",,,"['FR 62.907.030 CE', 'Libercourt (Pas-de-Calais, France)']",,,,,,,,,,,
1627,0.550kg,28141464,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,0.550 kg,,,,,,,,,,,,
1628,BOER'N YOGHURT fraise - Zuivelhoeve - 200g,8711399018805,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts']",['France'],[],[],3.4 g,en quantité modérée,2.5 g,en quantité modérée,11 g,en quantité modérée,0.13 g,en faible quantité,?,,93,+1%,389 kj(93 kcal),+1%,"3,4",+4%,"2,5",+22%,11,0%,11,+9%,"4,3",+14%,"0,13",+13%,"0,052",+13%,3,-2%,C,-2%,,,,,,,,,['Zuivelhoeve'],200g,['NL Z 1317 EG'],,['Frais'],,,,,,,,,
1629,Jambon. Blanc,2200020036739,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1630,Confit d'oignons,3288310846397,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Plantes condimentaires', 'Produits à tartiner salés', 'Légumes et dérivés', 'Pâtes à tartiner végétales', 'Oignons et dérivés', ""Confits d'oignons""]",['France'],[],[],7.4 g,en quantité modérée,1.2 g,en faible quantité,21 g,en quantité élevée,1.2 g,en quantité modérée,?,,196,+17%,820 kj(196 kcal),+16%,"7,4",+351%,"1,2",+355%,30,-14%,21,-35%,"1,3",+31%,"1,2",+92%,"0,48",+92%,7,+6%,C,+6%,,,,,,,,,,,,,,,,,,,,,,
1631,Cornet Crème -,3334660008883,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Pâtisseries']",['France'],"['Sucre', ' amidon modifié', 'poudre de Iactosérum doux ', 'LAIT', ' matière grasse de palme', 'sirop de glucose', 'protéines de LAIT', 'épaississant E401', 'sel', 'stabilisant E450', 'colorants ', 'E160a', 'E101', ' ', ' farine de BLÉ ', 'gluten', 'margarine ', 'matière grasse végétale ', 'palme', 'eau', 'sel', 'émulsifiant ', 'E471', 'acidifiant: ', 'E330', 'colorant ', 'E160a', 'arôme', 'eau', 'sucre', 'sel', 'Dextrose', 'antiagglomérant ', 'carbonate de calcium ', 'E170', 'sucre', 'matière grasse végétale totalement hydrogénée ', 'palme']","['Huile de palme', 'Non végétalien']",5.15 g,en quantité modérée,2.19 g,en quantité modérée,33.9 g,en quantité élevée,0.12 g,en faible quantité,?,,284,-25%,1188 kj(284 kcal),-24%,"5,15",-69%,"2,19",-73%,"56,35",+17%,"33,94",+16%,"2,37",-56%,"0,12",-71%,"0,048",-71%,12,-30%,D,-30%,,,,,,,,,,,,,"['Plastique', 'Frais']",,"['E14XX - Amidons modifiés', 'E401 - Alginate de sodium', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E160a - Carotènes mélangés', 'E101 - Riboflavine', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E330 - Acide citrique', 'E170i - Carbonate de calcium', 'E170 - Carbonates de calcium']","['Gluten', 'Lait']",4,Pâtisserie - Cornet Crème,,,,['Huile de palme']
1632,2998311005259,2998311005259,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1633,Plat de cote cuit supérieur,2689709024609,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,['Point Vert'],,,"['EMB 35152B', 'Liffré (Ille-et-Vilaine, France)', 'FR 35.152.002 CE', 'Liffré (Ille-et-Vilaine, France)']",,,,,,,,,,,
1634,coeur de museau de porc cuit - gueze - 340g,2246564033322,,['Viandes'],['France'],"['LANGUE DE PORC', 'NOIX DE JOUE DE PORC ET COUENNE DE PORC SRUMURE ', 'EAU', 'SEL', 'CONSERVATEUR: E250', 'SUCRES ', 'SIROP DE GLUCOSE', 'DEXTROSE', 'SACCHAROSE', 'STABILISANTS ', 'E451,E450', 'AROMES', 'ANTIOXYGENE E301', ' AIL EN PULPE ', 'AIL FRAIS BROYE', 'SEL', 'CONSERVATEUR E220 ', 'TRACE DESULFITE', 'POIVRE NOIR MOULU Produit fabrique dans un atelier utilisant du LAIT', 'CEREALES ', 'GLUTEN', 'OEUF', 'SOJA', 'CELERI', 'PISTACHE', 'MOUTARDE', ' SANTS CE451', 'E450', 'AROMES', 'ANTIOXYGENE: E301', 'AIL EN ORIGINE VIANDES : UE VALEUR NUTRITIONNELLE MOYENNE POUR 100GR']","['Non végétalien', 'Non végétarien']",12.6 g,en quantité modérée,4.4 g,en quantité modérée,0.7 g,en faible quantité,27 g,en quantité élevée,?,,198,-12%,828 kj(198 kcal),-11%,"12,6",-14%,"4,4",-18%,"0,7",-57%,"0,7",-1%,"20,6",+8%,27,+1384%,"10,8",+1384%,16,+40%,D,+40%,,,,,,,,,['Gueze'],340g,"['FR 07.338.002 CE', 'Vernoux-en-Vivarais (Ardèche, France)']",['Union européenne'],['sous vide'],['Intermarche'],"['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E451 - Triphosphates', '', 'Risque élevé de sur-exposition', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E301 - Ascorbate de sodium', 'E220 - Anhydride sulfureux', '', 'Risque élevé de sur-exposition']",,4,,,,,
1635,"Duo de courgette chèvre miel - Knorr - 0,5litre",68026547,,,['France'],"['eau', ""légumes': 37% "", 'courgette verte: 13%', 'courgette jaune : 12%', 'oignon', 'pomme de terre', 'épinard', 'CREME fraîche:6,6%', 'amidon modifié de mais', 'miel : 1,3%', 'sucre sel', 'extrait de levure ', 'dont ORGE', 'FROMAGE de chèvre frais: 0,3%', 'arômes ', 'dont farine de BLE', 'FROMAGE fondu ', 'FROMAGE de chèvre', 'lactosérum ', 'LAIT', 'sel', 'romarin:0,1%', 'huile de mais', ""jus de citron concentré'"", 'fructose', 'poivre', 'vinaigre balsamique ', 'vinaigre de vin', 'moût de raisin', 'extrait de vin blanc', 'huile de tournesol', ' Peut contenir: céleri', 'moutarde', 'oeuf', "" Ingrédients issus de l'agriculture durable: 38%"", ' *EE']",['Non végétalien'],,,,,,,,,?,,51,,213 kj(51 kcal),,"2,5",,"1,4",,"5,9",,"3,3",,"1,2",,"0,68",,"0,272",,,,,,,,,,,,,['Agriculture durable'],['Knorr'],"0,5 litre",,,['Brique de soupe'],,['E14XX - Amidons modifiés'],"['Gluten', 'Lait']",4,,,,,
1636,CHOU CURLY KALE - Carrefour,3523680384408,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,['Bio'],['Carrefour'],,"['EMB 29148A', 'Mespaul (Finistère, France)']",,,['Carrefour'],,,,,,,,
1637,Chocolat cranberry et graines - La table de cana - 90g,3701100200075,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",['La table de cana'],90 g,,,,,,,,,,,,
1638,Tarte pomme 24 cm,0272326042648,,,['France'],[],[],,,,,,,,,?,,210,,879 kj(210 kcal),,"8,1",,"5,5",,32,,17,,"1,6",,"0,32",,"0,128",,,,,,,,,,,,,,,,,,,,,,,,,,,
1639,Pate Bearnais pur porc -,3272931006964,,"['Viandes', 'Charcuteries', 'Charcuteries diverses', 'Porc']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
