,name,bar_code,packaging,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,eco_score,categories,labels,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,brand,manufacturing,allergens,nova_score,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,markets,additives,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,ingredients_origins,traceability_code,generic_name,link,palm_ingredients,brand_owner,producer_info
952,Mini tartelettes sucrées pur beurre,3017760548595,,['France'],[],[],?,?,?,?,?,,,['Fabriqué en France'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
953,Radis - Marks & Spencer,00899246,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,['Marks & Spencer'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
954,Vin blanc moelleux,3423290185559,,['France'],[],[],?,?,?,?,?,,"['Boissons', 'Boissons alcoolisées', 'Vins']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
955,Blocs des vosges,3048281925220,,['France'],[],[],?,392,"0,5",96,0,,,,,,,,,,,,,,,,,,,,,1640 kj(392 kcal),"0,5",86,"0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,
956,Reese's Peanut Butter Bar XL,0034000442652,,['France'],"['milk chocolate ', 'sugar', 'cocoa butter', 'chocolate', 'nonfat milk', 'milk fat', 'lactose', 'soy lecithin', 'pgpr', 'emulšifier', 'peanuts', 'sugar', 'dextrose', 'cocoa butter', 'contains 2% or less of: partiálly hydrogenated vegetable oil ', 'palm kernel and palm oil', 'salt', 'cornstarch', 'tbhq ', 'preservative', 'od allergy information: manufactured on the same equipment that processes almonds,']","['Huile de palme', 'Non végétalien']",?,2092,30,"57,5","7,5",,,,,,,,,,,,,,,,,"[""Reese's""]",,"['Lait', 'Arachides', 'Soja']",4,8753 kj(2092 kcal),15,55,"0,47","0,188",,"['E322i - Lécithine', ""E476 - Esters polyglycériques d'acides gras d'huile de ricin"", 'E319 - Butylhydroquinone tertiaire']",,,,,,,,,,,,,,,,,,,,,,,,
957,"Ail blanc 3 têtes, calibre 60/80 - U Bio - 175g",3256225998180,['Filet'],['France'],[],[],?,?,?,?,?,A,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Aliments à base de fruits et de légumes', 'Plantes condimentaires', 'Légumes et dérivés', 'Ail et dérivés', 'Ail']","['Bio', 'Bio européen', 'Fruits et Légumes de France', 'AB Agriculture Biologique', 'Cultivé en France', 'Légumes de France']",,,,,,58.5%,0.0%,0.0%,19.1%,16.5%,5.8%,98,175 g,"['U Bio', 'U']",,,,,,,,,"['Magasins U', 'Super U']",,,,,,,,,,,,,,,,,,,['France'],,,,,,
958,Kinder bueno pearls,3760113472947,,['France'],[],[],?,566,35,"53,5","8,7",,,,,,,,,,,,,,,,,,,,,2368 kj(566 kcal),"22,6","53,3","0,313","0,125",,,,,,,,,,,,,,,,,,,,,,,,,,
959,Filets de poulet - La Nouvelle Agriculture,0213400026895,['Barquette'],['France'],[],[],?,440,"1,3",0,23,D,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,+236%,-55%,-100%,+1%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,['La Nouvelle Agriculture'],,,,1841 kj(440 kcal),"0,4",0,0,0,,,1.3 g,en faible quantité,0.4 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,+239%,-46%,-100%,-100%,-100%,0,,B,,,"['FR 79.195.003 CE', 'Nueil-les-Aubiers (Deux-Sèvres, France)']",,,,,
960,Cocktail de fruit,6130314000015,,"['France', 'Espagne']",[],[],?,?,?,?,?,,['Boissons'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
961,12 Gros oeufs,3262581032123,,['France'],[],[],?,?,?,?,?,D,"[""Produits d'élevages"", 'Œufs']",,,,,,,91.5%,0.0%,3.5%,2.5%,1.7%,0.8%,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
962,Perisa Neapolitan - Nestlé,9556001144034,,['France'],[],[],?,349,"4,2","10,7","0,6",,,,,,,,,,,,,,,,,['Nestlé'],,,,1460 kj(349 kcal),0,"10,7",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
963,Boule Carrefour Bio,3123456000367,,['France'],[],[],?,?,?,?,?,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,,,,['Carrefour Bio'],,,,,,,,,['Carrefour'],,,,,,,,,,,,,,,,,,,,,,,,,
964,Biona Organic Sour Snakes,5032722312067,,['France'],[],"['Végétalien', 'Végétarien']",?,343,"0,1",84,"0,3",,,"['Bio', 'Végétarien', 'en:gluten-free', 'Végétalien', 'Sans lactose']",,,,,,,,,,,,,,['Biona Organic'],,,,1435 kj(343 kcal),"0,1",56,"0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,
965,Danette vanille chantilly - Danone - 2,8410500022808,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,2,['Danone'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
966,Cidre artisanal - Le Brun,28468981,,['France'],[],[],?,?,?,?,?,D,"['Boissons', 'Boissons alcoolisées', 'Produits artisanaux', 'Cidres', 'Alcools artisanaux', 'Cidres artisanaux', 'Cidres doux']",['en:produced-in-bretagne'],,,,,,31.6%,5.6%,37.9%,16.7%,6.5%,1.8%,53,,['Le Brun'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
967,Blond de canne en morceaux,26063195,,['France'],[],[],?,400,0,100,0,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'NL-BIO-01']",,,,,,,,,,,,,,,,,,1674 kj(400 kcal),0,100,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
968,Gateau ti son nature,3428410619006,,['France'],[],[],?,431,"22,24","54,5","3,9",,,,,,,,,,,,,,,,,,,,,1803 kj(431 kcal),"7,69","34,6","0,34","0,136",,,,,,,,,,,,,,,,,,,,,,,,,,
969,Lait en poudre NIDO,6211002513144,,['France'],[],[],?,493,"26,2",40,0,,,,,,,,,,,,,,,,,,,,,2063 kj(493 kcal),"16,49",39,"0,35","0,14",,,,,,,,,,,,,,,,,,,,,,,,,,
970,Boisson multivitaminé,3254386047945,,['France'],[],[],?,34,0,"8,5",0,,,,,,,,,,,,,,,,,,,,,142 kj(34 kcal),0,"8,5",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
971,Suisse chocolat,0218072019350,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
972,Café,3328043331255,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
973,Confiture pissenlit,3546940016420,,['France'],[],[],?,238,"0,1","58,4","0,2",,,,,,,,,,,,,,,,,,,,,996 kj(238 kcal),"0,01",52,"0,04","0,016",,,,,,,,,,,,,,,,,,,,,"['EMB 63360', 'Saint-Hilaire (Puy-de-Dôme, France)']",,,,,
974,Haricots avec legumes - monjardin,8413239200721,,"['France', 'Espagne']",[],[],?,67,"0,8","12,8","4,2",,,,,,,,,,,,,,,,,['Monjardin'],,,,280 kj(67 kcal),"0,6","0,3","0,8","0,32",,,,,,,,,,,,,,,,,,,,,,,,,,
975,Eru Goudkuipje Gruyere,8718700496208,,['France'],[],[],?,254,21,"2,3",14,,,,,,,,,,,,,,,,,,,,,1063 kj(254 kcal),13,"2,3","2,1","0,84",,,,,,,,,,,,,,,,,,,,,,,,,,
976,Chou rouge,7610293006004,,['France'],[],[],?,43,"0,5",7,"0,8",,,,,,,,,,,,,,,,,,,,,180 kj(43 kcal),"0,5",5,"1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,
977,Whisky - Jura,5013967012462,,['France'],[],[],?,?,?,?,?,C,"['Boissons', 'Boissons alcoolisées', 'Alcools forts', 'Eaux-de-vie', 'Whiskys']",,,,,,,0.0%,41.3%,42.0%,11.2%,3.5%,2.0%,57,,['Jura'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
978,Essuie-tout,20026622,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
979,Kauffers 12 mini Flams aux légumes,3273310113129,,['France'],[],[],?,234,"8,9",26,"9,6",,,,,,,,,,,,,,,,,,,,,979 kj(234 kcal),"4,8","4,9","1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,
980,Noix seches du Perigord,3301220500323,,['France'],[],[],?,691,63,12,15,,,,,,,,,,,,,,,,,,,,,2891 kj(691 kcal),"5,8","4,7","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,
981,Sirop gingembre curcuma,1240273250217,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
982,filets de poulet - La Nouvelle Agriculture,0213308057137,,['France'],[],[],?,109,"1,8","0,3",23,D,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,-17%,-38%,-37%,+1%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,['La Nouvelle Agriculture'],,,,456 kj(109 kcal),"0,5","0,3","0,11","0,044",,,1.8 g,en faible quantité,0.5 g,en faible quantité,0.3 g,en faible quantité,0.11 g,en faible quantité,-16%,-33%,+23%,-85%,-85%,-4,,A,,,"['FR 79.195.003 CE', 'Nueil-les-Aubiers (Deux-Sèvres, France)']",,,,,
983,piment d espelette - ederki - 250g,3277510003693,['Sachet'],['France'],['piments d espelette'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,?,?,?,,,,,,,,,,,,,,,,250 g,['Ederki'],['64990 Mouguerre'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.ederki.com,,,
984,Aiguillettes de poulet - Carrefour,2227488028601,,['France'],[],[],?,?,?,?,?,D,"['Viandes', 'Volailles', 'Poulets', 'Aiguillettes de poulet']","['Viande Française', 'Volaille-francaise']",,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,['Carrefour'],,,,,,,,,['Carrefour'],,,,,,,,,,,,,,,,,,,,,,,,,
985,Crepinette de porc,0203700020334,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
986,08110219,08110219,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
987,Velouté de légumes - boni - 1l,5400141207514,['Tetrabrick'],"['Belgique', 'France']","['Velouté de légumes à la crème\r 45 % légumes ', 'jus de tomates reconstitué', 'potirons', 'carottes oignons', 'poireaux', 'céleri-rave petits pois', 'haricots verts', 'eau', 'pommes de terre', '3 % crème', 'huile de tournesol', 'sucre', 'amidon modifié', 'sel', 'sirop de glucose', 'protéines du lait', 'extrait de levure', 'arôme', ' Contient du lait et du céleri']",['Non végétalien'],?,42,"2,4","4,4","0,5",,,,,,,,,,,,,,,,1 l,['Boni'],,"['Céleri', 'Lait']",4,176 kj(42 kcal),"0,8","2,6","0,73","0,292",['Colruyt'],['E14XX - Amidons modifiés'],,,,,,,,,,,,,,,,,,,,,,,,
988,Les cereales du monde - Sabarot,3111952025175,,['France'],[],[],?,?,?,?,?,,,['Nutriscore'],,,,,,,,,,,,,,['Sabarot'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
989,Carr's crackers,77859273,,['France'],[],[],?,469,"19,3","67,2","5,3",,,,,,,,,,,,,,,,,,,,,1962 kj(469 kcal),"4,8","8,7","1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,
990,"Coeur de cassis Cherry Rocher 14,5°",3032230101735,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
991,Thon blanc germon -,3660088145726,,['France'],[],[],?,244,"16,7","0,6","22,8",E,"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Thons', 'Thons en conserve', ""Thons à l'huile"", ""Thons à l'huile d'olive"", 'Thons blancs']",,,+14%,+26%,+49%,-3%,93.6%,0.0%,1.2%,4.4%,0.6%,0.2%,21,,,,,,1021 kj(244 kcal),"3,1","0,5","0,38","0,152",,,16.7 g,en quantité modérée,3.1 g,en quantité modérée,0.5 g,en faible quantité,0.38 g,en quantité modérée,+13%,+19%,+117%,-59%,-59%,2,-54%,B,-54%,,,,,,,
992,Viande hachée pur bœuf,3547448746925,,['France'],[],[],?,256,20,0,19,,,"['Viande Française', 'Viande-bovine-francaise']",,,,,,,,,,,,,,,,,,1071 kj(256 kcal),"9,2",0,"0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,
993,Werther's Original Creamy Filling,4014400913910,,['France'],"['sugar', 'glucose syrup', 'glucose-fructose syrup', 'cream ', 'milk', ' ', '7%', 'condensed whey ', 'milk', 'butter ', 'milk', '4,5 %', 'condensed skimmed milk', 'partially inverted refiners syrup', 'salt', 'butterfat ', 'milk', 'whey powder ', 'milk', 'emulsifier: soya lecithin', 'flavouring', 'for allergens', 'see ingredients in bold', 'suitable for vegetarians', 'uk']","['Non végétalien', 'Végétarien']",?,406,"8,5","81,7","0,7",,,['Végétarien'],,,,,,,,,,,,,,"[""Werther's Original""]",,['Lait'],4,1699 kj(406 kcal),"5,7","63,2","0,83","0,332",,['E322i - Lécithine'],,,,,,,,,,,,,,,,,,,,,,,,
994,Nuggets vegetariens -,20260590,,"['France', 'Espagne']",[],[],?,194,8,16,"12,6",,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Substituts de viande']",,,+1%,-9%,+54%,-11%,,,,,,,,,,,,,812 kj(194 kcal),1,"0,8","1,3","0,52",,,8 g,en quantité modérée,1 g,en faible quantité,0.8 g,en faible quantité,1.3 g,en quantité modérée,+1%,-26%,-51%,+20%,+20%,2,+90%,B,+90%,,,,,,,
995,Dos de colin d'alaska,3486120001894,,['France'],[],[],?,?,?,?,?,E,"['Produits de la mer', 'Poissons', 'Colins', ""Lieu d'Alaska cru"", ""Dos de Colin d'Alaska""]",,,,,,,93.2%,0.0%,0.9%,5.2%,0.5%,0.1%,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
996,12 gros oeufs,3298622120009,,['France'],[],[],?,?,?,?,?,D,"[""Produits d'élevages"", 'Œufs']",,,,,,,91.5%,0.0%,3.5%,2.5%,1.7%,0.8%,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 27.378.001 CE', 'Madeleine-de-Nonancourt (Eure, France)']",,,,,
997,Krówka mleczna,5901715000970,,['France'],[],[],?,379,"4,3",80,"4,7",,,,,,,,,,,,,,,,,,,,,1586 kj(379 kcal),"2,5",72,"0,14","0,056",,,,,,,,,,,,,,,,,,,,,,,,,,
998,Petite laitue rouge,3700758501244,,['France'],[],[],?,?,?,?,?,,,['Sans additifs'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['EMB 69034D', 'Caluire-et-Cuire (Rhône, France)']",,,,,
999,La creme forestiere - Maison Prunier,2470746015282,,['France'],[],[],?,311,29,"2,4",10,,,,,,,,,,,,,,,,,['Maison Prunier'],,,,1301 kj(311 kcal),12,"0,5","1,7","0,68",,,,,,,,,,,,,,,,,,,,,,,,,,
1000,Canadian WHISKY,3147699110263,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001,Acras tartare de tomate - Sar'Océan,3302980001525,,['France'],[],[],?,149,"2,3",27,"3,7",,,,,,,,,,,,,,,,,"[""Sar'Océan""]",,,,623 kj(149 kcal),"0,4","1,9","1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,
1002,5 whole grain - microwaveable,20803377,,['France'],[],[],?,155,"2,9","26,4","4,1",,,,,,,,,,,,,,,,,,,,,649 kj(155 kcal),"0,6","0,1","0,23","0,092",,,,,,,,,,,,,,,,,,,,,,,,,,
1003,Tarte aux noix Boncolac - 850g,3251514884007,"['Carton', 'Surgele']",['France'],[],[],?,?,?,?,?,,"['Surgelés', 'Biscuits et gâteaux', 'Tartes', 'Gâteaux', 'Tartes sucrées', 'Gâteaux et pâtisseries surgelés', 'Tartes aux noix']",,,,,,,,,,,,,,850g,['Boncolac'],['France'],,,,,,,,,,,,,,,,,,,,,,,,,,,,"['EMB 64134A', 'Bonloc (Pyrénées-Atlantiques, France)']",,,,,
1004,Gateaux au chocolat,7310520002174,,['France'],[],[],?,500,23,67,"5,6",,,,,,,,,,,,,,,,,,,,,2092 kj(500 kcal),13,32,"0,7","0,28",,,,,,,,,,,,,,,,,,,,,,,,,,
1005,Turron duro de cacahuete - Berclau,8436000400083,,['France'],"['Arachides grillées ', '38% ', 'sucre', 'sirop de glucose', 'miel ', '2% ', ""blanc d'oeuf"", 'pain azyme ', 'fécule de pomme de terre et huile de tornesol', ' et antioxydant E-306 ', 'tocophérol', "" Peut contenir des traces d'autres noix et sésame""]",['Non végétalien'],?,538,20,46,15,E,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Aliments et boissons de Noël', 'Confiseries de Noël', 'Touron', 'Tourons aux cacahuètes', 'Tourons croquants aux cacahuètes']",,,+9%,-3%,-10%,+22%,91.0%,4.2%,2.3%,2.0%,0.5%,0.0%,34,,['Berclau'],,['Œufs'],4,2251 kj(538 kcal),4,39,0,0,,['E307c - Tocophérol'],20 g,en quantité modérée,4 g,en quantité modérée,39 g,en quantité élevée,0 g,en faible quantité,+9%,+9%,-12%,-100%,-100%,17,-1%,D,-1%,,,,,,,
1006,Feta a cubetti,8033373930324,,['France'],[],[],?,240,19,"0,1",15,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de Grèce', 'Fromages de brebis', 'Fetan']",,,-15%,-19%,-87%,-7%,87.8%,4.4%,3.0%,3.1%,1.4%,0.4%,44,,,,,,1004 kj(240 kcal),12,0,"3,8","1,52",,,19 g,en quantité modérée,12 g,en quantité élevée,0 g,en faible quantité,3.8 g,en quantité élevée,-15%,-22%,-100%,+61%,+61%,17,-1%,D,-1%,,,,,,,
1007,P'tit beurre lait praliné noisette chocolat,,"['Bocal', 'Verre']",['France'],[],[],?,570,38,46,9,D,"['Viandes', 'Produits à tartiner', 'Charcuteries', 'Produits à tartiner salés', 'Rillettes', 'Rillettes de viande', 'Rillettes de viande blanche', 'Rillettes de volaille', 'Rillettes de canard']",,,+42%,+4%,+7858%,-44%,74.1%,17.7%,4.6%,2.1%,1.2%,0.3%,39,,,,,,2385 kj(570 kcal),"15,9",39,"0,33","0,132",,,38 g,en quantité élevée,15.9 g,en quantité élevée,39 g,en quantité élevée,0.33 g,en quantité modérée,+42%,+27%,+15438%,-76%,-76%,26,+35%,E,+35%,,,,,,,
1008,Geo choc,6111242600508,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009,Jus orange peche,6130234004155,,['France'],[],[],?,53,"0,1","13,1","0,1",,,,,,,,,,,,,,,,,,,,,222 kj(53 kcal),"0,1",12,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,
1010,Cidre doux du limousin - Le pere defrance - 75cl,3760043800131,,['France'],[],[],?,?,?,?,?,D,"['Boissons', 'Boissons alcoolisées', 'Cidres', 'Cidres doux']",,,,,,,31.6%,5.6%,37.9%,16.7%,6.5%,1.8%,53,75cl,['Le pere defrance'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011,Lavazza Espresso Super Crema Coffee Beans,8000070042025,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,['Lavazza'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012,Crackers à la bettrave et aux baies roses,3234750000066,,['France'],[],[],?,417,"9,6",69,13,,,,,,,,,,,,,,,,,,,,,1745 kj(417 kcal),"1,1","7,1","1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,
1013,Vin blanc - Muscadet Sévres et Maine - 75cl,3222476635167,,['France'],[],[],?,?,?,?,?,D,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins blancs']",,,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,75 cl,['Muscadet Sévres et Maine'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1014,Riesling -,3263857693819,,['France'],[],[],?,?,?,?,?,,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Alsace']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015,Terrine de Canard au magret - Laredy - 180g,3432770016467,['Bocal'],['France'],[],[],?,286,26,0,13,E,"['Viandes', 'Charcuteries', 'Produits à la viande', 'Terrines', 'Terrines de volailles', 'Terrines de canard']","['Sans colorants', 'Sans conservateurs']",,-7%,-1%,-100%,-8%,77.8%,15.8%,3.0%,2.2%,1.0%,0.3%,33,180 g,['Laredy'],,,,1197 kj(286 kcal),"8,6",0,"1,7","0,68",['Norma'],,26 g,en quantité élevée,8.6 g,en quantité élevée,0 g,en faible quantité,1.7 g,en quantité élevée,-6%,-9%,-100%,+11%,+11%,18,+1%,D,+1%,,,,,,,
1016,Thé vert à l'amande - Kusmi Tea,3585801000178,,['France'],[],[],?,?,?,?,?,B,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés', 'Thés verts', 'Thés aromatisés']",,,,,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,['Kusmi Tea'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1017,Chocolat white praline - Hema,8718537033843,,['France'],[],[],?,557,"34,4","54,9","6,5",,,,,,,,,,,,,,,,,['Hema'],,,,2330 kj(557 kcal),"15,9","54,6","0,18","0,072",,,,,,,,,,,,,,,,,,,,,,,,,,
1018,P'tits fourrés goût choco,3178530414578,,['France'],[],[],?,447,15,65,10,,,['Goût choco'],,,,,,,,,,,,,,,,,,1870 kj(447 kcal),"6,5",21,"0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,
1019,Keri orange,9300675079303,,['France'],[],[],?,0,1,"10,8","0,8",,,['Sans conservateurs'],,,,,,,,,,,,,,,,,,0 kj(0 kcal),0,"8,6","0,001",0,,,,,,,,,,,,,,,,,,,,,,,,,,
1020,Beurre moulé de baratte demi sel,3760128849680,,['France'],[],[],?,726,80,"0,8","0,8",E,"['Produits laitiers', 'Matières grasses', 'Produits à tartiner', 'Matières grasses à tartiner', 'Matières grasses animales', 'Matière grasse laitière', 'Produits laitiers à tartiner', 'Beurres', 'Beurres demi-sel']",,,+1%,+1%,+8%,+18%,91.5%,4.9%,1.3%,1.2%,0.8%,0.2%,27,,,,,,3038 kj(726 kcal),57,"0,4",2,"0,8",,,80 g,en quantité élevée,57 g,en quantité élevée,0.4 g,en faible quantité,2 g,en quantité élevée,+1%,+5%,-35%,-3%,-3%,27,+2%,E,+2%,,"['FR 62.207.032 CE', 'Campigneulles-les-Petites (Pas-de-Calais, France)']",,,,,
1021,Abricots secs,8690504274933,,['France'],[],[],?,293,"0,3","66,5",5,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs', 'Abricots secs']",['Halal'],,+11%,-38%,+14%,+62%,45.6%,45.5%,2.7%,4.3%,1.9%,0.0%,38,,,,,,1226 kj(293 kcal),0,"32,2",0,0,,,0.3 g,en faible quantité,0 g,en faible quantité,32.2 g,en quantité élevée,0 g,en faible quantité,+11%,-100%,-29%,-100%,-100%,2,-42%,B,-42%,,,,,,,
1022,10 œufs bio,3760106580178,,['France'],[],[],?,?,?,?,?,C,"[""Produits d'élevages"", 'Œufs', 'Œufs de poules', 'en:organic eggs']","['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,91.5%,0.0%,3.5%,2.5%,1.7%,0.8%,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1023,Miel de tilleul des Pyrénées,3326734500065,,['France'],[],[],?,?,?,?,?,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de tilleul']",,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1024,Guimauves cricks,2600687022500,,['France'],[],[],?,433,19,61,4,,,,,,,,,,,,,,,,,,,,,1812 kj(433 kcal),13,51,"0,14","0,056",,,,,,,,,,,,,,,,,,,,,,,,,,
1025,Miel de fleurs - Le Verger des Abeilles,3335440135027,,['France'],[],[],?,?,?,?,?,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de fleurs']",,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,['Le Verger des Abeilles'],,,,,,,,,,,,,,,,,,,,,,,,,,,,['France'],,,,,,
1026,Le prefou,3450350074379,,['France'],[],[],?,401,26,35,"6,1",,,,,,,,,,,,,,,,,,,,,1678 kj(401 kcal),14,"3,2","1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,
1027,Vin selvato - Giordano - 75cl,8012156000768,,['France'],[],[],?,?,?,?,?,,"['Boissons', 'Boissons alcoolisées', 'Vins']",,,,,,,,,,,,,,75cl,['Giordano'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
