,name,bar_code,packaging,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,eco_score,categories,labels,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,brand,manufacturing,allergens,nova_score,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,markets,additives,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,ingredients_origins,traceability_code,generic_name,link,palm_ingredients,brand_owner,producer_info
28,"Le Carré du Trièves, 50% mg -",3384638192632,,['France'],[],[],?,?,?,?,?,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages au lait thermisé']",,,,,,,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 38.113.002 CE', 'Clelles (Isère, France)']",,,,,
29,Bûche tradition cendrée,3369640021576,,['France'],[],[],?,253,20,"2,05","16,1",,,,,,,,,,,,,,,,,,,,,1059 kj(253 kcal),"13,4","2,05",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,
30,Thé à la citrouille épicée décaféiné,0077652083767,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Huile d'olive de Provence - Castelines France - 250ml,3700786808025,,['France'],"[""100% Huile d'Olive Vierge"", ' Extrait à froid']",[],?,900,100,"0,5","0,5",D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive de France"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra"", ""Huile d'olive de Provence""]",['AOC'],,+3%,+3%,,,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,250 ml,"['Castelines France', 'Moulin Castelas', ""Noir d'olive""]",,,2,3766 kj(900 kcal),17,"0,5",0,0,,,100 g,en quantité élevée,17 g,en quantité élevée,0.5 g,en faible quantité,0 g,en faible quantité,+3%,+20%,,-100%,-100%,7,+17%,C,+17%,,,Huile d'olive vierge,,,,
32,Nature-mix - Cerealitalia - 150g,8010121040764,,['France'],"['mélange de flocons de céréales 52% [flocons de blé 40% corres pondant à 20,8% du produit fini ', 'farine de maïs 92%', 'sucre', 'sel', ""malt d'orge"", 'sirop de glucose', 'antioxydant: extrait riche de tocophérol', 'flocons de blé 20% corres - pondant à 10,49% du produit fini', ""flocons d'avoine 20% correspondant à 10,4% du produit fini"", ""flocons d'orge 20% correspondant à 10,4% du produit fini]"", 'sirop de glucose', 'sucre', 'sucre inverti', 'huile de tournesol', 'humidi - fiant: glycérine végétale', 'émulsifiant: lécithine de soja', 'arômes', ' Peut contenir des traces de fruits à coque']",['Sans huile de palme'],?,341,"5,9",60,"7,2",,"['Snacks', 'Snacks sucrés', 'Barres', 'Barres de céréales']","['Sans conservateurs', 'en:palm-oil-free']",,-19%,-63%,-0%,-4%,,,,,,,,150 g,['Cerealitalia'],,['Gluten'],4,1427 kj(341 kcal),2,"24,4","0,9","0,36",,"['E422 - Glycérol', 'E322i - Lécithine']",5.9 g,en quantité modérée,2 g,en quantité modérée,24.4 g,en quantité élevée,0.9 g,en quantité modérée,-20%,-66%,-10%,+130%,+130%,13,-2%,D,-2%,,,,,,,
33,Mousse de foie qualité supérieure,2262797008203,,['France'],[],[],?,336,32,"1,9",10,,"['Viandes', 'Produits à tartiner', 'Charcuteries', 'Produits à tartiner salés', 'Mousses salées', 'Mousses de foies']","['Viande Française', 'Viande Porcine Française']",,+2%,+4%,-33%,-4%,,,,,,,,,,,,,1406 kj(336 kcal),11,"1,3","1,7","0,68",,,32 g,en quantité élevée,11 g,en quantité élevée,1.3 g,en faible quantité,1.7 g,en quantité élevée,+1%,-4%,-17%,+8%,+8%,21,+8%,E,+8%,,,,,,,
34,Montepulciano d'Abruzzo,8002235021173,,['France'],[],[],?,?,?,?,?,,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins italiens', ""it:Montepulciano d'Abruzzo""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Aiguillettes de poulet - Auchan,2600015030504,,['France'],[],[],?,110,"1,5","0,5",24,D,"['Viandes', 'Volailles', 'Poulets', 'Aiguillettes de poulet']",,,-13%,-19%,-45%,+6%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,['Auchan'],,,,460 kj(110 kcal),"0,5","0,5","0,1","0,04",['Auchan'],,1.5 g,en faible quantité,0.5 g,en faible quantité,0.5 g,en faible quantité,0.1 g,en faible quantité,-12%,+5%,+67%,-77%,-77%,-4,,A,,,"['FR 30.233.001 CE', 'Saint-Bauzély (Gard, France)']",,,,,
36,Joseph Cartron Creme De Cassis,3247421180448,,['France'],[],[],?,?,?,?,?,D,"['Boissons', 'Boissons alcoolisées', 'Liqueurs', 'Crèmes de cassis']",,,,,,,63.1%,4.5%,22.9%,6.4%,2.0%,1.1%,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Haricots verts très fins,3061435002974,,['France'],[],[],?,24,"0,3","2,4","1,6",B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Aliments à base de fruits et de légumes', 'Légumineuses', 'Légumes et dérivés', 'Haricots verts']",,,-11%,+18%,-21%,+1%,71.3%,0.0%,0.0%,9.8%,14.0%,4.9%,95,,,,,,100 kj(24 kcal),"0,1","0,6","0,64","0,256",,,0.3 g,en faible quantité,0.1 g,en faible quantité,0.6 g,en faible quantité,0.64 g,en quantité modérée,-9%,+86%,-36%,+23%,+23%,-3,,A,,,,,,,,
38,Cake au chocolat,3760026381732,,['France'],[],[],?,421,23,48,5,,,"['Agriculture durable', 'Fabriqué en France', 'en:UTZ Certified']",,,,,,,,,,,,,,,,,,1761 kj(421 kcal),10,34,"0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,
39,Heritiers du roy,3326262233053,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Whole Goats Milk,5015326100087,,['France'],[],[],?,61,"3,5","4,3","2,8",,,,,,,,,,,,,,,,,,,,,255 kj(61 kcal),"2,4","4,3","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,
41,Chocolat Lait Miel,3760081901098,,['France'],[],[],?,567,37,52,"6,7",,,,,,,,,,,,,,,,,,,,,2372 kj(567 kcal),22,50,"0,21","0,084",,,,,,,,,,,,,,,,,,,,,,,,,,
42,Côtes du rhône,3142806759014,,['France'],[],[],?,?,?,?,?,C,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français', 'Côtes du Rhône']",,,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['France'],,,,,,
43,Jus de raisin,3554983014112,,['France'],[],[],?,0,0,17,0,,,,,,,,,,,,,,,,,,,,,0 kj(0 kcal),0,15,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Soho Litchi Liqueur 21º -,3047100057159,,"['Australie', 'France', 'Polynésie française']","['Eau', 'sucre', 'alcool', 'extrait de litchi et plantes', 'sirop de glucose', 'arôme', 'acidifiant : acide citrique', 'jus concentré de pomme']",[],?,?,?,?,?,,"['Boissons', 'Boissons alcoolisées']",,,,,,,,,,,,,,,,,,4,,,,0,0,['Woolworths'],['E330 - Acide citrique'],,,,,,,,,,,,-100%,-100%,,,,,,,,,,,
45,Yogurt & Coconut Korma Sauce -  - 450g,5011308519960,,"['France', 'Royaume-Uni']",[],[],?,111,"8,5","6,5","1,5",,"['Epicerie', 'Sauces', 'Korma']",,,-53%,-53%,-34%,-44%,,,,,,,,450 g,,,,,464 kj(111 kcal),"5,5","4,3","0,72","0,288",,,8.5 g,en quantité modérée,5.5 g,en quantité élevée,4.3 g,en faible quantité,0.72 g,en quantité modérée,-53%,+155%,-33%,-70%,-70%,9,-22%,C,-22%,,,,,,,
46,Cornflour,9300601113361,,"['Australie', 'France']",[],[],?,?,?,?,?,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Farines', 'Farines de céréales', 'Amidons', 'Amidons de céréales', 'Amidon de maïs', 'Farines de maïs']",,,,,,,70.6%,1.8%,11.3%,11.7%,4.5%,0.0%,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
