,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,packaging,brand,ingredients_origins,manufacturing,traceability_code,link,markets,allergens,nova_score,additives,origin_detail,generic_name
20,Tomme des pyrennees,2225661018890,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Boisson Amande - Carrefour,15115898,['France'],[],[],?,37,155 kj(37 kcal),"2,4","0,2","3,3","3,2","0,6","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Carrefour'],,,,,['Carrefour'],,,,,
22,Morbier AOP,0209586016737,['France'],[],[],?,363,1519 kj(363 kcal),30,21,"1,3","0,5","2,2","1,58","0,632",D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Morbiers']",,30 g,en quantité élevée,21 g,en quantité élevée,0.5 g,en faible quantité,1.58 g,en quantité élevée,,+3%,+3%,+4%,+8%,+67%,+20%,-90%,+10%,+10%,20,+34%,E,+34%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,['Casino'],,,,,
23,Roasted vegetable and goat's cheese tart - Waitrose,5000169553480,['France'],[],[],?,213,891 kj(213 kcal),"12,9","5,7","18,2","5,9","4,9","0,54","0,216",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Waitrose'],,,,,['Waitrose'],,,,,
24,Les bonbones de grand mère ';Panaché-Mengsel';,5425035310316,"['Belgique', 'France']",[],"['Végétalien', 'Végétarien']",?,394,1648 kj(394 kcal),0,0,98,75,0,0,0,D,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']","['Végétarien', 'Végétalien', 'Fabriqué en Belgique']",0 g,en faible quantité,0 g,en faible quantité,75 g,en quantité élevée,0 g,en faible quantité,,+11%,+10%,-100%,-100%,+18%,+29%,-100%,-100%,-100%,14,-3%,D,-3%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,['Sachet Carton'],['Les bonbones de grand mère'],,['Belgique'],,http://www.bonbonsdegrandmere.be,,,,,,
25,Pfirsiche Gelbfleischig Astoria - Nectalia cieza S.L.,7610029142006,"['France', 'Suisse']",[],[],?,?,,?,,?,,?,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Fruits frais', 'Pêches', 'Pêches fraîches', 'Nectarines']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Barquette Plastique', 'Plastique']",['Nectalia cieza S.L.'],['Espagne'],,,,,,,,,
26,Cream Cheese -,6111246720981,"['France', 'Maroc']",[],[],?,?,,?,,?,,?,,,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte fraîche']",['Lait Fermier'],,,,,,,,,,,,,,,,,,,,,,,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,,,,,
27,Soft Bakes - Harvest Morn,4088600214115,"['France', 'Royaume-Uni']",[],[],?,200,837 kj(200 kcal),"6,7","1,6",30,"9,9","2,7","0,22","0,088",C,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits fourrés']","['Agriculture durable', 'en:UTZ Certified', 'en:utz-certified-cacao']",6.7 g,en quantité modérée,1.6 g,en quantité modérée,9.9 g,en quantité modérée,0.22 g,en faible quantité,,-57%,-58%,-65%,-81%,-55%,-70%,-54%,-60%,-60%,4,-80%,C,-80%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,"['Boite Carton', 'Sachet plastique', 'card-box', 'mixed plastic-packet']",['Harvest Morn'],,,,,,,,,,
28,Grandes Tranches à la Farine Complète -,3760049787214,['France'],[],[],?,281,1176 kj(281 kcal),"4,8","0,4",50,6,"7,1","1,5","0,6",,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains']",,4.8 g,en quantité modérée,0.4 g,en faible quantité,6 g,en quantité modérée,1.5 g,en quantité modérée,,-14%,-15%,-22%,-66%,-9%,+53%,-25%,+17%,+17%,6,+18%,C,+18%,,,,,,,,,['Sachet Plastique'],,,,,,,,,,,
29,Kitkat white,9365055511033,['France'],[],[],?,107,448 kj(107 kcal),"5,3","3,1","12,9","10,4","1,7",,,,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Barres', 'Confiseries chocolatées', 'Barres chocolatées']",,5.3 g,en quantité modérée,3.1 g,en quantité modérée,10.4 g,en quantité modérée,,,,-79%,-79%,-81%,-79%,-77%,-77%,-75%,,,,,,,,,,,,,,,,,,,,,,,,,,
