,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,packaging,brand,ingredients_origins,manufacturing,traceability_code,link,markets,allergens,nova_score,additives,origin_detail,generic_name
1063,Moules de cordes,2006050003822,['France'],[],[],?,?,,?,,?,,?,,,C,"['Produits de la mer', 'Mollusques', 'Moules', 'Moules de corde']",,,,,,,,,,,,,,,,,,,,,,,,50.0%,0.0%,15.2%,14.1%,7.7%,13.0%,56,,,,,,"['FR 35.049.043 CE', 'Cancale (Ille-et-Vilaine, France)']",,,,,,,
1064,"poulet fermier d Auvergne - carrefour - 1,2kg",0215489048027,['France'],['poulet fermier sans OGM'],[],?,?,,?,,?,,?,,,,['A'],['A'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,2 kg",['Plastique'],['Carrefour'],,,,,['Carrefour'],,,,,
1065,Chipolatas supérieures de porc,2654201027816,['France'],[],[],?,213,891 kj(213 kcal),16,"6,5","0,9","0,8",15,"1,8","0,72",E,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Chipolatas']",,16 g,en quantité modérée,6.5 g,en quantité élevée,0.8 g,en faible quantité,1.8 g,en quantité élevée,,-11%,-11%,-15%,-10%,-23%,+27%,-3%,0%,0%,15,-10%,D,-10%,86.2%,9.9%,1.8%,1.2%,0.7%,0.2%,24,,,,,,"['FR 56.094.013 CE', 'Kervignac (Morbihan, France)']",,,,,,,
1066,Roggenmehl Type 997 - Mehlzauber - 1kg,4260039761464,"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1kg,,['Mehlzauber'],,,,,,,,,,
1067,Tomme de Savoie,0210836030502,['France'],[],[],?,?,,?,,?,,?,"1,5","0,6",D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de France', 'Produits de montagne', 'Fromages de montagne', 'Tommes', 'Tomme de Savoie']",,,,,,,,1.5 g,en quantité modérée,,,,,,,,,+9%,+9%,,,,,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,,,,,
1068,Laitue iceberg -,20201862,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1069,Jambon blanc avec couenne,2200387014432,['France'],[],[],?,?,,?,,?,,?,,,E,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs', 'Jambon cuit avec couenne']",,,,,,,,,,,,,,,,,,,,,,,,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,,,,,,,,,,,,,
1070,Andouille de guémené,2227259022968,['France'],[],[],?,267,1117 kj(267 kcal),23,12,"0,5","0,5",16,"2,1","0,84",E,"['Viandes', 'Charcuteries', 'Andouilles', 'Andouilles de Guémené']",,23 g,en quantité élevée,12 g,en quantité élevée,0.5 g,en faible quantité,2.1 g,en quantité élevée,,+7%,+7%,+14%,+19%,+33%,+78%,-2%,-12%,-12%,22,+2%,E,+2%,81.2%,13.0%,3.0%,0.8%,0.4%,1.6%,11,,,,,,,,,,,,,
1071,Miel de sapin,3760282040091,['France'],[],[],?,?,,?,0,?,,?,,,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de sapin']",,,,0 g,en faible quantité,,,,,,,,,-100%,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,,
1072,Bte 4X26G Dose Caramel Vahine,3179140203347,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1073,Confiture de lait - fr:Confiture de lait,3760122677029,['France'],[],[],?,?,,?,,?,,?,0,0,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits à tartiner sucrés', 'Confitures de lait']",,,,,,,,0 g,en faible quantité,,,,,,,,,-100%,-100%,,,,,46.2%,16.3%,23.6%,9.1%,3.8%,1.0%,85,,,['Confiture de lait'],,,,,,,,,,
1074,Chair a saucisse,3365490012818,['France'],[],[],?,170,711 kj(170 kcal),11,"4,3","0,4","0,4",18,"1,9","0,76",E,"['Viandes', 'Charcuteries', 'Saucisses', 'Chair à saucisse']","['Viande Française', 'Viande Porcine Française']",11 g,en quantité modérée,4.3 g,en quantité modérée,0.4 g,en faible quantité,1.9 g,en quantité élevée,,-36%,-35%,-51%,-50%,-65%,-38%,+35%,+14%,+14%,14,-21%,D,-21%,77.3%,16.5%,4.1%,1.3%,0.7%,0.2%,25,,,,,,,,,,,,,
1075,Poulet Rôti Entier,2211242053336,['France'],[],[],?,166,695 kj(166 kcal),"8,4","2,8","0,6","0,6",22,"1,1","0,44",D,"['Viandes', 'Volailles', 'Poulets']",,8.4 g,en quantité modérée,2.8 g,en quantité modérée,0.6 g,en faible quantité,1.1 g,en quantité modérée,,+10%,+10%,+44%,+87%,-70%,+36%,+8%,+28%,+28%,3,+113%,C,+113%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,"['FR 56.017.001 CE', 'Bignan (Morbihan, France)', 'EMB 56017B', 'Bignan (Morbihan, France)']",,['Leader Price'],,,,,
1076,Pavé de gigot d'agneau,3497720367839,['France'],[],[],?,0,0 kj(0 kcal),?,,?,,?,0,0,,"['Viandes', ""Viandes d'agneau"", ""Gigot d'agneau""]",,,,,,,,0 g,en faible quantité,,-100%,-100%,,,,,,-100%,-100%,,,,,,,,,,,,,['Film en plastique'],,,,"['FR 87.085.006 CE', 'Limoges (Haute-Vienne, France)']",,,,,,,
1077,Surimi,56610130,['France'],[],[],?,124,519 kj(124 kcal),"5,3","0,5",11,"3,2","7,5","1,9","0,76",,,"['Pêche durable', 'Pêche durable MSC']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['MSC-C-50183'],,,,,,,
1078,Sirop de fraises de Carpentras,3437340069768,['France'],[],[],?,318,1331 kj(318 kcal),"0,5","0,1",79,79,"0,5",,,B,"['Boissons', 'Sirops', 'Sirops aromatisés', 'Sirops de fraise']",['Sans conservateurs'],,,,,,,,,,+19%,+17%,+401%,+322%,+12%,+16%,+395%,,,,,,,58.3%,8.5%,16.3%,7.9%,7.3%,1.6%,100,,,,,,,,,,,,,
1079,Nhco Nergivix Cassis Pot,3760196530367,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1080,Roti de porc,0200331008465,['France'],[],[],?,?,,?,,?,,?,,,E,"['Viandes', 'Porc', 'Rôtis de porc']",,,,,,,,,,,,,,,,,,,,,,,,77.9%,17.0%,3.2%,1.1%,0.6%,0.2%,21,,,,,,,,,,,,,
1081,"Préparation de viande hachée, Super Moelleux",3350031958342,['France'],[],[],?,189,791 kj(189 kcal),13,"6,3",2,0,16,"0,775","0,31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1082,Chipolatas superieures,2223823033583,['France'],[],[],?,324,1356 kj(324 kcal),"29,1","11,1","0,5","0,5","15,6","1,7","0,68",E,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Chipolatas']",,29.1 g,en quantité élevée,11.1 g,en quantité élevée,0.5 g,en faible quantité,1.7 g,en quantité élevée,,+36%,+36%,+54%,+54%,-57%,-21%,+1%,-6%,-6%,21,+27%,E,+27%,86.2%,9.9%,1.8%,1.2%,0.7%,0.2%,24,,,,,,,,,,,,,
1083,Datte fourrées à la pâte d'amande,2600104019090,['France'],[],[],?,?,,?,,?,,?,,,,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Confiseries aux fruits', 'Dattes fourrées', ""Dattes fourrées à la pate d'amandes""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1084,Fromage blanc au lait de brebis,58596043,['France'],[],[],?,90,377 kj(90 kcal),"4,5","3,2",5,3,"7,4","0,13","0,052",C,"['Produits laitiers', 'Desserts', 'Produits fermentés', 'Produits laitiers fermentés', 'Desserts lactés', 'Fromages blancs', 'Fromages blancs au lait de brebis', 'Fromage blanc de brebis']",,4.5 g,en quantité modérée,3.2 g,en quantité modérée,3 g,en faible quantité,0.13 g,en faible quantité,,-4%,-4%,-12%,-7%,-5%,-24%,+17%,+26%,+26%,0,-100%,B,-100%,68.4%,19.8%,4.5%,4.0%,2.6%,0.7%,70,,,,,,"['FR 33.448.002 CE', ""Saint-Médard-d'Eyrans (Gironde, France)""]",,,,,,,
1085,Sirop de menthe verte naturelle,5251088125160,['France'],[],[],?,?,,?,,?,60,?,0,0,B,"['Boissons', 'Sirops', 'Sirops aromatisés', 'Sirops de menthe']",,,,,,,,,,,,,,,,+1%,,-100%,-100%,,,,,58.3%,8.5%,16.3%,7.9%,7.3%,1.6%,100,,,,,,,,,,,,,
1086,Huile de coco vegan et bio,3770013789069,['France'],[],[],?,900,3766 kj(900 kcal),100,100,0,0,0,0,0,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', 'Huiles', 'Huiles de fruits et graines de fruits', 'Huiles de coco']",['Bio'],100 g,en quantité élevée,100 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,,+5%,+5%,+3%,+18%,-100%,-100%,-100%,-100%,-100%,20,+3%,E,+3%,,,,,,,,,,,,,,,,,,,,
1087,Tortiglioni - Carrefour - 500g,3560071275907,['France'],[],[],?,354,1481 kj(354 kcal),"1,3","0,3",72,"1,5",12,"0,2","0,08",C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Pâtes sèches', 'Pâtes de blé dur', 'Tortiglioni']","['Nutriscore', 'Nutriscore A']",1.3 g,en faible quantité,0.3 g,en faible quantité,1.5 g,en faible quantité,0.2 g,en faible quantité,,0%,+0%,-13%,+3%,+10%,-51%,-5%,+2318%,+2318%,-4,,A,,65.0%,21.6%,6.8%,3.5%,3.1%,0.0%,74,500 g,,['Carrefour'],,,,,['Carrefour'],,,,,
1088,Red pepper & cashew spread - 130g,5032722316591,['France'],[],[],?,181,757 kj(181 kcal),13,"1,9",12,"6,2","3,4","1,3","0,52",,,['Agriculture UE/Non UE'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130 g,"['glass-jar', 'lid']",,,,,,,,,,,
1089,BLEDINA BLEDINER Mijoté de Légumes et Quinoa 2x200g Dès 12 Mois - 400g,3041091550590,['France'],"['Lait écrémé reconstitué à base de lait en poudre 34,0 % ', 'LAIT', ' - Carottes 18,7 % - Quinoa 12,0 % - Panais - Navets 8,00 % - Oignons - Petits pois 4,00 % - Poireaux - Amidon de maïs - Huiles végétales ', 'colza', 'tournesol', ' - Persil - Sel - Thym - Ail - Laurier']",['Non végétalien'],272,65,272 kj(65 kcal),"1,8","0,2","8,8","3,2","2,3","0,17","0,068",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400 g,,"['Blédina', 'Blediner']",,,,,,['Lait'],,,,Plat à base de légumes adapté à bébé.
1090,Poivre noir en Grains - 55g,3265960812262,['France'],[],[],?,?,,?,,?,,?,,,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices', 'Poivres', 'Graines de poivre', 'Poivres noirs', 'Poivre noir en grains']",,,,,,,,,,,,,,,,,,,,,,,,41.9%,0.0%,34.8%,11.8%,11.5%,0.0%,94,55 g,,,,,,,,,,,,
1091,Friandises Haleine Fraiche Dents Saines Chat,3700654000179,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1092,Sirop orgeat,34656167,['France'],[],[],?,100,418 kj(100 kcal),0,0,81,81,0,,,B,"['Boissons', 'Sirops', 'Sirops aromatisés', ""Sirops d'orgeat""]",,,,,,,,,,,-63%,-64%,-100%,-100%,+22%,+24%,-100%,,,,,,,58.3%,8.5%,16.3%,7.9%,7.3%,1.6%,100,,,,,,,,,,,,,
1093,Delice de tomate séchées - Les mets de Provence,3337730902425,['France'],[],[],?,?,,?,,?,,?,,,,"['Produits à tartiner', 'Produits à tartiner salés', 'en:Dried tomatoes spreads', 'en:Tomato spreads']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Les mets de Provence'],,,,,,,,,,
1094,Cannelloni à la bolognaise - Auchan,3596710481392,['France'],[],[],?,137,573 kj(137 kcal),6,"1,6",13,"3,6","7,1","0,63","0,252",,"['Plats préparés', 'Plats à base de pâtes', 'Pâtes farcies', 'Cannelloni préparés']","['Sans colorants', 'Sans conservateurs', 'Nutriscore', 'Nutriscore A']",6 g,en quantité modérée,1.6 g,en quantité modérée,3.6 g,en faible quantité,0.63 g,en quantité modérée,,-12%,-10%,+16%,-25%,-20%,+24%,+13%,-19%,-19%,-1,-140%,A,-140%,,,,,,,,,,['Auchan'],,,,,['Auchan'],,,,,
1095,Sommeil weleda,3596200010187,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1096,Haricot vert fins - Carrefour,11115397,['France'],[],[],?,23,96 kj(23 kcal),?,,"2,2",1,"1,6","0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Carrefour'],,,,,['Carrefour'],,,,,
1097,Bronzage sublime,3456300012682,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1098,Vitamin C For Guinea Pigs Beaphar Tablets,8711231156184,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1099,Graine de chia - Markal,3329488061004,['France'],[],[],?,450,1883 kj(450 kcal),"31,4","12,2","3,8",0,"22,2",,,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Chia']","['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-01', 'IT-BIO-007']",31.4 g,en quantité élevée,12.2 g,en quantité élevée,0 g,en faible quantité,,,,+0%,+1%,+2%,+291%,-68%,-100%,+10%,,,,,,,88.0%,0.0%,4.6%,2.4%,3.1%,1.9%,35,,['Sachet en plastique'],['Markal'],,,,,,,,,,
1100,Colin d'Alaska - 200g,17627634,['France'],[],[],?,199,833 kj(199 kcal),"7,9","0,8",19,"0,5",12,"0,8","0,32",,,"['Pêche durable', 'Pêche durable MSC']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200 g,,,,,['MSC-C-50004'],,,,,,,
1101,Graine de chia,0205151009777,['France'],[],[],?,?,,?,,?,,?,,,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Chia']",,,,,,,,,,,,,,,,,,,,,,,,88.0%,0.0%,4.6%,2.4%,3.1%,1.9%,35,,,,,,,,,,,,,
1102,Cake de riz courgettes et olives noires - Légendes Gourmandes,3760155985320,['France'],[],[],?,356,1490 kj(356 kcal),"6,2","0,97",63,"6,6","9,4","0,69","0,276",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Légendes Gourmandes'],,,,,,,,,,
1103,Sel tomate basilic - Légendes Gourmandes,3760155981018,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Légendes Gourmandes'],,,,,,,,,,
1104,Preparation a base de sucre a la pistache - Légendes Gourmandes,3760155980103,['France'],[],[],?,398,1665 kj(398 kcal),"0,5","0,1",99,98,"0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Légendes Gourmandes'],,,,,,,,,,
1105,Huile de coco,5013635102532,['France'],[],[],?,899,3761 kj(899 kcal),"99,9","86,5",0,0,0,0,0,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', 'Huiles', 'Huiles de fruits et graines de fruits', 'Huiles de coco']",,99.9 g,en quantité élevée,86.5 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,,+5%,+5%,+3%,+2%,-100%,-100%,-100%,-100%,-100%,20,+3%,E,+3%,,,,,,,,,,,,,,,,,,,,
1106,Thon entier à l'huile d'olive,6884661700974,['France'],[],[],?,?,,?,,?,,?,,,E,"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Thons', 'Thons en conserve', ""Thons à l'huile"", ""Thons à l'huile d'olive""]",,,,,,,,,,,,,,,,,,,,,,,,66.2%,13.9%,12.9%,6.2%,0.4%,0.4%,22,,,,,,,,,,,,,
1107,TRS Cumin (whole Jeera) - 400G - 400.0g,5017689013332,"['France', 'Suisse']",[],[],?,0,0 kj(0 kcal),?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400.0 g,['Produkt'],,,,,,,,,,,
1108,Spiruline  bio du ningxia,3760276665002,['France'],[],[],?,?,,?,,?,,?,,,E,"['Compléments alimentaires', 'Spiruline']",['Bio'],,,,,,,,,,,,,,,,,,,,,,,53.3%,42.5%,1.8%,1.6%,0.8%,0.0%,25,,,,,,,,,,,,,
1109,Écrasé de pommes de terre vitelotte - Thiriet - 450g,3292590832346,['France'],[],[],?,222,929 kj(222 kcal),18,"9,4",14,"1,5","1,5","0,59","0,236",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450 g,,['Thiriet'],,,,,['Thiriet'],,,,,
1110,Saucisses de volaille,2446912043953,['France'],[],[],?,?,,?,,?,,?,,,E,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses de volaille']",,,,,,,,,,,,,,,,,,,,,,,,88.4%,6.6%,1.6%,0.9%,0.5%,2.0%,17,,,,,,,,,,,,,
1111,Saucisses de volaille,2444022027948,['France'],[],[],?,139,582 kj(139 kcal),"7,1",2,"0,3","0,3",18,"1,7","0,68",E,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses de volaille']",['Bio'],7.1 g,en quantité modérée,2 g,en quantité modérée,0.3 g,en faible quantité,1.7 g,en quantité élevée,,-23%,-24%,-40%,-45%,-76%,-42%,+9%,-4%,-4%,4,-59%,C,-59%,88.4%,6.6%,1.6%,0.9%,0.5%,2.0%,17,,,,,,,,,,,,,
1112,Petit pois carotte - Origine France - 130g,9183049,['France'],[],[],?,56,234 kj(56 kcal),"0,4","0,1","8,4","3,2","2,8","0,6","0,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130g,,['Origine France'],,,,,,,,,,
1113,Lorina limonade gourmet framboise,3551720033047,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1114,Jambon cuit supérieur avec couenne,3701278701718,['France'],[],[],?,0,0 kj(0 kcal),?,,?,,?,,,E,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs', 'Jambon avec couenne', 'Jambon cuit avec couenne', 'Jambon supérieur avec couenne']",,,,,,,,,,,-100%,-100%,,,,,,,,,,,,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,,,,,,,,,,,,,
1115,Emmental Français Râpé Páturages,3250321150589,['France'],[],[],?,369,1544 kj(369 kcal),29,20,"0,5","0,5",27,"0,7","0,28",D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de vache', 'Emmentals', 'Fromages de France', 'Emmentals français']",['Nutriscore'],29 g,en quantité élevée,20 g,en quantité élevée,0.5 g,en faible quantité,0.7 g,en quantité modérée,,-3%,-2%,-2%,+1%,-18%,+6%,-3%,+19%,+19%,12,+7%,D,+7%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,,
1116,Cacahouète grillées - Alesto - 200g,02458960,['France'],[],[],?,?,,?,,?,,?,,,C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Produits à tartiner', 'Produits à tartiner salés', 'Matières grasses à tartiner', 'Matières grasses végétales', 'Pâtes à tartiner végétales', 'Margarines', 'Matière grasse mélangée végétale et laitière à 50-63% MG demi-sel']",,,,,,,,,,,,,,,,,,,,,,,,86.7%,4.4%,3.2%,3.2%,1.9%,0.5%,55,200g,['Bleu'],['Alesto'],,,,,,,,,,
1117,Véritable andouille de Guemene,0211490015355,['France'],[],[],?,252,1054 kj(252 kcal),"20,6",10,"1,1","0,5","15,4","2,74","1,096",E,"['Viandes', 'Charcuteries', 'Andouilles', 'Andouilles de Guémené']",,20.6 g,en quantité élevée,10 g,en quantité élevée,0.5 g,en faible quantité,2.74 g,en quantité élevée,,+1%,+1%,+2%,-1%,+193%,+78%,-6%,+15%,+15%,22,+2%,E,+2%,81.2%,13.0%,3.0%,0.8%,0.4%,1.6%,11,,['Barquette en plastique'],,,,"['FR 56.010.004 CE', 'Baud (Morbihan, France)']",,,,,,,
1118,Pavés d autruche,2212130070657,['France'],[],[],?,?,,?,,?,,?,0,0,,"['Viandes', 'Autruche', ""Pavés d'autruche""]",,,,,,,,0 g,en faible quantité,,,,,,,,,-100%,-100%,,,,,,,,,,,,,,,,,,,,,,,,
1119,Pileje Feminabiane SPM 80 Gelules (micronutritional Products),3401553707823,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1120,Fritons de canard,3416360008346,['France'],[],[],?,?,,?,,?,,?,,,,"['Friton de canard', 'Fritons de canard']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1121,Chipolatas sans colorant - André Loussouarn,3449480008484,['France'],[],[],?,257,1075 kj(257 kcal),"21,7","8,2","0,8","0,8","14,5","1,72","0,688",E,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Chipolatas']",['Sans colorants'],21.7 g,en quantité élevée,8.2 g,en quantité élevée,0.8 g,en faible quantité,1.72 g,en quantité élevée,,+8%,+8%,+15%,+14%,-32%,+27%,-6%,-4%,-4%,18,+8%,D,+8%,86.2%,9.9%,1.8%,1.2%,0.7%,0.2%,24,,,['André Loussouarn'],,,,,,,,,,
1122,Solleone bio tomate - 290g,7640164488967,['France'],[],[],?,266,1113 kj(266 kcal),"4,4","0,6","4,8","2,8","0,8","1,5","0,6",,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290 g,,['Solleone'],,,,,,,,,,
1123,Mojito -,2602833,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1124,French Slightly Salted Butter,3228023050353,['France'],[],[],?,734,3071 kj(734 kcal),81,57,"0,5","0,5","0,7","1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['wrapper'],,,,,,,,,,,
1125,6 chipolatas superieures aux herbes - 330g,2006050003860,['France'],[],[],?,264,1105 kj(264 kcal),22,"7,7","1,4","0,8",15,"1,3","0,52",E,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Chipolatas', 'Chipolatas aux herbes']",,22 g,en quantité élevée,7.7 g,en quantité élevée,0.8 g,en faible quantité,1.3 g,en quantité modérée,,+6%,+6%,+9%,+0%,+10%,+29%,0%,-27%,-27%,15,-13%,D,-13%,86.2%,9.9%,1.8%,1.2%,0.7%,0.2%,24,330 g,,,,,"['FR 22.093.001 CE', ""Lamballe (Côtes-d'Armor, France)"", 'EMB 22093C', ""Lamballe (Côtes-d'Armor, France)""]",,,,,,,
1126,Les fleuries pomme coing fleur de sureau - Vitabio,3288130120325,['France'],[],[],?,59,247 kj(59 kcal),"0,2",0,13,12,"0,3",,,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Vitabio'],,,,,,,,,,
1127,Sorbet Mirabelle de Lorraine - Thiriet,3292590516055,['France'],[],[],?,92,385 kj(92 kcal),~ 0,~ 0,28,21,~ 0,~ 0,0,C,"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Sorbets', 'Sorbets à la mirabelle']","['Sans arômes artificiels', 'Sans colorants']",0 g,en faible quantité,0 g,en faible quantité,21 g,en quantité élevée,0 g,en faible quantité,,-28%,-29%,-100%,-100%,-9%,-20%,-100%,-100%,-100%,4,-18%,C,-18%,79.1%,7.1%,4.2%,4.2%,3.4%,2.0%,56,,,['Thiriet'],,,,,['Thiriet'],,,,,
1128,EMMENTAL Français,0205254016405,['France'],[],[],?,382,1598 kj(382 kcal),30,20,"0,5","0,5",28,"0,5","0,2",D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de vache', 'Emmentals', 'Fromages de France', 'Emmentals français']",,30 g,en quantité élevée,20 g,en quantité élevée,0.5 g,en faible quantité,0.5 g,en quantité modérée,,+1%,+1%,+2%,+1%,-18%,+6%,+1%,-15%,-15%,11,-2%,D,-2%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,,
1129,Asperge verte,3527110000500,['France'],[],[],?,?,,?,,?,,?,,,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Légumes tiges', 'Asperges', 'Asperges vertes']",,,,,,,,,,,,,,,,,,,,,,,,87.5%,0.0%,0.0%,5.2%,5.7%,1.5%,80,,,,,,,,,,,,,
1130,Highlights Milk Hot Chocolate,96033197,['France'],[],[],?,345,1443 kj(345 kcal),11,"8,7",37,27,17,"3,39","1,356",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1131,Curcuma 300 MG - 60 Capsules - Solaray,0076280598780,['France'],[],[],?,0,0 kj(0 kcal),?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1132,Protéine pancake mix maple - Bulkpowders - 500g,000084796,['France'],[],[],?,366,1531 kj(366 kcal),"2,3","0,5","13,8","1,8",72,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500 g,,['Bulkpowders'],,,,,,,,,,
1133,Palmiers par 4 - E.Leclerc,3000000200148,['France'],[],[],?,400,1674 kj(400 kcal),25,16,37,11,"4,8",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['E.Leclerc'],,,,,,,,,,
