,name,bar_code,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,allergens,nova_score,additives,quantity,traceability_code,packaging,manufacturing,generic_name,markets,ingredients_origins,link,palm_ingredients,brand_owner
1168,Iron Force Protein Chocolat - 750 G - STC Nutrition,3700225605109,['Stc nutrition'],['France'],"['Ingrédi* : Complexe protidiqtAelâit Pure ', 'isolat de protéines de lactosetllm ""ion exchangeP', 'poudre de lait écrémé', 'h drolysat de protéines lactòsérumt émulsifiants : lécithines de sop ', 'tournesol', ' complexe PioPower@ ', 'Créatine', 'Glutamine', 'Taurine', 'AMINOLISE@ 5% ', 'fructo-oligosaccharides ', ' extrait de riz riche en amylase', 'protéase lactase lipase', 'cellulase • ferments lactiques : Lactobacillus acidophi', 'us', 'Laclobacillüs casei', 'Sireptococcus lactis', 'Bifidobacterium bifidum ', ""extraits d'ananas titre en bromélaïne et de papave titré en papaïne"", ' maltodextrioes', 'pçudre de cacao maiare ', 'émulsifiant : ', 'écithine de sucralose ', "" 'coidran{ : bètacàrotène "", 'VAN', ' SANS ASPARTAME']",['Non végétalien'],?,305,1276 kj(305 kcal),"2,3",1,38,27,36,"0,7","0,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Kascher', 'Sans aspartame', 'en:Orthodox Union Kosher']",,4,"['E322i - Lécithine', 'E1101 - Protéases']",,,,,,,,,,
1169,STC Nutrition Kill-fit Boisson Spécial Fitness,3700225605307,['STC nutrition'],['France'],"['Eau / water', 'arômes / flavours', 'Taurine', ""correcteurs d'acidiv"", 'malique / malic acid', 'acide citrique / citric acid ', ' Extraits de Plantes/ caféine / Guarana tittated in caffeine', 'Thé rouge / Red tea', 'Thé vert / acide chlorogénique / Green coffee extract titrated in chlorogenic acid ?fine', 'silice / silica', ' ', ' L-carnitine', ' ', 'CarnipureTM', 'conservateurs / preservatives ', ' potassium sorbate ', ' caféine / caffein', 'édulcorants / sweeteners : acésulfame de sacesulfam', 'sucralose ', ' Vitamin', 'e', ' C', 'Sans aspartame *Aspartame free NUTRITIONNELLES MOYENNES / NUTRITION FACTS -']",['Non végétalien'],?,0,0 kj(0 kcal),0,0,"0,3",0,"0,2","0,01","0,004",,"['Boissons', 'Boissons édulcorées']",0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0.01 g,en faible quantité,,-100%,-100%,-100%,-100%,-89%,-100%,+57%,-71%,-71%,0,-100%,B,-100%,,,,,,,,['Label Rouge'],,4,"['E296 - Acide malique', 'E330 - Acide citrique', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E955 - Sucralose']",,,,,,,,,,
1170,Soupe aux choux vegan,3700225623998,,['France'],[],"['Végétalien', 'Végétarien']",?,334,1397 kj(334 kcal),"1,2","0,2",32,"6,1",44,"2,8","1,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Végétarien', 'Végétalien', 'Sans conservateurs']",,,,,,,,,,,,,
1171,Artrobiol Plus - 120 Gélules - Ineldea Santé Naturelle,3700225640735,,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['en:gluten-free'],,,,,,,,,,,,,
1172,Musculine - Abbaye Des Dombes - 250g,3700225900075,['Abbaye Des Dombes'],['France'],"['Boeuf origine France ', '49%', 'confiture de coings', 'sucre', 'miel', ""confiture d'oranges"", 'vitamine B1', 'arôme naturel orange']","['Non végétalien', 'Non végétarien']",?,336,1406 kj(336 kcal),"1,7","0,7","68,4","62,6","15,4","0,03","0,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,250 g,,,,,,,,,
1173,Pur jus d'orange bio - Coeur de nature  - 1litre,3700232016141,['Coeur de nature'],['France'],[],[],?,?,,?,,?,,?,,,D,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', ""Jus d'orange"", 'Jus de fruits pur jus', ""Jus d'orange pur jus""]",,,,,,,,,,,,,,,,,,,,,,,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,['Bio'],,,,1 litre,"['EMB 47157', 'Marmande (Lot-et-Garonne, France)']",,,,,,,,
1174,Sornin - Les Brasseurs du Sornin - 33cl,3700232020339,['Les Brasseurs du Sornin'],['France'],"['Eau', ""malts d'orges "", 'orge cultivée dans la région', 'avoine', 'houblons', 'levure']",[],?,?,,?,,?,,?,,,B,"['Boissons', 'Boissons alcoolisées', 'Produits artisanaux', 'Bières', 'Alcools artisanaux', 'Bières ambrées', 'Bières artisanales']",,,,,,,,,,,,,,,,,,,,,,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,,"['Gluten', 'Avoine']",3,,33 cl,,"['Bouteille', 'Verre']",,Bière artisanale ambrée,,"['France', 'Loire', 'Pouilly-sous-Charlieu']",,,
1175,Cornichons - Boucherie Française - 685g,3700238303764,['Boucherie Française'],['France'],[],[],?,21,88 kj(21 kcal),"0,2",0,3,2,"0,9","1,9","0,76",,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Pickles', 'Légumes et dérivés', 'Légumes en conserve', ""Pickles d'origine végétale"", 'Pickles de légumes', 'Pickles de concombres', 'Cornichons']",0.2 g,en faible quantité,0 g,en faible quantité,2 g,en faible quantité,1.9 g,en quantité élevée,,-22%,-18%,-32%,-100%,-13%,-23%,-11%,+10%,+10%,3,+38%,C,+38%,,,,,,,,,,,,685 g,,,,,,,,,
1176,Confit de figues - Jean d'Audignac,3700238304310,"[""Jean d'Audignac""]",['France'],"['Figues 60%', 'sucre', 'vinaigre de vin rouge', 'jus de citron concentré', 'pectines', 'sel', 'poivre']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,203,849 kj(203 kcal),"0,5","0,1",48,48,"0,8","0,13","0,052",,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Chutneys de fruit', 'Confits de figues']",0.5 g,en faible quantité,0.1 g,en faible quantité,48 g,en quantité élevée,0.13 g,en faible quantité,,+6%,+5%,-9%,-32%,+10%,+16%,-8%,-70%,-70%,11,+38%,D,+38%,,,,,,,,,,4,['E440 - Pectines'],,,,,,,,,,
1177,Polenta truffée -,3700238305461,,['France'],[],[],?,336,1406 kj(336 kcal),1,"0,1","73,8","0,5","6,6","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1178,Flageolets verts extra fins - 420g,3700238305706,,['France'],[],[],?,87,364 kj(87 kcal),"0,7","0,1","11,5","0,5","5,5","0,68","0,272",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,420 g,,,,,,,,,
1179,Petits Pois extra-fins à l'étuvée,3700238306253,,['France'],[],[],?,72,301 kj(72 kcal),"0,6","0,1","8,7","4,1","4,7","0,7","0,28",B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Conserves', 'Aliments à base de fruits et de légumes', 'Légumineuses', 'Aliments à base de plantes en conserve', 'Légumes et dérivés', 'Légumes en conserve', 'Légumineuses en conserve', 'Petits pois', 'Petits pois en conserve']",0.6 g,en faible quantité,0.1 g,en faible quantité,4.1 g,en faible quantité,0.7 g,en quantité modérée,,-5%,-6%,-13%,-34%,-14%,+24%,-3%,+26%,+26%,-4,,A,,37.9%,30.3%,14.5%,7.3%,4.0%,5.9%,85,,,,,,,,,,,,,,
1180,Jus orange carotte citron - Jean D'audignac,3700238306666,"[""Jean D'audignac""]",['France'],"[""Jus d'orange carotte ciron base de jus concentres "", '49%', 'pomme', 'ananas', 'à base de concentrés', 'vitamine C et E']",[],?,49,205 kj(49 kcal),0,0,11,11,"0,5",0,0,,['Boissons'],0 g,en faible quantité,0 g,en faible quantité,11 g,en quantité élevée,0 g,en faible quantité,,-12%,-15%,-100%,-100%,-3%,+17%,+1%,-100%,-100%,15,+96%,E,+96%,,,,,,,,['en:gluten-free'],,1,,,,,,,,,,,
1181,Preparation pour riz cantonnais,3700238308103,,['France'],[],[],?,351,1469 kj(351 kcal),"1,4",1,"77,4","0,6","7,7",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1182,Palets Bretons,3700238309070,,['France'],[],[],?,488,2042 kj(488 kcal),"21,6","14,1",68,"28,8","1,3","0,7","0,28",C,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits sablés', 'Palets']",21.6 g,en quantité élevée,14.1 g,en quantité élevée,28.8 g,en quantité élevée,0.7 g,en quantité modérée,,-2%,-2%,-15%,-14%,+12%,+11%,-78%,-20%,-20%,25,+4%,E,+4%,80.5%,11.6%,3.5%,2.3%,2.1%,0.0%,56,,,,,,,,,,,,,,
1183,Petit Beurre - Canto,3700238309087,['Canto'],['France'],"['Farine de froment ', 'blé', 'beurre ', 'lait', ' 11%', 'sucre', 'oeuf', 'poudre de lait', 'sel de Guérande', 'poudre à lever ', ""bicarbonate de sodium et bicarbonate d'ammonium""]","['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,324,1356 kj(324 kcal),"12,6","10,8","73,1","27,6","6,5",1,"0,4",C,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Petits beurres']",12.6 g,en quantité modérée,10.8 g,en quantité élevée,27.6 g,en quantité élevée,1 g,en quantité modérée,,-32%,-32%,-32%,-8%,+7%,-2%,-8%,+29%,+29%,24,+11%,E,+11%,75.0%,14.2%,4.8%,3.0%,2.9%,0.0%,71,,"['Œufs', 'Gluten', 'Lait']",3,"['E500ii - Carbonate acide de sodium', ""E503ii - Carbonate acide d'ammonium""]",,,,,,,,,,
1184,Jus de tomate salé à 3g/l,3700238309254,,['France'],[],[],?,23,96 kj(23 kcal),0,0,"4,6","4,3","0,6","0,3","0,12",,"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Boissons à base de végétaux', 'Aliments et boissons à base de légumes', 'Légumes et dérivés', 'Jus et nectars', 'Tomates et dérivés', 'Boissons aux légumes', 'Jus de légumes', 'Jus de tomates']",0 g,en faible quantité,0 g,en faible quantité,4.3 g,en quantité modérée,0.3 g,en quantité modérée,,+15%,+17%,-100%,-100%,+25%,+34%,-20%,-29%,-29%,-2,,B,,,,,,,,,,,,,,,,,,,,,,
1185,Tomato Ketchup - BF - 340g,3700238309315,['BF'],['France'],"['Purée de tomate', 'Sirop de glucose - fructose', ""Vinaigre d'alcool"", 'Sucre', 'Sel', 'Amidon transformé de maïs', 'Arômes naturels', 'Acidifiant : acide citrique', ""Arôme naturel d'oignon""]","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",?,110,460 kj(110 kcal),"0,1","0,04","25,3",22,"1,3","2,6","1,04",B,"['Epicerie', 'Sauces', 'Sauces tomate', 'Ketchup', 'Ketchup de tomate']",0.1 g,en faible quantité,0.04 g,en faible quantité,22 g,en quantité élevée,2.6 g,en quantité élevée,,+2%,+2%,-42%,-35%,+17%,+16%,-2%,+53%,+53%,14,+23%,D,+23%,37.2%,25.2%,17.2%,12.9%,5.9%,1.6%,94,,,4,"['E14XX - Amidons modifiés', 'E330 - Acide citrique']",340 g,,,,,,,,,
1186,Tomato ketchup,3700238309322,,['France'],[],[],?,468,1958 kj(468 kcal),"0,1","0,04","25,3",22,"1,3","2,6","1,04",B,"['Epicerie', 'Sauces', 'Sauces tomate', 'Ketchup', 'Ketchup de tomate']",0.1 g,en faible quantité,0.04 g,en faible quantité,22 g,en quantité élevée,2.6 g,en quantité élevée,,+333%,+332%,-42%,-35%,+17%,+16%,-2%,+53%,+53%,19,+67%,E,+67%,37.2%,25.2%,17.2%,12.9%,5.9%,1.6%,94,,,,,,,,,,,,,,
1187,3700238310144,3700238310144,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 47.326.015 CE', 'Virazeil (Lot-et-Garonne, France)', 'EMB 47326B', 'Virazeil (Lot-et-Garonne, France)']",,,,,,,,
1188,Coulis de framboise 100% naturel - Jean d'Audignac,3700238310328,"[""Jean d'Audignac""]",['France'],"['Framboise 70%', 'sucre', 'gélifiant: agar-agar']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,150,628 kj(150 kcal),"0,1","0,1","36,5","35,7","0,6","0,01","0,004",,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Sauces', 'Sauces dessert', 'Coulis de fruits', 'Coulis de framboise']",0.1 g,en faible quantité,0.1 g,en faible quantité,35.7 g,en quantité élevée,0.01 g,en faible quantité,,+15%,+14%,-64%,+253%,+30%,+36%,-32%,-38%,-38%,6,+135%,C,+135%,,,,,,,,,,4,['E406 - Agar-agar'],,,,,,,,,,
1189,Sirop saveur myrtille,3700238310632,,['France'],[],[],?,254,1063 kj(254 kcal),0,0,"62,6","62,6","0,12",,,B,"['Boissons', 'Sirops', 'Sirops aromatisés', 'Sirops de myrtille']",,,,,,,,,,-16%,-16%,-100%,-100%,-15%,-10%,+42%,,,,,,,58.3%,8.5%,16.3%,7.9%,7.3%,1.6%,100,,,,,,,,,,,,,,
1190,Cornichons - Les Impeccables,3700238311202,['Les Impeccables'],['France'],"['Pickles', 'Water Vìnegar', 'Salt', 'Ot71bns', ' Itustardseeds Estragon', 'Aromas', ' Contains sulphites', 'mustardseeds']",[],?,21,88 kj(21 kcal),"0,2",0,3,2,"0,9","1,9","0,76",,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Pickles', 'Légumes et dérivés', 'Légumes en conserve', ""Pickles d'origine végétale"", 'Pickles de légumes', 'Pickles de concombres', 'Cornichons']",0.2 g,en faible quantité,0 g,en faible quantité,2 g,en faible quantité,1.9 g,en quantité élevée,,-22%,-18%,-32%,-100%,-13%,-23%,-11%,+10%,+10%,2,-8%,B,-8%,,,,,,,,,,,,,,,,,,,,,
1191,Pâté de magret de canard fumé cuisiner dans le Sud-Ouest,3700238313374,,['France'],[],[],?,239,1000 kj(239 kcal),20,"7,6","0,5","0,5",15,"1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1192,ravioli,3700238316139,,['France'],[],[],?,466,1950 kj(466 kcal),"3,7","0,7","15,7","5,8","3,2",1,"0,4",,"['Plats préparés', 'Plats à base de pâtes', 'Pâtes farcies', 'Ravioli']",3.7 g,en quantité modérée,0.7 g,en faible quantité,5.8 g,en quantité modérée,1 g,en quantité modérée,,+152%,+151%,-31%,-66%,-37%,+118%,-57%,+1%,+1%,9,+121%,C,+121%,,,,,,,,,,,,,,,,,,,,,
1193,Pain d’epices en tranches pur miel 57% - Canto,3700238317228,['Canto'],['France'],[],[],?,328,1372 kj(328 kcal),"0,8","0,2",76,47,"2,9","0,57","0,228",B,"['Biscuits et gâteaux', ""Pains d'épices""]",0.8 g,en faible quantité,0.2 g,en faible quantité,47 g,en quantité élevée,0.57 g,en quantité modérée,,-3%,-3%,-77%,-84%,+7%,+16%,-33%,+31%,+31%,16,+13%,D,+13%,61.5%,18.9%,9.5%,5.0%,5.0%,0.0%,90,['Bio'],,,,,,,,,,,,,
1194,Sauce vinaigrette au vinaigre de cidre - Jean d'Audignac,3700238317259,"[""Jean d'Audignac""]",['France'],[],[],?,485,2029 kj(485 kcal),52,"5,5","0,7",0,"1,5","2,6","1,04",D,"['Epicerie', 'Sauces', 'Sauces salades', 'Vinaigrettes']",52 g,en quantité élevée,5.5 g,en quantité élevée,0 g,en faible quantité,2.6 g,en quantité élevée,,+34%,+35%,+41%,+46%,-85%,-100%,+156%,+35%,+35%,21,+41%,E,+41%,80.2%,9.6%,5.0%,3.2%,1.6%,0.4%,49,,,,,,,,,,,,,,
1195,Moutarde bio au piment d'espelette - Jean d'Audignac,3700238318072,"[""Jean d'Audignac""]",['France'],[],[],?,182,761 kj(182 kcal),13,"1,1",11,"5,8","6,9","5,07","2,028",B,"['Epicerie', 'Condiments', 'Sauces', 'Moutardes']",13 g,en quantité modérée,1.1 g,en faible quantité,5.8 g,en quantité modérée,5.07 g,en quantité élevée,,+7%,+7%,+20%,+34%,+59%,+50%,+5%,+8%,+8%,14,+21%,D,+21%,57.4%,14.5%,21.8%,4.8%,1.5%,0.0%,75,"['Bio', 'AOP']",,,,,,,,,,,,,
1196,Sauce tomate grand mere,3700238319895,,['France'],[],[],?,46,192 kj(46 kcal),"1,9","0,3",4,"3,6","1,8","0,7","0,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1197,Palmiers pur beurre aux olives noires bio - Jean d'Audignac - 60g,3700238320549,"[""Jean d'Audignac""]",['France'],[],[],?,509,2130 kj(509 kcal),28,18,54,"1,6","8,5","2,7","1,08",B,"['Snacks', 'Snacks salés', 'Apéritif', 'Biscuits apéritifs', 'Palmiers salés', 'Palmiers apéritifs']",28 g,en quantité élevée,18 g,en quantité élevée,1.6 g,en faible quantité,2.7 g,en quantité élevée,,-1%,-2%,-5%,-6%,+7%,+10%,-20%,-5%,-5%,26,+4%,E,+4%,60.4%,21.2%,8.3%,6.3%,3.8%,0.0%,82,"['Bio', 'Bio européen']",,,,60 g,,,,,,,,,
1198,Purée en flocons de pommes de terre au lait écrémé -,3700238323557,,['France'],[],[],?,374,1565 kj(374 kcal),"1,1","0,7","76,2","13,1","12,4","0,68","0,272",B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Plats préparés', 'Produits déshydratés', 'Produits lyophilisés à reconstituer', 'Préparations à base de pommes de terre', 'Purées', 'Purées de pommes de terre', 'Purées de pommes de terre en flocons']",,,,,,,,,,+19%,+19%,-31%,-25%,+21%,+394%,+77%,+2%,+2%,,,,,59.9%,18.8%,8.6%,5.6%,5.0%,2.0%,90,,"['Lait', 'Anhydride sulfureux et sulfites']",,,,,,,,,,,,
1199,Sauce béarnaise - Les Impeccables - 90g,3700238323632,['Les Impeccables'],['France'],"['Huile de tournesol', 'lait', 'moutarde forte', 'persil', 'estragon', ""jaune d'oeuf"", 'vinaigre de vin blanc', 'sucre', 'sel', 'ciboulette', 'concentré de citron', 'épaississant : gomme de xanthane et guar', 'thym', 'laurier']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,450,1883 kj(450 kcal),"47,1","5,6","4,5","4,5","1,9","1,1","0,44",D,"['Epicerie', 'Sauces', 'Sauces béarnaises']",47.1 g,en quantité élevée,5.6 g,en quantité élevée,4.5 g,en faible quantité,1.1 g,en quantité modérée,,+2%,+5%,+7%,-1%,-7%,+88%,+62%,-32%,-32%,13,-20%,D,-20%,82.5%,9.1%,4.3%,2.2%,1.2%,0.8%,39,,"['Œufs', 'Lait', 'Moutarde']",4,"['E415 - Gomme xanthane', 'E412 - Gomme de guar']",90 g,"['FR 84.019.001 CE', 'Bollène (Vaucluse, France)', 'EMB 84019C', 'Bollène (Vaucluse, France)']","['Bocal', 'Verre']",['France'],,['Bahadourian'],,,,
1200,Sauce cocktail au cognac - Les Impeccables - 90g,3700238323724,['Les Impeccables'],['France'],"['Huile de tournesol', 'lait', 'concentré de tomate', 'vinaigre de vin blanc', 'sucre', 'moutarde', 'Cognac', ""jaune d'oeuf"", 'sel', 'concentré de citron', 'arôme fruits de mer ', 'gluten', 'poissons', 'épaississant : gomme de xanthane et guar']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,469,1962 kj(469 kcal),"49,1","5,8","4,1",4,"2,1",1,"0,4",,"['Epicerie', 'Sauces', 'Sauces cocktail']",49.1 g,en quantité élevée,5.8 g,en quantité élevée,4 g,en faible quantité,1 g,en quantité modérée,,-6%,-6%,-4%,+23%,-54%,-39%,+54%,-34%,-34%,13,-22%,D,-22%,,,,,,,,,"['Œufs', 'Poisson', 'Gluten', 'Lait', 'Moutarde']",4,"['E415 - Gomme xanthane', 'E412 - Gomme de guar']",90 g,"['FR 84.019.001 CE', 'Bollène (Vaucluse, France)']","['Bocal', 'Verre']",,,['Bahadourian'],,,,
1201,Flageolets et Haricots Verts coupés,3700238331279,,['France'],[],[],?,63,264 kj(63 kcal),"0,4","0,1","7,9","0,4",4,"0,73","0,292",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1202,Macédoine de Légumes - 330g,3700238331361,,['France'],[],[],?,153,640 kj(153 kcal),"0,3","0,1","4,4","0,9","2,1","0,7","0,28",,"['Plats préparés', 'Légumes préparés', 'Entrées', 'Entrées froides', 'Macédoines de légumes']",0.3 g,en faible quantité,0.1 g,en faible quantité,0.9 g,en faible quantité,0.7 g,en quantité modérée,,+66%,+64%,-95%,-80%,-25%,-44%,-11%,-10%,-10%,3,+1264%,C,+1264%,,,,,,,,,,,,330 g,,,,,,,,,
1203,Haricots Verts,3700238331514,,['France'],[],[],?,25,105 kj(25 kcal),"0,2","0,1","2,8","0,5","1,6","0,63","0,252",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1204,Petits pois extra fins à l'étuvée - BF - 330g,3700238331521,['BF'],['France'],"['Petits pois', 'Eau', 'sucre', 'sel', 'Arôme naturel']","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",?,69,289 kj(69 kcal),"0,8","0,3","7,1","4,6","4,9","0,6","0,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,330 g,,,,,,,,,
1205,Olives vertes denoyautées,3700238334188,,['France'],[],[],?,172,720 kj(172 kcal),"17,4","3,4","3,2","0,4","0,61","2,73","1,092",B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Pickles', ""Produits de l'olivier"", ""Pickles d'origine végétale"", 'Olives', 'Olives vertes', 'Olives dénoyautées', 'Olives vertes dénoyautées']",17.4 g,en quantité modérée,3.4 g,en quantité modérée,0.4 g,en faible quantité,2.73 g,en quantité élevée,,+7%,+8%,+10%,+35%,+132%,+114%,-44%,-19%,-19%,15,+29%,D,+29%,33.7%,0.2%,40.3%,17.4%,6.7%,1.8%,95,,,,,,,,,,,,,,
1206,Soupe de tomate,3700238339909,,['France'],[],[],?,30,126 kj(30 kcal),"1,1","0,2","4,2","1,5","0,6","0,71","0,284",B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Plats préparés', 'Soupes', 'Soupes de légumes', 'Soupes de tomate']",1.1 g,en faible quantité,0.2 g,en faible quantité,1.5 g,en faible quantité,0.71 g,en quantité modérée,,-29%,-28%,-32%,-57%,-25%,-50%,-43%,-4%,-4%,3,+100%,C,+100%,25.5%,33.0%,16.0%,11.0%,10.2%,4.3%,97,"['Sans colorants', 'Sans conservateurs']",,,,,,,,,,,,,
1207,Huile d'olive vierge extra,3700238340295,,['France'],[],[],?,824,3448 kj(824 kcal),92,14,0,0,0,,,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",92 g,en quantité élevée,14 g,en quantité élevée,0 g,en faible quantité,,,,-4%,-4%,-4%,0%,,,,,,,,,,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,,,,,,,,
1208,Soupe de potimarron - Le potager de grand mère - 740ml,3700238345177,['Le potager de grand mère'],['France'],[],[],?,53,222 kj(53 kcal),"2,5","1,7","5,8","1,5","1,1","0,76","0,304",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Sans colorants', 'Sans conservateurs']",,,,740ml,,,,,,,,,
1209,Pâtes aux œufs Tagliolini,3700238351512,,['France'],[],[],?,333,1393 kj(333 kcal),"2,3","0,6","62,8","1,9","13,6","0,03","0,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1210,Limonade Artisanale Citron,3700238351697,,['France'],[],[],?,36,151 kj(36 kcal),0,0,9,9,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1211,Limonade Artisanale Mandarine - Jean D'audignac,3700238352045,"[""Jean D'audignac""]",['France'],"['eau gazéifiée', 'sucre', 'acide citrique', 'arôme naturel de maridarineì Ingrédients émulsifiants E444-E445', 'colorant E110*-E124']",[],?,36,151 kj(36 kcal),0,0,9,9,0,0,0,,"['Boissons', 'Boissons avec sucre ajouté']",0 g,en faible quantité,0 g,en faible quantité,9 g,en quantité élevée,0 g,en faible quantité,,-58%,-59%,-100%,-100%,-55%,-51%,-100%,-100%,-100%,12,+1%,E,+1%,,,,,,,,,,4,"['E330 - Acide citrique', 'E445 - Esters glycériques de résine de bois', 'E110 - Jaune orangé S']",,,,,,,,,,
1212,Tagliatelles Aux Cèpes,3700238355046,,['France'],[],[],?,333,1393 kj(333 kcal),"2,3","0,6","62,8","1,9","13,6","0,03","0,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1213,Garganelli emiliani,3700238355084,,['France'],[],[],?,333,1393 kj(333 kcal),"2,3","0,6","62,8","1,9","13,6","0,03","0,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1214,Pur jus de pamplemousse - Jean D’Audignac,3700238356333,['Jean D’Audignac'],['France'],"['Jus de pamplemousse rose', 'teneur en fruit 100%,']",[],?,41,172 kj(41 kcal),"0,5","0,1","9,5","5,5","0,5","0,01","0,004",D,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de pamplemousse', 'Jus de fruits pur jus', 'en:pure-grapefruit-juice']",0.5 g,en faible quantité,0.1 g,en faible quantité,5.5 g,en quantité modérée,0.01 g,en faible quantité,,+5%,+6%,+142%,+194%,+9%,-32%,+3%,+17%,+17%,0,-100%,B,-100%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,1,,,,,,,,,,,
