,name,bar_code,eco_score,quantity,packaging,brand,categories,labels,markets,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,ingredients_origins,generic_name,traceability_code,link,palm_ingredients,manufacturing,brand_owner,origin_detail,producer_info
1127,Penelas Pois Chiche Portion,8412258303468,,,,['Penelas'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Conserves', 'Légumineuses', 'Aliments à base de plantes en conserve', 'Légumineuses en conserve']",,,['France'],[],,,[],,1.9 g,en faible quantité,0.2 g,en faible quantité,0.5 g,en faible quantité,0.4 g,en quantité modérée,?,,419,+516%,1753 kj(419 kcal),+522%,"1,9",+188%,"0,2",+49%,12,+41%,"0,5",-69%,"5,7",+38%,"0,4",-38%,"0,16",-38%,3,,C,,,,,,,,,,,,,,,,,
1128,Thon - Ribeira,8429583011203,D,,,['Ribeira'],"['Produits de la mer', 'Poissons', 'Thons']",,,['France'],[],,,[],,1.1 g,en faible quantité,0.4 g,en faible quantité,0 g,en faible quantité,1.2 g,en quantité modérée,?,,114,-38%,477 kj(114 kcal),-37%,"1,1",-89%,"0,4",-77%,0,-100%,0,-100%,26,+21%,"1,2",+17%,"0,48",+17%,1,-67%,B,-67%,86.9%,0.0%,2.5%,9.0%,1.2%,0.3%,41,,,,,,,,,
1129,Organic ginger coco nut mix,9004998900480,,,,,,"['Bio', 'Végétarien', 'Bio européen', 'en:gluten-free', 'Agriculture non UE', 'Végétalien', 'AT-BIO-402']",['Ekoplaza'],"['France', 'Pays-Bas']",[],,,"['Végétalien', 'Végétarien']",,,,,,,,,,?,,532,,2226 kj(532 kcal),,38,,18,,36,,26,,10,,0,,0,,,,,,,,,,,,,,,,,,,,,
1130,Sucettes tache langue,3395502837122,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,381,,1594 kj(381 kcal),,0,,0,,"95,2",,"82,9",,0,,0,,0,,,,,,,,,,,,,,,,,,,,,
1131,Pasta Gallo Plumas Vegetals,8410069005229,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,344,,1439 kj(344 kcal),,2,,"0,5",,67,,4,,12,,0,,0,,,,,,,,,,,,,,,,,,,,,
1132,Mousse de foie de volaille au cognac - La ferme de valensole - 90g,3760164970034,,90 g,,['La ferme de valensole'],"['Viandes', 'Produits à tartiner', 'Charcuteries', 'Produits à tartiner salés', 'Mousses salées', 'Mousses de foies', 'Mousses de foies de volailles']",,,['France'],[],,,[],,25 g,en quantité élevée,8.1 g,en quantité élevée,0 g,en faible quantité,2 g,en quantité élevée,?,,292,-5%,1222 kj(292 kcal),-10%,25,-16%,"8,1",-24%,"1,5",-41%,0,-100%,16,+51%,2,+31%,"0,8",+31%,19,+4%,E,+4%,,,,,,,,,,,,,,,,
1133,Aroma de vainilla - Márdel - 100ml,8425206001347,,100 ml,"['Garrafa', 'Plástico', 'HDPE']",['Márdel'],"['Additifs alimentaires', 'Arômes']",,['ALDI'],"['France', 'Portugal']","['Água', 'álcool etílico', 'aroma de baunilha ', 'etilvanilina', 'corante ', 'E-150d']","['E1510 - Éthanol', ""E150d - Caramel au sulfite d'ammonium""]",,[],4,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,
1134,Blueberry muffin cookies - Merba,8710502196508,,,,['Merba'],"['Biscuits et gâteaux', 'Gâteaux']",,,['France'],[],,,[],,20 g,en quantité modérée,9 g,en quantité élevée,25 g,en quantité élevée,0.5 g,en quantité modérée,?,,455,+13%,1904 kj(455 kcal),+13%,20,+3%,9,+18%,62,+25%,25,-10%,"4,9",-10%,"0,5",-18%,"0,2",-18%,20,+12%,E,+12%,,,,,,,,,,,,,,,,
1135,European Cookies Assortment With Belgian Chocolate Kirkland - Kirkland Signature,0096619131167,,,,['Kirkland Signature'],,,,['France'],[],,,[],,,,,,,,,,?,,531.25,,2223 kj(531 kcal),,"28,125",,"15,625",,"62,5",,"40,625",,"6,25",,"0,234",,"0,094",,,,,,,,,,,,,,,,,,,,,
1136,Nougat tendre soft -  - 54oz,8413725005267,,54 oz,,,,['Fabriqué en Espagne'],,['France'],[],,,[],,,,,,,,,,?,,430,,1799 kj(430 kcal),,13,,1,,71,,64,,6,,"0,07",,"0,028",,,,,,,,,,,,,,,,,,,,,
1137,Sucre gelifiant -,5410256008616,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,390,,1632 kj(390 kcal),,0,,0,,97,,97,,0,,"0,02",,"0,008",,,,,,,,,,,,,,,,,,,,,
1138,Sardines au naturel - 125g,5601010114265,B,125 g,,,"['Produits de la mer', 'Poissons', 'Sardines']",,,"['Belgique', 'France']",[],,,[],,10 g,en quantité modérée,3.3 g,en quantité modérée,0 g,en faible quantité,0.43 g,en quantité modérée,?,,179,-22%,749 kj(179 kcal),-22%,10,-37%,"3,3",-8%,0,-100%,0,-100%,21,+1%,"0,43",-53%,"0,172",-53%,1,-80%,B,-80%,56.5%,0.0%,7.4%,31.3%,3.7%,1.0%,85,,,,,,,,,
1139,Palets Orange,3760068760021,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,0,,0 kj(0 kcal),,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,
1140,Miel des Alpes - Josette et Bernard - 250g,3760139330016,B,250g,,['Josette et Bernard'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de fleurs', 'Produits de montagne', 'Miels de montagne', 'Miels des Alpes']",,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,
1141,crêpe Bertel 1979 -,3337040002747,B,,,,"['Crêpes et galettes', 'Crêpes']","['Bio', 'Bio européen', 'Agriculture non UE', 'Agriculture UE', 'Agriculture UE/Non UE', 'FR-BIO-01', 'Produit en Bretagne', 'AB Agriculture Biologique']",,['France'],[],,,[],,3.3 g,en quantité modérée,1.5 g,en quantité modérée,22 g,en quantité élevée,0.5 g,en quantité modérée,?,,243,-21%,1017 kj(243 kcal),-21%,"3,3",-67%,"1,5",-59%,46,+1%,22,+4%,7,-2%,"0,5",-38%,"0,2",-38%,6,-50%,C,-50%,67.6%,15.0%,9.2%,4.1%,4.2%,0.0%,86,,,,,,,,,
1142,25G Reglisse Sans Sucre Fisherman' - Lofthouse of Fleetwood LTD,50084388,D,25g,['Sachet papier'],['Lofthouse of Fleetwood LTD'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons', 'Bonbons au réglisse']",,,['France'],"['Édulcorants: Sorbitol', 'Sucralose', 'Acésulfame K', ' \rArômes: Réglisse', 'Anis', 'Menthol', ' Anti-agglomérant:  Stéarate de Magnésium']","['E420 - Sorbitol', 'E955 - Sucralose', 'E950 - Acésulfame K', 'E572 - Stéarate de magnésium']",,[],4,1.32 g,en faible quantité,1.29 g,en faible quantité,0.18 g,en faible quantité,0.002 g,en faible quantité,?,,251,-21%,1050 kj(251 kcal),-22%,"1,32",+65%,"1,29",+225%,"96,57",+33%,"0,18",-100%,"0,28",-90%,"0,002",-99%,"0,001",-99%,4,-69%,C,-69%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,,,,,,,
1143,La terrine de Chevreuil aux baies de Genièvre - Castaing,3332270009016,,,,['Castaing'],"['Viandes', 'Charcuteries', 'Produits à la viande', 'Terrines', 'Terrines de chevreuil']",,,['France'],[],,,[],,23 g,en quantité élevée,7.8 g,en quantité élevée,0.5 g,en faible quantité,1.7 g,en quantité élevée,?,,288,-7%,1205 kj(288 kcal),-7%,23,-12%,"7,8",-19%,"3,9",+164%,"0,5",+22%,14,-4%,"1,7",+10%,"0,68",+10%,17,-7%,D,-7%,,,,,,,,,,,,,,,,
1144,Hummus Chips With Paprika - Trafo - 75g,8718754505062,,75 g,['Paquet'],['Trafo'],"[""Chips d'houmous""]","['Bio', 'Bio européen', 'NL-BIO-01']",['Bio planet'],"['Belgique', 'France']","['Farine de pois chiche""', '40%', 'amidon de po mede terre huile de tournesol ', 'farine de pomme de terre*', 'farine de mais paprika"" ', ' %', 'sel de mer', 'oignon ail* poivre', 'gingembre *Issu de culture biologique contrôlée', ' Conserver dans un endroit sec sous atmosphère protectrice']",,,[],,25 g,en quantité élevée,2.7 g,en quantité modérée,0.5 g,en faible quantité,2.5 g,en quantité élevée,?,,461,,1929 kj(461 kcal),,25,,"2,7",,51,,"0,5",,6,,"2,5",,1,,12,,D,,,,,,,,,,,['NL-BIO-01'],,,['Nederlands'],,,
1145,Pâte Brisée Herta -,3023296773936,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes à tarte', 'en:Baked-shortcrust-pastry']","['Végétarien', 'Végétalien']",,"['Belgique', 'France']",[],,,"['Végétalien', 'Végétarien']",,20.9 g,en quantité élevée,8.7 g,en quantité élevée,0 g,en faible quantité,1.2 g,en quantité modérée,?,,387,+3%,1619 kj(387 kcal),+2%,"20,9",+8%,"8,7",-11%,"40,7",-4%,0,-100%,"6,2",+4%,"1,2",+17%,"0,48",+17%,17,+6%,D,+6%,,,,,,,,,,,,,,,,
1146,Pavé BIO - Les 3 Meuniers - 350g,3700135302891,,350g,['sachet papier'],['Les 3 Meuniers'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pain pavé']","['Bio', 'Bio européen', 'FR-BIO-01', 'AB Agriculture Biologique']",['Leclerc'],['France'],"[""Farine de blé issue de l'agriculture biologique"", 'eau', 'levain biologique 19%', 'sel', 'levure', 'levain de seigle biologique']",,"['Gluten', 'Levain', 'Levain']",['Sans huile de palme'],3,1.5 g,en faible quantité,0.2 g,en faible quantité,1.9 g,en faible quantité,1.6 g,en quantité élevée,1002,-26%,237,-28%,1002 kj(237 kcal),-27%,"1,5",-76%,"0,2",-83%,47,-14%,"1,9",-52%,"7,1",-25%,"1,6",+25%,"0,64",+25%,5,-2%,C,-2%,,,,,,,,,,,,,['Leclerc Valenciennes'],,,
1147,Ömür Yogurt,4002566002142,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,70,,293 kj(70 kcal),,"3,5",,"2,4",,"4,5",,"4,5",,"4,1",,"0,18",,"0,072",,,,,,,,,,,,,,,,,,,,,
1148,Sweet Relish - Heinz,01313703,,,,['Heinz'],['en:Salted snacks'],,,"['France', 'États-Unis']","['Cucumbers', 'high fructose corn syrup', 'cabbage', 'distilled white vinegar', 'salt', 'guar gum', 'aluminum sulfate', 'xanthan gum', 'potassium sorbate and sodium benzoate ', 'as preservatives', 'dried red bell peppers', 'natural and artificial flavors', 'polysorbate 80', 'fd&c yellow no', ' 5 and fd&c blue no', ' 1']","['E412 - Gomme de guar', ""E520 - Sulfate d'aluminium"", 'E415 - Gomme xanthane', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E433 - Monooléate de polyoxyéthylène de sorbitane', '', 'Risque modéré de sur-exposition']",,"[""Pourrait contenir de l'huile de palme""]",4,0 g,en faible quantité,0 g,en faible quantité,20 g,en quantité élevée,1 g,en quantité modérée,?,,66.666666666667,-39%,279 kj(66 kcal),-39%,0,-100%,0,-100%,20,+50%,20,+178%,0,-100%,1,-51%,"0,4",-51%,8,-5%,C,-5%,,,,,,,,,,,,,,HEINZ,,
1149,Curry Ketchup Mild (medio-piccante) - kania - 875ml,,,875 ml,['Bouteille'],['Kania'],,,['Lidl'],"['Belgique', 'France']","['ketchup au curry', ' Ingrédients: 23% jus de tomate', 'sucre', 'dextrose', ""vinaigre d'alcool"", 'amidon modifié ', 'mais', 'sel', 'curry ', 'contient de la moutarde', 'poivre ', 'noir,blanc', 'paprika', 'piment', 'clou de girofle', 'oignon', 'épices', 'plantes aromatiques,protéines végétales hydrolysée ', 'mais', 'épaississant: gomme tara']","['E14XX - Amidons modifiés', 'E417 - Gomme tara']",['Moutarde'],[],4,,,,,,,,,?,,133,,556 kj(133 kcal),,"0,2",,"0,1",,"30,9",,"26,3",,"0,7",,"1,92",,"0,768",,,,,,,,,,,,,,,,https://www.google.com/url?sa=t&source=web&rct=j&url=https://www.codecheck.info/m/essen/mayo_ketchup_senf/curry_gewuerzketchup/ean_20007829/id_369003/Kania_Gewuerz_Ketchup_Curry.pro&ved=2ahUKEwjMi_WazL_dAhXIzaQKHbRtB9MQFjAAegQIAxAB&usg=AOvVaw3zgt2qNTkzz6Um69TPAgvP&cshid=1537103409080,,['Allemagne'],,,
1150,Sardines MARGERIN -,3339571310001,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,264,,1105 kj(264 kcal),,"19,75",,"3,86",,0,,0,,"21,3",,"1,4",,"0,56",,,,,,,,,,,,,,,,,,,,,
1151,Reglisses,6111025070115,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,340,,1423 kj(340 kcal),,0,,0,,100,,70,,0,,"1,6",,"0,64",,,,,,,,,,,,,,,,,,,,,
1152,Mendiants assortis - le chocolatier sablais - 150g,3760059921462,,150 g,['Sachet'],['le chocolatier sablais'],,,,['France'],[],,,[],,,,,,,,,,?,,549,,2297 kj(549 kcal),,"36,79",,"19,1",,"47,2",,"43,9",,"7,74",,"0,15",,"0,06",,,,,,,,,,,,,,,,,,,,,
1153,Noisettes Decortiquees - La Pateliere - 125g,3278588452604,,125 g,,['La Pateliere'],,,,['France'],[],,,[],,,,,,,,,,?,,696,,2912 kj(696 kcal),,61,,"4,5",,17,,"4,2",,15,,0,,0,,,,,,,,,,,,,,,,,,,,,
1154,Gunpowder - Les jardins de Gaïa - 100g,3582810364925,A,100 g,['Sachet'],['Les jardins de Gaïa'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés', 'Thés verts', 'Infusions']","['Bio', 'Bio européen', 'FR-BIO-01']",['Un petit tour à la ferme'],['France'],['Thé vert'],,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,,,,,,,,
1155,Rillettes du Mans - Bordeau Chesnel - 1,3024720020350,D,1,,['Bordeau Chesnel'],"['Viandes', 'Produits à tartiner', 'Charcuteries', 'Produits à tartiner salés', 'Rillettes', 'Rillettes de viande', 'Rillettes françaises', 'Rillettes de viande rouge', 'Rillettes de la Sarthe', 'Rillettes de porc', 'Rillettes du Mans']",,,['France'],[],,,[],,40.5 g,en quantité élevée,15.2 g,en quantité élevée,0.2 g,en faible quantité,1.13 g,en quantité modérée,?,,431,+7%,1803 kj(431 kcal),+8%,"40,5",+9%,"15,2",+6%,"0,4",+9%,"0,2",-28%,"16,2",+3%,"1,13",-10%,"0,452",-10%,20,+3%,E,+3%,74.1%,17.7%,4.6%,2.1%,1.2%,0.3%,39,,,,,,,,,
1156,Pain de deux,,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,0,,0 kj(0 kcal),,?,,,,?,,,,?,,0,,0,,,,,,,,,,,,,,,,,,,,,
1157,Mélange pour paëlla,3180730500548,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,76,,318 kj(76 kcal),,"2,7",,"1,2",,"0,6",,"0,6",,12,,"0,9",,"0,36",,,,,,,,,,,,,,,,,,,,,
1158,Sirop de cerise & de piment d'Espelette - Atelier du piment - 50cl,3760237030993,,50cl,,['Atelier du piment'],,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,
1159,Petits pois - Auchan - 140g,3596710401932,,140g,"['Couvercle en métal', 'Couvercle en métal']",['Auchan'],,['Nutriscore'],['Auchan'],['France'],[],,,[],,,,,,,,,,?,,290,,1213 kj(290 kcal),,"0,8",,"0,3",,"7,1",,"4,6",,"4,9",,"0,6",,"0,24",,,,,,,,,,,,,,,,,,,,,
1160,Sirop d'Espelle,3760137390272,,,,,,['Sans colorants'],,['France'],[],,,[],,,,,,,,,,?,,278,,1163 kj(278 kcal),,"0,5",,"0,1",,69,,68,,"0,5",,"0,03",,"0,012",,,,,,,,,,,,,,,,,,,,,
1161,Torcida fresa - Damel,8411500100329,E,,,['Damel'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']",,,"['France', 'Espagne']",[],,,[],,3.6 g,en quantité modérée,3.5 g,en quantité modérée,45 g,en quantité élevée,0.133 g,en faible quantité,?,,350,-2%,1464 kj(350 kcal),-2%,"3,6",+94%,"3,5",+230%,76,-9%,45,-22%,"3,5",+65%,"0,133",+10%,"0,053",+10%,16,+11%,D,+11%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,,,,,,,
1162,M&m's caramel croquant,5900951273025,,,,"[""M&M's""]",,,,['France'],[],,,[],,,,,,,,,,?,,478,,2000 kj(478 kcal),,18,,11,,74,,69,,"3,9",,"0,32",,"0,128",,,,,,,,,,,,,,,,,,,,,
1163,"Hamburger buns - Delhaize - 300g, 6pièces",5400112852002,B,"300g, 6 pièces",['Plastique'],['Delhaize'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains spéciaux', 'Pains Burger']",,['Delhaize'],"['Belgique', 'France']","['farine de blé', 'eau', 'levure', 'huile végétale ', 'huile de colza raffinée', 'sirop de sucre inverti', 'graines de sésame 1,2%', 'sel iodé', 'émulsifiant ', ""mono - et diglycerides d'acide gras"", ""esters mono - et diacethyltartriques des mono - et diglycerides d'acides gras"", 'steroyl-2-lactylate de sodium', 'anti-agglomerant ', 'carbonate de calcium', 'conservateur ', 'propionate de calcium', 'farine de soja', 'stabilisant ', 'gomme guar', 'agent de traitement de la farine ', 'acide ascorbique', 'farine de malt de blé', 'enzymes', 'conservateur', 'éthanol']","[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E170i - Carbonate de calcium', 'E282 - Propionate de calcium', 'E412 - Gomme de guar', 'E300 - Acide ascorbique', 'E1510 - Éthanol']","['Gluten', 'Graines de sésame', 'Soja']","[""Pourrait contenir de l'huile de palme""]",4,6.9 g,en quantité modérée,2 g,en quantité modérée,0.7 g,en faible quantité,1.2 g,en quantité modérée,?,,300,+4%,1255 kj(300 kcal),+4%,"6,9",+19%,2,+92%,50,+3%,"0,7",-89%,"7,9",-12%,"1,2",+5%,"0,48",+5%,2,-11%,B,-11%,72.6%,15.0%,7.8%,4.1%,0.5%,0.0%,81,,,,,,,,,
1164,Yaourt Brebit au citron - Ibaski,3760206161697,C,,,['Ibaski'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts aux fruits', 'Yaourts au citron', 'Yaourts au lait de brebis']",['Sans conservateurs'],,['France'],[],,,[],,6.2 g,en quantité modérée,2.6 g,en quantité modérée,13.6 g,en quantité élevée,0.1 g,en faible quantité,?,,131,+24%,548 kj(131 kcal),+24%,"6,2",+51%,"2,6",-1%,"13,7",+2%,"13,6",+8%,"5,1",+47%,"0,1",-17%,"0,04",-17%,3,-17%,C,-17%,79.1%,8.8%,4.4%,4.5%,2.5%,0.7%,69,,,,,,['Pays basque'],,,
1165,Poultry Vienna Sausages 12X400G,4040328040155,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,266,,1113 kj(266 kcal),,23,,8,,"2,8",,"0,6",,12,,"2,3",,"0,92",,,,,,,,,,,,,,,,,,,,,
1166,Best Guava Juice Drink 8.3 FL Oz - 250ml,0718791605112,D,250ml,['Broutille'],['BEST'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Nectars de fruits']",,,['France'],"['PULPE DE GOYAVE EAU FILTREE SUCRE', 'ACIDE CITRIQUE ', ""POUR ACERBITE SANS CONSERVATEUR OU COULEUR AGITER AVANT D'OUVRIR ET SERVIR FRAIS CONSERVER AL'ABRI DE LA LUMERE ET DE LA CHALEUR A CONSOMMER DE PREFERENCE AVANT: VOIR CAPSULE 7187911605 1 1 2""]",['E330 - Acide citrique'],,[],,0.1 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,?,,66,+35%,276 kj(66 kcal),+37%,"0,1",-44%,0,-100%,0,-100%,0,-100%,"0,1",-68%,0,-100%,0,-100%,10,-26%,E,-26%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,,['Egypte'],,,
1167,Chocolat aux amandes - Cachet,5412956216421,,,,['Cachet'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats aux amandes']",,,['France'],[],,,[],,33 g,en quantité élevée,16 g,en quantité élevée,48 g,en quantité élevée,0.1 g,en faible quantité,?,,540,-3%,2259 kj(540 kcal),-3%,33,-12%,16,-14%,52,+19%,48,+23%,"8,1",-5%,"0,1",-25%,"0,04",-25%,26,+14%,E,+14%,,,,,,,,,,,,,,,,
1168,Quaker Chewy Granola Bar Chocolate Chip,03077504,,,,['Quaker'],['Snacks'],,,"['France', 'États-Unis']","['granola ', 'whole grain oats', 'brown sugar', 'brown rice crisp [whole grain brown rice flour', 'sugar', 'salt]', 'whole grain wheat', 'soybean oil', 'coconut', 'whole wheat flour', 'baking soda', 'soy lecithin', 'nonfat dry milk', 'semisweet chocolate chips ', 'sugar', 'chocolate liquor', 'cocoa butter', 'soy lecithin', 'vanilla extract', 'corn syrup', 'brown rice crisp ', 'whole grain brown rice flour', 'sugar', 'salt', 'invert sugar', 'sugar', 'corn syrup solids', 'glycerin', 'soybean oil', 'contains 2% or less of: calcium carbonate', 'sorbitol', 'salt', 'soy lecithin', 'molasses', 'tocopherols ', 'to preserve freshness', 'natural flavor,']","['E500ii - Carbonate acide de sodium', 'E322i - Lécithine', 'E422 - Glycérol', 'E420 - Sorbitol']",['Soja'],['Non végétalien'],4,14.6 g,en quantité modérée,6.25 g,en quantité élevée,29.2 g,en quantité élevée,0.729 g,en quantité modérée,?,,416.66666666667,-7%,1743 kj(416 kcal),-7%,"14,583",-30%,"6,25",-31%,"70,833",+26%,"29,167",-3%,"4,167",-34%,"0,729",+39%,"0,292",+39%,16,-11%,D,-11%,,,,,,,,,,,,,,"PEPSICO, INC",,
1169,Bio organic 9 herbes - Lord Nelson,20955007,B,,,['Lord Nelson'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Infusions', 'Tisanes de plantes mélangées', 'es:Infusiones relajantes']","['Bio', 'Bio européen', 'DE-ÖKO-001']",,"['France', 'Espagne']",[],,,[],,0 g,en faible quantité,0 g,en faible quantité,0.1 g,en faible quantité,0 g,en faible quantité,?,,1,-50%,4 kj(1 kcal),-33%,0,-100%,0,-100%,"0,2",-26%,"0,1",-15%,0,-100%,0,-100%,0,-100%,,,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,,['FSC-C023329'],,,,,,
1170,Sharwoods Stir Fry Hoi Sin & Spring Onion Sauce 195G,5000354203664,,,['Jar'],,,,,"['France', 'Royaume-Uni']","['nutrition information per 100g per 1/2 jar as sold ', '98g', ' as sold']",,,[],,,,,,,,,,?,,439,,1837 kj(439 kcal),,"1,6",,"0,3",,"20,5",,16,,"1,7",,"1,7",,"0,68",,,,,,,,,,,,,,,,,,,,,
1171,Jus de pomme,7640143660049,C,,,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de pomme']",,,['France'],[],,,[],,0.5 g,en faible quantité,0.5 g,en faible quantité,9.1 g,en quantité élevée,,,?,,40,-13%,167 kj(40 kcal),-13%,"0,5",+205%,"0,5",+1462%,91,+735%,"9,1",-12%,"0,3",+41%,,,,,,,,,52.8%,9.4%,18.4%,14.0%,5.4%,0.0%,70,,,,,,,,,
1172,"Amandes décortiquées - grand frais - 0,508kg",2600112042974,E,"0,508kg",,['grand frais'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Fruits à coques décortiqués', 'Amandes', 'Amandes décortiquées']",,['grand frais'],['France'],[],,,[],,49.9 g,en quantité élevée,3.8 g,en quantité modérée,4.2 g,en faible quantité,0 g,en faible quantité,?,,645,+3%,2699 kj(645 kcal),+3%,"49,9",-3%,"3,8",-5%,"21,5",+64%,"4,2",+7%,"21,1",-6%,0,-100%,0,-100%,1,,B,,96.4%,0.5%,1.0%,1.5%,0.7%,0.0%,11,,,,,,,,,
1173,Beutelsbacher - jus multifruits et légumes,4106060101445,C,,,['Beutelsbacher'],"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Boissons à base de végétaux', 'Aliments et boissons à base de légumes', 'Boissons aux fruits', 'Jus et nectars', 'Substitut du lait', 'Boissons aux légumes', 'Boissons végétales', 'Jus de légumes', 'Jus de fruits', 'Jus multifruits', 'Jus de fruits pur jus', 'Jus de fruits et légumes', 'Jus multifruit pur jus multivitaminé', 'Boissons multivégétaux']","['Bio', 'Bio européen', 'Bio-dynamie', 'Demeter']",,['France'],[],,,[],,0.1 g,en faible quantité,0.02 g,en faible quantité,9 g,en quantité élevée,0 g,en faible quantité,?,,48,+14%,201 kj(48 kcal),+12%,"0,1",-57%,"0,02",-54%,10,+0%,9,+5%,"0,3",-32%,0,-100%,0,-100%,-4,-169%,A,-169%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,,,,,
1174,Vollkorn Müsli Früchte - 1000g,24028998,,1000 g,,,,,,"['France', 'Suisse']","[""Flocons d'avoine complète 24%"", 'flocons de blé complète durs de seigle complet 22%', 'noisettes 3%', 'graines de lin', 'cornflakes', 'cacahouètes 1%', 'amandes 1%', 'graines de tournesol', ""Peut contenir des traces d'autres fruits à coque"", 'des produits laitiers et à base de soja et graines de sésame']",,"['Fruits à coque', 'Arachides']",[],,,,,,,,,,1548,,?,,1548 kj(370 kcal),,"9,6",,"2,8",,54,,11,,11,,"0,07",,"0,028",,,,,,,,,,,,,,,,,,,,,
