,name,bar_code,eco_score,quantity,packaging,brand,categories,labels,markets,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,ingredients_origins,generic_name,traceability_code,link,palm_ingredients,manufacturing,brand_owner,origin_detail,producer_info
20,Hazelnut crunch,5407003670134,,,,,,['en:gluten-free'],,['France'],[],,,[],,,,,,,,,,?,,527,,2205 kj(527 kcal),,"32,95",,"18,14",,"49,56",,"40,45",,3,,"0,138",,"0,055",,,,,,,,,,,,,,,,,,,,,
21,Confiture d'abricot -,54038332,B,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', ""Confitures d'abricot""]",,,['France'],[],,,[],,0.5 g,en faible quantité,0.1 g,en faible quantité,58 g,en quantité élevée,0.01 g,en faible quantité,?,,244,+11%,1021 kj(244 kcal),+11%,"0,5",+121%,"0,1",+134%,60,+13%,58,+15%,"0,5",-0%,"0,01",-55%,"0,004",-55%,8,-11%,C,-11%,38.5%,19.4%,25.9%,11.0%,4.2%,1.1%,87,,,,,,,,,
22,Pâte alimentaires au blé dur spirelli - Ambra Superiore - 500g,5410028280462,C,500 g,['Sachet plastique'],['Ambra Superiore'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Pâtes sèches', 'Pâtes de blé dur', 'Torsades', 'Spirelli']","['Point Vert', 'Eco-Emballages']",['Auchan'],['France'],['Semoule de blé dur'],,['Gluten'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,1.5 g,en faible quantité,0.1 g,en faible quantité,3.5 g,en faible quantité,0.025 g,en faible quantité,1500,0%,354,+1%,1500 kj(354 kcal),+1%,"1,5",-23%,"0,1",-76%,72,+6%,"3,5",+25%,"11,8",-4%,"0,025",-5%,"0,01",-5%,-3,,A,,65.0%,21.6%,6.8%,3.5%,3.1%,0.0%,74,,Pâtes alimentaires au blé dur,,,,,,,
23,Lu Bastogne 260g,5410041059908,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,490,,2050 kj(490 kcal),,20,,"9,8",,"71,5",,40,,"4,7",,,,,,,,,,,,,,,,,,,,,,,,,
24,Materne Confiture De Cerises 720 GR,5410046001261,D,,,['Materne'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures']","['Sans colorants', 'Sans conservateurs']",,"['Belgique', 'France']",[],,,[],,0.5 g,en faible quantité,0.1 g,en faible quantité,58 g,en quantité élevée,0.01 g,en faible quantité,?,,247,+11%,1033 kj(247 kcal),+11%,"0,5",+91%,"0,1",+101%,60,+12%,58,+13%,"0,5",-3%,"0,01",-57%,"0,004",-57%,12,+29%,D,+29%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,,,,,,
25,"Confiture De Rhubarbe Rose, Nostalgie, Marque Materne - 260g",5410046008604,C,260 g,['Verre'],"['Nostalgie', 'Materne Confilux']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Légumes et dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de rhubarbe', 'en:vegetable-jams']",['Point Vert'],['Delhaize'],"['Belgique', 'France']",[],,,[],,0.5 g,en faible quantité,0.1 g,en faible quantité,49 g,en quantité élevée,0.02 g,en faible quantité,?,,207,-6%,866 kj(207 kcal),-6%,"0,5",+140%,"0,1",+166%,49,-10%,49,-7%,"0,5",+7%,"0,02",-0%,"0,008",-0%,5,-41%,C,-41%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,https://www.materne.fr/,,,,,
26,Beertjes/Teddy,5410057855549,,,,,,,,"['Belgique', 'France']",[],,,[],,,,,,,,,,?,,320,,1339 kj(320 kcal),,"0,2",,"0,2",,"73,5",,"51,4",,"5,9",,"0,02",,"0,008",,,,,,,,,,,,,,,,,,,,,
27,MODIFAST. Protein  Shape - 186g,5410063003088,C,186 g,"['Boite carton', 'Carton', 'Boîte', 'Plastique']",['Modifast'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Plats préparés', 'Barres', 'Confiseries chocolatées', 'Substituts de repas', 'Barres chocolatées', 'Barres de régime']",,,['France'],"['Chocolat noir de couverture 30% ', 'pâte de cacao', 'sucre', 'beurre de cacao', 'matière grasse de lait', 'émulsifiant: lécithine de soja', 'arôme naturel de vanille', 'sirop de sucre inverti', 'Lait écrémé en poudre', 'Sirop de glucose déshydraté de blé', 'Protéines de lait', 'Blanc d’œuf en poudre', 'Sucre', 'Stabilisant: poudre de sorbitol ', 'blé', 'Graisse de palme ', 'non hydrogénée', 'Maltodextrine de maïs', 'Gluten de blé', 'Gélatine', 'Arôme ', 'chocolat blanc', 'Sel de mer', 'Vitamines: E ', 'dl-alpha-tocophérolacetate', ' ', 'lactose', 'protéines de lait', 'B3 ', 'nicotinamide', 'B6 ', 'pyridoxine-hydrochloride', 'B1 ', 'thiaminehydrochloride', 'B9 ', 'acide ptéroylmonoglutamique', 'Huile de colza et de soja']","['E322i - Lécithine', 'E428 - Gélatine']","['Œufs', 'Gluten', 'Lait', 'Soja']","['Huile de palme', 'Non végétalien', 'Non végétarien']",4,13 g,en quantité modérée,8.6 g,en quantité élevée,36 g,en quantité élevée,2 g,en quantité élevée,?,,413,+27%,1728 kj(413 kcal),+30%,13,+37%,"8,6",+317%,52,+59%,36,+163%,22,+7%,2,+151%,"0,8",+151%,,,,,62.5%,17.1%,9.5%,6.2%,3.7%,1.0%,84,,,,,['Huile de palme'],,,,
28,Boisson aux céréales - Cereal - 125,5410063026469,,125,,['Cereal'],,,,"['Belgique', 'France']",[],,,[],,,,,,,,,,?,,365,,1527 kj(365 kcal),,"0,2",,"0,1",,"82,2",,"2,3",,"5,5",,"0,21",,"0,084",,,,,,,,,,,,,,,,,,,,,
29,Céréal Glutenfree Tablette De Chocolat Au Lait éclatsNoisettes,5410063027572,,,,['Cereal'],,"['en:gluten-free', 'Sans lactose']",,['France'],[],,,[],,,,,,,,,,?,,577,,2414 kj(577 kcal),,39,,18,,45,,35,,10,,"0,16",,"0,064",,,,,,,,,,,,,,,,,,,,,
