,name,bar_code,quantity,brand,categories,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,eco_score,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,salt_quantity,salt_comment,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,packaging,ingredients_origins,traceability_code,markets,manufacturing,allergens,nova_score,additives,generic_name,link,brand_owner,origin_detail,producer_info,palm_ingredients
887,Confiture,3760012030224,,,,['France'],[],[],?,0,?,?,?,,,,,,,,,,,0 kj(0 kcal),,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,
888,Frutta c,80969990,,,,['France'],[],[],?,225,0,86,0,,,,,,,,,,,941 kj(225 kcal),,,0,,,0,,,,,,,,,,,,"0,29",,"0,116",,,,,,,,,,,,,,,,,,,
889,Zeytinyagi,8011845300554,,,,['France'],[],[],?,824,92,0,0,,,,,,,,,,,3448 kj(824 kcal),,,14,,,0,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,
890,Pain complet biofournil,2030507984891,,,,['France'],[],[],?,247,"1,6",47,"1,6",,"['Nutriscore', 'Nutriscore E']",,,,,,,,,1033 kj(247 kcal),,,"0,3",,,"1,7",,,,,,,,,,,,"8,3",,"3,32",,,,,,,,,,,,,,,,,,,
891,Baby bio carottes et pâtes,3560071284398,,,,['France'],[],[],?,184,3,30,7,,"['Bio', 'Bio européen', 'FR-BIO-01', 'AB Agriculture Biologique']",,,,,,,,,770 kj(184 kcal),,,"0,3",,,13,,,,,,,,,,,,"0,29",,"0,116",,,,,,['Etui en carton'],,,,,,,,,,,,,
892,Glazed sugar biscuit with cinnamon,4820218091302,,,,['France'],[],[],?,482,"20,3","68,9","5,9",,,,,,,,,,,2017 kj(482 kcal),,,12,,,"33,6",,,,,,,,,,,,"0,26",,"0,104",,,,,,,,,,,,,,,,,,,
893,Lindahls - Nestlé - 330ml,8435257057040,330 ml,['Nestlé'],['en:pt-PT:Iogurte'],['France'],[],[],?,241,"0,727","3,45","9,09",,,0.727 g,en faible quantité,0.424 g,en faible quantité,3.03 g,en faible quantité,,,1010 kj(241 kcal),,,"0,424",,,"3,03",,,,,,,,,,0.106 g,en faible quantité,"0,106",,"0,042",,-2,,A,,,,,,,,,,,,,,,
894,Monari federzoni aceto balsamico di Modena IGP,8003185000263,,,"['Vinaigres', 'Vinaigres balsamiques', 'Vinaigres balsamiques de Modène']",['France'],[],[],?,3,0,4,"0,1",B,,0 g,en faible quantité,0 g,en faible quantité,0.3 g,en faible quantité,,-98%,13 kj(3 kcal),-98%,-100%,0,-100%,-87%,"0,3",-99%,-85%,39.4%,16.4%,33.5%,8.2%,2.4%,0.0%,91,2 g,en quantité élevée,2,+2725%,"0,8",+2725%,,,,,,['Italie'],,,,,,,,,,,,
895,Professional isolate,8435483524262,,,,['France'],[],[],?,375,"0,4","1,8",91,,,,,,,,,,,1569 kj(375 kcal),,,"0,1",,,"0,5",,,,,,,,,,,,"0,5",,"0,2",,,,,,,,,,,,,,,,,,,
896,Cracker integrale - Crai,8002895088325,,['Crai'],,['France'],[],[],?,426,"12,4","63,2",12,,"['Bio', 'Bio européen', 'IT-BIO-009']",,,,,,,,,1782 kj(426 kcal),,,"1,9",,,2,,,,,,,,,,,,2,,"0,8",,,,,,,,,,,,,,,,,,,
897,Sauté de dinde bio - Thiriet - 300g,3292590851880,300 g,['Thiriet'],"['Viandes', 'Volailles', 'Dindes', 'Viande de dinde sans peau']",['France'],['DINDE'],"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,118,"4,2",0,20,C,"['Bio', 'Bio européen', 'FR-BIO-09', 'AB Agriculture Biologique']",4.2 g,en quantité modérée,1.1 g,en faible quantité,0 g,en faible quantité,,-12%,494 kj(118 kcal),-12%,+28%,"1,1",+17%,-100%,0,-100%,-4%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,0 g,en faible quantité,0,-100%,0,-100%,-3,-356%,A,-356%,['Barquette'],,,['Thiriet'],,,1,,,,,,,
898,Chablis - 75cl,3245414961494,75cl,['Chablis'],"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins blancs', 'Vins blancs secs', 'Vin blanc sec à 11°']",['France'],[],[],?,?,?,?,?,D,,,,,,,,,,,,,,,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,,,,,,,,,,,,,,,,,,,,,,,,
899,Freeway the pesca Zero,4056489289234,,"['Freeway', 'Lidl']",,['France'],[],[],?,1,0,0,0,,,,,,,,,,,4 kj(1 kcal),,,0,,,0,,,,,,,,,,,,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,
900,POM'POTES SSA Pomme/Pomme Poire/Pomme Banane 64x90g Format Familial - 5760g,3021762464180,5760 g,"[""Pom'potes""]",,['France'],"['Pomme : pomme 99,7% ', 'purée et purée concentrée', 'arôme naturel de pomme', 'jus de citron concentré ', ""si nécessaire pour réguler l'acidité"", 'antioxydant : acide ascorbique', '\rPomme Poire : pomme 69,9 % ', 'purée et purée concentrée', 'poire 30,0 %', 'jus de citron concentré ', ""si nécessaire pour réguler l'acidité"", 'antioxydant : acide ascorbique', '\rPomme Banane : pomme 74,9 % ', 'purée et purée concentrée', 'banane 25,0 %', 'jus de citron concentré ', ""si nécessaire pour réguler l'acidité"", 'antioxydant : acide ascorbique']",[],257,61,"0,6",13,"0,5",,"['Nutriscore', 'Nutriscore A']",,,,,,,,,257 kj(61 kcal),,,"0,2",,,11,,,,,,,,,,,,"0,01",,"0,004",,,,,,['Etui en carton'],,,,,,4,['E300 - Acide ascorbique'],Spécialité de pomme sans sucres ajoutés (Contient des sucres naturellement présents) Spécialité de pomme poire sans sucres ajoutés (Contient des sucres naturellement présents) Purée de pomme banane sans sucres ajoutés (Contient des sucres naturellement présents),,,,,
901,Salade mechouia douce,6191564400390,,,,['France'],[],[],?,240,"21,5","10,2","1,3",,,,,,,,,,,1004 kj(240 kcal),,,"2,1",,,0,,,,,,,,,,,,"1,64",,"0,656",,,,,,,,,,,,,,,,,,,
902,Les petits saucissons secs - Aoste - 0.08kg,3449865331879,0.08 kg,['Aoste'],"['Viandes', 'Charcuteries', 'Saucissons', 'Saucissons secs']",['France'],"['Saucisson Sec Supérieur Ingrédient : Viande porc origine France', 'sel', 'LACTOSE', 'dextrose', 'épices et plantes aromatiques', 'antioxydant: acide ascorbique', 'conservateur: nitrite de sodium', 'ferments', 'Enveloppe: collagène', '190 g de viande utilisés pour la préparation de 100 g de produit fini', ' Présence possible de fruits à coques']","['Non végétalien', 'Non végétarien']",1907,459,35,3,33,D,,35 g,en quantité élevée,13 g,en quantité élevée,1.5 g,en faible quantité,+10%,+14%,1907 kj(459 kcal),+13%,+11%,13,+6%,+35%,"1,5",+9%,+20%,79.0%,17.2%,0.6%,1.8%,1.1%,0.3%,36,5 g,en quantité élevée,5,+7%,2,+7%,25,+4%,E,+4%,['Sachet en plastique'],,"['EMB 42129B', 'Maclas (Loire, France)']",,,['Lait'],4,"['E300 - Acide ascorbique', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",Saucisson sec supérieur,,,,,
903,Citron sauce exotique,3760088753706,,,"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets']",['France'],"['Eau', 'sucre', 'purée de citron vert 16%', 'sauce aux fruits exotiques 10% ', 'purée de fruits exotiques ', 'mangue', 'passion', 'banane', 'citron vert', 'goyave', 'litchi', 'sucre', 'sucre inverti', 'pectine', 'sirop de glucose', 'purée de citron jaune 8%', 'épaississants : gomme xanthane - pectine gomme guar', 'protéine de pois hydrolysée']",[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,"['E440 - Pectines', 'E415 - Gomme xanthane']",,,,,,
904,Sirop - Fruiss,3217690058878,,['Fruiss'],"['Boissons', 'Sirops', 'Sirops aromatisés', 'Sirops de menthe']",['France'],"['Sucre', 'eau', 'arôme naturel de menthe']","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",1207,1207,0,71,0,A,"['Bio', 'Bio européen', 'Sans colorants', 'Sans conservateurs', 'AB Agriculture Biologique']",0 g,en faible quantité,0 g,en faible quantité,7 g,en quantité élevée,+11%,+405%,1207 kj(1207 kcal),+17%,-100%,0,-100%,+15%,71,+20%,-100%,58.3%,8.5%,16.3%,7.9%,7.3%,1.6%,100,0 g,en faible quantité,0,-100%,0,-100%,10,-7%,E,-7%,"['Bouteille en verre', 'Opercule en plastique', 'Bouchon']",,,,,,4,,,,,,,
905,Eis kaffee,4100290005030,,,,['France'],[],[],?,65,"1,5","9,4","3,4",,,,,,,,,,,272 kj(65 kcal),,,1,,,"9,4",,,,,,,,,,,,"0,13",,"0,052",,,,,,,,,,,,,,,,,,,
906,Enso Soy Sauce,8858960300034,,,,['France'],[],[],?,71,0,"7,8",10,,,,,,,,,,,297 kj(71 kcal),,,0,,,"3,3",,,,,,,,,,,,16,,"6,4",,,,,,,,,,,,,,,,,,,
907,Tubble GUM,3116740036357,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
908,Cœurs de palmiers entiers - Leaderprice - 800g,3263851379566,800 g,['Leaderprice'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Frais', 'Aliments à base de plantes frais', 'Cœurs de palmier']",['France'],[],[],?,35,"0,4","4,2","2,5",C,,0.4 g,en faible quantité,0.2 g,en faible quantité,1.6 g,en faible quantité,,+21%,146 kj(35 kcal),+21%,+9%,"0,2",+190%,+39%,"1,6",+118%,+9%,64.1%,17.1%,7.8%,4.1%,4.6%,2.3%,59,0.6 g,en quantité modérée,"0,6",-21%,"0,24",-21%,1,+7%,B,+7%,,,,,,,,,,,,,,
909,Miele di Sardegna Eucalipto,8017734001113,,,,['France'],[],[],?,304,0,75,"0,4",,,,,,,,,,,1272 kj(304 kcal),,,0,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
910,Moelleux à la châtaigne,3760317760000,,,,['France'],[],[],?,309.5,"12,4","46,6",3,,,,,,,,,,,1295 kj(309 kcal),,,"7,4",,,"36,6",,,,,,,,,,,,120,,48,,,,,,,,,,,,,,,,,,,
911,Bière blonde bio IPA - Mascaret - 33cl,3760067009657,33 cl,['Mascaret'],"['Boissons', 'Boissons alcoolisées', 'Bières', 'Bières bio']",['France'],"['Eau', ""malt d'orge"", 'houblon*', 'levure', ""sucre de canne** produit issu de l'agriculture biologique""]","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,?,?,?,B,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,,,,,,,,,,,['Verre'],,,,['33110 Le Bouscat'],['Gluten'],3,,,,,,,
912,Sauce pesto Bio au basilic - Fiorini,3250392926939,,['Fiorini'],"['Epicerie', 'Sauces', 'Sauces Pesto']",['France'],[],[],?,332,"32,5","5,1","4,3",C,"['Bio', 'Bio européen', 'Nutriscore', 'Nutriscore D', 'AB Agriculture Biologique']",32.5 g,en quantité élevée,4.3 g,en quantité modérée,1.3 g,en faible quantité,,-22%,1389 kj(332 kcal),-21%,-21%,"4,3",-29%,-23%,"1,3",-58%,-3%,77.0%,10.9%,4.6%,4.2%,2.0%,1.4%,56,1.9 g,en quantité élevée,"1,9",-18%,"0,76",-18%,16,-13%,D,-13%,,,,,,,,,,,,,,
913,Fidea de preparare rapida - Rollton - 60g,4605496001584,60 g,['Rollton'],"['Viandes', 'Volailles', 'Poulets']","['France', 'Roumanie']",[],[],?,413,"18,9","1,6","5,5",C,"['Bio', 'Bio européen', 'HU-ÖKO-01']",18.9 g,en quantité modérée,8.3 g,en quantité élevée,1.4 g,en faible quantité,,+174%,1728 kj(413 kcal),+174%,+225%,"8,3",+453%,-20%,"1,4",+218%,-73%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,5.5 g,en quantité élevée,"5,5",+542%,"2,2",+542%,23,+1531%,E,+1531%,['Plastic'],,,,,,,,,,,,,
914,Morue dessalee,8436581143539,,,,['France'],[],[],?,62,"0,4",0,"1,5",,,,,,,,,,,259 kj(62 kcal),,,"0,1",,,0,,,,,,,,,,,,"1,5",,"0,6",,,,,,['Sachet'],,,,,,,,,,,,,
915,Thon aux Olives Citrons confits - L'atelier Bernard Marot,3770004388967,,"[""L'atelier Bernard Marot""]",,['France'],[],[],?,194,"15,6","3,4","9,2",,,,,,,,,,,812 kj(194 kcal),,,4,,,"1,9",,,,,,,,,,,,"1,18",,"0,472",,,,,,,,,,,,,,,,,,,
916,Couscous,4305615666846,,,,['France'],[],[],?,362,2,70,13,,"['Bio', 'en:EG-Öko-Verordnung']",,,,,,,,,1515 kj(362 kcal),,,"0,4",,,3,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,
917,Bio-Blutorangenmarmelade aus Sizilien,8017139101012,,,,['France'],[],[],?,252,"0,3",60,"0,6",,,,,,,,,,,1054 kj(252 kcal),,,0,,,58,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,
918,"Fattoria Sicilsole Orangen-zitronen Marmelade, 370 GR Glas",8017139100374,,,,['France'],[],[],?,257,"0,6",60,"0,6",,,,,,,,,,,1075 kj(257 kcal),,,"0,1",,,56,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,
919,Oliven „Bella di Cerignola“ - Campo Verde - 180g,4045178008096,180 g,['Campo Verde'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Pickles', ""Produits de l'olivier"", ""Pickles d'origine végétale"", 'Olives', 'Olives vertes']","['France', 'Allemagne']",[],[],684,166,16,"2,9","1,5",B,"['Bio', 'Bio européen', 'Bio-dynamie', 'Demeter', 'IT-BIO-006']",16 g,en quantité modérée,2.9 g,en quantité modérée,0.5 g,en faible quantité,+2%,+1%,684 kj(166 kcal),+0%,-1%,"2,9",+11%,+90%,"< 0,5",+133%,+16%,33.7%,0.2%,40.3%,17.4%,6.7%,1.8%,95,3.5 g,en quantité élevée,"3,5",+3%,"1,4",+3%,14,+17%,D,+17%,,,,,,,,,,,,,,
920,Apfel Mus - Bauck Hof,4015637842943,,['Bauck Hof'],,['France'],[],[],?,67,"0,3",16,"0,5",,"['Bio', 'en:EG-Öko-Verordnung']",,,,,,,,,280 kj(67 kcal),,,"0,1",,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
921,Soia mirtillo - Conad,8003170055193,,"['Conad', 'Verso Natura']",,['France'],[],[],?,311,"1,6","11,5","3,1",,,,,,,,,,,1301 kj(311 kcal),,,"0,2",,,"10,5",,,,,,,,,,,,"0,2",,"0,08",,,,,,,,,,,,,,,,,,,
922,ramen au poulet/ met kip - Wei Ming - 250g,3760269070813,250 g,['Wei Ming'],,['France'],[],[],?,153,6,17,"5,8",,,,,,,,,,,640 kj(153 kcal),,,1,,,"1,5",,,,,,,,,,,,"1,4",,"0,56",,,,,,,,,,,,,,,,,,,
923,Mini beignets cœur chocolat - Picard - 75g,3270160822393,75 g,['Picard'],"['Snacks', 'Snacks sucrés', 'Beignets sucrés']",['France'],"['Farine de blé ', 'gluten', 'fourrage au chocolat 24% ', 'chocolat en poudre 12% ', 'sucre', 'cacao en poudre', 'huile de tournesol', 'cacao maigre en poudre', 'lactosérum en poudre ', 'lait', 'pâte de cacao', 'émulsifiant : lécithine de soja', 'arôme naturel de vanille]', 'huiles végétales ', 'karité', 'tounesol', 'colza', 'eau', 'sucre', 'euf entier issu de poule élevée en plein air 7,2% ', 'liquide', 'pasteurisé', 'beurre ', 'lait', 'gluten de blé', 'levure', 'sel', ""émulsifiant : mono - et diglycérides d'acides gras d'origine végétale"", 'colorant: caroténoides', 'antioxydant : acide ascorbique', 'malt de blé ', 'gluten', ' Produit élaboré dans un atelier qui utilise : fruits à coque']",['Non végétalien'],?,470,30,42,"7,1",,,30 g,en quantité élevée,9.1 g,en quantité élevée,18 g,en quantité élevée,,+32%,1966 kj(470 kcal),+32%,+90%,"9,1",+162%,-7%,18,+10%,+12%,,,,,,,,0.7 g,en quantité modérée,"0,7",-5%,"0,28",-5%,20,+67%,E,+67%,,,,['Picard'],,"['Gluten', 'Lait']",4,"['E322i - Lécithine', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E160 - Caroténoïdes', 'E300 - Acide ascorbique']",,,,,,
924,Riz 1kg,5601255324221,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Riz']",['France'],[],[],?,362,2,"78,2","7,1",C,,2 g,en faible quantité,0.6 g,en faible quantité,6.5 g,en quantité modérée,,+8%,1515 kj(362 kcal),+7%,+67%,"0,6",+123%,+8%,"6,5",+1773%,-2%,79.0%,0.0%,6.4%,11.0%,3.6%,0.0%,74,0 g,en faible quantité,0,-100%,0,-100%,1,,B,,,,,,,,,,,,,,,
925,Pain aux cerials,3760269952836,,,,['France'],[],[],?,264.3,"13,1","7,5",22,,,,,,,,,,,1106 kj(264 kcal),,,"1,4",,,"0,9",,,,,,,,,,,,"1,1",,"0,44",,,,,,,,,,,,,,,,,,,
926,Soy Sauce - kingzest - 200ml,6921929404257,200ml,['Kingzest'],"['Epicerie', 'Condiments', 'Sauces', 'Sauces au soja']",['France'],"['Sauce soja ', 'eau', 'sel', 'soja', 'blé', ' 83%,eau,sucre,e621,e635,e150,e260']",[],?,68,0,"7,9","8,8",B,,0 g,en faible quantité,0 g,en faible quantité,3.1 g,en faible quantité,,-38%,285 kj(68 kcal),-38%,-100%,0,-100%,-56%,"3,1",-75%,+37%,21.5%,31.6%,20.1%,15.9%,8.6%,2.3%,97,12.8 g,en quantité élevée,"12,8",+7%,"5,12",+7%,5,-55%,C,-55%,['verre plastique'],['en:Chine'],,['Asie Nord'],['Chine'],['Soja'],4,"['E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', ""E635 - 5'-ribonucléotide disodique"", 'E150 - Caramel', 'E260 - Acide acétique']",,,,,,
927,BUITONI FOUR A PIERRE Pizza Surgelée Thon à la Provençale - 320g,7613287000088,320 g,"['Buitoni', 'Four à Pierre']","['Surgelés', 'Plats préparés', 'Pizzas tartes salées et quiches', 'Pizzas', 'Pizzas et tartes surgelées', 'Pizzas surgelées', 'Pizzas au thon']",['France'],"['Farine de BLE ', '33%', 'eau', 'purée de tomates ', '11,4%', ""THON à l'huile "", '9,7%', ' ', 'THON ', '7,9%', 'huile de tournesol', 'sel', 'FROMAGES ', 'LAIT', ' ', 'EDAM', 'MOZZARELLA', 'olives noires ', '5,8%', 'levure boulangère', 'huile de tournesol', 'oignons rissolés ', 'oignons ', '1,2%', 'huile de tournesol', 'oignons rouges', 'sucre', 'oignons ', '0,9%', 'sel', 'levain de BLE et de SEIGLE ', 'SOJA', 'herbes de Provence ', '0,6%', ' ', 'basilic', 'origan', 'sarriette', 'romarin', 'thym', ""pulpe d'ail "", '0,4%', 'amidon modifié de pomme de terre', ""extrait de malt d'ORGE et maïs"", 'épices et plantes aromatiques', ' Peut contenir : céleri', 'sésame', 'fruits à coque']","['Non végétalien', 'Non végétarien']",875,208,"6,6","27,5","8,6",C,"['Point Vert', 'Sans arômes ajoutés', 'Sans conservateurs', 'Nutriscore', 'Nutriscore B', 'Triman']",6.6 g,en quantité modérée,2.1 g,en quantité modérée,3.6 g,en faible quantité,-8%,-10%,875 kj(208 kcal),-10%,-31%,"2,1",-29%,+12%,"3,6",+17%,-16%,66.0%,11.0%,4.2%,7.2%,2.4%,9.2%,67,1.3 g,en quantité modérée,"1,3",+14%,"0,52",+14%,2,-59%,B,-59%,['Boite'],,,,,"['Poisson', 'Gluten', 'Lait', 'Soja']",4,['E14XX - Amidons modifiés'],Pizza surgelée,,,,,
928,Strudel Mela,20596903,,,,['France'],[],[],?,478,26,55,"5,1",,,,,,,,,,,2000 kj(478 kcal),,,13,,,26,,,,,,,,,,,,"0,65",,"0,26",,,,,,,,,,,,,,,,,,,
929,Pain Croustillant Aux 5 Céréales,3289664223209,,,,['France'],[],[],?,254,"0,7",63,"7,7",,,,,,,,,,,1063 kj(254 kcal),,,0,,,"6,9",,,,,,,,,,,,"1,4",,"0,56",,,,,,,,,,,,,,,,,,,
930,Têtes Brulées bio Tropical,3109859000029,,,,['France'],[],[],?,60,0,"13,9","0,5",,['Bio'],,,,,,,,,251 kj(60 kcal),,,0,,,"13,9",,,,,,,,,,,,0,,0,,,,,,,,"['EMB 45273', ""Saint-Denis-de-l'Hôtel (Loiret, France)""]",,,,,,,,,,,
931,Saint Jacques Fondue de Poireaux - L'atelier Bernard Marot,3760280490690,,"[""L'atelier Bernard Marot""]",,['France'],[],[],?,104,4,"3,9","11,4",,,,,,,,,,,435 kj(104 kcal),,,"1,9",,,"2,7",,,,,,,,,,,,"1,4",,"0,56",,,,,,,,,,,,,,,,,,,
932,Diet spaghetti,5906660508915,,,,['France'],[],[],?,7,"0,1","0,2","0,1",,,,,,,,,,,29 kj(7 kcal),,,"0,1",,,"0,1",,,,,,,,,,,,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,
933,Acqua minerale naturale VITALIE frizzante,8010333000709,,,,['France'],[],[],?,0,0,0,0,,,,,,,,,,,0 kj(0 kcal),,,0,,,0,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,
934,Instant noodles beef flavour,8710998453413,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Produits déshydratés', 'Produits lyophilisés à reconstituer', 'Nouilles', 'Nouilles instantanées']",['France'],[],[],?,468,20,"60,8",9,,,,,,,,,,+57%,1958 kj(468 kcal),+55%,+72%,9,+71%,+50%,1,-59%,+42%,,,,,,,,,,"4,2",+61%,"1,68",+61%,,,,,,,,,,,,,,,,,,
935,Cocktail d’agrumes sicilien bio,3329489900012,,,,['France'],[],[],?,41,"0,1",9,"0,8",,"['Bio', 'Bio européen', 'FR-BIO-01']",,,,,,,,,172 kj(41 kcal),,,0,,,"7,8",,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,
936,Lait demi écrémé en bouteille,4334035161495,,,"['Produits laitiers', 'Laits', 'Laits demi-écrémés']",['France'],[],[],?,47,"1,8","4,8","3,3",D,,1.8 g,en faible quantité,1 g,en faible quantité,4.8 g,en faible quantité,,0%,197 kj(47 kcal),+1%,+15%,1,-1%,-0%,"4,8",0%,+2%,78.7%,1.1%,11.0%,6.0%,3.2%,0.0%,54,,,,,,,,,,,,,,,,,,,,,,,,
937,Risotto fruits de mer - Costa - 600g,4008467054419,600g,['Costa'],"['Plats préparés', 'Plats à base de riz', 'Risottos', 'Risotto aux fruits de mer']",['France'],"['Riz à risotto cuit [40%] ', 'eau', 'riz', 'sel de table', 'fruits de mer [19,5%] ', 'calamars géants', 'moules', 'crevettes', 'toma cerises [8,7%]', 'eau', 'asperges [6,2%]', 'fromage', 'vin blanc fond de poisson', 'concentre de lait écrémé', 'creme', 'sel de table iodé ', 'sel de table', 'iodate de potassium', 'amidon modifié de mais', 'sucre', 'farine de blé', 'épices', "" Peut contenir des traces d'aeuf et de céleri""]","['Non végétalien', 'Non végétarien']",?,121,"2,3",17,"6,9",B,"['Sans arômes artificiels', 'Nutriscore', 'Nutriscore B']",2.3 g,en faible quantité,1.5 g,en quantité modérée,1.6 g,en faible quantité,,-35%,506 kj(121 kcal),-34%,-59%,"1,5",-41%,-4%,"1,6",+99%,+15%,38.0%,25.7%,12.0%,12.8%,6.7%,4.8%,95,0.7 g,en quantité modérée,"0,7",+3%,"0,28",+3%,1,-71%,B,-71%,,,['DE NI-11022 EG'],,,"['Crustacés', 'Gluten', 'Lait', 'Mollusques']",4,['E14XX - Amidons modifiés'],,,,,,
938,Merguez - Bigard,3273230277918,,['Bigard'],"['Viandes', 'Charcuteries', 'Saucisses', 'Merguez']",['France'],[],[],?,258,21,"0,9",16,E,,21 g,en quantité élevée,9.2 g,en quantité élevée,0.9 g,en faible quantité,,-2%,1079 kj(258 kcal),-2%,-2%,"9,2",+0%,-57%,"0,9",-22%,+12%,92.9%,4.8%,1.4%,0.6%,0.3%,0.1%,4,1.5 g,en quantité modérée,"1,5",-21%,"0,6",-21%,18,-4%,D,-4%,,,,,,,,,,,,,,
939,Change - Gérard Bertrand - 75cl,3514123112337,75 cl,['Gérard Bertrand'],"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français', 'Vins blancs', ""Pays d'Oc""]",['France'],"['Viognier', 'Chardonnay']",[],?,?,?,?,?,C,"['Bio', 'Bio européen', 'FR-BIO-01', 'Eco-cert FR-BIO-01']",,,,,,,,,,,,,,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,,,,,,,,,,,"['Bouteille', 'verre']",,,"['AUCHAN SUPERMARCHE', 'AUCHAN', 'FRANPRIX', 'CASINO', 'CARREFOUR', 'INTERMARCHE']",['France'],['Anhydride sulfureux et sulfites'],3,,,https://www.gerard-bertrand.com/,Gérard Bertrand,France,Gérard Bertrand,
940,Collagen concentrate - Prozis,5600380892759,,['Prozis'],,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
941,Walbergem,3560071189792,,,,['France'],[],[],?,68,7,9,9,,,,,,,,,,,285 kj(68 kcal),,,5,,,7,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,
942,Tonic bio organic tonoc,3700749300825,,,,['France'],[],[],?,18,0,4,0,,['Bio'],,,,,,,,,75 kj(18 kcal),,,0,,,4,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,
943,Nectar D'orande Diva,6194007850066,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,
944,Volvic Limotion Grapefruit,3057640539923,,['Volvic'],,['France'],[],[],?,18,0,"4,2",0,,,,,,,,,,,75 kj(18 kcal),,,0,,,"4,2",,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,
945,O'jus Pomme Poire - Paquito - 1L,3250392932091,1L,['Paquito'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de pomme']",['France'],[],[],?,21,"0,5","5,3","0,5",C,['Fabriqué en France'],0.5 g,en faible quantité,0.1 g,en faible quantité,4.8 g,en quantité modérée,,-54%,88 kj(21 kcal),-54%,+205%,"0,1",+212%,-51%,"4,8",-53%,+135%,52.8%,9.4%,18.4%,14.0%,5.4%,0.0%,70,,,,,,,,,,,['Bouteille'],,"['EMB 45290', ""Saint-Martin-d'Abbat (Loiret, France)""]",,['France'],,,,,,,,,
