,name,bar_code,labels,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,packaging,brand,categories,link,allergens,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,additives,traceability_code,generic_name,ingredients_origins,manufacturing,markets,palm_ingredients,brand_owner
28,Préparation à Madeleines - Émile Petibonheur,3770008914483,,['France'],"['Farine de blé', 'sucre', 'poudre de lait écrémé', 'poudre levante ', 'diphosphate disodique', 'carbonate acide de sodium', 'émulsifiant ', ""mono- et diglycérides d'acides gras"", 'conservateur ', 'sorbate de potassium', 'amidon de blé', 'arômes', 'sel', 'épaississant ', 'gomme xanthane', 'colorant naturel ', 'bétacarotène', 'enzymes']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Peut-être végétarien']",?,378,1582 kj(378 kcal),3,"2,4","78,6","43,6","6,8","1,9","0,76",,"['Sachet', 'Plastique']",['Émile Petibonheur'],"['Produits déshydratés', 'Produits lyophilisés à reconstituer', 'Préparations pour pâtisseries']",,"['Gluten', 'Lait']",4,,,,,,,,,,+14%,+15%,-15%,+67%,+25%,+35%,+57%,+423%,+423%,,,,,,,,,,,,,"['E450i - Pyrophosphate de sodium acide', 'E500ii - Carbonate acide de sodium', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E415 - Gomme xanthane']",,,,,,,
29,Cretin des Alpes a la praline,3770008919006,,['France'],[],[],?,457,1912 kj(457 kcal),"24,5",16,"53,1","27,2","5,9","0,6","0,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['EMB 38386', 'Saint-Geoire-en-Valdaine (Isère, France)']",,,,,,
30,Biscuits à la liqueur de chartreuse - Le Cretin Des Alpes,3770008919013,,['France'],"['Farine de Gruau', 'Beurre', 'Sucre', 'Œuf', 'Fleur de Sel', 'Liqueur de Chartreuse ', '9,3%', 'Peut contenir des traces de soja', 'des traces de lait', 'des traces de sésame']",['Non végétalien'],?,425,1778 kj(425 kcal),"22,5",15,"37,5","12,2","5,2","0,6","0,24",,,['Le Cretin Des Alpes'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']",,"['Œufs', 'Lait']",3,22.5 g,en quantité élevée,15 g,en quantité élevée,12.2 g,en quantité modérée,0.6 g,en quantité modérée,,-10%,-11%,+8%,+49%,-41%,-59%,-20%,+2%,+2%,18,-9%,D,-9%,C,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,"['EMB 38386', 'Saint-Geoire-en-Valdaine (Isère, France)']",,,,,,
31,Biscuits noix caramélisées - Le Crétin des Alpes - 150g,3770008919020,,['France'],"['Farine de Gruau', 'Beurre', 'Sucre', 'Œuf', 'Fleur de Sel', 'Noix Torréfiées', ' Peut contenir des fruits à coque', 'des traces de soja', 'des traces de lait', 'des traces de sésame']",['Non végétalien'],?,498,2084 kj(498 kcal),"34,8","16,3","40,4","12,9","7,9","0,6","0,24",150 g,,['Le Crétin des Alpes'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']",,"['Œufs', 'Lait']",3,34.8 g,en quantité élevée,16.3 g,en quantité élevée,12.9 g,en quantité élevée,0.6 g,en quantité modérée,,+5%,+5%,+67%,+61%,-37%,-56%,+22%,+2%,+2%,20,+1%,E,+1%,C,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,"['EMB 38386', 'Saint-Geoire-en-Valdaine (Isère, France)']",,,,,,
32,Le cretin des alpes,3770008919044,,['France'],"['Farine de Gruau', 'Beutrc', 'Sucre', 'Œuf', 'Fleur de Sel', 'Drops Chocolat 50%', 'préparation spéciale Génépi ', '7%', ' Peut contenir des traces de soja', 'des traces de lait', 'des traces de sésame', 'des PAR [MB383SG DifflJSlON / 38320 POISAT et SARU PER GRAS 38700 IA ', 'Alpes France', "" A consetvet au scc à l'abri de là chaleur""]",['Non végétalien'],?,414,1732 kj(414 kcal),"25,2","15,9","40,7","17,1","5,6","0,53","0,212",,,['Le Cretin Des Alpes'],,,['Œufs'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['EMB 38386', 'Saint-Geoire-en-Valdaine (Isère, France)']",,,,,,
33,Biscuit apéritif - Le crétin des Alpes,3770008919051,,['France'],"['Farine de Gruau', 'Beurre', 'Sucre', 'œuf', 'Fleur de Sel', 'Levure Chimique', 'Emmental Français', 'Comté', 'Beaufort', 'Vin Blanc', 'Ail', ""Huile d'Olive"", ' Peut contenir des traces de sulfites', 'traces de soja', 'traces de lait', 'traces de sésame']",['Non végétalien'],?,417,1745 kj(417 kcal),"28,7",19,"24,4",1,"13,3","0,9","0,36",,,['Le crétin des Alpes'],"['Snacks', 'Snacks salés', 'Apéritif', 'Biscuits apéritifs']",,"['Œufs', 'Lait']",3,28.7 g,en quantité élevée,19 g,en quantité élevée,1 g,en faible quantité,0.9 g,en quantité modérée,,-10%,-11%,+44%,+251%,-59%,-74%,+34%,-55%,-55%,17,+10%,D,+10%,B,60.4%,21.2%,8.3%,6.3%,3.8%,0.0%,82,,"['EMB 38386', 'Saint-Geoire-en-Valdaine (Isère, France)']",,,,,,
34,Biscuit aperitif gout tartiflette - Le Cretin Des Alpes,3770008919068,,['France'],"['Farine de Gruau', 'Beurre', 'Sucre', 'œuf', 'Fleur de Sel', 'Levure Chimique', 'Reblochon Croûté', 'Lard Fumé', 'Lait', ""Huile d'Olive"", 'Poivre Blanc', ' Peut contenir des traces de soja', 'traces de lait', 'traces de sésame']","['Non végétalien', 'Non végétarien']",?,353,1477 kj(353 kcal),"24,8","14,5","19,9","1,2","12,8","1,6","0,64",,,['Le Cretin Des Alpes'],"['Snacks', 'Snacks salés', 'Apéritif', 'Biscuits apéritifs']",,"['Œufs', 'Lait']",3,24.8 g,en quantité élevée,14.5 g,en quantité élevée,1.2 g,en faible quantité,1.6 g,en quantité élevée,,-24%,-25%,+25%,+168%,-66%,-69%,+29%,-20%,-20%,20,+30%,E,+30%,B,60.4%,21.2%,8.3%,6.3%,3.8%,0.0%,82,,,,,,,,
35,Soupe butternut st marcellin,3770008919075,"['en:gluten-free', 'Sans colorants', 'Sans arômes ajoutés', 'Sans conservateurs']",['France'],[],[],?,45,188 kj(45 kcal),"3,1","1,7","3,2","0,9","1,2","0,4","0,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Soupe,3770008919099,"['en:gluten-free', 'Sans colorants', 'Sans arômes ajoutés', 'Sans conservateurs']",['France'],[],[],?,57,238 kj(57 kcal),"3,1","1,9",5,1,"1,5","0,3","0,12",,,,"['Plats préparés', 'Soupes']",,,,3.1 g,en quantité modérée,1.9 g,en quantité modérée,1 g,en faible quantité,0.3 g,en quantité modérée,,0%,+0%,+60%,+215%,-13%,-42%,-32%,-65%,-65%,2,+22%,B,+22%,,,,,,,,,,"['EMB 74040', 'Bonne (Haute-Savoie, France)']",,,,,,
37,Biscuits a la praline - Le Crétin des Alpes - 120g,3770008919174,,['France'],"['Farine de Gruau', 'Beurre', 'Sucre', 'Œuf', 'Fleur de Sel', 'Pralines avec amandes ', '12%', 'arômes et colorants naturels', ' Peut contenir des fruits à coque', 'des traces de soja', 'des traces de lait', 'des traces de sésame']",['Non végétalien'],?,457,1912 kj(457 kcal),"24,5",16,"53,1","27,2","5,9","0,6","0,24",120 g,,['Le Crétin des Alpes'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']",,"['Œufs', 'Lait']",4,24.5 g,en quantité élevée,16 g,en quantité élevée,27.2 g,en quantité élevée,0.6 g,en quantité modérée,,-4%,-4%,+18%,+58%,-17%,-8%,-9%,+2%,+2%,23,+16%,E,+16%,C,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,"['EMB 38386', 'Saint-Geoire-en-Valdaine (Isère, France)']",,,,,,
