,name,bar_code,labels,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,packaging,brand,categories,link,allergens,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,additives,traceability_code,generic_name,ingredients_origins,manufacturing,markets,palm_ingredients,brand_owner
843,Philadelphia,4000339332649,['Fabriqué en Allemagne'],['France'],[],[],?,235,983 kj(235 kcal),"21,5","14,5",4,4,"5,5","0,8","0,32",,,['Philadelphia'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
844,Hühnersuppe Mit Nudeln Asia,4000345045021,"['Bio', 'Bio européen', 'CH-BIO-004']",['France'],[],[],?,27,113 kj(27 kcal),"0,5","0,1","4,4","0,4","1,1","0,9","0,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
845,Préparation Galette de Riz Thailandaise Bio 135g,4000345045137,"['Bio', 'Bio européen', 'DE-ÖKO-001']",['France'],[],[],?,221,925 kj(221 kcal),"6,6","6,6","35,7","35,7","3,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
846,Bouillon mit Rindfleisch - Natur compagnie - 100g,4000345046141,"['Bio', 'Bio européen', 'CH-BIO-004']",['France'],[],[],?,6,25 kj(6 kcal),0,0,"1,2","0,1","0,1",1,"0,4",100 g,['Glas'],['Natur compagnie'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
847,"Gemüsesuppe, Minestrone - Natur compagnie",4000345046424,"['Bio', 'Bio européen', 'CH-BIO-004']","['France', 'Allemagne']","['pâtes alimentaires + 22 % ', 'semoule de blé dur + ', "" - dextrine de maltose de mars + - sel marin - amidon de mars* - farine de froment* - tomates* 6,8% - pommes de terre* 6,8% - carottes* 4% - poireaux* 3,496 - céleri + 2,4% - oignons* 2,4% - extrait de levure - huile de tournesol* - sucre de canne non raffiné* - ail* - basilic* - curcuma* - persil + - marjolaine* Verser le contenu du sachet dans un demi-litre d'eau froide tout en remuant"", ' Porter à ébullition et faire cuire à feu doux pendant 10 mn', ' Remuer souvent ', "" * = produits de l'agriculture biologique"", ' nformation']",[],?,32,134 kj(32 kcal),"0,3",0,"6,3","0,9","0,9","1,1","0,44",,,['Natur compagnie'],,,"['Céleri', 'Gluten']",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['E1400 - Dextrines'],,,,,,,
848,Velouté de légumes - Natur compagnie,4000345046455,,['France'],[],[],?,27,113 kj(27 kcal),2,0,6,1,1,1,"0,4",,,['Natur compagnie'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Plats préparés', 'Soupes', 'Veloutés', 'Soupes de légumes', 'Veloutés de légumes']",,,,2 g,en faible quantité,0 g,en faible quantité,1 g,en faible quantité,1 g,en quantité modérée,,-31%,-31%,+30%,-100%,+26%,-46%,+17%,+55%,+55%,4,+199%,C,+199%,B,25.5%,33.0%,16.0%,11.0%,10.2%,4.3%,97,,,,,,,,
849,Spargel Creme Suppe - Natur compagnie,4000345046509,"['Bio', 'en:EG-Öko-Verordnung']",['France'],[],[],?,25,105 kj(25 kcal),"0,2",0,"4,2","1,4","1,4",1,"0,4",,,['Natur compagnie'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
850,Zwiebelsuppe - Natur compagnie,4000345046608,"['Bio', 'en:EG-Öko-Verordnung']",['France'],[],[],?,21,88 kj(21 kcal),"0,1",0,"4,2","0,8","0,5","1,1","0,44",,,['Natur compagnie'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
851,Bouillons,4000345051459,"['Bio', 'Bio européen', 'CH-BIO-004']","['France', 'Pays-Bas']",[],[],?,4,17 kj(4 kcal),0,0,"0,9","0,1",0,"0,8","0,32",,,,"['Epicerie', 'Bouillons']",,,,0 g,en faible quantité,0 g,en faible quantité,0.1 g,en faible quantité,0.8 g,en quantité modérée,,-97%,-97%,-100%,-100%,-95%,-98%,-100%,-96%,-96%,3,-60%,C,-60%,,,,,,,,,,,,,,['Ekoplaza'],,
852,BOUILLON BOEUF POUDRE -,4000345051510,"['Bio', 'Bio européen', 'CH-BIO-004', 'Agriculture UE/Non UE']","['France', 'Suisse']",[],[],?,6,25 kj(6 kcal),0,0,"1,2","0,1","0,1",4,"1,6",,['stk.'],,"['Epicerie', 'Produits déshydratés', 'Produits lyophilisés à reconstituer', 'Bouillons', 'Bouillons déshydratés', 'Bouillons de bœuf', 'Bouillons en poudre']",,,,,,,,,,,,,-96%,-96%,-100%,-100%,-95%,-98%,-97%,-81%,-81%,,,,,,,,,,,,,,,,,,,,
853,Epicerie / Plats Et Produits Cuisinés / Soupes Bio,4000345051732,"['Bio', 'Bio européen', 'CH-BIO-004']",['France'],[],[],?,31,130 kj(31 kcal),"0,2",0,"6,3","0,4","0,8","0,9","0,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
854,Potage Aux Legumes 43G Demi L - Natur compagnie,4000345051756,"['Bio', 'Bio européen', 'CH-BIO-004']",['France'],"['Farine de blé?', 'sel marin', ' Lait écrémé en poudre?', 'amidon de mais?', 'carottes? ', '5,8%', 'poireaux? ', ""5,3 de mais'"", "" céleri' "", '4,2 extrait de levure', ' pommes de terre* ', '3,9 oignons* ', '2', '3 huile de tournesot?', 'persil?', ' feuilles de céleris', 'curcuma?', ""macis'"", "" ?issu de l'agriculture biologique contrôlée"", ' Certifié par CH', 'BlO-004', ' Conserver au sec', ' Peut contenir des traces de soja', "" de moutarde et d'œuf""]",['Non végétalien'],?,27,113 kj(27 kcal),"0,2",0,"4,8","0,8","1,1",1,"0,4",,,['Natur compagnie'],"['Plats préparés', 'Produits déshydratés', 'Produits lyophilisés à reconstituer', 'Soupes', 'Plats préparés déshydratés', 'Soupes déshydratées']",,"['Céleri', 'Gluten']",3,,,,,,,,,,-80%,-80%,-92%,-100%,-78%,-78%,-71%,-67%,-67%,,,,,,,,,,,,,,,,,,,,
855,"Potage Printanier Vermicelli Soep Frühlingssuppe - Natur Compagnie - 37g, 0.5L",4000345051770,"['Bio', 'Bio européen', 'CH-BIO-004', 'Fabriqué en Suisse', 'en:palm-oil-free']","['France', 'Pays-Bas']","['Pâtes* ', '67 %', 'semoule de blé dur*', 'sel marin', 'farine de riz*', 'carottes* ', '4,3%', 'oignons* ', '3,0 %', 'extrait de levure', 'huile de tournelsol*', 'sucre de canne brut*', 'poireau* ', '1,0 %', 'amido de maïs*', 'persil*', 'céleri ', '0,1 %', 'curcuma*']",['Sans huile de palme'],99,?,99 kj(24 kcal),"0,2",0,"4,3","0,4","0,9",1,"0,4","37g, 0.5 L",,['Natur Compagnie'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Plats préparés', 'Produits déshydratés', 'Produits lyophilisés à reconstituer', 'Soupes', 'Plats préparés déshydratés', 'Soupes de légumes', 'Soupes déshydratées', 'Soupe de légumes avec des pâtes']",http://www.natur-compagnie.com,"['Céleri', 'Semoule de blé dur*', 'Semoule de blé dure*']",3,,,,,,,,,-87%,,-83%,-92%,-100%,-80%,-89%,-76%,-67%,-67%,,,,,B,25.5%,33.0%,16.0%,11.0%,10.2%,4.3%,97,,,Soupe de légumes avec des pâtes,,,['Ekoplaza'],,
856,Natur campagne - Natur compagnie - 40g,4000345051787,"['Bio', 'Bio européen', 'CH-BIO-004']","['France', 'Pays-Bas']","['Amidon de maïs* ', 'farine de blé*', 'lait écrémé en poudre*,potiron* ', '14 %', 'sel marin', 'maltodextrine*', 'extrait de levure', 'huile de tournesol* ', 'oignons*', 'persil* ', 'ail*']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,26,109 kj(26 kcal),"0,2",0,"5,1","1,3","0,9","0,9","0,36",40g,,['Natur compagnie'],,,['Gluten'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Ekoplaza'],,
857,Cenovis,4000345071754,"['Végétarien', 'en:gluten-free', 'Végétalien']",['France'],[],"['Végétalien', 'Végétarien']",?,178,745 kj(178 kcal),"1,2","0,3","32,5","4,4","6,9",47,"18,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
858,"Gemüse-brühe Würfel Bio, 36Stück",4000345072508,['Bio'],['France'],[],[],?,6,25 kj(6 kcal),"0,5","0,2","0,4","0,1","0,1","1,08","0,432",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
859,Klare Gemüsebrühe Feinkörnig - Cenovis - 100g,4000345072560,['Bio'],"['France', 'Allemagne']",[],[],?,4,17 kj(4 kcal),0,0,"0,7","0,5","0,1","0,8","0,32",100g,,['Cenovis'],['Boissons'],,,,0 g,en faible quantité,0 g,en faible quantité,0.5 g,en faible quantité,0.8 g,en quantité élevée,,-93%,-93%,-100%,-100%,-94%,-95%,-80%,+1828%,+1828%,5,-35%,C,-35%,,,,,,,,,,,,,,,,
860,Smanta flüssig Butter - 500ml,4000349238047,,['France'],[],[],?,?,,?,,?,,?,,,500 ml,['Flasche'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
861,"Vanille Drink, Classico",4000349762269,,['France'],[],[],?,39,163 kj(39 kcal),"0,1","0,1","7,1","7,1","2,5","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
862,Mini bonhomme en pain d’épices - Zodio,4000379030536,,['France'],"[""Mini bonhomme en pain d'épice 131-11288 de brun"", 'BLÉ', 'I épices', 'poudre à lever ', ""carbonate acide d'ammonium"", 'la masse de sucre ', 'sucre en poudre', 'BIANC OiŒUF', 'acidifiant ', 'acide citrique', "" Peut contenir des traces de LAIT D'ARACHIDES et de NOIX""]",[],?,350,1464 kj(350 kcal),"0,7","0,2",79,39,"6,7","0,04","0,016",,,['Zodio'],"['Biscuits et gâteaux', ""Pains d'épices""]",,"['Gluten', 'Lait', 'Fruits à coque', 'Arachides']",3,0.7 g,en faible quantité,0.2 g,en faible quantité,39 g,en quantité élevée,0.04 g,en faible quantité,,+4%,+3%,-80%,-84%,+12%,-4%,+54%,-91%,-91%,12,-15%,D,-15%,B,61.5%,18.9%,9.5%,5.0%,5.0%,0.0%,90,"[""E503ii - Carbonate acide d'ammonium"", 'E330 - Acide citrique']",,,,,,,
863,"Pertzborn Lebkuchenmann ""Do It Yourself""",4000379033810,,['France'],[],[],?,362,1515 kj(362 kcal),"1,5","0,4",78,"46,4","7,6","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
864,Pain D'epices - Peteborn,4000379034305,,['France'],[],[],?,359,1502 kj(359 kcal),?,"0,2",?,"37,8","6,2","0,04","0,016",,,['Peteborn'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', ""Pains d'épices""]",,,,,,0.2 g,en faible quantité,37.8 g,en quantité élevée,0.04 g,en faible quantité,,+7%,+6%,,-84%,,-7%,+43%,-91%,-91%,,,,,B,61.5%,18.9%,9.5%,5.0%,5.0%,0.0%,90,,,,,,,,
865,Huober Party,4000381009056,"['Bio', 'Fabriqué en Allemagne']",['France'],"['@Assortiment do biscuits salés Ingrédicnts: farine de fromont• ', '7796', 'graisso do palme•', 'sol ', '40,6', 'sésamo• ', '2,396', 'poudre de potit tait douco•', ""çxtrait de malt d'orge•"", 'Icvuro•', 'lever ', ""bicarbonate d'ammonium et dc sodium"", ""sucrc brut de pavot' "", '0,4%', 'amélioranv ', ""farines do mais do tournesol'"", ""correcteur' d'acidité "", 'hydroxyde de sodiutn', ' *Certifié biologique au frais et au sec', ' Fabriqué en Allemagne', ' consommer de préférence avant voir impression sur le film']",['Non végétalien'],?,414,1732 kj(414 kcal),"11,5","4,9","65,3","3,4","10,1","5,2","2,08",,,['Huober'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""E503ii - Carbonate acide d'ammonium""]",,,,,,,
866,Bierstengel 8 Stick 125G - Huober Brezel,4000381080611,['Fabriqué en Allemagne'],['France'],"['farine de froment* ', '84%', 'graisse de palme*', 'sel ', '3,7%', 'poudre de petit lait*', 'levurey améliorant* ', 'farines de mais prégelatinisée*', 'huite de tournesol*', 'vinaigre*', 'cumin* ', '0,5%', ' *Certifié?i biologique', ' Peut contenir des traces de sésame', ' Tenir au frais et au sec', ' Fabriqué en Allemagnes Y']","['Huile de palme', 'Non végétalien']",?,406,1699 kj(406 kcal),"9,1","4,1","67,4","2,8","11,6","2,9","1,16",,,['Huober Brezel'],,,['Gluten'],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Huile de palme'],
867,Pfeffersalami,4000393363108,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
868,Saucisses,4000393823251,,['France'],[],[],?,240,1004 kj(240 kcal),20,"5,5",1,1,14,"2,2","0,88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
869,Gaggli Penne,4000398152233,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
870,Oberschwäbischen Land-nudeln - Dorfmuhle,4000398254210,,['France'],[],[],?,361,1510 kj(361 kcal),"2,5","0,8",70,3,13,"0,1","0,04",,,['Dorfmuhle'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
871,Biskin,4000400002785,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
872,Mondamin Pudding Bourbon-Vanille - 114g,4000400112194,,['France'],[],[],?,?,,?,,?,,?,,,114 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
873,"Spaghetteria, Spaghetti Carbonara - Knorr",4000400113474,,['France'],"['750 Wau S Gut umr„hren und vestere 5 790 Spaghetti Cipollina form n', ' n und d', 'iZU geben • m', ""t und und darauf • Ln b€'1 2ûCYC 'O Mtnutcn backen"", "" • gut und wt•itere 10 Minuten bat Se n Pott 106 11/2018 Mjndestens hdÎtbò' bis tnd•: _L72A01AB09""]",[],?,340,1423 kj(340 kcal),8,4,53,4,13,"2,7","1,08",,,['Knorr'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Spaghetti']",,,,8 g,en quantité modérée,4 g,en quantité modérée,4 g,en faible quantité,2.7 g,en quantité élevée,,-3%,-4%,+357%,+978%,-23%,+35%,+10%,+11103%,+11103%,14,,D,,,,,,,,,,,,,,,,,
874,Kartoffel Steinpilze,4000400124913,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
875,"Gemüse Bouillon (16 Würfel), Gemüse Bouillon",4000400141477,,['France'],[],[],?,5,21 kj(5 kcal),"0,6","0,4","0,2","0,1","0,2","0,83","0,332",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
876,Knorr Waldpilzsauce Fettarm,4000400149336,,['France'],[],[],?,?,,?,,?,,?,,,,,['Knorr'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
877,"Soupe tomates, oignons, croûtons - Knorr - 3sachets",4000400156433,,['France'],[],[],?,45,188 kj(45 kcal),1,"0,5",7,3,1,"0,93","0,372",3 sachets,,['Knorr'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
878,Kartoffelpüree Snackbar,4000400157157,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
879,Mühlen Mett Zwiebelmettwurst,4000405003046,,['France'],[],[],?,?,,?,,?,,?,,,,['Kunststoff'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
880,Veg. Mühlen Hamburger - 160g,4000405005248,,['France'],[],[],?,?,,?,,?,,?,,,160 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
881,6-Korn Brotmischung - Aurora,4000406072898,,"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,,,['Aurora'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
882,Czekolada - Schogetten,4000415020606,['Fabriqué en Allemagne'],['France'],[],[],?,557,2330 kj(557 kcal),34,21,56,51,"5,6","0,28","0,112",,,['Schogetten'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
883,Ludwig's Choco Fun Smooth Caramel 6er Multipack,4000415357900,,['France'],[],[],?,459,1920 kj(459 kcal),20,12,65,57,"4,1","0,6","0,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
884,Peanut &caramel bar,4000415358105,,['France'],[],[],?,500,2092 kj(500 kcal),28,11,51,43,10,"0,78","0,312",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
885,Ludwig's Chocomoticons,4000415396008,,['France'],[],[],?,586,2452 kj(586 kcal),41,21,48,48,"6,1","0,27","0,108",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
886,Cappuccino - Schogetten - 100g,4000415851507,"['Point Vert', 'Fabriqué en Allemagne', 'Arômes naturels', 'Pur beurre de cacao']","['Australie', 'France', 'Allemagne']","['Sucre', 'graisse de palme', 'beurre de cacao', 'crème en poudre', 'pâte de cacao', 'dextrose', 'poudre de lait entier', 'lactosérum en poudre', 'café 1%', 'matière grasse butyrique', 'émulsifiant : lécithine de soja', 'arôme naturel', 'arôme naturel de vanille', 'arôme naturel de café avec autres arômes naturels', 'sel']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",?,573,2397 kj(573 kcal),38,20,53,53,"3,8","0,18","0,072",100 g,"['Box', 'Carton', 'Plastique']",['Schogetten'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats au lait', 'Chocolats fourrés', 'Chocolats au lait fourrés']",,"['Gluten', 'Lait', 'Soja']",4,38 g,en quantité élevée,20 g,en quantité élevée,53 g,en quantité élevée,0.18 g,en faible quantité,,+4%,+4%,+10%,+10%,+1%,+7%,-41%,-8%,-8%,27,+6%,E,+6%,D,84.1%,11.8%,1.2%,2.5%,0.4%,0.0%,24,,,Chocolat au lait avec fourrage gout cappuccino 36%.,"['Allemagne', 'en:Allemagne', 'en:Hors Allemagne']","['Germany', 'Allemagne']",['Aldi'],,
887,Pâte a Tartiner aux Noisettes - Sans marque - 1kg e,4000417089403,,['France'],"['Sucre', 'graisse de palme', 'pâte de noisette 21 %', 'lait écrémé en poudre', 'dextrose', 'cacao en poudre', 'émulsifiant : lécithines ', 'soja', 'arôme naturel', 'sel']","['Huile de palme', 'Non végétalien', 'Peut-être végétarien']",?,577,2414 kj(577 kcal),37,12,49,46,"8,8","0,23","0,092",1 kg e,"['Seau', 'Plastique']",['Sans marque'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits à tartiner sucrés', 'Pâtes à tartiner', 'Pâtes à tartiner aux noisettes']",,"['Lait', 'Fruits à coque', 'Soja']",4,37 g,en quantité élevée,12 g,en quantité élevée,46 g,en quantité élevée,0.23 g,en faible quantité,,+5%,+5%,+8%,+58%,-4%,-1%,+27%,+121%,+121%,28,+37%,E,+37%,E,82.7%,11.5%,2.8%,2.4%,0.6%,0.0%,40,['E322 - Lécithines'],,,,,,['Huile de palme'],
888,Ritter Sport Caramel Noisettes - 100g,4000417242006,,"['France', 'Allemagne']","['Sucre', 'graisse de palme', 'beurre de cacao', 'noisettes', 'pâte de cacao', 'poudre de lait entier', 'lactose', 'lait écrémé en poudre', 'lactosérum en poudre', 'beurre ', '3,2%', 'riz', 'maltodextrine', 'beurre concentré', 'crème en poudre', 'émulsifiant : lécithine ', 'de soja', 'sel', 'arôme naturel', ""malt d'orge "", 'gluten']","['Huile de palme', 'Non végétalien', 'Peut-être végétarien']",2434,585,2434 kj(585 kcal),40,21,49,43,"6,2","0,37","0,148",100 g,"['Plastique', '05 PP', '♷']","['Ritter Sport', 'Ritter Sport Bunte Vielfalt']","['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats au lait']",http://www.ritter-sport.de/en/products/detail/Caramel-Nuts,"['Gluten', 'Lait', 'Fruits à coque', 'Soja']",4,40 g,en quantité élevée,21 g,en quantité élevée,43 g,en quantité élevée,0.37 g,en quantité modérée,+7%,+6%,+5%,+16%,+7%,-6%,-12%,-14%,+59%,+59%,25,-2%,E,-2%,E,84.1%,11.8%,1.2%,2.5%,0.4%,0.0%,24,['E322i - Lécithine'],,"Chocolat au lait fourré d'une crème de caramel au beurre (34%), d'éclats de noisettes (7,5%) et de riz soufflé (3%)",,"['Allemagne', 'Waldenbuch']",['Lidl'],['Huile de palme'],
889,Ritter Sport Biscuits + Nuts - 250g,4000417607003,,"['France', 'Allemagne']","['Sucre', 'beurre de cacao', 'pâte de cacao', 'noisettes', 'poudre de lait entier', 'lactose', 'farine de blé', 'lait écrémé en poudre', 'pâte de noisettes ', '4%', 'beurre concentré', 'malt de blé', 'émulsifiant ', 'lécithine de soja et de colza', 'arôme naturel', 'sel']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",2291,?,2291 kj(548 kcal),33,16,53,48,"7,6","0,36","0,144",250 g,"['Plastique', '05 PP', '♷']",['Ritter Sport'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats au lait']",http://www.ritter-sport.de/en/products/detail/250g-Biscuit-Nuts/,"['Gluten', 'Lait', 'Fruits à coque', 'Soja']",4,33 g,en quantité élevée,16 g,en quantité élevée,48 g,en quantité élevée,0.36 g,en quantité modérée,+0%,,-1%,-4%,-18%,+2%,-2%,+6%,+55%,+55%,27,+6%,E,+6%,E,84.1%,11.8%,1.2%,2.5%,0.4%,0.0%,24,['E322 - Lécithines'],,"Chocolat au lait avec noisettes hachées (8,9%) et céréales biscuitées au blé (6,5%)",,"['Allemagne', 'Waldenbuch']",['Lidl'],,
890,Choco Cubes - Ritter Sport,4000417671301,,['France'],[],[],?,582,2435 kj(582 kcal),39,20,50,47,"6,6","0,24","0,096",,,['Ritter Sport'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
891,"Powerplay By Isostar, Schokolade",4000425056275,['Contient une source de phénylalanine'],"['France', 'Allemagne']","['Protéines de lait ', 'caséinates ', 'émulsifiants : lécithines de tournesol et de soja', 'hydrolysat de protéines de blé', 'isolat de protéines de soja ', 'émulsifiant : lécithines de soja', 'poudre de cacao maigre ', 'émulsifiant : lécithines de soja', 'arôme ', 'colorant : E150C', 'carbonate de magnésium', 'maltodenrine', 'édulcorants : aspartame et acésulfame K', 'vitamines E', 'C', 'BI ', '82', 'B6', 'PP', ' contient une source de phénylalanine']",['Non végétalien'],?,370,1548 kj(370 kcal),"2,7","1,1","3,4",1,81,"0,62","0,248",,['Dose'],['Isostar'],,,"['Lait', 'Soja']",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['E322i - Lécithine', 'E150c - Caramel ammoniacal', '', 'Risque modéré de sur-exposition', 'E951 - Aspartame', 'E950 - Acésulfame K']",,,,,,,
892,Musli aux amandes,4000430000478,['en:gluten-free'],['France'],[],[],?,392,1640 kj(392 kcal),"11,4",1,"59,6","16,6","9,7","0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
893,Levure Seche Et Deshydratee Sans Gluten 42G - Werz Naturkornmühle - 42g,4000430006814,['en:gluten-free'],['France'],[],[],?,357,1494 kj(357 kcal),"5,7","0,9",19,14,"43,7","0,3","0,12",42 g,,['Werz Naturkornmühle'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
894,Kokos-gebäck - Werz,4000430009587,['Bio'],['France'],[],[],?,369,1544 kj(369 kcal),"20,6","18,3","39,7","25,4","3,6","0,003","0,001",,,['Werz'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
895,Reismehl - SchneeKoppe - 500g,4000445208029,"['Végétarien', 'Sans gluten', 'Végétalien']","['France', 'Allemagne']",[],"['Végétalien', 'Végétarien']",?,?,,?,,?,,?,,,500 g,,['SchneeKoppe'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Farines']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
896,Vollmilch Schokolade - Schneekoppe - 80g,4000445211562,['Sans lactose'],['France'],"['Sucre', 'beurre de cacao', 'produit sans lactose séché de lait', 'pâte de cacao', 'grasse', 'émulsifiant lécithine de soja', 'arôme naturel de vanille']",[],?,551,2305 kj(551 kcal),34,21,51,50,"9,2","0,2","0,08",80 g,['Papier'],['Schneekoppe'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats au lait']",,['Soja'],4,34 g,en quantité élevée,21 g,en quantité élevée,50 g,en quantité élevée,0.2 g,en faible quantité,,-0%,-0%,-1%,+7%,-2%,+2%,+28%,-14%,-14%,26,+2%,E,+2%,E,84.1%,11.8%,1.2%,2.5%,0.4%,0.0%,24,,,,,,['Noz'],,
897,Brot Mischung - 1000g,4000445213566,,['France'],[],[],?,?,,?,,?,,?,,,1000 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
898,Sylter Walnuss-Volkornbrot - Jürgen Ingwersen - 500g,4000446011215,['Sans conservateurs'],['France'],[],[],?,?,,?,,?,,?,,,500 g,,['Jürgen Ingwersen'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
899,Veggie-vollkorn - Mestemacher,4000446011437,,['France'],"['wass kerne ', '10%', 'Dinl liche Fasern ', 'Floh Kürbiskerne ', '3%', ' Salz', 'Weizenkeim Kann Spuren von ', '8400 Jeder kana Ernàhruaq reqeì', 'mï']",[],?,244,1021 kj(244 kcal),"13,5","1,6","15,8","1,6","8,7","1,3","0,52",,,['Mestemacher'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
