,name,bar_code,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,packaging,quantity,labels,traceability_code,markets,nova_score,manufacturing,additives,generic_name,ingredients_origins,link,brand_owner,allergens
32,Confiture,3760231180090,,['France'],[],[],?,60,251 kj(60 kcal),0,0,60,60,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Morceaux de poulet,3230890035425,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Pruneaux denoyautés,4004258324013,,['France'],[],[],?,246,1029 kj(246 kcal),"0,6","0,1",55,35,3,"0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Molinet De Sal Mediterrã Nia Ducros,3166298761102,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Jambonneau cuit Supérieur,8127557,,['France'],[],[],?,151,632 kj(151 kcal),8,"2,7","0,5","0,5",20,"1,98","0,792",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['EMB 35022A', 'Bécherel (Ille-et-Vilaine, France)', 'FR 35.022.001 CE', 'Bécherel (Ille-et-Vilaine, France)']",,,,,,,,,
37,Anellini al caramello muscovado,8033908621024,,['France'],[],[],?,528,2209 kj(528 kcal),"30,5",24,56,"13,5","5,8","0,23","0,092",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Marchand de virage,3700422212278,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Popping candy,5056192400475,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,My instant Pasta,8058669800587,,['France'],[],[],?,104,435 kj(104 kcal),"1,5","0,5",19,"1,2","3,4","0,97","0,388",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Fabriqué en Italie'],,,,,,,,,,
41,"Vinagre de Jerez Reserva D.O.P, Aceite de Oliva Virgen Extra y Sal. - Merry sab",8411831220017,['Merry sab'],['France'],[],[],?,?,,?,,?,,?,,,,"['Epicerie', 'Condiments']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Fabriqué en Espagne'],,,,,,,,,,
42,My instant Pasta Maccheroni all'arrabbiata,8058669800594,,['France'],[],[],?,98,410 kj(98 kcal),"0,4","0,1",20,"3,2","3,2","0,62","0,248",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Fabriqué en Italie'],,,,,,,,,,
43,Colombo 100 G,3276650134243,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 g,,,,,,,,,,,
44,Confiture artisanale mûre - Les Petits Cagniotes,3700796301257,['Les Petits Cagniotes'],['France'],[],[],?,230,962 kj(230 kcal),"0,2",0,"56,5","55,8","0,6",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Sans colorants', 'Sans conservateurs']",,,,,,,,,,
45,Garlic And Chilli Extra Virgin Olive Oil By La Chinata,8421401400237,,['France'],[],[],?,828,3464 kj(828 kcal),0,0,0,0,0,0,0,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,,-3%,-3%,-100%,-100%,,,,-100%,-100%,5,-19%,C,-19%,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,,,,,,,
