,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,brand,eco_score,categories,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,traceability_code,generic_name,packaging,allergens,nova_score,additives,manufacturing,markets,ingredients_origins,palm_ingredients,link,brand_owner
943,Ossau iraty,2637324021527,['France'],[],[],?,412,36,"0,1","22,6","1,8","0,72",1724 kj(412 kcal),"22,8","0,1",,E,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Fromages de brebis', 'Ossau-Iraty']",,-2%,+0%,-89%,-4%,89.1%,5.2%,2.2%,2.3%,1.0%,0.3%,34,,,36 g,en quantité élevée,22.8 g,en quantité élevée,0.1 g,en faible quantité,1.8 g,en quantité élevée,-2%,-8%,-66%,+2%,+2%,17,-3%,D,-3%,"['FR 64.068.100 CE', 'Asson (Pyrénées-Atlantiques, France)']",,,,,,,,,,,
944,Bille apéro du Pérou,3770013431470,['France'],[],[],?,445,"14,1","45,4","30,4","1,7","0,68",1862 kj(445 kcal),"1,3","11,8",,,,,,,,,,,,,,,,,['Sans colorants'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
945,Muscade moulue - Transgourmet,3554983005295,['France'],[],[],?,?,?,?,?,,,,,,['Transgourmet'],B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices', 'Produits de le muscadier', 'Noix de muscade', 'Noix de muscade en poudre']",,,,,,37.2%,0.0%,30.9%,21.7%,10.2%,0.0%,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
946,Compotes multi Variétés - Bio Village,3564707159630,['France'],[],[],?,55,"0,5",12,"0,5",,,230 kj(55 kcal),"0,1",11,['Bio Village'],,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'Nutriscore', 'Nutriscore A']",,,,,,,,,,,,,,,,,,,,,,,,,['Leclerc'],,,,
947,Coco à tartiner - Artisans du Monde,61840126,['France'],[],[],?,568,39,50,"4,5",0,0,2377 kj(568 kcal),0,45,['Artisans du Monde'],,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'LK-BIO-149']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
948,Fromage rapé - Auchan - 500g,3596710484454,['France'],[],[],?,339,26,2,24,"1,2","0,48",1418 kj(339 kcal),19,"0,5",['Auchan'],D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages râpés']",,-9%,-10%,+107%,-12%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,500 g,"['Nutriscore', 'Nutriscore D']",26 g,en quantité élevée,19 g,en quantité élevée,0.5 g,en faible quantité,1.2 g,en quantité modérée,-9%,-2%,+39%,+20%,+20%,14,+9%,D,+9%,,,,,,,,['Auchan'],,,,
949,Rôti de porc cuit,2356584001925,['France'],[],[],?,?,?,?,?,0,0,,,,,E,"['Viandes', 'Porc', 'Rôtis de porc']",,,,,,77.9%,17.0%,3.2%,1.1%,0.6%,0.2%,21,,,,,,,,,0 g,en faible quantité,,,,-100%,-100%,,,,,,,,,,,,,,,,
950,Sirop de grenadine,3352681210092,['France'],[],[],?,0,?,?,?,,,0 kj(0 kcal),,,,B,"['Boissons', 'Sirops', 'Sirops aromatisés', 'Sirops de grenadine']",,-100%,,,,58.3%,8.5%,16.3%,7.9%,7.3%,1.6%,100,,,,,,,,,,,-100%,,,,,,,,,,,,,,,,,,,,
951,Mangue Ananas Cranberry - L'atelier Bernard Marot,3760280490294,['France'],[],[],?,249,"0,1","61,4","0,2",0,0,1042 kj(249 kcal),0,"60,6","[""L'atelier Bernard Marot""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
952,Jus de tomate,3562290006034,['France'],[],[],?,?,?,?,?,,,,,,,,"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Boissons à base de végétaux', 'Aliments et boissons à base de légumes', 'Légumes et dérivés', 'Jus et nectars', 'Tomates et dérivés', 'Boissons aux légumes', 'Jus de légumes', 'Jus de tomates']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
953,Amandes décortiquées,2600112063238,['France'],[],[],?,645,"49,9","21,5","21,1",,,2699 kj(645 kcal),"3,8","4,2",,E,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Fruits à coques décortiqués', 'Amandes', 'Amandes décortiquées']",,+3%,-3%,+64%,-6%,96.4%,0.5%,1.0%,1.5%,0.7%,0.0%,11,,,49.9 g,en quantité élevée,3.8 g,en quantité modérée,4.2 g,en faible quantité,,,+3%,-5%,+7%,,,,,,,,,,,,,,,,,,
954,Miel de sapin des vosges,3770006315091,['France'],[],[],?,?,?,?,?,,,,,,,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de sapin']",,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
955,Bio village,47999763,['France'],[],[],?,168,"3,6",27,5,"0,77","0,308",703 kj(168 kcal),"0,4","0,6",['Bio Village'],,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,['Leclerc'],,,,
956,Charal,0292452041063,['France'],[],[],?,?,?,?,?,,,,,,['Charal'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
957,CINTAS Sabot a cola - Damel,8411500120037,['France'],[],[],?,0,?,?,?,,,0 kj(0 kcal),,,['Damel'],,,,,,,,,,,,,,,,['Fabriqué en Espagne'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
958,2 paves - Charal,0292473050518,['France'],[],[],?,113,"2,3",0,23,"0,2","0,08",473 kj(113 kcal),"0,8",0,['Charal'],,,,,,,,,,,,,,,,"['Nutriscore', 'Nutriscore A']",,,,,,,,,,,,,,,,,,,,"['Barquette', 'Film en plastique']",,,,,,,,,
959,Sirop menthe bio,1510120000006,['France'],[],[],?,0,?,?,?,,,0 kj(0 kcal),,,,B,"['Boissons', 'Sirops', 'Sirops aromatisés', 'Sirops de menthe']",,-100%,,,,58.3%,8.5%,16.3%,7.9%,7.3%,1.6%,100,,['Bio'],,,,,,,,,-100%,,,,,,,,,,,,,,,,,,,,
960,Chipolatas aux herbes,2466253030177,['France'],[],[],?,1195,25,1,15,0,0,5000 kj(1195 kcal),10,1,,E,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Chipolatas', 'Chipolatas aux herbes']",,+378%,+24%,-21%,0%,86.2%,9.9%,1.8%,1.2%,0.7%,0.2%,24,,,25 g,en quantité élevée,10 g,en quantité élevée,1 g,en faible quantité,0 g,en faible quantité,+381%,+30%,+61%,-100%,-100%,19,+10%,E,+10%,"['FR 53.107.002 CE', 'Gorron (Mayenne, France)']",,,,,,,,,,,
961,Chair à saucisse,3760099534974,['France'],[],[],?,163,10,0,17,"1,7","0,68",682 kj(163 kcal),"4,1",0,,E,"['Viandes', 'Charcuteries', 'Saucisses', 'Chair à saucisse']",,-38%,-56%,-100%,+28%,77.3%,16.5%,4.1%,1.3%,0.7%,0.2%,25,,,10 g,en quantité modérée,4.1 g,en quantité modérée,0 g,en faible quantité,1.7 g,en quantité élevée,-38%,-52%,-100%,+2%,+2%,13,-27%,D,-27%,,,,,,,,,,,,
962,Huile de colza fruitée noisette - Auchan,3596710477708,['France'],[],[],?,900,100,0,0,0,0,3766 kj(900 kcal),8,0,['Auchan'],C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', 'Huiles', 'Huiles de colza']",,+3%,+3%,-100%,-100%,89.1%,2.2%,4.4%,2.1%,2.2%,0.0%,55,,['Nutriscore'],100 g,en quantité élevée,8 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,+4%,+12%,-100%,-100%,-100%,5,-1%,C,-1%,,,,,,,,['Auchan'],,,,
963,Lamelles d’encornets geants saumures,2416851028533,['France'],[],[],?,45,"0,5","0,5",11,"1,4","0,56",188 kj(45 kcal),"0,2","0,5",,,['Encornet géant'],,,,,,,,,,,,,,,0.5 g,en faible quantité,0.2 g,en faible quantité,0.5 g,en faible quantité,1.4 g,en quantité modérée,,,,,,1,,B,,,,,,,,,,,,,
964,Vegan blendrecovery - MyProtein,5055534369081,['France'],[],[],?,271,"0,7",30,15,0,0,1134 kj(271 kcal),"0,2","7,1",['MyProtein'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
965,"Confiture Abricot Bio Village,",3564707000130,['France'],[],[],?,220,0,15,0,0,0,920 kj(220 kcal),0,0,['Bio Village'],B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', ""Confitures d'abricot""]",,+0%,-100%,-72%,-100%,38.5%,19.4%,25.9%,11.0%,4.2%,1.1%,87,,['Bio'],0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,+0%,-100%,-100%,-100%,-100%,1,-89%,B,-89%,,,,,,,,['Leclerc'],,,,
966,Chipolatas,2245864030376,['France'],[],[],?,?,?,?,?,,,,,,,E,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Chipolatas']",,,,,,86.2%,9.9%,1.8%,1.2%,0.7%,0.2%,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
967,Bebida Refrescante Aromatizada. Con Edulcorantes.,5449000096197,['France'],[],[],?,0,0,0,0,0,0,0 kj(0 kcal),0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
968,Dinde houmous a la menthe - Monoprix,3350033720763,['France'],[],[],?,224,"5,1",33,"9,9","1,1","0,44",937 kj(224 kcal),"0,7","3,3",['Monoprix'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Monoprix'],,,,
969,Confiture de Châtaigne d'Ardèche,2612003005906,['France'],[],[],?,1066,"0,8","59,9",1,,,4460 kj(1066 kcal),"0,2","52,3",,C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Fruits à coques et dérivés', 'Pâtes à tartiner végétales', 'Crèmes de marrons', ""Confiture de châtaigne d'Ardèche""]",,+325%,+7%,-0%,-9%,66.1%,22.5%,5.7%,3.0%,2.6%,0.0%,66,,,0.8 g,en faible quantité,0.2 g,en faible quantité,52.3 g,en quantité élevée,,,+325%,+38%,+5%,,,,,,,,,,,,,,,,,,
970,Noix de Cajou Crues,2600203062713,['France'],[],[],?,595,"43,9","30,2","18,2",,,2489 kj(595 kcal),"7,8","5,9",,E,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Noix de cajou']",,-1%,-5%,+18%,-3%,85.9%,1.5%,2.7%,6.9%,1.9%,1.2%,21,,,43.9 g,en quantité élevée,7.8 g,en quantité élevée,5.9 g,en quantité modérée,,,-0%,-8%,-9%,,,,,,,,,,,,,,,,,,
971,Galette aux épinards et emmental Casino Veggie,04871830,['France'],[],[],?,163,"7,8","3,8",17,"0,72","0,288",682 kj(163 kcal),"2,1","0,8","['Casino', 'Chef']",,,,,,,,,,,,,,,,"['Nutriscore', 'Nutriscore A']",,,,,,,,,,,,,,,,,,,,,,,,,['Casino'],,,,
972,Magret de Canard du Sud-Ouest,2297554006109,['France'],[],[],?,363,33,"0,5",16,"0,1","0,04",1519 kj(363 kcal),11,"0,5",,E,"['Viandes', 'Volailles', 'Canards', 'Magrets de canard']",,+7%,+13%,-60%,-11%,81.9%,9.6%,2.1%,2.2%,1.1%,3.1%,28,,,33 g,en quantité élevée,11 g,en quantité élevée,0.5 g,en faible quantité,0.1 g,en faible quantité,+7%,+10%,-25%,-94%,-94%,14,-24%,D,-24%,,,,,,,,,,,,
973,Grana padano,0203962026570,['France'],[],[],?,?,?,?,?,,,,,,,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages italiens', 'Grana Padano']",,,,,,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
974,Petits raviolis - Valette,3598960059352,['France'],[],[],?,112,"6,5","10,9","2,4","0,8","0,32",469 kj(112 kcal),3,"1,5",['Valette'],,,,,,,,,,,,,,,,['Point Vert'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
975,Pois casses - Monoprix Bio,3350033716414,['France'],[],[],?,345,"1,4",52,23,"0,05","0,02",1443 kj(345 kcal),"0,2","2,8","['Monoprix Bio', 'Monoprix']",B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Légumineuses', 'Graines', 'Graines de légumineuses', 'Légumes secs', 'Pois cassés secs']",,+3%,-8%,+7%,+3%,64.4%,0.0%,18.1%,9.3%,5.1%,3.1%,95,,"['Bio', 'Bio européen', 'FR-BIO-01']",1.4 g,en faible quantité,0.2 g,en faible quantité,2.8 g,en faible quantité,0.05 g,en faible quantité,+3%,-12%,-21%,+121%,+121%,-6,,A,,,,,,,,,['Monoprix'],,,,
976,Quiche lorraine apero,2274902040015,['France'],[],[],?,227,"12,9","16,9","10,8","1,1","0,44",950 kj(227 kcal),"6,9","3,6",,D,"['Plats préparés', 'Pizzas tartes salées et quiches', 'Quiches', 'Quiches lorraines']",,-14%,-21%,-12%,+16%,75.2%,13.0%,2.5%,2.6%,1.4%,5.3%,45,,,12.9 g,en quantité modérée,6.9 g,en quantité élevée,3.6 g,en faible quantité,1.1 g,en quantité modérée,-14%,-21%,+56%,+6%,+6%,12,-15%,D,-15%,"['FR 42.305.003 CE', 'Talaudière (Loire, France)']",,,,,,,,,,,
977,Saucisson sec canard,2172125003247,['France'],[],[],?,291,"22,3","1,4","21,1",0,0,1218 kj(291 kcal),8,"0,7",,,['Saucisson au canard'],,,,,,,,,,,,,,,22.3 g,en quantité élevée,8 g,en quantité élevée,0.7 g,en faible quantité,0 g,en faible quantité,,,,,,5,,C,,,,,,,,,,,,,
978,Magret de Canard,2167999005169,['France'],[],[],?,363,33,"0,6",16,"0,1","0,04",1519 kj(363 kcal),11,"0,6",,D,"['Viandes', 'Volailles', 'Canards', 'Magrets de canard']",,+7%,+13%,-52%,-11%,81.9%,9.6%,2.1%,2.2%,1.1%,3.1%,28,,,33 g,en quantité élevée,11 g,en quantité élevée,0.6 g,en faible quantité,0.1 g,en faible quantité,+7%,+10%,-10%,-94%,-94%,14,-24%,D,-24%,,,['Film en plastique'],,,,,,,,,
979,Noix de cajou crues,2600203032402,['France'],[],[],?,595,"43,9","30,2","18,2",,,2489 kj(595 kcal),"7,8","5,9",,E,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Noix de cajou']",,-1%,-5%,+18%,-3%,85.9%,1.5%,2.7%,6.9%,1.9%,1.2%,21,,,43.9 g,en quantité élevée,7.8 g,en quantité élevée,5.9 g,en quantité modérée,,,-0%,-8%,-9%,,,,,,,,,,,,,,,,,,
980,Carrefour Risotto Funghi Porcini,8012666012596,['France'],[],[],?,370,"2,9",74,"8,2",2,"0,8",1548 kj(370 kcal),"1,5",6,['Carrefour'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
981,Dos de cabillaud,2480558031752,['France'],[],[],?,?,?,?,?,,,,,,,E,"['Produits de la mer', 'Poissons', 'Morues', 'Dos de cabillaud']",,,,,,93.2%,0.0%,0.9%,5.2%,0.5%,0.1%,14,,,,,,,,,,,,,,,,,,,,"['FR 62.160.729 CE', 'Boulogne-sur-Mer (Pas-de-Calais, France)', 'MSC-C-53395']",,,,,,,,,,,
982,Dos de cabillaud,2815830084032,['France'],[],[],?,?,?,?,?,,,,,,,E,"['Produits de la mer', 'Poissons', 'Morues', 'Dos de cabillaud']",,,,,,93.2%,0.0%,0.9%,5.2%,0.5%,0.1%,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
983,Crème de caramel au beurre salé,3760018860382,['France'],[],[],?,?,?,?,?,0,0,,,,,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits à tartiner sucrés', 'Pâtes à tartiner', 'Pâtes à tartiner au caramel', 'Crème de caramel au beurre salé']",,,,,,,,,,,,,,,,,,,,,0 g,en faible quantité,,,,-100%,-100%,,,,,,,,,,,,,,,,
984,les frites bistrot - Franprix - 500g,3263856748817,['France'],[],[],?,170,"7,3",22,"2,5",0,0,711 kj(170 kcal),"1,1","1,2",['Franprix'],B,"['Chips et frites', 'Surgelés', 'Pommes de terre préfrites surgelées', 'Frites', 'Frites surgelées']",,+12%,+47%,-4%,0%,21.9%,0.0%,23.0%,18.3%,27.1%,9.8%,97,500g,"['Nutriscore', 'Nutriscore A', 'Pommes de terre de France']",7.3 g,en quantité modérée,1.1 g,en faible quantité,1.2 g,en faible quantité,0 g,en faible quantité,+11%,+68%,+143%,-100%,-100%,2,,B,,,,['Surgelé'],,,,['France'],,['France'],,,
985,Petits Pois Très Fins Carottes à L'étuvée,3112940150145,['France'],[],[],?,0,?,?,?,0,0,0 kj(0 kcal),,,,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Conserves', 'Aliments à base de fruits et de légumes', 'Légumineuses', 'Aliments à base de plantes en conserve', 'Légumes et dérivés', 'Légumes en conserve', 'Légumineuses en conserve', 'Petits pois et carottes en conserve', ""Petits pois carottes à l'étuvée""]",,-100%,,,,26.6%,34.8%,16.3%,8.2%,7.5%,6.7%,88,,,,,,,,,0 g,en faible quantité,-100%,,,-100%,-100%,,,,,,,,,,,,,,,,
986,Confiture de lait fermier - fr:Confiture de lait,3770000942125,['France'],[],[],?,?,?,?,0,0,0,,,60,['Confiture de lait'],B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits à tartiner sucrés', 'Confitures de lait']",,,,,-100%,46.2%,16.3%,23.6%,9.1%,3.8%,1.0%,85,,,,,,,60 g,en quantité élevée,0 g,en faible quantité,,,+18%,-100%,-100%,,,,,,,,,,,,,,,,
987,Chipolatas supérieures etuvees,2327832012703,['France'],[],[],?,302,26,0,16,"2,1","0,84",1264 kj(302 kcal),11,0,,E,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Chipolatas']",,+26%,+38%,-100%,+4%,86.2%,9.9%,1.8%,1.2%,0.7%,0.2%,24,,,26 g,en quantité élevée,11 g,en quantité élevée,0 g,en faible quantité,2.1 g,en quantité élevée,+26%,+52%,-100%,+17%,+17%,22,+33%,E,+33%,,,,,,,,,,,,
988,0072655002531,0072655002531,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
989,Pur jus de tomates bio Le noir,3760294321201,['France'],[],[],?,23,1,3,"0,5",0,0,96 kj(23 kcal),"0,5","2,4",,,"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Boissons à base de végétaux', 'Aliments et boissons à base de légumes', 'Légumes et dérivés', 'Jus et nectars', 'Tomates et dérivés', 'Boissons aux légumes', 'Jus de légumes', 'Jus de tomates']",,+15%,+462%,-19%,-33%,,,,,,,,,['Bio'],1 g,en faible quantité,0.5 g,en faible quantité,2.4 g,en faible quantité,0 g,en faible quantité,+17%,+1642%,-25%,-100%,-100%,-4,,B,,,,,,,,,,,,,
990,Véritable andouille de Guémené,2210058004990,['France'],[],[],?,?,?,?,?,,,,,,,E,"['Viandes', 'Charcuteries', 'Andouilles', 'Andouilles de Guémené']",,,,,,81.2%,13.0%,3.0%,0.8%,0.4%,1.6%,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
991,Dos de cabillaud,0202004067434,['France'],[],[],?,?,?,?,?,,,,,,,E,"['Produits de la mer', 'Poissons', 'Morues', 'Dos de cabillaud']",,,,,,93.2%,0.0%,0.9%,5.2%,0.5%,0.1%,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
992,Magret de canard du sud ouest,2297559007361,['France'],[],[],?,363,33,"0,6",16,"0,1","0,04",1519 kj(363 kcal),11,"0,6",,E,"['Viandes', 'Volailles', 'Canards', 'Magrets de canard']",,+7%,+13%,-52%,-11%,81.9%,9.6%,2.1%,2.2%,1.1%,3.1%,28,,,33 g,en quantité élevée,11 g,en quantité élevée,0.6 g,en faible quantité,0.1 g,en faible quantité,+7%,+10%,-10%,-94%,-94%,14,-24%,D,-24%,,,,,,,,,,,,
993,Purée,3560072528446,['France'],[],[],?,352,"0,6",78,"5,6","3,3","1,32",1473 kj(352 kcal),"0,4",0,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'DE-ÖKO-003']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
994,Chipolatas aux herbes bio,2231713030314,['France'],[],[],?,166,10,"1,1",17,"1,9","0,76",695 kj(166 kcal),"4,1",0,,E,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Chipolatas', 'Chipolatas aux herbes']",,-34%,-50%,-13%,+13%,86.2%,9.9%,1.8%,1.2%,0.7%,0.2%,24,,['Bio'],10 g,en quantité modérée,4.1 g,en quantité modérée,0 g,en faible quantité,1.9 g,en quantité élevée,-33%,-47%,-100%,+7%,+7%,14,-19%,D,-19%,,,,,,,,,,,,
995,Tournedos dans le filet - Charal,0292451056150,['France'],[],[],?,206,14,0,20,,,862 kj(206 kcal),"4,8",0,['Charal'],,"['Viandes', 'Bœuf', 'Tournedos de boeuf']",,+15%,+44%,-100%,-0%,,,,,,,,,"['Nutriscore', 'Nutriscore B']",14 g,en quantité modérée,4.8 g,en quantité modérée,0 g,en faible quantité,,,+15%,+21%,-100%,,,,,,,,,,,,,,,,,,
996,Salame piccante - Fratelli Beretta,8007660548851,['France'],[],[],?,360,28,1,26,"4,2","1,68",1506 kj(360 kcal),10,"0,5",['Fratelli Beretta'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
997,Taboulé oriental,0235172032997,['France'],[],[],?,203,12,24,"4,4","0,96","0,384",849 kj(203 kcal),"0,8","2,9",,B,"['Plats préparés', 'Plats à base de semoule', 'Taboulés', 'Taboulés orientaux']",,+15%,+77%,+2%,+2%,63.1%,7.6%,11.4%,10.7%,5.7%,1.6%,94,,,12 g,en quantité modérée,0.8 g,en faible quantité,2.9 g,en faible quantité,0.96 g,en quantité modérée,+14%,+13%,-28%,+1%,+1%,4,+50%,C,+50%,,,,,,,,,,,,
998,Thon blanc a l'huile d'olive,8410890354008,['France'],[],[],?,200,14,0,"23,4","1,2","0,48",837 kj(200 kcal),"1,2",0,,E,"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Thons', 'Thons en conserve', ""Thons à l'huile"", ""Thons à l'huile d'olive""]",,-21%,-20%,-100%,-1%,66.2%,13.9%,12.9%,6.2%,0.4%,0.4%,22,,,14 g,en quantité modérée,1.2 g,en faible quantité,0 g,en faible quantité,1.2 g,en quantité modérée,-20%,-60%,-100%,+23%,+23%,3,-44%,C,-44%,,,,,,,,,,,,
999,Spiruline,3700216244287,['France'],[],[],?,?,?,?,?,,,,,,,E,"['Compléments alimentaires', 'Spiruline']",,,,,,53.3%,42.5%,1.8%,1.6%,0.8%,0.0%,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000,Taboule a l orientale a la menthe,2006050010370,['France'],[],[],?,207,10,24,"4,1","1,2","0,48",866 kj(207 kcal),"1,1","3,2",,B,"['Plats préparés', 'Plats à base de semoule', 'Taboulés', 'Taboulés orientaux']",,+17%,+47%,+2%,-5%,63.1%,7.6%,11.4%,10.7%,5.7%,1.6%,94,,,10 g,en quantité modérée,1.1 g,en faible quantité,3.2 g,en faible quantité,1.2 g,en quantité modérée,+17%,+56%,-21%,+26%,+26%,6,+125%,C,+125%,,,,,,,,,,,,
1001,Légendes Gourmandes,3760155983371,['France'],[],[],?,?,?,?,?,,,,,,['Légendes Gourmandes'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002,Chipolatas à l'ancienne,3377440001957,['France'],[],[],?,196,"13,9","0,4","17,4","1,88","0,752",820 kj(196 kcal),"5,7","0,2",,E,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Chipolatas']",,-18%,-26%,-66%,+13%,86.2%,9.9%,1.8%,1.2%,0.7%,0.2%,24,,['Sans colorants'],13.9 g,en quantité modérée,5.7 g,en quantité élevée,0.2 g,en faible quantité,1.88 g,en quantité élevée,-18%,-21%,-68%,+4%,+4%,15,-10%,D,-10%,"['FR 81.124.008 CE', 'Lacaune (Tarn, France)']",,,,,,,,,,,
1003,Andouille de guemene,2282711034774,['France'],[],[],?,?,?,?,?,0,0,,,,,E,"['Viandes', 'Charcuteries', 'Andouilles', 'Andouilles de Guémené']",,,,,,81.2%,13.0%,3.0%,0.8%,0.4%,1.6%,11,,,,,,,,,0 g,en faible quantité,,,,-100%,-100%,,,,,,,,,,,,,,,,
1004,Roti de porc cuit,2473736024011,['France'],[],[],?,173,"8,4","3,6",24,"1,7","0,68",724 kj(173 kcal),"3,6",0,,E,"['Viandes', 'Porc', 'Rôtis de porc']",,+20%,+67%,+341%,+7%,77.9%,17.0%,3.2%,1.1%,0.6%,0.2%,21,,,8.4 g,en quantité modérée,3.6 g,en quantité modérée,0 g,en faible quantité,1.7 g,en quantité élevée,+21%,+72%,-100%,-1%,-1%,12,+68%,D,+68%,,,,,,,,,,,,
1005,Holle,7640161877955,['France'],[],[],?,280,"23,8","60,8","10,1","0,305","0,122",1172 kj(280 kcal),"10,5","33,6",['Holle'],D,"['Aliments pour bébé', 'Produits déshydratés', 'Laits pour bébé', 'Goûters et desserts pour bébé', 'Boissons pour bébé', 'Laits 1er âge', 'Laits infantiles en poudre', 'Dès 6 mois', 'Laits de croissance']",,+637%,+7652%,+650%,+2091%,97.9%,0.0%,0.9%,0.5%,0.6%,0.0%,19,,"['Bio', 'Bio-dynamie', 'Demeter']",,,,,,,,,+637%,+10714%,+401%,+847%,+847%,,,,,,,,,,,,,,,,
