,name,bar_code,eco_score,quantity,categories,labels,traceability_code,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,packaging,brand,allergens,nova_score,ingredients_origins,manufacturing,additives,markets,link,palm_ingredients,producer_info,brand_owner
219,Kenko Mayonnaise,4971880148327,D,,"['Epicerie', 'Sauces', 'Mayonnaises']",,,['France'],[],[],73 g,en quantité élevée,7.5 g,en quantité élevée,0.5 g,en faible quantité,1.9 g,en quantité élevée,?,,668,+9%,2795 kj(668 kcal),+9%,73,+10%,"7,5",+21%,"0,5",-81%,"0,5",-66%,"2,9",+136%,"1,9",+43%,"0,76",+43%,23,+28%,E,+28%,80.2%,9.6%,5.0%,3.2%,1.6%,0.4%,49,,,,,,,,,,,,,
220,Smokey Baconnaise - Heinz,5000157076700,,,,,,['France'],"['Huile de soja 50%', 'eau', ""vinaigre d'alcool"", 'purée de tomates mi-réduite', ""jaune d'oeuf"", 'sucre', 'ail', 'aromes', 'amidon modifié', 'sel graines de moutarde moulues', 'épices', 'plante aromatique', 'oignon', 'épaississant ', 'gomme xanthane', ' conservateur ', 'sorbate de potassium admes de fumée', 'anti-oxydant ', 'calcium disodium EDTA']",['Non végétalien'],,,,,,,,,?,,497,,2079 kj(497 kcal),,"51,6",,"8,2",,"5,6",,"3,7",,"1,6",,"1,1",,"0,44",,,,,,,,,,,,,,,['Heinz'],['Œufs'],4,,,"['E14XX - Amidons modifiés', 'E415 - Gomme xanthane', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E385 - Éthylène diamine tétra-acétate de calcium disodium']",,,,,
221,"Celebrations, Adventures In Chocolate!",5000159440622,,,,,,['France'],[],[],,,,,,,,,?,,493,,2063 kj(493 kcal),,25,,15,,62,,56,,"0,39",,"5,5",,"2,2",,,,,,,,,,,,,,,,,,,,,,,,,
222,Carrs table water - Carr's - 200g e,5000168001098,C,200 g e,"['Snacks', 'Snacks salés', 'Apéritif', 'Biscuits apéritifs']",['Point Vert'],,['France'],"['Farine ', 'farine de froment', 'carbonate de calcium', 'fer', 'niacine', 'thiamine', 'huile de palme', 'sel']",['Huile de palme'],7.6 g,en quantité modérée,3.3 g,en quantité modérée,1.6 g,en faible quantité,1.48 g,en quantité modérée,?,,412,-11%,1724 kj(412 kcal),-12%,"7,6",-62%,"3,3",-39%,"73,9",+24%,"1,6",-59%,10,+1%,"1,475",-26%,"0,59",-26%,10,-35%,C,-35%,60.4%,21.2%,8.3%,6.3%,3.8%,0.0%,82,Galette,"['Carton', 'boîte', 'Sachet', 'Plastique']","[""Carr's""]",['Gluten'],3,,,,,,['Huile de palme'],,
223,Yogurt breaks raspberry,5000168140162,,,,,,['France'],[],[],,,,,,,,,?,,400,,1674 kj(400 kcal),,"10,2",,"4,4",,"72,6",,"35,1",,"5,1",,"0,46",,"0,184",,,,,,,,,,,,,,,,,,,,,,,,,
224,Go Ahead! 6 Apple Fruit & Oat Bakes,5000168197586,,,,,,['France'],[],[],,,,,,,,,?,,363,,1519 kj(363 kcal),,"7,7",,"3,3",,"72,3",,22,,"2,7",,"0,61",,"0,244",,,,,,,,,,,,,,,,,,,,,,,,,
225,Wholegrain bran flakes - Waitrose,5000169125076,C,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Flocons', 'Flocons de céréales']",,,"['France', 'Royaume-Uni']","['Wholegrain wheat ', '63%', 'wheat bran ', '20%', 'Sugar', 'oat flour', 'barley malt extract', 'glucose syrup', 'salt', 'iron', 'Vitamin E', 'Antioxidant ascorbyl palmitate and alpha-tocopherol', 'niacin', 'Emulsifier mono-and diglycerides of fatty acids', 'pantothenic acid', 'Vitamin B12', 'Vitamin D', 'Thiamin ', 'B1', 'folic acid', 'citric acid', 'riboflavin', 'Vitamin B6', ' ALLERGY ADVICE: For allergens', 'including cereals containing gluten', 'see ingredients in bold', ' May also contain nuts', 'peanuts and milk']","[""Pourrait contenir de l'huile de palme""]",2.5 g,en faible quantité,0.6 g,en faible quantité,10.8 g,en quantité modérée,0.7 g,en quantité modérée,?,,359,-8%,1502 kj(359 kcal),-8%,"2,5",-69%,"0,6",-69%,"66,3",+1%,"10,8",-6%,"10,6",+8%,"0,7",+104%,"0,28",+104%,4,+18%,C,+18%,74.0%,13.1%,5.1%,5.5%,2.3%,0.0%,60,,,['Waitrose'],"['Lait', 'Arachides']",4,,,"[""E304i - Palmitate d'ascorbyle"", 'E307 - Alphatocophérol', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E330 - Acide citrique']",['Waitrose'],,,,
226,Batchelors Cup A Soup Creamy Potato And Leek 107G,5000175413310,,,,,,['France'],"['soup creamy potato & leek soup ingredients as served ', 'greatest first', ': water', 'potato ', '21%', 'leek ', '11%', 'vegetable oils ', 'palm', 'sunflower', 'glucose syrup', 'salt', 'yeast extract ', 'contains barley', 'milk proteins', 'flavour enhancers ', 'monosodium glutamate', ""disodium 5'-ribonucleotides"", 'emulsifier ', 'mono - and diglycerides of fatty acids', 'flavourings ', 'contain milk', 'spice extract', ' allergy advice: for allergens', 'including cereals containing gluten', 'see ingredients in bold', ' may also contain celery and wheat', ' for vege potato & leek do not use if inner sáchets are open or torn', ' pofore end: see top of pack arians']","['Huile de palme', 'Non végétalien']",,,,,,,,,?,,45,,188 kj(45 kcal),,?,,"5,9",,?,,"0,8",,"0,8",,"0,45",,"0,18",,,,,,,,,,,,,,"['card-box', 'mixed plastic-packet']",['Batchelors'],['Gluten'],4,,,"['E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', ""E635 - 5'-ribonucléotide disodique"", ""E471 - Mono- et diglycérides d'acides gras alimentaires""]",,,,,
227,Sauce Tikka Masala - Sharwood SM,5000197152709,B,,"['Epicerie', 'Sauces', 'Sauces indiennes', 'Sauces tikka masala']",,,"['Australie', 'France']","['Water', 'Sugar', 'ConceftatdTomato Thickener', '1422', ' Onion', 'Vçtable Oil Chopped Qündc,ConcutatedLmnJuice,']",[],6.5 g,en quantité modérée,3.3 g,en quantité modérée,4.9 g,en faible quantité,0.2 g,en faible quantité,?,,102,-20%,427 kj(102 kcal),-20%,"6,5",-16%,"3,3",+11%,"8,3",-8%,"4,9",+1%,"1,7",-9%,"0,2",-74%,"0,08",-74%,4,-19%,C,-19%,53.8%,21.4%,9.3%,8.8%,4.0%,2.8%,86,,,['Sharwood SM'],,,,,,['Woolworths'],,,,
228,Beurre Cacahuètes Crunchy - Duerr's,5000214017714,C,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Produits à tartiner', 'Fruits à coques et dérivés', 'Pâtes à tartiner végétales', ""Purées d'oléagineux"", 'Beurres de légumineuses', 'Beurres de fruits à coques', 'Beurres de cacahuètes']",,,['France'],[],[],48.2 g,en quantité élevée,7.3 g,en quantité élevée,6.9 g,en quantité modérée,0.98 g,en quantité modérée,?,,620,+3%,2594 kj(620 kcal),+4%,"48,2",+0%,"7,3",-12%,"12,6",-12%,"6,9",+9%,"29,7",+21%,"0,98",+84%,"0,392",+84%,19,+73%,E,+73%,74.9%,2.4%,8.8%,4.1%,6.0%,3.7%,57,,,"[""Duerr's""]",,,,,,,,,,
229,P'tit Déj - Biscuits nappés de chocolat au lait - BN - 250g,5000396014754,D,250 g,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits au chocolat']","['Sans arômes artificiels', 'Point Vert', 'Sans conservateurs']",,['France'],"['Farine de froment ', '39%', ' et farine complète de froment ', '9%', ' - chocolat au lait ', '29%', ' ', 'sucre - beurre de cacao - masse de cacao - lait écrémé en poudre - lactosérum en poudre - beurre pâtissier - graisse végétale - émulsifiants : lécithine de soja et E476', 'arôme', ' - graisse végétale - sucre - sirop de glucose-fructose - poudres à lever : carbonate acide de sodium - acide tartrique - acide malique', ""carbonate acide d'ammonium - sel""]","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Peut-être végétarien']",23.4 g,en quantité élevée,12.1 g,en quantité élevée,29.2 g,en quantité élevée,1.02 g,en quantité modérée,2067,-0%,494,+0%,2067 kj(494 kcal),+0%,"23,4",0%,"12,1",+3%,"62,6",+0%,"29,2",-10%,"6,7",+2%,"1,016",+84%,"0,406",+84%,23,+7%,E,+7%,84.4%,9.1%,2.7%,2.2%,1.6%,0.0%,46,Biscuits nappés de chocolat au lait,"['Plastique', 'Carton']",['BN'],"['Gluten', 'Lait', 'Soja']",4,,['Royaume-Uni'],"['E322i - Lécithine', ""E476 - Esters polyglycériques d'acides gras d'huile de ricin"", 'E500ii - Carbonate acide de sodium', 'E334 - Acide L-tartrique', 'E296 - Acide malique', ""E503ii - Carbonate acide d'ammonium""]",,,,,
