,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,eco_score,brand,categories,labels,allergens,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,packaging,traceability_code,markets,ingredients_origins,generic_name,manufacturing,link,additives,palm_ingredients,brand_owner
176,prenium aloe vera,5029788703588,['France'],[],[],?,21,88 kj(21 kcal),0,0,"5,3","4,5",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,Brioche tranchée,3257967662988,['France'],[],[],?,358,1498 kj(358 kcal),"12,4","3,8","53,4","14,3","7,4",C,,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Brioches', 'Brioches tranchées']",,,,12.4 g,en quantité modérée,3.8 g,en quantité modérée,14.3 g,en quantité élevée,1.1 g,en quantité modérée,,+2%,+1%,+1%,-37%,+3%,+8%,-8%,"1,1",+10%,"0,44",+10%,14,-6%,D,-6%,81.5%,11.5%,4.5%,2.1%,0.3%,0.0%,56,,,,,,,,,,,
178,Berros frescos,8414516040122,['France'],[],[],?,25,105 kj(25 kcal),"0,3","0,1","0,1","0,1","4,5",,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
179,Compotes en gourde - Blédina,5900852045349,['France'],[],[],?,59,247 kj(59 kcal),"0,2",0,"12,5","11,3","0,5",,['Blédina'],,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
180,La Belinoise blonde - 33cL,0638097591318,['France'],"[""Malt d'orge*"", 'houblons*', 'sucre*', 'levure', "" *Issu de l'agriculture biologique""]","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,,?,,?,,?,B,['La Belinoise'],"['Boissons', 'Boissons alcoolisées', 'Produits artisanaux', 'Bières', 'Alcools artisanaux', 'Bières artisanales', 'Bières blondes', 'Bières bio']","['Bio', 'Végétarien', 'Bio européen', 'Végétalien', 'AB Agriculture Biologique']",['Gluten'],3,,,,,,,,,,,,,,,,,,,,,,,,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,33 cL,['bouteille verre'],,['Intermarché'],,,['Ecommoy'],,,,
181,Milka soft baked cookie ×2,16767704,['France'],[],[],?,471,1971 kj(471 kcal),"21,8","9,5","62,8","38,6","5,5",,['Milka'],,,,,,,,,,,,,,,,,,,,,"0,56",,"0,224",,,,,,,,,,,,,,,,,,,,,,,
182,La Belinoise ambrée - 33cL,0638097757462,['France'],"[""Malt d'orge*"", ' houblons*', 'sucre*', 'levure', "" *Issu de l'agriculture biologique""]","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,,?,,?,,?,B,['La Belinoise'],"['Boissons', 'Boissons alcoolisées', 'Produits artisanaux', 'Bières', 'Alcools artisanaux', 'Bières ambrées', 'Bières artisanales', 'Bières bio']","['Bio', 'Végétarien', 'Bio européen', 'Végétalien', 'AB Agriculture Biologique']",['Gluten'],3,,,,,,,,,,,,,,,,,,,,,,,,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,33 cL,['bouteille verre'],,['Intermarché'],,,['Ecommoy'],,,,
183,Sirop cocktail de fruits rouges,3272467016239,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,Bloc de Foie Gras de Canard,3473022332010,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,Le Pti Creusois,3540500000126,['France'],[],[],?,106,444 kj(106 kcal),"3,5","1,9","13,2","13,2","4,9",,,,,,,,,,,,,,,,,,,,,,,"0,2",,"0,08",,,,,,,,,,,,,,,,,,,,,,,
